GCCSA_CODE_2021,C11_OO_DS_Sep_house,C11_OO_DS_SemiDRTHT,C11_OO_DS_F_a,C11_OO_DS_OD,C11_OO_DS_NS,C11_Owned_Outright_Tot,C11_OWM_DS_Sep_house,C11_OWM_DS_SemiDRTHT,C11_OWM_DS_F_a,C11_OWM_DS_OD,C11_OWM_DS_NS,C11_Owned_with_mortgage_Tot,C11_R_REA_DS_Sep_house,C11_R_REA_DS_SemiDRTHT,C11_R_REA_DS_F_a,C11_R_REA_DS_OD,C11_R_REA_DS_NS,C11_R_Real_Estate_Agent_Tot,C11_R_STHA_DS_Sep_house,C11_R_STHA_DS_SemiDRTHT,C11_R_STHA_DS_F_a,C11_R_STHA_DS_OD,C11_R_STHA_DS_NS,C11_R_ST_House_Auth_Tot,C11_R_CHP_DS_Sep_house,C11_R_CHP_DS_SemiDRTHT,C11_R_CHP_DS_F_a,C11_R_CHP_DS_OD,C11_R_CHP_DS_NS,C11_R_CHP_Tot,C11_R_PNISH_DS_Sep_house,C11_R_PNISH_DS_SemDRTHT,C11_R_PNISH_DS_F_a,C11_R_PNISH_DS_OD,C11_R_PNISH_DS_NS,C11_R_PNISH_Tot,C11_R_OLT_DS_Sep_house,C11_R_OLT_DS_SemDRTHT,C11_R_OLT_DS_F_a,C11_R_OLT_DS_OD,C11_R_OLT_DS_NS,C11_R_Oth_Llord_Type_Tot,C11_R_LT_NS_DS_Sep_house,C11_R_LT_NS_DS_SemDRTHT,C11_R_LT_NS_DS_F_a,C11_R_LT_NS_DS_OD,C11_R_LT_NS_DS_NS,C11_R_Llord_Type_NS_Tot,C11_R_Tot_DS_Sep_house,C11_R_Tot_DS_SemDRTHT,C11_R_Tot_DS_F_a,C11_R_Tot_DS_OD,C11_R_Tot_DS_NS,C11_R_Tot_Tot,C11_OTT_DS_Sep_house,C11_OTT_DS_SemiDRTHT,C11_OTT_DS_F_a,C11_OTT_DS_OD,C11_OTT_DS_NS,C11_OTT_Tot,C11_TT_NS_DS_Sep_house,C11_TT_NS_DS_SemiDRTHT,C11_TT_NS_DS_F_a,C11_TT_NS_DS_OD,C11_TT_NS_DS_NS,C11_TT_NS_Tot,C11_Tot_DS_Sep_house,C11_Tot_DS_SemiDRTHT,C11_Tot_DS_F_a,C11_Tot_DS_OD,C11_Tot_DS_NS,C11_Tot_Tot,C16_OO_DS_Sep_house,C16_OO_DS_SemiDRTHT,C16_OO_DS_F_a,C16_OO_DS_OD,C16_OO_DS_NS,C16_OO_Tot,C16_OWM_DS_Sep_house,C16_OWM_DS_SemiDRTHT,C16_OWM_DS_F_a,C16_OWM_DS_OD,C16_OWM_DS_NS,C16_OWM_Tot,C16_R_REA_DS_Sep_house,C16_R_REA_DS_SemiDRTHT,C16_R_REA_DS_F_a,C16_R_REA_DS_OD,C16_R_REA_DS_NS,C16_R_REA_Tot,C16_R_STHA_DS_Sep_house,C16_R_STHA_DS_SemiDRTHT,C16_R_STHA_DS_F_a,C16_R_STHA_DS_OD,C16_R_STHA_DS_NS,C16_R_STHA_Tot,C16_R_CHP_DS_Sep_house,C16_R_CHP_DS_SemiDRTHT,C16_R_CHP_DS_F_a,C16_R_CHP_DS_OD,C16_R_CHP_DS_NS,C16_R_CHP_Tot,C16_R_PNISH_DS_Sep_house,C16_R_PNISH_DS_SemDRTHT,C16_R_PNISH_DS_F_a,C16_R_PNISH_DS_OD,C16_R_PNISH_DS_NS,C16_R_PNISH_Tot,C16_R_OLT_DS_Sep_house,C16_R_OLT_DS_SemDRTHT,C16_R_OLT_DS_F_a,C16_R_OLT_DS_OD,C16_R_OLT_DS_NS,C16_R_OLT_Tot,C16_R_LT_NS_DS_Sep_house,C16_R_LT_NS_DS_SemDRTHT,C16_R_LT_NS_DS_F_a,C16_R_LT_NS_DS_OD,C16_R_LT_NS_DS_NS,C16_R_LT_NS_Tot,C16_R_Tot_DS_Sep_house,C16_R_Tot_DS_SemiDRTHT,C16_R_Tot_DS_F_a,C16_R_Tot_DS_OD,C16_R_Tot_DS_NS,C16_R_Tot_Tot,C16_OTT_DS_Sep_house,C16_OTT_DS_SemiDRTHT,C16_OTT_DS_F_a,C16_OTT_DS_OD,C16_OTT_DS_NS,C16_OTT_Tot,C16_TT_NS_DS_Sep_house,C16_TT_NS_DS_SemiDRTHT,C16_TT_NS_DS_F_a,C16_TT_NS_DS_OD,C16_TT_NS_DS_NS,C16_TT_NS_Tot,C16_Tot_DS_Sep_house,C16_Tot_DS_SemiDRTHT,C16_Tot_DS_F_a,C16_Tot_DS_OD,C16_Tot_DS_NS,C16_Tot_Tot,C21_OO_DS_Sep_house,C21_OO_DS_SemiDRTHT,C21_OO_DS_F_a,C21_OO_DS_OD,C21_OO_DS_NS,C21_OO_Tot,C21_OWM_DS_Sep_house,C21_OWM_DS_SemiDRTHT,C21_OWM_DS_F_a,C21_OWM_DS_OD,C21_OWM_DS_NS,C21_OWM_Tot,C21_R_REA_DS_Sep_house,C21_R_REA_DS_SemiDRTHT,C21_R_REA_DS_F_a,C21_R_REA_DS_OD,C21_R_REA_DS_NS,C21_R_REA_Tot,C21_R_STHA_DS_Sep_house,C21_R_STHA_DS_SemiDRTHT,C21_R_STHA_DS_F_a,C21_R_STHA_DS_OD,C21_R_STHA_DS_NS,C21_R_STHA_Tot,C21_R_CHP_DS_Sep_house,C21_R_CHP_DS_SemiDRTHT,C21_R_CHP_DS_F_a,C21_R_CHP_DS_OD,C21_R_CHP_DS_NS,C21_R_CHP_Tot,C21_R_PNISH_DS_Sep_house,C21_R_PNISH_DS_SemDRTHT,C21_R_PNISH_DS_F_a,C21_R_PNISH_DS_OD,C21_R_PNISH_DS_NS,C21_R_PNISH_Tot,C21_R_OLT_DS_Sep_house,C21_R_OLT_DS_SemDRTHT,C21_R_OLT_DS_F_a,C21_R_OLT_DS_OD,C21_R_OLT_DS_NS,C21_R_OLT_Tot,C21_R_LT_NS_DS_Sep_house,C21_R_LT_NS_DS_SemDRTHT,C21_R_LT_NS_DS_F_a,C21_R_LT_NS_DS_OD,C21_R_LT_NS_DS_NS,C21_R_LT_NS_Tot,C21_R_Tot_DS_Sep_house,C21_R_Tot_DS_SemiDRTHT,C21_R_Tot_DS_F_a,C21_R_Tot_DS_OD,C21_R_Tot_DS_NS,C21_R_Tot_Tot,C21_OTT_DS_Sep_house,C21_OTT_DS_SemiDRTHT
1GSYD,354816,47995,60220,2067,310,465412,381050,61432,88478,672,420,532049,91976,42211,161155,1900,620,297863,22912,16042,25467,34,293,64747,2074,2273,4449,11,34,8851,33482,10849,28636,977,244,74177,4730,1877,2677,943,89,10318,834,418,1079,41,9,2390,156014,73663,223461,3918,1289,458341,11699,4276,7564,234,161,23930,43854,13760,44617,2041,215,104483,947433,201126,424340,8928,2391,1584219,349310,56626,67168,1960,941,475996,377950,71184,90794,1213,1129,542276,104787,50925,207575,3407,1853,368549,19669,19001,25381,46,125,64221,1593,2589,4834,27,95,9138,30678,10761,31513,1075,778,74802,4557,1934,3291,705,217,10705,775,389,1012,29,22,2227,162050,85600,273604,5291,3093,529644,11390,5505,9583,276,400,27160,50156,18479,53013,3150,1983,126775,950856,237391,494170,11894,7536,1701850,370270,57490,80879,1642,439,510714,419940,72704,116535,917,638,610733,144031,58883,277121,3820,1524,485386,19183,18273,23824,20,121,61418,3179,4470,8988,53,103,16786,36234,10521,33176,968,510,81417,7121,2187,4923,552,293,15076,1149,500,1498,61,25,3232,210896,94832,349528,5476,2578,663310,12059,6901
1RNSW,323751,18649,11697,10372,338,364815,276330,11034,7307,1218,203,296090,78879,20441,30357,895,184,130752,22325,6570,8636,31,31,37598,3377,1437,1693,23,18,6551,41671,5482,7081,1010,124,55373,7988,831,1241,2964,50,13079,979,236,404,66,4,1680,155221,34994,49410,4989,417,245029,17555,2332,2240,919,100,23141,39602,5260,8053,4516,634,58064,812463,72270,78707,22013,1694,987138,327337,23571,10352,11199,2413,374867,280939,12339,6007,1506,1306,302103,89052,29390,27492,1058,841,147839,19549,8402,6895,146,118,35115,2878,1998,1409,26,125,6431,41425,6242,5345,809,581,54402,6925,929,984,2351,341,11531,1093,346,359,58,14,1877,160915,47315,42491,4447,2018,257190,16404,3167,1718,783,734,22809,61182,9310,9660,6350,1820,88323,846785,95699,70227,24282,8292,1045289,366247,27052,12793,8167,1509,415770,311400,16114,7928,901,461,336795,105367,36269,30273,1101,435,173445,18365,8057,5624,44,59,32141,5187,3919,2339,32,70,11552,46038,6985,5452,759,439,59678,9682,1508,1202,2528,674,15592,1176,521,328,56,27,2107,185813,57264,45218,4510,1705,294510,17383,5501
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,390882,43877,33791,1990,102,470640,438355,48512,40605,600,143,528217,111566,44436,95353,1057,157,252574,12251,6457,15685,18,11,34426,1637,1033,2445,5,10,5122,38613,10889,17122,776,82,67484,4141,886,1755,1406,23,8211,922,313,679,38,0,1948,169125,64007,133038,3307,278,369770,13369,3864,5156,240,27,22657,52198,11368,23838,1415,51,88873,1063922,171636,236426,7561,600,1480148,385744,64951,29728,1676,851,482953,451882,76835,39609,857,1060,570250,133410,79364,115791,1526,1201,331295,10732,9202,13470,95,87,33590,1468,1615,2832,16,44,5979,37281,15284,16116,597,429,69716,4235,1326,1811,1158,100,8627,821,482,571,33,12,1930,187950,107275,150606,3431,1880,451136,13680,6404,4855,194,255,25395,64525,21005,30147,2292,962,118937,1103791,276467,254949,8449,5012,1648672,421578,71158,39042,1394,342,533516,518628,85779,57046,683,368,662506,179376,90093,139496,1690,594,411245,11853,9925,12416,10,32,34238,2062,2256,3646,20,41,8025,42323,15606,17035,609,229,75800,6541,1847,1835,1068,136,11427,1280,572,618,29,22,2519,243436,120307,175039,3425,1047,543247,14641,8858
2RVIC,186250,5029,6025,3067,61,200435,166114,2670,2831,688,68,172365,44012,6008,11532,212,28,61791,10442,2401,4043,25,3,16909,1453,545,891,5,0,2892,23191,1494,2803,442,27,27956,3623,299,558,1463,12,5956,503,105,197,32,0,832,83213,10852,20029,2170,75,116340,9865,762,958,337,38,11964,23432,1674,3169,1477,31,29782,468875,20993,33009,7743,263,530884,191992,7999,2629,2607,988,206213,173362,4229,1103,693,745,180137,53595,13434,6049,308,327,73720,9436,3929,1732,9,39,15141,1397,927,507,8,27,2862,23585,2586,1164,299,237,27875,3306,428,325,926,132,5113,599,206,127,21,14,967,91909,21514,9897,1572,776,125673,9781,993,454,293,238,11757,38498,4545,2868,2212,664,48792,505541,39285,16955,7377,3414,572572,227543,10388,2192,3146,390,243665,197123,5240,1060,392,253,204070,66105,15811,5104,280,147,87446,9644,4680,1200,14,10,15553,1816,1357,548,31,25,3772,27257,3087,897,278,165,31683,4662,624,297,1351,157,7080,737,271,83,51,5,1148,110217,25832,8128,1999,506,146683,10608,1703
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,177694,10752,10689,2507,59,201692,244581,12191,13418,264,62,270515,87203,20891,35219,207,115,143636,13507,3934,7969,13,4,25435,992,1112,1341,7,8,3460,31219,7341,11571,240,70,50441,4160,1233,1122,1747,25,8284,615,362,393,26,4,1403,137693,34875,57622,2246,219,232659,6524,2477,1800,164,20,10984,25797,4487,8527,980,31,39823,592286,64773,92054,6164,393,755676,183296,11665,12916,2388,437,210705,253731,13779,14550,416,495,282967,99092,32755,46427,261,786,179311,11851,5338,7151,43,44,24424,848,1253,1463,12,46,3626,29173,6730,10246,182,279,46614,4238,1383,1091,1380,96,8188,653,300,358,21,5,1333,145848,47764,66736,1895,1253,263491,6282,2579,2507,127,151,11650,34605,8256,11649,1848,1052,57410,623771,84047,108356,6676,3381,826225,201687,16238,18358,1827,281,238388,288672,19916,21377,184,222,330371,119999,42360,66470,187,523,229548,12201,5630,7330,12,52,25218,1080,1377,1992,15,40,4501,28939,6465,11584,134,248,47367,5197,5448,2868,1412,193,15121,740,480,431,27,8,1692,168152,61755,90680,1794,1060,323440,6422,4419
3RQLD,214723,14520,15548,20373,684,265847,239147,13346,12183,1688,196,266563,84202,20150,38728,427,147,143658,13844,3338,7889,94,28,25197,2822,808,1768,56,5,5453,39715,7993,12535,963,112,61318,11265,1652,2665,4131,62,19769,855,377,594,92,4,1914,152702,34312,64182,5755,359,257310,16563,2465,2705,1608,145,23488,36022,5922,13239,5644,225,61044,659168,70561,107849,35071,1612,874260,223647,19501,15645,18832,2057,279683,249725,15711,10774,1546,1052,278820,98051,34186,37996,458,804,171504,13973,6184,5267,48,120,25590,1632,1377,1237,17,30,4293,39697,9218,9709,632,506,59771,9824,1900,1892,2900,307,16817,910,409,425,74,22,1839,164085,53278,56531,4127,1788,279809,14289,3661,2053,1124,500,21623,51975,10805,14666,8303,2864,88610,703720,102962,99671,33940,8254,948541,258449,24593,23019,15882,3147,325087,278680,21296,14862,1110,667,316618,103357,39758,39736,426,659,183939,13676,6825,4868,56,85,25507,2960,2027,1675,40,53,6760,43232,9255,9938,696,584,63705,12283,4904,4114,4122,1549,26973,1072,513,476,75,21,2151,176576,63291,60800,5425,2948,309044,14338,5366
