GCCSA_CODE_2021,C16_850_949_Oth_lan_typ,C16_850_949_LLT_NS,C16_850_949_Tot,C16_950over_REA,C16_950over_ST_HA,C16_950over_Co_ho_pr,C16_950over_Pe_no_sa_ho,C16_950over_Oth_lan_typ,C16_950over_LLT_NS,C16_950over_Tot,C16_R_NS_REA,C16_R_NS_ST_HA,C16_R_NS_Co_ho_pr,C16_R_NS_Pe_no_sa_ho,C16_R_NS_Oth_lan_typ,C16_R_NS_Land_typ_ns,C16_Rent_not_statd_Tot,C16_Tot_REA,C16_Tot_ST_HA,C16_Tot_Co_ho_pr,C16_Tot_Pe_no_sa_ho,C16_Tot_Oth_lan_typ,C16_Tot_LLT_NS,C16_Tot_Tot,C21_1_74_REA,C21_1_74_ST_HA,C21_1_74_Co_ho_pr,C21_1_74_Per_no_sa_ho,C21_1_74_Oth_land_typ,C21_1_74_LLT_NS,C21_1_74_Tot,C21_75_99_REA,C21_75_99_ST_HA,C21_75_99_Co_ho_pr,C21_75_99_Pe_no_sa_ho,C21_75_99_Oth_lan_typ,C21_75_99_Lan_type_ns,C21_75_99_Tot,C21_100_149_REA,C21_100_149_ST_HA,C21_100_149_Co_ho_pr,C21_100_149_Pe_no_sa_ho,C21_100_149_Ot_lan_ty,C21_100_149_Lan_typ_ns,C21_100_149_Tot,C21_150_199_REA,C21_150_199_ST_HA,C21_150_199_Co_ho_pr,C21_150_199_Pe_no_sa_ho,C21_150_199_Ot_lan_ty,C21_150_199_Lan_ty_ns,C21_150_199_Tot,C21_200_224_REA,C21_200_224_ST_HA,C21_200_224_Co_ho_pr,C21_200_224_Pe_no_sa_ho,C21_200_224_Ot_lan_ty,C21_200_224_Lan_ty_ns,C21_200_224_Tot,C21_225_274_REA,C21_225_274_ST_HA,C21_225_274_Co_ho_pr,C21_225_274_Pe_no_sa_ho,C21_225_274_Ot_la_typ,C21_225_274_Lan_ty_ns,C21_225_274_Tot,C21_275_349_REA,C21_275_349_ST_HA,C21_275_349_Co_ho_pr,C21_275_349_Pe_no_sa_ho,C21_275_349_Ot_lan_ty,C21_275_349_Lan_ty_ns,C21_275_349_Tot,C21_350_449_REA,C21_350_449_ST_HA,C21_350_449_Co_ho_pr,C21_350_449_Pe_no_sa_ho,C21_350_449_Ot_lan_ty,C21_350_449_Lan_ty_ns,C21_350_449_Tot,C21_450_549_REA,C21_450_549_ST_HA,C21_450_549_Co_ho_pr,C21_450_549_Pe_no_sa_ho,C21_450_549_Oth_lan_typ,C21_450_549_Lan_ty_ns,C21_450_549_Tot,C21_550_649_REA,C21_550_649_ST_HA,C21_550_649_Co_ho_pr,C21_550_649_Pe_no_sa_ho,C21_550_649_Ot_lan_ty,C21_550_649_Lan_ty_ns,C21_550_649_Tot,C21_650_749_REA,C21_650_749_ST_HA,C21_650_749_Co_ho_pr,C21_650_749_Pe_no_sa_ho,C21_650_749_Oth_lan_typ,C21_650_749_LLT_NS,C21_650_749_Tot,C21_750_849_REA,C21_750_849_ST_HA,C21_750_849_Co_ho_pr,C21_750_849_Pe_no_sa_ho,C21_750_849_Oth_lan_typ,C21_750_849_LLT_NS,C21_750_849_Tot,C21_850_950_REA,C21_850_949_ST_HA,C21_850_949_Co_ho_pr,C21_850_949_Pe_no_sa_ho,C21_850_949_Oth_lan_typ,C21_850_949_LLT_NS,C21_850_949_Tot,C21_950over_REA,C21_950over_ST_HA,C21_950over_Co_ho_pr,C21_950over_Pe_no_sa_ho,C21_950over_Oth_lan_typ,C21_950over_LLT_NS,C21_950over_Tot,C21_R_NS_REA,C21_R_NS_ST_HA,C21_R_NS_Co_ho_pr,C21_R_NS_Pe_no_sa_ho,C21_R_NS_Oth_lan_typ,C21_R_NS_Land_typ_ns,C21_Rent_not_statd_Tot,C21_Tot_REA,C21_Tot_ST_HA,C21_Tot_Co_ho_pr,C21_Tot_Pe_no_sa_ho,C21_Tot_Oth_lan_typ,C21_Tot_LLT_NS,C21_Tot_Tot
1GSYD,100,29,11995,17026,27,18,3897,270,45,21288,6227,3836,1062,4761,1132,808,17825,374772,68060,10201,79571,11834,3034,547472,422,1736,261,347,121,18,2920,104,3771,477,191,77,27,4648,825,21733,2080,1382,558,159,26734,1712,10583,4061,2499,767,141,19761,2296,4642,1583,2820,549,83,11972,8017,5058,2177,4110,1967,125,21451,33991,3947,2033,8349,1708,177,50200,116269,4037,2049,16941,2901,376,142579,122291,1522,718,15035,2229,251,142052,83079,405,253,9093,1139,128,94088,46043,143,103,5386,529,73,52274,24113,84,57,3277,303,45,27871,13309,31,18,1901,123,17,15397,24637,28,18,4133,276,41,29138,8289,3690,894,5948,1834,1561,22217,485386,61418,16786,81417,15076,3232,663310
1RNSW,57,6,388,460,14,0,380,189,21,1069,2235,2093,617,2823,1705,420,9894,150073,37202,7045,57224,13233,2300,267082,246,879,282,688,788,25,2906,182,1400,325,407,326,37,2686,1585,9452,1508,3101,1258,197,17105,6402,6818,3572,5102,1711,244,23846,6702,2767,1214,5501,1089,137,17411,16555,3641,1596,7458,2325,208,31784,34946,2726,1242,11285,1845,189,52224,53764,1859,853,12275,1745,196,70692,30238,401,196,5607,687,61,37189,11860,100,41,2128,244,32,14392,4447,28,29,876,164,14,5559,1640,19,19,496,113,3,2287,731,14,11,206,64,6,1032,1135,11,5,702,275,13,2140,2992,2026,663,3854,2959,761,13248,173445,32141,11552,59678,15592,2107,294510
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,49,11,3161,5827,18,4,1295,151,45,7337,6490,2353,666,4750,929,687,15872,337780,35947,6645,74461,9552,2615,467009,483,1496,197,524,111,23,2837,254,2103,250,394,109,16,3121,1147,12758,1091,2476,529,141,18155,2492,5186,1866,3897,730,107,14286,3026,2578,1093,3319,530,57,10603,12881,2568,1179,6015,1377,125,24144,72751,2330,937,15745,2272,279,94312,167005,1811,574,19099,2668,339,191486,73803,418,164,9005,806,126,84326,31851,106,48,3850,241,49,36147,15820,65,25,2004,144,29,18080,8675,40,21,1256,72,11,10076,4709,29,12,631,49,8,5435,8669,25,4,1484,188,27,10399,7678,2735,552,6097,1596,1184,19840,411245,34238,8025,75800,11427,2519,543247
2RVIC,13,0,108,207,3,0,282,76,7,582,1215,963,256,1591,907,232,5164,74928,16105,3116,29458,6021,1198,130839,133,828,107,481,378,24,1955,110,950,158,361,179,23,1796,1224,6105,627,2552,873,136,11515,4874,2731,1026,4081,813,137,13661,5303,1311,395,4136,601,68,11810,14372,1519,548,5413,1056,115,23022,25682,657,448,6483,843,137,34252,24981,219,169,3983,497,78,29926,6681,63,27,1081,171,8,8035,1522,18,12,302,77,7,1934,525,13,9,171,52,4,765,202,6,7,92,52,0,353,92,3,0,49,27,0,175,238,3,8,288,96,7,643,1518,1131,247,2200,1362,388,6840,87446,15553,3772,31683,7080,1148,146683
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,17,4,1102,1253,8,5,408,52,13,1728,2523,1491,379,1871,537,373,7173,181833,25913,4006,48488,8719,1707,270663,171,1667,74,208,113,14,2252,71,2053,96,132,50,11,2412,584,9144,486,1127,415,77,11832,1524,4548,984,2205,723,86,10074,1968,1838,606,2333,550,59,7352,10685,1944,758,4139,2788,124,20445,42849,1466,727,9885,2815,219,57970,94731,536,344,13960,4695,272,114542,44180,139,81,6165,1211,86,51862,16524,35,27,2414,416,26,19445,6521,17,12,1031,132,10,7714,2893,6,13,517,78,4,3516,1418,8,7,240,32,3,1705,1984,0,0,529,102,8,2628,3435,1810,289,2475,1008,688,9696,229548,25218,4501,47367,15121,1692,323440
3RQLD,65,3,719,789,14,0,452,198,15,1471,2624,1500,340,2603,2242,488,9804,174131,27093,4633,62377,19060,2321,289613,281,2144,256,539,3583,33,6838,121,2362,361,355,933,27,4153,1077,8998,1158,2627,1757,132,15741,4288,5035,1969,4736,1881,217,18119,6195,1673,674,5726,1440,145,15866,18475,1793,827,8813,2896,212,33009,36658,1061,584,12753,2909,231,54193,53758,454,379,12615,3840,219,71269,34051,107,95,6160,1981,93,42485,14176,30,33,2399,707,51,17396,5703,14,11,1113,396,9,7243,2549,9,7,565,201,10,3338,1319,9,6,322,118,5,1772,1946,9,5,916,382,12,3272,3346,1809,408,4071,3947,772,14346,183939,25507,6760,63705,26973,2151,309044
