GCCSA_CODE_2021,C11_1_74_CF_NC,C11_1_74_CF_Cu15DS_,C11_1_74_CF_CU15_NDS,C11_1_74_CF_NCU15_DS,C11_1_74_CF_NDCO,C11_1_74_Tot,C11_75_99_CF_NC,C11_75_99_CF_Cu15DS_,C11_75_99_CF_CU15_NDS,C11_75_99_CF_NCU15_DS,C11_75_99_CF_NDCO,C11_75_99_Tot,C11_100_149_CF_NC,C11_100_149_CF_Cu15DS_,C11_100_149_CF_CU15_NDS,C11_100_149_CF_NCU15_DS,C11_100_149_CF_NDCO,C11_100_149_Tot,C11_150_199_CF_NC,C11_150_199_CF_Cu15DS_,C11_150_199_CF_CU15_NDS,C11_150_199_CF_NCU15_DS,C11_150_199_CF_NDCO,C11_150_199_Tot,C11_200_224_CF_NC,C11_200_224_CF_Cu15DS_,C11_200_224_CF_CU15_NDS,C11_200_224_CF_NCU15_DS,C11_200_224_CF_NDCO,C11_200_224_Tot,C11_225_274_CF_NC,C11_225_274_CF_Cu15DS_,C11_225_274_CF_CU15_NDS,C11_225_274_CF_NCU15_DS,C11_225_274_CF_NDCO,C11_225_274_Tot,C11_275_349_CF_NC,C11_275_349_CF_Cu15DS_,C11_275_349_CF_CU15_NDS,C11_275_349_CF_NCU15_DS,C11_275_349_CF_NDCO,C11_275_349_Tot,C11_350_449_CF_NC,C11_350_449_CF_Cu15DS_,C11_350_449_CF_CU15_NDS,C11_350_449_CF_NCU15_DS,C11_350_449_CF_NDCO,C11_350_449_Tot,C11_450_549_CF_NC,C11_450_549_CF_Cu15DS_,C11_450_549_CF_CU15_NDS,C11_450_549_CF_NCU15_DS,C11_450_549_CF_NDCO,C11_450_549_Tot,C11_550_649_CF_NC,C11_550_649_CF_Cu15DS_,C11_550_649_CF_CU15_NDS,C11_550_649_CF_NCU15_DS,C11_550_649_CF_NDCO,C11_550_649_Tot,C11_650_749_CF_NC,C11_650_749_CF_Cu15DS_,C11_650_749_CF_CU15_NDS,C11_650_749_CF_NCU15_DS,C11_650_749_CF_NDCO,C11_650_749_Tot,C11_750_849_CF_NC,C11_750_849_CF_Cu15DS_,C11_750_849_CF_CU15_NDS,C11_750_849_CF_NCU15_DS,C11_750_849_CF_NDCO,C11_750_849_Tot,C11_850_949_CF_NC,C11_850_949_CF_Cu15DS_,C11_850_949_CF_CU15_NDS,C11_850_949_CF_NCU15_DS,C11_850_949_CF_NDCO,C11_850_949_Tot,C11_950over_CF_NC,C11_950over_CF_Cu15DS_,C11_950over_CF_CU15_NDS,C11_950over_CF_NCU15_DS,C11_950over_CF_NDCO,C11_950over_Tot,C11_Rns_CF_NC,C11_Rns_CF_Cu15DS_,C11_Rns_CF_CU15_NDS,C11_Rns_CF_NCU15_DS,C11_Rns_CF_NDCO,C11_Rns_Tot,C11_Tot_CF_NC,C11_Tot_CF_Cu15DS_,C11_Tot_CF_CU15_NDS,C11_Tot_CF_NCU15_DS,C11_Tot_CF_NDCO,C11_Tot_Tot,C16_1_74_CF_NC,C16_1_74_CF_Cu15DS_,C16_1_74_CF_CU15_NDS,C16_1_74_CF_NCU15_DS,C16_1_74_CF_NDCO,C16_1_74_Tot,C16_75_99_CF_NC,C16_75_99_CF_Cu15DS_,C16_75_99_CF_CU15_NDS,C16_75_99_CF_NCU15_DS,C16_75_99_CF_NDCO,C16_75_99_Tot,C16_100_149_CF_NC,C16_100_149_CF_Cu15DS_,C16_100_149_CF_CU15_NDS,C16_100_149_CF_NCU15_DS,C16_100_149_CF_NDCO,C16_100_149_Tot,C16_150_199_CF_NC,C16_150_199_CF_Cu15DS_,C16_150_199_CF_CU15_NDS,C16_150_199_CF_NCU15_DS,C16_150_199_CF_NDCO,C16_150_199_Tot,C16_200_224_CF_NC,C16_200_224_CF_Cu15DS_,C16_200_224_CF_CU15_NDS,C16_200_224_CF_NCU15_DS,C16_200_224_CF_NDCO,C16_200_224_Tot,C16_225_274_CF_NC,C16_225_274_CF_Cu15DS_,C16_225_274_CF_CU15_NDS,C16_225_274_CF_NCU15_DS,C16_225_274_CF_NDCO,C16_225_274_Tot,C16_275_349_CF_NC,C16_275_349_CF_Cu15DS_,C16_275_349_CF_CU15_NDS,C16_275_349_CF_NCU15_DS,C16_275_349_CF_NDCO,C16_275_349_Tot,C16_350_449_CF_NC,C16_350_449_CF_Cu15DS_,C16_350_449_CF_CU15_NDS,C16_350_449_CF_NCU15_DS,C16_350_449_CF_NDCO,C16_350_449_Tot,C16_450_549_CF_NC,C16_450_549_CF_Cu15DS_,C16_450_549_CF_CU15_NDS,C16_450_549_CF_NCU15_DS,C16_450_549_CF_NDCO,C16_450_549_Tot,C16_550_649_CF_NC,C16_550_649_CF_Cu15DS_,C16_550_649_CF_CU15_NDS,C16_550_649_CF_NCU15_DS,C16_550_649_CF_NDCO,C16_550_649_Tot,C16_650_749_CF_NC,C16_650_749_CF_Cu15DS_,C16_650_749_CF_CU15_NDS,C16_650_749_CF_NCU15_DS,C16_650_749_CF_NDCO,C16_650_749_Tot,C16_750_849_CF_NC,C16_750_849_CF_Cu15DS_,C16_750_849_CF_CU15_NDS,C16_750_849_CF_NCU15_DS,C16_750_849_CF_NDCO,C16_750_849_Tot,C16_850_949_CF_NC,C16_850_949_CF_Cu15DS_,C16_850_949_CF_CU15_NDS,C16_850_949_CF_NCU15_DS,C16_850_949_CF_NDCO,C16_850_949_Tot,C16_950over_CF_NC,C16_950over_CF_Cu15DS_,C16_950over_CF_CU15_NDS,C16_950over_CF_NCU15_DS,C16_950over_CF_NDCO,C16_950over_Tot,C16_Rns_CF_NC,C16_Rns_CF_Cu15DS_,C16_Rns_CF_CU15_NDS,C16_Rns_CF_NCU15_DS,C16_Rns_CF_NDCO,C16_Rns_Tot,C16_Tot_CF_NC,C16_Tot_CF_Cu15DS_,C16_Tot_CF_CU15_NDS,C16_Tot_CF_NCU15_DS,C16_Tot_CF_NDCO,C16_Tot_Tot,C21_1_74_CF_NC,C21_1_74_CF_Cu15DS_,C21_1_74_CF_CU15_NDS,C21_1_74_CF_NCU15_DS,C21_1_74_CF_NDCO,C21_1_74_Tot,C21_75_99_CF_NC,C21_75_99_CF_Cu15DS_
1GSYD,641,40,210,57,62,1013,478,21,166,28,44,735,4699,160,877,264,457,6459,3273,517,1871,465,607,6724,2744,402,2224,313,562,6241,6005,820,5179,631,1039,13676,16030,1942,15910,1527,2226,37637,26689,3432,23512,2681,3090,59404,17855,1992,12924,1752,1841,36361,9673,927,6914,954,984,19441,4654,526,3998,554,448,10187,2258,310,2477,338,241,5622,1195,189,1500,211,151,3249,1938,626,3485,561,289,6894,2637,394,1990,385,515,5916,100742,12303,83236,10714,12556,219554,305,25,143,18,31,519,348,4,71,17,32,474,1391,58,418,70,136,2080,4107,173,979,271,411,5947,2036,194,878,187,376,3670,3398,445,2307,360,631,7143,8794,949,7405,814,1355,19312,27705,3211,28695,2663,3578,65849,29142,3603,24847,2858,3589,64033,20015,2200,15296,2008,2128,41646,11458,1238,8895,1239,1218,24045,5626,641,4834,743,610,12445,2775,401,3105,436,336,7049,4126,1144,6224,1252,679,13430,3007,389,2155,469,586,6607,124226,14671,106242,13400,15700,274244,237,20,118,16,39,428,345,5
1RNSW,955,95,679,52,79,1861,643,38,308,31,62,1085,4804,301,2028,240,453,7828,6156,593,4130,401,749,12032,4174,488,3608,301,599,9171,6969,899,6774,576,980,16208,8373,1250,9722,757,1109,21205,5043,1269,7407,710,734,15162,1169,397,1888,209,223,3881,311,96,558,74,69,1107,110,48,181,27,25,387,53,12,74,11,0,153,24,4,32,7,0,74,211,17,168,24,31,449,1394,188,1177,131,198,3083,40386,5701,38748,3532,5311,93683,560,52,425,34,56,1130,386,22,173,19,36,630,1793,124,868,86,169,3041,4612,259,2194,227,488,7779,3353,296,2080,149,361,6241,6243,555,4978,361,751,12888,10479,1159,9774,747,1388,23546,10310,1893,12316,1173,1595,27277,3148,878,4430,579,610,9637,980,299,1376,212,190,3057,293,103,480,70,55,1008,118,38,172,26,27,382,66,22,70,15,9,173,131,22,139,20,20,341,1421,184,996,121,218,2936,43892,5904,40467,3820,5980,100064,393,36,286,21,28,764,239,18
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,445,34,199,35,31,743,365,12,150,19,29,580,2777,96,836,102,239,4057,3220,309,1864,262,380,6040,3305,292,2558,261,400,6813,10373,965,8137,829,1144,21444,23753,2361,19358,1718,2025,49226,20482,1922,14000,1646,1545,39592,7629,749,5127,760,558,14825,2875,344,2315,349,225,6098,1220,173,1315,192,114,3012,573,107,777,111,64,1638,304,64,511,105,51,1036,905,256,1255,236,134,2788,2193,295,1580,289,364,4723,80432,7995,59984,6910,7300,162620,292,32,169,26,36,549,306,13,92,11,25,442,1212,48,516,67,119,1960,2686,137,1007,157,237,4225,1913,156,979,133,177,3362,6287,485,4656,409,654,12484,25171,2520,23611,1854,2389,55542,33325,3618,27130,2787,2964,69824,15322,1446,10530,1449,1184,29935,6496,724,4761,701,517,13202,2525,381,2602,415,244,6170,1211,236,1449,249,154,3301,562,145,865,180,95,1846,1255,431,1940,439,211,4282,2547,331,1891,319,459,5542,101126,10696,82200,9191,9444,212656,257,26,125,22,31,460,240,10
2RVIC,413,53,222,49,40,775,358,18,180,18,26,602,2633,156,1297,114,182,4387,4027,444,3073,256,504,8302,2459,312,2419,200,289,5692,3799,511,3866,325,367,8867,2673,529,3451,283,309,7237,904,294,1598,193,161,3159,203,63,366,35,26,693,44,14,95,5,9,164,20,7,29,0,3,56,11,3,14,5,0,45,15,0,15,0,0,34,106,16,74,8,17,220,738,99,629,84,109,1655,18415,2512,17320,1578,2044,41873,230,29,152,26,38,468,212,9,88,14,14,335,1155,76,624,57,112,2022,2930,212,1574,140,264,5115,2306,212,1576,144,283,4520,4732,479,3948,289,465,9916,5424,755,5734,465,557,12930,2429,623,3603,398,360,7415,415,138,631,101,71,1350,92,26,161,33,16,324,31,8,42,5,7,102,20,11,19,0,0,57,17,3,16,0,0,27,67,3,52,6,12,139,723,111,543,80,115,1573,20779,2684,18765,1750,2312,46296,221,13,102,18,21,369,163,3
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,224,15,119,16,26,407,172,17,104,6,21,308,1999,134,742,132,237,3253,1765,281,1137,139,266,3600,1873,200,1349,109,208,3738,4318,414,3129,243,465,8567,13160,1439,11977,815,1279,28668,16204,2268,15177,1452,1812,36917,4487,797,3929,583,568,10371,1470,281,1472,238,194,3643,507,143,706,136,87,1578,240,78,343,64,28,758,138,28,185,34,18,400,272,106,432,73,34,908,1044,131,791,128,174,2256,47880,6321,41591,4170,5418,105376,136,9,62,16,17,241,107,7,22,9,12,151,752,41,238,32,88,1156,1759,130,578,77,163,2710,1088,124,575,79,122,1987,3609,357,2851,197,428,7436,11409,1188,10393,721,1218,24928,22366,2946,20391,1823,2432,49961,8852,1453,7687,1100,1153,20245,2835,564,2714,505,413,7041,1048,264,1089,244,171,2817,385,145,567,136,95,1326,200,57,290,70,35,649,292,115,479,117,62,1064,1047,175,752,112,205,2292,55899,7572,48698,5243,6609,124017,123,18,77,17,16,241,124,7
3RQLD,1941,266,2380,142,249,4975,672,116,831,39,97,1758,3044,250,2025,154,340,5812,3888,418,2820,197,466,7787,3333,310,2758,202,338,6948,6779,656,5806,386,708,14330,11942,1176,10416,697,1134,25370,12090,1909,13953,1207,1626,30782,3274,883,4565,561,646,9926,960,292,1324,216,224,3010,374,127,547,104,81,1232,179,47,224,33,32,508,74,18,105,16,16,234,296,53,322,54,52,780,1626,196,1451,147,238,3651,50465,6720,49537,4153,6220,117099,1273,184,1465,104,137,3165,523,52,550,24,76,1222,1691,156,1404,86,233,3570,3201,249,1901,135,352,5832,3054,234,1897,147,288,5614,6982,625,5470,369,662,14110,13594,1398,11403,845,1402,28642,15162,2370,15085,1393,1914,35926,5359,1320,6827,979,1112,15602,1625,526,2122,443,445,5158,651,233,881,177,192,2132,271,98,368,82,75,903,122,52,163,49,53,442,204,49,225,68,40,592,1482,216,1285,152,246,3386,55207,7782,51046,5052,7213,126293,1196,166,1168,101,138,2765,508,42
