GCCSA_CODE_2021,C21_450_549_1PF_CU15_DS,C21_450_549_1PF_CU15_NDS,C21_450_549_1PFnoCU15_DS,C21_450_549_1PF_NDCO,C21_450_549_Tot,C21_550_649_1PF_CU15_DS,C21_550_649_1PF_CU15_NDS,C21_550_649_1PFnoCU15_DS,C21_550_649_1PF_NDCO,C21_550_649_Tot,C21_650_749_1PF_CU15_DS,C21_650_749_1PF_CU15_NDS,C21_650_749_1PFnoCU15_DS,C21_650_749_1PF_NDCO,C21_650_749_Tot,C21_750_849_1PF_CU15_DS,C21_750_849_1PF_CU15_NDS,C21_750_849_1PFnoCU15_DS,C21_750_849_1PF_NDCO,C21_750_849_Tot,C21_850_949_1PF_CU15_DS,C21_850_949_1PF_CU15_NDS,C21_850_949_1PFnoCU15_DS,C21_850_949_1PF_NDCO,C21_850_949_Tot,C21_950over_1PF_CU15_DS,C21_950over_1PF_CU15_NDS,C21_950over_1PFnoCU15_DS,C21_950over_1PF_NDCO,C21_950over_Tot,C21_Rns_1PF_CU15_DS,C21_Rns_1PF_CU15_NDS,C21_Rns_1PFnoCU15_DS,C21_Rns_1PF_NDCO,C21_Rns_Tot,C21_Tot_1PF_CU15_DS,C21_Tot_1PF_CU15_NDS,C21_Tot_1PFnoCU15_DS,C21_Tot_1_pa_f_NDCO,C21_Tot_Tot
1GSYD,2072,9588,3048,5896,20607,1395,5605,2072,3331,12403,716,2756,1137,1506,6120,400,1292,615,714,3026,231,691,349,385,1655,427,1219,707,523,2880,282,1269,452,1137,3143,8939,42575,13910,28051,93467
1RNSW,981,4400,986,1799,8167,349,1393,292,534,2567,135,411,100,160,803,53,158,46,69,323,13,57,21,30,122,17,85,20,28,148,161,1051,162,591,1959,5587,33492,5739,14967,59779
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,1329,5039,2157,2511,11042,491,1778,931,800,3997,275,821,439,317,1845,114,444,219,182,954,72,251,154,89,568,160,398,237,213,1006,268,1240,461,1020,2988,7696,35282,12338,20822,76127
2RVIC,228,667,179,256,1328,38,124,43,40,247,17,34,4,19,77,6,22,7,9,39,0,5,0,0,6,0,25,4,10,40,61,462,88,277,886,2963,15994,3098,7026,29077
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,991,3963,1323,1833,8105,355,1273,476,616,2723,161,489,184,211,1042,68,182,90,85,424,20,80,35,42,177,46,92,54,45,236,164,818,182,475,1639,6084,31108,7160,14378,58725
3RQLD,981,4264,1150,1988,8388,409,1458,447,748,3063,149,549,165,284,1145,47,223,73,108,452,33,108,38,53,231,34,119,36,50,242,148,1008,150,530,1831,5922,33433,6208,14793,60352
