GCCSA_CODE_2021,C11_Neg_Ni_inc_CF_1C,C11_Neg_Ni_inc_CF_2C,C11_Neg_Ni_inc_CF_3C,C11_Neg_Ni_inc_Cou_fa_4mor_c,C11_Neg_Ni_inc_Tot,C11_1_149_CF_1C,C11_1_149_CF_2C,C11_1_149_CF_3C,C11_1_149_CF_4mC,C11_1_149_Tot,C11_150_299_CF_1C,C11_150_299_CF_2C,C11_150_299_CF_3C,C11_150_299_CF_4mC,C11_150_299_Tot,C11_300_399_CF_1C,C11_300_399_CF_2C,C11_300_399_CF_3C,C11_300_399_CF_4mC,C11_300_399_Tot,C11_400_499_CF_1C,C11_400_499_CF_2C,C11_400_499_CF_3C,C11_400_499_CF_4mC,C11_400_499_Tot,C11_500_649_CF_1C,C11_500_649_CF_2C,C11_500_649_CF_3C,C11_500_649_CF_4mC,C11_500_649_Tot,C11_650_799_CF_1C,C11_650_799_CF_2C,C11_650_799_CF_3C,C11_650_799_CF_4mC,C11_650_799_Tot,C11_800_999_CF_1C,C11_800_999_CF_2C,C11_800_999_CF_3C,C11_800_999_CF_4mC,C11_800_999_Tot,C11_1000_1499_CF_1C,C11_1000_1499_CF_2C,C11_1000_1499_CF_3C,C11_1000_1499_CF_4mC,C11_1000_1499_Tot,C11_1500_1999_CF_1C,C11_1500_1999_CF_2C,C11_1500_1999_CF_3C,C11_1500_1999_CF_4mC,C11_1500_1999_Tot,C11_2000_2499_CF_1C,C11_2000_2499_CF_2C,C11_2000_2499_CF_3C,C11_2000_2499_CF_4mC,C11_2000_2499_Tot,C11_2500_2999_CF_1C,C11_2500_2999_CF_2C,C11_2500_2999_CF_3C,C11_2500_2999_CF_4mC,C11_2500_2999_Tot,C11_3000_3999_CF_1C,C11_3000_3999_CF_2C,C11_3000_3999_CF_3C,C11_3000_3999_CF_4mC,C11_3000_3999_Tot,C11_4000more_CF_1C,C11_4000more_CF_2C,C11_4000more_CF_3C,C11_4000more_Cou_fa_4mo_ch,C11_4000more_Tot,C11_Par_inc_st_CF_1C,C11_Par_inc_st_CF_2C,C11_Par_inc_st_CF_3C,C11_Par_inc_st_CF_4mC,C11_Par_inc_st_Tot,C11_All_inc_ns_CF_1Ch,C11_All_inc_ns_CF_2C,C11_All_inc_ns_CF_3C,C11_All_inc_ns_CF_4mC,C11_All_inc_ns_Tot,C11_Tot_CF_1C,C11_Tot_CF_2C,C11_Tot_CF_3C,C11_Tot_CF_4mC,C11_Tot_Tot,C16_Neg_Ni_inc_CF_1C,C16_Neg_Ni_inc_CF_2C,C16_Neg_Ni_inc_CF_3C,C16_Neg_Ni_inc_Cou_fa_4mor_c,C16_Neg_Ni_inc_Tot,C16_1_149_CF_1C,C16_1_149_CF_2C,C16_1_149_CF_3C,C16_1_149_CF_4mC,C16_1_149_Tot,C16_150_299_CF_1C,C16_150_299_CF_2C,C16_150_299_CF_3C,C16_150_299_CF_4mC,C16_150_299_Tot,C16_300_399_CF_1C,C16_300_399_CF_2C,C16_300_399_CF_3C,C16_300_399_CF_4mC,C16_300_399_Tot,C16_400_499_CF_1C,C16_400_499_CF_2C,C16_400_499_CF_3C,C16_400_499_CF_4mC,C16_400_499_Tot,C16_500_649_CF_1C,C16_500_649_CF_2C,C16_500_649_CF_3C,C16_500_649_CF_4mC,C16_500_649_Tot,C16_650_799_CF_1C,C16_650_799_CF_2C,C16_650_799_CF_3C,C16_650_799_CF_4mC,C16_650_799_Tot,C16_800_999_CF_1C,C16_800_999_CF_2C,C16_800_999_CF_3C,C16_800_999_CF_4mC,C16_800_999_Tot,C16_1000_1499_CF_1C,C16_1000_1499_CF_2C,C16_1000_1499_CF_3C,C16_1000_1499_CF_4mC,C16_1000_1499_Tot,C16_1500_1999_CF_1C,C16_1500_1999_CF_2C,C16_1500_1999_CF_3C,C16_1500_1999_CF_4mC,C16_1500_1999_Tot,C16_2000_2499_CF_1C,C16_2000_2499_CF_2C,C16_2000_2499_CF_3C,C16_2000_2499_CF_4mC,C16_2000_2499_Tot,C16_2500_2999_CF_1C,C16_2500_2999_CF_2C,C16_2500_2999_CF_3C,C16_2500_2999_CF_4mC,C16_2500_2999_Tot,C16_3000_3999_CF_1C,C16_3000_3999_CF_2C,C16_3000_3999_CF_3C,C16_3000_3999_CF_4mC,C16_3000_3999_Tot,C16_4000more_CF_1C,C16_4000more_CF_2C,C16_4000more_CF_3C,C16_4000more_Cou_fa_4mo_ch,C16_4000more_Tot,C16_Par_inc_st_CF_1C,C16_Par_inc_st_CF_2C,C16_Par_inc_st_CF_3C,C16_Par_inc_st_CF_4mC,C16_Par_inc_st_Tot,C16_All_inc_ns_CF_1Ch,C16_All_inc_ns_CF_2C,C16_All_inc_ns_CF_3C,C16_All_inc_ns_CF_4mC,C16_All_inc_ns_Tot,C16_Tot_CF_1C,C16_Tot_CF_2C,C16_Tot_CF_3C,C16_Tot_CF_4mC,C16_Tot_Tot,C21_Neg_Ni_inc_CF_1C,C21_Neg_Ni_inc_CF_2C,C21_Neg_Ni_inc_CF_3C,C21_Neg_Ni_inc_Cou_fa_4mor_c,C21_Neg_Ni_inc_Tot,C21_1_149_CF_1C,C21_1_149_CF_2C,C21_1_149_CF_3C,C21_1_149_CF_4mC,C21_1_149_Tot,C21_150_299_CF_1C,C21_150_299_CF_2C,C21_150_299_CF_3C,C21_150_299_CF_4mC,C21_150_299_Tot,C21_300_399_CF_1C,C21_300_399_CF_2C,C21_300_399_CF_3C,C21_300_399_CF_4mC,C21_300_399_Tot,C21_400_499_CF_1C,C21_400_499_CF_2C,C21_400_499_CF_3C,C21_400_499_CF_4mC,C21_400_499_Tot,C21_500_649_CF_1C,C21_500_649_CF_2C,C21_500_649_CF_3C,C21_500_649_CF_4mC,C21_500_649_Tot
1GSYD,1449,1128,434,214,3230,601,485,209,81,1373,1680,1345,581,337,3939,1243,1125,544,283,3187,2158,1787,741,397,5079,5093,4262,1984,1129,12474,7503,6675,2745,1336,18263,10137,9993,4091,1958,26178,30270,29012,11911,4955,76151,28489,31134,11575,4209,75407,25902,28535,9653,2905,66997,22240,33127,12602,3391,71362,26058,36700,12613,3114,78486,15564,22681,8349,2201,48795,20544,26621,12768,5609,65540,2653,2764,1340,680,7441,201568,237373,92157,32788,563886,1509,1188,499,277,3476,480,421,146,96,1144,955,744,298,196,2192,765,527,214,127,1633,2083,1870,855,502,5312,3202,2746,1348,751,8048,5649,4474,1998,1060,13189,8220,7346,3025,1568,20161,28265,25002,9790,4397,67449,29582,29506,10811,4257,74145,32210,35044,11467,3724,82443,23888,28607,9302,2772,64568,30912,41520,13644,3525,89598,32038,54244,20092,4865,111232,22282,27512,12203,5202,67197,2003,2161,993,473,5626,224030,262919,96675,33794,617420,1710,1205,585,386,3891,338,240,94,76,752,627,443,181,120,1377,597,411,204,122,1325,1327,1081,542,326,3278,1933,1670,827,461,4896
1RNSW,443,379,154,68,1048,170,196,81,19,474,684,499,230,108,1523,434,406,182,106,1136,799,591,272,152,1804,3035,2268,1017,554,6871,4370,3391,1613,683,10060,6241,5953,2732,1230,16161,18656,18467,8596,3562,49292,15223,18081,7918,2836,44059,12065,14777,5769,1909,34519,7902,11428,4964,1509,25804,8202,11498,4522,1209,25428,3140,4044,1825,540,9546,12091,13987,7256,3101,36441,1420,1391,662,333,3810,94882,107361,47785,17940,267963,379,291,126,72,868,183,172,62,22,440,379,217,108,48,756,219,114,49,35,414,924,686,346,188,2148,1252,1008,434,219,2921,2874,2013,822,453,6151,4432,3546,1650,834,10459,16619,14709,6551,2713,40591,15301,17054,7240,2788,42376,14535,17254,7009,2238,41045,10340,13283,5170,1381,30167,10215,13950,5468,1458,31088,6747,10202,4579,1231,22766,11796,13735,6661,2856,35047,1083,989,439,195,2702,97276,109214,46719,16729,269941,400,292,144,62,900,129,74,27,16,241,218,132,62,19,434,201,79,44,27,352,446,333,143,87,1003,695,441,206,114,1459
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,1222,1016,359,190,2791,549,446,135,66,1190,1529,1197,506,274,3505,1035,960,383,214,2592,1805,1382,591,267,4047,4469,3651,1613,878,10610,7020,5944,2197,1039,16195,9878,9710,3590,1412,24596,30796,31806,11435,3895,77928,27753,33887,12002,3408,77051,23549,28116,8997,2342,63004,18494,28797,10745,2645,60679,19439,29708,10424,2275,61852,9816,15309,5867,1393,32381,18598,24988,11669,4466,59722,2828,3053,1316,605,7801,178769,219968,81833,25379,505945,1500,1289,484,292,3563,577,443,183,96,1295,1027,799,295,199,2319,770,500,189,109,1575,2112,1780,810,510,5215,3099,2669,1073,690,7526,5708,4434,1761,945,12849,8851,7822,2845,1302,20811,30345,28041,9772,3716,71878,29829,33256,11052,3606,77733,30624,36291,11107,3050,81074,21494,28197,8697,2039,60422,24292,34523,10748,2336,71908,21626,38322,14354,3089,77383,20288,25827,10946,4561,61617,2147,2466,949,427,5989,204281,246651,85271,26957,563156,1505,1198,501,280,3487,370,293,101,50,817,655,489,194,104,1441,633,419,152,95,1307,1343,991,486,294,3110,1879,1648,666,430,4619
2RVIC,234,223,100,47,605,119,105,43,11,281,425,286,127,63,892,255,251,101,60,663,415,361,153,69,990,1619,1241,591,338,3786,2503,2160,954,436,6049,3558,3748,1689,708,9703,10694,11844,5780,2128,30455,8327,10715,4776,1672,25490,6402,7858,3261,943,18465,3702,5273,2463,752,12194,3449,4428,1984,539,10403,1096,1448,741,242,3535,6282,7298,3959,1635,19173,885,860,473,223,2437,49956,58096,27205,9868,145130,217,207,93,56,578,124,116,41,22,302,235,152,77,34,496,137,73,39,22,272,531,429,236,127,1320,801,609,254,151,1813,1667,1225,553,262,3709,2724,2309,1024,485,6548,9305,9327,4364,1645,24632,8821,10437,4613,1561,25435,7820,9600,4042,1170,22639,5093,6711,2729,718,15253,4532,6090,2548,593,13765,2793,4104,1953,567,9415,6248,7301,3688,1685,18921,677,596,312,132,1707,51728,59286,26562,9234,146807,243,168,75,58,543,79,60,26,11,171,130,83,36,16,263,104,60,29,14,208,261,188,78,44,570,396,329,113,83,926
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,413,317,137,75,940,192,151,44,22,409,469,421,180,104,1167,316,311,108,78,814,594,470,195,127,1377,1682,1283,545,346,3854,2751,2211,898,525,6382,4302,3830,1494,860,10486,14085,14171,5954,2751,36970,14015,16007,6162,2492,38682,13233,14743,5040,1574,34584,10015,14491,5662,1526,31698,10881,14889,5304,1386,32456,4726,6859,2692,757,15033,9349,11540,5283,2410,28584,1129,1191,503,302,3123,88137,102890,40204,15326,246558,451,351,150,109,1064,190,163,46,34,436,309,226,84,52,666,229,145,50,37,463,775,594,257,202,1828,1160,823,333,254,2569,2203,1542,616,369,4729,3670,2823,1187,693,8363,13582,11613,4781,2489,32461,14036,15059,5613,2530,37237,15099,17126,5761,2055,40041,11099,14043,4631,1309,31078,12976,17644,5857,1472,37949,10379,17393,6661,1732,36163,9916,12040,5071,2312,29343,900,854,345,206,2307,96959,112426,41446,15856,266694,431,340,112,121,1002,124,90,40,24,273,218,134,61,19,434,159,107,41,35,342,464,277,138,93,976,675,540,215,156,1575
3RQLD,482,439,177,86,1180,195,190,76,18,485,647,487,198,105,1435,464,361,167,74,1068,704,539,236,112,1592,2573,1823,767,439,5600,3664,2838,1248,617,8373,5338,5033,2195,1152,13720,16258,16674,7281,3266,43472,13999,16283,6828,2623,39736,11435,13140,4580,1657,30813,7995,11369,4559,1471,25400,7842,10085,3786,1110,22825,3012,3698,1451,490,8650,12346,14315,6548,2949,36148,1564,1546,664,371,4143,88529,98814,40767,16530,244639,422,408,153,70,1055,233,171,73,39,514,362,241,93,50,747,244,150,57,25,481,877,679,308,200,2059,1306,987,423,257,2968,2707,1859,825,432,5826,4052,3426,1523,767,9760,14827,13693,5943,2619,37081,14312,16057,6340,2671,39377,14091,16387,6079,2029,38589,9693,12297,4345,1322,27658,9672,12811,4437,1204,28130,6478,9084,3665,1147,20365,12024,13638,6158,2691,34515,1052,994,408,219,2676,92347,102868,40824,15759,251803,449,330,118,71,966,116,119,46,18,294,226,150,65,21,477,171,110,47,25,353,519,334,144,93,1086,734,468,178,122,1501
