GCCSA_CODE_2021,C11_Neg_Ni_inc_1PF_1C,C11_Neg_Ni_inc_1PF_2C,C11_Neg_Ni_inc_1PF_3C,C11_Neg_Ni_inc_1PF_4mor_c,C11_Neg_Ni_inc_Tot,C11_1_149_1PF_1C,C11_1_149_1PF_2C,C11_1_149_1PF_3C,C11_1_149_1PF_4mC,C11_1_149_Tot,C11_150_299_1PF_1C,C11_150_299_1PF_2C,C11_150_299_1PF_3C,C11_150_299_1PF_4mC,C11_150_299_Tot,C11_300_399_1PF_1C,C11_300_399_1PF_2C,C11_300_399_1PF_3C,C11_300_399_1PF_4mC,C11_300_399_Tot,C11_400_499_1PF_1C,C11_400_499_1PF_2C,C11_400_499_1PF_3C,C11_400_499_1PF_4mC,C11_400_499_Tot,C11_500_649_1PF_1C,C11_500_649_1PF_2C,C11_500_649_1PF_3C,C11_500_649_1PF_4mC,C11_500_649_Tot,C11_650_799_1PF_1C,C11_650_799_1PF_2C,C11_650_799_1PF_3C,C11_650_799_1PF_4mC,C11_650_799_Tot,C11_800_999_1PF_1C,C11_800_999_1PF_2C,C11_800_999_1PF_3C,C11_800_999_1PF_4mC,C11_800_999_Tot,C11_1000_1499_1PF_1C,C11_1000_1499_1PF_2C,C11_1000_1499_1PF_3C,C11_1000_1499_1PF_4mC,C11_1000_1499_Tot,C11_1500_1999_1PF_1C,C11_1500_1999_1PF_2C,C11_1500_1999_1PF_3C,C11_1500_1999_1PF_4mC,C11_1500_1999_Tot,C11_2000_2499_1PF_1C,C11_2000_2499_1PF_2C,C11_2000_2499_1PF_3C,C11_2000_2499_1PF_4mC,C11_2000_2499_Tot,C11_2500_2999_1PF_1C,C11_2500_2999_1PF_2C,C11_2500_2999_1PF_3C,C11_2500_2999_1PF_4mC,C11_2500_2999_Tot,C11_3000_3999_1PF_1C,C11_3000_3999_1PF_2C,C11_3000_3999_1PF_3C,C11_3000_3999_1PF_4mC,C11_3000_3999_Tot,C11_4000more_1PF_1C,C11_4000more_1PF_2C,C11_4000more_1PF_3C,C11_4000more_1PF_4mo_ch,C11_4000more_Tot,C11_Par_inc_st_1PF_1C,C11_Par_inc_st_1PF_2C,C11_Par_inc_st_1PF_3C,C11_Par_inc_st_1PF_4mC,C11_Par_inc_st_Tot,C11_All_inc_ns_1PF_1Ch,C11_All_inc_ns_1PF_2C,C11_All_inc_ns_1PF_3C,C11_All_inc_ns_1PF_4mC,C11_All_inc_ns_Tot,C11_Tot_1PF_1C,C11_Tot_1PF_2C,C11_Tot_1PF_3C,C11_Tot_1PF_4mC,C11_Tot_Tot,C16_Neg_Ni_inc_1PF_1C,C16_Neg_Ni_inc_1PF_2C,C16_Neg_Ni_inc_1PF_3C,C16_Neg_Ni_inc_1PF_4mor_c,C16_Neg_Ni_inc_Tot,C16_1_149_1PF_1C,C16_1_149_1PF_2C,C16_1_149_1PF_3C,C16_1_149_1PF_4mC,C16_1_149_Tot,C16_150_299_1PF_1C,C16_150_299_1PF_2C,C16_150_299_1PF_3C,C16_150_299_1PF_4mC,C16_150_299_Tot,C16_300_399_1PF_1C,C16_300_399_1PF_2C,C16_300_399_1PF_3C,C16_300_399_1PF_4mC,C16_300_399_Tot,C16_400_499_1PF_1C,C16_400_499_1PF_2C,C16_400_499_1PF_3C,C16_400_499_1PF_4mC,C16_400_499_Tot,C16_500_649_1PF_1C,C16_500_649_1PF_2C,C16_500_649_1PF_3C,C16_500_649_1PF_4mC,C16_500_649_Tot,C16_650_799_1PF_1C,C16_650_799_1PF_2C,C16_650_799_1PF_3C,C16_650_799_1PF_4mC,C16_650_799_Tot,C16_800_999_1PF_1C,C16_800_999_1PF_2C,C16_800_999_1PF_3C,C16_800_999_1PF_4mC,C16_800_999_Tot,C16_1000_1499_1PF_1C,C16_1000_1499_1PF_2C,C16_1000_1499_1PF_3C,C16_1000_1499_1PF_4mC,C16_1000_1499_Tot,C16_1500_1999_1PF_1C,C16_1500_1999_1PF_2C,C16_1500_1999_1PF_3C,C16_1500_1999_1PF_4mC,C16_1500_1999_Tot,C16_2000_2499_1PF_1C,C16_2000_2499_1PF_2C,C16_2000_2499_1PF_3C,C16_2000_2499_1PF_4mC,C16_2000_2499_Tot,C16_2500_2999_1PF_1C,C16_2500_2999_1PF_2C,C16_2500_2999_1PF_3C,C16_2500_2999_1PF_4mC,C16_2500_2999_Tot,C16_3000_3999_1PF_1C,C16_3000_3999_1PF_2C,C16_3000_3999_1PF_3C,C16_3000_3999_1PF_4mC,C16_3000_3999_Tot,C16_4000more_1PF_1C,C16_4000more_1PF_2C,C16_4000more_1PF_3C,C16_4000more_1PF_4mo_ch,C16_4000more_Tot,C16_Par_inc_st_1PF_1C,C16_Par_inc_st_1PF_2C,C16_Par_inc_st_1PF_3C,C16_Par_inc_st_1PF_4mC,C16_Par_inc_st_Tot,C16_All_inc_ns_1PF_1Ch,C16_All_inc_ns_1PF_2C,C16_All_inc_ns_1PF_3C,C16_All_inc_ns_1PF_4mC,C16_All_inc_ns_Tot,C16_Tot_1PF_1C,C16_Tot_1PF_2C,C16_Tot_1PF_3C,C16_Tot_1PF_4mC,C16_Tot_Tot,C21_Neg_Ni_inc_1PF_1C,C21_Neg_Ni_inc_1PF_2C,C21_Neg_Ni_inc_1PF_3C,C21_Neg_Ni_inc_1PF_4mor_c,C21_Neg_Ni_inc_Tot,C21_1_149_1PF_1C,C21_1_149_1PF_2C,C21_1_149_1PF_3C,C21_1_149_1PF_4mC,C21_1_149_Tot,C21_150_299_1PF_1C,C21_150_299_1PF_2C,C21_150_299_1PF_3C,C21_150_299_1PF_4mC,C21_150_299_Tot,C21_300_399_1PF_1C,C21_300_399_1PF_2C,C21_300_399_1PF_3C,C21_300_399_1PF_4mC,C21_300_399_Tot,C21_400_499_1PF_1C,C21_400_499_1PF_2C,C21_400_499_1PF_3C,C21_400_499_1PF_4mC,C21_400_499_Tot,C21_500_649_1PF_1C,C21_500_649_1PF_2C,C21_500_649_1PF_3C,C21_500_649_1PF_4mC,C21_500_649_Tot
1GSYD,2049,1049,313,121,3535,1534,744,225,76,2576,4283,2078,638,217,7214,6174,2834,984,358,10347,9019,6261,2207,724,18210,5062,1783,710,370,7922,11552,5147,2215,1126,20037,10658,4502,1411,680,17257,19681,8718,2397,972,31768,10479,5488,1509,491,17976,5142,2620,740,239,8736,4767,3095,810,234,8903,2025,1409,475,153,4059,359,472,216,80,1123,7256,5779,2533,1204,16767,2716,1267,511,292,4785,102753,53257,17877,7331,181216,2895,1358,451,211,4904,1108,478,148,46,1777,3142,1445,434,188,5203,3107,1698,626,245,5673,5687,2585,834,323,9418,7361,4802,1651,608,14414,9162,4215,1918,829,16127,11003,4286,1561,767,17621,22049,9553,2870,1145,35618,13968,6733,1823,643,23167,9192,5079,1292,420,15990,4142,2452,666,209,7471,3428,3086,926,302,7747,2050,1545,508,216,4316,7559,5953,2366,1064,16944,2182,958,333,200,3677,108017,56222,18396,7417,190046,3303,1588,506,240,5631,796,300,105,31,1234,1647,722,218,86,2670,2559,1249,417,146,4378,4462,2070,726,283,7536,6460,3631,1206,510,11804
1RNSW,681,282,72,62,1100,869,388,110,34,1401,3064,1362,431,163,5008,5502,2527,856,352,9236,8381,6295,2295,887,17856,4180,1279,552,315,6320,9874,4482,2131,1208,17691,7640,3200,1166,616,12620,10536,4990,1532,647,17701,4238,2378,698,207,7524,1654,799,207,85,2739,1134,824,218,61,2230,460,271,77,36,841,95,56,29,9,199,4632,3439,1584,798,10458,2171,938,394,252,3752,65103,33499,12348,5732,116687,850,414,149,78,1485,609,220,89,34,949,2148,909,300,112,3472,2640,1588,585,212,5032,4992,2295,767,297,8348,7010,4572,1754,677,14016,7907,3926,1957,842,14636,8797,3417,1317,816,14347,13758,6054,1968,875,22656,6420,3381,980,357,11135,3369,1793,487,186,5837,1186,670,185,65,2105,769,606,198,68,1641,512,238,93,18,861,5140,3578,1549,835,11102,1900,840,313,197,3246,68015,34480,12687,5678,120860,1037,420,150,80,1686,447,151,49,22,662,999,409,119,44,1578,1786,867,284,117,3053,3444,1583,603,243,5878,5383,3092,1194,490,10163
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,1713,866,245,93,2923,1378,713,177,63,2333,3642,1999,547,190,6373,5487,2585,831,262,9164,7915,5694,1871,586,16061,4645,1658,662,274,7242,10957,5018,1863,787,18631,10470,4473,1313,488,16740,18173,8373,2273,739,29559,8560,4863,1312,385,15127,3990,2296,625,193,7107,3151,2380,623,165,6323,1320,972,367,102,2766,195,270,114,53,628,6924,5470,2369,918,15681,2609,1210,432,289,4543,91129,48849,15643,5594,161210,2897,1439,426,212,4977,1158,519,163,76,1913,3049,1569,457,178,5252,3035,1876,581,240,5731,5453,2482,719,292,8947,7590,4881,1500,498,14474,9053,4394,1639,630,15719,10910,4583,1517,675,17687,20704,9451,2547,935,33631,11899,6272,1654,534,20357,7152,4135,1043,305,12635,2767,1856,557,128,5313,2144,2095,585,197,5018,1284,944,331,96,2654,7428,5989,2314,969,16703,2221,974,329,234,3759,98746,53472,16348,6206,174766,3343,1458,453,201,5453,893,433,115,41,1486,1809,866,243,106,3026,2558,1267,372,130,4330,4480,2007,611,245,7339,6239,3519,1070,382,11211
2RVIC,337,132,34,19,531,420,196,47,12,672,1557,661,223,63,2505,2657,1329,440,142,4566,4278,3282,1191,401,9154,1952,693,280,141,3063,4755,2400,1120,543,8827,3884,1662,597,274,6420,5275,2533,794,291,8895,1916,1024,331,109,3376,703,335,126,32,1203,443,287,95,25,843,150,74,28,10,263,53,26,10,8,88,2437,1792,850,381,5457,1052,462,224,114,1852,31883,16891,6383,2560,57717,425,205,71,23,725,334,128,39,9,504,1051,483,157,68,1755,1446,827,280,90,2636,2678,1252,401,168,4488,3706,2441,887,319,7360,3994,2041,961,425,7418,4275,1772,725,377,7154,6597,3031,1038,383,11050,2979,1484,437,169,5071,1418,747,221,66,2456,476,275,80,34,866,295,263,100,32,689,247,79,48,19,389,2561,1873,823,422,5675,974,387,152,81,1593,33460,17293,6410,2669,59832,514,208,83,29,832,223,72,27,12,333,507,211,71,22,811,961,454,156,48,1616,1881,903,317,107,3209,2928,1803,643,243,5622
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,662,364,100,49,1177,604,288,88,29,1001,1743,800,238,100,2878,3077,1216,419,175,4880,5176,3679,1272,445,10579,2123,746,350,190,3404,6345,3168,1406,781,11707,5793,2582,832,426,9636,10183,4732,1391,557,16859,4795,2584,725,268,8372,2215,1039,281,102,3644,1652,1180,305,101,3241,687,418,135,44,1277,108,92,39,22,260,3108,2306,1051,517,6982,1314,642,246,171,2371,49573,25834,8879,3967,88262,950,602,157,105,1815,455,200,64,39,750,1359,641,200,84,2289,1720,945,324,131,3129,3124,1433,469,209,5241,4497,3149,1104,395,9156,4998,2729,1359,628,9713,6022,2773,993,650,10441,11833,5595,1710,802,19944,6646,3531,966,331,11481,3921,2169,559,197,6844,1594,838,249,91,2765,1002,930,283,84,2294,595,387,128,60,1167,3343,2639,1063,582,7621,952,446,179,112,1681,53006,29009,9803,4501,96326,1237,540,184,105,2063,354,163,44,25,589,778,403,94,49,1316,1348,611,199,78,2245,2524,1165,415,176,4277,4149,2425,848,332,7759
3RQLD,703,334,114,42,1190,812,317,107,23,1252,2431,994,326,127,3881,4070,1731,615,238,6653,7153,4892,1717,613,14376,2841,1024,432,235,4531,7730,3894,1860,1013,14498,6390,2825,995,569,10771,9357,4485,1448,649,15937,3842,2057,550,235,6679,1414,702,217,69,2399,1174,703,224,70,2172,479,250,73,22,815,104,72,27,10,208,3625,2507,1098,621,7846,1747,819,320,180,3067,53858,27590,10121,4708,96283,935,505,180,85,1704,529,236,102,34,901,1747,805,246,103,2900,2230,1229,443,159,4067,4179,1924,597,261,6958,6142,4088,1425,536,12195,6529,3530,1784,854,12699,7314,3234,1285,698,12528,12405,5628,1768,904,20707,5876,2979,860,344,10062,3073,1567,443,158,5239,1054,568,145,66,1835,762,562,184,68,1572,434,203,84,17,741,3897,2790,1181,689,8550,1324,611,247,142,2318,58422,30470,10979,5109,104980,1090,499,181,81,1846,367,157,52,23,600,1001,397,125,64,1587,1541,745,264,112,2659,2988,1319,562,209,5077,4924,2860,1017,463,9259
