GCCSA_CODE_2021,C21_650_799_1PF_1C,C21_650_799_1PF_2C,C21_650_799_1PF_3C,C21_650_799_1PF_4mC,C21_650_799_Tot,C21_800_999_1PF_1C,C21_800_999_1PF_2C,C21_800_999_1PF_3C,C21_800_999_1PF_4mC,C21_800_999_Tot,C21_1000_1499_1PF_1C,C21_1000_1499_1PF_2C,C21_1000_1499_1PF_3C,C21_1000_1499_1PF_4mC,C21_1000_1499_Tot,C21_1500_1999_1PF_1C,C21_1500_1999_1PF_2C,C21_1500_1999_1PF_3C,C21_1500_1999_1PF_4mC,C21_1500_1999_Tot,C21_2000_2499_1PF_1C,C21_2000_2499_1PF_2C,C21_2000_2499_1PF_3C,C21_2000_2499_1PF_4mC,C21_2000_2499_Tot,C21_2500_2999_1PF_1C,C21_2500_2999_1PF_2C,C21_2500_2999_1PF_3C,C21_2500_2999_1PF_4mC,C21_2500_2999_Tot,C21_3000_3999_1PF_1C,C21_3000_3999_1PF_2C,C21_3000_3999_1PF_3C,C21_3000_3999_1PF_4mC,C21_3000_3999_Tot,C21_4000more_1PF_1C,C21_4000more_1PF_2C,C21_4000more_1PF_3C,C21_4000more_1PF_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_1PF_1C,C21_Par_inc_st_1PF_2C,C21_Par_inc_st_1PF_3C,C21_Par_inc_st_1PF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_1PF_1Ch,C21_All_inc_ns_1PF_2C,C21_All_inc_ns_1PF_3C,C21_All_inc_ns_1PF_4mC,C21_All_inc_ns_Tot,C21_Tot_1PF_1C,C21_Tot_1PF_2C,C21_Tot_1PF_3C,C21_Tot_1PF_4mC,C21_Tot_Tot
1GSYD,7650,4051,1606,714,14018,11591,4064,1618,853,18123,24629,10134,3151,1296,39210,17064,8178,2325,855,28427,14124,7426,2027,619,24190,6740,3535,948,393,11618,5784,4680,1289,468,12225,5401,4796,1520,440,12156,5316,4289,1909,732,12248,1842,771,268,138,3020,119386,61481,19830,7788,208478
1RNSW,6039,3616,1527,649,11831,9597,3696,1558,812,15656,17538,7533,2719,1177,28961,9386,4890,1568,582,16425,6213,3491,1021,346,11070,2585,1297,416,153,4450,1796,1401,446,144,3789,1273,840,329,112,2557,4109,2946,1325,591,8966,1548,572,233,152,2507,73167,36812,13550,5721,129253
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,7608,4147,1437,491,13686,11698,4547,1438,658,18341,24448,10507,2919,1128,39009,16040,8120,2041,662,26854,12185,6913,1628,508,21237,5409,3163,905,318,9794,4417,3732,1080,369,9590,3534,3250,941,279,8001,5328,4860,1836,697,12730,1780,727,233,137,2872,111766,59512,17327,6358,194963
2RVIC,3294,2061,884,307,6550,5083,2097,795,419,8389,8937,3990,1456,543,14922,4726,2484,811,283,8305,2968,1682,534,143,5329,1216,644,180,77,2117,843,599,197,48,1686,574,411,135,52,1176,2101,1605,802,298,4803,883,319,111,54,1368,37654,19554,7186,2676,67072
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,4575,2899,1226,520,9220,6805,2904,1274,726,11708,14310,6618,2199,1035,24164,9081,4880,1374,554,15886,6743,3866,1007,362,11980,2787,1451,445,163,4849,2115,1720,483,160,4481,1701,1402,398,155,3652,2925,2592,1030,495,7040,886,383,149,108,1527,62319,34031,11367,5036,112757
3RQLD,5505,3391,1409,643,10939,8221,3445,1433,743,13838,15678,7208,2399,1143,26432,8791,4673,1393,546,15408,5637,3079,920,331,9967,2268,1151,339,122,3874,1617,1099,365,112,3197,1179,817,248,73,2316,3662,2675,1214,615,8168,1294,500,199,111,2102,65755,34017,12121,5380,117272
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,2934,1669,563,203,5366,4614,1679,594,262,7141,8642,3930,1075,429,14075,5214,2671,731,222,8836,3646,2067,429,145,6288,1451,866,248,80,2645,985,850,242,76,2148,650,606,192,60,1509,1922,1634,680,232,4463,445,171,59,34,709,36862,19165,5747,2101,63878
4RSAU,836,526,235,89,1682,1237,463,236,123,2059,1998,888,320,142,3345,986,496,166,54,1704,537,305,75,33,952,251,121,29,10,410,141,96,27,9,276,111,47,21,3,179,601,419,177,71,1265,235,71,39,21,353,8874,4423,1706,701,15706
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,3454,2035,785,313,6586,4907,2178,814,375,8273,10046,5052,1483,564,17145,6792,3616,897,325,11633,5146,2913,735,235,9032,2318,1198,355,119,3989,1929,1494,386,125,3936,1490,1301,377,113,3276,2906,2324,948,378,6552,643,300,101,49,1089,47854,26756,8319,3165,86096
5RWAU,917,589,230,102,1845,1225,551,196,125,2097,2154,1110,388,196,3849,1218,719,228,93,2262,903,480,148,63,1595,416,171,48,18,651,359,191,63,26,642,229,147,44,11,430,799,590,277,138,1802,287,122,51,33,494,10769,5952,2196,1029,19947
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,531,354,144,47,1074,821,332,123,55,1334,1612,755,201,86,2655,905,489,124,64,1587,676,331,79,24,1118,217,133,39,9,396,161,131,28,8,329,128,88,34,6,264,354,336,144,53,893,104,43,12,8,161,6683,3638,1184,448,11945
6RTAS,755,510,195,83,1545,1151,447,175,84,1867,1905,854,259,111,3130,896,440,163,45,1545,516,267,90,28,898,205,116,27,7,354,122,88,18,13,247,85,63,15,3,165,495,384,168,64,1107,151,49,23,13,246,7924,4111,1428,574,14043
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,176,104,48,29,354,223,93,43,23,384,593,274,103,36,1005,499,274,63,24,858,441,215,58,19,727,197,80,24,9,304,168,103,25,18,312,118,101,25,17,255,212,157,63,30,459,52,28,14,3,90,3118,1675,553,268,5609
7RNTE,173,95,58,42,363,161,93,44,32,340,295,179,91,77,644,166,104,44,31,349,126,73,20,11,239,55,27,13,9,103,53,36,13,10,114,38,20,11,8,69,130,100,46,71,345,84,36,24,18,156,2244,1228,566,425,4464
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
