GCCSA_CODE_2021,C11_Neg_Ni_inc_R1_74,C11_Neg_Ni_inc_R75_99,C11_Neg_Ni_inc_R100_149,C11_Neg_Ni_inc_R150_199,C11_Neg_Ni_inc_R200_224,C11_Neg_Ni_inc_R225_274,C11_Neg_Ni_inc_R275_349,C11_Neg_Ni_inc_R350_449,C11_Neg_Ni_inc_R450_549,C11_Neg_Ni_inc_R550_649,C11_Neg_Ni_inc_R650more,C11_Neg_Ni_inc_R_NS,C11_Neg_Ni_inc_R_Tot,C11_1_149_R1_74,C11_1_149_R75_99,C11_1_149_R100_149,C11_1_149_R150_199,C11_1_149_R200_224,C11_1_149_R225_274,C11_1_149_R275_349,C11_1_149_R350_449,C11_1_149_R450_549,C11_1_149_R550_649,C11_1_149_R650more,C11_1_149_R_NS,C11_1_149_R_Tot,C11_150_299_R1_74,C11_150_299_R75_99,C11_150_299_R100_149,C11_150_299_R150_199,C11_150_299_R200_224,C11_150_299_R225_274,C11_150_299_R275_349,C11_150_299_R350_449,C11_150_299_R450_549,C11_150_299_R550_649,C11_150_299_R650more,C11_150_299_R_NS,C11_150_299_R_Tot,C11_300_399_R1_74,C11_300_399_R75_99,C11_300_399_R100_149,C11_300_399_R150_199,C11_300_399_R200_224,C11_300_399_R225_274,C11_300_399_R275_349,C11_300_399_R350_449,C11_300_399_R450_549,C11_300_399_R550_649,C11_300_399_R650more,C11_300_399_R_NS,C11_300_399_R_Tot,C11_400_499_R1_74,C11_400_499_R75_99,C11_400_499_R100_149,C11_400_499_R150_199,C11_400_499_R200_224,C11_400_499_R225_274,C11_400_499_R275_349,C11_400_499_R350_449,C11_400_499_R450_549,C11_400_499_R550_649,C11_400_499_R650more,C11_400_499_R_NS,C11_400_499_R_Tot,C11_500_649_R1_74,C11_500_649_R75_99,C11_500_649_R100_149,C11_500_649_R150_199,C11_500_649_R200_224,C11_500_649_R225_274,C11_500_649_R275_349,C11_500_649_R350_449,C11_500_649_R450_549,C11_500_649_R550_649,C11_500_649_R650more,C11_500_649_R_NS,C11_500_649_R_Tot,C11_650_799_R1_74,C11_650_799_R75_99,C11_650_799_R100_149,C11_650_799_R150_199,C11_650_799_R200_224,C11_650_799_R225_274,C11_650_799_R275_349,C11_650_799_R350_449,C11_650_799_R450_549,C11_650_799_R550_649,C11_650_799_R650more,C11_650_799_R_NS,C11_650_799_R_Tot,C11_800_999_R1_74,C11_800_999_R75_99,C11_800_999_R100_149,C11_800_999_R150_199,C11_800_999_R200_224,C11_800_999_R225_274,C11_800_999_R275_349,C11_800_999_R350_449,C11_800_999_R450_549,C11_800_999_R550_649,C11_800_999_R650more,C11_800_999_R_NS,C11_800_999_R_Tot,C11_1000_1249_R1_74,C11_1000_1249_R75_99,C11_1000_1249_R100_149,C11_1000_1249_R150_199,C11_1000_1249_R200_224,C11_1000_1249_R225_274,C11_1000_1249_R275_349,C11_1000_1249_R350_449,C11_1000_1249_R450_549,C11_1000_1249_R550_649,C11_1000_1249_R650more,C11_1000_1249_R_NS,C11_1000_1249_R_Tot,C11_1250_1499_R1_74,C11_1250_1499_R75_99,C11_1250_1499_R100_149,C11_1250_1499_R150_199,C11_1250_1499_R200_224,C11_1250_1499_R225_274,C11_1250_1499_R275_349,C11_1250_1499_R350_449,C11_1250_1499_R450_549,C11_1250_1499_R550_649,C11_1250_1499_R650more,C11_1250_1499_R_NS,C11_1250_1499_R_Tot,C11_1500_1999_R1_74,C11_1500_1999_R75_99,C11_1500_1999_R100_149,C11_1500_1999_R150_199,C11_1500_1999_R200_224,C11_1500_1999_R225_274,C11_1500_1999_R275_349,C11_1500_1999_R350_449,C11_1500_1999_R450_549,C11_1500_1999_R550_649,C11_1500_1999_R650more,C11_1500_1999_R_NS,C11_1500_1999_R_Tot,C11_2000_2499_R1_74,C11_2000_2499_R75_99,C11_2000_2499_R100_149,C11_2000_2499_R150_199,C11_2000_2499_R200_224,C11_2000_2499_R225_274,C11_2000_2499_R275_349,C11_2000_2499_R350_449,C11_2000_2499_R450_549,C11_2000_2499_R550_649,C11_2000_2499_R650more,C11_2000_2499_R_NS,C11_2000_2499_R_Tot,C11_2500_2999_R1_74,C11_2500_2999_R75_99,C11_2500_2999_R100_149,C11_2500_2999_R150_199,C11_2500_2999_R200_224,C11_2500_2999_R225_274,C11_2500_2999_R275_349,C11_2500_2999_R350_449,C11_2500_2999_R450_549,C11_2500_2999_R550_649,C11_2500_2999_R650more,C11_2500_2999_R_NS,C11_2500_2999_R_Tot,C11_3000_3999_R1_74,C11_3000_3999_R75_99,C11_3000_3999_R100_149,C11_3000_3999_R150_199,C11_3000_3999_R200_224,C11_3000_3999_R225_274,C11_3000_3999_R275_349,C11_3000_3999_R350_449,C11_3000_3999_R450_549,C11_3000_3999_R550_649,C11_3000_3999_R650more,C11_3000_3999_R_NS,C11_3000_3999_R_Tot,C11_4000more_R1_74,C11_4000more_R75_99,C11_4000more_R100_149,C11_4000more_R150_199,C11_4000more_R200_224,C11_4000more_R225_274,C11_4000more_R275_349,C11_4000more_R350_449,C11_4000more_R450_549,C11_4000more_R550_649,C11_4000more_R650more,C11_4000more_R_NS,C11_4000more_R_Tot,C11_PI_S_R1_74,C11_PI_S_R75_99,C11_PI_S_R100_149,C11_PI_S_R150_199,C11_PI_S_R200_224
1GSYD,284,347,404,401,331,628,1458,2056,1546,910,1093,1043,10505,1010,972,554,385,217,371,637,714,398,199,229,533,6218,2965,5897,2753,1918,944,1492,2079,1838,766,379,502,1379,22904,2387,9213,3694,2346,1243,1986,2717,2177,763,322,447,1382,28679,629,1457,3112,2822,2004,3577,5566,4509,1530,579,580,1001,27371,391,531,3795,2445,1014,1917,3153,2874,905,325,337,651,18332,416,876,1824,3472,2372,4798,8961,8040,2777,957,942,1116,36546,246,357,1241,2013,1867,4505,9492,9646,3702,1378,1226,956,36616,192,246,780,1393,1583,4179,10554,12272,4958,1944,1604,912,40619,110,123,417,839,1095,2656,8477,11717,5198,2063,1701,754,35148,147,125,427,905,1255,3086,10306,17953,10113,4184,3479,1035,53015,83,62,210,508,696,1439,4984,11403,8050,3837,2888,598,34762,86,79,198,304,409,877,3011,8857,8912,5834,9113,629,38306,48,26,97,149,268,490,1503,4854,6219,5171,6907,451,26191,24,14,70,74,89,165,399,1326,2446,2763,7114,243,14730,293,412,1042,1262,1057
1RNSW,113,161,378,475,281,362,395,302,131,60,88,418,3156,523,604,736,656,282,289,285,171,36,12,50,269,3913,1622,3207,3701,3216,1231,1328,880,340,83,32,149,828,16619,1871,5768,5908,5168,1923,2103,1440,466,78,46,221,1075,26078,617,1126,4867,6632,3376,4314,3268,1011,154,46,185,772,26361,353,483,3123,3103,1523,2182,1755,694,147,45,84,419,13904,535,792,3376,6219,3640,5573,4992,1828,299,90,186,877,28394,418,403,2260,4227,2966,4983,5091,2285,410,103,183,668,23996,419,257,1581,3285,2715,4810,5745,2774,495,112,174,608,22961,288,172,990,2106,1860,3347,4647,2761,523,129,180,438,17436,423,192,999,2048,1860,3895,6002,4390,988,257,270,579,21911,249,57,362,780,816,1695,2988,2784,718,162,190,256,11054,205,93,346,583,490,1032,1957,2397,1015,323,328,324,9092,113,34,142,242,240,496,988,1403,606,252,231,154,4908,34,15,60,64,66,116,249,446,259,136,210,95,1746,327,316,1374,2039,1438
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,153,207,408,516,545,1436,2423,2259,1120,507,460,970,11006,505,594,512,471,317,625,914,615,275,88,142,430,5489,1343,3249,2145,1839,1122,1903,2271,1146,405,146,268,966,16786,1079,5453,2810,2484,1434,2447,2693,1185,313,118,263,987,21264,385,849,2621,3290,2480,4868,5376,2167,597,167,344,851,24006,229,299,2006,1670,989,2174,3030,1376,346,123,165,464,12864,306,548,1384,3414,2978,6953,9087,3955,1011,328,513,1019,31493,194,249,973,2253,2577,7060,10766,5041,1280,445,628,903,32369,149,185,761,1828,2389,7088,12951,6892,1698,553,745,807,36046,119,105,463,1140,1487,5137,11180,7112,1834,609,722,700,30615,133,130,498,1119,1607,5526,15329,12783,3640,1165,1236,881,44049,72,59,271,601,751,2750,9209,9826,3284,1000,881,562,29274,54,78,168,331,394,1423,5011,8446,4789,2139,3002,528,26355,35,36,118,153,206,680,2727,5448,3986,1985,2049,325,17757,11,10,39,60,48,190,672,1564,1733,1290,1951,155,7727,210,245,855,1055,1053
2RVIC,86,87,260,285,127,194,114,57,23,7,31,230,1501,262,297,445,397,135,152,73,36,16,7,24,193,2031,843,1624,2141,1776,588,543,239,74,19,18,71,415,8349,997,2949,3271,2845,896,848,394,89,27,12,85,524,12945,347,651,3311,4301,1868,1926,807,178,26,9,76,423,13928,171,248,1571,1841,790,912,443,102,18,7,30,210,6354,322,486,2174,4299,2199,2587,1256,299,39,20,79,440,14198,203,262,1492,3135,1854,2580,1387,322,64,25,87,384,11807,156,175,1047,2493,1819,2666,1720,473,85,22,77,314,11045,139,95,630,1574,1294,2067,1576,539,90,26,88,241,8363,176,94,579,1409,1300,2266,2149,851,121,33,89,320,9375,84,52,243,506,515,1149,1264,605,122,22,66,136,4753,54,46,185,327,275,607,833,696,225,60,104,202,3610,30,12,60,101,103,273,453,405,147,28,68,74,1754,12,10,30,48,30,67,128,147,86,26,104,67,756,156,149,727,1481,881
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,83,77,191,204,117,321,647,941,446,191,167,361,3748,279,190,224,204,117,176,351,335,103,43,51,183,2252,1487,1208,1058,946,493,798,1104,724,189,78,98,481,8669,2505,2755,1521,1558,868,1312,1652,858,161,55,114,615,13978,438,801,1873,2068,1472,2711,3906,1905,298,85,114,431,16097,216,245,1605,795,483,1171,1987,1110,223,67,71,244,8215,326,400,1439,1931,1491,3496,6747,3807,591,172,180,500,21085,179,226,886,1428,1228,3070,7278,4932,809,194,170,454,20844,150,141,578,1086,1192,2918,8807,7188,1206,302,244,426,24237,71,74,348,638,763,2030,7008,7252,1282,347,248,358,20412,89,73,340,651,823,1953,8872,12293,2678,677,461,406,29318,47,29,133,341,475,887,4601,8955,2585,635,420,256,19363,53,36,99,175,211,479,2218,5756,2930,1409,1482,254,15098,28,20,60,103,113,260,1033,3473,2381,981,892,145,9479,9,10,24,34,34,80,259,886,947,602,810,79,3777,159,197,596,652,574
3RQLD,107,79,208,308,203,431,618,634,254,109,120,390,3471,294,212,333,397,192,276,359,292,85,36,45,209,2715,1523,1264,1707,1747,932,1197,1196,766,196,59,101,608,11300,2312,2336,2815,3013,1553,2054,1867,870,202,49,135,714,17912,596,827,2897,3866,2551,4139,4192,2064,366,92,147,665,22394,471,403,1935,1629,1011,1883,1936,1223,266,64,93,403,11326,715,648,2106,3730,2728,5243,6185,3820,712,205,235,793,27118,579,422,1501,2717,2230,4614,6358,4621,950,271,309,734,25312,730,361,1099,2066,2029,4252,7166,5946,1164,274,324,764,26162,530,248,725,1418,1413,3016,5720,5668,1299,322,356,621,21336,924,336,812,1364,1564,3262,7039,8930,2471,629,575,842,28754,619,224,438,579,673,1401,3588,5650,1835,489,436,393,16325,1398,281,357,374,395,853,2081,3644,1955,705,828,647,13516,829,155,228,189,179,390,1065,2301,1386,579,672,301,8268,379,78,79,62,69,118,258,644,568,297,487,191,3233,646,405,1108,1501,1230
