GCCSA_CODE_2021,C11_PI_S_R225_274,C11_PI_S_R275_349,C11_PI_S_R350_449,C11_PI_S_R450_549,C11_PI_S_R550_649,C11_PI_S_R650more,C11_PI_S_R_NS,C11_PI_S_R_Tot,C11_AI_NS_R1_74,C11_AI_NS_R75_99,C11_AI_NS_R100_149,C11_AI_NS_R150_199,C11_AI_NS_R200_224,C11_AI_NS_R225_274,C11_AI_NS_R275_349,C11_AI_NS_R350_449,C11_AI_NS_R450_549,C11_AI_NS_R550_649,C11_AI_NS_R650more,C11_AI_NS_R_NS,C11_AI_NS_R_Tot,C11_Tot_R1_74,C11_Tot_R75_99,C11_Tot_R100_149,C11_Tot_R150_199,C11_Tot_R200_224,C11_Tot_R225_274,C11_Tot_R275_349,C11_Tot_R350_449,C11_Tot_R450_549,C11_Tot_R550_649,C11_Tot_R650more,C11_Tot_R_NS,C11_Tot_R_Tot,C16_Neg_Ni_inc_R1_74,C16_Neg_Ni_inc_R75_99,C16_Neg_Ni_inc_R100_149,C16_Neg_Ni_inc_R150_199,C16_Neg_Ni_inc_R200_224,C16_Neg_Ni_inc_R225_274,C16_Neg_Ni_inc_R275_349,C16_Neg_Ni_inc_R350_449,C16_Neg_Ni_inc_R450_549,C16_Neg_Ni_inc_R550_649,C16_Neg_Ni_inc_R650more,C16_Neg_Ni_inc_R_NS,C16_Neg_Ni_inc_R_Tot,C16_1_149_R1_74,C16_1_149_R75_99,C16_1_149_R100_149,C16_1_149_R150_199,C16_1_149_R200_224,C16_1_149_R225_274,C16_1_149_R275_349,C16_1_149_R350_449,C16_1_149_R450_549,C16_1_149_R550_649,C16_1_149_R650more,C16_1_149_R_NS,C16_1_149_R_Tot,C16_150_299_R1_74,C16_150_299_R75_99,C16_150_299_R100_149,C16_150_299_R150_199,C16_150_299_R200_224,C16_150_299_R225_274,C16_150_299_R275_349,C16_150_299_R350_449,C16_150_299_R450_549,C16_150_299_R550_649,C16_150_299_R650more,C16_150_299_R_NS,C16_150_299_R_Tot,C16_300_399_R1_74,C16_300_399_R75_99,C16_300_399_R100_149,C16_300_399_R150_199,C16_300_399_R200_224,C16_300_399_R225_274,C16_300_399_R275_349,C16_300_399_R350_449,C16_300_399_R450_549,C16_300_399_R550_649,C16_300_399_R650more,C16_300_399_R_NS,C16_300_399_R_Tot,C16_400_499_R1_74,C16_400_499_R75_99,C16_400_499_R100_149,C16_400_499_R150_199,C16_400_499_R200_224,C16_400_499_R225_274,C16_400_499_R275_349,C16_400_499_R350_449,C16_400_499_R450_549,C16_400_499_R550_649,C16_400_499_R650more,C16_400_499_R_NS,C16_400_499_R_Tot,C16_500_649_R1_74,C16_500_649_R75_99,C16_500_649_R100_149,C16_500_649_R150_199,C16_500_649_R200_224,C16_500_649_R225_274,C16_500_649_R275_349,C16_500_649_R350_449,C16_500_649_R450_549,C16_500_649_R550_649,C16_500_649_R650more,C16_500_649_R_NS,C16_500_649_R_Tot,C16_650_799_R1_74,C16_650_799_R75_99,C16_650_799_R100_149,C16_650_799_R150_199,C16_650_799_R200_224,C16_650_799_R225_274,C16_650_799_R275_349,C16_650_799_R350_449,C16_650_799_R450_549,C16_650_799_R550_649,C16_650_799_R650more,C16_650_799_R_NS,C16_650_799_R_Tot,C16_800_999_R1_74,C16_800_999_R75_99,C16_800_999_R100_149,C16_800_999_R150_199,C16_800_999_R200_224,C16_800_999_R225_274,C16_800_999_R275_349,C16_800_999_R350_449,C16_800_999_R450_549,C16_800_999_R550_649,C16_800_999_R650more,C16_800_999_R_NS,C16_800_999_R_Tot,C16_1000_1249_R1_74,C16_1000_1249_R75_99,C16_1000_1249_R100_149,C16_1000_1249_R150_199,C16_1000_1249_R200_224,C16_1000_1249_R225_274,C16_1000_1249_R275_349,C16_1000_1249_R350_449,C16_1000_1249_R450_549,C16_1000_1249_R550_649,C16_1000_1249_R650more,C16_1000_1249_R_NS,C16_1000_1249_R_Tot,C16_1250_1499_R1_74,C16_1250_1499_R75_99,C16_1250_1499_R100_149,C16_1250_1499_R150_199,C16_1250_1499_R200_224,C16_1250_1499_R225_274,C16_1250_1499_R275_349,C16_1250_1499_R350_449,C16_1250_1499_R450_549,C16_1250_1499_R550_649,C16_1250_1499_R650more,C16_1250_1499_R_NS,C16_1250_1499_R_Tot,C16_1500_1999_R1_74,C16_1500_1999_R75_99,C16_1500_1999_R100_149,C16_1500_1999_R150_199,C16_1500_1999_R200_224,C16_1500_1999_R225_274,C16_1500_1999_R275_349,C16_1500_1999_R350_449,C16_1500_1999_R450_549,C16_1500_1999_R550_649,C16_1500_1999_R650more,C16_1500_1999_R_NS,C16_1500_1999_R_Tot,C16_2000_2499_R1_74,C16_2000_2499_R75_99,C16_2000_2499_R100_149,C16_2000_2499_R150_199,C16_2000_2499_R200_224,C16_2000_2499_R225_274,C16_2000_2499_R275_349,C16_2000_2499_R350_449,C16_2000_2499_R450_549,C16_2000_2499_R550_649,C16_2000_2499_R650more,C16_2000_2499_R_NS,C16_2000_2499_R_Tot,C16_2500_2999_R1_74,C16_2500_2999_R75_99,C16_2500_2999_R100_149,C16_2500_2999_R150_199,C16_2500_2999_R200_224,C16_2500_2999_R225_274,C16_2500_2999_R275_349,C16_2500_2999_R350_449,C16_2500_2999_R450_549,C16_2500_2999_R550_649
1GSYD,2003,4854,7324,5444,3334,5073,1805,33910,567,1150,746,617,372,620,1202,1396,772,436,829,2788,11505,9889,21871,21365,21850,16820,34796,79363,108952,64493,34601,44076,17279,475354,241,181,757,580,360,563,1412,2520,2189,1826,2705,1294,14635,246,175,499,348,167,152,370,576,457,318,438,336,4093,1576,1152,3158,1316,614,583,995,1521,963,532,593,784,13780,577,776,7790,2176,896,842,1529,1883,989,444,465,847,19213,454,649,7610,3665,1557,1749,3000,3857,1941,867,718,1005,27074,208,228,1718,2290,1160,1789,3804,5723,2976,1215,1026,884,23014,185,233,1628,3052,2028,2360,4902,8457,4202,1762,1396,1012,31214,151,120,994,1232,1511,2176,5627,10844,5991,2534,1997,918,34095,114,97,670,1047,1005,1970,6339,14806,8712,3883,3239,1052,42930,75,49,358,667,591,1391,4703,13897,9237,4541,3632,871,40024,119,59,387,629,692,1635,5491,21167,17748,9037,7824,1310,66093,81,28,249,396,398,1126,3422,15205,18534,11734,10585,1058,62819,40,9,117,178,212,616,1360,6470,9559,7337
1RNSW,2501,3449,2524,779,237,247,844,16070,399,774,1228,1141,517,666,568,298,106,39,135,1851,7721,8523,14441,31437,41976,25229,39679,44691,26858,6826,2090,3092,10471,255311,99,57,378,442,286,390,518,452,187,64,86,418,3379,162,100,375,393,194,256,255,204,70,25,37,160,2223,847,696,2162,1773,904,1030,966,487,113,37,57,478,9546,364,531,5013,3444,1471,1665,1528,723,136,33,62,591,15550,580,684,5896,5467,2789,3663,3175,1570,313,68,113,789,25103,217,235,1838,3836,2465,4183,4509,2461,423,93,114,626,21013,260,289,1819,4152,2866,4637,6147,3506,656,149,121,739,25341,211,204,1357,2686,2492,4333,6252,4275,805,186,166,631,23602,211,163,1068,2291,2188,4154,7281,5870,1318,311,221,696,25779,212,112,666,1532,1482,3156,6151,6005,1456,342,230,526,21872,328,131,668,1446,1505,3546,7371,8802,2707,656,411,689,28249,272,100,380,850,848,1887,4400,6567,2544,715,438,524,19521,138,39,151,258,268,719,1598,3045,1468,486
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,2977,6681,6344,3304,1514,1967,1591,27798,245,608,533,634,426,932,1505,894,390,208,410,2347,9128,5236,12897,16570,22851,20798,54171,101827,77065,30002,12392,15744,14479,384031,165,99,586,616,506,1536,3047,3767,2412,1466,1153,1264,16619,152,140,432,296,248,381,810,785,454,189,206,328,4412,802,565,2081,1147,733,1245,2094,1537,631,292,278,651,12061,274,456,4730,1511,1034,1603,2650,1642,527,220,215,671,15537,336,474,4763,2673,1705,3117,5225,2968,845,327,351,914,23698,141,179,1332,1996,1548,3524,7221,4209,1150,398,449,815,22960,180,194,1154,2035,1607,4061,9457,6220,1572,560,594,885,28517,147,137,771,1209,1580,4516,12262,8277,2165,829,760,919,33571,138,100,675,1097,1218,4634,15346,12159,3300,1170,1087,1109,42034,93,84,386,718,757,3197,13603,12956,3560,1231,1182,887,38648,149,71,509,767,783,3510,17613,22695,7248,2474,2249,1204,59275,102,59,302,516,478,1937,11049,20652,9118,3299,2726,904,51144,51,29,147,205,187,683,4471,10041,5709,2386
2RVIC,1451,1163,563,119,31,91,412,7224,206,383,652,699,271,285,191,69,17,12,82,1064,3928,4238,7610,18817,27512,14953,20574,14192,5498,1260,369,1236,5660,121923,50,55,195,286,180,283,237,110,23,11,21,218,1678,93,63,248,233,137,170,131,57,7,8,8,121,1280,474,308,1222,1039,542,615,373,142,15,8,17,252,5000,244,399,2743,1814,892,1045,588,172,25,5,20,320,8267,310,453,3403,3231,1721,2197,1219,317,56,18,46,425,13387,138,150,1229,2628,1733,2682,1869,492,54,22,50,309,11355,153,190,1214,2579,1963,3287,2470,685,79,22,50,367,13053,124,132,891,1914,1805,3232,2739,770,89,32,60,353,12147,114,99,730,1701,1663,3310,3314,1194,161,35,80,342,12738,79,72,482,1112,1183,2582,3192,1242,175,50,72,239,10480,122,84,468,1077,1133,2819,4091,2186,280,63,118,359,12806,97,41,267,455,527,1461,2737,1859,309,70,122,297,8241,45,34,95,155,170,521,1118,929,207,50
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,1267,4103,5655,2151,837,830,775,17802,303,289,355,372,239,454,878,683,217,115,175,1346,5429,6409,6765,11323,13178,10708,23392,61461,66755,19205,6786,6531,7321,239824,53,51,249,232,185,325,680,1170,723,368,252,424,4707,99,48,152,166,67,118,271,330,148,58,59,111,1635,575,375,964,601,330,588,799,743,262,104,85,280,5713,220,624,2398,1124,519,960,1287,935,208,67,73,422,8844,212,687,3335,1883,1081,2306,2915,1968,458,127,104,464,15552,125,115,992,1557,938,2399,4257,3066,638,180,124,399,14797,101,147,861,1685,1044,2694,5855,4769,894,241,167,440,18898,83,105,560,1066,992,2715,6883,6531,1432,372,231,460,21426,52,70,405,746,762,2614,8233,9973,2195,575,339,480,26455,46,34,260,420,496,1771,6984,10709,2695,623,387,380,24811,63,35,284,492,458,1989,7874,17203,5660,1413,772,504,36739,40,23,159,270,262,1060,4395,13763,6231,1738,1093,387,29411,17,24,76,111,108,451,1614,6284,3861,1316
3RQLD,2542,4528,5510,1958,613,541,1013,21590,417,360,667,835,425,709,847,743,270,120,278,1925,7603,13062,8633,19012,25796,19381,36374,54991,53341,15934,4915,5680,11218,268342,73,53,249,325,277,432,694,697,316,139,143,406,3806,109,86,229,229,164,228,268,262,98,36,43,161,1914,738,527,1275,1126,648,861,928,617,197,67,72,363,7412,302,630,2567,2033,1122,1555,1492,813,182,70,58,450,11264,410,768,3599,3701,2485,3720,3161,1782,393,94,122,650,20889,241,247,1324,2736,2204,4014,4798,2934,628,154,132,468,19881,262,290,1394,2757,2458,4755,6540,4324,1021,263,205,613,24882,265,232,1062,2098,2197,4443,6989,5307,1278,292,240,603,25005,339,226,1002,1772,1873,4508,8198,7357,2008,499,383,697,28859,341,177,694,1217,1316,3484,7127,7554,2385,579,409,620,25913,608,254,778,1242,1388,3843,8815,11274,4191,1104,731,790,35012,869,238,587,821,828,2238,5574,8692,3898,1142,816,637,26332,476,120,238,292,284,814,2127,4080,2252,840
