GCCSA_CODE_2021,C16_2500_2999_R650more,C16_2500_2999_R_NS,C16_2500_2999_R_Tot,C16_3000_3999_R1_74,C16_3000_3999_R75_99,C16_3000_3999_R100_149,C16_3000_3999_R150_199,C16_3000_3999_R200_224,C16_3000_3999_R225_274,C16_3000_3999_R275_349,C16_3000_3999_R350_449,C16_3000_3999_R450_549,C16_3000_3999_R550_649,C16_3000_3999_R650more,C16_3000_3999_R_NS,C16_3000_3999_R_Tot,C16_4000more_R1_74,C16_4000more_R75_99,C16_4000more_R100_149,C16_4000more_R150_199,C16_4000more_R200_224,C16_4000more_R225_274,C16_4000more_R275_349,C16_4000more_R350_449,C16_4000more_R450_549,C16_4000more_R550_649,C16_4000more_R650more,C16_4000more_R_NS,C16_4000more_R_Tot,C16_PI_S_R1_74,C16_PI_S_R75_99,C16_PI_S_R100_149,C16_PI_S_R150_199,C16_PI_S_R200_224,C16_PI_S_R225_274,C16_PI_S_R275_349,C16_PI_S_R350_449,C16_PI_S_R450_549,C16_PI_S_R550_649,C16_PI_S_R650more,C16_PI_S_R_NS,C16_PI_S_R_Tot,C16_AI_NS_R1_74,C16_AI_NS_R75_99,C16_AI_NS_R100_149,C16_AI_NS_R150_199,C16_AI_NS_R200_224,C16_AI_NS_R225_274,C16_AI_NS_R275_349,C16_AI_NS_R350_449,C16_AI_NS_R450_549,C16_AI_NS_R550_649,C16_AI_NS_R650more,C16_AI_NS_R_NS,C16_AI_NS_R_Tot,C16_Tot_R1_74,C16_Tot_R75_99,C16_Tot_R100_149,C16_Tot_R150_199,C16_Tot_R200_224,C16_Tot_R225_274,C16_Tot_R275_349,C16_Tot_R350_449,C16_Tot_R450_549,C16_Tot_R550_649,C16_Tot_R650more,C16_Tot_R_NS,C16_Tot_R_Tot,C21_Neg_Ni_inc_R1_74,C21_Neg_Ni_inc_R75_99,C21_Neg_Ni_inc_R100_149,C21_Neg_Ni_inc_R150_199,C21_Neg_Ni_inc_R200_224,C21_Neg_Ni_inc_R225_274,C21_Neg_Ni_inc_R275_349,C21_Neg_Ni_inc_R350_449,C21_Neg_Ni_inc_R450_549,C21_Neg_Ni_inc_R550_649,C21_Neg_Ni_inc_R650more,C21_Neg_Ni_inc_R_NS,C21_Neg_Ni_inc_R_Tot,C21_1_149_R1_74,C21_1_149_R75_99,C21_1_149_R100_149,C21_1_149_R150_149,C21_1_149_R200_224,C21_1_149_R225_274,C21_1_149_R275_349,C21_1_149_R350_449,C21_1_149_R450_549,C21_1_149_R550_649,C21_1_149_R650more,C21_1_149_R_NS,C21_1_149_R_Tot,C21_150_299_R1_74,C21_150_299_R75_99,C21_150_299_R100_149,C21_150_299_R150_199,C21_150_299_R150_224,C21_150_299_R225_274,C21_150_299_R275_349,C21_150_299_R350_449,C21_150_299_R450_549,C21_150_299_R550_649,C21_150_299_R650more,C21_150_299_R_NS,C21_150_299_R_Tot,C21_300_399_R1_74,C21_300_399_R75_99,C21_300_399_R100_149,C21_300_399_R150_199,C21_300_399_R200_224,C21_300_399_R225_274,C21_300_399_R275_349,C21_300_399_R350_449,C21_300_399_R450_549,C21_300_399_R550_649,C21_300_399_R650more,C21_300_399_R_NS,C21_300_399_R_Tot,C21_400_499_R1_74,C21_400_499_R75_99,C21_400_499_R100_149,C21_400_499_R150_199,C21_400_499_R200_224,C21_400_499_R225_274,C21_400_499_R275_349,C21_400_499_R350_449,C21_400_499_R450_549,C21_400_499_R550_649,C21_400_499_R650more,C21_400_499_R_NS,C21_400_499_R_Tot,C21_500_649_R1_74,C21_500_649_R75_99,C21_500_649_R100_149,C21_500_649_R150_199,C21_500_649_R200_224,C21_500_649_R225_274,C21_500_649_R275_349,C21_500_649_R350_449,C21_500_649_R450_549,C21_500_649_R550_649,C21_500_649_R650more,C21_500_649_R_NS,C21_500_649_R_Tot,C21_650_799_R1_74,C21_650_799_R75_99,C21_650_799_R100_149,C21_650_799_R150_199,C21_650_799_R200_224,C21_650_799_R225_274,C21_650_799_R275_349,C21_650_799_R350_449,C21_650_799_R450_549,C21_650_799_R550_649,C21_650_799_R650more,C21_650_799_R_NS,C21_650_799_R_Tot,C21_800_999_R1_74,C21_800_999_R75_99,C21_800_999_R100_149,C21_800_999_R150_199,C21_800_999_R200_224,C21_800_999_R225_274,C21_800_999_R275_349,C21_800_999_R350_449,C21_800_999_R450_549,C21_800_999_R550_649,C21_800_999_R650more,C21_800_999_R_NS,C21_800_999_R_Tot,C21_1000_1249_R1_74,C21_1000_1249_R75_99,C21_1000_1249_R100_149,C21_1000_1249_R150_199,C21_1000_1249_R200_224,C21_1000_1249_R225_274,C21_1000_1249_R275_349,C21_1000_1249_R350_449,C21_1000_1249_R450_549,C21_1000_1249_R550_649,C21_1000_1249_R650more,C21_1000_1249_R_NS,C21_1000_1249_R_Tot,C21_1250_1499_R1_74,C21_1250_1499_R75_99,C21_1250_1499_R100_149,C21_1250_1499_R150_199,C21_1250_1499_R200_224,C21_1250_1499_R225_274,C21_1250_1499_R275_349,C21_1250_1499_R350_449,C21_1250_1499_R450_549,C21_1250_1499_R550_649,C21_1250_1499_R650more,C21_1250_1499_R_NS,C21_1250_1499_R_Tot,C21_1500_1999_R1_74,C21_1500_1999_R75_99
1GSYD,7822,542,34268,90,47,235,221,221,552,1159,5349,10280,10443,18470,764,47830,43,25,100,150,117,273,531,1855,4047,5970,22238,598,35946,150,139,780,985,687,1328,2670,7336,7434,5508,10091,2057,39163,251,185,1551,714,364,396,862,1345,970,594,1078,2456,10777,4617,4160,28612,19649,12595,19496,48171,122798,106229,68553,94319,17774,546972,189,276,1113,756,420,707,1440,2920,2739,1634,1845,1794,15823,90,154,359,235,118,157,270,515,424,272,315,282,3186,465,1126,1804,909,458,452,662,1044,737,366,425,594,9048,505,1253,5864,2328,991,1116,1730,2478,1336,555,505,998,19663,381,571,9115,3449,1451,1706,2431,3698,2127,832,669,1148,27577,172,297,1976,2928,1503,2214,4282,6226,3580,1505,1028,817,26525,165,239,1342,2749,1387,2426,4482,8625,5062,2108,1547,1065,31199,149,131,1214,1457,1402,2493,5646,11558,6693,2685,1953,1123,36509,114,91,588,1037,984,2203,6704,15923,10059,4401,3180,1235,46518,93,84,445,759,690,1632,5473,16934,12386,5763,4181,1190,49633,137,81
1RNSW,282,222,8673,166,60,229,312,245,568,1295,2396,1573,696,528,302,8358,55,34,98,149,96,194,495,968,845,477,616,153,4174,187,129,823,1288,1022,2087,3476,4202,1698,601,486,759,16763,217,171,1373,1296,622,797,844,517,133,45,90,1536,7639,4510,3725,24297,31623,21728,37260,56258,52055,16450,4981,4069,9831,266794,77,89,417,512,325,470,669,654,317,127,124,745,4529,65,85,226,235,132,182,183,208,81,33,33,157,1627,255,437,1073,908,462,579,531,415,148,54,67,415,5361,233,492,2656,2387,1161,1291,1369,915,233,68,98,583,11480,386,369,4707,3960,2061,2753,2782,1722,465,126,131,937,20395,141,192,1800,4048,2615,4264,4914,3342,944,228,188,709,23381,156,186,1028,2492,1769,3389,4790,4534,1302,350,228,701,20921,173,122,1112,1922,1851,3535,5665,5807,1810,462,289,797,23539,147,104,697,1659,1589,3292,6276,7607,2577,683,450,875,25953,161,90,574,1198,1218,2736,5708,8194,3467,923,509,815,25605,251,95
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,1988,445,26343,70,41,200,220,176,542,3210,8703,7759,4504,4757,572,30757,34,13,101,104,81,220,1047,3126,3971,3517,6538,379,19155,144,126,645,863,637,1676,6700,8984,4897,2766,3435,1751,32620,166,120,991,524,398,790,1445,1371,593,304,492,2138,9329,3138,2896,19811,16494,13681,37171,117242,130093,55899,25946,28458,15841,466671,191,129,680,503,418,869,2436,3831,1651,600,733,1682,13734,78,90,240,192,112,202,538,768,348,105,149,297,3129,401,545,1101,625,383,653,1156,1420,507,148,213,535,7683,400,636,3155,1314,848,1244,2632,2500,637,226,243,808,14636,328,456,5261,1849,1143,1749,3630,3769,996,274,363,1071,20898,205,225,1581,1966,1403,2994,6597,6267,1539,439,463,813,24487,140,202,1012,1712,1027,2284,7298,8581,2082,593,683,1001,26618,172,152,1048,1273,1163,2866,9590,11767,2809,764,934,1105,33646,162,106,731,949,947,2803,12136,17024,4265,1219,1285,1207,42837,111,77,542,758,691,2089,11544,20314,5525,1542,1526,1183,45914,130,117
2RVIC,43,122,3486,40,28,145,157,156,365,735,959,305,68,107,119,3186,24,9,48,87,78,138,296,468,217,76,162,80,1679,83,84,470,874,721,1516,2005,1244,259,67,86,339,7749,119,163,827,754,402,504,319,127,27,13,47,886,4187,2297,2357,14689,20075,15007,26736,27446,12953,2277,619,1116,5148,130725,57,53,240,280,189,296,382,217,88,27,37,400,2267,48,38,121,105,85,111,80,72,29,4,14,86,795,204,264,548,422,252,371,270,166,36,8,23,193,2753,240,271,1536,1082,716,897,757,302,69,15,22,314,6217,280,306,2836,1817,1262,1646,1277,573,108,18,33,515,10676,138,139,1331,2315,1760,2944,2565,1123,153,32,50,369,12925,141,132,820,1547,1198,2364,2881,1489,210,56,58,384,11284,138,119,844,1381,1324,2623,3430,1915,275,54,91,448,12640,99,79,615,1115,1217,2704,3911,2543,405,72,92,443,13299,71,59,449,844,945,2215,4093,2984,531,95,107,429,12821,136,75
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,739,177,14775,31,23,127,142,119,291,1085,4535,4256,2148,1849,240,14836,16,8,49,62,45,108,388,1397,1778,1500,2321,128,7792,80,55,357,531,393,1100,3240,6606,3502,1443,1286,759,19363,93,128,487,331,225,446,631,737,290,98,135,1083,4686,1919,2553,11701,11418,8028,21935,57403,90718,35230,12373,10020,7142,270440,93,82,296,278,171,400,829,1332,706,287,206,683,5351,53,47,123,78,49,108,219,290,167,49,53,130,1364,386,282,600,342,233,357,544,585,234,64,53,285,3968,435,474,1761,926,492,989,1451,1195,311,99,57,427,8623,345,675,3692,1253,784,1699,2515,1924,480,151,106,559,14183,175,183,1168,1466,1196,3073,5090,3756,786,218,137,455,17699,111,137,866,1226,741,1958,5408,5455,1188,288,198,505,18078,130,135,755,1050,817,2333,6746,7997,1637,424,268,563,22846,87,74,519,787,655,2342,7753,11270,2731,628,334,629,27818,74,65,386,592,512,1670,7196,13434,3795,903,458,573,29669,81,53
3RQLD,576,308,12398,757,172,312,311,279,694,1576,3043,2204,1036,966,393,11740,548,91,149,129,143,261,649,1196,1086,627,1073,260,6212,435,177,759,1115,917,2260,4362,5620,2651,956,778,859,20897,194,215,724,817,511,796,916,646,262,127,204,1473,6890,6965,4523,16937,22707,19095,38888,64229,66193,25038,8027,6947,9748,289301,106,105,296,346,282,490,587,763,460,220,255,753,4663,79,58,146,138,109,120,196,214,100,55,60,142,1423,399,367,744,528,355,508,466,362,209,82,103,326,4453,426,527,1818,1302,938,1180,1131,904,312,120,101,564,9328,441,661,3213,2206,1597,2502,2322,1638,538,181,160,734,16201,247,247,1517,2797,2433,4170,4423,3055,1064,318,218,605,21089,244,249,1211,1933,1610,3293,4845,4177,1597,465,327,732,20681,228,297,1159,1720,1664,3618,5640,5443,2115,686,432,852,23836,281,201,975,1502,1539,3645,6288,7136,3020,960,660,906,27115,304,152,803,1180,1155,3023,6028,7897,4058,1208,829,953,27590,607,259
