GCCSA_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
1GSYD,500,766,678,1832,6325,24747,23036,11605,8981,1701,80383,96,42,289,475,513,1358,4351,20604,26701,16566,13606,1588,86185,48,21,156,240,249,691,1734,8849,13501,10483,9846,856,46661,58,16,182,277,297,835,1588,8525,16870,16501,21625,1133,67918,68,49,260,294,240,563,1081,4455,10590,14143,47219,1393,80369,63,70,410,535,376,747,1449,4426,5380,4178,7156,2386,27185,129,138,1102,527,200,319,486,916,725,435,545,2848,8364,2908,4642,26715,19728,11960,21437,50139,142445,141955,94039,124619,22154,662739
1RNSW,631,1191,1346,3108,7071,11727,6185,1872,1044,1218,35737,242,91,411,813,966,2102,4872,10252,6647,2434,1328,1010,31172,96,35,171,309,336,943,2024,4720,3941,1657,1088,432,15754,162,65,182,310,319,834,1613,4227,4098,2225,1697,538,16275,135,86,290,314,262,492,950,2205,2416,1891,2729,651,12420,97,53,338,624,527,1110,2069,3530,2350,1169,903,920,13697,126,97,774,953,453,665,686,542,177,80,88,1673,6316,2903,2686,17092,23832,17383,31748,52159,70610,37158,14387,11001,13193,294154
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,596,850,758,2300,14485,34132,10966,3270,3023,1553,72185,121,71,361,609,523,1524,9863,32240,15079,5073,4121,1394,70975,55,45,241,303,227,672,3867,15844,9726,3918,3053,725,38670,62,59,283,307,239,590,3400,16056,13531,7418,6594,956,49493,100,53,274,288,189,346,1725,8689,10210,8316,17117,967,48282,87,72,419,477,310,592,2618,7270,4057,2108,3238,2157,23407,86,83,585,281,206,357,721,879,349,115,234,2341,6226,2826,3113,18119,14266,10591,24135,94221,191350,84278,36139,43974,19800,542817
2RVIC,516,876,949,2518,5266,5090,1027,178,172,553,17368,116,51,357,481,682,1648,3947,4966,1263,235,194,497,14435,32,30,170,228,242,682,1658,2630,870,179,128,206,7057,51,38,167,176,215,470,1356,2637,1257,313,259,268,7213,65,35,171,150,146,296,613,1461,1110,478,496,294,5318,57,32,268,393,326,775,1390,1590,558,151,118,424,6083,81,76,513,433,276,440,340,148,45,19,34,990,3404,1954,1789,11506,13649,11798,23003,34224,29904,8027,1934,1932,6815,146533
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,365,641,523,1892,8189,21358,7648,1941,998,775,44468,49,32,214,351,337,1183,5157,19261,10049,2959,1502,627,41728,25,18,133,171,162,616,1991,8976,6371,2290,1203,318,22266,35,18,145,191,139,526,1581,7811,7608,3824,2521,372,24765,47,19,144,153,124,252,762,3498,4466,3678,5944,389,19470,61,52,278,373,263,693,2005,5658,3421,1559,1404,1033,16800,63,80,373,172,146,331,474,610,226,74,105,1297,3951,2248,2405,11816,10052,7342,20419,57911,114427,51822,19429,15551,9618,323043
3RQLD,914,1236,1391,3540,7653,12058,7028,2345,1506,1416,39950,808,233,664,830,922,2441,5630,10487,7334,2800,1972,1382,35509,340,118,362,360,344,1096,2398,5047,4177,1947,1471,539,18193,880,182,403,351,313,861,1981,4466,4340,2461,2366,739,19336,956,193,355,326,268,525,1133,2454,2625,1901,3724,796,15259,358,176,613,814,598,1374,2810,4542,3208,1523,1280,1216,18509,120,124,532,529,332,576,589,538,232,120,133,1620,5445,6825,4148,15715,18096,15844,32969,54126,71188,42435,17378,15600,14276,308595
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,275,387,458,1971,5982,6739,1771,365,265,357,18640,27,11,165,283,279,1276,4487,6385,2243,527,263,249,16203,11,12,88,142,133,558,1777,3396,1481,407,217,145,8377,12,3,87,131,104,397,1310,3152,1971,711,478,167,8516,21,17,106,129,77,207,529,1437,1493,832,1081,176,6095,22,29,215,278,216,648,1596,2282,960,313,271,413,7229,46,60,512,263,123,199,231,192,62,23,33,755,2506,1130,1992,12421,10006,6370,17792,39253,39139,13310,3996,3182,5116,153704
4RSAU,287,622,422,961,952,413,47,14,59,299,4233,56,42,220,407,326,614,815,398,64,17,57,277,3276,31,16,83,143,142,247,344,248,39,11,23,90,1409,29,24,126,162,134,198,301,282,68,9,47,125,1499,26,17,115,150,82,152,201,195,71,16,76,165,1266,36,67,156,223,191,372,393,215,44,8,8,128,1848,40,59,211,201,91,113,47,29,13,0,17,311,1134,971,1206,5375,7423,4701,7549,6521,2738,505,133,439,2701,40269
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,305,428,625,2048,6682,10264,3178,808,567,548,25557,48,26,202,318,415,1514,4946,10145,4188,1233,844,502,24388,35,16,106,173,182,581,2083,5048,2745,833,529,224,12546,18,14,113,143,175,534,1971,5481,4020,1644,1342,326,15786,34,23,130,141,119,281,947,3325,3465,2253,4152,356,15222,53,32,211,315,295,724,2548,5399,2932,1138,1056,792,15492,50,44,360,215,108,205,339,330,134,48,102,911,2841,1254,1566,10174,8879,7425,18483,45644,63952,26384,9302,9767,7088,209913
5RWAU,424,519,524,809,1561,1458,400,133,199,708,7143,414,94,376,401,411,734,1282,1547,538,188,296,739,7020,154,45,195,175,165,324,598,831,320,132,171,278,3399,474,80,366,209,244,436,692,1058,546,246,426,542,5309,853,85,510,229,207,361,498,652,543,319,778,702,5732,327,119,281,256,225,417,736,932,407,163,212,363,4432,76,65,203,151,69,101,88,46,28,13,37,390,1273,3933,1662,6063,5578,4337,7024,10438,9790,3438,1395,2454,5559,61674
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
6GHOB,45,83,97,229,624,1296,655,188,102,78,3406,9,4,28,56,57,133,445,1032,686,239,135,58,2874,3,4,6,25,26,39,163,521,402,170,72,28,1466,3,3,19,26,30,35,143,429,478,252,145,31,1600,7,0,25,32,15,30,64,191,299,205,243,57,1171,5,7,27,63,44,84,179,373,271,141,97,71,1367,13,9,108,59,27,42,45,46,4,3,7,109,472,203,295,2043,2058,1329,2312,4597,7469,3950,1539,991,937,27705
6RTAS,91,190,224,639,1020,693,123,25,19,136,3234,34,9,74,120,145,390,743,611,149,44,26,117,2467,19,3,39,55,48,142,336,330,106,13,13,37,1148,31,11,34,41,51,120,252,325,112,27,30,61,1084,20,8,40,35,35,68,150,161,112,38,55,77,791,17,17,61,112,118,224,344,283,82,14,6,87,1358,23,17,103,131,67,99,78,18,0,3,5,159,708,531,480,2807,3877,3273,6117,7165,4135,948,230,226,1451,31243
