GCCSA_CODE_2021,C11_0_4_Need_asst_M,C11_0_4_Need_asst_F,C11_0_4_Need_asst_P,C11_0_4_No_need_asst_M,C11_0_4_No_need_asst_F,C11_0_4_No_need_asst_P,C11_0_4_Need_asst_ns_M,C11_0_4_Need_asst_ns_F,C11_0_4_Need_asst_ns_P,C11_0_4_Tot_M,C11_0_4_Tot_F,C11_0_4_Tot_P,C11_5_14_Need_asst_M,C11_5_14_Need_asst_F,C11_5_14_Need_asst_P,C11_5_14_No_need_asst_M,C11_5_14_No_need_asst_F,C11_5_14_No_need_asst_P,C11_5_14_Need_asst_ns_M,C11_5_14_Need_asst_ns_F,C11_5_14_Need_asst_ns_P,C11_5_14_Tot_M,C11_5_14_Tot_F,C11_5_14_Tot_P,C11_15_19_Need_asst_M,C11_15_19_Need_asst_F,C11_15_19_Need_asst_P,C11_15_19_No_need_asst_M,C11_15_19_No_need_asst_F,C11_15_19_No_need_asst_P,C11_15_19_Need_asst_ns_M,C11_15_19_Need_asst_ns_F,C11_15_19_Need_asst_ns_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Need_asst_M,C11_20_24_Need_asst_F,C11_20_24_Need_asst_P,C11_20_24_No_need_asst_M,C11_20_24_No_need_asst_F,C11_20_24_No_need_asst_P,C11_20_24_Need_asst_ns_M,C11_20_24_Need_asst_ns_F,C11_20_24_Need_asst_ns_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_34_Need_asst_M,C11_25_34_Need_asst_F,C11_25_34_Need_asst_P,C11_25_34_No_need_asst_M,C11_25_34_No_need_asst_F,C11_25_34_No_need_asst_P,C11_25_34_Need_asst_ns_M,C11_25_34_Need_asst_ns_F,C11_25_34_Need_asst_ns_P,C11_25_34_Tot_M,C11_25_34_Tot_F,C11_25_34_Tot_P,C11_35_44_Need_asst_M,C11_35_44_Need_asst_F,C11_35_44_Need_asst_P,C11_35_44_No_need_asst_M,C11_35_44_No_need_asst_F,C11_35_44_No_need_asst_P,C11_35_44_Need_asst_ns_M,C11_35_44_Need_asst_ns_F,C11_35_44_Need_asst_ns_P,C11_35_44_Tot_M,C11_35_44_Tot_F,C11_35_44_Tot_P,C11_45_54_Need_asst_M,C11_45_54_Need_asst_F,C11_45_54_Need_asst_P,C11_45_54_No_need_asst_M,C11_45_54_No_need_asst_F,C11_45_54_No_need_asst_P,C11_45_54_Need_asst_ns_M,C11_45_54_Need_asst_ns_F,C11_45_54_Need_asst_ns_P,C11_45_54_Tot_M,C11_45_54_Tot_F,C11_45_54_Tot_P,C11_55_64_Need_asst_M,C11_55_64_Need_asst_F,C11_55_64_Need_asst_P,C11_55_64_No_need_asst_M,C11_55_64_No_need_asst_F,C11_55_64_No_need_asst_P,C11_55_64_Need_asst_ns_M,C11_55_64_Need_asst_ns_F,C11_55_64_Need_asst_ns_P,C11_55_64_Tot_M,C11_55_64_Tot_F,C11_55_64_Tot_P,C11_65_74_Need_asst_M,C11_65_74_Need_asst_F,C11_65_74_Need_asst_P,C11_65_74_No_need_asst_M,C11_65_74_No_need_asst_F,C11_65_74_No_need_asst_P,C11_65_74_Need_asst_ns_M,C11_65_74_Need_asst_ns_F,C11_65_74_Need_asst_ns_P,C11_65_74_Tot_M,C11_65_74_Tot_F,C11_65_74_Tot_P,C11_75_84_Need_asst_M,C11_75_84_Need_asst_F,C11_75_84_Need_asst_P,C11_75_84_No_need_asst_M,C11_75_84_No_need_asst_F,C11_75_84_No_need_asst_P,C11_75_84_Need_asst_ns_M,C11_75_84_Need_asst_ns_F,C11_75_84_Need_asst_ns_P,C11_75_84_Tot_M,C11_75_84_Tot_F,C11_75_84_Tot_P,C11_85over_Need_asst_M,C11_85over_Need_asst_F,C11_85over_Need_asst_P,C11_85over_No_need_asst_M,C11_85over_No_need_asst_F,C11_85over_No_need_asst_P,C11_85over_Need_asst_ns_M,C11_85over_Need_asst_ns_F,C11_85over_Need_asst_ns_P,C11_85over_Tot_M,C11_85over_Tot_F,C11_85over_Tot_P,C11_Tot_Need_asst_M,C11_Tot_Need_asst_F,C11_Tot_Need_asst_P,C11_Tot_No_need_asst_M,C11_Tot_No_need_asst_F,C11_Tot_No_need_asst_P,C11_Tot_Need_asst_ns_M,C11_Tot_Need_asst_ns_F,C11_Tot_Need_asst_ns_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_0_4_Need_asst_M,C16_0_4_Need_asst_F,C16_0_4_Need_asst_P,C16_0_4_No_need_asst_M,C16_0_4_No_need_asst_F,C16_0_4_No_need_asst_P,C16_0_4_Need_asst_ns_M,C16_0_4_Need_asst_ns_F,C16_0_4_Need_asst_ns_P,C16_0_4_Tot_M,C16_0_4_Tot_F,C16_0_4_Tot_P,C16_5_14_Need_asst_M,C16_5_14_Need_asst_F,C16_5_14_Need_asst_P,C16_5_14_No_need_asst_M,C16_5_14_No_need_asst_F,C16_5_14_No_need_asst_P,C16_5_14_Need_asst_ns_M,C16_5_14_Need_asst_ns_F,C16_5_14_Need_asst_ns_P,C16_5_14_Tot_M,C16_5_14_Tot_F,C16_5_14_Tot_P,C16_15_19_Need_asst_M,C16_15_19_Need_asst_F,C16_15_19_Need_asst_P,C16_15_19_No_need_asst_M,C16_15_19_No_need_asst_F,C16_15_19_No_need_asst_P,C16_15_19_Need_asst_ns_M,C16_15_19_Need_asst_ns_F,C16_15_19_Need_asst_ns_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Need_asst_M,C16_20_24_Need_asst_F,C16_20_24_Need_asst_P,C16_20_24_No_need_asst_M,C16_20_24_No_need_asst_F,C16_20_24_No_need_asst_P,C16_20_24_Need_asst_ns_M,C16_20_24_Need_asst_ns_F,C16_20_24_Need_asst_ns_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_34_Need_asst_M,C16_25_34_Need_asst_F,C16_25_34_Need_asst_P,C16_25_34_No_need_asst_M,C16_25_34_No_need_asst_F,C16_25_34_No_need_asst_P,C16_25_34_Need_asst_ns_M,C16_25_34_Need_asst_ns_F
1GSYD,1726,1052,2782,140578,134102,274682,11173,10259,21433,153477,145413,298896,8302,3860,12160,256934,246884,503818,14934,13402,28332,280170,264146,544314,2827,1684,4507,131385,125849,257231,7718,6334,14049,141930,133867,275789,2095,1425,3519,140460,142001,282456,11826,9457,21278,154381,152883,307256,3806,3322,7126,303671,318036,621707,26330,21725,48055,333807,343083,676892,5309,5329,10637,293637,311434,605067,20386,17396,37786,319332,334159,653487,8155,9635,17786,267143,278556,545701,17042,14451,31494,292340,302642,594979,12206,13120,25324,207957,218114,426069,12888,11325,24216,233051,242559,475612,13099,14610,27710,123352,130959,254316,8344,7773,16119,144795,153342,298137,15574,25981,41556,60669,70831,131493,5427,6764,12187,81670,103576,185239,11008,28204,39210,13905,20850,34761,2366,4736,7099,27279,53790,81070,84098,108222,192321,1939689,1997620,3937307,138432,123612,262042,2162219,2229454,4391673,2188,1189,3378,147330,140921,288252,9510,9035,18541,159028,151145,310170,11180,5009,16189,277292,267379,544669,14953,14307,29263,303425,286695,590123,4046,2343,6392,136036,130983,267020,7900,7059,14956,147982,140385,288366,3017,1998,5013,157066,155319,312388,12200,11140,23341,172283,168457,340739,4897,4343,9238,346823,360476,707298,29985,27879
1RNSW,1182,635,1820,74989,71971,146962,5372,5125,10500,81543,77731,159279,6613,2990,9601,153669,149114,302783,8451,7988,16440,168733,160092,328823,2453,1394,3847,79155,75973,155128,4307,3593,7898,85915,80960,166874,1647,1186,2832,65164,64751,129917,5063,3304,8363,71874,69241,141112,2888,2370,5262,117089,124621,241710,9024,5951,14977,129001,132942,261943,4359,4137,8498,139483,151990,291476,9251,6805,16054,153093,162932,316023,7242,7076,14321,157082,165823,322903,9310,7033,16346,173634,179932,353565,11461,9663,21122,146484,150645,297125,8172,6554,14727,166117,166862,332977,10961,9778,20735,102802,107665,210464,5900,5452,11350,119663,122895,242554,11958,17107,29063,52664,60059,112719,4256,5213,9466,68878,82379,151249,8298,19957,28253,10493,14832,25322,1775,3192,4965,20566,37981,58542,69057,76298,145354,1099071,1137439,2236513,70881,60205,131088,1239009,1273942,2512950,1270,669,1932,72816,68964,141772,5559,5348,10906,79645,74981,154618,8736,3968,12708,150002,146861,296856,10718,10363,21080,169456,161192,330645,3255,1912,5167,73138,70705,143845,5438,5079,10519,81831,77696,159532,2343,1567,3909,66556,65253,131812,6550,5291,11841,75449,72111,147559,3750,3149,6897,125962,133210,259175,13520,10795
19499,0,0,0,278,221,494,30,25,59,308,246,552,11,15,24,273,251,529,50,31,78,334,297,625,14,8,22,306,308,613,67,55,122,387,371,760,11,10,15,565,529,1090,132,75,207,708,614,1314,28,22,43,1106,963,2068,364,183,545,1498,1168,2655,60,39,101,895,544,1436,419,147,563,1374,730,2102,69,50,113,726,518,1237,425,107,534,1220,675,1894,77,54,137,618,575,1192,264,89,349,959,718,1676,61,37,100,444,261,708,117,50,163,622,348,971,29,25,48,91,55,146,24,15,42,144,95,240,25,42,66,14,15,33,13,17,23,52,74,124,383,298,680,5313,4234,9542,1895,792,2690,7591,5324,12915,0,0,3,171,135,305,13,11,30,184,146,339,13,0,13,159,169,339,31,26,53,203,195,401,7,0,11,203,182,383,73,46,123,283,228,516,15,13,27,571,479,1048,167,129,289,753,621,1359,36,16,44,1093,803,1895,488,275
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,11,0,0,0,8,6,11,0,0,0,7,0,10,3,0,3,10,0,11,0,0,4,10,19,27,0,0,0,10,19,25,0,0,0,10,18,27,0,0,0,10,18,27,0,3,3,6,5,15,0,0,3,6,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,53,48,104,7,0,8,60,51,115,0,0,0,4,3,11,4,0,5,8,3,13,0,0,0,6,14,20,0,0,3,6,14,24,0,0,0,3,5,11,0,0,0,3,5,13,3,0,5,0,4,3,3,0,3,6,4,9,0,0,0,10,19,28,0,3
2GMEL,1615,895,2508,122756,117159,239917,8895,8314,17209,133266,126368,259633,8057,3674,11732,226413,218636,445051,11792,10976,22763,246262,233286,479549,2801,1648,4442,120537,116697,237229,6130,5289,11416,129468,123634,253090,1927,1389,3315,140162,138627,278788,10084,7663,17756,152173,147679,299850,3562,3148,6711,283327,291222,574549,20472,16229,36706,307361,310599,617961,5108,5397,10503,272216,289373,561591,15746,13410,29153,293070,308180,601244,6875,8314,15185,242040,254027,496067,12974,11102,24076,261889,273443,535331,10376,11827,22197,187388,200434,387815,9939,8886,18829,207703,221147,428836,12106,13983,26083,113457,122399,235856,6731,6917,13643,132294,143299,275586,15498,25420,40909,57174,66386,123560,5036,6162,11195,77708,97968,175663,10160,25260,35415,12891,18203,31093,2297,4436,6733,25348,47899,73237,78063,100944,179006,1778360,1833150,3611511,110080,99380,209467,1966503,2033474,3999980,2028,1119,3148,136327,130028,266356,9025,8647,17674,147380,139794,287178,11050,5103,16153,248103,241281,489381,13901,13087,26984,273054,259471,532523,3808,2240,6051,125807,123130,248935,7127,6906,14025,136742,132276,269019,2869,2168,5033,154560,152540,307096,10933,10298,21228,168362,165006,333362,4677,4320,8997,328737,341482,670222,25877,25257
2RVIC,620,321,941,40257,38232,78490,2735,2493,5223,43612,41046,84656,3811,1734,5542,81299,79243,160538,4018,3821,7838,89128,84798,173920,1483,818,2294,43757,41746,85500,2076,1877,3957,47316,44441,91754,955,633,1594,34813,34087,68899,2211,1517,3722,37979,36237,74215,1639,1423,3058,62618,67895,130517,4366,2979,7338,68623,72297,140910,2422,2282,4703,75942,83124,159061,4753,3435,8189,83117,88841,171950,3659,3790,7447,84424,90113,174530,4599,3556,8153,92682,97459,190128,5627,5017,10642,80342,83041,163385,4154,3473,7624,90123,91531,181648,5497,4882,10374,53637,56102,109745,3228,2895,6121,62362,63879,126244,5952,8648,14602,27320,31480,58797,2331,2857,5188,35603,42985,78580,4239,10691,14925,5748,8440,14185,920,1672,2590,10907,20803,31705,35891,40231,76121,590142,613510,1203649,35375,30567,65941,661408,684308,1345712,691,320,1013,39192,37376,76565,3116,2970,6086,42999,40666,83664,4779,2130,6913,80007,78349,158359,5959,5577,11538,90745,86056,176808,1846,1087,2941,40190,38116,78305,2884,2840,5726,44920,42043,86964,1324,947,2273,36248,34742,70989,3351,2924,6273,40923,38613,79530,2066,1726,3795,67475,72375,139849,7284,6077
29499,3,7,5,197,183,382,30,28,60,230,218,449,12,9,21,201,186,388,90,83,175,303,278,592,10,3,14,173,196,363,54,58,115,237,257,495,10,4,12,416,415,826,107,84,200,533,503,1037,29,18,45,805,768,1566,266,125,386,1100,911,1994,32,32,60,602,400,1003,269,90,360,903,522,1418,25,36,58,434,270,700,169,74,248,628,380,1009,38,28,63,292,289,581,77,29,100,407,346,747,25,10,32,185,119,299,44,20,62,254,149,399,14,11,23,39,25,66,17,9,26,70,45,111,7,19,22,8,14,19,9,0,8,24,33,52,198,175,369,3338,2862,6199,1138,598,1740,4674,3635,8310,8,0,8,160,128,293,46,31,77,214,159,374,12,9,23,128,153,280,37,28,66,177,190,372,8,4,13,126,139,264,39,33,77,173,176,357,10,6,22,316,348,671,119,91,214,445,445,899,15,25,39,750,583,1337,287,190
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,9,0,9,0,0,0,7,0,7,0,0,0,7,0,7,0,0,0,8,0,11,0,0,0,8,0,11,0,0,0,9,0,9,0,0,0,9,0,8,0,0,0,3,0,3,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,35,0,0,0,33,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,887,578,1465,68541,65090,133631,4709,4364,9076,74137,70032,144172,5012,2280,7300,126847,123000,249850,6910,6272,13184,138769,131552,270330,1888,1105,2988,67259,66294,133556,3702,3087,6789,72849,70486,143331,1213,857,2069,71622,73307,144928,5667,3946,9608,78502,78110,156605,2178,1857,4032,139328,144845,284172,10631,7674,18298,152137,154376,306506,2856,2957,5809,137782,146406,284187,8812,6762,15573,149450,156125,305570,3816,4336,8146,122757,129527,252288,7190,5504,12690,133763,139367,273126,6035,5624,11661,98390,103731,202121,5384,4390,9781,109809,113745,223556,6041,5852,11894,56908,59994,116906,3162,2942,6102,66111,68788,134899,6121,9623,15744,24980,29983,54965,2157,2747,4897,33258,42353,75607,4311,11043,15348,5358,8139,13497,1107,2341,3444,10776,21523,32291,40353,46100,86452,919779,950317,1870096,59423,50023,109444,1019555,1046440,2065996,1159,647,1807,70164,67072,137238,4524,4330,8854,75847,72049,147899,7437,3506,10941,137175,133401,270569,7611,7380,14987,152223,144287,296504,2651,1487,4139,67901,66790,134688,3977,3781,7754,74529,72058,146583,1966,1346,3315,77361,78363,155724,6204,5498,11699,85531,85207,170742,3077,2672,5750,152641,159693,312338,13340,11802
3RQLD,921,548,1469,71853,68268,140121,6053,5580,11629,78827,74396,153219,5273,2644,7924,142785,138330,281110,9392,8629,18026,157450,149603,307059,1966,1208,3172,70417,67558,137970,4914,3980,8896,77297,72746,150043,1335,903,2238,60939,62312,123251,6181,4397,10580,68455,67612,136066,2358,1867,4224,122383,131040,253423,12440,8656,21093,137181,141563,278742,3444,3252,6696,138069,148093,286161,12107,8594,20712,153620,159939,313565,5424,5345,10766,138779,146991,285766,11317,8110,19436,155520,160446,315968,8746,7035,15782,120253,123278,243530,8922,6580,15501,137921,136893,274816,8839,7265,16104,79206,80308,159512,5752,4833,10590,93797,92406,186200,8181,11276,19458,35422,37835,73255,3710,4175,7889,47313,53286,100602,5429,11669,17100,6826,8873,15695,1597,3059,4651,13852,23601,37450,51919,53009,104924,986933,1012876,1999808,82389,66604,148992,1121241,1132489,2253725,1077,646,1728,69051,65977,135029,5879,5589,11468,76007,72212,148225,7574,3639,11212,145350,141063,286413,11095,10517,21615,164019,155219,319239,2750,1521,4264,68100,66040,134138,5608,5272,10877,76458,72833,149287,1909,1267,3172,64004,64235,128236,7273,6288,13569,73186,71790,144978,3129,2465,5598,128903,138207,267115,15470,12984
