GCCSA_CODE_2021,C16_25_34_Need_asst_ns_P,C16_25_34_Tot_M,C16_25_34_Tot_F,C16_25_34_Tot_P,C16_35_44_Need_asst_M,C16_35_44_Need_asst_F,C16_35_44_Need_asst_P,C16_35_44_No_need_asst_M,C16_35_44_No_need_asst_F,C16_35_44_No_need_asst_P,C16_35_44_Need_asst_ns_M,C16_35_44_Need_asst_ns_F,C16_35_44_Need_asst_ns_P,C16_35_44_Tot_M,C16_35_44_Tot_F,C16_35_44_Tot_P,C16_45_54_Need_asst_M,C16_45_54_Need_asst_F,C16_45_54_Need_asst_P,C16_45_54_No_need_asst_M,C16_45_54_No_need_asst_F,C16_45_54_No_need_asst_P,C16_45_54_Need_asst_ns_M,C16_45_54_Need_asst_ns_F,C16_45_54_Need_asst_ns_P,C16_45_54_Tot_M,C16_45_54_Tot_F,C16_45_54_Tot_P,C16_55_64_Need_asst_M,C16_55_64_Need_asst_F,C16_55_64_Need_asst_P,C16_55_64_No_need_asst_M,C16_55_64_No_need_asst_F,C16_55_64_No_need_asst_P,C16_55_64_Need_asst_ns_M,C16_55_64_Need_asst_ns_F,C16_55_64_Need_asst_ns_P,C16_55_64_Tot_M,C16_55_64_Tot_F,C16_55_64_Tot_P,C16_65_74_Need_asst_M,C16_65_74_Need_asst_F,C16_65_74_Need_asst_P,C16_65_74_No_need_asst_M,C16_65_74_No_need_asst_F,C16_65_74_No_need_asst_P,C16_65_74_Need_asst_ns_M,C16_65_74_Need_asst_ns_F,C16_65_74_Need_asst_ns_P,C16_65_74_Tot_M,C16_65_74_Tot_F,C16_65_74_Tot_P,C16_75_84_Need_asst_M,C16_75_84_Need_asst_F,C16_75_84_Need_asst_P,C16_75_84_No_need_asst_M,C16_75_84_No_need_asst_F,C16_75_84_No_need_asst_P,C16_75_84_Need_asst_ns_M,C16_75_84_Need_asst_ns_F,C16_75_84_Need_asst_ns_P,C16_75_84_Tot_M,C16_75_84_Tot_F,C16_75_84_Tot_P,C16_85over_Need_asst_M,C16_85over_Need_asst_F,C16_85over_Need_asst_P,C16_85over_No_need_assist_M,C16_85over_No_need_assist_F,C16_85over_No_need_asst_P,C16_85over_Need_assist_ns_M,C16_85over_Need_assist_ns_F,C16_85over_Need_assist_ns_P,C16_85over_Tot_M,C16_85over_Tot_F,C16_85over_Tot_P,C16_Tot_Need_assist_M,C16_Tot_Need_assist_F,C16_Tot_Need_asst_P,C16_Tot_No_need_assist_M,C16_Tot_No_need_assist_F,C16_Tot_No_need_asst_P,C16_Tot_Need_assist_ns_M,C16_Tot_Need_assist_ns_F,C16_Tot_Need_assist_ns_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_0_4_Need_assist_M,C21_0_4_Need_assist_F,C21_0_4_Need_assist_P,C21_0_4_No_need_assist_M,C21_0_4_No_need_assist_F,C21_0_4_No_need_assist_P,C21_0_4_Need_assist_ns_M,C21_0_4_Need_assist_ns_F,C21_0_4_Need_assist_ns_P,C21_0_4_Tot_M,C21_0_4_Tot_F,C21_0_4_Tot_P,C21_5_14_Need_assist_M,C21_5_14_Need_assist_F,C21_5_14_Need_assist_P,C21_5_14_No_need_assist_M,C21_5_14_No_need_assist_F,C21_5_14_No_need_assist_P,C21_5_14_Need_assist_ns_M,C21_5_14_Need_assist_ns_F,C21_5_14_Need_assist_ns_P,C21_5_14_Tot_M,C21_5_14_Tot_F,C21_5_14_Tot_P,C21_15_19_Need_assist_M,C21_15_19_Need_assist_F,C21_15_19_Need_assist_P,C21_15_19_No_need_assist_M,C21_15_19_No_need_assist_F,C21_15_19_No_need_assist_P,C21_15_19_Need_assist_ns_M,C21_15_19_Need_assist_ns_F,C21_15_19_Need_assist_ns_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Need_assist_M,C21_20_24_Need_assist_F,C21_20_24_Need_assist_P,C21_20_24_No_need_assist_M,C21_20_24_No_need_assist_F,C21_20_24_No_need_assist_P,C21_20_24_Need_assist_ns_M,C21_20_24_Need_assist_ns_F,C21_20_24_Need_assist_ns_P,C21_20_24_Tot_M,C21_20_24_Tot_F,C21_20_24_Tot_P,C21_25_34_Need_assist_M,C21_25_34_Need_assist_F,C21_25_34_Need_assist_P,C21_25_34_No_need_assist_M,C21_25_34_No_need_assist_F,C21_25_34_No_need_assist_P,C21_25_34_Need_assist_ns_M,C21_25_34_Need_assist_ns_F,C21_25_34_Need_assist_ns_P,C21_25_34_Tot_M,C21_25_34_Tot_F,C21_25_34_Tot_P,C21_35_44_Need_assist_M,C21_35_44_Need_assist_F,C21_35_44_Need_assist_P,C21_35_44_No_need_assist_M,C21_35_44_No_need_assist_F,C21_35_44_No_need_assist_P,C21_35_44_Need_assist_ns_M,C21_35_44_Need_assist_ns_F,C21_35_44_Need_assist_ns_P,C21_35_44_Tot_M,C21_35_44_Tot_F,C21_35_44_Tot_P,C21_45_54_Need_assist_M,C21_45_54_Need_assist_F,C21_45_54_Need_assist_P,C21_45_54_No_need_assist_M,C21_45_54_No_need_assist_F,C21_45_54_No_need_assist_P,C21_45_54_Need_assist_ns_M,C21_45_54_Need_assist_ns_F,C21_45_54_Need_assist_ns_P,C21_45_54_Tot_M,C21_45_54_Tot_F,C21_45_54_Tot_P,C21_55_64_Need_assist_M,C21_55_64_Need_assist_F,C21_55_64_Need_assist_P,C21_55_64_No_need_assist_M,C21_55_64_No_need_assist_F,C21_55_64_No_need_assist_P,C21_55_64_Need_assist_ns_M,C21_55_64_Need_assist_ns_F,C21_55_64_Need_assist_ns_P,C21_55_64_Tot_M,C21_55_64_Tot_F,C21_55_64_Tot_P,C21_65_74_Need_assist_M,C21_65_74_Need_assist_F,C21_65_74_Need_assist_P,C21_65_74_No_need_assist_M,C21_65_74_No_need_assist_F,C21_65_74_No_need_assist_P,C21_65_74_Need_assist_ns_M,C21_65_74_Need_assist_ns_F,C21_65_74_Need_assist_ns_P,C21_65_74_Tot_M,C21_65_74_Tot_F,C21_65_74_Tot_P,C21_75_84_Need_assist_M,C21_75_84_Need_assist_F,C21_75_84_Need_assist_P,C21_75_84_No_need_assist_M
1GSYD,57861,381705,392698,774405,6058,6420,12477,314357,323566,637923,24051,21592,45644,344466,351578,696039,9395,10970,20366,277832,290593,568426,20158,18627,38793,307385,320190,627576,13467,16631,30100,223876,237654,461526,16271,16112,32391,253614,270397,524013,17256,19519,36778,150230,160922,311154,11926,12624,24552,179412,193065,372482,18755,29078,47835,66802,74450,141249,6753,8219,14969,92310,111747,204052,15178,33209,48385,16871,22012,38881,3105,5649,8750,35154,60870,96019,105426,130716,236142,2114515,2164268,4278790,156825,152234,309061,2376766,2447218,4823993,2585,1347,3928,149294,141787,291081,8914,8435,17354,160793,151569,312364,15210,6974,22183,301740,293099,594836,17506,16318,33824,334456,316391,650843,5103,2970,8079,139698,133001,272701,7423,6562,13988,152224,142533,294764,3749,2482,6228,162050,155218,317267,10700,8870,19572,176499,166570,343064,5802,5034,10839,369169,381598,750766,26152,23557,49706,401123,410189,811314,6246,6498,12746,357359,366167,723528,21885,19585,41474,385490,392250,777748,8919,10549,19466,301443,315261,616700,16419,14586,31004,326781,340396,667167,14336,17640,31973,254822,266812,521637,13514,12041,25558,282672,296493,579166,20400,25588,45983,178550,194898,373452,9923,10116,20032,208873,230602,439467,23210,34515,57726,84839
1RNSW,24315,143232,147154,290384,4657,4429,9087,130927,140990,271920,12928,10988,23914,148512,156407,304920,7501,7829,15329,148170,157918,306085,14227,12915,27141,169898,178662,348555,11585,11146,22722,152418,160512,312928,14429,13878,28306,178432,185536,363962,13966,12287,26251,123899,128507,252405,12425,12154,24577,150290,152948,303232,12699,17317,30015,58553,64459,123008,7168,8545,15711,78420,90321,168736,9683,21586,31274,13818,17597,31412,3059,5648,8709,26560,44831,71398,79448,85848,165295,1116255,1154967,2271219,106018,101004,207016,1301721,1341819,2643535,1553,852,2408,72927,69725,142651,5173,4994,10168,79653,75571,155229,12223,5843,18058,155234,152554,307791,12587,11877,24462,180044,170274,350305,4300,2539,6841,73589,71178,144767,5774,5223,10994,83663,78940,162601,3084,2021,5106,68360,67487,135838,6467,4881,11349,77911,74389,152295,4580,3824,8409,143343,151944,295285,13980,10855,24836,161903,166623,328523,4559,4636,9194,140211,150832,291049,12813,10515,23328,157583,165983,323565,6896,7698,14593,150065,160926,310991,12406,10107,22520,169367,178731,348104,11221,11609,22828,161793,173878,335668,12046,10415,22462,185060,195902,380961,16110,15527,31635,145120,151822,296936,10274,9362,19635,171504,176711,348204,16509,21604,38111,72694
19499,758,1617,1094,2703,37,28,64,740,421,1159,493,177,672,1270,626,1898,61,56,117,645,424,1068,443,175,614,1149,655,1801,74,52,133,599,537,1132,315,142,451,988,731,1721,59,35,90,499,355,858,163,88,248,721,478,1195,19,22,40,98,71,174,40,28,66,157,121,283,9,27,36,9,10,19,10,8,17,28,45,74,334,243,575,4789,3589,8386,2226,1099,3328,7349,4931,12288,6,3,11,157,113,276,87,90,181,250,206,460,24,9,35,200,218,413,167,182,344,391,409,798,8,9,20,156,180,337,91,91,174,255,280,532,12,13,17,267,274,542,136,135,267,415,422,829,25,26,52,723,667,1392,414,333,749,1162,1026,2187,34,27,65,586,434,1025,480,286,761,1100,747,1859,42,41,83,531,428,960,433,197,629,1006,666,1678,73,51,129,569,500,1069,308,149,460,950,700,1648,39,31,71,476,312,787,130,64,195,645,407,1055,20,12,35,115
19799,6,10,22,29,0,0,0,19,16,35,0,0,0,19,16,31,3,0,5,23,25,46,0,4,5,26,29,53,0,5,9,19,41,63,3,3,10,22,49,74,6,5,10,36,54,89,3,4,9,45,63,110,0,0,3,11,16,34,4,6,7,15,22,43,3,0,4,0,3,3,0,0,0,3,3,11,22,18,34,141,199,334,16,27,47,179,244,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,51129,359291,371059,730347,5806,6183,11994,288489,298442,586926,20703,19466,40167,314998,324091,639085,8437,10315,18753,259401,273682,533083,17938,17535,35470,285776,301532,587314,11598,14461,26053,203310,217834,421140,14695,15015,29705,229603,247310,476899,15045,17686,32733,137089,151332,288424,10977,12149,23134,163111,181167,344288,17512,28005,45516,63767,71619,135384,6815,8338,15158,88094,107962,196055,13919,29796,43715,16156,20466,36621,3122,5692,8815,33197,55954,89150,96742,121400,218142,1961746,2021832,3983574,141110,142384,283487,2199598,2285616,4485210,2351,1356,3707,139410,132727,272139,7498,7307,14805,149259,141390,290649,16031,7682,23710,277460,270342,547808,15115,14306,29421,308606,292330,600934,5243,3339,8580,129224,124515,253738,6401,5976,12379,140868,133830,274698,3739,2847,6589,155219,149464,304683,9493,7774,17269,168451,160085,328543,5987,6046,12036,360966,370973,731948,23640,21070,44708,390593,398089,788689,6367,7116,13483,338686,347061,685743,18847,17029,35877,363900,371206,735102,8962,11178,20133,282823,298367,581191,14565,13217,27787,306350,322762,629107,13124,16653,29773,232058,245968,478029,11438,10733,22177,256620,273354,529975,18408,24213,42621,163389,181669,345068,8399,8945,17338,190196,214827,405027,22740,35193,57935,78805
2RVIC,13356,76825,80178,156997,2436,2581,5015,70526,76494,147025,7212,6289,13501,80174,85364,165539,3920,4203,8122,81036,87648,168681,8011,7308,15319,92967,99159,192118,5592,5903,11496,83879,88408,172288,8025,7924,15952,97496,102235,199728,7074,6276,13350,67185,70038,137225,7168,7087,14257,81427,83401,164831,6303,8829,15134,31002,34085,65085,3984,4632,8614,41289,47546,88831,5025,11379,16409,7597,10110,17713,1730,2951,4684,14352,24440,38802,41072,45395,86460,604325,627740,1232063,58734,56562,115295,704131,729697,1433818,828,481,1311,39710,38579,78291,2663,2577,5236,43201,41637,84837,7084,3506,10594,85181,83208,168389,6744,6164,12913,99009,92878,191896,2562,1519,4083,39995,38403,78396,2864,2700,5561,45421,42622,88042,1808,1172,2977,36928,35792,72715,2999,2429,5433,41735,39393,81124,2793,2356,5146,81386,85376,166757,7284,5789,13074,91463,93521,184984,2675,2907,5589,78169,85224,163387,6951,5955,12912,87795,94086,181883,3944,4586,8527,84256,91020,175277,6862,5714,12575,95062,101320,196379,6139,6870,13011,91005,98635,189641,6817,6017,12833,103961,111522,215485,8632,8920,17546,83577,86960,170543,6237,5596,11824,98446,101476,199919,9045,11428,20476,39608
29499,473,1052,798,1845,20,14,39,450,317,763,343,145,488,813,476,1290,23,27,50,366,230,600,238,85,321,627,342,975,33,28,61,295,257,549,135,70,211,463,355,814,27,16,41,207,153,358,49,30,83,283,199,479,13,12,22,53,28,82,14,5,20,80,45,123,5,10,17,0,10,14,0,7,7,5,27,42,180,159,339,2852,2351,5199,1304,727,2029,4336,3237,7572,6,3,11,129,117,247,88,66,154,223,186,414,37,21,59,179,192,373,152,146,301,368,359,730,15,9,27,129,139,267,87,83,173,231,231,459,20,9,27,214,223,431,120,96,208,354,328,671,24,33,59,527,548,1075,382,301,684,933,882,1819,42,48,90,449,342,791,519,337,858,1010,727,1736,63,58,116,397,238,638,458,185,637,918,481,1393,46,33,78,315,285,599,283,112,397,644,430,1074,21,15,38,232,142,380,134,61,194,387,218,613,12,14,25,61
29799,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,7,0,7,0,0,0,7,0,13,0,0,0,10,0,10,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,28,3,0,3,25,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,4,9,0,9,13,0,16,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,3,0,6,7,3,9,10,3,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
3GBRI,25142,169058,174167,343231,3455,3737,7193,141171,148825,289991,11235,9511,20749,155861,162073,317930,4846,5706,10556,130841,138159,269002,10304,9201,19502,145991,153066,299056,6772,7397,14165,103904,110875,214777,8061,7777,15843,118737,126049,244788,8523,8235,16761,71643,77809,149454,5974,6022,11995,86140,92066,178208,7388,10646,18033,29268,33086,62350,3205,3920,7126,39861,47652,87504,5417,12412,17831,6659,9026,15681,1600,3244,4843,13676,24682,38350,52702,57787,110488,988724,1023094,2011815,76034,72461,148496,1117460,1153342,2270807,1528,881,2409,71945,68491,140439,3953,3694,7650,77426,73066,150503,11501,5753,17256,151390,148538,299932,8514,7943,16459,171405,162234,333644,3787,2375,6165,72800,70937,143742,3750,3466,7216,80337,76778,157117,2609,1948,4557,79711,80254,159968,5561,4555,10117,87881,86757,174643,3966,3839,7808,166801,175984,342785,13071,10414,23478,183838,190237,374070,4038,4396,8434,161406,171182,332584,10690,8628,19312,176134,184206,360339,5348,6558,11903,146456,155210,301669,8743,6735,15481,160547,168503,329053,7558,8815,16373,118716,127002,245721,6378,5325,11703,132652,141142,273801,10652,11653,22303,86732,96066,182795,4666,4394,9064,102050,112113,214163,11073,14823,25897,40099
3RQLD,28450,147502,153656,301159,3824,3836,7657,131889,142225,274118,14598,12320,26915,150311,158381,308694,6112,6468,12583,140173,149498,289666,15278,13435,28716,161563,169401,330961,9249,9025,18275,127544,133713,261255,13593,12565,26160,150386,155303,305688,12026,10098,22128,98724,100870,199593,10569,10165,20730,121319,121133,242447,10433,13096,23530,42883,44368,87255,5296,5837,11133,58612,63301,121918,7162,14836,21994,8827,10808,19634,2083,3413,5495,18072,29057,47130,65241,66903,132144,1025447,1057007,2082453,106739,98389,205125,1197427,1222299,2419723,1375,769,2143,66628,63070,129699,4997,4607,9608,73000,68446,141447,11164,5617,16780,150100,146931,297035,12187,11287,23472,173451,163835,337289,3771,2449,6223,70470,68398,138872,5669,5065,10735,79910,75912,155824,2552,1657,4206,64569,66048,130617,7438,5892,13332,74559,73597,148151,3828,3102,6935,137960,149528,287484,17099,13433,30537,158887,166063,324954,4142,4040,8180,137668,152597,290268,15199,11692,26889,157009,168329,325336,6051,6879,12929,146030,157618,303653,15123,11398,26524,167204,175895,343100,9862,10427,20292,142089,152940,295034,13248,10453,23702,165199,173820,339019,14216,13478,27689,118348,123357,241710,9533,8233,17770,142097,145068,287170,14531,17753,32290,56943
