GCCSA_CODE_2021,C16_CFNC_BF_4000more,C16_CFNC_BF_Ns,C16_CFNC_BF_Tot,C16_CFNC_BPT_Neg_ni_inc,C16_CFNC_BPT_1_149,C16_CFNC_BPT_150_399,C16_CFNC_BPT_400_649,C16_CFNC_BPT_650_799,C16_CFNC_BPT_800_1249,C16_CFNC_BPT_1250_1999,C16_CFNC_BPT_2000_2499,C16_CFNC_BPT_2500_2999,C16_CFNC_BPT_3000_3999,C16_CFNC_BPT_4000more,C16_CFNC_BPT_Ns,C16_CFNC_BPT_Tot,C16_CFNC_1F1P_Neg_ni_inc,C16_CFNC_1F1P_1_149,C16_CFNC_1F1P_150_399,C16_CFNC_1F1P_400_649,C16_CFNC_1F1P_650_799,C16_CFNC_1F1P_800_1249,C16_CFNC_1F1P_1250_1999,C16_CFNC_1F1P_2000_2499,C16_CFNC_1F1P_2500_2999,C16_CFNC_1F1P_3000_3999,C16_CFNC_1F1P_4000more,C16_CFNC_1F1P_Ns,C16_CFNC_1F1P_Tot,C16_CFNC_1E1A_Neg_ni_inc,C16_CFNC_1E1A_1_149,C16_CFNC_1E1A_150_399,C16_CFNC_1E1A_400_649,C16_CFNC_1E1A_650_799,C16_CFNC_1E1A_800_1249,C16_CFNC_1E1A_1250_1999,C16_CFNC_1E1A_2000_2499,C16_CFNC_1E1A_2500_2999,C16_CFNC_1E1A_3000_3999,C16_CFNC_1E1A_4000more,C16_CFNC_1E1A_Ns,C16_CFNC_1E1A_Tot,C16_CFNC_1F1NW_Neg_ni_inc,C16_CFNC_1F1NW_1_149,C16_CFNC_1F1NW_150_399,C16_CFNC_1F1NW_400_649,C16_CFNC_1F1NW_650_799,C16_CFNC_1F1NW_800_1249,C16_CFNC_1F1NW_1250_1999,C16_CFNC_1F1NW_2000_2499,C16_CFNC_1F1NW_2500_2999,C16_CFNC_1F1NW_3000_3999,C16_CFNC_1F1NW_4000more,C16_CFNC_1F1NW_Ns,C16_CFNC_1F1NW_Tot,C16_CFNC_1P1NW_Neg_ni_inc,C16_CFNC_1P1NW_1_149,C16_CFNC_1P1NW_150_399,C16_CFNC_1P1NW_400_649,C16_CFNC_1P1NW_650_799,C16_CFNC_1P1NW_800_1249,C16_CFNC_1P1NW_1250_1999,C16_CFNC_1P1NW_2000_2499,C16_CFNC_1P1NW_2500_2999,C16_CFNC_1P1NW_3000_3999,C16_CFNC_1P1NW_4000more,C16_CFNC_1P1NW_Ns,C16_CFNC_1P1NW_Tot,C16_CFNC_1A1NW_Neg_ni_inc,C16_CFNC_1A1NW_1_149,C16_CFNC_1A1NW_150_399,C16_CFNC_1A1NW_400_649,C16_CFNC_1A1NW_650_799,C16_CFNC_1A1NW_800_1249,C16_CFNC_1A1NW_1250_1999,C16_CFNC_1A1NW_2000_2499,C16_CFNC_1A1NW_2500_2999,C16_CFNC_1A1NW_3000_3999,C16_CFNC_1A1NW_4000more,C16_CFNC_1A1NW_Ns,C16_CFNC_1A1NW_Tot,C16_CFNC_BA_Neg_ni_inc,C16_CFNC_BA_1_149,C16_CFNC_BA_150_399,C16_CFNC_BA_400_649,C16_CFNC_BA_650_799,C16_CFNC_BA_800_1249,C16_CFNC_BA_1250_1999,C16_CFNC_BA_2000_2499,C16_CFNC_BA_2500_2999,C16_CFNC_BA_3000_3999,C16_CFNC_BA_4000more,C16_CFNC_BA_Ns,C16_CFNC_BA_Tot,C16_CFNC_BNW_Neg_ni_inc,C16_CFNC_BNW_1_149,C16_CFNC_BNW_150_399,C16_CFNC_BNW_400_649,C16_CFNC_BNW_650_799,C16_CFNC_BNW_800_1249,C16_CFNC_BNW_1250_1999,C16_CFNC_BNW_2000_2499,C16_CFNC_BNW_2500_2999,C16_CFNC_BNW_3000_3999,C16_CFNC_BNW_4000more,C16_CFNC_BNW_Ns,C16_CFNC_BNW_Tot,C16_CFNC_LFns_Neg_ni_inc,C16_CFNC_LFns_1_149,C16_CFNC_LFns_150_399,C16_CFNC_LFns_400_649,C16_CFNC_LFns_650_799,C16_CFNC_LFns_800_1249,C16_CFNC_LFns_1250_1999,C16_CFNC_LFns_2000_2499,C16_CFNC_LFns_2500_2999,C16_CFNC_LFns_3000_3999,C16_CFNC_LFns_4000more,C16_CFNC_LFns_Ns,C16_CFNC_LFns_Tot,C16_CFNC_Tot_Neg_ni_inc,C16_CFNC_Tot_1_149,C16_CFNC_Tot_150_399,C16_CFNC_Tot_400_649,C16_CFNC_Tot_650_799,C16_CFNC_Tot_800_1249,C16_CFNC_Tot_1250_1999,C16_CFNC_Tot_2000_2499,C16_CFNC_Tot_2500_2999,C16_CFNC_Tot_3000_3999,C16_CFNC_Tot_4000more,C16_CFNC_Tot_Ns,C16_CFNC_Tot_Tot,C16_CFC_BFT_Neg_ni_inc,C16_CFC_BFT_1_149,C16_CFC_BFT_150_399,C16_CFC_BFT_400_649,C16_CFC_BFT_650_799,C16_CFC_BFT_800_1249,C16_CFC_BFT_1250_1999,C16_CFC_BFT_2000_2499,C16_CFC_BFT_2500_2999,C16_CFC_BFT_3000_3999,C16_CFC_BFT_4000more,C16_CFC_BFT_Ns,C16_CFC_BFT_Tot,C16_CFC_BPT_Neg_ni_inc,C16_CFC_BPT_1_149,C16_CFC_BPT_150_399,C16_CFC_BPT_400_649,C16_CFC_BPT_650_799,C16_CFC_BPT_800_1249,C16_CFC_BPT_1250_1999,C16_CFC_BPT_2000_2499,C16_CFC_BPT_2500_2999,C16_CFC_BPT_3000_3999,C16_CFC_BPT_4000more,C16_CFC_BPT_Ns,C16_CFC_BPT_Tot,C16_CFC_1F1P_Neg_ni_inc,C16_CFC_1F1P_1_149,C16_CFC_1F1P_150_399,C16_CFC_1F1P_400_649,C16_CFC_1F1P_650_799,C16_CFC_1F1P_800_1249,C16_CFC_1F1P_1250_1999,C16_CFC_1F1P_2000_2499,C16_CFC_1F1P_2500_2999,C16_CFC_1F1P_3000_3999,C16_CFC_1F1P_4000more,C16_CFC_1F1P_Ns,C16_CFC_1F1P_Tot,C16_CF_1E1A_Neg_ni_inc,C16_CF_1E1A_1_149,C16_CF_1E1A_150_399,C16_CF_1E1A_400_649,C16_CF_1E1A_650_799,C16_CF_1E1A_800_1249,C16_CF_1E1A_1250_1999,C16_CF_1E1A_2000_2499,C16_CF_1E1A_2500_2999,C16_CF_1E1A_3000_3999,C16_CF_1E1A_4000more,C16_CF_1E1A_Ns,C16_CF_1E1A_Tot,C16_CF_1F1NW_Neg_ni_inc,C16_CF_1F1NW_1_149,C16_CF_1F1NW_150_399,C16_CF_1F1NW_400_649,C16_CF_1F1NW_650_799,C16_CF_1F1NW_800_1249,C16_CF_1F1NW_1250_1999,C16_CF_1F1NW_2000_2499,C16_CF_1F1NW_2500_2999,C16_CF_1F1NW_3000_3999,C16_CF_1F1NW_4000more,C16_CF_1F1NW_Ns,C16_CF_1F1NW_Tot,C16_CF_1P1NW_Neg_ni_inc,C16_CF_1P1NW_1_149
1GSYD,24309,1680,110601,40,89,87,803,1446,4667,4975,1786,978,888,1243,332,17334,53,24,37,217,430,4477,15967,8846,6390,4943,6114,699,48201,16,13,20,87,137,638,1669,1341,1066,1053,1115,425,7588,110,42,180,1314,2332,10389,13329,6738,2390,3910,3684,1005,45412,132,306,1450,3635,3050,6800,5485,1922,1022,952,1441,645,26860,66,46,94,316,323,849,897,365,185,208,204,314,3860,25,9,10,55,79,218,519,445,333,398,417,355,2855,10348,3215,3131,17911,32509,26756,17079,5055,2485,2239,3109,5200,129036,106,42,52,235,421,401,314,127,45,53,73,22976,24847,10986,3816,5086,24715,40961,56787,74636,49301,34503,40443,41711,33630,416592,159,51,46,116,230,1691,12693,19394,20290,33203,45633,10188,143693,26,32,66,480,750,3251,5583,2888,2109,2146,2286,1636,21244,96,49,99,359,610,6326,29895,25270,24586,25931,37199,9802,160219,17,10,26,117,131,935,3506,3731,3610,5119,5567,1643,24420,201,101,310,2195,3501,19115,35157,20755,7945,16240,14485,7212,127207,133,144
1RNSW,4547,971,48911,54,75,84,737,1170,3738,3897,1229,592,443,497,264,12784,82,54,82,441,653,4815,13975,6612,4051,2652,2237,708,36367,14,20,21,128,151,772,1632,976,679,534,390,284,5581,76,51,153,877,1473,6483,7514,3314,1193,1386,967,803,24299,66,198,685,2957,3270,6845,4099,1096,501,385,413,583,21106,30,25,59,307,402,830,820,353,126,151,86,243,3439,27,15,10,76,128,300,504,335,214,195,143,237,2186,2753,1754,1995,16123,39188,29577,15742,3541,1301,964,1181,6048,120176,78,42,35,280,635,451,322,127,46,39,48,15987,18080,3437,2338,3202,22374,47703,56312,60331,29233,16776,14614,10497,26117,292933,122,50,66,212,252,1431,8088,9920,9438,12637,9498,6008,57708,12,13,55,257,389,2178,3770,1689,967,779,576,1057,11745,69,44,73,346,449,5258,23653,16369,13331,10804,8146,6241,84784,16,6,15,79,96,824,3071,2297,1923,2027,1230,1014,12595,49,42,115,534,1062,8046,15010,7160,2656,3228,2207,3046,43161,40,52
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,15459,1692,100100,48,92,142,870,1393,4576,4855,1706,895,699,1032,319,16631,51,37,45,315,531,5117,18322,10061,6807,4672,4580,910,51452,14,10,19,101,177,712,1929,1459,1052,1038,782,426,7726,136,62,220,1312,2465,10871,13250,5848,2130,3049,2732,1107,43183,142,372,1494,3849,3363,7535,5238,1659,866,746,1217,715,27195,61,57,107,380,324,944,910,388,169,164,184,348,4033,25,15,3,58,94,248,571,463,336,343,328,380,2869,8843,3035,2751,17642,33240,26873,15320,4147,1954,1830,2359,6035,124028,116,47,43,276,538,415,358,124,57,52,68,21383,23474,9562,3759,4863,24968,42387,58891,76298,49921,33766,34217,28747,33315,400694,171,45,59,187,308,1892,12497,17465,16805,24756,27882,8871,110939,37,29,97,541,817,3712,6122,3042,1980,1762,1753,1769,21661,138,63,113,534,781,7942,36445,29179,26569,24408,29645,10819,166631,31,13,27,114,173,1135,4379,4023,3664,4300,3901,1702,23456,248,117,412,2077,3558,20239,35194,18738,6834,12035,10384,7075,116912,143,214
2RVIC,1835,633,26909,51,75,68,480,714,2358,2340,736,348,222,272,179,7838,81,51,67,326,465,3234,8812,4085,2412,1382,1157,473,22539,17,12,16,77,110,521,1037,663,436,289,174,151,3511,57,54,90,543,925,3935,4229,1594,518,578,463,506,13497,38,122,429,1825,1988,3974,2189,536,231,189,213,367,12084,14,17,41,199,261,553,491,176,49,53,61,164,2086,26,13,10,58,82,225,382,228,147,137,105,173,1586,1532,991,1002,8393,19316,14744,6882,1471,515,417,599,3419,59287,39,23,19,152,351,280,196,106,36,22,26,8421,9685,2032,1469,1790,12362,24590,31375,33572,16541,8994,6938,4893,14475,159024,103,44,55,167,225,1004,4400,4976,4435,5101,3374,3271,27164,13,13,28,191,226,1291,2224,923,509,331,254,611,6615,77,30,84,256,362,3793,15906,10077,7164,5248,3707,4096,50796,9,4,12,67,87,588,1996,1449,1106,899,532,603,7347,47,41,67,423,730,5342,8931,3515,1245,1500,1077,1786,24698,21,38
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,7134,881,54573,15,47,48,396,722,2516,2554,862,504,398,408,128,8614,30,16,36,195,313,2946,10803,5912,3893,2653,2332,433,29552,5,3,17,64,72,407,1156,898,615,622,425,187,4482,60,33,92,582,1170,6010,7617,3338,1089,1667,1278,522,23440,59,151,562,1956,1818,4221,2788,823,378,335,419,298,13808,24,15,55,172,198,534,620,243,101,107,81,135,2273,15,5,6,23,59,116,280,267,209,216,146,160,1500,2817,1147,1383,8514,19265,16702,9009,2034,884,801,984,2555,66104,38,7,11,103,282,198,152,68,19,19,35,12079,13011,3133,1458,2238,12123,24064,34665,44550,28171,18135,18197,13245,17386,217362,64,19,24,81,126,784,6901,10386,10167,15465,14531,4516,63070,11,24,22,166,264,1375,2679,1443,937,877,754,623,9168,40,19,42,166,271,2928,16907,13830,12726,11858,12901,4066,75747,4,3,6,39,48,472,2189,2129,2100,2438,1831,789,12065,75,29,111,570,1175,8350,17095,8491,3195,5373,4594,2747,51811,48,68
3RQLD,4890,1079,52676,43,65,83,630,975,3300,3367,1078,571,383,476,241,11211,72,47,48,367,583,4313,13759,6686,4069,2454,2088,655,35146,15,17,17,106,151,613,1527,997,725,631,424,267,5494,118,60,140,836,1512,6776,7925,3353,1039,1545,1014,767,25087,81,180,654,2685,2810,5785,3151,879,390,292,367,452,17720,33,24,56,226,291,733,734,350,103,128,98,212,2991,39,17,7,51,80,217,474,304,249,231,137,275,2074,2772,1562,1898,13125,29652,22396,11456,2562,1069,930,1176,4252,92856,68,24,31,205,421,364,255,102,37,32,44,17259,18835,3560,2118,3002,18640,37034,46755,55127,29389,17127,15180,10719,25446,264090,163,65,76,184,264,1357,7933,10129,9447,12098,8330,4676,54722,26,16,50,226,387,1846,3309,1401,859,720,531,829,10198,67,51,71,304,445,4426,20801,14140,11578,8594,7157,4448,72079,17,10,15,70,94,656,2388,2188,1765,1660,1019,804,10685,98,53,124,589,1130,8312,15863,7466,2491,3558,2185,2622,44506,46,54
