GCCSA_CODE_2021,C21_CF_1P1NW_Tot,C21_CF_1A1NW_Neg_ni_inc,C21_CF_1A1NW_1_149,C21_CF_1A1NW_150_399,C21_CF_1A1NW_400_649,C21_CF_1A1NW_650_799,C21_CF_1A1NW_800_1249,C21_CF_1A1NW_1250_1999,C21_CF_1A1NW_2000_2499,C21_CF_1A1NW_2500_2999,C21_CF_1A1NW_3000_3999,C21_CF_1A1NW_4000more,C21_CF_1A1NW_Ns,C21_CF_1A1NW_Tot,C21_CF_BA_Neg_ni_inc,C21_CF_BA_1_149,C21_CF_BA_150_399,C21_CF_BA_400_649,C21_CF_BA_650_799,C21_CF_BA_800_1249,C21_CF_BA_1250_1999,C21_CF_BA_2000_2499,C21_CF_BA_2500_2999,C21_CF_BA_3000_3999,C21_CF_BA_4000more,C21_CF_BA_Ns,C21_CF_BA_Tot,C21_CF_BNW_Neg_ni_inc,C21_CF_BNW_1_149,C21_CF_BNW_150_399,C21_CF_BNW_400_649,C21_CF_BNW_650_799,C21_CF_BNW_800_1249,C21_CF_BNW_1250_1999,C21_CF_BNW_2000_2499,C21_CF_BNW_2500_2999,C21_CF_BNW_3000_3999,C21_CF_BNW_4000more,C21_CF_BNW_Ns,C21_CF_BNW_Tot,C21_CF_LFns_Neg_ni_inc,C21_CF_LFns_1_149,C21_CF_LFns_150_399,C21_CF_LFns_400_649,C21_CF_LFns_650_799,C21_CF_LFns_800_1249,C21_CF_LFns_1250_1999,C21_CF_LFns_2000_2499,C21_CF_LFns_2500_2999,C21_CF_LFns_3000_3999,C21_CF_LFns_4000more,C21_CF_LFns_Ns,C21_CF_LFns_Tot,C21_C_f_c_Tot_Fi_Neg_ni_inc,C21_C_f_c_Tot_Fi_1_149,C21_C_f_c_Tot_Fi_150_399,C21_C_f_c_Tot_Fi_400_649,C21_CF_c_Tot_Fi_650_799,C21_CF_c_Tot_Fi_800_1249,C21_CF_c_Tot_Fi_1250_1999,C21_CF_c_Tot_Fi_2000_2499,C21_CF_c_Tot_Fi_2500_2999,C21_CF_c_Tot_Fi_3000_3999,C21_CF_c_Tot_Fi_4000more,C21_C_f_with_c_TotFI_Ns,C21_C_f_with_c_Tot_Tot,C21_1PF_F_Neg_ni_inc,C21_1PF_F_1_149,C21_1PF_F_150_399,C21_1PF_F_400_649,C21_1PF_F_650_799,C21_1PF_F_800_1249,C21_1PF_F_1250_1999,C21_1PF_F_2000_2499,C21_1PF_F_2500_2999,C21_1PF_F_3000_3999,C21_1PF_F_4000more,C21_1PF_F_Ns,C21_1PF_F_Tot,C21_1PF_P_Neg_ni_inc,C21_1PF_P_1_149,C21_1PF_P_150_399,C21_1PF_P_400_649,C21_1PF_P_650_799,C21_1PF_P_800_1249,C21_1PF_P_1250_1999,C21_1PF_P_2000_2499,C21_1PF_P_2500_2999,C21_1PF_P_3000_3999,C21_1PF_P_4000more,C21_1PF_P_Ns,C21_1PF_P_Tot,C21_1PF_A_Neg_ni_inc,C21_1PF_A_1_149,C21_1PF_A_150_399,C21_1PF_A_400_649,C21_1PF_A_650_799,C21_1PF_A_800_1249,C21_1PF_A_1250_1999,C21_1PF_A_2000_2499,C21_1PF_A_2500_2999,C21_1PF_A_3000_3999,C21_1PF_A_4000_more,C21_1PF_A_Ns,C21_1PF_A_Tot,C21_1PF_U_Neg_ni_inc,C21_1PF_U_1_149,C21_1PF_U_150_399,C21_1PF_U_400_649,C21_1PF_U_650_799,C21_1PF_U_800_1249,C21_1PF_U_1250_1999,C21_1PF_U_2000_2499,C21_1PF_U_2500_2999,C21_1PF_U_3000_3999,C21_1PF_U_4000_more,C21_1PF_U_Ns,C21_1PF_U_Tot,C21_1PF_N_lf_Fi_Neg_ni_inc,C21_1PF_N_lf_Fi_1_149,C21_1PF_N_lf_Fi_150_399,C21_1PF_N_lf_Fi_400_649,C21_1PF_N_lf_Fi_650_799,C21_1PF_N_lf_Fi_800_1249,C21_1PF_N_lf_Fi_1250_1999,C21_1PF_N_lf_Fi_2000_2499,C21_1PF_N_lf_Fi_2500_2999,C21_1PF_N_lf_Fi_3000_3999,C21_1PF_N_lf_Fi_4000_more,C21_1PF_N_lf_Fi_Ns,C21_1PF_N_the_lf_Tot,C21_1PF_LFns_Neg_ni_inc,C21_1PF_LFns_1_149,C21_1PF_LFns_150_399,C21_1PF_LFns_400_649,C21_1PF_LFns_Fi_650_799,C21_1PF_LFns_Fi_800_1249,C21_1PF_LFns_Fi_1250_1999,C21_1PF_LFns_Fi_2000_2499,C21_1PF_LFns_Fi_2500_2999,C21_1PF_LFns_Fi_3000_3999,C21_1PF_LFns_4000more,C21_1PF_LFns_Ns,C21_1PF_LFns_Tot,C21_1PF_TotFI_Neg_ni_inc,C21_1PF_TotFI_1_149,C21_1PF_TotFI_150_399,C21_1PF_TotFI_400_649,C21_1PF_TotFI_650_799,C21_1PF_TotFI_800_1249,C21_1PF_TotFI_1250_1999,C21_1PF_TotFI_2000_2499,C21_1PF_TotFI_2500_2999,C21_1PF_TotFI_3000_3999,C21_1PF_TotFI_4000more,C21_One_par_f_TotFI_Ns,C21_One_parent_f_Tot_Tot,C21_TotFI_Neg_ni_inc,C21_TotFI_1_149,C21_TotFI_150_399,C21_TotFI_400_649,C21_TotFI_650_799,C21_TotFI_800_1249,C21_TotFI_1250_1999,C21_TotFI_2000_2499,C21_TotFI_2500_2999,C21_TotFI_3000_3999,C21_TotFI_4000_more,C21_TotFI_Ns,C21_Tot_Tot
1GSYD,40369,105,36,188,620,799,3178,5822,2767,1654,1900,1733,1408,20202,55,8,24,75,110,727,2689,2132,1833,2212,2141,1249,13251,3294,552,1927,5179,5697,14833,20949,9646,5994,6580,5259,4774,84673,44,3,18,98,77,246,405,230,142,199,236,18320,20014,3891,752,2705,8172,9909,36725,93803,80076,69347,116465,203000,42921,667760,59,28,80,388,870,6268,15737,11701,4960,6647,7689,4229,58655,87,117,830,3005,3180,8295,9426,3843,1866,1839,1485,2099,36063,96,37,326,1084,1178,2558,2959,1440,724,646,468,1219,12736,446,106,673,1379,726,1058,1093,365,192,168,161,377,6739,4900,942,5090,13412,7996,19848,18228,6811,3866,2905,2324,5470,91803,53,10,42,76,56,145,139,32,11,19,32,1871,2487,5631,1234,7044,19344,14018,38173,47590,24190,11618,12225,12156,15262,208478,24478,6115,15052,46796,64294,130278,225035,162412,124242,187773,290703,79511,1356679
1RNSW,14154,26,12,34,104,151,648,1142,626,328,349,296,389,4098,17,3,7,22,21,130,604,528,447,599,519,465,3371,518,126,422,1206,1735,4935,6619,2531,1193,1163,784,1986,23213,24,0,9,25,30,113,230,110,79,79,75,11880,12645,900,241,785,2464,3749,16032,51291,43646,37436,52850,50165,27270,286830,49,30,104,517,1030,6457,11659,6203,2436,2396,1452,3098,35414,55,89,789,3740,4012,8876,6952,2040,770,570,394,1997,30287,50,24,176,683,648,1156,1198,451,188,165,94,678,5517,162,67,619,1394,640,806,490,123,57,45,44,299,4755,1332,451,2897,9621,5427,14144,9025,2233,985,603,546,4096,51367,35,5,40,83,67,179,113,26,16,19,21,1304,1913,1686,662,4628,16039,11831,31618,29439,11070,4450,3789,2557,11477,129253,8425,3709,8761,33926,58302,103979,151499,93372,66930,83888,74563,57868,745225
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,36212,117,34,129,328,401,1357,2190,1019,595,684,721,1016,8587,50,4,16,28,42,248,776,741,687,959,1101,1032,5681,2634,499,1562,3899,3770,9855,13581,6161,3475,3486,2742,3499,55170,52,8,31,75,69,267,445,216,137,172,198,17306,18987,3487,817,2745,7729,9324,37538,99983,83314,71408,109088,154314,41832,621573,124,42,145,592,1226,7910,17536,11231,4971,5831,5322,4807,59730,128,216,1414,4412,4467,10588,10645,3759,1631,1517,1013,2648,42434,95,49,257,794,640,1269,1445,702,310,312,196,1027,7103,483,171,925,1560,745,1169,1028,343,173,133,99,452,7291,4568,994,4565,11112,6550,17385,14957,5162,2685,1798,1353,5024,76158,49,8,53,92,49,168,106,34,24,17,18,1643,2248,5453,1486,7358,18551,13686,38488,45711,21237,9794,9590,8001,15599,194963,22298,6322,15164,44690,63057,134048,229534,161913,125506,175219,219262,78991,1276008
2RVIC,7711,16,6,20,65,81,338,669,324,135,148,134,260,2209,12,0,8,10,14,89,387,317,270,331,237,358,2036,337,83,221,658,920,2648,3210,1097,512,453,282,1080,11499,17,0,5,11,17,74,126,61,41,44,43,5776,6224,543,171,468,1497,2178,10088,32303,25995,21235,27567,23700,15001,160744,26,19,52,285,583,3303,6008,2969,1168,1081,699,1725,17922,26,58,480,2202,2481,5225,3972,1052,407,275,177,1204,17555,28,11,113,419,321,575,577,214,71,76,43,337,2791,84,33,288,762,319,444,240,50,30,8,17,135,2407,654,209,1477,5116,2813,6923,4210,1038,432,239,232,2067,25415,12,5,13,40,32,75,66,10,8,7,8,700,981,832,333,2422,8827,6550,16545,15071,5329,2117,1686,1176,6169,67072,4623,2079,4826,19430,32144,59702,87459,53702,37647,43901,35956,32419,413896
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,14310,33,7,44,132,192,714,1425,703,348,355,423,435,4803,15,6,7,18,21,145,610,558,439,656,661,474,3603,760,173,460,1305,1514,4040,5648,2390,1347,1347,894,1535,21400,17,5,3,14,15,99,174,73,62,57,86,11721,12320,1002,273,774,2556,3470,15236,47011,40814,35271,55323,71123,23439,296285,48,24,61,404,871,5927,11909,7013,2630,2890,2483,2867,37120,53,78,519,2319,2735,6241,5685,1906,772,645,421,1370,22756,33,22,170,691,721,1386,1381,548,228,188,132,620,6128,242,71,565,1471,681,830,610,179,88,38,47,267,5086,1666,389,2221,7124,4187,9972,7667,2317,1123,707,564,2566,40502,23,4,23,33,26,89,64,18,8,6,3,874,1160,2063,589,3560,12037,9220,24445,27312,11980,4849,4481,3652,8567,112757,7599,2616,6769,23994,35742,74933,124306,86651,64432,88888,101229,44906,662061
3RQLD,12916,33,9,38,106,159,612,1254,647,311,344,304,454,4282,18,3,13,18,20,139,594,483,439,569,461,647,3407,607,147,424,1294,1693,4329,5505,1895,973,791,637,1767,20053,19,4,9,29,22,106,187,103,86,66,69,18682,19398,966,294,832,2589,3655,15568,48334,39985,33637,45847,42187,33151,267037,57,22,113,533,1136,7014,11891,5607,2123,2014,1438,2930,34882,46,93,758,3468,3768,7949,6241,1795,679,509,288,1778,27377,49,31,155,661,599,1206,1195,420,170,158,103,698,5432,220,75,733,1653,773,946,593,155,46,44,46,359,5621,1441,372,2458,7966,4630,11088,7373,1979,852,456,421,3361,42404,30,9,33,60,44,107,72,13,11,14,14,1143,1549,1846,600,4247,14337,10939,28309,27364,9967,3874,3197,2316,10272,117272,8410,3463,8287,30865,49657,91125,137131,86588,61148,74868,65409,65410,682363
