GCCSA_CODE_2021,C11_F_CL_Tot_15_19,C11_F_CL_Tot_20_24,C11_F_CL_Tot_25_34,C11_F_CL_Tot_35_44,C11_F_CL_Tot_45_54,C11_F_CL_Tot_55_64,C11_F_CL_Tot_65_74,C11_F_CL_Tot_75_84,C11_F_CL_Tot_85over,C11_F_CL_Tot_Tot,C11_F_LE_ID_15_19,C11_F_LE_ID_20_24,C11_F_LE_ID_25_34,C11_F_LE_ID_35_44,C11_F_LE_ID_45_54,C11_F_LE_ID_55_64,C11_F_LE_ID_65_74,C11_F_LE_ID_75_84,C11_F_LE_ID_85over,C11_F_LE_ID_Tot,C11_F_LE_NS_15_19,C11_F_LE_NS_20_24,C11_F_LE_NS_25_34,C11_F_LE_NS_35_44,C11_F_LE_NS_45_54,C11_F_LE_NS_55_64,C11_F_LE_NS_65_74,C11_F_LE_NS_75_84,C11_F_LE_NS_85over,C11_F_LE_NS_Tot,C11_F_Tot_15_19_yrs,C11_F_Tot_20_24_yrs,C11_F_Tot_25_34_yrs,C11_F_Tot_35_44_yrs,C11_F_Tot_45_54_yrs,C11_F_Tot_55_64_yrs,C11_F_Tot_65_74_yrs,C11_F_Tot_75_84_yrs,C11_F_Tot_85over,C11_F_Tot_Tot,C16_F_Post_Deg_15_19_yrs,C16_F_Post_Deg_20_24_yrs,C16_F_Post_Deg_25_34_yrs,C16_F_Post_Deg_35_44_yrs,C16_F_Post_Deg_45_54_yrs,C16_F_Post_Deg_55_64_yrs,C16_F_Post_Deg_65_74_yrs,C16_F_Post_Deg_75_84_yrs,C16_F_Post_Deg_85over,C16_F_Post_Deg_Tot,C16_F_GrDip_GrCe_15_19,C16_F_GrDip_GrCe_20_24,C16_F_GrDip_GrCe_25_34,C16_F_GrDip_GrCe_35_44,C16_F_GrDip_GrCe_45_54,C16_F_GrDip_GrCe_55_64,C16_F_GrDip_GrCe_65_74,C16_F_GrDip_GrCe_75_84,C16_F_GrDip_GrCe_85over,C16_F_GrDip_GrCe_Tot,C16_F_BD_15_19,C16_F_BD_20_24,C16_F_BD_25_34,C16_F_BD_35_44,C16_F_BD_45_54,C16_F_BD_55_64,C16_F_BD_65_74,C16_F_BD_75_84,C16_F_BD_85over,C16_F_BD_Tot,C16_F_AdD_DL_15_19,C16_F_AdD_DL_20_24,C16_F_AdD_DL_25_34,C16_F_AdD_DL_35_44,C16_F_AdD_DL_45_54,C16_F_AdD_DL_55_64,C16_F_AdD_DL_65_74,C16_F_AdD_DL_75_84,C16_F_AdD_DL_85over,C16_F_AdD_DL_Tot,C16_F_CL_C_III_IV_15_19,C16_F_CL_C_III_IV_20_24,C16_F_CL_C_III_IV_25_34,C16_F_CL_C_III_IV_35_44,C16_F_CL_C_III_IV_45_54,C16_F_CL_C_III_IV_55_64,C16_F_CL_C_III_IV_65_74,C16_F_CL_C_III_IV_75_84,C16_F_CL_C_III_IV_85over,C16_F_CL_C_III_IV_Tot,C16_F_CL_C_I_II_15_19,C16_F_CL_C_I_II_20_24,C16_F_CL_C_I_II_25_34,C16_F_CL_C_I_II_35_44,C16_F_CL_C_I_II_45_54,C16_F_CL_C_I_II_55_64,C16_F_CL_C_I_II_65_74,C16_F_CL_C_I_II_75_84,C16_F_CL_C_I_II_85over,C16_F_CL_C_I_II_Tot,C16_F_CL_CL_nfd_15_19,C16_F_CL_CL_nfd_20_24,C16_F_CL_CL_nfd_25_34,C16_F_CL_CL_nfd_35_44,C16_F_CL_CL_nfd_45_54,C16_F_CL_CL_nfd_55_64,C16_F_CL_CL_nfd_65_74,C16_F_CL_CL_nfd_75_84,C16_F_CL_CL_nfd_85over,C16_F_CL_CL_nfd_Tot,C16_F_CL_Tot_15_19,C16_F_CL_Tot_20_24,C16_F_CL_Tot_25_34,C16_F_CL_Tot_35_44,C16_F_CL_Tot_45_54,C16_F_CL_Tot_55_64,C16_F_CL_Tot_65_74,C16_F_CL_Tot_75_84,C16_F_CL_Tot_85over,C16_F_CL_Tot_Tot,C16_F_LE_ID_15_19,C16_F_LE_ID_20_24,C16_F_LE_ID_25_34,C16_F_LE_ID_35_44,C16_F_LE_ID_45_54,C16_F_LE_ID_55_64,C16_F_LE_ID_65_74,C16_F_LE_ID_75_84,C16_F_LE_ID_85over,C16_F_LE_ID_Tot,C16_F_LE_NS_15_19,C16_F_LE_NS_20_24,C16_F_LE_NS_25_34,C16_F_LE_NS_35_44,C16_F_LE_NS_45_54,C16_F_LE_NS_55_64,C16_F_LE_NS_65_74,C16_F_LE_NS_75_84,C16_F_LE_NS_85over,C16_F_LE_NS_Tot,C16_F_Tot_15_19_yrs,C16_F_Tot_20_24_yrs,C16_F_Tot_25_34_yrs,C16_F_Tot_35_44_yrs,C16_F_Tot_45_54_yrs,C16_F_Tot_55_64_yrs,C16_F_Tot_65_74_yrs,C16_F_Tot_75_84_yrs,C16_F_Tot_85over,C16_F_Tot_Tot,C21_F_Post_Deg_15_19_yrs,C21_F_Post_Deg_20_24_yrs,C21_F_Post_Deg_25_34_yrs,C21_F_Post_Deg_35_44_yrs,C21_F_Post_Deg_45_54_yrs,C21_F_Post_Deg_55_64_yrs,C21_F_Post_Deg_65_74_yrs,C21_F_Post_Deg_75_84_yrs,C21_F_Post_Deg_85over,C21_F_Post_Deg_Tot,C21_F_GrDip_GrCe_15_19,C21_F_GrDip_GrCe_20_24,C21_F_GrDip_GrCe_25_34,C21_F_GrDip_GrCe_35_44,C21_F_GrDip_GrCe_45_54,C21_F_GrDip_GrCe_55_64,C21_F_GrDip_GrCe_65_74,C21_F_GrDip_GrCe_75_84,C21_F_GrDip_GrCe_85over,C21_F_GrDip_GrCe_Tot,C21_F_BD_15_19,C21_F_BD_20_24,C21_F_BD_25_34,C21_F_BD_35_44,C21_F_BD_45_54,C21_F_BD_55_64,C21_F_BD_65_74,C21_F_BD_75_84,C21_F_BD_85over,C21_F_BD_Tot,C21_F_AdD_DL_15_19,C21_F_AdD_DL_20_24,C21_F_AdD_DL_25_34,C21_F_AdD_DL_35_44,C21_F_AdD_DL_45_54,C21_F_AdD_DL_55_64,C21_F_AdD_DL_65_74,C21_F_AdD_DL_75_84,C21_F_AdD_DL_85over,C21_F_AdD_DL_Tot,C21_F_CL_C_III_IV_15_19,C21_F_CL_C_III_IV_20_24,C21_F_CL_C_III_IV_25_34,C21_F_CL_C_III_IV_35_44,C21_F_CL_C_III_IV_45_54,C21_F_CL_C_III_IV_55_64,C21_F_CL_C_III_IV_65_74,C21_F_CL_C_III_IV_75_84,C21_F_CL_C_III_IV_85over,C21_F_CL_C_III_IV_Tot
1GSYD,6082,21029,43888,43521,38662,24216,10105,4689,2037,194223,471,1960,5226,6871,9078,8408,5455,3222,1406,42098,12259,11673,24796,22757,22081,21119,19420,19730,14631,168452,20464,81383,261170,233803,184559,127637,65101,39608,21702,1035433,34,3485,50323,40496,24012,14718,6587,1532,356,141536,78,1025,9035,10428,9169,8159,4017,976,218,43099,310,37726,132138,100454,65052,41900,20680,7428,2335,408011,1677,14334,43233,46289,43618,31779,18299,7543,2750,209510,3917,15663,36222,32241,30105,19537,8370,2876,1361,150290,1370,2199,3825,4829,4820,3796,1884,523,213,23472,730,2307,5189,8426,11328,10699,7704,2982,1548,50927,6022,20174,45244,45487,46252,34026,17964,6386,3128,224683,273,1093,3478,3584,4234,4647,3749,1881,887,23825,9568,12437,30250,23505,22160,21645,20949,17816,14873,173210,17957,90265,313685,270241,214499,156881,92234,43563,24552,1223878,5,3018,62427,65005,35342,20619,11051,3312,557,201329,60,1618,11254,13395,11913,9547,7044,2108,390,57329,188,39430,153248,127484,84505,53192,31463,11717,3471,504699,1312,15150,42897,48153,49602,38141,24570,10914,3472,234209,4152,15902,36904,35896,33899,26872,12454,4257,1447,171786
1RNSW,5462,17170,33133,34783,35098,21783,8198,3328,1085,160021,211,640,1226,2297,4365,4462,2932,1479,577,18198,7944,4548,8086,11045,13904,15888,17976,18403,10625,108415,14101,33682,88445,102107,103950,83552,48264,30185,14103,518387,6,301,6040,7022,6225,5595,2770,608,102,28670,25,368,3376,4421,4662,5710,2562,589,105,21822,34,7356,32392,32328,23768,21521,12261,4335,1226,135225,646,4987,16607,19991,23096,22587,13430,5310,1551,108207,3697,14565,30256,27580,28586,20681,7949,2139,944,136405,1445,2531,3558,3593,3881,3502,1909,438,125,20984,605,1640,3134,4574,7157,8116,6131,2280,797,34439,5751,18732,36945,35753,39629,32304,15991,4862,1870,191828,104,341,856,945,1479,2315,2357,1148,513,10054,8132,5937,11516,11990,15745,19228,21433,18897,12764,125635,14702,38017,107721,112454,114607,109256,70807,35746,18127,621441,0,446,10089,11410,9164,7602,5226,1384,182,45509,32,652,4770,6090,6134,6240,5165,1319,199,30609,28,8605,41293,39673,31470,24313,18713,6987,1701,172791,478,4682,18216,21549,25039,25579,18711,7763,2113,124131,3895,15548,36177,32859,33063,29630,13852,3552,993,169565
19499,38,92,145,92,107,71,31,4,0,581,0,8,20,15,16,20,5,0,0,86,73,84,200,162,144,113,85,50,36,936,111,331,872,504,418,380,164,61,44,2883,0,8,70,39,27,18,4,6,0,175,0,5,17,18,14,12,7,0,0,71,0,107,287,102,75,57,43,7,0,677,3,37,73,52,63,81,48,10,0,373,9,42,80,50,74,68,21,3,0,353,0,13,8,9,9,14,5,0,0,66,6,13,12,9,13,23,15,0,0,91,9,69,101,74,96,104,47,6,0,507,0,5,10,8,8,6,5,0,0,35,53,140,290,192,192,168,114,42,13,1197,71,370,847,481,469,445,264,61,19,3037,0,0,62,40,31,28,14,0,0,181,0,0,20,14,13,20,11,0,0,76,0,25,207,99,86,70,45,11,0,540,0,27,64,54,64,81,40,8,0,339,7,55,107,77,86,91,34,9,0,463
19799,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,6,0,0,0,0,0,10,9,9,0,25,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,7,0,0,0,21,0,0,0,0,5,5,5,0,0,17,0,0,3,0,6,4,5,0,0,17,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,9,0,0,3,3,3,10,6,6,0,31,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,8,10,8,0,45,4,4,17,7,13,28,29,12,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,6315,19713,39660,38022,33522,20366,8042,3774,1443,170858,243,1104,2843,3356,3652,3445,2441,1465,638,19195,11452,10408,20381,19829,19964,20208,20282,20536,14362,157421,19106,76648,238521,206526,157057,109034,57511,36065,19506,919969,18,3098,43822,32912,18882,11532,5120,1168,292,116849,84,1443,13855,15389,13765,10529,4517,1127,233,60942,220,35839,122235,92029,56985,36092,18269,6750,2202,370619,1405,15300,44319,43072,39047,27376,15484,6461,2324,194793,3889,16011,36713,31304,31012,19690,8496,2831,1189,151130,1151,2165,3476,3711,3599,2693,1431,349,120,18700,593,2109,5106,6583,7855,6521,4567,1880,989,36199,5630,20284,45294,41602,42468,28904,14496,5058,2301,206028,258,922,2871,2555,2499,2484,2351,1257,635,15836,9491,11587,27056,21076,20750,20451,20966,17712,12707,161793,17114,88479,299445,248641,194396,137365,81198,39521,20695,1126857,0,4081,63221,56988,28912,16605,8800,2592,486,181691,67,1878,16173,19341,17734,13056,8026,2409,375,79053,111,37859,140362,118494,77118,45318,28003,10694,2994,460950,799,14018,44314,48893,45872,34229,21551,9318,2991,222002,3369,14661,38213,35681,34565,27038,12557,4027,1369,171472
2RVIC,2990,9200,17618,16976,16544,10706,3670,1356,432,79500,78,282,625,931,1379,1580,1173,673,254,6971,4247,2216,4056,5457,6913,8391,9514,10072,6017,56891,7515,18374,49323,53108,51938,43540,24781,15843,7711,272132,3,355,2948,3426,2854,2666,1340,247,44,13869,19,284,2875,3788,3841,3727,1730,378,57,16684,34,4326,18247,17592,12644,11697,6825,2388,677,74420,268,3131,9854,11396,12722,11785,7549,2864,1017,60584,1834,7733,16207,14134,14762,10992,4701,1164,440,71970,675,1172,1901,1747,1696,1495,744,147,60,9640,288,769,1723,2189,2488,2576,1807,618,264,12725,2799,9669,19836,18069,18945,15064,7259,1928,766,94339,39,170,458,436,571,723,847,444,239,3931,4711,3254,6335,6796,8836,11057,12399,10198,6382,69982,7865,21192,60547,61508,60411,56716,37949,18447,9181,333811,0,437,6260,5990,4691,3961,2641,656,74,24708,7,470,3976,5023,5012,4544,3417,895,120,23466,9,4834,23330,22639,17238,13514,10870,3994,913,97339,143,3050,11537,13267,14505,14205,10765,4459,1134,73056,1608,7342,19115,17709,17264,15752,7862,1910,440,88994
29499,19,63,99,66,65,48,10,0,0,362,0,0,13,4,5,10,5,0,0,35,68,95,142,104,90,51,27,14,7,599,98,274,683,359,241,186,56,23,11,1937,0,7,53,32,3,3,8,0,0,105,0,0,28,8,13,9,3,0,0,59,0,88,203,66,36,36,21,3,0,453,3,37,57,39,36,28,16,0,0,216,3,47,72,45,38,30,8,0,0,241,4,7,11,6,4,6,0,0,0,34,0,4,19,11,4,11,0,0,0,56,10,60,101,63,49,39,11,3,0,329,0,3,5,4,0,7,3,0,0,19,41,99,200,148,91,86,45,13,17,743,57,294,641,355,226,210,95,21,17,1922,0,4,45,46,21,11,0,0,0,129,0,3,15,18,13,15,7,0,0,69,0,22,167,75,53,36,11,4,0,365,4,19,54,32,28,46,19,5,0,208,11,27,100,72,50,50,24,5,0,336
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,6215,13468,25599,22687,19757,12268,3792,1460,515,105754,189,565,1319,1643,1993,1851,1227,685,259,9724,5902,4946,9388,9435,9239,8922,8491,8675,6348,71339,13330,39415,110040,99918,78339,53353,25683,15151,8356,443583,3,770,13528,12668,8810,5478,2320,443,106,44124,36,692,5339,6404,5762,4115,1836,492,80,24757,102,15346,50359,42041,26924,16932,8829,2841,859,164231,1434,7753,20128,21077,20235,14012,7555,2863,846,95907,5274,12178,24420,20562,19070,12908,4916,1135,421,100881,1730,2151,2572,2043,1849,1421,790,152,58,12777,602,1342,2904,3761,4013,3746,2372,789,345,19869,7605,15672,29898,26369,24925,18078,8079,2084,826,133529,154,406,1101,1032,1255,1263,1103,570,250,7132,4973,6020,12503,10244,10432,9871,9731,8218,6694,78687,14303,46665,132855,119834,98347,69742,39459,17513,9653,548370,0,1036,16941,20886,13237,7940,4098,1112,156,65404,48,894,7559,8503,7990,5420,3393,925,165,34900,79,17625,58997,54144,37344,21504,13282,5105,1238,209318,1858,7669,22207,24411,24308,18492,10994,4451,1187,115575,6135,14040,28460,25816,24022,18477,8428,2064,480,127919
3RQLD,7737,15564,29999,28223,25328,15788,5507,1643,473,130264,235,551,1461,1868,2542,2637,1811,963,307,12374,7316,5542,10791,12033,12983,12704,13159,12196,7585,94308,16005,33994,90725,93879,83865,60589,33777,19097,9454,441389,3,382,5253,6110,5167,3922,1725,346,72,22980,27,517,3411,4284,4497,3740,1617,421,56,18574,93,8812,33341,31008,22367,16512,9041,3123,826,125120,1127,5242,17585,20977,22182,17409,9560,3447,927,98453,5597,13154,27811,25329,24537,17345,6918,1533,493,122727,2155,2513,3271,2677,2368,1999,1008,218,61,16268,706,1437,3171,4270,4785,4416,3142,1101,335,23360,8456,17103,34250,32278,31693,23765,11061,2859,887,162358,144,319,861,955,1236,1359,1439,770,263,7353,7520,6884,13984,13561,15501,15980,15777,12233,7954,109390,17370,39262,108673,109179,102652,82681,50229,23196,10990,544224,0,476,8389,9718,7841,5864,3400,856,92,36640,39,685,4803,5938,6112,4947,3222,862,120,26740,50,10312,40426,39249,30427,20958,13793,5211,1101,161536,1368,5691,18634,23046,25758,22481,13853,5430,1251,117511,6206,14465,31974,31099,30336,25830,12045,3010,572,155545
