GCCSA_CODE_2021,C21_F_Health_15_19,C21_F_Health_20_24,C21_F_Health_25_34,C21_F_Health_35_44,C21_F_Health_45_54,C21_F_Health_55_64,C21_F_Health_65_74,C21_F_Health_75_84,C21_F_Health_85over,C21_F_Health_Tot,C21_F_Educ_15_19,C21_F_Educ_20_24,C21_F_Educ_25_34,C21_F_Educ_35_44,C21_F_Educ_45_54,C21_F_Educ_55_64,C21_F_Educ_65_74,C21_F_Educ_75_84,C21_F_Educ_85over,C21_F_Educ_Tot,C21_F_MngtCom_15_19,C21_F_MngtCom_20_24,C21_F_MngtCom_25_34,C21_F_MngtCom_35_44,C21_F_MngtCom_45_54,C21_F_MngtCom_55_64,C21_F_MngtCom_65_74,C21_F_MngtCom_75_84,C21_F_MngtCom_85over,C21_F_MngtCom_Tot,C21_F_Soc_cult_15_19,C21_F_Soc_cult_20_24,C21_F_Soc_cult_25_34,C21_F_Soc_cult_35_44,C21_F_Soc_cult_45_54,C21_F_Soc_cult_55_64,C21_F_Soc_cult_65_74,C21_F_Soc_cult_75_84,C21_F_Soc_cult_85over,C21_F_Soc_cult_Tot,C21_F_Creative_art_15_19,C21_F_Creative_art_20_24,C21_F_Creative_art_25_34,C21_F_Creative_art_35_44,C21_F_Creative_art_45_54,C21_F_Creative_art_55_64,C21_F_Creative_art_65_74,C21_F_Creative_art_75_84,C21_F_Creative_art_85over,C21_F_Creative_art_Tot,C21_F_FoodHos_PS_15_19,C21_F_FoodHos_PS_20_24,C21_F_FoodHos_PS_25_34,C21_F_FoodHos_PS_35_44,C21_F_FoodHos_PS_45_54,C21_F_FoodHos_PS_55_64,C21_F_FoodHos_PS_65_74,C21_F_FoodHos_PS_75_84,C21_F_FoodHos_PS_85over,C21_F_FoodHos_PS_Tot,C21_F_MixFld_pr_15_19,C21_F_MixFld_pr_20_24,C21_F_MixFld_pr_25_34,C21_F_MixFld_pr_35_44,C21_F_MixFld_pr_45_54,C21_F_MixFld_pr_55_64,C21_F_MixFld_pr_65_74,C21_F_MixFld_pr_75_84,C21_F_MixFld_pr_85over,C21_F_MixFld_pr_Tot,C21_F_FldStu_ID_15_19,C21_F_FldStu_ID_20_24,C21_F_FldStu_ID_25_34,C21_F_FldStu_ID_35_44,C21_F_FldStu_ID_45_54,C21_F_FldStu_ID_55_64,C21_F_FldStu_ID_65_74,C21_F_FldStu_ID_75_84,C21_F_FldStu_ID_85over,C21_F_FldStu_ID_Tot,C21_F_FldStu_NS_15_19,C21_F_FldStu_NS_20_24,C21_F_FldStu_NS_25_34,C21_F_FldStu_NS_35_44,C21_F_FldStu_NS_45_54,C21_F_FldStu_NS_55_64,C21_F_FldStu_NS_65_74,C21_F_FldStu_NS_75_84,C21_F_FldStu_NS_85over,C21_F_FldStu_NS_Tot,C21_F_Tot_15_19,C21_F_Tot_20_24,C21_F_Tot_25_34,C21_F_Tot_35_44,C21_F_Tot_45_54,C21_F_Tot_55_64,C21_F_Tot_65_74,C21_F_Tot_75_84,C21_F_Tot_85over,C21_F_Tot_Tot,C11_P_NatPhy_sci_15_19,C11_P_NatPhy_sci_20_24,C11_P_NatPhy_sci_25_34,C11_P_NatPhy_sci_35_44,C11_P_NatPhy_sci_45_54,C11_P_NatPhy_sci_55_64,C11_P_NatPhy_sci_65_74,C11_P_NatPhy_sci_75_84,C11_P_NatPhy_sci_85over,C11_P_NatPhy_sci_Tot,C11_P_InfTec_15_19,C11_P_InfTec_20_24,C11_P_InfTec_25_34,C11_P_InfTec_35_44,C11_P_InfTec_45_54,C11_P_InfTec_55_64,C11_P_InfTec_65_74,C11_P_InfTec_75_84,C11_P_InfTec_85over,C11_P_InfTec_Tot,C11_P_EngRT_15_19,C11_P_EngRT_20_24,C11_P_EngRT_25_34,C11_P_EngRT_35_44,C11_P_EngRT_45_54,C11_P_EngRT_55_64,C11_P_EngRT_65_74,C11_P_EngRT_75_84,C11_P_EngRT_85over,C11_P_EngRT_Tot,C11_P_ArchBuild_15_19,C11_P_ArchBuild_20_24,C11_P_ArchBuild_25_34,C11_P_ArchBuild_35_44,C11_P_ArchBuild_45_54,C11_P_ArchBuild_55_64,C11_P_ArchBuild_65_74,C11_P_ArchBuild_75_84,C11_P_ArchBuild_85over,C11_P_ArchBuild_Tot,C11_P_AgEnv_RS_15_19,C11_P_AgEnv_RS_20_24,C11_P_AgEnv_RS_25_34,C11_P_AgEnv_RS_35_44,C11_P_AgEnv_RS_45_54,C11_P_AgEnv_RS_55_64,C11_P_AgEnv_RS_65_74,C11_P_AgEnv_RS_75_84,C11_P_AgEnv_RS_85over,C11_P_AgEnv_RS_Tot,C11_P_Health_15_19,C11_P_Health_20_24,C11_P_Health_25_34,C11_P_Health_35_44,C11_P_Health_45_54,C11_P_Health_55_64,C11_P_Health_65_74,C11_P_Health_75_84,C11_P_Health_85over,C11_P_Health_Tot,C11_P_Educ_15_19,C11_P_Educ_20_24,C11_P_Educ_25_34,C11_P_Educ_35_44,C11_P_Educ_45_54,C11_P_Educ_55_64,C11_P_Educ_65_74,C11_P_Educ_75_84,C11_P_Educ_85over,C11_P_Educ_Tot,C11_P_MngtCom_15_19,C11_P_MngtCom_20_24,C11_P_MngtCom_25_34,C11_P_MngtCom_35_44,C11_P_MngtCom_45_54,C11_P_MngtCom_55_64,C11_P_MngtCom_65_74,C11_P_MngtCom_75_84,C11_P_MngtCom_85over,C11_P_MngtCom_Tot,C11_P_Soc_cult_15_19,C11_P_Soc_cult_20_24,C11_P_Soc_cult_25_34,C11_P_Soc_cult_35_44,C11_P_Soc_cult_45_54,C11_P_Soc_cult_55_64,C11_P_Soc_cult_65_74,C11_P_Soc_cult_75_84,C11_P_Soc_cult_85over,C11_P_Soc_cult_Tot,C11_P_Creative_art_15_19,C11_P_Creative_art_20_24,C11_P_Creative_art_25_34,C11_P_Creative_art_35_44,C11_P_Creative_art_45_54,C11_P_Creative_art_55_64,C11_P_Creative_art_65_74,C11_P_Creative_art_75_84,C11_P_Creative_art_85over,C11_P_Creative_art_Tot
1GSYD,1071,12381,47500,36570,29980,26201,17698,8097,2876,182381,426,6375,30970,28310,26466,23179,20604,8969,2539,147829,1680,19677,94428,103094,77639,51535,28470,10539,3228,390293,1286,14715,53930,52103,43572,31712,17998,6068,1379,222756,898,8487,26281,19758,12911,7497,3887,1661,587,81966,1722,6360,17458,15899,12793,7705,4590,1895,483,68916,120,314,365,245,270,363,334,265,282,2556,171,1275,4652,5472,4689,3065,2027,865,369,22586,6906,10313,29507,25083,18609,15819,14893,14542,13899,149569,14816,90646,345908,327892,252997,186047,120416,57204,27135,1423057,124,4631,15461,15809,13496,9254,4745,1741,513,65774,683,5603,35603,24042,12706,4607,846,121,18,84225,1269,12854,48649,58711,63358,48020,29947,15640,4957,283399,916,7522,22708,23993,19299,13773,8259,4124,1172,101764,350,1919,6299,5970,4868,2768,1335,622,180,24303,748,9383,36082,36426,34697,24875,12800,6643,2245,163889,206,5173,25409,28215,29408,29098,13490,5816,1680,138490,3988,38573,137138,120505,87764,56447,24290,9968,3862,482529,2122,18212,59721,55312,43102,30839,12702,4781,1315,228101,1034,11702,31148,21028,12818,7114,3150,1515,529,90045
1RNSW,852,6271,24201,21136,20675,23711,17542,7331,2215,123940,352,3379,15438,17327,16680,17078,16260,6468,1655,94645,1330,6894,26475,30212,31090,28191,18538,6816,1802,151347,1208,6975,21433,22531,22713,21100,12385,3493,611,112440,348,1919,6016,5765,4524,3630,2516,1103,319,26149,1424,4707,11798,9900,8595,6058,3951,1497,356,48279,92,177,177,85,111,122,95,86,52,1008,93,355,1170,1456,1650,1363,916,406,138,7549,6355,5735,12900,12725,12772,13693,14676,14276,10154,103296,12607,39309,129838,131062,128243,123294,92191,43572,18006,718120,42,1064,3422,4317,4059,4039,2176,767,213,20099,452,1702,4408,3644,3110,1973,609,122,11,16039,1490,10374,26958,33528,39963,35481,24205,12113,3414,187519,809,4692,11234,13153,14632,12104,7667,3858,906,69044,689,2382,7029,8647,7895,5614,2996,1227,257,36734,684,4688,16161,21087,26281,21001,10627,5018,1530,107087,113,2426,12596,16572,19777,22320,10587,4223,1017,89624,2556,11863,31361,36250,34633,26989,13698,5377,1747,164473,1392,7036,18820,22129,21229,16513,6811,2289,517,96728,438,2479,5879,5487,4707,3712,2019,844,236,25813
19499,4,13,69,59,54,62,34,14,0,298,0,5,35,19,35,31,26,9,0,157,5,27,102,84,86,92,40,13,0,455,0,26,97,52,61,74,38,6,0,352,4,14,64,26,15,16,8,0,0,158,5,21,50,26,26,23,19,0,0,162,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,3,3,0,0,21,94,139,350,305,213,159,77,26,10,1373,115,259,843,611,522,498,255,66,20,3187,0,22,59,33,14,12,7,5,0,144,0,19,67,21,15,14,0,0,0,140,0,63,199,118,143,145,107,15,0,801,5,21,83,76,55,46,44,6,0,334,0,17,32,23,19,13,7,0,0,122,5,29,123,63,85,82,28,5,3,426,5,16,77,34,50,67,21,7,0,274,15,113,277,181,120,110,42,5,0,866,12,73,190,103,83,78,31,3,0,569,0,50,109,54,39,15,12,0,0,281
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,22,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2GMEL,778,13454,55317,41317,31460,24887,16816,7860,2939,194829,365,5808,31458,29714,27461,24613,20809,9166,2215,151608,852,14790,75254,83315,60637,36663,18168,6326,2226,298219,1250,13555,53359,51464,43973,31853,17958,5710,1220,220336,803,8125,24888,17786,10498,5820,3078,1368,475,72828,1442,6654,20118,17379,12646,7915,4824,2051,552,73583,113,320,300,218,184,181,226,105,52,1696,112,1678,5498,6531,5320,3276,2071,837,300,25621,6265,9117,25977,21429,16533,13660,13394,12794,10619,129783,12523,86057,337434,311927,234528,164834,105132,49416,21908,1323761,124,5165,16848,15579,11987,8173,3829,1440,510,63652,481,5017,32496,21128,10993,4271,730,94,14,75226,1460,13641,49773,56480,56035,42856,26873,13992,4224,265337,1550,9731,23618,21919,16606,11480,7140,3510,879,96426,311,2048,6946,6153,4514,2320,1068,474,123,23955,480,10602,38128,36143,32419,23043,11614,6018,1933,160369,159,3916,23200,26013,28981,28385,14219,5217,1491,131572,3539,32935,109791,91969,62427,38014,16378,7161,2772,364975,2166,16579,53930,49818,39094,28050,11039,3782,974,205434,1082,11255,28522,17827,9990,5800,2649,1215,420,78760
2RVIC,426,3975,15776,13177,12218,13870,10547,4362,1347,75693,162,1932,9329,9921,9386,9417,10148,4422,923,55641,320,2556,11618,15130,13625,10770,6095,1939,536,62588,557,3648,12795,13182,14009,13205,8147,1975,285,67817,179,1048,3246,3215,2364,1866,1280,451,174,13825,616,2377,7325,5898,4667,3384,2317,960,202,27743,20,78,117,62,58,56,55,27,11,484,25,205,749,1077,1104,880,622,222,100,4968,3474,2902,6902,7082,7202,7816,8887,8171,5715,58155,6111,20653,74197,75226,70334,65705,50499,23410,9591,395733,15,651,2061,2433,2009,1870,891,292,91,10317,191,833,2355,1759,1395,841,202,19,8,7589,843,4945,12881,17092,18955,16857,10938,5216,1359,89094,677,3692,7228,7367,7203,5495,3495,1686,399,37234,391,1575,5012,5683,5081,3105,1515,621,157,23140,263,3010,9826,11912,14842,12012,5923,2822,864,61473,69,1355,7118,8467,10418,13153,7200,2408,639,50817,1118,5301,15883,16192,13794,10148,4365,1756,626,69186,863,4030,9938,11900,11929,10034,3613,1022,209,53533,273,1423,3253,2893,2212,1818,933,368,133,13295
29499,0,16,70,35,37,41,21,0,0,211,0,5,22,27,19,27,8,4,0,115,0,18,78,55,43,35,19,0,0,255,5,22,86,48,38,50,11,5,0,264,0,5,30,18,7,11,6,0,0,77,3,8,38,33,12,10,5,0,0,116,0,0,0,6,0,0,0,0,0,3,5,4,12,4,5,4,4,0,0,32,85,95,311,356,188,118,67,13,11,1242,102,177,705,618,379,303,140,29,11,2459,0,13,52,25,18,3,5,0,0,118,0,10,54,25,13,4,0,0,0,101,7,37,135,113,75,58,40,9,6,488,4,30,56,59,38,22,19,5,0,224,4,10,30,20,7,15,4,0,0,83,0,18,86,52,38,44,9,3,0,260,0,7,43,30,27,35,9,0,0,152,14,90,208,111,63,50,22,8,0,561,4,46,163,83,54,36,3,3,0,399,4,39,122,37,17,15,0,3,0,239
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,1659,7820,26452,22410,18826,15632,9730,4431,1345,108302,346,2743,12842,16176,16469,13028,10287,4183,944,77018,2955,10029,36526,41290,32876,20795,10159,3063,787,158478,2228,8813,25753,26190,22221,15903,9024,2628,436,113197,902,4204,9235,7112,4758,2592,1339,602,226,30961,2248,5363,11356,8774,6850,4104,2469,927,196,42287,283,232,220,134,99,92,109,70,42,1274,182,560,1617,2048,1741,1145,718,311,122,8446,4034,5365,12849,10749,8465,6980,6840,6396,5274,66962,15665,50042,152727,150811,122979,86817,54034,23771,9766,666614,133,2612,7351,6300,4692,3392,1536,555,119,26679,1171,2354,10391,7925,4279,1712,317,23,15,28188,1221,8524,27749,30708,30778,24622,14444,6615,1751,146415,780,4769,12206,11758,10073,8095,4846,2058,524,55111,347,964,3765,3641,2685,1561,800,276,70,14115,445,5345,19167,20016,18927,12745,6355,2959,928,86881,141,2169,12103,15037,14891,13419,6380,2169,675,66984,3502,16378,47850,43298,31858,19567,7390,2715,901,173465,2052,8965,26735,23701,18122,13190,4924,1548,331,99566,1079,5072,10432,6932,3958,2389,1139,570,165,31725
3RQLD,1180,6769,23602,20574,19494,19102,12509,5290,1487,110007,383,2941,12357,17092,17593,15027,11698,4648,980,82720,3300,7750,26719,30795,28063,21737,11859,3789,819,134824,2151,6695,18925,20897,20937,17887,9798,2600,367,100255,545,1950,5352,4888,3612,2484,1568,760,200,21362,2510,5633,12394,10545,9310,6243,3947,1478,265,52323,245,155,148,113,85,113,88,63,23,1035,212,379,1156,1399,1448,1148,752,336,109,6937,6210,6844,15793,14145,13858,12922,11813,10613,6974,99173,17627,42288,126237,130147,122502,102682,67316,30889,11553,651237,61,1235,3629,3627,3105,2530,1394,431,128,16136,774,1354,3830,3115,2122,1187,321,54,3,12768,1926,10424,29023,33000,35115,28985,18549,8059,1951,167036,873,4939,12185,14266,14068,11692,6861,2836,594,68319,763,1812,5744,5961,4767,2766,1419,539,116,23881,539,4533,15245,18582,20852,14994,7676,3249,936,86613,164,2309,12872,16075,16391,14489,7376,2378,604,72660,3919,11657,31877,31930,26390,18460,8422,3071,833,136573,2089,6342,17892,18821,16533,12267,4910,1318,299,80464,671,2526,5697,4723,3285,2437,1369,563,155,21430
