GCCSA_CODE_2021,C11_P_FoodHos_PS_15_19,C11_P_FoodHos_PS_20_24,C11_P_FoodHos_PS_25_34,C11_P_FoodHos_PS_35_44,C11_P_FoodHos_PS_45_54,C11_P_FoodHos_PS_55_64,C11_P_FoodHos_PS_65_74,C11_P_FoodHos_PS_75_84,C11_P_FoodHos_PS_85over,C11_P_FoodHos_PS_Tot,C11_P_MixFld_pr_15_19,C11_P_MixFld_pr_20_24,C11_P_MixFld_pr_25_34,C11_P_MixFld_pr_35_44,C11_P_MixFld_pr_45_54,C11_P_MixFld_pr_55_64,C11_P_MixFld_pr_65_74,C11_P_MixFld_pr_75_84,C11_P_MixFld_pr_85over,C11_P_MixFld_pr_Tot,C11_P_FldStu_ID_15_19,C11_P_FldStu_ID_20_24,C11_P_FldStu_ID_25_34,C11_P_FldStu_ID_35_44,C11_P_FldStu_ID_45_54,C11_P_FldStu_ID_55_64,C11_P_FldStu_ID_65_74,C11_P_FldStu_ID_75_84,C11_P_FldStu_ID_85over,C11_P_FldStu_ID_Tot,C11_P_FldStu_NS_15_19,C11_P_FldStu_NS_20_24,C11_P_FldStu_NS_25_34,C11_P_FldStu_NS_35_44,C11_P_FldStu_NS_45_54,C11_P_FldStu_NS_55_64,C11_P_FldStu_NS_65_74,C11_P_FldStu_NS_75_84,C11_P_FldStu_NS_85over,C11_P_FldStu_NS_Tot,C11_P_Tot_15_19,C11_P_Tot_20_24,C11_P_Tot_25_34,C11_P_Tot_35_44,C11_P_Tot_45_54,C11_P_Tot_55_64,C11_P_Tot_65_74,C11_P_Tot_75_84,C11_P_Tot_85over,C11_P_Tot_Tot,C16_P_NatPhy_sci_15_19,C16_P_NatPhy_sci_20_24,C16_P_NatPhy_sci_25_34,C16_P_NatPhy_sci_35_44,C16_P_NatPhy_sci_45_54,C16_P_NatPhy_sci_55_64,C16_P_NatPhy_sci_65_74,C16_P_NatPhy_sci_75_84,C16_P_NatPhy_sci_85over,C16_P_NatPhy_sci_Tot,C16_P_InfTec_15_19,C16_P_InfTec_20_24,C16_P_InfTec_25_34,C16_P_InfTec_35_44,C16_P_InfTec_45_54,C16_P_InfTec_55_64,C16_P_InfTec_65_74,C16_P_InfTec_75_84,C16_P_InfTec_85over,C16_P_InfTec_Tot,C16_P_EngRT_15_19,C16_P_EngRT_20_24,C16_P_EngRT_25_34,C16_P_EngRT_35_44,C16_P_EngRT_45_54,C16_P_EngRT_55_64,C16_P_EngRT_65_74,C16_P_EngRT_75_84,C16_P_EngRT_85over,C16_P_EngRT_Tot,C16_P_ArchBuild_15_19,C16_P_ArchBuild_20_24,C16_P_ArchBuild_25_34,C16_P_ArchBuild_35_44,C16_P_ArchBuild_45_54,C16_P_ArchBuild_55_64,C16_P_ArchBuild_65_74,C16_P_ArchBuild_75_84,C16_P_ArchBuild_85over,C16_P_ArchBuild_Tot,C16_P_AgEnv_RS_15_19,C16_P_AgEnv_RS_20_24,C16_P_AgEnv_RS_25_34,C16_P_AgEnv_RS_35_44,C16_P_AgEnv_RS_45_54,C16_P_AgEnv_RS_55_64,C16_P_AgEnv_RS_65_74,C16_P_AgEnv_RS_75_84,C16_P_AgEnv_RS_85over,C16_P_AgEnv_RS_Tot,C16_P_Health_15_19,C16_P_Health_20_24,C16_P_Health_25_34,C16_P_Health_35_44,C16_P_Health_45_54,C16_P_Health_55_64,C16_P_Health_65_74,C16_P_Health_75_84,C16_P_Health_85over,C16_P_Health_Tot,C16_P_Educ_15_19,C16_P_Educ_20_24,C16_P_Educ_25_34,C16_P_Educ_35_44,C16_P_Educ_45_54,C16_P_Educ_55_64,C16_P_Educ_65_74,C16_P_Educ_75_84,C16_P_Educ_85over,C16_P_Educ_Tot,C16_P_MngtCom_15_19,C16_P_MngtCom_20_24,C16_P_MngtCom_25_34,C16_P_MngtCom_35_44,C16_P_MngtCom_45_54,C16_P_MngtCom_55_64,C16_P_MngtCom_65_74,C16_P_MngtCom_75_84,C16_P_MngtCom_85over,C16_P_MngtCom_Tot,C16_P_Soc_cult_15_19,C16_P_Soc_cult_20_24,C16_P_Soc_cult_25_34,C16_P_Soc_cult_35_44,C16_P_Soc_cult_45_54,C16_P_Soc_cult_55_64,C16_P_Soc_cult_65_74,C16_P_Soc_cult_75_84,C16_P_Soc_cult_85over,C16_P_Soc_cult_Tot,C16_P_Creative_art_15_19,C16_P_Creative_art_20_24,C16_P_Creative_art_25_34,C16_P_Creative_art_35_44,C16_P_Creative_art_45_54,C16_P_Creative_art_55_64,C16_P_Creative_art_65_74,C16_P_Creative_art_75_84,C16_P_Creative_art_85over,C16_P_Creative_art_Tot,C16_P_FoodHos_PS_15_19,C16_P_FoodHos_PS_20_24,C16_P_FoodHos_PS_25_34,C16_P_FoodHos_PS_35_44,C16_P_FoodHos_PS_45_54,C16_P_FoodHos_PS_55_64,C16_P_FoodHos_PS_65_74,C16_P_FoodHos_PS_75_84,C16_P_FoodHos_PS_85over,C16_P_FoodHos_PS_Tot,C16_P_MixFld_pr_15_19,C16_P_MixFld_pr_20_24,C16_P_MixFld_pr_25_34,C16_P_MixFld_pr_35_44,C16_P_MixFld_pr_45_54,C16_P_MixFld_pr_55_64,C16_P_MixFld_pr_65_74,C16_P_MixFld_pr_75_84,C16_P_MixFld_pr_85over,C16_P_MixFld_pr_Tot,C16_P_FldStu_ID_15_19,C16_P_FldStu_ID_20_24,C16_P_FldStu_ID_25_34,C16_P_FldStu_ID_35_44,C16_P_FldStu_ID_45_54,C16_P_FldStu_ID_55_64,C16_P_FldStu_ID_65_74,C16_P_FldStu_ID_75_84,C16_P_FldStu_ID_85over,C16_P_FldStu_ID_Tot,C16_P_FldStu_NS_15_19,C16_P_FldStu_NS_20_24,C16_P_FldStu_NS_25_34,C16_P_FldStu_NS_35_44,C16_P_FldStu_NS_45_54,C16_P_FldStu_NS_55_64,C16_P_FldStu_NS_65_74,C16_P_FldStu_NS_75_84,C16_P_FldStu_NS_85over,C16_P_FldStu_NS_Tot,C16_P_Tot_15_19,C16_P_Tot_20_24,C16_P_Tot_25_34,C16_P_Tot_35_44,C16_P_Tot_45_54,C16_P_Tot_55_64,C16_P_Tot_65_74,C16_P_Tot_75_84,C16_P_Tot_85over,C16_P_Tot_Tot
1GSYD,2315,11601,25868,20498,13051,8207,4074,1722,559,87909,404,523,443,436,518,437,243,153,72,3229,221,1811,6124,6642,5295,3513,1629,814,347,26396,26805,27097,57376,49770,46322,39666,33910,31460,19975,332383,41180,156602,508017,467350,386702,278604,151427,85122,37430,2112430,204,6291,18108,16930,15320,11444,7121,2715,805,78940,597,6440,36301,36579,16938,7488,2075,279,51,106752,1092,14237,57699,57655,61499,53704,37462,19537,6890,309790,1254,8686,27907,26152,22851,15680,10119,5407,1561,119603,297,1958,6220,6530,5506,3897,1851,898,272,27429,1110,11704,49597,40362,36118,31013,17521,8602,3264,199299,463,6922,31360,30335,28807,31254,19806,7916,2503,159372,3286,40249,164329,144615,107869,70956,39634,13364,5373,589681,2253,21804,72249,66106,54058,39932,21658,6946,2033,287043,1267,13163,37034,25909,16035,9375,4854,2034,710,110381,2453,9581,28729,22285,16655,9352,6169,2185,809,98220,659,933,962,692,802,940,923,674,269,6863,328,2112,7147,7917,6734,4563,2660,1176,491,33132,19740,25990,64273,50435,43755,37182,31809,25400,19571,318143,35013,170068,601928,532513,432946,326786,203677,97127,44595,2444655
1RNSW,1954,6732,13914,12859,9382,6509,3651,1469,380,56862,160,207,150,154,194,161,124,104,45,1291,133,484,1504,2226,2255,1836,963,509,196,10102,17036,11208,19623,23753,26586,26406,28019,28573,14496,195699,27936,67343,173058,203804,214699,184658,114160,66494,24956,1077110,48,1287,4197,4792,4397,4469,3432,1125,308,24060,301,1455,4470,4176,3310,2545,1199,205,29,17686,1200,10358,31328,32034,38084,38659,31255,15477,4813,203210,907,4819,13519,13465,14456,14071,9911,5051,1329,77533,633,2595,7027,8625,8493,6891,4422,1815,447,40951,955,5928,22283,22379,24831,27516,15026,6598,2220,127739,325,3052,15844,18402,18607,25141,15926,6046,1613,104956,2175,11402,34766,39159,39468,33926,22393,7690,2473,193459,1750,8607,23784,25803,25953,22864,12375,3634,837,125607,461,2841,7000,6466,5313,4605,3102,1212,367,31361,2174,6948,15542,13441,11014,7852,5585,1872,651,65081,278,343,308,240,331,418,589,596,270,3380,183,629,1758,2499,2786,2350,1631,780,301,12921,16837,13565,26702,26888,31800,33927,34133,28273,17389,229529,28232,73830,208547,218374,228845,225243,160995,80369,33046,1257483
19499,20,41,94,48,37,21,15,0,0,288,0,0,0,0,0,4,0,0,0,11,3,4,26,24,10,10,7,0,0,87,144,223,586,625,602,406,239,91,58,2983,217,694,1939,1417,1272,1019,564,140,73,7320,0,20,56,18,14,20,8,5,0,139,5,15,55,41,13,10,0,0,0,145,8,71,202,112,125,149,124,19,0,805,6,28,78,67,49,62,50,5,0,339,3,12,36,25,15,21,7,0,0,123,5,34,129,64,64,79,54,10,4,431,0,12,47,29,43,58,36,3,0,238,12,111,256,136,120,107,68,10,0,825,3,82,159,83,82,94,64,9,0,581,0,32,104,50,44,18,15,0,0,266,10,49,83,52,33,33,20,0,0,276,7,9,6,4,0,4,0,0,0,25,0,9,18,8,16,10,9,0,0,74,130,319,797,706,668,481,266,92,26,3476,176,805,2020,1397,1277,1143,722,153,39,7737
19799,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,18,0,0,0,6,10,12,16,15,0,63,0,0,0,4,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,3,17,3,0,35,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,19,0,0,0,0,4,3,8,0,0,18,0,0,10,0,3,4,8,4,0,28,0,0,0,0,0,6,3,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,5,6,10,18,18,0,68,3,7,30,17,25,41,62,23,3,214
2GMEL,2807,13303,28245,20227,13214,7957,4073,1706,472,92009,288,489,404,297,324,258,179,152,63,2454,206,2344,7770,7563,5578,3758,1625,868,335,30046,24181,23609,45568,40835,38247,33903,31496,31133,19217,288202,38827,150629,465233,411949,330404,238261,132918,76774,33421,1878416,244,8512,19932,18136,14242,10162,6044,2149,744,80161,482,6134,34993,32662,14924,6941,1944,245,48,98377,1570,14936,59161,56500,58228,48041,33649,17751,6138,295978,1556,10625,32925,23860,20574,14020,8551,4861,1395,118373,322,2302,7328,6973,5415,3321,1587,683,211,28155,830,12528,53845,41541,35847,28618,16069,7905,2839,200018,422,5825,31177,30019,30133,30973,20417,7893,2257,159114,2764,34667,133299,115590,83271,51165,26797,9451,3975,460993,2712,21525,67904,61319,50875,37759,19564,5747,1678,269084,1450,13549,36389,22782,13136,7712,4088,1636,657,101394,2459,11304,33237,22155,17004,9323,6198,2193,807,104679,659,894,807,549,633,692,813,703,231,5982,294,2743,8681,8892,7081,4748,2687,1143,526,36795,18860,24000,56477,44447,40149,34191,30789,25312,16656,290874,34638,169537,576158,485430,391518,287669,179178,87676,38159,2249964
2RVIC,1467,4352,8304,7299,5251,3839,2025,752,188,33477,58,90,89,77,67,47,62,42,18,542,74,318,1156,1604,1450,1187,606,256,112,6749,9045,5409,9815,12123,13736,14389,15322,15908,8252,103994,15346,36984,94902,106785,108328,94804,57083,33174,13047,560453,29,899,2198,2930,2232,2223,1524,443,138,12606,148,699,2513,2272,1551,1225,531,52,11,9007,770,5074,14894,15542,19231,18859,15150,6804,2135,98471,569,3704,9535,7584,7282,7088,4647,2307,639,43351,413,1623,4985,6030,5790,4255,2388,961,286,26733,376,3744,13707,12537,14116,15163,8872,3823,1295,73631,186,1920,9086,10189,10368,13673,10632,3786,1023,60874,722,5012,17099,19034,16914,13432,7818,2519,979,83538,1155,5500,12879,14162,14833,13664,7360,1732,389,71687,421,1602,3886,3608,2656,2340,1554,513,190,16766,1093,4305,9652,7443,6265,4490,3107,1106,333,37787,96,157,183,130,181,214,328,277,119,1675,70,309,1179,1803,1699,1480,958,409,182,8077,9639,7282,14478,15049,17997,19228,19534,15338,8724,127270,15699,41829,116273,118301,121125,117331,84409,40068,16462,671490
29499,11,43,64,38,32,14,4,0,0,202,3,0,0,0,0,0,4,0,0,7,0,9,17,3,7,9,4,0,0,51,125,227,427,404,293,132,82,36,17,1739,181,581,1466,998,678,436,199,70,27,4631,0,15,50,23,13,5,9,0,0,123,0,11,36,19,6,3,3,0,0,82,9,30,127,63,60,50,41,12,0,385,3,18,70,37,31,25,12,5,0,192,0,11,26,16,14,5,0,5,0,78,0,29,90,39,33,35,16,3,0,247,0,13,36,23,21,34,22,0,0,159,3,77,182,86,49,51,24,6,0,484,3,47,145,74,51,51,18,0,0,390,4,18,78,38,23,13,0,0,0,171,4,33,54,35,26,17,4,0,0,169,0,0,0,0,0,0,0,0,0,6,0,11,16,17,13,8,3,0,0,63,89,229,512,502,335,221,110,31,10,2044,118,537,1411,972,667,522,263,65,23,4574
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,3,6,5,3,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,4,9,10,0,0,0,22
3GBRI,2041,6635,12768,10456,6317,4200,1924,709,197,45255,220,302,214,178,163,145,116,73,45,1456,151,655,2489,2751,2251,1525,759,321,117,11006,12819,11996,22173,20737,18639,16201,13726,13304,8520,138113,26093,76742,215383,203445,167634,122764,64657,33901,14352,924969,182,2902,8212,7358,5840,4073,2574,824,224,32195,815,3028,10310,10638,5938,2649,787,105,11,34274,1476,8808,32037,31350,31630,27044,19101,8989,2546,162975,777,4433,15226,12735,11090,8928,6111,2894,795,62986,297,1161,3418,4017,3187,2138,1155,454,120,15946,808,7395,25892,22818,21134,16504,9230,4004,1370,109154,344,2703,13548,17216,16837,15253,9651,3535,866,79953,4039,18614,57245,53542,42673,26535,13041,3932,1317,220937,3244,11942,31949,29998,24025,17693,9205,2430,608,131089,1467,6387,12679,8471,5406,3125,1704,733,262,40238,3061,6808,14876,11270,8244,4838,3207,959,313,53576,446,496,404,270,274,328,391,377,153,3131,235,811,2771,3344,2847,2003,1178,460,212,13863,10541,13066,27580,22849,21476,17859,15256,11633,8673,148949,27740,88555,256138,235870,200587,148976,92602,41331,17473,1109269
3RQLD,2845,7091,14897,14530,9462,6380,3076,968,240,59492,209,176,209,155,169,165,155,86,36,1358,180,508,1644,2370,2172,1593,869,410,118,9856,16048,13312,25838,27415,27290,24156,22221,19729,10843,186856,31072,68210,180579,194563,181734,142113,84622,43700,16844,943442,138,1401,4023,4253,3638,3042,2176,768,186,19628,571,1543,3816,3942,2552,1713,761,122,8,15029,2055,10740,33219,33667,35928,32878,25151,11588,2982,188216,815,4158,14580,14635,14219,13749,9265,4171,932,76520,636,1847,5286,6429,5591,4075,2140,890,219,27113,802,6404,21660,21023,22644,20471,11135,4792,1436,110371,361,2798,14056,18314,18756,17579,10949,4041,1014,87867,3983,12319,36986,38097,34228,24982,14305,4768,1360,171033,3079,8745,22019,23122,21736,17741,9271,2445,458,108619,888,2945,6701,5662,4140,3066,2120,838,247,26603,3492,7360,16559,14821,12246,7651,5188,1505,422,69248,343,292,313,246,328,422,532,438,228,3134,275,560,1960,2596,2687,1966,1225,626,199,12082,15677,15178,31221,29738,31790,29446,26324,18653,10888,208918,33119,76290,212404,216546,210481,178773,120545,55641,20573,1124383
