GCCSA_CODE_2021,C16_M_25_29_Tot_LF,C16_M_25_29_Not_LF,C16_M_25_29_LF_NS,C16_M_25_29_Tot,C16_M_30_34_Em_FT,C16_M_30_34_Em_PT,C16_M_30_34_Em_AFW,C16_M_30_34_Em_Hrs_NS,C16_M_30_34_Em_Tot,C16_M_30_34_Unem_Look_FT,C16_M_30_34_Unem_Look_PT,C16_M_30_34_Unem_Tot,C16_M_30_34_Tot_LF,C16_M_30_34_Not_LF,C16_M_30_34_LF_NS,C16_M_30_34_Tot,C16_M_35_39_Em_FT,C16_M_35_39_Em_PT,C16_M_35_39_Em_AFW,C16_M_35_39_Em_Hrs_NS,C16_M_35_39_Em_Tot,C16_M_35_39_Unem_Look_FT,C16_M_35_39_Unem_Look_PT,C16_M_35_39_Unem_Tot,C16_M_35_39_Tot_LF,C16_M_35_39_Not_LF,C16_M_35_39_LF_NS,C16_M_35_39_Tot,C16_M_40_44_Em_FT,C16_M_40_44_Em_PT,C16_M_40_44_Em_AFW,C16_M_40_44_Em_Hrs_NS,C16_M_40_44_Em_Tot,C16_M_40_44_Unem_Look_FT,C16_M_40_44_Unem_Look_PT,C16_M_40_44_Unem_Tot,C16_M_40_44_Tot_LF,C16_M_40_44_Not_LF,C16_M_40_44_LF_NS,C16_M_40_44_Tot,C16_M_45_49_Em_FT,C16_M_45_49_Em_PT,C16_M_45_49_Em_AFW,C16_M_45_49_Em_Hrs_NS,C16_M_45_49_Em_Tot,C16_M_45_49_Unem_Look_FT,C16_M_45_49_Unem_Look_PT,C16_M_45_49_Unem_Tot,C16_M_45_49_Tot_LF,C16_M_45_49_Not_LF,C16_M_45_49_LF_NS,C16_M_45_49_Tot,C16_M_50_54_Em_FT,C16_M_50_54_Em_PT,C16_M_50_54_Em_AFW,C16_M_50_54_Em_Hrs_NS,C16_M_50_54_Em_Tot,C16_M_50_54_Unem_Look_FT,C16_M_50_54_Unem_Look_PT,C16_M_50_54_Unem_Tot,C16_M_50_54_Tot_LF,C16_M_50_54_Not_LF,C16_M_50_54_LF_NS,C16_M_50_54_Tot,C16_M_55_59_Em_FT,C16_M_55_59_Em_PT,C16_M_55_59_Em_AFW,C16_M_55_59_Em_Hrs_NS,C16_M_55_59_Em_Tot,C16_M_55_59_Unem_Look_FT,C16_M_55_59_Unem_Look_PT,C16_M_55_59_Unem_Tot,C16_M_55_59_Tot_LF,C16_M_55_59_Not_LF,C16_M_55_59_LF_NS,C16_M_55_59_Tot,C16_M_60_64_Em_FT,C16_M_60_64_Em_PT,C16_M_60_64_Em_AFW,C16_M_60_64_Em_Hrs_NS,C16_M_60_64_Em_Tot,C16_M_60_64_Unem_Look_FT,C16_M_60_64_Unem_Look_PT,C16_M_60_64_Unem_Tot,C16_M_60_64_Tot_LF,C16_M_60_64_Not_LF,C16_M_60_64_LF_NS,C16_M_60_64_Tot,C16_M_65_69_Em_FT,C16_M_65_69_Em_PT,C16_M_65_69_Em_AFW,C16_M_65_69_Em_Hrs_NS,C16_M_65_69_Em_Tot,C16_M_65_69_Unem_Look_FT,C16_M_65_69_Unem_Look_PT,C16_M_65_69_Unem_Tot,C16_M_65_69_Tot_LF,C16_M_65_69_Not_LF,C16_M_65_69_LF_NS,C16_M_65_69_Tot,C16_M_70_74_Em_FT,C16_M_70_74_Em_PT,C16_M_70_74_Em_AFW,C16_M_70_74_Em_Hrs_NS,C16_M_70_74_Em_Tot,C16_M_70_74_Unem_Look_FT,C16_M_70_74_Unem_Look_PT,C16_M_70_74_Unem_Tot,C16_M_70_74_Tot_LF,C16_M_70_74_Not_LF,C16_M_70_74_LF_NS,C16_M_70_74_Tot,C16_M_75over_Em_FT,C16_M_75over_Em_PT,C16_M_75over_Em_AFW,C16_M_75over_Em_Hrs_NS,C16_M_75over_Em_Tot,C16_M_75over_Unem_Lo_ft_wor,C16_M_75over_Unem_Lo_pt_wor,C16_M_75over_Unempl_Tot,C16_M_75over_Tot_LF,C16_M_75over_Not_LF,C16_M_75over_LF_NS,C16_M_75over_Tot,C16_M_Tot_Em_FT,C16_M_Tot_Em_PT,C16_M_Tot_Em_AFW,C16_M_Tot_Em_Hrs_NS,C16_M_Tot_Em_Tot,C16_M_Tot_Unem_Look_FT,C16_M_Tot_Unem_Look_PT,C16_M_Tot_Unem_Tot,C16_M_Tot_Tot_labo_for,C16_M_Tot_Not_LF,C16_M_Tot_LF_NS,C16_M_Tot_Tot,C21_M_15_19_Em_FT,C21_M_15_19_Em_PT,C21_M_15_19_Em_AFW,C21_M_15_19_Em_Hrs_NS,C21_M_15_19_Em_Tot,C21_M_15_19_Unem_Look_FT,C21_M_15_19_Unem_Look_PT,C21_M_15_19_Unem_Tot,C21_M_15_19_Tot_LF,C21_M_15_19_Not_LF,C21_M_15_19_LF_NS,C21_M_15_19_Tot,C21_M_20_24_Em_FT,C21_M_20_24_Em_PT,C21_M_20_24_Em_AFW,C21_M_20_24_Em_Hrs_NS,C21_M_20_24_Em_Tot,C21_M_20_24_Unem_Look_FT,C21_M_20_24_Unem_Look_PT,C21_M_20_24_Unem_Tot,C21_M_20_24_Tot_LF,C21_M_20_24_Not_LF,C21_M_20_24_LF_NS,C21_M_20_24_Tot,C21_M_25_29_Em_FT,C21_M_25_29_Em_PT,C21_M_25_29_Em_AFW,C21_M_25_29_Em_Hrs_NS,C21_M_25_29_Em_Tot,C21_M_25_29_Unem_Look_FT,C21_M_25_29_Unem_Look_PT,C21_M_25_29_Unem_Tot,C21_M_25_29_Tot_LF,C21_M_25_29_Not_LF,C21_M_25_29_LF_NS,C21_M_25_29_Tot,C21_M_30_34_Em_FT,C21_M_30_34_Em_PT,C21_M_30_34_Em_AFW,C21_M_30_34_Em_Hrs_NS,C21_M_30_34_Em_Tot,C21_M_30_34_Unem_Look_FT,C21_M_30_34_Unem_Look_PT,C21_M_30_34_Unem_Tot,C21_M_30_34_Tot_LF,C21_M_30_34_Not_LF,C21_M_30_34_LF_NS,C21_M_30_34_Tot,C21_M_35_39_Em_FT,C21_M_35_39_Em_PT,C21_M_35_39_Em_AFW,C21_M_35_39_Em_Hrs_NS,C21_M_35_39_Em_Tot,C21_M_35_39_Unem_Look_FT,C21_M_35_39_Unem_Look_PT,C21_M_35_39_Unem_Tot,C21_M_35_39_Tot_LF,C21_M_35_39_Not_LF,C21_M_35_39_LF_NS,C21_M_35_39_Tot,C21_M_40_44_Em_FT,C21_M_40_44_Em_PT,C21_M_40_44_Em_AFW,C21_M_40_44_Em_Hrs_NS
1GSYD,152968,21671,13515,188149,131173,20608,2781,3545,158106,5450,1503,6948,165058,15353,13142,193555,124467,16757,2479,2925,146629,4796,1117,5910,152542,13599,10804,176949,117744,15757,2269,2470,138242,4452,1050,5497,143741,14223,9549,167513,106508,15427,2040,2442,126421,4394,1035,5426,131850,15846,8926,156618,97655,16023,2256,2195,118121,4145,1136,5283,123409,19023,8341,150772,79230,16025,2526,1675,99451,3626,1443,5068,104523,24706,7639,136867,46762,16901,2035,1171,66862,2776,1650,4427,71288,38847,6619,116747,18870,12872,1199,592,33538,510,688,1201,34737,62274,6093,103107,5204,6680,450,268,12603,117,272,388,12995,58308,5006,76311,2012,3897,300,296,6510,69,132,204,6710,109640,11113,127461,910116,243811,24815,26191,1204925,46847,28685,75540,1280468,515705,118147,1914319,9575,26332,11360,872,48144,2105,6012,8116,56263,89382,6586,152229,47656,42593,18391,2926,111568,6277,5755,12033,123604,42757,10132,176492,91971,33287,14404,3854,143516,6694,2937,9633,153154,30950,12925,197024,111419,28588,13824,3862,157693,5480,1621,7096,164785,26845,12464,204099,120884,25326,12309,3273,161796,5022,1194,6215,168008,24680,11220,203911,108847,21761,10240,2450
1RNSW,57778,8637,5094,71504,45529,7692,1500,1147,55869,2673,693,3367,59232,7657,4846,71736,44950,7069,1268,1061,54353,2455,551,3005,57356,7879,4553,69789,50089,8074,1451,1105,60721,2607,592,3200,63921,9565,5242,78731,50838,8604,1613,1170,62228,2670,636,3302,65530,11130,5739,82406,50764,9941,1960,1127,63788,2649,707,3354,67140,14148,6204,87492,45576,11617,2426,980,60598,2591,947,3533,64128,20695,6565,91387,27977,12216,2040,759,42996,1982,1136,3119,46115,34602,6325,87047,10973,8427,1030,498,20930,209,396,607,21535,56832,6408,84776,3764,4339,418,317,8843,60,145,204,9052,50967,5495,65508,2486,2830,334,517,6163,62,76,149,6308,86782,11888,104981,418122,123561,17875,12475,572028,29820,13363,43180,615203,359272,78151,1052625,13797,22180,2989,966,39936,2117,3474,5596,45533,32816,5310,83664,33837,17164,2888,1434,55330,3371,1864,5233,60561,11908,5435,77907,45201,12399,2515,1508,61633,2790,1010,3798,65425,9539,5559,80528,50073,10581,2480,1394,64527,2042,658,2699,67232,8579,5554,81370,51188,9746,2373,1220,64522,1749,541,2296,66818,8724,5318,80859,47939,9026,2174,1068
19499,465,169,294,927,186,60,10,7,267,69,15,88,354,140,195,685,166,55,5,14,238,62,7,68,301,122,206,622,149,38,10,13,209,31,3,38,247,115,281,644,107,37,3,10,161,41,9,51,208,151,218,568,88,50,10,11,159,34,7,37,201,152,225,584,92,38,13,4,140,38,3,42,186,157,177,512,43,34,9,0,89,18,5,28,114,226,138,476,22,23,4,0,48,4,0,9,52,301,107,456,4,4,0,0,11,0,0,0,11,204,53,267,4,4,0,0,4,0,0,0,8,133,50,193,1322,527,86,105,2043,465,121,586,2627,2183,2155,6959,23,22,10,4,57,13,9,24,78,83,90,253,70,48,10,11,128,36,15,49,181,92,136,411,131,59,22,13,221,38,12,49,276,107,208,586,109,69,24,12,218,35,11,43,261,113,201,574,107,45,14,7,167,36,5,45,208,111,238,562,79,25,15,6
19799,4,0,0,5,7,0,0,0,7,0,0,0,7,0,0,11,0,0,0,0,5,0,0,0,5,0,0,5,6,0,6,0,9,0,0,0,9,0,4,9,0,0,3,0,5,0,0,0,5,3,0,9,7,0,3,0,14,0,0,0,14,4,0,14,0,0,0,0,5,0,0,0,5,4,6,7,0,0,5,0,10,0,0,0,10,9,0,16,0,0,0,0,6,0,0,0,6,19,9,31,0,0,0,0,0,0,0,0,0,14,0,19,0,0,0,0,0,0,0,0,3,19,4,23,28,7,19,6,61,0,0,3,60,73,21,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,146667,20170,11648,178490,121996,20095,2849,3055,147989,5738,1479,7216,155205,14079,11517,180800,112976,15951,2454,2513,133896,4921,1064,5979,139873,12512,9364,161753,106560,14907,2268,2179,125915,4682,960,5644,131557,13208,8477,153238,101543,14887,2140,2138,120706,4578,920,5500,126209,14783,7957,148946,89286,14226,2259,1887,107654,4253,969,5221,112871,16332,7622,136829,72122,14767,2406,1506,90805,3628,1106,4736,95543,21338,6818,123705,42964,15871,2182,1040,62053,2685,1334,4014,66074,33773,6058,105903,16206,12225,1194,546,30178,462,614,1074,31250,56433,5726,93398,4394,6178,479,307,11357,93,253,346,11708,53394,4611,69710,1811,3438,289,335,5878,50,98,147,6027,104344,10926,121291,832145,237278,24417,23116,1116949,48846,30374,79222,1196175,476594,106403,1779168,10063,33683,4902,852,49493,1899,10071,11970,61464,73851,5552,140865,54431,52045,6381,2885,115736,6290,6610,12901,128635,31025,8789,168453,106281,37021,4785,3995,152085,6596,2848,9446,161527,19614,12079,193215,127624,27708,4959,3653,163939,5083,1559,6645,170586,16042,10751,197383,132622,24083,4354,3167,164227,4566,1198,5761,169995,15296,9538,194831,115669,19675,3377,2264
2RVIC,31664,4172,2706,38533,24818,3869,808,625,30120,1414,298,1717,31834,3891,2571,38291,24598,3684,827,570,29681,1275,260,1528,31208,4123,2395,37727,27300,4261,897,642,33099,1255,315,1565,34662,4975,2806,42445,28606,4589,978,659,34830,1339,285,1627,36459,5778,3238,45471,28552,5160,1281,675,35662,1359,324,1679,37340,6798,3349,47486,26009,6296,1589,593,34483,1362,433,1794,36276,9506,3437,49226,17207,7383,1542,499,26631,1094,552,1643,28274,16435,3561,48270,6629,5302,826,282,13041,104,195,295,13339,29472,3712,46518,2246,2522,321,203,5292,16,78,100,5392,26465,3058,34917,1560,1789,241,317,3907,19,26,48,3954,45462,6219,55639,234797,68494,11366,7253,321907,15041,6444,21485,343395,184564,42414,570374,6817,12496,1643,568,21524,863,1965,2828,24358,18404,2657,45414,19432,8925,1303,771,30436,1663,904,2568,33003,5956,2778,41733,26998,6786,1128,900,35822,1440,569,2016,37836,4923,3037,45802,29301,5443,1208,809,36757,1053,336,1392,38143,4619,2901,45663,29211,5261,1132,738,36337,879,270,1152,37491,4600,2840,44925,27583,4787,1158,630
29499,291,106,145,543,142,32,7,8,187,51,9,58,251,109,157,513,113,32,5,10,158,33,12,40,191,77,162,439,70,23,8,8,114,24,0,28,142,66,168,370,68,26,10,10,113,31,9,41,149,72,129,351,57,15,3,4,83,24,0,27,103,64,111,281,55,22,3,0,76,7,6,12,88,71,76,238,30,27,4,0,65,8,0,10,75,85,58,224,8,5,4,0,12,4,0,4,20,120,30,171,5,0,0,0,9,0,0,6,13,78,19,111,0,0,0,0,7,0,0,0,7,64,12,86,808,319,61,53,1240,276,97,366,1605,1113,1217,3940,19,16,0,3,43,12,8,16,63,77,91,234,59,38,10,4,104,25,24,46,152,73,124,345,104,54,4,4,164,26,9,36,201,80,196,474,98,38,6,5,155,27,12,42,195,84,189,463,81,19,11,7,115,30,3,36,148,95,268,515,66,16,8,4
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,7,0,0,0,7,0,0,0,7,0,0,7,7,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,24,0,0,0,24,0,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0
3GBRI,69672,9055,5441,84170,56477,9117,1489,1264,68350,3178,790,3972,72324,7220,5346,84889,53554,7378,1238,1083,63251,2608,518,3127,66370,6389,4505,77273,54556,7217,1279,1046,64097,2646,512,3157,67255,6858,4478,78591,51783,7128,1259,988,61154,2521,431,2953,64109,7340,4553,76005,45789,6692,1361,737,54580,2437,414,2849,57433,8453,4101,69989,36452,6938,1446,631,45467,2221,550,2763,48233,11518,3660,63409,22196,7064,1244,423,30922,1561,662,2221,33144,18894,3292,55327,7973,5278,574,220,14050,244,336,578,14623,32102,3078,49806,2052,2501,199,111,4860,59,126,183,5043,28834,2456,36333,773,1339,88,167,2368,39,42,82,2448,45805,5273,53536,420744,113441,13594,10242,558019,30146,15041,45184,603205,231492,54687,889382,7703,20896,4502,582,33679,2039,5584,7625,41306,35729,3306,80337,33028,22535,5201,1477,62251,4240,2883,7117,69371,13675,4840,87883,50011,15450,3740,1665,70867,3548,1336,4887,75753,10273,5656,91682,57689,12465,3489,1562,75207,2605,772,3381,78590,8264,5307,92163,61614,10856,3041,1317,76832,2259,599,2853,79692,7899,4821,92408,56700,9096,2590,1019
3RQLD,59360,6960,6914,73238,47184,7457,1632,1183,57454,3160,647,3810,61263,6276,6727,74264,46185,6934,1528,1123,55771,2893,494,3385,59159,6418,6108,71687,50454,7488,1641,1176,60760,3093,588,3675,64433,7655,6535,78623,50911,8010,1698,1156,61775,3140,514,3648,65420,8769,6875,81059,47759,8390,1853,1014,59017,3321,568,3880,62899,10769,6836,80507,40871,9096,2153,858,52977,3166,767,3939,56914,15265,6639,78820,26122,9354,1635,679,37786,2573,934,3496,41287,24529,5745,71567,10294,6846,825,408,18375,356,443,800,19166,44323,5649,69143,3361,3496,325,226,7401,91,167,258,7653,40013,4510,52176,1822,1977,205,318,4315,63,91,159,4474,63718,8492,76687,409923,111620,17073,11565,550180,35357,13043,48398,598580,276399,82427,957407,11288,22682,3001,914,37881,2298,4216,6508,44390,30281,5243,79911,33152,15187,2779,1577,52699,3449,1787,5232,57930,9679,6942,74553,43566,11667,2781,1729,59747,2884,1101,3986,63730,7861,8115,79705,47273,9811,2788,1612,61477,2124,685,2809,64296,7107,7783,79187,50039,9015,2617,1403,63076,1893,540,2436,65507,7311,7268,80086,47983,8594,2348,1167
