GCCSA_CODE_2021,C11_F_55_59_Em_FT,C11_F_55_59_Em_PT,C11_F_55_59_Em_AFW,C11_F_55_59_Em_Hrs_NS,C11_F_55_59_Em_Tot,C11_F_55_59_Unem_Look_FT,C11_F_55_59_Unem_Look_PT,C11_F_55_59_Unem_Tot,C11_F_55_59_Tot_LF,C11_F_55_59_Not_LF,C11_F_55_59_LF_NS,C11_F_55_59_Tot,C11_F_60_64_Em_FT,C11_F_60_64_Em_PT,C11_F_60_64_Em_AFW,C11_F_60_64_Em_Hrs_NS,C11_F_60_64_Em_Tot,C11_F_60_64_Unem_Look_FT,C11_F_60_64_Unem_Look_PT,C11_F_60_64_Unem_Tot,C11_F_60_64_Tot_LF,C11_F_60_64_Not_LF,C11_F_60_64_LF_NS,C11_F_60_64_Tot,C11_F_65_69_Em_FT,C11_F_65_69_Em_PT,C11_F_65_69_Em_AFW,C11_F_65_69_Em_Hrs_NS,C11_F_65_69_Em_Tot,C11_F_65_69_Unem_Look_FT,C11_F_65_69_Unem_Look_PT,C11_F_65_69_Unem_Tot,C11_F_65_69_Tot_LF,C11_F_65_69_Not_LF,C11_F_65_69_LF_NS,C11_F_65_69_Tot,C11_F_70_74_Em_FT,C11_F_70_74_Em_PT,C11_F_70_74_Em_AFW,C11_F_70_74_Em_Hrs_NS,C11_F_70_74_Em_Tot,C11_F_70_74_Unem_Look_FT,C11_F_70_74_Unem_Look_PT,C11_F_70_74_Unem_Tot,C11_F_70_74_Tot_LF,C11_F_70_74_Not_LF,C11_F_70_74_LF_NS,C11_F_70_74_Tot,C11_F_75over_Em_FT,C11_F_75over_Em_PT,C11_F_75over_Em_AFW,C11_F_75over_Em_Hrs_NS,C11_F_75over_Em_Tot,C11_F_75over_Unem_Lo_ft_wo,C11_F_75over_Unem_Lo_pt_wor,C11_F_75over_Unemp_Tot,C11_F_75over_Tot_lab_for,C11_F_75over_N_lab_forc,C11_F_75over_LF_NS,C11_F_75over_Tot,C11_F_Tot_Em_FT,C11_F_Tot_Em_PT,C11_F_Tot_Em_AFW,C11_F_Tot_Em_Hrs_NS,C11_F_Tot_Em_Tot,C11_F_Tot_Unem_Look_FT,C11_F_Tot_Unem_Look_PT,C11_F_Tot_Unem_Tot,C11_F_Tot_Tot_labo_for,C11_F_Tot_Not_LF,C11_F_Tot_LF_NS,C11_F_Tot_Tot,C16_F_15_19_Em_FT,C16_F_15_19_Em_PT,C16_F_15_19_Em_AFW,C16_F_15_19_Em_Hrs_NS,C16_F_15_19_Em_Tot,C16_F_15_19_Unem_Look_FT,C16_F_15_19_Unem_Look_PT,C16_F_15_19_Unem_Tot,C16_F_15_19_Tot_LF,C16_F_15_19_Not_LF,C16_F_15_19_LF_NS,C16_F_15_19_Tot,C16_F_20_24_Em_FT,C16_F_20_24_Em_PT,C16_F_20_24_Em_AFW,C16_F_20_24_Em_Hrs_NS,C16_F_20_24_Em_Tot,C16_F_20_24_Unem_Look_FT,C16_F_20_24_Unem_Look_PT,C16_F_20_24_Unem_Tot,C16_F_20_24_Tot_LF,C16_F_20_24_Not_LF,C16_F_20_24_LF_NS,C16_F_20_24_Tot,C16_F_25_29_Em_FT,C16_F_25_29_Em_PT,C16_F_25_29_Em_AFW,C16_F_25_29_Em_Hrs_NS,C16_F_25_29_Em_Tot,C16_F_25_29_Unem_Look_FT,C16_F_25_29_Unem_Look_PT,C16_F_25_29_Unem_Tot,C16_F_25_29_Tot_LF,C16_F_25_29_Not_LF,C16_F_25_29_LF_NS,C16_F_25_29_Tot,C16_F_30_34_Em_FT,C16_F_30_34_Em_PT,C16_F_30_34_Em_AFW,C16_F_30_34_Em_Hrs_NS,C16_F_30_34_Em_Tot,C16_F_30_34_Unem_Look_FT,C16_F_30_34_Unem_Look_PT,C16_F_30_34_Unem_Tot,C16_F_30_34_Tot_LF,C16_F_30_34_Not_LF,C16_F_30_34_LF_NS,C16_F_30_34_Tot,C16_F_35_39_Em_FT,C16_F_35_39_Em_PT,C16_F_35_39_Em_AFW,C16_F_35_39_Em_Hrs_NS,C16_F_35_39_Em_Tot,C16_F_35_39_Unem_Look_FT,C16_F_35_39_Unem_Look_PT,C16_F_35_39_Unem_Tot,C16_F_35_39_Tot_LF,C16_F_35_39_Not_LF,C16_F_35_39_LF_NS,C16_F_35_39_Tot,C16_F_40_44_Em_FT,C16_F_40_44_Em_PT,C16_F_40_44_Em_AFW,C16_F_40_44_Em_Hrs_NS,C16_F_40_44_Em_Tot,C16_F_40_44_Unem_Look_FT,C16_F_40_44_Unem_Look_PT,C16_F_40_44_Unem_Tot,C16_F_40_44_Tot_LF,C16_F_40_44_Not_LF,C16_F_40_44_LF_NS,C16_F_40_44_Tot,C16_F_45_49_Em_FT,C16_F_45_49_Em_PT,C16_F_45_49_Em_AFW,C16_F_45_49_Em_Hrs_NS,C16_F_45_49_Em_Tot,C16_F_45_49_Unem_Look_FT,C16_F_45_49_Unem_Look_PT,C16_F_45_49_Unem_Tot,C16_F_45_49_Tot_LF,C16_F_45_49_Not_LF,C16_F_45_49_LF_NS,C16_F_45_49_Tot,C16_F_50_54_Em_FT,C16_F_50_54_Em_PT,C16_F_50_54_Em_AFW,C16_F_50_54_Em_Hrs_NS,C16_F_50_54_Em_Tot,C16_F_50_54_Unem_Look_FT,C16_F_50_54_Unem_Look_PT,C16_F_50_54_Unem_Tot,C16_F_50_54_Tot_LF,C16_F_50_54_Not_LF,C16_F_50_54_LF_NS,C16_F_50_54_Tot,C16_F_55_59_Em_FT,C16_F_55_59_Em_PT,C16_F_55_59_Em_AFW,C16_F_55_59_Em_Hrs_NS,C16_F_55_59_Em_Tot,C16_F_55_59_Unem_Look_FT,C16_F_55_59_Unem_Look_PT,C16_F_55_59_Unem_Tot,C16_F_55_59_Tot_LF,C16_F_55_59_Not_LF,C16_F_55_59_LF_NS,C16_F_55_59_Tot,C16_F_60_64_Em_FT,C16_F_60_64_Em_PT,C16_F_60_64_Em_AFW,C16_F_60_64_Em_Hrs_NS,C16_F_60_64_Em_Tot,C16_F_60_64_Unem_Look_FT,C16_F_60_64_Unem_Look_PT,C16_F_60_64_Unem_Tot,C16_F_60_64_Tot_LF,C16_F_60_64_Not_LF,C16_F_60_64_LF_NS,C16_F_60_64_Tot,C16_F_65_69_Em_FT,C16_F_65_69_Em_PT,C16_F_65_69_Em_AFW,C16_F_65_69_Em_Hrs_NS,C16_F_65_69_Em_Tot,C16_F_65_69_Unem_Look_FT,C16_F_65_69_Unem_Look_PT,C16_F_65_69_Unem_Tot
1GSYD,41724,30397,3122,1276,76520,1461,1453,2914,79440,42866,5986,128291,20928,22959,2203,853,46947,667,1010,1677,48624,60038,5608,114271,5612,9594,844,358,16404,55,224,275,16680,64131,4843,85662,1034,3137,299,175,4649,12,67,81,4728,58368,4585,67686,369,1413,209,267,2256,12,65,80,2334,137692,17336,157362,513276,384394,43045,18560,959275,27799,31495,59286,1018566,699173,102161,1819894,6364,40291,2019,1309,49988,1985,8706,10698,60677,73683,6021,140387,48014,52001,2950,2687,105648,4443,6700,11148,116798,41518,10145,168452,89614,36461,5126,2607,133815,4729,3883,8612,142427,37740,13131,193304,81275,42951,9365,2268,135857,3928,3594,7528,143384,43663,12344,199391,65536,47539,6434,1787,121297,3125,3575,6698,128001,40595,9921,178513,66430,50211,3090,1704,121438,2891,3611,6503,127945,36387,8733,173061,66579,45918,2263,1661,116415,2948,3114,6064,122475,34481,8189,165141,61441,40376,2559,1588,105969,2771,2639,5411,111382,35901,7766,155047,48230,35470,2643,1222,87564,2106,2339,4446,92012,45249,7428,144689,25762,26197,2140,837,54941,1148,1601,2750,57694,61363,6648,125704,8340,14009,1100,437,23891,119,370,483
1RNSW,23030,22988,2564,734,49323,825,942,1766,51085,30522,3239,84852,11156,15630,1698,560,29045,400,651,1047,30094,48528,3384,82007,3154,5852,685,315,10001,30,126,150,10154,54290,3341,67785,943,2096,257,177,3477,10,29,36,3516,48221,3372,55104,553,1050,231,262,2094,8,27,35,2134,105493,12734,120358,222341,245707,25551,9590,503189,15049,16385,31437,534619,450959,50528,1036112,4846,26681,1475,1074,34072,2088,4561,6651,40722,32649,4322,77692,20649,22446,1900,1066,46054,2709,2616,5323,51380,16046,4683,72107,25916,18388,3119,773,48194,1853,1679,3530,51725,16230,4673,72630,21209,23642,4052,711,49615,1454,1610,3068,52678,17254,4585,74521,21036,26228,2501,746,50504,1484,1564,3049,53555,15730,4224,73505,27940,29035,1686,862,59534,1556,1574,3126,62656,15364,4879,82899,32085,28584,1708,885,63259,1644,1379,3028,66289,15794,5298,87380,31919,28367,2069,874,63231,1541,1318,2862,66090,19475,5717,91281,27334,27248,2599,824,58006,1181,1307,2491,60493,29299,6106,95897,14477,19597,1992,614,36686,698,1014,1710,38391,45212,6035,89637,4593,8943,912,372,14823,61,198,259
19499,45,36,5,6,96,14,13,21,113,200,46,357,23,22,9,7,53,6,13,14,64,249,42,355,0,4,0,0,11,0,0,0,12,172,27,211,5,0,0,0,9,0,0,0,9,99,28,137,0,0,0,0,0,0,0,0,4,111,53,170,761,531,106,45,1441,249,168,422,1865,2150,764,4779,18,27,3,3,46,23,12,35,80,102,49,231,119,111,5,11,244,32,22,52,295,192,129,614,169,98,12,16,289,28,28,55,342,143,154,634,92,53,14,9,166,32,15,44,207,126,116,453,57,32,7,3,97,20,12,33,127,108,99,335,32,45,3,5,89,20,10,25,121,89,87,296,40,38,5,6,91,28,7,28,124,106,82,310,47,40,5,0,93,17,6,26,114,131,90,335,36,33,5,6,84,10,13,22,109,174,61,343,25,29,3,0,66,11,11,22,87,234,76,393,6,12,0,0,20,0,0,0
19799,0,0,0,0,0,0,0,0,0,7,0,6,5,0,0,0,3,0,0,0,3,10,0,12,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,15,4,13,6,0,3,0,13,0,0,0,13,38,4,54,0,0,0,0,3,0,0,0,7,0,0,11,0,0,4,0,4,0,0,0,4,0,0,3,6,0,0,0,7,0,0,0,7,0,0,8,4,0,3,0,10,0,0,0,10,3,5,8,0,0,0,0,4,0,0,0,4,0,0,3,0,3,6,0,5,0,0,0,5,0,0,10,3,0,4,0,6,0,0,0,6,0,0,10,6,5,0,0,11,0,0,0,11,6,3,25,4,0,3,3,8,0,0,0,8,11,4,21,0,4,0,0,3,0,0,0,7,17,0,28,0,3,3,0,7,0,0,0
2GMEL,34599,31107,3091,1148,69946,1207,1257,2461,72409,38523,4671,115602,16826,22716,2270,790,42599,495,778,1274,43867,56971,4703,105543,3968,8567,843,355,13734,47,178,230,13962,60966,4432,79364,693,2636,249,187,3763,15,44,58,3829,55738,4367,63931,294,1104,205,231,1839,28,37,68,1908,127367,16579,145854,443862,395013,41152,17342,897373,23819,29732,53551,950919,638743,84158,1673817,3243,40451,1559,1267,46524,1773,10741,12517,59041,67442,5794,132274,38874,55556,2909,2364,99702,5037,8442,13475,113175,42538,9289,165008,81388,38345,4930,2342,127005,5221,4205,9425,136438,35820,11691,183947,72423,43768,9245,1988,127429,4161,3554,7719,135152,40827,11133,187110,53844,48944,6463,1564,110818,3106,3430,6538,117351,37568,8645,163568,54375,53265,3157,1592,112383,3152,3709,6865,119244,33262,8016,160526,57898,51237,2549,1670,113351,2874,3123,5997,119345,31463,7831,158633,52258,42856,2626,1452,99190,2539,2352,4887,104082,31617,7202,142905,39836,37154,2773,1091,80858,1888,2025,3913,84773,40458,6890,132122,21106,26930,2268,746,51045,947,1401,2348,53391,55556,6229,115179,6352,13270,1070,421,21110,100,363,460
2RVIC,12320,14297,1673,419,28709,412,475,887,29595,15341,1690,46621,5884,9952,1230,340,17404,197,299,503,17906,25129,1873,44911,1591,3619,442,225,5869,15,56,68,5936,27673,1832,35441,505,1184,149,140,1978,4,18,28,2005,24593,1845,28436,324,593,135,175,1221,7,8,18,1235,55408,7135,63790,115888,144078,15170,5553,280699,6994,8093,15085,295784,236043,26644,558463,2113,15138,806,670,18722,859,2335,3197,21921,17675,2443,42041,10714,12876,1148,656,25393,1386,1275,2663,28054,7954,2603,38609,14210,10077,1766,425,26472,891,829,1714,28190,8569,2552,39309,10651,13285,2424,383,26747,703,798,1501,28246,10045,2581,40867,10130,15202,1552,394,27269,634,776,1411,28681,9179,2431,40283,13250,17279,1093,481,32111,804,886,1698,33805,8538,2734,45074,15949,17720,1101,484,35255,821,761,1583,36843,8593,3033,48461,16555,17301,1508,498,35859,776,669,1443,37308,10150,3236,50696,14043,16707,1728,523,33002,635,647,1283,34285,14428,3423,52138,7679,12541,1440,410,22070,395,607,1000,23070,23449,3573,50097,2472,5595,721,228,9019,30,115,146
29499,20,27,3,0,50,12,0,18,62,103,16,180,7,24,0,0,33,7,6,8,43,111,19,168,5,4,0,0,8,0,0,0,8,76,6,94,0,0,0,0,4,0,0,0,4,42,8,52,0,0,0,0,0,0,0,0,0,56,16,77,533,422,52,33,1038,185,113,294,1339,1299,502,3134,4,16,0,5,25,8,16,20,45,93,35,175,56,73,3,9,140,21,35,54,197,159,101,451,110,65,8,3,188,34,11,43,238,125,90,450,68,32,4,3,110,23,9,34,143,110,88,344,38,22,3,3,67,16,6,21,81,90,77,251,34,22,4,0,59,13,14,29,84,77,69,228,20,24,3,0,49,4,6,12,61,65,48,167,29,21,5,6,53,10,3,19,71,62,42,176,16,28,5,4,52,6,4,8,61,90,38,183,5,15,5,0,28,9,6,14,43,96,36,165,0,8,0,0,13,0,0,3
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,19692,14923,1648,539,36805,678,572,1255,38059,19131,2175,59362,10320,11038,1233,361,22948,250,390,640,23589,28578,2217,54378,2273,4166,399,157,7000,33,88,121,7118,30595,1845,39561,374,1164,108,78,1723,11,18,27,1752,25703,1779,29230,135,460,66,113,778,8,18,22,804,55615,7450,63872,246357,201200,22347,8118,478024,14541,15153,29692,507715,297528,39606,844852,3932,26526,973,769,32205,2040,6135,8173,40371,28471,3212,72056,24778,27334,1689,1007,54814,3428,3548,6974,61789,18415,5008,85210,36437,19152,2871,970,59434,2716,2129,4847,64281,16735,5471,86491,33039,22081,4604,807,60536,2146,1847,3994,64523,18081,5066,87677,28444,23869,2981,719,56009,1674,1728,3401,59409,16574,4058,80044,31807,25294,1568,776,59447,1851,1701,3550,62989,14986,4045,82020,33230,23459,1397,745,58830,1799,1378,3175,62008,13917,3938,79861,30065,19835,1559,657,52116,1493,1118,2608,54727,14740,3742,73211,22782,17185,1646,493,42105,1148,902,2049,44156,19498,3453,67105,12066,12381,1202,343,25994,625,718,1338,27333,28321,3285,58944,3468,6040,524,187,10212,50,169,228
3RQLD,20797,18424,2017,694,41929,936,825,1757,43693,23521,3325,70537,10711,12956,1384,556,25600,457,614,1077,26680,36360,3316,66354,2997,4991,508,266,8758,36,140,174,8933,40728,3024,52684,797,1613,165,149,2717,17,38,51,2773,33997,2958,39727,376,671,128,187,1361,11,18,29,1391,65260,10228,76883,230189,216896,21692,9511,478295,16368,15616,31987,510277,343519,54691,908484,5367,26967,1125,918,34380,2375,4906,7283,41666,26559,4610,72829,22803,20584,1576,916,45884,3073,2440,5518,51400,14591,5792,71790,27764,17870,2898,828,49365,2238,1785,4021,53387,16121,5997,75499,24110,22402,3619,769,50896,1908,1891,3798,54697,17842,5616,78161,23122,24700,2192,726,50746,1757,1799,3561,54307,16043,5121,75466,28881,27229,1539,958,58607,2021,1827,3853,62459,14974,5481,82913,32394,26171,1529,878,60967,2128,1607,3734,64698,14785,5815,85297,30700,24488,1915,776,57884,2101,1365,3464,61351,16924,5833,84103,24734,21958,1922,704,49324,1620,1315,2931,52250,23759,5755,81763,13578,15923,1561,529,31589,913,1069,1985,33567,34621,5344,73543,4476,7591,663,311,13046,86,237,318
