GCCSA_CODE_2021,C16_F_65_69_Tot_LF,C16_F_65_69_Not_LF,C16_F_65_69_LF_NS,C16_F_65_69_Tot,C16_F_70_74_Em_FT,C16_F_70_74_Em_PT,C16_F_70_74_Em_AFW,C16_F_70_74_Em_Hrs_NS,C16_F_70_74_Em_Tot,C16_F_70_74_Unem_Look_FT,C16_F_70_74_Unem_Look_PT,C16_F_70_74_Unem_Tot,C16_F_70_74_Tot_LF,C16_F_70_74_Not_LF,C16_F_70_74_LF_NS,C16_F_70_74_Tot,C16_F_75over_Em_FT,C16_F_75over_Em_PT,C16_F_75over_Emp_A_fr_wo,C16_F_75over_Em_Hou_wor_ns,C16_F_75over_Em_Tot,C16_F_75over_Unem_Lo_ft_wor,C16_F_75over_Unem_Lo_pt_wor,C16_F_75over_Unem_Tot,C16_F_75over_Tot_LF,C16_F_75over_N_lab_forc,C16_F_75over_LF_NS,C16_F_75over_Tot,C16_F_Tot_Em_FT,C16_F_Tot_Em_PT,C16_F_Tot_Em_AFW,C16_F_Tot_Em_Hrs_NS,C16_F_Tot_Em_Tot,C16_F_Tot_Unem_Look_FT,C16_F_Tot_Unem_Look_PT,C16_F_Tot_Unem_Tot,C16_F_Tot_Tot_labo_for,C16_F_Tot_Not_LF,C16_F_Tot_LF_NS,C16_F_Tot_Tot,C21_F_15_19_Em_FT,C21_F_15_19_Em_PT,C21_F_15_19_Em_AFW,C21_F_15_19_Em_Hrs_NS,C21_F_15_19_Em_Tot,C21_F_15_19_Unem_Look_FT,C21_F_15_19_Unem_Look_PT,C21_F_15_19_Unem_Tot,C21_F_15_19_Tot_LF,C21_F_15_19_Not_LF,C21_F_15_19_LF_NS,C21_F_15_19_Tot,C21_F_20_24_Em_FT,C21_F_20_24_Em_PT,C21_F_20_24_Em_AFW,C21_F_20_24_Em_Hrs_NS,C21_F_20_24_Em_Tot,C21_F_20_24_Unem_Look_FT,C21_F_20_24_Unem_Look_PT,C21_F_20_24_Unem_Tot,C21_F_20_24_Tot_LF,C21_F_20_24_Not_LF,C21_F_20_24_LF_NS,C21_F_20_24_Tot,C21_F_25_29_Em_FT,C21_F_25_29_Em_PT,C21_F_25_29_Em_AFW,C21_F_25_29_Em_Hrs_NS,C21_F_25_29_Em_Tot,C21_F_25_29_Unem_Look_FT,C21_F_25_29_Unem_Look_PT,C21_F_25_29_Unem_Tot,C21_F_25_29_Tot_LF,C21_F_25_29_Not_LF,C21_F_25_29_LF_NS,C21_F_25_29_Tot,C21_F_30_34_Em_FT,C21_F_30_34_Em_PT,C21_F_30_34_Em_AFW,C21_F_30_34_Em_Hrs_NS,C21_F_30_34_Em_Tot,C21_F_30_34_Unem_Look_FT,C21_F_30_34_Unem_Look_PT,C21_F_30_34_Unem_Tot,C21_F_30_34_Tot_LF,C21_F_30_34_Not_LF,C21_F_30_34_LF_NS,C21_F_30_34_Tot,C21_F_35_39_Em_FT,C21_F_35_39_Em_PT,C21_F_35_39_Em_AFW,C21_F_35_39_Em_Hrs_NS,C21_F_35_39_Em_Tot,C21_F_35_39_Unem_Look_FT,C21_F_35_39_Unem_Look_PT,C21_F_35_39_Unem_Tot,C21_F_35_39_Tot_LF,C21_F_35_39_Not_LF,C21_F_35_39_LF_NS,C21_F_35_39_Tot,C21_F_40_44_Em_FT,C21_F_40_44_Em_PT,C21_F_40_44_Em_AFW,C21_F_40_44_Em_Hrs_NS,C21_F_40_44_Em_Tot,C21_F_40_44_Unem_Look_FT,C21_F_40_44_Unem_Look_PT,C21_F_40_44_Unem_Tot,C21_F_40_44_Tot_LF,C21_F_40_44_Not_LF,C21_F_40_44_LF_NS,C21_F_40_44_Tot,C21_F_45_49_Em_FT,C21_F_45_49_Em_PT,C21_F_45_49_Em_AFW,C21_F_45_49_Em_Hrs_NS,C21_F_45_49_Em_Tot,C21_F_45_49_Unem_Look_FT,C21_F_45_49_Unem_Look_PT,C21_F_45_49_Unem_Tot,C21_F_45_49_Tot_LF,C21_F_45_49_Not_LF,C21_F_45_49_LF_NS,C21_F_45_49_Tot,C21_F_50_54_Em_FT,C21_F_50_54_Em_PT,C21_F_50_54_Em_AFW,C21_F_50_54_Em_Hrs_NS,C21_F_50_54_Em_Tot,C21_F_50_54_Unem_Look_FT,C21_F_50_54_Unem_Look_PT,C21_F_50_54_Unem_Tot,C21_F_50_54_Tot_LF,C21_F_50_54_Not_LF,C21_F_50_54_LF_NS,C21_F_50_54_Tot,C21_F_55_59_Em_FT,C21_F_55_59_Em_PT,C21_F_55_59_Em_AFW,C21_F_55_59_Em_Hrs_NS,C21_F_55_59_Em_Tot,C21_F_55_59_Unem_Look_FT,C21_F_55_59_Unem_Look_PT,C21_F_55_59_Unem_Tot,C21_F_55_59_Tot_LF,C21_F_55_59_Not_LF,C21_F_55_59_LF_NS,C21_F_55_59_Tot,C21_F_60_64_Em_FT,C21_F_60_64_Em_PT,C21_F_60_64_Em_AFW,C21_F_60_64_Em_Hrs_NS,C21_F_60_64_Em_Tot,C21_F_60_64_Unem_Look_FT,C21_F_60_64_Unem_Look_PT,C21_F_60_64_Unem_Tot,C21_F_60_64_Tot_LF,C21_F_60_64_Not_LF,C21_F_60_64_LF_NS,C21_F_60_64_Tot,C21_F_65_69_Em_FT,C21_F_65_69_Em_PT,C21_F_65_69_Em_AFW,C21_F_65_69_Em_Hrs_NS,C21_F_65_69_Em_Tot,C21_F_65_69_Unem_Look_FT,C21_F_65_69_Unem_Look_PT,C21_F_65_69_Unem_Tot,C21_F_65_69_Tot_LF,C21_F_65_69_Not_LF,C21_F_65_69_LF_NS,C21_F_65_69_Tot,C21_F_70_74_Em_FT,C21_F_70_74_Em_PT,C21_F_70_74_Em_AFW,C21_F_70_74_Em_Hrs_NS,C21_F_70_74_Em_Tot,C21_F_70_74_Unem_Look_FT,C21_F_70_74_Unem_Look_PT,C21_F_70_74_Unem_Tot,C21_F_70_74_Tot_LF,C21_F_70_74_Not_LF,C21_F_70_74_LF_NS,C21_F_70_74_Tot,C21_F_75over_Em_FT,C21_F_75over_Em_PT,C21_F_75over_Emp_Aw_fr_w,C21_F_75over_Emp_Hou_w_ns,C21_F_75over_Em_Tot,C21_F_75over_Unem_Lo_ft_wor,C21_F_75over_Unem_Lo_pt_wor,C21_F_75over_Unemp_Tot,C21_F_75over_Tot_lab_for,C21_F_75over_N_lab_forc,C21_F_75over_LF_NS,C21_F_75over_yr_Tot,C21_F_Tot_Em_FT,C21_F_Tot_Em_PT,C21_F_Tot_Em_AFW,C21_F_Tot_Em_Hrs_NS
1GSYD,24374,79555,6489,110425,1903,5241,384,232,7759,29,133,162,7924,69288,5437,82645,609,2126,179,298,3215,50,87,135,3357,151652,17610,172611,570101,438791,40252,18636,1067782,30299,40350,70649,1138436,751075,119869,2009384,4306,31627,13477,732,50142,1201,5930,7124,57272,79413,5851,142533,42814,46971,18383,2167,110339,3636,5017,8648,118986,38971,8611,166569,86836,37553,14199,2747,141341,4009,2987,6993,148336,36362,11813,196510,84698,43338,18905,2755,149700,3670,2965,6633,156332,45591,11765,213685,78463,49522,16329,2254,146571,3435,2780,6212,152785,46047,10662,209496,72265,45847,10064,1541,129719,2771,2377,5153,134866,39551,8341,182755,71098,42903,9329,1354,124681,2752,2132,4884,129564,38277,7313,175147,62905,39502,9499,1224,113132,2507,1944,4452,117582,41088,6566,165240,48964,35586,9006,1031,94588,2018,1887,3898,98487,49496,6031,154011,29185,28757,7478,718,66140,1360,1770,3128,69267,67732,5488,142487,10536,15248,3660,371,29821,297,608,907,30723,87383,5232,123339,2690,6488,1442,216,10828,38,178,214,11047,90782,5432,107264,709,2836,648,257,4448,25,61,88,4544,171807,22579,198924,595468,426181,132432,17364
1RNSW,15080,63974,6268,85313,1362,3220,322,263,5172,18,61,82,5252,56805,5570,67629,803,1532,191,462,2992,31,35,65,3053,114120,17975,135146,234165,263915,24515,9542,532139,16318,18916,35238,567378,457950,80319,1105645,5903,30254,4031,959,41146,1193,3623,4816,45961,28169,4807,78934,22697,25091,4131,1101,53016,1691,1914,3607,56628,12998,4762,74384,30740,21713,5399,1122,58981,1304,1228,2533,61517,14067,5210,80789,27237,27911,6638,1058,62849,1043,1208,2256,65103,15418,5316,85838,27480,30184,4638,871,63174,950,1171,2119,65294,14497,5167,84966,29941,27869,2813,750,61371,968,1053,2021,63395,12798,4821,81022,35366,27808,2675,783,66632,1108,1022,2128,68757,14154,4933,87841,34581,27916,3192,793,66480,983,1093,2075,68555,17638,4695,90890,28545,28809,3647,700,61698,896,1108,2004,63706,26576,5160,95443,18371,25638,3334,627,47968,657,1214,1868,49841,45618,5010,100460,6391,12492,1672,332,20885,130,383,514,21403,66057,4978,92442,1883,4998,550,248,7672,17,99,115,7788,71339,5140,84267,870,2297,304,403,3878,15,44,61,3944,133364,16664,153972,270003,292979,43018,9762
19499,26,235,66,327,4,3,0,0,6,0,0,0,5,119,24,152,0,0,0,0,4,0,0,0,3,123,40,169,656,520,69,51,1290,233,128,353,1651,1880,1060,4583,9,48,6,0,66,9,19,27,95,105,87,279,48,50,21,0,122,16,19,37,154,130,134,418,95,93,15,3,209,14,18,35,241,126,160,533,70,68,26,3,163,15,9,27,187,135,166,495,52,33,11,5,102,21,12,37,134,111,145,392,43,34,6,4,97,20,8,30,123,97,138,357,44,33,7,4,84,15,3,18,107,116,113,332,45,46,9,4,101,7,11,18,116,127,86,333,37,46,11,0,95,5,8,14,107,161,93,359,18,36,8,0,61,6,8,15,77,207,59,339,8,18,3,0,29,0,4,6,32,153,51,236,7,3,0,0,7,0,0,0,7,147,17,163,0,0,0,0,0,0,0,0,0,102,32,137,470,506,136,20
19799,7,25,8,41,0,0,0,0,3,0,0,0,3,20,3,27,0,0,0,0,0,0,0,0,0,19,9,32,23,20,24,0,74,0,0,5,71,110,40,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,21573,75775,6258,103600,1376,4399,374,219,6376,35,115,142,6516,65750,5298,77568,513,1731,183,326,2750,37,79,114,2867,144480,16563,163910,483492,457898,40101,17052,998547,30861,43543,74404,1072949,702546,110851,1886349,2876,44455,6609,776,54717,1135,10269,11400,66113,62571,5150,133838,37877,64207,8735,2276,113085,3740,6231,9969,123059,29531,7503,160090,86222,46481,8213,2574,143498,4086,3284,7367,150867,28612,10445,189925,84249,52682,13603,2511,153039,3703,3202,6904,159948,37874,10355,208174,73849,60226,10887,2035,146995,3031,3264,6298,153299,38451,9222,200968,65891,53675,5184,1476,126223,2566,2768,5335,131551,31584,7104,170237,66147,50636,4104,1352,122241,2481,2528,5005,127248,30077,6496,163821,61551,47640,4426,1261,114881,2242,2237,4479,119357,33629,5949,158943,45934,41268,4398,976,92582,1841,1967,3803,96388,40810,5229,142429,26503,32896,3966,665,64026,1118,1730,2848,66875,59283,4772,130934,8951,16495,2101,337,27882,251,586,843,28724,80110,4620,113462,2105,6697,777,222,9798,24,160,184,9978,86531,4862,101370,548,2593,411,281,3827,19,70,86,3912,169309,15911,189135,562704,519954,73403,16737
2RVIC,9166,34762,3642,47570,684,1878,217,177,2958,11,37,45,3003,29663,3159,35831,462,960,143,229,1792,24,27,54,1846,61128,9019,71995,118912,156565,15638,5562,296676,7967,9771,17737,314417,244132,44423,602974,2403,16639,2324,586,21950,431,1975,2410,24360,15787,2474,42621,11544,14624,2006,634,28806,738,896,1628,30435,6552,2403,39392,17552,12942,2857,625,33976,662,657,1316,35292,7458,2914,45675,14354,16218,3823,610,35002,546,619,1173,36171,8933,2750,47849,13662,18702,2649,532,35548,481,602,1079,36633,8703,2930,48263,15295,17382,1529,467,34677,465,565,1029,35708,7414,2702,45823,18093,17388,1454,539,37480,531,572,1103,38579,7831,2758,49169,18194,17743,1837,530,38299,533,581,1116,39414,9982,2752,52146,15339,18237,2341,445,36360,478,614,1094,37460,14299,2890,54645,10043,16133,2222,404,28800,356,641,1002,29802,24117,2958,56876,3517,7928,1132,265,12846,74,205,274,13121,37431,3010,53567,1058,3036,373,194,4664,11,46,64,4720,40157,3025,47905,499,1304,204,296,2298,7,42,51,2354,71799,8968,83120,141562,178279,24741,6119
29499,16,103,21,138,0,0,0,0,0,0,0,0,0,52,9,59,0,0,0,0,3,0,0,0,3,62,13,79,383,323,46,30,786,136,114,248,1043,1176,669,2881,9,22,3,0,37,7,26,32,62,83,79,229,35,59,11,0,109,15,13,23,133,102,92,321,67,66,15,6,153,18,15,34,189,122,145,450,56,61,9,3,134,14,4,18,149,115,160,425,35,32,4,0,81,13,9,23,102,125,181,416,23,18,8,0,53,9,4,18,65,92,158,321,19,20,3,0,41,8,5,10,50,96,97,238,20,26,5,0,59,3,6,4,63,97,82,242,22,26,3,0,55,9,3,10,67,89,58,212,8,26,4,0,45,8,3,8,47,111,58,217,0,0,0,0,6,4,5,7,14,90,41,141,0,0,0,0,3,0,0,3,6,55,15,74,0,0,0,4,6,0,0,0,6,52,17,81,302,367,85,16
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,10439,39718,3162,53309,694,1998,135,111,2938,18,54,74,3008,33192,2557,38756,212,705,64,150,1126,28,22,52,1179,62265,8886,72328,260958,225859,21223,7723,515760,19015,21444,40456,556216,324915,55882,937015,3213,26646,7273,623,37766,1205,5299,6503,44269,29403,3108,76779,24079,29081,8091,1186,62434,2431,2729,5167,67599,14774,4388,86761,38804,22248,6979,1232,69262,1995,1741,3739,73000,15053,5282,93335,37064,25216,8385,1156,71828,1728,1533,3259,75084,17024,4790,96894,36510,28444,6698,922,72572,1476,1570,3051,75622,17010,4511,97141,35786,25702,4256,698,66440,1366,1294,2660,69102,14469,3494,87059,37590,23696,4071,660,66018,1425,1127,2549,68570,14588,3327,86490,34766,21571,4260,615,61211,1189,1018,2211,63419,15648,2951,82018,26100,18823,3929,506,49355,960,968,1922,51285,19820,2594,73701,14735,14895,3282,321,33235,670,879,1545,34782,30321,2348,67444,4636,7144,1454,161,13397,140,299,438,13840,42970,2263,59069,1050,2831,521,86,4488,15,70,90,4577,46178,2287,53049,288,1096,178,141,1699,8,35,41,1741,79176,7922,88837,294634,247393,59372,8314
3RQLD,13360,50024,5279,68662,1270,2782,234,203,4489,21,89,111,4604,43444,4420,52467,579,1169,132,298,2180,24,25,55,2235,78344,11781,92356,239779,239837,20908,8816,509339,20265,20371,40635,549980,368034,76844,994851,5247,30096,4339,917,40600,1246,4049,5299,45893,25317,4704,75915,22804,23060,4701,1220,51782,1807,1857,3661,55445,12363,5789,73598,30059,21202,5452,1261,57975,1528,1365,2893,60869,13854,6813,81532,27412,25287,6149,1221,60071,1329,1397,2729,62798,15376,6352,84526,28536,28811,4656,1013,63024,1119,1363,2484,65503,14878,5991,86376,30420,26904,3168,844,61337,1179,1266,2442,63777,12935,5237,81953,35012,26622,3276,860,65776,1307,1194,2499,68274,13625,5529,87428,34062,25431,3756,884,64132,1278,1153,2430,66561,16531,5372,88462,27591,24684,3934,716,56920,1202,1275,2476,59388,23438,5335,88162,17245,20434,3301,576,41548,876,1246,2126,43678,37215,4770,85657,6154,10396,1510,299,18359,202,413,605,18962,53027,4305,76297,1702,4160,531,213,6607,23,108,133,6734,57665,4374,68775,718,1779,251,312,3065,18,44,61,3120,98559,12345,114029,266968,268864,45016,10331
39499,25,446,71,538,0,0,0,0,3,0,0,0,4,218,35,257,3,0,0,0,4,0,0,0,4,128,41,173,643,550,92,56,1341,266,104,372,1711,2513,954,5178,4,38,16,3,69,18,20,42,113,117,58,291,70,75,18,7,169,29,15,51,224,143,127,493,165,109,29,11,307,30,18,50,359,190,215,762,100,85,22,6,211,24,16,39,245,196,141,582,58,74,21,5,145,22,9,31,178,150,130,454,43,55,23,4,127,11,14,24,154,143,131,425,35,62,10,3,103,22,12,39,141,152,110,408,54,49,21,7,124,23,15,35,165,208,110,484,45,54,15,4,117,12,21,28,147,272,98,521,30,39,14,5,91,13,12,27,115,441,93,652,9,16,3,0,33,5,8,11,44,415,74,535,0,0,0,0,7,0,0,0,7,294,35,330,0,3,0,0,3,0,0,0,3,152,31,186,602,658,205,44
