GCCSA_CODE_2021,C16_P_25_29_Em_FT,C16_P_25_29_Em_PT,C16_P_25_29_Em_AFW,C16_P_25_29_Em_Hrs_NS,C16_P_25_29_Em_Tot,C16_P_25_29_Unem_Look_FT,C16_P_25_29_Unem_Look_PT,C16_P_25_29_Unem_Tot,C16_P_25_29_Tot_LF,C16_P_25_29_Not_LF,C16_P_25_29_LF_NS,C16_P_25_29_Tot,C16_P_30_34_Em_FT,C16_P_30_34_Em_PT,C16_P_30_34_Em_AFW,C16_P_30_34_Em_Hrs_NS,C16_P_30_34_Em_Tot,C16_P_30_34_Unem_Look_FT,C16_P_30_34_Unem_Look_PT,C16_P_30_34_Unem_Tot,C16_P_30_34_Tot_LF,C16_P_30_34_Not_LF,C16_P_30_34_LF_NS,C16_P_30_34_Tot,C16_P_35_39_Em_FT,C16_P_35_39_Em_PT,C16_P_35_39_Em_AFW,C16_P_35_39_Em_Hrs_NS,C16_P_35_39_Em_Tot,C16_P_35_39_Unem_Look_FT,C16_P_35_39_Unem_Look_PT,C16_P_35_39_Unem_Tot,C16_P_35_39_Tot_LF,C16_P_35_39_Not_LF,C16_P_35_39_LF_NS,C16_P_35_39_Tot,C16_P_40_44_Em_FT,C16_P_40_44_Em_PT,C16_P_40_44_Em_AFW,C16_P_40_44_Em_Hrs_NS,C16_P_40_44_Em_Tot,C16_P_40_44_Unem_Look_FT,C16_P_40_44_Unem_Look_PT,C16_P_40_44_Unem_Tot,C16_P_40_44_Tot_LF,C16_P_40_44_Not_LF,C16_P_40_44_LF_NS,C16_P_40_44_Tot,C16_P_45_49_Em_FT,C16_P_45_49_Em_PT,C16_P_45_49_Em_AFW,C16_P_45_49_Em_Hrs_NS,C16_P_45_49_Em_Tot,C16_P_45_49_Unem_Look_FT,C16_P_45_49_Unem_Look_PT,C16_P_45_49_Unem_Tot,C16_P_45_49_Tot_LF,C16_P_45_49_Not_LF,C16_P_45_49_LF_NS,C16_P_45_49_Tot,C16_P_50_54_Em_FT,C16_P_50_54_Em_PT,C16_P_50_54_Em_AFW,C16_P_50_54_Em_Hrs_NS,C16_P_50_54_Em_Tot,C16_P_50_54_Unem_Look_FT,C16_P_50_54_Unem_Look_PT,C16_P_50_54_Unem_Tot,C16_P_50_54_Tot_LF,C16_P_50_54_Not_LF,C16_P_50_54_LF_NS,C16_P_50_54_Tot,C16_P_55_59_Em_FT,C16_P_55_59_Em_PT,C16_P_55_59_Em_AFW,C16_P_55_59_Em_Hrs_NS,C16_P_55_59_Em_Tot,C16_P_55_59_Unem_Look_FT,C16_P_55_59_Unem_Look_PT,C16_P_55_59_Unem_Tot,C16_P_55_59_Tot_LF,C16_P_55_59_Not_LF,C16_P_55_59_LF_NS,C16_P_55_59_Tot,C16_P_60_64_Em_FT,C16_P_60_64_Em_PT,C16_P_60_64_Em_AFW,C16_P_60_64_Em_Hrs_NS,C16_P_60_64_Em_Tot,C16_P_60_64_Unem_Look_FT,C16_P_60_64_Unem_Look_PT,C16_P_60_64_Unem_Tot,C16_P_60_64_Tot_LF,C16_P_60_64_Not_LF,C16_P_60_64_LF_NS,C16_P_60_64_Tot,C16_P_65_69_Em_FT,C16_P_65_69_Em_PT,C16_P_65_69_Em_AFW,C16_P_65_69_Em_Hrs_NS,C16_P_65_69_Em_Tot,C16_P_65_69_Unem_Look_FT,C16_P_65_69_Unem_Look_PT,C16_P_65_69_Unem_Tot,C16_P_65_69_Tot_LF,C16_P_65_69_Not_LF,C16_P_65_69_LF_NS,C16_P_65_69_Tot,C16_P_70_74_Em_FT,C16_P_70_74_Em_PT,C16_P_70_74_Em_AFW,C16_P_70_74_Em_Hrs_NS,C16_P_70_74_Em_Tot,C16_P_70_74_Unem_Look_FT,C16_P_70_74_Unem_Look_PT,C16_P_70_74_Unem_Tot,C16_P_70_74_Tot_LF,C16_P_70_74_Not_LF,C16_P_70_74_LF_NS,C16_P_70_74_Tot,C16_P_75over_Em_FT,C16_P_75over_Em_PT,C16_P_75over_Emp_Aw_fr_w,C16_P_75over_Emp_Hou_w_ns,C16_P_75over_Em_Tot,C16_P_75over_Unem_Lo_ft_wor,C16_P_75over_Unem_Lo_pt_wor,C16_P_75over_Unemp_Tot,C16_P_75over_Tot_lab_for,C16_P_75over_N_lab_forc,C16_P_75over_LF_NS,C16_P_75over_Tot,C16_P_Tot_Em_FT,C16_P_Tot_Em_PT,C16_P_Tot_Em_AFW,C16_P_Tot_Em_Hrs_NS,C16_P_Tot_Em_Tot,C16_P_Tot_Unem_Look_FT,C16_P_Tot_Unem_Look_PT,C16_P_Tot_Unem_Tot,C16_P_Tot_Tot_labo_for,C16_P_Tot_Not_LF,C16_P_Tot_LF_NS,C16_P_Tot_Tot,C21_P_15_19_Em_FT,C21_P_15_19_Em_PT,C21_P_15_19_Em_AFW,C21_P_15_19_Em_Hrs_NS,C21_P_15_19_Em_Tot,C21_P_15_19_Unem_Look_FT,C21_P_15_19_Unem_Look_PT,C21_P_15_19_Unem_Tot,C21_P_15_19_Tot_LF,C21_P_15_19_Not_LF,C21_P_15_19_LF_NS,C21_P_15_19_Tot,C21_P_20_24_Em_FT,C21_P_20_24_Em_PT,C21_P_20_24_Em_AFW,C21_P_20_24_Em_Hrs_NS,C21_P_20_24_Em_Tot,C21_P_20_24_Unem_Look_FT,C21_P_20_24_Unem_Look_PT,C21_P_20_24_Unem_Tot,C21_P_20_24_Tot_LF,C21_P_20_24_Not_LF,C21_P_20_24_LF_NS,C21_P_20_24_Tot,C21_P_25_29_Em_FT,C21_P_25_29_Em_PT,C21_P_25_29_Em_AFW,C21_P_25_29_Em_Hrs_NS,C21_P_25_29_Em_Tot,C21_P_25_29_Unem_Look_FT,C21_P_25_29_Unem_Look_PT,C21_P_25_29_Unem_Tot,C21_P_25_29_Tot_LF,C21_P_25_29_Not_LF,C21_P_25_29_LF_NS,C21_P_25_29_Tot,C21_P_30_34_Em_FT,C21_P_30_34_Em_PT,C21_P_30_34_Em_AFW,C21_P_30_34_Em_Hrs_NS,C21_P_30_34_Em_Tot,C21_P_30_34_Unem_Look_FT,C21_P_30_34_Unem_Look_PT,C21_P_30_34_Unem_Tot,C21_P_30_34_Tot_LF,C21_P_30_34_Not_LF,C21_P_30_34_LF_NS,C21_P_30_34_Tot,C21_P_35_39_Em_FT,C21_P_35_39_Em_PT,C21_P_35_39_Em_AFW,C21_P_35_39_Em_Hrs_NS,C21_P_35_39_Em_Tot,C21_P_35_39_Unem_Look_FT,C21_P_35_39_Unem_Look_PT,C21_P_35_39_Unem_Tot
1GSYD,198634,64684,7600,6318,277236,11184,6973,18154,295395,59409,26650,381453,212447,63559,12145,5816,293965,9375,5101,14478,308443,59014,25491,392946,190009,64299,8910,4710,267929,7928,4686,12615,280539,54195,20727,355461,184173,65966,5361,4176,259681,7343,4662,12002,271687,50610,18279,340581,173087,61345,4303,4099,242838,7343,4144,11488,254322,50328,17109,321766,159095,56401,4813,3779,224085,6916,3782,10699,234792,54928,16106,305816,127464,51494,5171,2896,187019,5734,3782,9512,196535,69956,15069,281554,72520,43103,4174,2012,121802,3925,3255,7180,128981,100211,13264,242452,27208,26882,2303,1030,57423,630,1056,1684,59110,141828,12588,213529,7110,11919,841,496,20369,149,403,552,20915,127598,10449,158956,2617,6024,481,596,9725,123,218,340,10065,261287,28721,300077,1480218,682604,65070,44830,2272715,77148,69041,146187,2418898,1266781,238020,3923699,13884,57965,24837,1606,98284,3307,11941,15247,113531,168796,12438,294764,90477,89561,36776,5097,221909,9914,10768,20685,242589,81732,18740,343064,178808,70841,28601,6606,284859,10703,5928,16626,301489,67310,24732,393535,196119,71926,32729,6617,307390,9150,4581,13729,321119,72436,24229,417779,199353,74845,28641,5522,308367,8454,3973,12421
1RNSW,67564,27680,4441,1995,101678,5196,2629,7822,109503,24870,9763,144133,66738,31340,5546,1857,105485,4125,2305,6431,111913,24909,9429,146252,65983,33295,3773,1809,104856,3940,2112,6054,110912,23610,8780,143293,78030,37115,3138,1972,120253,4160,2166,6327,126582,24923,10119,161625,82918,37186,3320,2057,125485,4318,2018,6334,131818,26927,11037,169779,82681,38306,4029,1999,127022,4188,2025,6215,133232,33621,11922,178772,72910,38865,5020,1800,118601,3770,2251,6023,124625,49993,12667,187283,42450,31814,4033,1377,79678,2684,2147,4828,84507,79817,12353,176683,15566,17374,1940,870,35755,273,591,866,36617,120802,12669,170094,5131,7563,745,583,14015,79,212,287,14302,107772,11066,133138,3285,4365,523,979,9146,91,117,206,9359,200906,29863,240131,652283,387476,42393,22016,1104163,46138,32281,78415,1182577,817220,158475,2158269,19702,52438,7014,1932,81082,3312,7100,10415,91498,60985,10116,162601,56536,42252,7017,2542,108351,5061,3783,8841,117188,24909,10195,152295,75948,34113,7920,2633,120614,4095,2235,6329,126941,23607,10770,161317,77306,38494,9118,2456,127372,3088,1871,4960,132336,24001,10872,167210,78667,39930,7010,2093,127701,2702,1712,4415
19499,429,174,20,33,660,96,43,147,807,310,442,1561,275,117,23,16,431,105,28,134,561,261,317,1139,223,86,7,15,331,81,20,105,431,232,299,959,188,83,10,14,299,50,10,66,364,207,363,938,155,78,8,9,246,68,12,84,331,253,295,878,138,90,17,11,255,51,12,68,316,283,319,920,124,76,16,6,222,48,20,60,291,329,236,857,72,64,13,5,145,32,17,50,199,459,211,866,29,30,6,0,69,5,6,6,76,532,168,781,5,7,0,0,15,0,0,3,24,319,75,417,3,4,0,4,10,0,0,0,9,254,94,358,1976,1048,146,156,3327,701,238,939,4275,4059,3215,11549,31,66,17,6,123,22,26,46,169,186,175,532,112,97,24,10,245,50,41,86,336,224,266,829,226,153,40,11,430,50,27,79,517,233,372,1118,185,137,52,10,381,45,24,72,449,252,369,1068,157,78,27,9,269,57,13,74
19799,6,0,0,0,11,0,0,0,11,0,0,17,8,0,3,0,9,0,0,0,9,4,3,19,3,0,3,0,6,0,0,0,6,0,0,7,5,3,9,0,18,0,0,0,18,0,4,24,5,0,3,0,11,0,0,0,11,3,0,16,12,5,6,0,18,0,0,0,18,6,3,36,5,0,5,4,12,0,0,0,12,17,8,35,4,7,5,0,12,0,0,0,13,24,5,45,0,6,3,0,9,0,0,0,9,45,17,64,0,0,0,0,4,0,0,0,4,29,6,40,0,0,0,0,0,0,0,0,3,34,20,53,47,27,44,8,130,3,3,3,133,184,62,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,183544,66506,7339,5772,263165,12633,7301,19935,283103,55993,23337,362435,194419,63865,12094,5046,275419,9906,5035,14936,290356,54907,22649,367915,166825,64896,8914,4075,244709,8027,4492,12518,257225,50080,18013,325322,160932,68170,5421,3767,238300,7834,4670,12502,250802,46469,16491,313771,159443,66123,4688,3804,234054,7452,4043,11495,245554,46241,15789,307587,141543,57089,4881,3335,206848,6788,3320,10111,216954,47949,14828,279732,111961,51920,5184,2600,171666,5510,3136,8652,180316,61793,13713,255821,64066,42798,4449,1784,113101,3633,2734,6367,119469,89330,12286,221079,22563,25499,2261,962,51286,562,972,1530,52818,132202,11981,197002,5770,10584,852,528,17727,121,367,492,18222,119150,9919,147282,2322,5167,475,665,8628,87,179,262,8896,248821,27486,285205,1315640,695178,64513,40160,2115493,79708,73915,153627,2269121,1179144,217247,3665512,12937,78137,11506,1627,104206,3027,20341,23372,127580,136422,10699,274698,92307,116253,15108,5156,228826,10036,12835,22874,251692,60554,16291,328543,192502,83509,12999,6572,295578,10685,6126,16810,312389,48225,22523,383135,211865,80389,18559,6164,316980,8793,4757,13552,330530,53916,21107,405556,206474,84308,15244,5202,311223,7604,4461,12065
2RVIC,37521,14764,2505,1113,55905,2672,1279,3949,59855,12735,5255,77839,35465,17158,3224,1006,56863,2120,1094,3213,60076,13933,5145,79157,34724,18885,2375,966,56953,1907,1035,2935,59887,13301,4819,78018,40555,21539,1992,1121,65205,2060,1202,3267,68463,13512,5545,87524,44552,22314,2075,1142,70091,2160,1049,3211,73302,14368,6273,93935,45101,22457,2785,1169,71518,2134,993,3126,74650,16947,6588,98181,40055,23006,3316,1115,67482,1996,1081,3080,70561,23941,6862,101367,24889,19924,2980,905,48704,1487,1156,2648,51345,39885,7133,98369,9095,10900,1544,517,22062,127,311,441,22502,64230,7352,94090,2935,4404,542,379,8253,27,118,144,8397,56131,6220,70744,2018,2746,383,551,5697,50,53,99,5798,106594,15238,127634,353706,225059,27006,12815,618584,23012,16218,39222,657811,428696,86842,1173346,9222,29128,3972,1153,43470,1300,3942,5242,48713,34197,5135,88042,30974,23551,3309,1401,59238,2396,1798,4195,63432,12503,5187,81124,44550,19728,3984,1529,69793,2106,1227,3333,73128,12390,5956,91470,43651,21667,5024,1409,71756,1601,956,2561,74317,13546,5644,93507,42872,23965,3782,1271,71885,1363,872,2237
29499,270,127,14,13,426,71,33,110,532,230,236,988,212,63,15,11,299,76,20,90,392,217,243,855,146,47,7,9,215,45,16,58,276,171,245,691,103,41,14,12,171,38,18,56,224,142,234,599,85,53,13,10,163,37,14,51,214,132,171,523,87,32,5,11,136,39,8,40,174,125,148,455,68,47,9,4,123,16,11,21,149,161,112,422,39,39,9,0,86,20,6,29,119,176,93,393,5,18,4,0,25,6,0,4,31,224,50,313,9,0,0,0,11,0,0,6,16,128,29,174,5,0,0,0,8,0,0,0,8,123,25,162,1196,641,109,84,2028,411,202,615,2647,2293,1886,6821,25,44,9,6,82,18,29,45,130,165,172,459,91,99,21,7,217,41,31,68,282,173,214,671,169,120,23,6,315,45,25,70,388,203,332,928,153,97,25,8,286,44,14,61,342,202,351,892,119,57,13,5,192,47,10,61
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,3,0,0,3,7,0,0,0,7,0,0,0,7,0,0,7,7,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,24,0,0,0,24,0,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
3GBRI,85509,31756,4220,2353,123837,6645,3468,10120,133952,25789,10917,170663,89516,31203,6097,2072,128890,5326,2637,7961,136850,25303,10417,172567,81992,31243,4222,1796,119256,4279,2251,6532,125787,22967,8570,157316,86363,32511,2841,1821,123542,4493,2214,6707,130247,21844,8524,160612,85016,30588,2653,1726,119989,4319,1812,6130,126118,21255,8493,155861,75855,26531,2919,1398,106697,3928,1532,5462,112164,23195,7839,143194,59235,24117,3093,1122,87574,3364,1450,4813,92386,31017,7109,130517,34264,19449,2443,763,56918,2188,1381,3562,60483,47216,6576,114275,11440,11312,1099,407,24259,298,508,804,25063,71821,6234,103116,2746,4494,337,220,7795,74,177,258,8049,62031,5011,75091,986,2044,150,312,3501,65,64,132,3626,108068,14161,125854,681705,339298,34815,17963,1073783,49161,36486,85643,1159426,556411,110567,1826399,10917,47549,11774,1208,71448,3239,10889,14128,85572,65129,6416,157117,57105,51617,13291,2662,124682,6669,5611,12283,136968,28445,9227,174643,88813,37702,10718,2902,140130,5540,3081,8621,148748,25324,10937,185017,94758,37682,11874,2721,147030,4337,2303,6642,153670,25286,10096,189055,98126,39301,9738,2244,149402,3738,2168,5904
3RQLD,70314,27089,4324,2053,103786,6214,2748,8963,112748,23080,12908,148736,71291,29864,5250,1948,108358,5062,2543,7608,115961,24115,12347,152425,69313,31636,3716,1858,106514,4656,2294,6951,113463,22461,11229,147154,79334,34715,3177,2134,119361,5115,2412,7529,126892,22632,12017,161536,83305,34176,3225,2031,122734,5264,2118,7381,130113,23552,12688,166353,78465,32875,3768,1787,116898,5420,1930,7348,124246,27686,12670,164606,65605,31051,4077,1560,102300,4783,2083,6871,109164,39022,12393,160584,39701,25270,3189,1209,69371,3482,2000,5486,74857,59153,11096,145106,14770,14434,1490,719,31415,441,675,1115,32528,94343,10928,137806,4633,6274,559,426,11893,109,259,369,12260,83458,8932,104641,2405,3143,330,620,6500,92,124,211,6711,142063,20274,169052,649704,351456,37979,20382,1059524,55618,33414,89032,1148559,644432,159269,1952261,16536,52777,7340,1829,78477,3542,8268,11809,90285,55593,9950,155824,55963,38247,7484,2799,104482,5254,3636,8898,113381,22040,12728,148151,73627,32868,8235,2992,117720,4413,2461,6874,124603,21714,14930,161241,74685,35099,8935,2832,121550,3456,2083,5537,127090,22483,14136,163714,78576,37824,7277,2417,126090,3018,1904,4921
