GCCSA_CODE_2021,Ag_forest_fish_C11_M,Ag_forest_fish_C11_F,Ag_forest_fish_C11_P,Ag_forest_fish_C16_M,Ag_forest_fish_C16_F,Ag_forest_fish_C16_P,Ag_forest_fish_C21_M,Ag_forest_fish_C21_F,Ag_forest_fish_C21_P,Mining_C11_M,Mining_C11_F,Mining_C11_P,Mining_C16_M,Mining_C16_F,Mining_C16_P,Mining_C21_M,Mining_C21_F,Mining_C21_P,Manuf_C11_M,Manuf_C11_F,Manuf_C11_P,Manuf_C16_M,Manuf_C16_F,Manuf_C16_P,Manuf_C21_M,Manuf_C21_F,Manuf_C21_P,Ele_gas_wat_was_ser_C11_Cen_M,Ele_gas_wat_was_ser_C11_Cen_F,Ele_gas_wat_was_ser_C11_Cen_P,Ele_gas_wat_was_ser_C16_Cen_M,Ele_gas_wat_was_ser_C16_Cen_F,Ele_gas_wat_was_ser_C16_Cen_P,Ele_gas_wat_was_ser_C21_Cen_M,Ele_gas_wat_was_ser_C21_Cen_F,Ele_gas_wat_was_ser_C21_Cen_P,Constr_C11_M,Constr_C11_F,Constr_C11_P,Constr_C16_M,Constr_C16_F,Constr_C16_P,Constr_C21_M,Constr_C21_F,Constr_C21_P,Whlesale_tde_C11_M,Whlesale_tde_C11_F,Whlesale_tde_C11_P,Whlesale_tde_C16_M,Whlesale_tde_C16_F,Whlesale_tde_C16_P,Whlesale_tde_C21_M,Whlesale_tde_C21_F,Whlesale_tde_C21_P,Retail_tde_C11_M,Retail_tde_C11_F,Retail_tde_C11_P,Retail_tde_C16_M,Retail_tde_C16_F,Retail_tde_C16_P,Retail_tde_C21_M,Retail_tde_C21_F,Retail_tde_C21_P,Accom_food_S_C11_M,Accom_food_S_C11_F,Accom_food_S_C11_P,Accom_food_S_C16_M,Accom_food_S_C16_F,Accom_food_S_C16_P,Accom_food_S_C21_M,Accom_food_S_C21_F,Accom_food_S_C21_P,Tpt_post_ware_C11_M,Tpt_post_ware_C11_F,Tpt_post_ware_C11_P,Tpt_post_ware_C16_M,Tpt_post_ware_C16_F,Tpt_post_ware_C16_P,Tpt_post_ware_C21_M,Tpt_post_ware_C21_F,Tpt_post_ware_C21_P,Inf_Medi_Tele_C11_M,Inf_Medi_Tele_C11_F,Inf_Medi_Tele_C11_P,Inf_Medi_Tele_C16_M,Inf_Medi_Tele_C16_F,Inf_Medi_Tele_C16_P,Inf_Medi_Tele_C21_M,Inf_Medi_Tele_C21_F,Inf_Medi_Tele_C21_P,Finan_Insu_S_C11_M,Finan_Insu_S_C11_F,Finan_Insu_S_C11_P,Finan_Insu_S_C16_M,Finan_Insu_S_C16_F,Finan_Insu_S_C16_P,Finan_Insu_S_C21_M,Finan_Insu_S_C21_F,Finan_Insu_S_C21_P,Rent_hir_re_est_S_C11_Cen_M,Rent_hir_re_est_S_C11_Cen_F,Rent_hir_re_est_S_C11_Cen_P,Rent_hir_re_est_S_C16_Cen_M,Rent_hir_re_est_S_C16_Cen_F,Rent_hir_re_est_S_C16_Cen_P,Rent_hir_re_est_S_C21_Cen_M,Rent_hir_re_est_S_C21_Cen_F,Rent_hir_re_est_S_C21_Cen_P,Prof_scie_tech_S_C11_Cens_M,Prof_scie_tech_S_C11_Cens_F,Prof_scie_tech_S_C11_Cens_P,Prof_scie_tech_S_C16_Cens_M,Prof_scie_tech_S_C16_Cens_F,Prof_scie_tech_S_C16_Cens_P,Prof_scie_tech_S_C21_Cens_M,Prof_scie_tech_S_C21_Cens_F,Prof_scie_tech_S_C21_Cens_P,Admin_supp_S_C11_M,Admin_supp_S_C11_F,Admin_supp_S_C11_P,Admin_supp_S_C16_M,Admin_supp_S_C16_F,Admin_supp_S_C16_P,Admin_supp_S_C21_M,Admin_supp_S_C21_F,Admin_supp_S_C21_P,Pub_admin_safet_C11_M,Pub_admin_safet_C11_F,Pub_admin_safet_C11_P,Pub_admin_safet_C16_M,Pub_admin_safet_C16_F,Pub_admin_safet_C16_P,Pub_admin_safet_C21_M,Pub_admin_safet_C21_F,Pub_admin_safet_C21_P,Educ_trn_C11_M,Educ_trn_C11_F,Educ_trn_C11_P,Educ_trn_C16_M,Educ_trn_C16_F,Educ_trn_C16_P,Educ_trn_C21_M,Educ_trn_C21_F,Educ_trn_C21_P,Hea_car_soc_assist_C11_Cens_M,Hea_car_soc_assist_C11_Cens_F,Hea_car_soc_assist_C11_Cens_P,Hea_car_soc_assist_C16_Cens_M,Hea_car_soc_assist_C16_Cens_F,Hea_car_soc_assist_C16_Cens_P,Hea_car_soc_assist_C21_Cens_M,Hea_car_soc_assist_C21_Cens_F,Hea_car_soc_assist_C21_Cens_P,Arts_rec_S_C11_M,Arts_rec_S_C11_F,Arts_rec_S_C11_P,Arts_rec_S_C16_M,Arts_rec_S_C16_F,Arts_rec_S_C16_P,Arts_rec_S_C21_M,Arts_rec_S_C21_F,Arts_rec_S_C21_P,Oth_services_C11_M,Oth_services_C11_F,Oth_services_C11_P,Oth_services_C16_M,Oth_services_C16_F,Oth_services_C16_P,Oth_services_C21_M,Oth_services_C21_F,Oth_services_C21_P,Inad_descr_Ns_C11_M,Inad_descr_Ns_C11_F,Inad_descr_Ns_C11_P,Inad_descr_Ns_C16_M,Inad_descr_Ns_C16_F,Inad_descr_Ns_C16_P,Inad_descr_Ns_C21_M,Inad_descr_Ns_C21_F,Inad_descr_Ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
1GSYD,4671,3121,7792,6070,3852,9922,6369,4227,10595,3528,825,4350,3806,959,4774,3849,1011,4862,121653,53618,175273,88553,42281,130831,87497,43834,131332,14385,4144,18529,13672,4086,17757,14875,5206,20080,125218,20316,145533,160417,25920,186331,164734,33552,198286,67072,41455,108521,49920,31554,81477,47578,31271,78845,91006,111735,202737,96448,115447,211889,100002,113850,213851,64608,63258,127864,76421,75406,151828,67200,66138,133334,83390,25972,109356,86978,27618,114597,92254,30741,122993,36367,25431,61796,38140,25282,63422,35120,23506,58627,69103,66122,135224,76684,68119,144809,89381,80006,169389,18803,17423,36222,23036,21154,44182,24315,22635,46948,110606,87422,198021,125062,98646,223711,146473,118733,265208,35540,36578,72120,39759,41638,81397,39128,38554,77677,65992,49597,115588,68338,56096,124434,71364,61474,132839,48362,108270,156630,54600,128169,182767,58508,148081,206584,52041,172786,224832,62172,201186,263356,79018,246426,325449,17887,15236,33121,20423,17533,37956,18862,17518,36377,42151,33212,75357,43214,37684,80899,42250,35331,77583,31621,22763,54379,71216,45173,116382,70496,49341,119837,1103996,959275,2063271,1204925,1067782,2272715,1259257,1171441,2430704
1RNSW,44568,17069,61635,44853,17703,62558,44924,19083,64009,24029,2743,26769,24021,2905,26924,26658,3847,30503,70364,18969,89332,50369,15949,66323,51777,18416,70189,12534,3111,15645,11646,2444,14090,12477,3018,15491,74480,9704,84183,84948,10822,95768,102138,14855,116993,21385,8838,30223,15829,6341,22173,17598,6970,24564,48377,73352,121730,46208,68049,114265,47913,69534,117441,31806,50330,82143,35315,51683,86996,40321,53564,93891,36307,9172,45477,34687,9301,43991,36297,10189,46482,5728,4866,10590,5740,4174,9915,5319,4084,9405,7950,15147,23097,8092,14255,22350,9147,15062,24211,6996,8295,15287,6941,8479,15417,6971,8691,15667,24936,24049,48984,24802,25337,50137,30263,30942,61204,14305,15793,30099,15780,20151,35930,18376,21826,40195,44711,32061,76773,44774,34751,79528,49017,40903,89922,27492,64624,92122,27397,72213,99607,29979,85535,115512,26999,112155,139153,31918,126629,158552,42696,160744,203439,6998,6104,13102,7336,6373,13706,7685,7642,15329,24602,17530,42133,24451,19015,43469,25720,22004,47724,13628,9281,22906,26899,15568,42466,29921,18860,48782,568188,503189,1071376,572028,532139,1104163,635185,615759,1250938
19499,100,45,146,79,67,143,76,57,130,58,10,63,33,7,38,35,0,41,202,60,264,132,42,174,90,44,135,29,0,24,25,4,29,10,9,23,318,21,335,357,31,383,210,30,246,98,48,141,46,20,64,48,13,57,122,137,257,121,107,226,80,113,196,178,195,376,188,197,390,100,137,235,145,33,176,156,19,169,110,27,134,59,45,105,31,30,62,26,14,40,55,46,105,45,47,92,42,34,78,27,18,45,28,22,51,6,14,20,153,130,285,134,88,223,97,87,187,81,52,136,85,70,155,56,56,113,176,85,269,134,77,212,86,63,150,80,122,204,59,120,182,45,94,137,89,247,333,78,188,268,87,199,287,64,46,107,59,50,111,38,39,76,77,42,121,67,43,104,34,42,68,103,61,164,177,74,244,112,54,166,2204,1441,3653,2043,1290,3327,1388,1128,2511
19799,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,3,5,7,0,0,0,0,0,0,0,8,16,0,0,0,0,0,0,4,5,8,0,0,0,16,0,16,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,9,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,5,7,6,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,6,7,12,0,0,0,22,13,28,61,74,130,0,0,0
2GMEL,6313,3667,9979,8327,5040,13370,9484,6359,15845,3178,1112,4293,3391,1110,4504,3340,977,4318,149030,59592,208620,113871,48358,162230,114507,53490,167996,12622,5849,18471,14751,6564,21314,17430,8206,25636,137661,19867,157527,151749,21717,173467,193715,32792,226505,60514,35188,95700,46743,27798,74538,46684,26990,73670,89176,114595,203778,95489,118648,214141,103164,125884,229046,53949,59034,112979,67242,69809,137055,71731,76985,148723,70582,22653,93234,80190,25339,105529,91933,28166,120096,26453,17183,43639,28568,17331,45899,26931,16745,43676,47084,45460,92549,49339,45528,94869,60987,53803,114791,14683,14044,28733,18285,17920,36203,19655,19210,38863,97300,74974,172273,107679,83616,191291,130843,103669,234512,34084,33517,67600,37747,37885,75633,40401,39043,79444,49012,49202,98209,53717,52464,106180,66827,66132,132958,47241,105871,153108,55719,126932,182650,61831,152253,214082,45734,167788,213518,54996,198108,253107,75360,254516,329874,18843,16775,35618,23474,20035,43513,22660,21361,44020,38549,31196,69743,40778,34958,75729,43450,40332,83780,28564,19807,48370,64904,39381,104284,71280,45889,117172,1030553,897373,1927929,1116949,998547,2115493,1272202,1172787,2444991
2RVIC,33073,13899,46971,33563,13921,47483,35600,15696,51294,4335,473,4808,4128,491,4621,4398,640,5036,47784,14418,62200,37743,12613,50361,38378,14331,52711,7478,1654,9130,7636,1833,9470,8007,2351,10355,47597,5613,53207,48876,5598,54480,62785,8500,71289,13200,5103,18303,10025,3708,13733,11242,4389,15628,28088,41645,69727,26830,38534,65361,28080,40220,68301,15154,25539,40696,17269,26260,43531,19686,27695,47383,19777,5049,24828,19428,4982,24406,21068,5979,27041,3561,2837,6405,3566,2706,6276,3387,2592,5979,4781,7317,12096,4711,7050,11761,5722,7791,13519,3034,3250,6283,3095,3687,6785,3441,3942,7384,12190,11576,23772,13049,12931,25975,16206,16110,32321,7822,7664,15485,7997,9598,17591,9294,10575,19869,18897,17665,36561,19508,18510,38021,22960,22046,45006,14720,34348,49066,15106,38409,53512,16841,46081,62923,14143,64531,78678,16158,72544,88702,21843,93984,115823,4116,3791,7913,4749,4440,9187,5188,5335,10524,12176,9155,21333,12576,9859,22434,14077,11862,25934,7565,5160,12716,15894,9002,24892,17181,10596,27774,319487,280699,600188,321907,296676,618584,365387,350707,716097
29499,75,32,105,46,16,60,59,21,76,10,3,17,9,3,11,4,0,6,179,53,235,106,26,135,82,32,120,23,5,26,18,3,21,16,5,22,216,23,230,184,16,196,174,17,190,55,29,86,33,16,44,28,12,39,109,102,211,76,62,133,61,68,126,106,121,233,113,127,244,86,114,202,113,38,147,106,22,133,84,29,108,30,14,50,17,12,29,15,13,25,30,28,58,31,23,47,25,21,53,14,17,30,12,7,29,12,10,23,112,87,197,69,59,133,59,39,99,44,50,94,49,36,87,41,30,74,93,76,166,84,38,116,68,46,115,63,77,142,46,74,112,31,65,97,50,173,222,52,140,191,51,156,205,39,39,77,36,30,71,19,25,46,34,35,69,56,33,91,32,22,56,46,33,80,97,48,147,87,44,126,1443,1038,2481,1240,786,2028,1022,771,1797
29799,0,0,0,0,0,0,0,0,0,7,0,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,9,0,16,4,0,4,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,30,24,0,24,7,0,15
3GBRI,4642,2791,7425,6138,3870,10005,6394,4174,10574,9077,3562,12635,9414,3014,12423,10678,3347,14023,69502,24121,93625,50763,19339,70096,54084,21829,75912,8880,3316,12195,8634,3045,11684,10770,4012,14786,71507,12194,83702,80153,12407,92559,90526,16297,106826,27504,13886,41394,21390,10393,31774,21714,10864,32580,43698,58230,101930,44768,57301,102073,50613,61014,111628,26356,34202,60562,31525,38311,69836,36444,43750,80190,43589,14474,58067,45762,14953,60714,50287,16405,66694,8439,6010,14450,9069,5885,14953,8683,5445,14129,14944,18977,33912,15706,18891,34589,19044,21519,40564,8620,8986,17609,10496,11050,21543,10885,11203,22081,47256,36863,84121,46925,37723,84646,58853,47351,106201,16087,17308,33398,17800,19944,37750,19983,21969,41954,39676,35605,75283,40520,35600,76123,43672,39108,82780,24320,57346,81674,28275,70392,98667,30690,81029,111714,27893,97281,125178,31638,109488,141121,44182,146676,190854,6815,6517,13332,8371,7858,16228,9280,9238,18517,20409,17333,37744,21353,19462,40815,23792,23256,47048,13383,9006,22391,29336,16844,46175,34511,21215,55723,532590,478024,1010618,558019,515760,1073783,635069,609709,1244782
3RQLD,32594,15014,47606,34124,16054,50176,34304,17243,51549,34743,5375,40114,32685,4798,37478,34698,6676,41370,60009,17796,77805,44097,14433,58533,47165,17063,64225,10044,2559,12603,9793,2385,12177,11038,2949,13985,85435,14198,99635,85192,13279,98469,97724,17364,115085,22177,10627,32803,16786,7758,24541,16972,8139,25111,44773,70672,115442,43487,66036,109516,46046,68577,114629,32005,48889,80893,36010,50443,86447,40532,54696,95231,37321,11419,48739,35746,11466,47210,36802,12199,48993,5707,5172,10878,5860,4423,10279,5365,3853,9217,7659,12519,20182,7880,11787,19671,8992,12842,21829,8972,10382,19360,9546,11370,20919,9455,11348,20801,24364,24071,48429,23970,24904,48873,27873,29881,57750,14706,16725,31430,16645,20782,37424,18290,21494,39781,35621,25759,61382,37072,26845,63911,38470,28976,67449,21400,57699,79098,23830,69507,93336,25554,78600,104157,23122,93958,117077,27790,107778,135575,39464,144859,184318,7716,7292,15013,8888,8476,17365,9333,9638,18976,22834,18029,40855,22807,19746,42555,25079,23548,48630,15348,10140,25483,27976,17088,45066,31724,21241,52966,546536,478295,1024829,550180,509339,1059524,604869,591187,1196051
