GCCSA_CODE_2021,Managers_C11_M,Managers_C11_F,Managers_C11_P,Managers_C16_M,Managers_C16_F,Managers_C16_P,Managers_C21_M,Managers_C21_F,Managers_C21_P,Professionals_C11_M,Professionals_C11_F,Professionals_C11_P,Professionals_C16_M,Professionals_C16_F,Professionals_C16_P,Professionals_C21_M,Professionals_C21_F,Professionals_C21_P,Tech_trad_wkrs_C11_M,Tech_trad_wkrs_C11_F,Tech_trad_wkrs_C11_P,Tech_trad_wkrs_C16_M,Tech_trad_wkrs_C16_F,Tech_trad_wkrs_C16_P,Tech_trad_wkrs_C21_M,Tech_trad_wkrs_C21_F,Tech_trad_wkrs_C21_P,Com_pers_S_work_C11_Cens_M,Com_pers_S_work_C11_Cens_F,Com_pers_S_work_C11_Cens_P,Com_pers_S_work_C16_Cens_M,Com_pers_S_work_C16_Cens_F,Com_pers_S_work_C16_Cens_P,Com_pers_S_work_C21_Cens_M,Com_pers_S_work_C21_Cens_F,Com_pers_S_work_C21_Cens_P,Cler_admin_work_C11_M,Cler_admin_work_C11_F,Cler_admin_work_C11_P,Cler_admin_work_C16_M,Cler_admin_work_C16_F,Cler_admin_work_C16_P,Cler_admin_work_C21_M,Cler_admin_work_C21_F,Cler_admin_work_C21_P,Sales_workers_C11_M,Sales_workers_C11_F,Sales_workers_C11_P,Sales_workers_C16_M,Sales_workers_C16_F,Sales_workers_C16_P,Sales_workers_C21_M,Sales_workers_C21_F,Sales_workers_C21_P,Mach_oper_driv_C11_M,Mach_oper_driv_C11_F,Mach_oper_driv_C11_P,Mach_oper_driv_C16_M,Mach_oper_driv_C16_F,Mach_oper_driv_C16_P,Mach_oper_driv_C21_M,Mach_oper_driv_C21_F,Mach_oper_driv_C21_P,Labourers_C11_M,Labourers_C11_F,Labourers_C11_P,Labourers_C16_M,Labourers_C16_F,Labourers_C16_P,Labourers_C21_M,Labourers_C21_F,Labourers_C21_P,Inadeq_descr_Ns_C11_M,Inadeq_descr_Ns_C11_F,Inadeq_descr_Ns_C11_P,Inadeq_descr_Ns_C16_M,Inadeq_descr_Ns_C16_F,Inadeq_descr_Ns_C16_P,Inadeq_descr_Ns_C21_M,Inadeq_descr_Ns_C21_F,Inadeq_descr_Ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
1GSYD,174941,98975,273919,194389,117375,311765,220241,148631,368876,256412,270153,526565,284777,313024,597804,333295,378435,711729,213278,38199,251472,224085,40965,265056,212076,42485,254555,63980,118082,182060,71740,146468,218209,69070,155997,225062,87975,245458,333433,89726,241411,331136,92915,241593,334504,77734,108210,185945,86016,119034,205054,80969,107592,188556,105121,13010,118140,113474,14550,128021,115972,20061,136033,100392,50933,151327,114746,56703,171450,107848,56488,164335,24166,16243,40410,25976,18261,44232,26885,20166,47052,1103996,959275,2063271,1204925,1067782,2272715,1259257,1171441,2430704
1RNSW,93958,50120,144075,91791,52253,144050,102251,65457,167707,76928,109309,186236,77418,122249,199664,90840,149064,239901,138308,24339,162653,138157,25530,163684,152823,28928,181749,32734,82411,115144,36825,94780,131605,45350,120023,165378,25973,113340,139312,25341,111226,136565,27665,118206,145868,35778,68531,104306,37624,68498,106125,38496,67660,106151,75185,5761,80950,72307,6158,78465,77478,8421,85905,78791,42514,121307,81673,44169,125843,87539,48671,136208,10540,6863,17403,10895,7269,18166,12735,9331,22065,568188,503189,1071376,572028,532139,1104163,635185,615759,1250938
19499,220,116,341,169,104,271,133,104,234,381,364,742,318,329,648,236,264,500,470,72,542,395,79,476,241,47,279,200,266,466,182,246,434,122,216,334,103,285,389,92,173,263,63,168,236,92,151,237,112,111,224,69,104,171,321,30,347,309,25,334,216,35,253,368,120,491,396,182,583,254,165,419,57,38,96,67,38,103,55,22,77,2204,1441,3653,2043,1290,3327,1388,1128,2511
19799,0,0,0,3,0,5,0,0,0,0,3,3,11,10,17,0,0,0,4,0,4,11,11,17,0,0,0,0,0,0,4,13,15,0,0,0,0,3,3,0,18,16,0,0,0,0,0,0,4,15,15,0,0,0,0,0,0,11,0,11,0,0,0,12,0,12,12,3,15,0,0,0,0,0,0,5,3,6,0,0,0,22,13,28,61,74,130,0,0,0
2GMEL,157302,84342,241645,177101,102501,279604,204243,133589,337829,221090,242669,463762,246047,282217,528262,300118,356218,656333,219438,38750,258183,223995,42852,266850,245818,50208,296021,53832,118702,172533,66751,149696,216441,75388,180816,256199,77855,216296,294149,80584,212638,293223,90047,224527,314570,75545,111450,186990,83148,122049,205194,82245,119806,202049,98871,14299,113172,104507,14386,118895,121933,20354,142288,100461,52834,153299,113281,57168,170449,124365,66872,191239,26163,18027,44190,21537,15042,36577,28037,20408,48452,1030553,897373,1927929,1116949,998547,2115493,1272202,1172787,2444991
2RVIC,60793,30249,91046,59288,30843,90134,65730,38370,104102,39809,60690,100499,40745,66802,107548,49606,84684,134293,77796,14403,92198,76334,15256,91591,85983,17200,103181,16171,45380,61552,19274,53350,72625,23795,67350,91143,13688,56400,70085,13721,56092,69813,15618,62112,77728,19802,38346,58153,21093,38726,59817,22326,38815,61142,37655,3508,41170,36859,3238,40096,40835,4635,45469,46538,27009,73554,48380,28287,76671,53565,32164,85735,7231,4710,11941,6208,4074,10285,7927,5372,13304,319487,280699,600188,321907,296676,618584,365387,350707,716097
29499,145,91,239,126,58,183,108,63,174,250,255,511,199,202,406,159,176,334,309,57,372,250,49,298,207,44,250,120,175,298,115,161,276,68,155,227,76,187,261,54,126,178,36,109,143,80,110,189,55,75,128,56,74,129,180,29,204,177,13,196,147,32,177,220,104,325,217,87,302,207,104,308,62,31,87,42,20,59,33,16,49,1443,1038,2481,1240,786,2028,1022,771,1797
29799,0,0,0,0,0,0,0,0,0,6,0,6,3,0,3,4,0,4,6,0,6,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,12,0,11,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,33,0,30,24,0,24,7,0,15
3GBRI,74565,42487,117054,78698,48522,127216,92915,63728,156642,105040,119524,224565,110921,135378,246296,136205,171042,307246,116853,20049,136905,117650,21410,139054,127295,25773,153068,30452,67071,97521,35176,81433,116609,41562,103129,144697,39233,124433,163672,39372,119179,158546,43213,125140,168351,37963,57364,95331,39550,60423,99974,41020,61265,102284,57971,6323,64294,60339,6908,67245,69152,9613,78764,59868,33056,92929,65956,35454,101411,70930,40376,111300,10630,7716,18342,10373,7053,17426,12771,9651,22425,532590,478024,1010618,558019,515760,1073783,635069,609709,1244782
3RQLD,81053,47206,128258,81062,49960,131019,89043,59779,148825,67050,93289,160337,70020,107147,177166,82264,133388,215651,143970,23102,167073,141545,24431,165980,152072,28388,180461,29977,75150,105127,35431,89563,124996,42547,113371,155917,23562,111789,135351,23654,108885,132535,25476,115269,140745,36185,67888,104065,38340,69296,107627,39610,69336,108943,77016,7539,84555,72486,7608,80093,76992,10661,87652,76674,44816,121493,77118,45904,123027,82979,51356,134338,11053,7522,18579,10521,6553,17076,13887,9632,23517,546536,478295,1024829,550180,509339,1059524,604869,591187,1196051
