LGA_CODE_2021,Med_age_persns_C2011,Med_age_persns_C2016,Med_age_persns_C2021,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_mortg_rep_mon_C2021,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_person_inc_we_C2021,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_rent_weekly_C2021,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Med_Famly_inc_we_C2021,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Avg_num_p_per_brm_C2021,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Med_tot_hh_inc_wee_C2021,Average_hh_size_C2011,Average_hh_size_C2016,Average_hh_size_C2021
LGA10050,37,39,39,1452,1421,1473,558,642,779,200,235,270,1360,1532,1909,0.8,0.8,0.7,1024,1185,1430,2.4,2.3,2.3
LGA10180,36,36,37,1387,1408,1436,487,568,719,200,255,285,1246,1482,1844,0.8,0.8,0.7,973,1183,1404,2.4,2.4,2.3
LGA10250,45,48,48,1733,1733,1950,496,601,737,295,345,420,1153,1426,1848,0.8,0.8,0.8,930,1156,1429,2.4,2.3,2.4
LGA10300,41,41,43,893,950,1083,471,624,734,150,160,200,1110,1438,1781,0.8,0.8,0.8,898,1174,1370,2.5,2.5,2.5
LGA10470,36,37,38,1630,1670,1733,544,646,796,220,280,320,1435,1632,2026,0.8,0.8,0.7,1141,1310,1585,2.5,2.5,2.5
LGA10500,37,35,35,2200,2167,2468,560,681,872,365,470,500,1456,1796,2243,1,1.1,1,1267,1589,1959,2.6,2.7,2.5
LGA10550,48,51,52,1300,1343,1516,453,538,645,200,250,310,1016,1242,1501,0.8,0.8,0.8,848,986,1200,2.3,2.2,2.2
LGA10600,46,49,50,1300,1400,1517,416,515,613,235,290,340,936,1218,1479,0.8,0.8,0.8,786,997,1197,2.4,2.3,2.3
LGA10650,48,49,52,1083,1083,1207,429,524,618,150,180,210,961,1251,1460,0.7,0.7,0.7,777,967,1128,2.2,2.2,2.2
LGA10750,32,33,34,2100,2150,2383,565,672,831,300,380,400,1492,1817,2251,0.9,0.9,0.9,1388,1711,2107,3.1,3.2,3.1
LGA10800,41,43,43,1000,1000,1083,460,580,730,150,170,200,1069,1360,1811,0.8,0.7,0.7,880,1100,1326,2.4,2.4,2.3
LGA10850,40,42,43,1434,1500,1517,531,620,765,175,230,270,1368,1581,1974,0.8,0.8,0.8,1092,1227,1547,2.5,2.5,2.5
LGA10900,42,44,45,1842,1842,2035,590,688,817,280,350,400,1625,1866,2235,0.8,0.8,0.7,1270,1468,1756,2.5,2.5,2.4
