LGA_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
LGA10050,295,91,351,440,51,53,102,948,1148,2095,409,296,703,15,21,35,52,110,157,95,396,495,35,23,58,599,843,1447,286,150,440,10,3,6,38,55,87,160,646,806,18,27,43,504,881,1385,9939,9985,19924,768,974,1744,1774,2766,4541,576,2140,2716,8610,7988,16599,21678,23850,45524
LGA10180,115,52,170,222,35,39,77,503,627,1127,235,178,413,9,4,9,26,52,79,66,186,253,20,22,45,358,432,795,168,80,247,5,0,5,10,27,37,78,335,415,3,5,12,265,451,713,5043,5033,10081,353,412,764,825,1128,1954,302,1051,1355,4850,4881,9738,11369,12509,23882
LGA10250,298,118,350,466,52,31,81,1117,1198,2314,485,381,863,11,12,21,73,115,190,115,406,523,25,31,58,710,941,1648,394,229,621,9,6,14,42,77,117,215,804,1018,28,29,56,691,1145,1834,8915,8967,17877,567,708,1279,1781,2581,4360,645,2192,2837,6420,5974,12391,18330,20424,38753
LGA10300,3,6,9,14,0,0,0,26,25,56,7,10,21,0,0,0,0,3,6,6,27,34,0,0,0,23,35,58,7,4,14,0,0,0,0,0,0,8,27,34,0,0,0,20,31,47,439,433,874,35,35,69,76,59,138,26,102,125,309,257,573,886,888,1776
LGA10470,209,72,226,305,40,43,81,748,758,1501,317,212,530,12,7,17,39,71,111,81,237,317,10,32,46,469,558,1022,217,140,355,4,3,8,21,37,57,113,458,568,19,41,56,372,680,1052,7825,7622,15447,619,748,1370,1430,1858,3290,452,1438,1890,7327,6069,13397,17659,17732,35394
LGA10500,645,173,823,991,190,131,325,2254,2620,4875,1144,758,1906,52,23,78,154,206,352,257,1042,1299,106,95,197,1711,2120,3834,934,407,1345,24,23,46,77,132,211,441,1592,2034,75,92,167,1557,2247,3802,33219,32948,66167,2062,2374,4434,4840,6789,11625,1319,5383,6702,32287,27474,59759,73726,74966,148694
LGA10550,259,101,273,371,53,29,83,943,943,1880,409,257,663,12,14,23,64,61,130,85,284,370,21,14,40,589,632,1223,249,112,359,6,3,9,34,37,70,165,455,623,16,10,32,471,618,1089,7208,7180,14389,488,567,1056,1679,1946,3624,543,1626,2170,4906,4370,9278,14826,15683,30514
LGA10600,122,22,56,83,17,14,29,326,320,647,115,76,189,5,4,5,24,36,53,35,110,143,4,3,14,184,228,405,76,33,111,5,0,6,20,18,39,47,180,227,8,4,12,155,240,395,2372,2384,4757,211,255,465,652,814,1463,175,540,715,1878,1760,3632,5291,5748,11037
LGA10650,58,32,73,103,7,6,10,266,259,528,114,93,206,9,4,7,16,10,26,34,93,128,3,0,3,174,196,371,92,35,132,9,0,4,5,3,12,46,134,183,8,3,13,161,179,334,1872,1880,3749,151,147,302,381,375,759,172,460,632,1034,854,1886,3610,3715,7328
LGA10750,901,400,1532,1939,125,115,238,3606,4015,7622,1446,826,2276,70,43,112,192,274,463,409,1426,1829,62,66,131,2182,2633,4815,828,372,1201,30,20,52,89,194,285,559,2099,2653,48,63,113,1559,2753,4304,80815,80369,161187,4356,5438,9796,7700,11571,19274,2579,10119,12698,56207,47494,103699,151658,154995,306652
