LGA_CODE_2021,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sam_BP_B_OS,C11_Sam_Fa_O_B_OS,C11_Sam_Mo_O_B_OS,C11_Sam_BP_B_Aus,C11_Sam_Birthplac_ns,C11_Sam_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_Tot_resp,C11_Tot_P_BP_B_OS,C11_Tot_P_Fa_O_B_OS,C11_Tot_P_Mo_O_B_OS,C11_Tot_P_BP_B_Aus,C11_Tot_P_Bplace_NS,C11_Tot_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS
LGA10050,133,1233,915,16528,603,19412,0,0,0,109,14,123,129,15,18,100,10,275,88,28,12,41,7,173,373,120,65,240,13,814,1800,1178,776,14524,415,18693,214,5,40,3,10,276,38,14,8,97,3,156,460,214,107,2826,72,3679,145,43,12,123,11,336,65,21,8,19,0,109,355,22,15,16,7,411,332,263,147,5526,119,6392,256,134,43,603,21,1046,29,0,0,4,3,34,45,27,13,63,6,147,8,0,0,0,0,12,36,18,0,39,0,91,71,11,18,24,9,139,121,66,63,24,6,282,143,41,18,97,11,310,41,4,9,29,3,78,8,4,0,4,4,19,465,310,202,3960,72,5006,57,4,0,20,0,76,66,0,4,7,0,76,49,4,8,88,4,153,30,6,5,0,0,41,18,0,0,0,0,20,64,27,17,135,0,243,1295,220,136,463,62,2174,111,43,24,872,2030,3084,6052,2494,1651,34388,3229,47807,219,1318
LGA10180,73,788,578,10148,282,11864,0,0,0,231,10,247,334,23,10,65,14,438,3,3,0,7,0,19,112,44,38,98,0,303,1020,660,483,8407,259,10830,64,0,14,0,0,87,43,10,10,64,0,131,240,69,60,989,25,1385,25,8,0,32,0,67,28,13,0,13,0,51,93,6,0,10,4,115,187,160,96,3071,52,3560,57,24,12,191,9,287,9,0,0,4,0,13,18,3,5,35,0,67,0,0,0,0,0,0,15,5,4,16,0,39,37,11,9,7,0,64,80,37,40,16,4,179,39,13,4,37,0,87,28,6,0,15,0,58,7,0,6,0,0,14,293,194,133,2458,64,3137,3,0,0,3,0,6,59,9,7,5,0,81,25,4,6,28,0,62,33,4,7,0,0,40,49,0,0,0,3,54,37,17,8,93,9,163,1012,170,133,212,45,1569,46,22,18,456,1445,1982,3351,1376,998,19622,2057,27406,108,771
LGA10250,112,1372,1020,13659,403,16568,0,8,5,266,3,276,120,14,25,68,4,237,34,16,11,17,0,75,308,84,61,125,12,588,2316,1263,932,12150,351,17008,86,4,21,3,0,119,62,19,9,106,0,196,293,94,87,1128,28,1633,41,16,8,72,5,148,39,9,8,12,0,64,56,14,5,20,0,100,395,322,225,4549,93,5580,246,126,33,571,21,1002,15,0,0,3,0,14,8,3,4,16,4,39,8,0,0,4,0,8,62,19,9,48,4,136,55,33,29,18,9,140,164,58,48,31,7,310,78,15,9,32,3,141,22,7,4,15,6,52,12,0,3,7,0,25,516,320,232,3137,80,4289,18,4,0,0,0,18,86,15,0,10,0,113,48,12,3,39,0,103,9,6,0,8,0,29,25,3,0,0,0,28,98,37,26,103,0,263,758,235,184,402,31,1615,89,48,32,654,1397,2226,5076,2552,1837,27580,2236,39275,144,1456
LGA10300,15,28,20,831,39,936,0,0,0,15,0,15,16,0,0,5,0,14,0,0,0,0,0,0,4,5,0,0,0,12,38,24,21,619,22,723,0,0,0,0,0,3,0,0,0,3,0,9,3,3,5,73,0,82,4,0,0,10,0,18,0,0,0,0,0,0,3,0,0,0,0,3,8,3,12,233,5,260,112,19,10,150,3,299,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,4,6,0,0,0,4,0,4,0,0,0,4,0,4,4,0,0,4,0,5,4,0,0,0,0,4,0,0,0,0,0,0,10,9,4,140,6,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,4,5,0,0,0,0,4,0,0,0,4,0,7,36,8,0,15,4,71,6,3,4,68,168,251,252,78,55,1658,242,2286,10,23
LGA10470,96,1032,746,14633,392,16891,0,4,5,141,11,162,186,9,23,104,4,328,34,15,9,16,0,68,204,84,57,176,11,528,1394,960,731,11958,397,15443,87,4,34,8,5,139,39,7,4,112,0,166,241,110,59,896,17,1326,37,29,13,86,0,162,42,7,5,15,0,71,105,6,8,0,0,121,275,216,171,4850,110,5622,132,106,33,357,8,640,13,0,0,0,5,18,64,30,8,45,4,155,9,0,0,0,0,12,53,12,15,35,0,124,87,18,8,12,4,123,76,55,38,35,7,210,63,34,12,41,3,152,28,10,9,20,0,68,17,5,4,0,0,23,400,219,196,2869,73,3754,33,12,0,5,0,50,59,15,5,6,0,86,25,8,3,22,0,52,17,5,8,0,0,30,31,0,0,0,0,36,57,25,9,108,6,216,637,179,118,303,22,1260,73,25,33,803,2397,3327,3839,1944,1417,28060,3256,38517,155,1102
LGA10500,1980,2945,2105,14650,665,22346,0,18,10,159,3,192,14479,149,243,230,251,15348,1008,89,41,137,23,1295,371,101,76,98,5,650,5815,1959,1390,11163,627,20950,2628,36,192,28,80,2964,324,57,29,120,10,543,810,194,128,887,39,2064,8903,1056,461,2604,306,13331,387,45,27,44,10,517,2819,49,35,27,45,2971,1482,621,378,5085,176,7733,3600,677,272,1327,150,6029,471,0,15,9,13,503,5728,725,247,516,320,7533,4603,312,144,369,120,5542,1005,180,115,257,36,1589,1104,115,71,23,43,1353,605,161,92,31,13,898,537,67,34,61,15,715,840,30,38,29,15,942,353,41,9,4,8,418,1298,494,309,2811,127,5037,974,66,26,61,21,1140,331,34,25,13,7,404,1412,58,49,101,50,1674,192,6,6,13,0,220,1014,13,16,9,28,1081,134,53,37,157,7,391,22021,1223,800,891,603,25531,1947,164,130,770,7491,10500,81910,7761,4848,31491,10690,136700,2478,3277
LGA10550,89,1034,759,11254,295,13440,0,6,0,109,10,129,61,17,10,57,0,142,36,10,3,7,0,56,360,101,78,133,15,687,2182,1033,755,9680,289,13933,76,0,19,0,0,101,48,12,11,98,6,168,399,90,79,1044,27,1642,46,11,11,45,3,119,47,12,3,18,0,80,34,0,0,14,0,49,347,223,140,3225,64,3998,154,71,25,262,13,524,8,3,0,0,0,13,12,5,0,19,0,31,8,3,0,0,0,14,61,7,3,19,3,92,41,19,9,22,0,93,111,49,34,12,3,212,92,15,7,38,0,158,35,13,0,19,0,59,8,9,0,0,0,18,484,266,174,2602,66,3588,8,0,0,0,0,14,55,5,3,12,0,74,23,0,0,16,0,43,4,4,0,8,0,15,20,6,0,0,0,24,76,21,11,91,4,199,591,145,107,339,16,1206,63,37,31,587,1244,1953,4617,1986,1405,22046,1888,31948,113,1094
LGA10600,41,464,340,4452,128,5427,0,0,0,40,0,36,25,8,0,30,0,55,9,0,0,3,0,18,128,29,19,54,3,228,953,450,322,3759,106,5581,12,0,4,0,0,19,26,4,11,49,0,84,161,36,32,341,20,585,10,10,6,16,0,35,16,7,6,8,0,45,7,0,0,4,0,15,153,135,61,1389,43,1782,32,27,10,105,4,171,0,0,0,0,0,0,4,0,0,8,0,17,0,0,0,0,0,0,3,11,9,13,0,29,23,15,8,0,3,46,47,17,18,14,6,98,44,10,4,11,0,70,10,0,0,19,0,31,0,3,0,0,0,9,217,114,84,1073,19,1509,5,0,0,0,0,3,23,0,0,3,0,27,16,0,5,18,0,37,0,0,0,0,0,0,8,0,0,0,0,8,39,19,10,37,0,115,251,107,63,140,16,578,29,16,9,205,303,556,1840,883,590,8620,574,12521,37,504
LGA10650,21,177,126,3170,79,3572,0,0,0,30,0,29,11,4,0,15,0,33,0,8,0,0,0,7,59,6,11,26,6,111,278,183,141,2657,101,3357,16,0,0,0,0,20,6,0,0,18,0,24,57,23,6,216,10,305,4,0,0,9,0,13,3,3,0,4,0,9,12,0,0,3,0,17,56,42,25,909,26,1052,36,16,6,83,0,149,3,0,0,0,0,7,0,0,0,0,0,3,6,0,0,0,0,4,3,5,0,9,0,18,17,0,0,0,0,18,17,7,0,9,0,37,11,0,0,3,0,16,7,0,0,0,0,11,0,0,0,0,0,0,87,56,38,700,13,887,0,0,0,0,0,0,8,3,0,0,0,11,3,0,0,8,0,12,9,0,0,0,0,9,0,0,0,0,0,0,8,7,6,13,0,29,101,25,6,47,0,187,26,6,5,163,305,504,731,356,239,6232,501,8063,22,205
LGA10750,4112,8320,5781,56388,2128,76731,5,69,36,989,57,1162,8917,147,239,303,207,9806,2020,211,122,353,51,2754,1476,456,234,716,56,2935,14293,6088,4126,38726,2068,65302,24037,347,808,112,596,25902,605,55,55,297,26,1033,2415,560,357,2869,102,6311,1938,334,193,745,93,3302,951,138,58,166,27,1344,21187,222,148,102,416,22073,2686,1282,863,11764,402,17006,3661,1127,418,2423,173,7795,1484,6,28,15,38,1563,3220,635,227,501,136,4721,329,29,23,35,16,435,4946,976,470,2034,198,8623,2591,283,194,88,118,3284,1222,409,261,159,52,2102,2022,196,151,392,42,2806,666,60,43,158,21,938,3871,368,128,49,218,4632,2925,1266,941,7959,334,13426,990,67,25,75,27,1179,1136,112,62,33,18,1354,2119,113,92,160,61,2537,2339,61,40,42,29,2510,1095,20,18,15,29,1179,325,112,74,303,13,832,46447,2439,1620,1800,1326,53629,4107,360,266,2614,11584,18928,154113,16791,11247,99801,19137,301093,6231,9191
