LGA_CODE_2021,C16_Rel_NS_0_14,C16_Rel_NS_15_24,C16_Rel_NS_25_34,C16_Rel_NS_35_44,C16_Rel_NS_45_54,C16_Rel_NS_55_64,C16_Rel_NS_65_74,C16_Rel_NS_75_84,C16_Rel_NS_85ov,C16_Rel_NS_Tot,C16_Tot_0_14,C16_Tot_15_24,C16_Tot_25_34,C16_Tot_35_44,C16_Tot_45_54,C16_Tot_55_64,C16_Tot_65_74,C16_Tot_75_84,C16_Tot_85ov,C16_Tot_Tot,C21_Buddhism_0_14,C21_Buddhism_15_24,C21_Buddhism_25_34,C21_Buddhism_35_44,C21_Buddhism_45_54,C21_Buddhism_55_64,C21_Buddhism_65_74,C21_Buddhism_75_84,C21_Buddhism_85ov,C21_Buddhism_Tot,C21_Christ_Angli_0_14,C21_Christ_Angl_15_24,C21_Christ_Angl_25_34,C21_Christ_Angl_35_44,C21_Christ_Angl_45_54,C21_Christ_Angl_55_64,C21_Christ_Angl_65_74,C21_Christ_Angl_75_84,C21_Christ_Anglic_85ov,C21_Christ_Anglic_Tot,C21_Chr_Ass_Apo_0_14,C21_Chr_Ass_Apo_15_24,C21_Chr_Ass_Apo_25_34,C21_Chr_Ass_Apo_35_44,C21_Chr_Ass_Apo_45_54,C21_Chr_Ass_Apo_55_64,C21_Chr_Ass_Apo_65_74,C21_Chr_Ass_Apo_75_84,C21_Chr_Ass_Apo_85ov,C21_Chr_Ass_Apo_Tot,C21_Chr_Bapt_0_14,C21_Chr_Bapt_15_24,C21_Chr_Bapt_25_34,C21_Chr_Bapt_35_44,C21_Chr_Bapt_45_54,C21_Chr_Bapt_55_64,C21_Chr_Bapt_65_74,C21_Chr_Bapt_75_84,C21_Chr_Bapt_85ov,C21_Chr_Bapt_Tot,C21_Chr_Breth_0_14,C21_Chr_Bret_15_24,C21_Chr_Bret_25_34,C21_Chr_Bret_35_44,C21_Chr_Bret_45_54,C21_Chr_Bret_55_64,C21_Chr_Bret_65_74,C21_Chr_Bret_75_84,C21_Chr_Breth_85ov,C21_Chr_Bret_Tot,C21_Chr_Cath_0_14,C21_Chr_Cath_15_24,C21_Chr_Cath_25_34,C21_Chr_Cath_35_44,C21_Chr_Cath_45_54,C21_Chr_Cath_55_64,C21_Chr_Cath_65_74,C21_Chr_Cath_75_84,C21_Chr_Catho_85ov,C21_Chr_Catho_Tot,C21_C_Chur_Christ_0_14,C21_C_Chur_Christ_15_24,C21_C_Chur_Christ_25_34,C21_C_Chur_Christ_35_44,C21_C_Chur_Christ_45_54,C21_C_Chur_Christ_55_64,C21_C_Chur_Christ_65_74,C21_C_Chur_Christ_75_84,C21_C_Chur_Christ_85ov,C21_C_Chur_Christ_Tot,C21_C_East_Ortho_0_14,C21_C_East_Ortho_15_24,C21_C_East_Ortho_25_34,C21_C_East_Ortho_35_44,C21_C_East_Ortho_45_54,C21_C_East_Ortho_55_64,C21_C_East_Ortho_65_74,C21_C_East_Ortho_75_84,C21_C_East_Ortho_85ov,C21_C_East_Ortho_Tot,C21_C_Jeh_Wit_0_14,C21_C_Jeh_Wit_15_24,C21_C_Jeh_Wit_25_34,C21_C_Jeh_Wit_35_44,C21_C_Jeh_Wit_45_54,C21_C_Jeh_Wit_55_64,C21_C_Jeh_Wit_65_74,C21_C_Jeh_Wit_75_84,C21_C_Jeh_Wit_85ov,C21_C_Jeh_Wit_Tot,C21_C_La_Da_Sai_0_14,C21_C_La_Da_Sa_15_24,C21_C_La_Da_Sa_25_34,C21_C_La_Da_Sa_35_44,C21_C_La_Da_Sa_45_54,C21_C_La_Da_Sa_55_64,C21_C_La_Da_Sa_65_74,C21_C_La_Da_Sa_75_84,C21_C_Lat_Da_Sa_85ov,C21_C_Lat_Da_Sa_Tot,C21_C_Luthe_0_14,C21_C_Luthe_15_24,C21_C_Luthe_25_34,C21_C_Luthe_35_44,C21_C_Luthe_45_54,C21_C_Luthe_55_64,C21_C_Luthe_65_74,C21_C_Luthe_75_84,C21_C_Luthe_85ov,C21_C_Luthe_Tot,C21_C_Ori_Orth_0_14,C21_C_Ori_Orth_15_24,C21_C_Ori_Orth_25_34,C21_C_Ori_Orth_35_44,C21_C_Ori_Orth_45_54,C21_C_Ori_Orth_55_64,C21_C_Ori_Orth_65_74,C21_C_Ori_Orth_75_84,C21_C_Ori_Orth_85ov,C21_C_Ori_Ort_Tot,C21_C_Oth_Pro_0_14,C21_C_Oth_Pro_15_24,C21_C_Oth_Pro_25_34,C21_C_Oth_Pro_35_44,C21_C_Oth_Pro_45_54,C21_C_Oth_Pro_55_64,C21_C_Oth_Pro_65_74,C21_C_Oth_Pro_75_84,C21_C_Oth_Pro_85ov,C21_C_Oth_Pro_Tot,C21_C_Pent_0_14,C21_C_Pent_15_24,C21_C_Pent_25_34,C21_C_Pent_35_44,C21_C_Pent_45_54,C21_C_Pent_55_64,C21_C_Pent_65_74,C21_C_Pent_75_84,C21_C_Pent_85ov,C21_C_Pent_Tot,C21_C_Pres_Ref_0_14,C21_C_Pres_Ref_15_24,C21_C_Pres_Ref_25_34,C21_C_Pres_Ref_35_44,C21_C_Pres_Ref_45_54,C21_C_Pres_Ref_55_64,C21_C_Pres_Ref_65_74,C21_C_Pres_Ref_75_84,C21_C_Pres_Ref_85ov,C21_C_Pres_Ref_Tot,C21_C_Sal_Army_0_14,C21_C_Sal_Army_15_24,C21_C_Sal_Army_25_34,C21_C_Sal_Army_35_44,C21_C_Sal_Army_45_54,C21_C_Sal_Army_55_64,C21_C_Sal_Army_65_74,C21_C_Sal_Army_75_84,C21_C_Sal_Army_85ov,C21_C_Sal_Army_Tot,C21_C_Sev_day_Adv_0_14,C21_C_Sev_day_Adv_15_24,C21_C_Sev_day_Adv_25_34,C21_C_Sev_day_Adv_35_44,C21_C_Sev_day_Adv_45_54,C21_C_Sev_day_Adv_55_64,C21_C_Sev_day_Adv_65_74,C21_C_Sev_day_Adv_75_84,C21_C_Sev_day_Adv_85ov,C21_C_Sev_day_Adv_Tot,C21_Chr_Unit_Ch_0_14,C21_Chr_Unit_Ch_15_24,C21_Chr_Unit_Ch_25_34,C21_Chr_Unit_Ch_35_44,C21_Chr_Unit_Ch_45_54,C21_Chr_Unit_Ch_55_64,C21_Chr_Unit_Ch_65_74,C21_Chr_Unit_Ch_75_84,C21_Chr_Unit_Ch_85ov,C21_Chr_Unit_Ch_Tot
LGA10050,792,641,627,587,550,599,438,336,153,4722,9611,6754,6495,6203,6498,6375,4903,2910,1327,51080,58,40,50,100,88,71,41,13,0,463,726,497,397,648,992,1197,1342,903,377,7081,0,0,0,0,0,0,0,0,0,0,85,57,37,66,63,57,74,54,16,509,38,16,29,27,11,9,7,8,7,148,2292,1509,1145,1412,1605,1679,1424,919,346,12331,7,0,0,5,8,7,8,6,3,35,24,24,17,26,49,48,35,32,20,282,22,21,14,33,27,24,35,18,7,200,9,6,6,7,10,3,3,11,0,53,120,90,81,77,136,136,146,94,63,943,0,4,5,3,5,0,0,0,0,15,11,13,7,8,10,19,23,14,8,117,144,65,73,94,72,66,48,28,5,610,118,65,69,119,174,256,320,206,113,1444,3,7,4,7,9,15,21,13,6,86,37,15,17,25,24,22,37,23,10,207,115,99,77,127,223,309,375,271,120,1723
LGA10180,436,639,358,297,355,369,281,144,50,2927,5155,5232,3390,2999,3529,3395,2623,1520,624,28468,48,39,37,71,52,22,30,5,0,308,634,515,375,448,726,847,780,623,215,5147,0,0,0,0,0,0,0,0,0,0,33,24,23,23,24,39,42,27,10,248,23,48,29,6,24,21,3,9,0,162,878,721,519,524,630,681,527,347,116,4930,0,0,0,0,0,7,5,0,0,18,11,11,6,6,11,7,8,0,4,67,5,11,11,7,13,12,7,6,4,72,4,4,0,12,5,4,3,3,0,42,4,3,5,4,8,9,4,3,4,45,0,0,0,4,0,0,0,0,0,6,15,7,15,11,10,19,12,4,0,79,52,19,16,28,31,25,20,15,0,207,71,63,44,57,121,201,212,158,72,1004,3,3,0,10,9,20,10,14,0,76,33,15,14,20,21,24,21,8,0,149,66,63,51,67,70,123,111,114,36,697
LGA10250,643,380,374,482,592,653,488,369,331,4302,6927,3953,3583,4664,5765,6433,5500,3205,1759,41786,42,27,43,77,118,92,68,17,0,491,493,353,253,471,886,1208,1509,1209,548,6929,0,0,0,0,0,0,0,0,0,0,73,44,36,42,61,78,108,62,24,525,0,0,0,0,0,0,0,0,0,6,1580,893,630,932,1193,1364,1328,842,356,9119,0,0,0,0,3,4,3,3,0,16,25,0,13,20,23,19,5,6,7,118,44,24,31,32,36,34,37,22,5,268,14,8,6,6,3,11,5,0,4,55,11,3,6,6,18,19,24,10,11,117,8,0,0,0,0,0,0,0,0,8,12,9,6,13,24,19,18,8,13,107,109,44,40,60,52,71,77,18,10,479,70,62,42,70,188,265,363,271,161,1487,9,6,0,3,13,10,18,8,3,73,29,20,5,21,19,41,33,35,19,222,73,64,48,94,163,230,352,295,153,1476
LGA10300,60,32,36,39,30,46,24,20,5,289,484,263,230,273,289,378,205,128,35,2290,0,4,13,3,5,7,0,0,0,33,20,5,13,10,35,50,58,22,16,239,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,131,87,60,61,97,95,82,43,11,666,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,3,5,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,8,7,3,0,14,32,27,18,3,101,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,4,6,6,3,8,22,13,5,0,61
LGA10470,579,866,769,571,545,528,410,231,163,4659,8121,6125,5174,4879,5241,4994,3863,2016,898,41301,45,24,49,53,53,42,17,3,7,294,755,617,511,676,1040,1112,1126,698,303,6833,0,0,0,0,0,0,0,0,0,0,50,55,46,50,53,78,74,38,16,468,33,32,28,26,14,19,12,4,0,177,2592,1697,1278,1328,1528,1638,1233,776,324,12392,3,3,5,3,6,3,6,0,0,34,17,18,6,24,25,23,25,11,3,155,20,12,9,11,14,19,17,12,5,106,4,0,11,3,5,10,4,0,0,33,5,8,4,10,13,6,14,14,7,75,3,0,0,8,0,0,0,0,0,13,6,13,15,12,22,30,14,4,10,125,70,32,29,42,33,33,21,9,0,282,157,114,100,123,211,238,271,183,82,1477,10,10,0,5,15,10,12,11,4,80,15,14,5,6,12,14,11,8,0,86,103,79,95,113,156,244,240,167,68,1266
LGA10500,2257,1866,3126,2130,1672,1331,991,741,612,14735,25345,20000,30672,22910,18962,15337,11656,7599,3576,156061,567,913,2103,1648,882,802,570,195,84,7766,745,600,797,956,1285,1347,1243,920,430,8329,55,39,40,50,54,39,24,7,7,321,122,138,261,188,130,177,103,63,23,1205,0,0,0,0,0,0,6,0,0,11,6395,4309,6975,5732,4969,4293,3523,2388,1005,39590,12,6,28,13,14,13,11,6,3,112,3068,2329,1773,2370,3405,2396,2293,2158,846,20645,25,35,46,47,57,44,31,31,17,329,44,41,28,25,47,26,16,11,4,239,10,10,15,18,18,25,26,37,3,173,314,191,225,282,172,209,204,121,43,1764,66,90,184,100,87,81,56,31,14,716,205,144,258,228,153,112,76,38,5,1219,194,149,250,241,261,242,234,173,69,1826,8,11,5,15,7,22,18,26,21,137,18,17,24,29,21,12,11,23,0,156,169,125,176,199,174,213,206,148,56,1462
LGA10550,513,280,258,305,525,615,523,292,135,3450,5259,2983,2480,3117,4651,6159,5060,2546,993,33254,26,20,33,45,56,63,76,20,4,345,429,300,205,341,725,1210,1359,967,349,5885,0,0,0,0,0,0,0,0,0,0,35,21,17,24,35,53,45,50,13,293,0,0,0,0,0,0,0,0,0,0,738,414,365,507,706,991,1007,519,189,5443,0,0,0,4,0,0,9,0,0,12,23,10,5,13,9,19,20,15,3,113,37,39,12,28,38,44,41,21,3,266,14,5,5,8,0,10,0,5,0,45,0,0,0,3,3,24,24,18,11,89,0,0,0,0,0,0,0,0,0,3,45,7,9,16,18,28,30,20,6,184,31,5,12,20,22,34,30,4,3,158,21,15,14,25,70,118,207,160,46,679,0,3,3,0,9,12,18,3,6,58,19,13,9,5,11,18,16,4,0,100,56,37,29,47,93,203,257,188,58,981
LGA10600,211,111,93,128,183,224,186,105,37,1285,2202,1114,952,1324,1824,2247,1717,925,367,12670,17,8,5,20,37,35,40,6,0,174,158,96,53,110,225,372,433,298,120,1863,0,0,0,0,0,0,0,0,0,0,5,4,3,8,9,6,12,10,3,56,0,0,0,0,0,0,0,0,0,0,212,128,95,122,234,289,243,177,59,1555,0,0,0,0,0,0,0,3,0,6,0,3,0,0,6,4,3,0,0,20,0,0,0,5,0,7,10,0,4,22,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,8,0,15,0,0,9,4,0,3,40,16,4,8,8,5,16,9,4,0,70,10,17,9,3,36,61,64,38,9,257,0,0,0,0,0,0,3,0,0,14,0,4,0,4,0,3,0,9,3,26,39,16,16,23,44,99,99,87,38,470
LGA10650,151,95,90,81,107,153,154,87,38,943,1442,755,744,844,936,1307,1368,741,311,8462,6,0,3,6,3,7,4,0,0,22,95,75,46,97,143,227,329,202,93,1311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,7,0,0,26,0,0,0,0,0,0,0,0,0,0,343,161,160,198,221,308,356,215,81,2040,0,0,0,0,0,0,0,0,0,0,7,4,0,0,7,0,5,0,0,17,0,3,0,0,0,5,5,0,0,13,8,5,3,5,0,6,0,3,4,48,6,5,0,9,6,8,3,5,0,34,4,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,3,6,0,18,4,0,3,0,0,5,3,0,0,21,30,17,17,20,45,73,122,70,33,422,0,0,0,0,0,0,5,4,0,16,0,0,0,0,0,0,0,0,0,3,38,28,18,45,56,88,128,90,42,540
LGA10750,5646,3517,4282,3782,3113,2518,1685,805,347,25702,76664,46122,52244,51401,42063,33698,21541,9674,3551,336960,1208,670,1008,1670,1199,942,650,187,52,7591,4195,2820,2471,3536,4745,4306,3972,2198,730,28971,46,25,36,29,26,41,23,14,7,252,909,582,593,726,651,595,458,194,52,4754,6,26,6,8,18,20,16,3,0,105,19547,12951,11457,13587,13023,11830,9430,4498,1697,98026,131,103,125,119,117,128,104,39,13,886,1083,718,738,799,990,718,642,457,156,6302,155,146,140,160,179,159,120,67,28,1145,629,378,341,283,261,179,109,35,8,2223,8,23,18,30,46,54,47,53,43,325,857,518,561,625,437,453,380,161,51,4048,644,445,517,526,487,435,275,100,33,3455,1652,1090,1010,1060,969,859,363,121,31,7152,875,552,453,656,859,826,625,394,147,5377,41,30,38,31,63,55,62,51,15,379,459,260,264,255,266,196,180,96,40,2022,875,669,625,619,719,756,641,327,87,5314
