LGA_CODE_2021,C16_SH_3b_NPFH_4,C16_SH_3b_NPFH_5,C16_SH_3b_NPFH_6_mor,C16_SH_3b_Tot,C16_SH_4mb_NPFH_2,C16_SH_4mb_NPFH_3,C16_SH_4mb_NPFH_4,C16_SH_4mb_NPFH_5,C16_SH_4mb_NPFH_6_mor,C16_SH_4mb_Tot,C16_SH_NB_NS_NPFH_2,C16_SH_NB_NS_NPFH_3,C16_SH_NB_NS_NPFH_4,C16_SH_NB_NS_NPFH_5,C16_SH_NB_NS_NPFH_6_mor,C16_SH_NB_NS_Tot,C16_SH_Tot_NPFH_2,C16_SH_Tot_NPFH_3,C16_SH_Tot_NPFH_4,C16_SH_Tot_NPFH_5,C16_SH_Tot_NPFH_6_mor,C16_SH_Tot_Tot,C16_SDRTHT_0b_s_a_b_NPFH_2,C16_SDRTHT_0b_s_a_b_NPFH_3,C16_SDRTHT_0b_s_a_b_NPFH_4,C16_SDRTHT_0b_s_a_b_NPFH_5,C16_SDRTHT_0b_s_a_b_NPFH_6mor,C16_SDRTHT_0b_s_a_b_Tot,C16_SDRTHT_1b_NPFH_2,C16_SDRTHT_1b_NPFH_3,C16_SDRTHT_1b_NPFH_4,C16_SDRTHT_1b_NPFH_5,C16_SDRTHT_1b_NPFH_6_mor,C16_SDRTHT_1b_Tot,C16_SDRTHT_2b_NPFH_2,C16_SDRTHT_2b_NPFH_3,C16_SDRTHT_2b_NPFH_4,C16_SDRTHT_2b_NPFH_5,C16_SDRTHT_2b_NPFH_6_mor,C16_SDRTHT_2b_Tot,C16_SDRTHT_3b_NPFH_2,C16_SDRTHT_3b_NPFH_3,C16_SDRTHT_3b_NPFH_4,C16_SDRTHT_3b_NPFH_5,C16_SDRTHT_3b_NPFH_6_mor,C16_SDRTHT_3b_Tot,C16_SDRTHT_4mb_NPFH_2,C16_SDRTHT_4mb_NPFH_3,C16_SDRTHT_4mb_NPFH_4,C16_SDRTHT_4mb_NPFH_5,C16_SDRTHT_4mb_NPFH_6_mor,C16_SDRTHT_4mb_Tot,C16_SDRTHT_NB_NS_NPFH_2,C16_SDRTHT_NB_NS_NPFH_3,C16_SDRTHT_NB_NS_NPFH_4,C16_SDRTHT_NB_NS_NPFH_5,C16_SDRTHT_NB_NS_NPFH_6_mor,C16_SDRTHT_NB_NS_Tot,C16_SDRTHT_Tot_NPFH_2,C16_SDRTHT_Tot_NPFH_3,C16_SDRTHT_Tot_NPFH_4,C16_SDRTHT_Tot_NPFH_5,C16_SDRTHT_Tot_NPFH_6_mor,C16_SDRTHT_Tot_Tot,C16_F_a_0b_s_a_b_NPFH_2,C16_F_a_0b_s_a_b_NPFH_3,C16_F_a_0b_s_a_b_NPFH_4,C16_F_a_0b_s_a_b_NPFH_5,C16_F_a_0b_s_a_b_NPFH_6_mor,C16_F_a_0b_s_a_b_Tot,C16_F_a_1b_NPFH_2,C16_F_a_1b_NPFH_3,C16_F_a_1b_NPFH_4,C16_F_a_1b_NPFH_5,C16_F_a_1b_NPFH_6_mor,C16_F_a_1b_Tot,C16_F_a_2b_NPFH_2,C16_F_a_2b_NPFH_3,C16_F_a_2b_NPFH_4,C16_F_a_2b_NPFH_5,C16_F_a_2b_NPFH_6_mor,C16_F_a_2b_Tot,C16_F_a_3b_NPFH_2,C16_F_a_3b_NPFH_3,C16_F_a_3b_NPFH_4,C16_F_a_3b_NPFH_5,C16_F_a_3b_NPFH_6_mor,C16_F_a_3b_Tot,C16_F_a_4mb_NPFH_2,C16_F_a_4mb_NPFH_3,C16_F_a_4mb_NPFH_4,C16_F_a_4mb_NPFH_5,C16_F_a_4mb_NPFH_6_mor,C16_F_a_4mb_Tot,C16_F_a_NB_NS_NPFH_2,C16_F_a_NB_NS_NPFH_3,C16_F_a_NB_NS_NPFH_4,C16_F_a_NB_NS_NPFH_5,C16_F_a_NB_NS_NPFH_6_mor,C16_F_a_NB_NS_Tot,C16_F_a_Tot_NPFH_2,C16_F_a_Tot_NPFH_3,C16_F_a_Tot_NPFH_4,C16_F_a_Tot_NPFH_5,C16_F_a_Tot_NPFH_6_mor,C16_F_a_Tot_Tot,C16_OD_0b_s_a_b_NPFH_2,C16_OD_0b_s_a_b_NPFH_3,C16_OD_0b_s_a_b_NPFH_4,C16_OD_0b_s_a_b_NPFH_5,C16_OD_0b_s_a_b_NPFH_6_mor,C16_OD_0b_s_a_b_Tot,C16_OD_1b_NPFH_2,C16_OD_1b_NPFH_3,C16_OD_1b_NPFH_4,C16_OD_1b_NPFH_5,C16_OD_1b_NPFH_6_mor,C16_OD_1b_Tot,C16_OD_2b_NPFH_2,C16_OD_2b_NPFH_3,C16_OD_2b_NPFH_4,C16_OD_2b_NPFH_5,C16_OD_2b_NPFH_6_mor,C16_OD_2b_Tot,C16_OD_3b_NPFH_2,C16_OD_3b_NPFH_3,C16_OD_3b_NPFH_4,C16_OD_3b_NPFH_5,C16_OD_3b_NPFH_6_mor,C16_OD_3b_Tot,C16_OD_4mb_NPFH_2,C16_OD_4mb_NPFH_3,C16_OD_4mb_NPFH_4,C16_OD_4mb_NPFH_5,C16_OD_4mb_NPFH_6_mor,C16_OD_4mb_Tot,C16_OD_NB_NS_NPFH_2,C16_OD_NB_NS_NPFH_3,C16_OD_NB_NS_NPFH_4,C16_OD_NB_NS_NPFH_5,C16_OD_NB_NS_NPFH_6_mor,C16_OD_NB_NS_Tot,C16_OD_Tot_NPFH_2,C16_OD_Tot_NPFH_3,C16_OD_Tot_NPFH_4,C16_OD_Tot_NPFH_5,C16_OD_Tot_NPFH_6_mor,C16_OD_Tot_Tot,C16_DS_NS_NPFH_2,C16_DS_NS_NPFH_3,C16_DS_NS_NPFH_4,C16_DS_NS_NPFH_5,C16_DS_NS_NPFH_6_mor,C16_DS_NS_Tot,C16_Tot_NPFH_2,C16_Tot_NPFH_3,C16_Tot_NPFH_4,C16_Tot_NPFH_5,C16_Tot_NPFH_6_mor,C16_Tot_Tot,C21_SH_0b_s_a_b_NPFH_2,C21_SH_0b_s_a_b_NPFH_3,C21_SH_0b_s_a_b_NPFH_4,C21_SH_0b_s_a_b_NPFH_5,C21_SH_0b_s_a_b_NPFH_6_mor,C21_SH_0b_s_a_b_Tot,C21_SH_1b_NPFH_2,C21_SH_1b_NPFH_3,C21_SH_1b_NPFH_4,C21_SH_1b_NPFH_5,C21_SH_1b_NPFH_6_mor,C21_SH_1b_Tot,C21_SH_2b_NPFH_2,C21_SH_2b_NPFH_3,C21_SH_2b_NPFH_4,C21_SH_2b_NPFH_5,C21_SH_2b_NPFH_6_mor,C21_SH_2b_Tot,C21_SH_3b_NPFH_2,C21_SH_3b_NPFH_3,C21_SH_3b_NPFH_4,C21_SH_3b_NPFH_5,C21_SH_3b_NPFH_6_mor,C21_SH_3b_Tot,C21_SH_4mb_NPFH_2,C21_SH_4mb_NPFH_3,C21_SH_4mb_NPFH_4,C21_SH_4mb_NPFH_5,C21_SH_4mb_NPFH_6_mor,C21_SH_4mb_Tot,C21_SH_NB_NS_NPFH_2,C21_SH_NB_NS_NPFH_3,C21_SH_NB_NS_NPFH_4,C21_SH_NB_NS_NPFH_5,C21_SH_NB_NS_NPFH_6_mor,C21_SH_NB_NS_Tot,C21_SH_Tot_NPFH_2,C21_SH_Tot_NPFH_3,C21_SH_Tot_NPFH_4,C21_SH_Tot_NPFH_5
LGA10050,971,265,77,5398,1739,959,1329,722,310,5063,64,35,24,10,13,136,5301,2332,2366,995,400,11395,0,0,0,0,0,0,41,10,0,0,0,46,486,138,57,9,5,695,164,75,44,13,3,302,10,13,12,4,4,36,20,3,0,0,0,16,717,235,108,29,12,1099,0,0,0,0,0,0,4,0,0,0,0,5,47,22,4,0,0,77,9,9,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,5,58,32,5,0,0,104,0,0,0,0,0,0,6,0,0,0,0,6,15,0,0,0,0,14,13,4,0,0,0,19,0,0,4,0,0,4,0,0,0,0,0,0,28,9,3,0,0,44,15,4,4,3,0,28,6123,2612,2490,1032,414,12673,5,0,0,0,0,5,21,0,0,0,0,27,604,99,46,14,6,752,3099,1264,961,281,103,5701,2250,1229,1605,875,377,6331,45,17,19,7,5,101,6020,2603,2635,1173
LGA10180,460,132,52,2688,1036,509,622,384,192,2743,43,13,10,6,6,72,2902,1184,1130,534,254,5995,0,0,0,0,0,0,15,0,0,0,0,13,130,37,32,11,0,211,36,29,19,11,0,98,7,6,0,0,0,15,3,0,0,0,0,4,193,71,53,16,5,344,0,0,0,0,0,0,14,3,0,0,0,16,63,20,15,5,3,100,14,9,0,3,4,33,4,0,0,0,0,4,0,0,0,0,0,4,92,33,17,8,7,157,4,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,7,4,0,0,0,12,0,0,0,0,0,4,0,0,0,0,0,0,11,9,0,0,0,25,21,14,9,6,0,45,3225,1296,1209,560,266,6558,4,0,4,0,0,10,31,0,4,0,0,38,296,76,15,5,0,394,1502,524,409,140,62,2641,1241,554,674,363,236,3066,23,13,9,5,4,55,3102,1164,1115,518
LGA10250,666,176,47,3813,1625,764,980,533,255,4157,71,28,11,4,4,119,4283,1678,1700,729,313,8703,0,0,0,0,0,0,8,0,0,4,0,11,450,111,41,10,0,613,565,228,146,45,9,999,44,39,25,23,8,136,17,8,0,0,0,23,1096,390,214,78,16,1789,0,0,0,0,0,0,6,0,0,0,0,7,153,29,9,0,0,194,89,35,20,6,4,147,4,0,8,0,0,10,0,0,0,0,0,0,255,73,29,6,3,370,3,0,0,0,0,7,17,0,0,0,0,15,85,10,0,0,0,95,19,3,4,0,0,30,0,0,4,0,0,8,3,0,0,0,0,7,134,16,9,0,0,157,23,11,6,8,0,54,5782,2167,1965,825,329,11068,10,0,0,0,0,11,63,3,5,0,0,68,558,111,36,6,0,713,2222,835,701,177,63,3996,1978,966,1174,632,306,5058,46,28,15,12,4,100,4872,1937,1936,828
LGA10300,35,30,7,265,82,35,32,39,27,216,3,0,0,0,0,10,255,105,74,73,36,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,3,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,5,272,109,74,76,36,568,0,0,0,0,0,0,5,0,0,0,0,4,25,10,0,4,0,42,132,43,30,18,9,233,67,30,40,32,26,196,0,5,0,0,0,7,232,84,78,55
LGA10470,634,183,58,3491,1689,933,1267,717,366,4977,64,26,19,4,6,113,3932,1883,1956,908,443,9131,0,0,0,0,0,0,20,7,0,0,0,21,197,47,15,0,0,256,137,53,48,9,0,245,12,14,9,4,4,39,5,0,0,0,0,7,370,112,71,17,5,572,0,0,0,0,0,0,15,0,0,0,0,15,78,12,14,0,0,114,22,16,0,3,0,37,4,0,4,0,0,11,0,0,0,0,0,4,119,28,18,5,4,174,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,8,3,0,0,0,0,9,3,0,0,4,0,7,0,0,0,0,0,0,18,0,0,6,0,22,22,3,4,0,4,27,4459,2037,2050,937,450,9932,5,0,0,0,0,7,29,8,3,0,0,41,349,80,32,6,4,474,1982,750,566,178,66,3538,2191,1187,1427,784,391,5981,43,18,15,4,0,80,4594,2048,2045,974
LGA10500,2271,836,421,8466,1380,1253,1949,1345,1030,6960,116,61,64,26,31,302,5445,3732,4603,2297,1526,17602,0,0,0,0,3,8,61,9,6,0,0,77,798,361,260,57,12,1490,1009,762,812,252,96,2929,123,129,256,160,79,746,33,18,4,11,7,76,2021,1279,1337,474,203,5315,22,10,8,3,0,49,1243,224,65,14,10,1550,4743,3349,2145,561,174,10967,657,573,610,272,148,2265,17,14,28,16,12,92,135,54,54,30,8,287,6820,4228,2907,893,359,15204,4,0,0,0,0,4,22,12,0,0,0,33,48,28,14,0,3,104,17,17,20,3,14,68,3,3,3,0,3,25,4,0,8,0,0,13,101,60,48,12,19,247,57,32,14,11,9,119,14445,9334,8911,3688,2109,38484,13,0,0,0,0,12,63,14,9,3,0,87,911,367,204,55,25,1565,3114,1972,2081,637,293,8096,1796,1635,2327,1514,1096,8360,71,39,35,14,30,189,5958,4035,4651,2223
LGA10550,576,174,65,3910,1347,523,564,330,201,2967,74,21,14,9,8,126,4488,1416,1243,532,281,7959,0,0,0,0,0,0,8,0,0,0,0,9,228,38,3,3,0,269,146,42,21,9,4,213,20,7,4,8,0,36,8,0,0,0,0,16,409,88,24,14,4,544,0,0,0,0,0,0,9,0,0,0,0,9,63,18,0,0,0,82,42,17,9,3,0,73,0,0,0,0,0,7,5,0,0,0,0,9,129,39,13,6,0,184,3,0,0,0,0,3,23,0,0,0,0,26,22,4,0,0,0,35,19,3,4,0,0,30,0,3,0,0,0,8,5,0,0,0,0,5,80,19,5,0,0,100,61,14,5,0,3,86,5167,1572,1296,551,287,8876,39,0,8,0,4,48,130,17,8,0,3,154,686,150,77,22,10,937,2554,726,594,178,51,4100,1661,570,665,390,253,3539,51,22,10,9,7,91,5121,1490,1346,594
LGA10600,267,78,24,1524,462,211,234,124,83,1108,33,14,0,4,3,49,1650,615,552,230,111,3155,0,0,0,0,0,0,0,0,0,0,0,0,17,4,4,0,0,29,27,12,15,3,0,58,8,4,7,3,0,23,0,0,0,0,0,0,55,24,25,3,4,112,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,26,4,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,30,8,4,0,0,41,0,0,0,0,0,3,5,0,0,0,0,5,5,0,0,0,0,9,3,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,21,4,3,0,0,31,19,5,0,0,3,30,1776,660,584,229,115,3363,5,0,0,0,0,9,52,8,3,0,0,75,258,62,40,7,0,368,858,314,244,71,22,1514,529,242,257,171,91,1282,16,9,7,4,0,38,1720,643,554,257
LGA10650,137,57,21,1001,318,133,149,99,60,766,21,6,4,0,0,26,1133,306,302,165,86,1990,0,0,0,0,0,0,3,0,0,0,0,3,13,0,0,0,0,13,12,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,3,0,0,0,0,9,0,3,0,0,0,4,3,0,0,0,0,3,23,7,0,0,0,31,4,0,0,0,0,4,3,0,0,0,0,3,11,0,7,0,0,15,7,4,3,0,0,12,3,0,0,0,0,10,0,0,0,0,0,0,38,8,10,0,0,57,0,0,0,0,0,3,1216,320,319,160,86,2104,4,0,0,0,0,4,14,0,0,0,0,16,123,20,3,4,0,146,701,187,130,33,19,1069,384,143,164,118,50,868,12,7,3,0,4,30,1239,353,301,158
LGA10750,7137,2917,1662,29516,6034,6712,10008,5600,4683,33039,364,277,209,154,185,1193,18005,15227,17737,8812,6620,66402,8,6,7,8,4,27,111,13,8,0,0,141,563,328,221,54,21,1191,1807,1931,1882,726,357,6704,884,1038,1710,768,521,4921,78,37,31,21,20,190,3447,3350,3869,1577,930,13171,5,8,5,0,0,14,109,20,8,0,0,140,1034,754,482,125,51,2443,129,166,175,74,33,575,18,18,27,11,14,88,29,23,13,6,0,77,1318,988,705,216,102,3336,4,0,0,0,0,4,12,0,0,0,0,17,63,24,12,0,3,93,28,19,21,14,5,86,14,7,11,3,6,42,0,0,0,0,0,0,114,55,46,19,12,243,71,68,41,24,14,221,22956,19690,22402,10649,7680,83376,24,10,12,9,0,53,175,44,21,11,13,261,1780,751,379,101,44,3065,11049,7900,7378,2669,1344,30335,9390,10825,15330,7221,5508,48274,305,228,200,93,103,931,22727,19764,23311,10103
