LGA_CODE_2021,C21_SH_Tot_NPFH_6_mor,C21_SH_Tot_Tot,C21_SDRTHT_0b_s_a_b_NPFH_2,C21_SDRTHT_0b_s_a_b_NPFH_3,C21_SDRTHT_0b_s_a_b_NPFH_4,C21_SDRTHT_0b_s_a_b_NPFH_5,C21_SDRTHT_0b_s_a_b_NPFH_6mor,C21_SDRTHT_0b_s_a_b_Tot,C21_SDRTHT_1b_NPFH_2,C21_SDRTHT_1b_NPFH_3,C21_SDRTHT_1b_NPFH_4,C21_SDRTHT_1b_NPFH_5,C21_SDRTHT_1b_NPFH_6_mor,C21_SDRTHT_1b_Tot,C21_SDRTHT_2b_NPFH_2,C21_SDRTHT_2b_NPFH_3,C21_SDRTHT_2b_NPFH_4,C21_SDRTHT_2b_NPFH_5,C21_SDRTHT_2b_NPFH_6_mor,C21_SDRTHT_2b_Tot,C21_SDRTHT_3b_NPFH_2,C21_SDRTHT_3b_NPFH_3,C21_SDRTHT_3b_NPFH_4,C21_SDRTHT_3b_NPFH_5,C21_SDRTHT_3b_NPFH_6_mor,C21_SDRTHT_3b_Tot,C21_SDRTHT_4mb_NPFH_2,C21_SDRTHT_4mb_NPFH_3,C21_SDRTHT_4mb_NPFH_4,C21_SDRTHT_4mb_NPFH_5,C21_SDRTHT_4mb_NPFH_6_mor,C21_SDRTHT_4mb_Tot,C21_SDRTHT_NB_NS_NPFH_2,C21_SDRTHT_NB_NS_NPFH_3,C21_SDRTHT_NB_NS_NPFH_4,C21_SDRTHT_NB_NS_NPFH_5,C21_SDRTHT_NB_NS_NPFH_6_mor,C21_SDRTHT_NB_NS_Tot,C21_SDRTHT_Tot_NPFH_2,C21_SDRTHT_Tot_NPFH_3,C21_SDRTHT_Tot_NPFH_4,C21_SDRTHT_Tot_NPFH_5,C21_SDRTHT_Tot_NPFH_6_mor,C21_SDRTHT_Tot_Tot,C21_F_a_0b_s_a_b_NPFH_2,C21_F_a_0b_s_a_b_NPFH_3,C21_F_a_0b_s_a_b_NPFH_4,C21_F_a_0b_s_a_b_NPFH_5,C21_F_a_0b_s_a_b_NPFH_6_mor,C21_F_a_0b_s_a_b_Total,C21_F_a_1b_NPFH_2,C21_F_a_1b_NPFH_3,C21_F_a_1b_NPFH_4,C21_F_a_1b_NPFH_5,C21_F_a_1b_NPFH_6_mor,C21_F_a_1b_Tot,C21_F_a_2b_NPFH_2,C21_F_a_2b_NPFH_3,C21_F_a_2b_NPFH_4,C21_F_a_2b_NPFH_5,C21_F_a_2b_NPFH_6_mor,C21_F_a_2b_Tot,C21_F_a_3b_NPFH_2,C21_F_a_3b_NPFH_3,C21_F_a_3b_NPFH_4,C21_F_a_3b_NPFH_5,C21_F_a_3b_NPFH_6_mor,C21_F_a_3b_Tot,C21_F_a_4mb_NPFH_2,C21_F_a_4mb_NPFH_3,C21_F_a_4mb_NPFH_4,C21_F_a_4mb_NPFH_5,C21_F_a_4mb_NPFH_6_mor,C21_F_a_4mb_Tot,C21_F_a_NB_NS_NPFH_2,C21_F_a_NB_NS_NPFH_3,C21_F_a_NB_NS_NPFH_4,C21_F_a_NB_NS_NPFH_5,C21_F_a_NB_NS_NPFH_6_mor,C21_F_a_NB_NS_Tot,C21_F_a_Tot_NPFH_2,C21_F_a_Tot_NPFH_3,C21_F_a_Tot_NPFH_4,C21_F_a_Tot_NPFH_5,C21_F_a_Tot_NPFH_6_mor,C21_F_a_Tot_Tot,C21_OD_0b_s_a_b_NPFH_2,C21_OD_0b_s_a_b_NPFH_3,C21_OD_0b_s_a_b_NPFH_4,C21_OD_0b_s_a_b_NPFH_5,C21_OD_0b_s_a_b_NPFH_6_mor,C21_OD_0b_s_a_b_Tot,C21_OD_1b_NPFH_2,C21_OD_1b_NPFH_3,C21_OD_1b_NPFH_4,C21_OD_1b_NPFH_5,C21_OD_1b_NPFH_6_mor,C21_OD_1b_Tot,C21_OD_2b_NPFH_2,C21_OD_2b_NPFH_3,C21_OD_2b_NPFH_4,C21_OD_2b_NPFH_5,C21_OD_2b_NPFH_6_mor,C21_OD_2b_Tot,C21_OD_3b_NPFH_2,C21_OD_3b_NPFH_3,C21_OD_3b_NPFH_4,C21_OD_3b_NPFH_5,C21_OD_3b_NPFH_6_mor,C21_OD_3b_Tot,C21_OD_4mb_NPFH_2,C21_OD_4mb_NPFH_3,C21_OD_4mb_NPFH_4,C21_OD_4mb_NPFH_5,C21_OD_4mb_NPFH_6_mor,C21_OD_4mb_Tot,C21_OD_NB_NS_NPFH_2,C21_OD_NB_NS_NPFH_3,C21_OD_NB_NS_NPFH_4,C21_OD_NB_NS_NPFH_5,C21_OD_NB_NS_NPFH_6_mor,C21_OD_NB_NS_Tot,C21_OD_Tot_NPFH_2,C21_OD_Tot_NPFH_3,C21_OD_Tot_NPFH_4,C21_OD_Tot_NPFH_5,C21_OD_Tot_NPFH_6_mor,C21_OD_Tot_Tot,C21_DS_NS_NPFH_2,C21_DS_NS_NPFH_3,C21_DS_NS_NPFH_4,C21_DS_NS_NPFH_5,C21_DS_NS_NPFH_6_mor,C21_DS_NS_Tot,C21_Tot_NPFH_2,C21_Tot_NPFH_3,C21_Tot_NPFH_4,C21_Tot_NPFH_5,C21_Tot_NPFH_6_mor,C21_Tot_Tot
LGA10050,491,12917,0,0,0,0,0,0,38,6,0,0,0,48,590,160,54,22,4,826,211,97,28,5,7,350,16,5,8,4,4,43,18,0,3,0,0,23,871,280,98,29,19,1297,0,0,0,0,0,0,9,0,0,0,0,9,50,16,3,0,0,66,10,0,3,0,0,18,0,3,0,0,0,3,0,0,0,0,0,0,75,13,8,0,0,98,4,0,0,0,0,4,3,0,0,0,0,3,9,5,0,0,0,5,8,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,20,5,0,0,0,28,10,3,3,0,0,21,6998,2907,2742,1201,508,14360
LGA10180,304,6194,0,0,0,0,0,0,18,0,5,0,0,20,137,54,38,9,0,237,65,21,25,5,7,123,8,5,4,5,0,22,0,4,0,0,0,0,237,83,72,21,7,410,0,0,0,0,0,0,10,3,0,0,0,8,69,20,15,0,0,105,20,6,5,3,0,32,0,4,0,0,0,4,0,0,0,0,0,0,90,34,25,6,0,154,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,5,0,0,0,17,8,4,4,3,0,22,3449,1288,1209,545,313,6793
LGA10250,380,9953,0,0,0,0,0,0,17,5,0,0,0,20,493,117,46,5,0,662,602,258,167,46,8,1072,71,33,52,21,4,170,8,4,0,0,4,18,1189,412,256,72,12,1945,0,0,0,0,0,0,10,0,0,0,0,10,152,43,13,0,6,209,111,32,14,10,5,169,9,3,3,0,6,15,0,0,0,0,0,5,279,74,36,11,9,410,4,0,0,0,0,5,25,0,0,0,0,25,50,5,0,0,0,55,19,6,0,0,0,26,6,0,0,0,0,6,4,0,0,0,0,3,104,10,3,0,0,119,21,7,0,0,0,29,6462,2440,2237,915,396,12451
LGA10300,32,478,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,14,253,89,75,55,39,503
LGA10470,465,10124,0,0,0,0,0,0,22,0,0,0,0,29,186,46,17,0,0,247,140,65,40,13,3,270,31,21,9,5,3,74,9,0,0,0,0,18,392,137,69,17,16,629,0,0,0,0,0,0,14,0,0,0,0,19,90,25,14,0,0,127,28,0,8,0,0,41,5,5,0,0,0,9,5,0,0,0,0,3,140,30,18,0,3,196,0,0,0,0,0,3,4,0,0,0,0,4,0,6,0,0,0,9,3,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,5,13,4,3,7,3,21,14,4,8,0,0,26,5151,2221,2144,999,484,10999
LGA10500,1442,18307,3,0,0,0,0,3,55,8,4,0,0,65,858,327,213,51,14,1468,1109,845,863,221,67,3098,192,203,290,157,98,936,19,9,12,0,0,43,2232,1391,1382,430,179,5616,21,7,0,0,0,29,2209,253,68,14,4,2547,7007,3928,2067,538,146,13683,1008,962,929,350,190,3445,28,28,45,32,36,174,94,53,23,7,12,198,10374,5231,3140,946,380,20073,0,0,0,0,0,0,17,5,6,0,0,24,54,31,13,6,0,104,14,15,16,4,4,58,5,6,5,0,4,20,0,0,0,0,0,5,93,57,30,10,13,208,37,16,17,5,5,75,18692,10728,9218,3617,2021,44280
LGA10550,317,8873,0,0,0,0,0,0,12,0,0,0,0,13,169,34,4,4,0,211,154,30,25,5,3,213,18,4,8,6,0,34,0,0,0,0,0,0,348,69,42,14,4,473,0,0,0,0,0,0,11,0,0,0,0,10,117,25,4,4,0,151,50,16,10,3,0,78,7,6,0,0,0,9,0,0,0,0,0,3,180,48,13,3,0,258,8,6,0,0,5,8,19,0,0,0,0,18,31,6,0,0,0,37,13,0,0,0,0,14,4,0,4,0,3,10,0,0,0,0,0,0,75,10,9,0,10,101,25,3,5,3,0,41,5749,1628,1410,618,329,9738
LGA10600,115,3281,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,28,26,9,7,0,0,44,7,0,4,0,3,13,0,0,0,0,0,0,60,8,9,6,3,88,0,0,0,0,0,0,4,0,0,0,0,4,33,3,0,0,0,39,4,4,0,0,0,14,4,0,4,0,0,7,0,0,0,0,0,0,48,12,4,0,0,63,5,0,0,0,0,3,11,0,0,0,0,11,9,0,0,0,0,14,9,0,0,0,0,8,3,0,5,0,0,7,0,0,0,0,0,0,30,4,6,0,0,38,4,4,5,0,0,10,1858,665,577,263,116,3482
LGA10650,71,2123,0,0,0,0,0,0,0,0,0,0,0,0,39,10,4,0,0,52,15,0,0,0,0,18,5,0,0,0,0,5,0,0,0,0,0,3,61,14,5,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,8,0,0,0,0,0,0,6,0,6,3,4,15,14,0,0,0,0,12,1321,369,311,162,72,2235
LGA10750,7013,82917,4,0,0,0,0,6,100,10,3,0,0,110,773,334,224,47,11,1381,1717,1837,1823,683,335,6402,421,672,954,499,366,2904,54,34,21,26,6,135,3060,2879,3029,1252,719,10944,10,3,0,0,0,12,204,42,10,0,0,253,1628,1050,625,146,28,3481,214,245,252,89,32,832,21,36,38,26,28,146,29,16,8,3,0,57,2105,1390,944,265,95,4796,0,0,0,0,0,0,0,0,0,0,0,5,13,4,3,0,0,22,6,4,5,6,0,22,4,12,10,6,0,25,0,0,0,0,0,0,23,18,18,7,0,70,50,42,26,24,10,149,27966,24094,27329,11656,7829,98872
