LGA_CODE_2021,C11_CFC_SMS_MRM_NDC_UR_1,C11_CFC_SMS_MRM_NDC_UR_2,C11_CFC_SMS_MRM_NDC_UR_3,C11_CFC_SMS_MRM_NDC_UR_4mo,C11_CFC_SMS_MRM_NDC_UR_Total,C11_CFC_SMS_M_DfM_NDC_UR_1,C11_CFC_SMS_M_DfM_NDC_UR_2,C11_CFC_SMS_M_DfM_NDC_UR_3,C11_CFC_SMS_M_DfM_NDC_UR_4mo,C11_CFC_SMS_M_DfM_NDC_UR_Tot,C11_CFC_SMS_Tot_NDC_UR_1,C11_CFC_SMS_Tot_NDC_UR_2,C11_CFC_SMS_Tot_NDC_UR_3,C11_CFC_SMS_Tot_NDC_UR_4mo,C11_CFC_SMS_Tot_NDC_UR_Tot,C11_1PF_NDC_UR_1,C11_1PF_NDC_UR_2,C11_1PF_NDC_UR_3,C11_1PF_NDC_UR_4mo,C11_1PF_NDC_UR_Tot,C11_Tot_NDC_UR_1,C11_Tot_NDC_UR_2,C11_Tot_NDC_UR_3,C11_Tot_NDC_UR_4mo,C11_Tot_NDC_UR_Tot,C16_CFC_SMS_MRM_NDC_UR_1,C16_CFC_SMS_MRM_NDC_UR_2,C16_CFC_SMS_MRM_NDC_UR_3,C16_CFC_SMS_MRM_NDC_UR_4mo,C16_CFC_SMS_MRM_NDC_UR_Tot,C16_CFC_SMS_M_DfM_NDC_UR_1,C16_CFC_SMS_M_DfM_NDC_UR_2,C16_CFC_SMS_M_DfM_NDC_UR_3,C16_CFC_SMS_M_DfM_NDC_UR_4mo,C16_CFC_SMS_M_DfM_NDC_UR_Tot,C16_CFC_SMS_Tot_NDC_UR_1,C16_CFC_SMS_Tot_NDC_UR_2,C16_CFC_SMS_Tot_NDC_UR_3,C16_CFC_SMS_Tot_NDC_UR_4mo,C16_CFC_SMS_Tot_NDC_UR_Tot,C16_1PF_NDC_UR_1,C16_1PF_NDC_UR_2,C16_1PF_NDC_UR_3,C16_1PF_NDC_UR_4mo,C16_1PF_NDC_UR_Tot,C16_Tot_NDC_UR_1,C16_Tot_NDC_UR_2,C16_Tot_NDC_UR_3,C16_Tot_NDC_UR_4mo,C16_Tot_NDC_UR_Tot,C21_CFC_SMS_MRM_NDC_UR_1,C21_CFC_SMS_MRM_NDC_UR_2,C21_CFC_SMS_MRM_NDC_UR_3,C21_CFC_SMS_MRM_NDC_UR_4mo,C21_CFC_SMS_MRM_NDC_UR_Tot,C21_CFC_SMS_M_DfM_NDC_UR_1,C21_CFC_SMS_M_DfM_NDC_UR_2,C21_CFC_SMS_M_DfM_NDC_UR_3,C21_CFC_SMS_M_DfM_NDC_UR_4mo,C21_CFC_SMS_M_DfM_NDC_UR_Tot,C21_CFC_SMS_Tot_NDC_UR_1,C21_CFC_SMS_Tot_NDC_UR_2,C21_CFC_SMS_Tot_NDC_UR_3,C21_CFC_SMS_Tot_NDC_UR_4mo,C21_CFC_SMS_Tot_NDC_UR_Tot,C21_1PF_NDC_UR_1,C21_1PF_NDC_UR_2,C21_1PF_NDC_UR_3,C21_1PF_NDC_UR_4mo,C21_1PF_NDC_UR_Tot,C21_Tot_NDC_UR_1,C21_Tot_NDC_UR_2,C21_Tot_NDC_UR_3,C21_Tot_NDC_UR_4mo,C21_Tot_NDC_UR_Tot
LGA10050,1169,1582,646,214,3610,299,214,82,43,642,1476,1797,729,253,4247,821,516,187,84,1601,2289,2307,916,335,5853,1246,1557,631,199,3639,315,267,102,33,723,1558,1828,733,237,4361,788,525,209,75,1588,2345,2353,943,311,5948,1216,1659,689,188,3753,429,349,144,51,969,1641,2011,838,236,4723,931,628,225,95,1876,2568,2638,1064,323,6594
LGA10180,549,792,394,132,1867,175,139,67,17,391,725,923,454,151,2258,432,265,109,57,863,1160,1193,567,209,3126,551,791,347,113,1799,164,152,53,36,404,711,940,405,149,2200,405,260,104,47,815,1115,1200,501,194,3015,554,715,328,135,1734,180,156,72,28,433,736,870,402,160,2171,380,255,125,61,815,1117,1128,525,221,2985
LGA10250,836,1209,472,180,2696,272,245,70,24,611,1109,1451,545,204,3307,712,435,120,52,1317,1816,1882,662,255,4622,843,1184,473,125,2629,302,276,82,32,692,1147,1465,553,157,3317,669,400,114,43,1225,1820,1859,668,201,4547,853,1300,490,123,2769,393,337,96,29,854,1246,1633,585,156,3619,709,438,127,38,1315,1960,2070,711,196,4933
LGA10300,45,59,34,17,160,14,11,0,5,39,60,76,41,20,202,25,20,5,0,55,80,92,48,26,247,43,40,49,22,144,17,12,13,4,44,54,52,58,24,189,19,15,7,5,48,78,65,66,33,238,43,41,32,15,129,12,3,7,5,32,58,47,44,19,164,12,14,11,8,47,68,65,48,31,209
LGA10470,835,1205,588,214,2841,274,232,82,54,644,1116,1436,671,270,3485,580,391,156,69,1188,1687,1819,831,337,4673,876,1275,530,202,2877,273,263,108,53,698,1146,1536,637,254,3574,610,422,190,61,1288,1759,1961,832,310,4865,927,1272,495,185,2881,327,301,155,53,829,1252,1568,649,236,3709,651,473,205,70,1402,1906,2040,856,310,5107
LGA10500,4928,5204,1729,505,12364,485,382,95,27,994,5415,5592,1827,532,13359,1858,1032,296,99,3287,7275,6616,2124,633,16642,5620,5793,1708,462,13582,692,485,141,33,1352,6308,6276,1849,499,14935,1927,1041,266,67,3305,8239,7319,2113,570,18241,6100,6088,1737,399,14320,967,567,124,29,1681,7070,6648,1860,427,16004,2103,1152,306,86,3652,9177,7805,2164,507,19656
LGA10550,619,816,358,125,1920,259,237,70,39,605,873,1049,434,166,2524,499,327,126,47,999,1374,1379,564,212,3523,566,722,285,118,1692,247,263,88,34,638,814,984,382,151,2330,430,292,83,61,864,1244,1273,461,214,3196,536,761,311,113,1719,305,282,106,37,733,839,1049,419,148,2454,438,281,95,41,851,1276,1330,518,184,3305
LGA10600,242,305,137,59,750,103,118,50,15,284,344,423,191,72,1030,266,174,54,28,523,614,601,248,97,1549,213,302,125,29,667,98,132,36,12,283,313,432,161,48,952,224,164,50,19,454,536,595,214,70,1407,183,307,119,37,649,113,120,46,8,289,292,428,163,46,934,225,164,41,14,442,518,595,201,59,1370
LGA10650,168,196,105,58,523,34,31,16,11,97,200,229,118,71,620,110,67,31,3,207,308,294,152,72,826,122,195,121,40,478,48,42,12,9,114,172,231,134,52,589,114,50,21,9,196,283,291,162,59,793,128,180,105,35,453,48,51,17,8,122,175,233,126,44,575,95,69,18,10,187,270,299,147,50,763
LGA10750,11371,13541,5015,2000,31915,1320,1122,478,290,3217,12693,14658,5492,2291,35134,4865,3317,1360,771,10324,17563,17974,6852,3067,45455,13164,15851,5254,1980,36242,1580,1301,585,317,3787,14741,17157,5845,2291,40028,4806,3163,1312,730,10012,19550,20314,7152,3021,50044,16469,20321,5691,1976,44454,1787,1446,602,317,4148,18257,21763,6291,2291,48604,4996,3353,1339,692,10376,23251,25113,7631,2985,58981
