LGA_CODE_2021,C16_CF_1P1NW_150_399,C16_CF_1P1NW_400_649,C16_CF_1P1NW_650_799,C16_CF_1P1NW_800_1249,C16_CF_1P1NW_1250_1999,C16_CF_1P1NW_2000_2499,C16_CF_1P1NW_2500_2999,C16_CF_1P1NW_3000_3999,C16_CF_1P1NW_4000more,C16_CF_1P1NW_Ns,C16_CF_1P1NW_Tot,C16_CF_1A1NW_Neg_ni_inc,C16_CF_1A1NW_1_149,C16_CF_1A1NW_150_399,C16_CF_1A1NW_400_649,C16_CF_1A1NW_650_799,C16_CF_1A1NW_800_1249,C16_CF_1A1NW_1250_1999,C16_CF_1A1NW_2000_2499,C16_CF_1A1NW_2500_2999,C16_CF_1A1NW_3000_3999,C16_CF_1A1NW_4000more,C16_CF_1A1NW_Ns,C16_CF_1A1NW_Tot,C16_CF_BA_Neg_ni_inc,C16_CF_BA_1_149,C16_CF_BA_150_399,C16_CF_BA_400_649,C16_CF_BA_650_799,C16_CF_BA_800_1249,C16_CF_BA_1250_1999,C16_CF_BA_2000_2499,C16_CF_BA_2500_2999,C16_CF_BA_3000_3999,C16_CF_BA_4000more,C16_CF_BA_Ns,C16_CF_BA_Tot,C16_CF_BNW_Neg_ni_inc,C16_CF_BNW_1_149,C16_CF_BNW_150_399,C16_CF_BNW_400_649,C16_CF_BNW_650_799,C16_CF_BNW_800_1249,C16_CF_BNW_1250_1999,C16_CF_BNW_2000_2499,C16_CF_BNW_2500_2999,C16_CF_BNW_3000_3999,C16_CF_BNW_4000more,C16_CF_BNW_Ns,C16_CF_BNW_Tot,C16_CF_LFns_Neg_ni_inc,C16_CF_LFns_1_149,C16_CF_LFns_150_399,C16_CF_LFns_400_649,C16_CF_LFns_650_799,C16_CF_LFns_800_1249,C16_CF_LFns_1250_1999,C16_CF_LFns_2000_2499,C16_CF_LFns_2500_2999,C16_CF_LFns_3000_3999,C16_CF_LFns_4000more,C16_CF_LFns_Ns,C16_CF_LFns_Tot,C16_C_f_c_Tot_Fi_Neg_ni_inc,C16_C_f_c_Tot_Fi_1_149,C16_C_f_c_Tot_Fi_150_399,C16_C_f_c_Tot_Fi_400_649,C16_CF_c_Tot_Fi_650_799,C16_CF_c_Tot_Fi_800_1249,C16_CF_c_Tot_Fi_1250_1999,C16_CF_c_Tot_Fi_2000_2499,C16_CF_c_Tot_Fi_2500_2999,C16_CF_c_Tot_Fi_3000_3999,C16_CF_c_Tot_Fi_4000more,C16_C_f_with_c_TotFI_Ns,C16_C_f_with_c_Tot_Tot,C16_1PF_F_Neg_ni_inc,C16_1PF_F_1_149,C16_1PF_F_150_399,C16_1PF_F_400_649,C16_1PF_F_650_799,C16_1PF_F_800_1249,C16_1PF_F_1250_1999,C16_1PF_F_2000_2499,C16_1PF_F_2500_2999,C16_1PF_F_3000_3999,C16_1PF_F_4000more,C16_1PF_F_Ns,C16_1PF_F_Tot,C16_1PF_P_Neg_ni_inc,C16_1PF_P_1_149,C16_1PF_P_150_399,C16_1PF_P_400_649,C16_1PF_P_650_799,C16_1PF_P_800_1249,C16_1PF_P_1250_1999,C16_1PF_P_2000_2499,C16_1PF_P_2500_2999,C16_1PF_P_3000_3999,C16_1PF_P_4000more,C16_1PF_P_Ns,C16_1PF_P_Tot,C16_1PF_A_Neg_ni_inc,C16_1PF_A_1_149,C16_1PF_A_150_399,C16_1PF_A_400_649,C16_1PF_A_650_799,C16_1PF_A_800_1249,C16_1PF_A_1250_1999,C16_1PF_A_2000_2499,C16_1PF_A_2500_2999,C16_1PF_A_3000_3999,C16_1PF_A_4000more,C16_1PF_A_Ns,C16_1PF_A_Tot,C16_1PF_U_Neg_ni_inc,C16_1PF_U_1_149,C16_1PF_U_150_399,C16_1PF_U_400_649,C16_1PF_U_650_799,C16_1PF_U_800_1249,C16_1PF_U_1250_1999,C16_1PF_U_2000_2499,C16_1PF_U_2500_2999,C16_1PF_U_3000_3999,C16_1PF_U_4000more,C16_1PF_U_Ns,C16_1PF_U_Tot,C16_1PF_N_lf_Fi_Neg_ni_inc,C16_1PF_N_lf_Fi_1_149,C16_1PF_N_lf_Fi_150_399,C16_1PF_N_lf_Fi_400_649,C16_1PF_N_lf_Fi_650_799,C16_1PF_N_lf_Fi_800_1249,C16_1PF_N_lf_Fi_1250_1999,C16_1PF_N_lf_Fi_2000_2499,C16_1PF_N_lf_Fi_2500_2999,C16_1PF_N_lf_Fi_3000_3999,C16_1PF_N_lf_Fi_4000more,C16_1PF_N_lf_Fi_Ns,C16_1PF_N_the_lf_Tot,C16_1PF_LFns_Neg_ni_inc,C16_1PF_LFns_1_149,C16_1PF_LFns_150_399,C16_1PF_LFns_400_649,C16_1PF_Lfns_Fi_650_799,C16_1PF_LFns_800_1249,C16_1PF_LFns_1250_1999,C16_1PF_LFns_2000_2499,C16_1PF_LFns_2500_2999,C16_1PF_Lfns_Fi_3000_3999,C16_1PF_LFns_4000more,C16_1PF_LFns_Ns,C16_1PF_LFns_Tot,C16_1PF_TotFI_Neg_ni_inc,C16_1PF_TotFI_1_149,C16_1PF_TotFI_150_399,C16_1PF_TotFI_400_649,C16_1PF_TotFI_650_799,C16_1PF_TotFI_800_1249,C16_1PF_TotFI_1250_1999,C16_1PF_TotFI_2000_2499,C16_1PF_TotFI_2500_2999,C16_1PF_TotFI_3000_3999,C16_1PF_TotFI_4000more,C16_One_par_f_TotFI_Ns,C16_One_parent_f_Tot_Tot,C16_TotFI_Neg_ni_inc,C16_TotFI_1_149,C16_TotFI_150_399,C16_TotFI_400_649,C16_TotFI_650_799,C16_TotFI_800_1249,C16_TotFI_1250_1999,C16_TotFI_2000_2499,C16_TotFI_2500_2999,C16_TotFI_3000_3999,C16_TotFI_4000more,C16_TotFI_Ns,C16_Tot_Tot,C21_CFNC_BF_Neg_ni_inc,C21_CFNC_BF_1_149,C21_CFNC_BF_150_399,C21_CFNC_BF_400_649,C21_CFNC_BF_650_799,C21_CFNC_BF_800_1249,C21_CFNC_BF_1250_1999,C21_CFNC_BF_2000_2499,C21_CFNC_BF_2500_2999,C21_CFNC_BF_3000_3999,C21_CFNC_BF_4000more,C21_CFNC_BF_Ns,C21_CFNC_BF_Tot,C21_CFNC_BPT_Neg_ni_inc,C21_CFNC_BPT_1_149,C21_CFNC_BPT_150_399,C21_CFNC_BPT_400_649,C21_CFNC_BPT_650_799,C21_CFNC_BPT_800_1249,C21_CFNC_BPT_1250_1999
LGA10050,4,37,24,70,65,23,3,8,0,25,254,0,0,0,0,4,6,16,7,4,0,0,8,41,0,0,0,0,0,3,4,13,4,6,5,0,44,8,3,0,49,41,88,82,12,8,9,3,33,348,0,0,0,0,0,0,0,4,0,0,0,286,296,10,3,11,117,110,533,1290,849,606,627,344,646,5159,0,0,6,13,50,155,190,62,22,20,10,67,602,0,6,31,128,81,146,79,10,9,3,3,38,535,0,0,10,15,8,18,15,5,0,0,0,11,76,6,3,33,62,20,29,12,0,0,5,0,12,172,23,10,99,245,124,182,84,18,4,3,5,77,862,0,0,0,3,0,0,0,0,0,0,0,21,19,29,20,175,457,276,526,378,100,38,29,13,227,2269,84,52,232,870,1079,2023,2887,1575,1020,953,544,1350,12660,0,0,0,0,0,27,152,299,262,279,144,13,1175,0,0,0,3,10,43,113
LGA10180,0,8,15,44,29,12,4,4,3,3,124,0,0,0,0,0,3,11,0,0,0,0,3,22,0,0,0,0,0,0,6,5,0,6,0,4,22,7,3,3,29,33,54,41,13,3,8,0,18,220,0,0,0,0,0,0,0,0,0,0,0,173,172,12,3,9,55,83,311,653,361,241,302,197,373,2593,3,0,5,14,25,78,116,28,12,9,3,39,329,6,0,20,48,49,87,34,7,4,0,0,18,270,0,0,3,5,0,7,4,0,0,0,0,3,25,0,0,15,36,14,3,0,0,0,0,0,3,70,12,7,51,121,70,109,58,15,7,0,0,43,478,0,0,3,0,0,0,3,0,0,0,0,15,20,15,4,89,218,154,284,212,49,22,16,3,123,1192,59,28,130,464,556,1092,1476,747,459,472,327,736,6541,4,3,0,4,0,15,109,147,97,130,122,8,645,0,0,0,4,11,40,75
LGA10250,7,10,28,78,77,26,14,11,8,27,278,0,0,0,0,0,9,9,11,0,3,3,3,45,0,0,0,6,0,9,8,4,6,0,8,12,47,10,4,7,29,28,79,102,20,12,10,6,37,335,0,0,0,0,0,5,0,0,0,0,0,234,246,7,10,18,68,91,488,1025,654,417,421,317,559,4087,0,0,0,11,30,133,169,56,22,17,9,60,506,0,0,23,132,112,125,69,15,3,5,3,46,535,0,0,4,9,3,7,12,0,0,0,0,10,50,0,0,28,26,14,9,4,0,0,0,0,7,87,10,7,59,136,96,177,94,20,3,9,3,73,686,0,0,0,0,0,0,0,0,0,0,0,14,17,13,10,114,325,258,446,350,87,30,30,15,212,1886,56,47,174,717,1176,2058,2530,1275,738,692,545,1164,11161,0,0,0,3,11,18,114,179,120,186,140,6,772,0,0,0,5,13,58,128
LGA10300,0,0,0,4,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,17,0,0,0,0,0,4,0,0,0,0,0,11,14,0,0,0,6,5,33,66,29,24,14,7,48,235,0,0,0,4,0,3,4,0,0,0,0,4,19,0,0,0,3,3,3,4,5,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,5,4,6,4,0,0,0,0,8,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,7,13,7,7,0,6,0,19,80,9,0,9,35,40,97,149,52,41,13,24,101,563,0,0,0,0,0,0,9,15,7,12,4,0,57,0,0,0,0,0,0,6
LGA10470,0,13,9,57,32,16,11,4,3,18,171,0,0,0,3,6,6,13,4,8,0,4,3,51,0,0,0,0,0,3,9,0,8,6,0,8,39,9,4,6,35,32,81,56,12,5,8,9,37,290,0,0,0,0,0,6,0,0,0,0,0,237,240,14,3,6,69,73,411,960,700,557,606,330,568,4306,0,0,4,19,36,130,180,61,17,18,3,60,538,0,0,30,89,48,117,76,13,3,0,0,34,417,0,0,6,6,6,5,5,0,0,3,0,4,42,3,0,20,44,16,6,6,0,0,0,0,6,99,14,8,78,168,102,138,84,15,0,3,0,82,692,0,0,0,0,0,0,0,0,0,0,0,18,23,16,13,139,336,208,395,346,88,27,28,5,215,1815,65,44,188,650,776,1465,2165,1264,880,924,484,1095,10000,3,0,3,3,0,17,97,235,195,226,149,13,942,0,0,0,4,9,38,81
LGA10500,59,173,125,307,270,103,43,50,45,96,1271,5,0,5,14,4,45,61,25,13,26,15,40,251,0,0,0,3,0,9,31,17,13,35,18,39,163,69,27,67,152,135,363,478,206,99,106,62,238,2000,0,0,0,3,5,13,8,13,4,0,4,934,982,91,42,150,469,465,1949,3764,2648,1978,2560,2289,2211,18604,0,4,4,51,90,353,587,291,145,139,63,206,1942,0,6,66,196,129,290,232,64,21,34,11,92,1145,3,0,6,11,16,25,45,19,9,9,7,34,171,21,5,36,47,15,38,34,8,3,9,0,18,235,135,52,183,392,259,501,495,141,84,62,33,268,2593,3,0,0,3,0,11,3,0,0,0,0,44,67,162,63,298,709,511,1218,1392,522,262,250,110,665,6158,713,262,661,2185,2572,5181,7910,4967,3358,4102,3266,4037,39209,0,0,0,4,4,16,204,641,719,1298,1454,28,4366,0,3,0,9,10,136,373
LGA10550,4,17,22,56,39,12,3,4,3,32,182,0,0,0,7,3,6,11,0,0,4,0,0,37,0,0,0,0,0,4,7,3,0,3,4,6,29,9,0,0,32,31,70,65,16,4,7,4,39,277,0,0,0,0,0,0,7,0,0,0,0,217,222,11,8,7,82,86,438,778,435,225,213,122,477,2888,0,0,3,23,20,77,87,21,8,4,5,52,298,0,6,27,95,61,81,45,6,3,0,0,43,358,0,0,3,5,3,11,0,0,0,0,0,3,31,9,0,14,18,9,11,5,0,0,0,0,11,67,14,9,51,123,72,103,58,11,4,3,0,65,511,0,0,0,0,5,0,0,0,0,0,0,13,14,17,10,94,265,166,278,191,35,16,9,0,190,1285,73,67,174,779,1014,1806,1931,893,459,384,219,1109,8909,3,4,0,5,12,28,119,111,96,122,86,5,597,4,6,3,13,7,85,133
LGA10600,0,11,13,33,31,4,0,0,0,9,113,0,0,0,0,0,0,5,4,0,0,0,5,13,0,0,0,0,0,0,0,5,0,0,0,0,7,7,0,9,11,21,30,30,3,0,0,0,13,122,0,0,0,3,0,0,0,0,0,0,0,76,81,7,0,8,35,53,192,320,161,90,86,49,167,1168,0,0,0,9,13,34,36,14,0,0,0,20,131,0,0,10,41,35,42,18,0,0,0,0,32,192,0,0,0,3,5,5,5,3,0,0,0,4,17,0,0,6,14,4,7,0,0,0,0,0,6,43,0,4,22,70,29,64,30,3,0,0,3,34,266,0,0,0,4,0,0,0,0,0,0,0,6,10,5,0,43,148,82,152,88,19,6,5,7,105,658,20,19,73,316,397,717,771,299,169,138,82,413,3416,0,0,0,0,0,12,32,40,33,35,20,4,179,0,0,0,4,7,33,45
LGA10650,0,0,7,9,10,0,0,3,0,3,32,0,0,0,0,0,4,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,0,0,4,8,3,0,0,6,4,14,12,3,3,0,0,8,49,0,0,0,0,0,0,3,0,0,0,0,36,40,4,0,10,14,15,102,211,126,59,42,32,104,721,0,0,0,3,0,26,20,6,8,0,0,13,83,0,0,4,23,11,17,4,0,0,0,0,7,63,0,0,0,0,0,5,0,0,0,0,0,0,9,0,0,4,11,0,5,0,0,0,0,0,0,21,0,0,10,29,21,20,9,0,0,0,0,16,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,62,33,64,34,11,6,0,0,45,287,22,18,44,176,270,392,466,215,108,73,63,253,2106,5,0,0,0,4,3,31,39,33,23,25,0,161,0,0,0,0,5,12,18
LGA10750,86,274,233,635,631,252,106,122,49,186,2583,8,0,13,40,23,133,165,74,33,43,21,106,647,0,0,0,4,6,21,74,56,53,63,48,73,403,193,68,152,472,372,878,1123,452,237,212,108,548,4826,6,0,6,9,8,27,40,25,11,5,12,1929,2069,250,89,293,1089,1094,4736,10902,8244,5989,6906,4533,4988,49126,5,5,16,104,245,1000,1474,694,333,290,122,413,4704,5,11,136,467,338,626,449,145,88,33,11,212,2529,4,6,14,38,32,86,86,35,13,18,7,70,404,56,24,164,243,102,146,83,28,16,12,0,75,948,232,75,699,1442,855,1434,1061,307,150,87,67,756,7166,0,0,8,8,12,16,12,5,0,9,0,157,228,303,123,1038,2307,1581,3305,3173,1208,598,445,203,1690,15972,1359,425,1638,5015,5425,11287,18430,12357,8390,8950,5531,8247,87056,5,0,0,0,3,24,380,1013,1099,1662,1340,45,5564,3,0,0,18,28,131,291
