LGA_CODE_2021,C21_CF_1P1NW_Tot,C21_CF_1A1NW_Neg_ni_inc,C21_CF_1A1NW_1_149,C21_CF_1A1NW_150_399,C21_CF_1A1NW_400_649,C21_CF_1A1NW_650_799,C21_CF_1A1NW_800_1249,C21_CF_1A1NW_1250_1999,C21_CF_1A1NW_2000_2499,C21_CF_1A1NW_2500_2999,C21_CF_1A1NW_3000_3999,C21_CF_1A1NW_4000more,C21_CF_1A1NW_Ns,C21_CF_1A1NW_Tot,C21_CF_BA_Neg_ni_inc,C21_CF_BA_1_149,C21_CF_BA_150_399,C21_CF_BA_400_649,C21_CF_BA_650_799,C21_CF_BA_800_1249,C21_CF_BA_1250_1999,C21_CF_BA_2000_2499,C21_CF_BA_2500_2999,C21_CF_BA_3000_3999,C21_CF_BA_4000more,C21_CF_BA_Ns,C21_CF_BA_Tot,C21_CF_BNW_Neg_ni_inc,C21_CF_BNW_1_149,C21_CF_BNW_150_399,C21_CF_BNW_400_649,C21_CF_BNW_650_799,C21_CF_BNW_800_1249,C21_CF_BNW_1250_1999,C21_CF_BNW_2000_2499,C21_CF_BNW_2500_2999,C21_CF_BNW_3000_3999,C21_CF_BNW_4000more,C21_CF_BNW_Ns,C21_CF_BNW_Tot,C21_CF_LFns_Neg_ni_inc,C21_CF_LFns_1_149,C21_CF_LFns_150_399,C21_CF_LFns_400_649,C21_CF_LFns_650_799,C21_CF_LFns_800_1249,C21_CF_LFns_1250_1999,C21_CF_LFns_2000_2499,C21_CF_LFns_2500_2999,C21_CF_LFns_3000_3999,C21_CF_LFns_4000more,C21_CF_LFns_Ns,C21_CF_LFns_Tot,C21_C_f_c_Tot_Fi_Neg_ni_inc,C21_C_f_c_Tot_Fi_1_149,C21_C_f_c_Tot_Fi_150_399,C21_C_f_c_Tot_Fi_400_649,C21_CF_c_Tot_Fi_650_799,C21_CF_c_Tot_Fi_800_1249,C21_CF_c_Tot_Fi_1250_1999,C21_CF_c_Tot_Fi_2000_2499,C21_CF_c_Tot_Fi_2500_2999,C21_CF_c_Tot_Fi_3000_3999,C21_CF_c_Tot_Fi_4000more,C21_C_f_with_c_TotFI_Ns,C21_C_f_with_c_Tot_Tot,C21_1PF_F_Neg_ni_inc,C21_1PF_F_1_149,C21_1PF_F_150_399,C21_1PF_F_400_649,C21_1PF_F_650_799,C21_1PF_F_800_1249,C21_1PF_F_1250_1999,C21_1PF_F_2000_2499,C21_1PF_F_2500_2999,C21_1PF_F_3000_3999,C21_1PF_F_4000more,C21_1PF_F_Ns,C21_1PF_F_Tot,C21_1PF_P_Neg_ni_inc,C21_1PF_P_1_149,C21_1PF_P_150_399,C21_1PF_P_400_649,C21_1PF_P_650_799,C21_1PF_P_800_1249,C21_1PF_P_1250_1999,C21_1PF_P_2000_2499,C21_1PF_P_2500_2999,C21_1PF_P_3000_3999,C21_1PF_P_4000more,C21_1PF_P_Ns,C21_1PF_P_Tot,C21_1PF_A_Neg_ni_inc,C21_1PF_A_1_149,C21_1PF_A_150_399,C21_1PF_A_400_649,C21_1PF_A_650_799,C21_1PF_A_800_1249,C21_1PF_A_1250_1999,C21_1PF_A_2000_2499,C21_1PF_A_2500_2999,C21_1PF_A_3000_3999,C21_1PF_A_4000_more,C21_1PF_A_Ns,C21_1PF_A_Tot,C21_1PF_U_Neg_ni_inc,C21_1PF_U_1_149,C21_1PF_U_150_399,C21_1PF_U_400_649,C21_1PF_U_650_799,C21_1PF_U_800_1249,C21_1PF_U_1250_1999,C21_1PF_U_2000_2499,C21_1PF_U_2500_2999,C21_1PF_U_3000_3999,C21_1PF_U_4000_more,C21_1PF_U_Ns,C21_1PF_U_Tot,C21_1PF_N_lf_Fi_Neg_ni_inc,C21_1PF_N_lf_Fi_1_149,C21_1PF_N_lf_Fi_150_399,C21_1PF_N_lf_Fi_400_649,C21_1PF_N_lf_Fi_650_799,C21_1PF_N_lf_Fi_800_1249,C21_1PF_N_lf_Fi_1250_1999,C21_1PF_N_lf_Fi_2000_2499,C21_1PF_N_lf_Fi_2500_2999,C21_1PF_N_lf_Fi_3000_3999,C21_1PF_N_lf_Fi_4000_more,C21_1PF_N_lf_Fi_Ns,C21_1PF_N_the_lf_Tot,C21_1PF_LFns_Neg_ni_inc,C21_1PF_LFns_1_149,C21_1PF_LFns_150_399,C21_1PF_LFns_400_649,C21_1PF_LFns_Fi_650_799,C21_1PF_LFns_Fi_800_1249,C21_1PF_LFns_Fi_1250_1999,C21_1PF_LFns_Fi_2000_2499,C21_1PF_LFns_Fi_2500_2999,C21_1PF_LFns_Fi_3000_3999,C21_1PF_LFns_4000more,C21_1PF_LFns_Ns,C21_1PF_LFns_Tot,C21_1PF_TotFI_Neg_ni_inc,C21_1PF_TotFI_1_149,C21_1PF_TotFI_150_399,C21_1PF_TotFI_400_649,C21_1PF_TotFI_650_799,C21_1PF_TotFI_800_1249,C21_1PF_TotFI_1250_1999,C21_1PF_TotFI_2000_2499,C21_1PF_TotFI_2500_2999,C21_1PF_TotFI_3000_3999,C21_1PF_TotFI_4000more,C21_One_par_f_TotFI_Ns,C21_One_parent_f_Tot_Tot,C21_TotFI_Neg_ni_inc,C21_TotFI_1_149,C21_TotFI_150_399,C21_TotFI_400_649,C21_TotFI_650_799,C21_TotFI_800_1249,C21_TotFI_1250_1999,C21_TotFI_2000_2499,C21_TotFI_2500_2999,C21_TotFI_3000_3999,C21_TotFI_4000_more,C21_TotFI_Ns,C21_Tot_Tot
LGA10050,252,0,0,0,0,0,5,13,9,4,3,3,6,51,0,0,0,0,0,0,10,9,0,6,0,6,33,4,0,10,10,31,79,112,28,20,18,5,30,339,0,0,0,0,3,0,3,0,0,4,0,234,253,8,0,17,32,65,285,1116,944,758,1083,869,489,5658,5,0,3,15,13,185,252,152,54,41,26,57,808,0,0,17,87,100,212,166,39,14,12,4,34,685,0,0,4,13,16,18,22,6,4,0,0,15,93,5,0,20,50,14,14,16,0,0,0,0,8,129,31,7,59,231,128,234,149,36,12,7,6,69,960,0,0,0,0,0,6,0,0,0,0,0,21,34,35,10,99,392,274,669,612,238,82,60,41,207,2705,113,47,157,661,989,1903,3125,2035,1427,1668,1244,1022,14386
LGA10180,149,0,0,0,5,5,8,12,0,5,4,0,0,36,0,0,0,0,0,3,9,8,0,4,3,0,35,11,0,8,18,29,46,41,17,11,7,13,15,209,0,0,0,0,0,0,3,0,0,0,0,91,98,19,5,3,43,45,185,494,371,311,420,412,229,2544,0,0,4,7,17,69,92,67,17,11,12,29,325,0,0,11,36,39,79,71,13,3,5,4,14,274,0,0,6,3,6,10,9,5,0,0,4,6,41,5,0,7,12,7,6,6,0,0,0,0,0,43,12,4,20,107,52,144,76,16,3,9,3,29,482,0,0,4,0,0,0,0,0,0,0,0,9,11,20,9,54,163,118,303,250,99,28,15,24,92,1178,79,33,88,311,497,947,1488,876,599,726,678,477,6790
LGA10250,288,0,0,0,0,0,12,22,3,8,9,10,4,64,0,0,0,0,0,3,16,5,3,8,11,10,51,8,3,3,16,17,71,105,43,24,16,14,44,357,0,0,0,0,0,3,0,3,0,0,5,159,176,12,3,6,24,43,249,856,709,616,837,798,414,4563,0,0,0,6,20,106,216,103,39,43,27,61,610,0,0,10,56,80,186,148,42,13,10,13,32,601,0,0,0,19,7,10,17,5,0,0,4,11,74,0,0,5,16,3,11,11,5,0,0,0,4,54,17,9,31,129,68,245,148,39,10,11,11,71,770,0,0,0,4,0,0,3,0,0,0,0,21,26,19,13,45,218,177,565,541,197,69,61,56,194,2142,100,64,104,479,918,1898,2747,1652,1112,1352,1263,912,12597
LGA10300,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,8,9,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,15,12,0,0,0,7,5,22,35,36,24,25,21,36,200,0,0,0,0,0,4,8,6,0,0,0,4,21,0,0,0,3,0,9,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,10,9,4,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0,14,16,11,0,0,0,14,73,9,0,8,31,40,74,109,70,44,46,29,57,511
LGA10470,185,0,0,0,0,0,9,12,10,3,3,3,0,39,0,0,0,0,0,0,10,8,0,9,7,8,39,9,5,8,12,17,62,70,26,13,18,12,20,261,0,0,0,0,0,0,0,0,0,0,0,208,214,7,5,10,24,45,219,718,654,628,932,781,430,4459,0,0,0,10,14,139,222,153,54,39,17,59,711,0,0,9,59,58,154,128,29,14,12,8,33,502,3,0,4,5,7,16,14,7,5,4,5,12,76,0,3,9,24,12,16,11,0,0,0,0,8,79,21,5,38,109,67,183,113,36,18,9,0,68,679,0,0,0,0,0,5,0,0,0,0,0,14,20,22,10,63,208,169,514,480,225,91,63,33,196,2077,93,42,123,394,660,1443,2223,1490,1165,1417,1125,906,11072
LGA10500,1488,0,0,3,22,24,108,176,92,82,62,53,44,659,3,0,0,4,5,25,82,64,36,63,50,36,363,107,14,67,150,177,472,747,341,207,226,139,151,2802,3,0,4,0,0,10,7,5,4,3,8,506,557,123,25,103,264,329,1329,3266,2604,2215,3578,4976,1152,19947,0,4,0,12,33,186,565,394,167,227,226,132,1948,0,7,19,117,104,233,305,130,59,65,43,70,1141,0,0,18,24,47,56,83,40,17,20,18,44,377,21,0,15,47,23,32,44,15,7,6,0,10,219,169,29,149,361,232,711,652,280,156,102,73,153,3067,0,0,0,0,0,10,9,0,0,0,0,57,81,191,37,209,567,434,1224,1660,860,411,417,356,466,6829,896,198,535,1556,2340,4418,8088,5977,4389,6401,7505,2439,44736
LGA10550,203,0,0,0,0,0,3,15,6,3,3,0,6,48,0,0,0,0,0,5,11,13,5,3,3,7,54,5,0,12,13,16,67,64,38,16,7,13,27,281,0,0,0,0,0,0,5,0,0,0,0,146,156,9,7,12,26,54,244,721,539,387,451,292,352,3088,0,0,0,10,14,73,116,52,27,16,13,27,352,0,4,14,55,47,109,82,19,9,3,0,39,389,0,0,0,3,12,9,6,4,0,0,0,5,42,0,0,5,14,10,8,5,0,0,0,0,3,41,8,11,41,103,58,152,90,20,8,8,5,56,557,0,0,0,0,0,0,6,0,0,0,0,14,29,10,12,64,189,139,356,304,96,43,29,26,149,1419,127,69,138,520,922,1709,2274,1181,762,794,549,805,9858
LGA10600,87,0,0,0,0,0,3,5,0,0,0,0,0,19,0,0,0,0,0,0,0,0,5,0,0,0,9,6,0,0,5,9,23,35,15,5,11,0,15,118,0,0,0,0,0,0,0,0,0,0,0,59,52,7,0,5,7,20,117,283,188,139,172,101,126,1170,0,0,0,0,6,34,47,24,3,4,5,22,157,0,0,6,30,43,56,38,10,3,0,4,16,206,0,0,0,6,4,3,3,4,0,0,0,0,29,3,3,3,3,3,3,0,0,0,0,0,4,20,4,4,18,53,25,64,48,3,4,3,6,27,260,0,0,0,0,0,0,0,0,0,0,0,5,8,8,5,33,93,76,166,144,47,13,14,9,72,671,49,33,67,197,322,621,815,399,283,289,173,308,3559
LGA10650,34,0,0,0,0,0,3,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,4,0,5,15,14,4,0,0,0,6,51,0,0,0,0,0,0,0,0,0,0,0,30,28,0,0,9,11,19,57,168,115,96,118,59,79,725,0,0,0,0,4,16,30,13,0,3,0,5,80,0,0,0,15,13,26,13,0,5,0,0,3,71,0,0,0,0,3,0,3,0,0,0,0,0,14,0,0,3,0,0,5,0,0,0,0,0,0,10,3,0,13,25,10,22,23,0,0,0,0,19,112,0,0,0,0,0,0,0,0,0,0,0,8,9,3,0,17,36,30,75,61,21,8,3,6,32,292,31,10,32,111,266,374,481,260,180,176,117,210,2248
LGA10750,3365,0,7,17,42,53,267,608,278,144,180,127,121,1850,7,0,0,3,9,45,239,234,191,195,182,116,1229,232,39,131,403,455,1187,1730,841,500,470,287,400,6671,3,0,4,8,9,22,47,33,20,29,29,1682,1880,258,55,200,627,829,3258,9543,8882,7557,11848,11936,3574,58576,0,0,8,26,70,633,1409,909,419,512,328,275,4598,3,6,66,205,242,624,678,258,131,116,60,133,2522,7,3,20,88,100,218,293,141,82,63,40,125,1172,37,6,59,129,79,95,80,27,12,16,3,26,573,345,75,476,1470,792,1740,1580,557,267,201,128,486,8109,6,0,3,11,7,15,22,7,3,0,0,194,268,395,88,637,1925,1295,3327,4051,1899,915,917,560,1238,17238,1949,358,1179,3779,4934,9942,18535,14375,10981,15826,14574,6029,102454
