LGA_CODE_2021,C11_M_NatPhy_sci_15_19,C11_M_NatPhy_sci_20_24,C11_M_NatPhy_sci_25_34,C11_M_NatPhy_sci_35_44,C11_M_NatPhy_sci_45_54,C11_M_NatPhy_sci_55_64,C11_M_NatPhy_sci_65_74,C11_M_NatPhy_sci_75_84,C11_M_NatPhy_sci_85over,C11_M_NatPhy_sci_Tot,C11_M_InfTec_15_19,C11_M_InfTec_20_24,C11_M_InfTec_25_34,C11_M_InfTec_35_44,C11_M_InfTec_45_54,C11_M_InfTec_55_64,C11_M_InfTec_65_74,C11_M_InfTec_75_84,C11_M_InfTec_85over,C11_M_InfTec_Tot,C11_M_EngRT_15_19,C11_M_EngRT_20_24,C11_M_EngRT_25_34,C11_M_EngRT_35_44,C11_M_EngRT_45_54,C11_M_EngRT_55_64,C11_M_EngRT_65_74,C11_M_EngRT_75_84,C11_M_EngRT_85over,C11_M_EngRT_Tot,C11_M_ArchBuild_15_19,C11_M_ArchBuild_20_24,C11_M_ArchBuild_25_34,C11_M_ArchBuild_35_44,C11_M_ArchBuild_45_54,C11_M_ArchBuild_55_64,C11_M_ArchBuild_65_74,C11_M_ArchBuild_75_84,C11_M_ArchBuild_85over,C11_M_ArchBuild_Tot,C11_M_AgEnv_RS_15_19,C11_M_AgEnv_RS_20_24,C11_M_AgEnv_RS_25_34,C11_M_AgEnv_RS_35_44,C11_M_AgEnv_RS_45_54,C11_M_AgEnv_RS_55_64,C11_M_AgEnv_RS_65_74,C11_M_AgEnv_RS_75_84,C11_M_AgEnv_RS_85over,C11_M_AgEnv_RS_Tot,C11_M_Health_15_19,C11_M_Health_20_24,C11_M_Health_25_34,C11_M_Health_35_44,C11_M_Health_45_54,C11_M_Health_55_64,C11_M_Health_65_74,C11_M_Health_75_84,C11_M_Health_85over,C11_M_Health_Tot,C11_M_Educ_15_19,C11_M_Educ_20_24,C11_M_Educ_25_34,C11_M_Educ_35_44,C11_M_Educ_45_54,C11_M_Educ_55_64,C11_M_Educ_65_74,C11_M_Educ_75_84,C11_M_Educ_85over,C11_M_Educ_Tot,C11_M_MngtCom_15_19,C11_M_MngtCom_20_24,C11_M_MngtCom_25_34,C11_M_MngtCom_35_44,C11_M_MngtCom_45_54,C11_M_MngtCom_55_64,C11_M_MngtCom_65_74,C11_M_MngtCom_75_84,C11_M_MngtCom_85over,C11_M_MngtCom_Tot,C11_M_Soc_cult_15_19,C11_M_Soc_cult_20_24,C11_M_Soc_cult_25_34,C11_M_Soc_cult_35_44,C11_M_Soc_cult_45_54,C11_M_Soc_cult_55_64,C11_M_Soc_cult_65_74,C11_M_Soc_cult_75_84,C11_M_Soc_cult_85over,C11_M_Soc_cult_Tot,C11_M_Creative_art_15_19,C11_M_Creative_art_20_24,C11_M_Creative_art_25_34,C11_M_Creative_art_35_44,C11_M_Creative_art_45_54,C11_M_Creative_art_55_64,C11_M_Creative_art_65_74,C11_M_Creative_art_75_84,C11_M_Creative_art_85over,C11_M_Creative_art_Tot,C11_M_FoodHos_PS_15_19,C11_M_FoodHos_PS_20_24,C11_M_FoodHos_PS_25_34,C11_M_FoodHos_PS_35_44,C11_M_FoodHos_PS_45_54,C11_M_FoodHos_PS_55_64,C11_M_FoodHos_PS_65_74,C11_M_FoodHos_PS_75_84,C11_M_FoodHos_PS_85over,C11_M_FoodHos_PS_Tot,C11_M_MixFld_pr_15_19,C11_M_MixFld_pr_20_24,C11_M_MixFld_pr_25_34,C11_M_MixFld_pr_35_44,C11_M_MixFld_pr_45_54,C11_M_MixFld_pr_55_64,C11_M_MixFld_pr_65_74,C11_M_MixFld_pr_75_84,C11_M_MixFld_pr_85over,C11_M_MixFld_pr_Tot,C11_M_FldStu_ID_15_19,C11_M_FldStu_ID_20_24,C11_M_FldStu_ID_25_34,C11_M_FldStu_ID_35_44,C11_M_FldStu_ID_45_54,C11_M_FldStu_ID_55_64,C11_M_FldStu_ID_65_74,C11_M_FldStu_ID_75_84,C11_M_FldStu_ID_85over,C11_M_FldStu_ID_Tot,C11_M_FldStu_NS_15_19,C11_M_FldStu_NS_20_24,C11_M_FldStu_NS_25_34,C11_M_FldStu_NS_35_44,C11_M_FldStu_NS_45_54,C11_M_FldStu_NS_55_64,C11_M_FldStu_NS_65_74,C11_M_FldStu_NS_75_84,C11_M_FldStu_NS_85over,C11_M_FldStu_NS_Tot,C11_M_Tot_15_19,C11_M_Tot_20_24,C11_M_Tot_25_34,C11_M_Tot_35_44,C11_M_Tot_45_54,C11_M_Tot_55_64,C11_M_Tot_65_74,C11_M_Tot_75_84,C11_M_Tot_85over,C11_M_Tot_Tot,C16_M_NatPhy_sci_15_19,C16_M_NatPhy_sci_20_24,C16_M_NatPhy_sci_25_34,C16_M_NatPhy_sci_35_44,C16_M_NatPhy_sci_45_54,C16_M_NatPhy_sci_55_64,C16_M_NatPhy_sci_65_74,C16_M_NatPhy_sci_75_84,C16_M_NatPhy_sci_85over,C16_M_NatPhy_sci_Tot,C16_M_InfTec_15_19,C16_M_InfTec_20_24,C16_M_InfTec_25_34,C16_M_InfTec_35_44,C16_M_InfTec_45_54,C16_M_InfTec_55_64,C16_M_InfTec_65_74,C16_M_InfTec_75_84,C16_M_InfTec_85over,C16_M_InfTec_Tot,C16_M_EngRT_15_19,C16_M_EngRT_20_24,C16_M_EngRT_25_34,C16_M_EngRT_35_44,C16_M_EngRT_45_54,C16_M_EngRT_55_64,C16_M_EngRT_65_74,C16_M_EngRT_75_84,C16_M_EngRT_85over,C16_M_EngRT_Tot,C16_M_ArchBuild_15_19,C16_M_ArchBuild_20_24,C16_M_ArchBuild_25_34,C16_M_ArchBuild_35_44,C16_M_ArchBuild_45_54,C16_M_ArchBuild_55_64,C16_M_ArchBuild_65_74,C16_M_ArchBuild_75_84,C16_M_ArchBuild_85over,C16_M_ArchBuild_Tot,C16_M_AgEnv_RS_15_19,C16_M_AgEnv_RS_20_24,C16_M_AgEnv_RS_25_34,C16_M_AgEnv_RS_35_44,C16_M_AgEnv_RS_45_54,C16_M_AgEnv_RS_55_64,C16_M_AgEnv_RS_65_74,C16_M_AgEnv_RS_75_84,C16_M_AgEnv_RS_85over,C16_M_AgEnv_RS_Tot
LGA10050,0,5,29,26,32,39,15,4,0,163,3,44,89,77,37,20,10,0,0,278,25,240,548,537,657,533,306,162,35,3042,30,146,261,239,252,178,99,65,11,1292,5,23,99,95,95,76,55,19,5,468,0,17,105,94,114,79,41,18,4,471,0,15,60,86,104,137,54,19,0,473,12,97,320,320,279,223,112,38,3,1403,7,51,96,138,76,98,32,14,3,519,4,18,51,30,26,24,3,4,0,159,10,45,107,99,63,40,25,10,4,397,0,0,0,0,4,0,0,0,0,6,0,4,23,17,20,24,8,7,0,103,182,124,219,250,248,224,221,219,103,1782,270,835,1999,2006,2013,1698,976,582,170,10556,0,5,38,55,38,48,27,11,0,224,4,33,74,93,51,24,13,0,0,287,28,179,644,527,603,577,415,198,54,3228,24,148,328,235,229,251,142,90,30,1471,0,29,74,97,88,86,73,48,9,499
LGA10180,0,10,46,60,70,76,49,17,15,334,8,18,67,33,27,12,4,3,0,169,11,81,143,167,234,195,118,71,13,1024,13,43,98,91,144,100,44,21,0,555,9,37,107,106,124,90,62,18,10,559,0,7,32,32,65,46,29,12,7,227,0,9,44,46,66,99,42,9,10,324,6,54,120,132,135,121,71,18,3,662,9,40,105,120,145,164,73,25,13,691,9,27,31,31,28,30,5,3,0,164,12,29,47,32,30,29,8,6,0,194,0,3,4,0,3,0,0,0,0,13,0,5,11,15,26,9,7,6,0,85,122,96,142,152,134,127,98,77,41,994,195,455,996,1015,1232,1085,613,292,118,5995,0,17,76,62,63,78,63,27,11,405,6,19,66,42,27,10,7,0,0,178,12,70,180,156,195,215,145,76,28,1082,12,34,95,94,119,106,77,41,5,578,20,49,128,122,144,86,73,37,8,666
LGA10250,0,6,22,49,34,52,26,9,7,194,8,15,32,37,21,31,4,0,0,147,10,71,232,319,487,505,360,178,90,2262,8,60,157,249,309,253,139,77,22,1283,10,26,84,96,97,76,48,23,7,457,0,5,52,119,135,119,52,27,15,527,0,16,51,89,139,218,108,48,6,679,6,28,138,196,204,235,132,71,22,1031,6,13,68,114,117,139,67,37,7,564,0,19,37,50,49,40,16,5,6,213,3,27,85,98,77,45,44,12,0,409,0,0,4,0,0,0,0,0,0,10,0,8,9,9,27,18,12,8,7,92,98,70,117,149,192,177,156,203,93,1254,158,358,1089,1568,1876,1905,1177,709,283,9119,0,3,22,36,53,52,52,18,9,244,0,10,34,32,28,31,14,0,0,155,8,85,278,358,426,539,494,252,96,2532,7,62,202,233,293,258,192,102,32,1384,3,26,78,118,104,87,69,28,7,524
LGA10300,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,5,16,14,23,15,8,0,0,83,0,3,6,7,4,0,0,0,0,31,0,7,12,15,16,7,0,0,0,52,0,0,3,0,0,4,0,0,0,10,0,0,0,0,7,0,0,0,0,9,0,0,3,3,4,5,0,0,0,16,0,0,0,5,0,4,0,0,0,14,0,0,0,3,0,0,0,0,0,9,0,0,3,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,10,11,23,24,22,10,3,120,12,31,61,63,76,60,40,17,4,364,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,13,12,8,18,18,13,4,0,85,0,0,6,6,3,3,0,0,0,27,3,5,6,14,11,16,5,0,3,58
LGA10470,0,4,11,27,40,28,17,3,0,146,4,43,75,48,35,29,6,0,0,239,27,164,438,506,585,479,256,98,28,2576,12,94,173,175,186,171,88,41,9,945,3,30,70,85,88,62,47,25,11,420,0,30,47,56,67,55,17,14,5,284,0,16,50,88,92,95,52,25,0,419,13,67,156,166,171,158,86,31,6,858,7,22,88,121,98,85,50,28,4,502,5,30,36,33,25,29,10,3,0,180,9,47,92,82,45,33,30,9,0,361,0,0,0,0,0,0,0,0,0,10,0,9,11,14,26,10,12,10,0,89,189,240,403,347,259,201,182,141,46,2009,271,796,1653,1759,1719,1451,857,422,105,9037,0,3,24,28,34,34,36,7,0,175,0,17,82,58,40,31,13,0,0,245,22,143,507,485,531,557,374,149,36,2798,12,83,242,193,209,191,119,53,12,1123,5,20,69,92,83,69,64,46,7,450
LGA10500,3,42,202,223,197,112,60,27,3,869,6,189,1218,603,199,77,7,0,0,2300,31,308,1415,1645,1678,1219,801,427,142,7659,12,139,539,613,455,321,193,136,39,2452,4,13,81,98,74,41,20,20,5,349,3,56,274,286,206,128,51,34,11,1063,0,31,131,176,188,169,90,30,11,831,36,663,2389,1529,869,528,213,90,31,6344,8,135,589,513,375,290,108,60,12,2090,9,117,299,205,128,62,41,15,4,889,9,193,552,332,202,120,76,33,11,1526,9,15,13,7,7,12,3,0,5,63,0,18,83,113,108,51,31,13,3,419,443,475,1134,957,824,783,662,538,235,6054,580,2396,8918,7297,5521,3907,2351,1429,509,32914,3,86,277,231,245,150,99,32,10,1137,16,251,1314,957,369,110,38,6,0,3060,22,467,1995,1584,1613,1394,993,533,172,8769,22,185,700,717,586,381,241,144,47,3023,4,26,100,132,75,65,32,24,3,458
LGA10550,0,3,10,31,35,53,36,10,7,184,4,6,11,11,26,30,9,4,0,94,10,76,203,303,478,518,391,185,52,2220,8,51,101,160,222,243,148,60,22,1014,10,10,54,89,84,97,30,17,0,397,0,7,31,37,67,79,34,21,4,279,0,0,17,40,93,151,78,21,9,402,6,19,34,77,101,153,108,38,7,540,0,10,28,68,96,128,64,25,9,428,3,6,20,15,26,49,33,5,0,163,5,28,83,86,89,52,29,11,4,387,0,0,0,0,0,0,0,0,0,6,0,4,14,22,15,26,18,9,0,102,114,53,89,130,146,223,182,166,67,1163,166,267,686,1065,1483,1803,1158,566,186,7382,0,5,11,22,36,49,73,16,6,210,0,6,23,10,17,35,17,3,0,119,9,81,214,231,424,564,453,255,70,2291,10,57,165,137,219,282,185,83,23,1165,3,21,44,98,94,120,73,17,6,486
LGA10600,0,0,7,14,18,18,16,4,0,76,5,0,8,10,17,4,0,0,0,46,6,20,56,113,209,180,125,65,14,791,9,6,35,72,111,87,50,24,5,406,3,17,23,28,42,39,10,4,4,165,0,0,0,28,35,27,12,3,4,113,0,0,8,21,32,63,36,16,3,184,5,0,22,39,47,58,27,16,0,219,0,3,11,27,50,50,33,4,3,185,0,6,14,18,14,26,10,6,0,95,3,9,35,21,22,19,12,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,11,0,0,0,37,31,22,24,45,54,52,50,45,16,344,67,96,244,442,656,651,380,201,53,2784,0,5,3,10,24,24,21,6,0,89,0,0,4,11,11,11,4,0,0,46,0,26,76,100,145,195,181,78,18,820,4,4,33,56,81,105,67,30,9,401,0,13,30,26,32,40,25,14,0,180
LGA10650,0,0,0,0,0,5,0,0,0,12,0,0,4,0,3,0,4,0,0,12,8,17,64,73,101,96,76,43,14,490,0,9,17,28,29,38,26,15,0,155,9,9,36,34,38,39,14,7,0,183,0,0,4,8,11,10,5,0,0,43,0,4,10,18,7,8,7,0,0,65,3,0,17,17,18,26,11,10,0,115,7,0,9,9,8,15,4,4,0,55,0,0,0,4,0,3,6,0,0,8,0,3,16,17,12,9,8,4,0,67,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,16,49,16,18,32,49,52,67,74,26,383,70,65,199,247,287,303,221,161,48,1610,0,0,3,0,4,3,3,0,0,17,0,0,6,0,0,3,3,0,0,15,5,42,72,93,79,109,87,51,14,554,0,10,27,21,32,42,35,26,3,190,0,13,44,35,22,45,24,8,3,192
LGA10750,3,90,276,345,353,248,92,19,3,1439,69,392,2028,1411,458,159,21,0,0,4540,97,890,3296,4508,4532,3180,1416,564,94,18570,82,372,1177,1208,874,689,370,165,23,4959,16,79,264,287,235,110,56,8,0,1056,21,174,463,463,385,239,80,19,8,1853,0,57,317,368,367,337,145,54,11,1650,89,827,2922,2722,1950,1230,403,103,17,10265,60,338,857,813,630,421,197,50,12,3379,28,229,440,249,124,120,54,14,7,1254,49,306,657,439,320,201,102,35,6,2110,15,13,16,17,17,9,7,3,0,99,3,60,185,243,210,117,64,20,3,900,1213,945,1860,1795,1618,1317,985,648,185,10564,1756,4767,14770,14848,12075,8359,3986,1705,371,62642,0,131,329,459,402,345,150,46,10,1872,67,480,2085,2699,763,268,65,10,0,6435,96,840,3370,4579,4592,3761,2056,804,173,20266,114,536,1278,1280,1095,739,486,230,70,5827,12,78,231,277,264,206,71,27,9,1186
LGA10800,0,0,7,5,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,9,8,18,70,65,60,54,31,20,4,330,0,7,17,12,16,14,9,3,0,81,0,12,22,32,45,40,21,12,0,175,0,0,6,8,14,7,0,0,0,33,0,3,11,4,5,12,3,0,0,44,0,6,14,15,12,10,5,0,0,58,0,0,4,12,8,4,6,0,0,30,0,0,0,4,3,0,0,0,0,11,0,3,7,5,6,3,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,4,0,18,18,10,24,27,24,24,28,26,9,195,27,61,187,194,197,176,101,67,12,1024,0,0,6,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,6,14,39,72,72,57,55,37,29,7,379,3,0,22,17,17,13,9,4,3,87,4,9,20,27,38,36,31,12,7,187
LGA10850,0,0,0,11,9,0,0,0,0,21,0,5,3,0,3,3,0,0,0,11,0,30,82,101,107,68,36,25,0,450,0,12,32,22,26,26,17,9,0,140,5,7,15,27,32,29,18,7,0,147,0,0,6,12,10,12,3,0,0,49,0,0,7,10,9,22,7,0,0,53,0,11,18,36,33,31,6,3,0,126,0,0,0,14,9,24,11,0,0,59,0,0,0,4,6,7,0,0,0,9,5,4,8,8,7,11,6,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,16,26,20,15,31,37,52,44,37,9,259,30,85,183,282,280,274,156,87,13,1391,0,0,0,0,9,0,6,0,0,16,0,0,0,0,0,0,0,0,0,11,6,25,90,94,109,90,57,22,3,495,4,14,26,32,22,30,19,6,0,150,3,7,25,18,34,33,24,11,0,150
LGA10900,0,16,56,147,162,173,96,34,11,694,22,53,132,145,113,74,28,0,0,560,21,198,505,930,1153,1088,724,288,94,4996,16,128,300,390,361,322,192,105,35,1853,10,59,144,190,149,107,53,14,3,730,0,30,108,199,225,228,70,56,11,932,4,18,109,231,357,495,189,75,7,1483,16,99,295,480,576,585,289,105,23,2471,14,68,240,353,394,430,220,96,22,1832,8,73,160,216,191,147,54,20,3,877,18,56,121,136,83,71,43,13,3,549,4,3,3,0,0,3,0,0,0,9,4,4,28,57,59,64,29,23,3,271,226,145,228,348,422,388,292,218,86,2355,363,956,2432,3818,4247,4171,2270,1054,306,19618,0,35,57,126,149,188,178,49,13,789,9,56,112,177,145,106,29,6,3,644,19,153,549,752,1026,1049,888,407,121,4967,16,143,337,382,410,352,247,111,34,2033,10,42,141,170,159,122,67,25,6,747
LGA10950,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,17,26,30,38,15,12,5,0,142,0,7,3,8,13,5,3,3,0,36,0,7,10,16,9,13,8,6,0,63,0,0,5,0,0,3,0,0,0,11,0,0,5,0,0,0,0,0,0,9,0,0,3,6,3,5,3,0,0,23,0,0,3,3,4,5,3,0,0,20,0,0,0,0,0,0,0,0,0,4,0,0,8,3,3,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,12,9,23,26,25,33,15,4,155,16,48,71,102,101,71,59,26,4,499,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,16,33,28,44,26,15,6,0,170,0,3,12,0,8,4,5,0,0,36,0,0,5,9,17,14,0,7,0,62
LGA11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,21,19,15,3,5,0,92,0,6,6,11,13,7,5,0,0,46,0,0,11,16,12,5,0,3,0,50,0,0,0,3,0,5,0,0,0,17,0,0,9,5,3,0,0,0,0,25,0,3,5,6,9,3,4,0,0,35,0,0,24,16,9,0,0,0,0,48,0,0,0,0,0,4,0,0,0,6,0,0,3,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,17,21,52,35,33,29,30,0,228,22,36,100,140,106,82,45,37,5,570,0,0,0,0,0,0,0,0,0,4,0,0,0,7,6,0,0,0,0,4,0,10,21,14,15,18,6,0,0,91,0,0,7,9,9,6,0,3,0,35,0,3,4,7,8,8,0,0,0,29
