LGA_CODE_2021,C21_P_35_39_Tot_LF,C21_P_35_39_Not_LF,C21_P_35_39_LF_NS,C21_P_35_39_Tot,C21_P_40_44_Em_FT,C21_P_40_44_Em_PT,C21_P_40_44_Em_AFW,C21_P_40_44_Em_Hrs_NS,C21_P_40_44_Em_Tot,C21_P_40_44_Unem_Look_FT,C21_P_40_44_Unem_Look_PT,C21_P_40_44_Unem_Tot,C21_P_40_44_Tot_LF,C21_P_40_44_Not_LF,C21_P_40_44_LF_NS,C21_P_40_44_Tot,C21_P_45_49_Em_FT,C21_P_45_49_Em_PT,C21_P_45_49_Em_AFW,C21_P_45_49_Em_Hrs_NS,C21_P_45_49_Em_Tot,C21_P_45_49_Unem_Look_FT,C21_P_45_49_Unem_Look_PT,C21_P_45_49_Unem_Tot,C21_P_45_49_Tot_LF,C21_P_45_49_Not_LF,C21_P_45_49_LF_NS,C21_P_45_49_Tot,C21_P_50_54_Em_FT,C21_P_50_54_Em_PT,C21_P_50_54_Em_AFW,C21_P_50_54_Em_Hrs_NS,C21_P_50_54_Em_Tot,C21_P_50_54_Unem_Look_FT,C21_P_50_54_Unem_Look_PT,C21_P_50_54_Unem_Tot,C21_P_50_54_Tot_LF,C21_P_50_54_Not_LF,C21_P_50_54_LF_NS,C21_P_50_54_Tot,C21_P_55_59_Em_FT,C21_P_55_59_Em_PT,C21_P_55_59_Em_AFW,C21_P_55_59_Em_Hrs_NS,C21_P_55_59_Em_Tot,C21_P_55_59_Unem_Look_FT,C21_P_55_59_Unem_Look_PT,C21_P_55_59_Unem_Tot,C21_P_55_59_Tot_LF,C21_P_55_59_Not_LF,C21_P_55_59_LF_NS,C21_P_55_59_Tot,C21_P_60_64_Em_FT,C21_P_60_64_Em_PT,C21_P_60_64_Em_AFW,C21_P_60_64_Em_Hrs_NS,C21_P_60_64_Em_Tot,C21_P_60_64_Unem_Look_FT,C21_P_60_64_Unem_Look_PT,C21_P_60_64_Unem_Tot,C21_P_60_64_Tot_LF,C21_P_60_64_Not_LF,C21_P_60_64_LF_NS,C21_P_60_64_Tot,C21_P_65_69_Em_FT,C21_P_65_69_Em_PT,C21_P_65_69_Em_AFW,C21_P_65_69_Em_Hrs_NS,C21_P_65_69_Em_Tot,C21_P_65_69_Unem_Look_FT,C21_P_65_69_Unem_Look_PT,C21_P_65_69_Unem_Tot,C21_P_65_69_Tot_LF,C21_P_65_69_Not_LF,C21_P_65_69_LF_NS,C21_P_65_69_Tot,C21_P_70_74_Em_FT,C21_P_70_74_Em_PT,C21_P_70_74_Em_AFW,C21_P_70_74_Em_Hrs_NS,C21_P_70_74_Em_Tot,C21_P_70_74_Unem_Look_FT,C21_P_70_74_Unem_Look_PT,C21_P_70_74_Unem_Tot,C21_P_70_74_Tot_LF,C21_P_70_74_Not_LF,C21_P_70_74_LF_NS,C21_P_70_74_Tot,C21_P_75over_Emp_Wor_ft,C21_P_75over_Em_Work_pt,C21_P_75over_Em_Aw_fr_w,C21_P_75over_Emp_Hou_w_ns,C21_P_75over_Em_Tot,C21_P_75over_Unem_Lo_ft_w,C21_P_75over_Unem_Lo_pt_w,C21_P_75over_Unemp_Tot,C21_P_75over_Tot_lab_for,C21_P_75over_N_lab_forc,C21_P_75over_LF_NS,C21_P_75over_Tot,C21_P_Tot_Em_FT,C21_P_Tot_Em_PT,C21_P_Tot_Em_AFW,C21_P_Tot_Em_Hrs_NS,C21_P_Tot_Em_Tot,C21_P_Tot_Unem_Look_FT,C21_P_Tot_Unem_Look_PT,C21_P_Tot_Unem_Tot,C21_P_Tot_Tot_labo_for,C21_P_Tot_Not_LF,C21_P_Tot_LF_NS,C21_P_Tot_Tot
LGA10050,2876,435,226,3541,1701,794,66,26,2595,79,33,113,2704,471,170,3348,1696,760,80,25,2559,79,31,105,2666,460,162,3283,1760,732,89,33,2613,45,28,77,2689,549,189,3430,1475,728,91,36,2328,57,43,94,2420,755,160,3340,1077,787,106,13,1982,54,47,96,2084,1245,167,3494,396,485,58,15,955,13,27,36,989,2047,159,3203,88,236,21,7,348,0,3,8,356,2328,157,2839,31,102,3,12,144,0,0,0,148,4370,410,4924,15485,9392,1097,376,26344,719,604,1326,27666,15225,2628,45524
LGA10180,1309,250,147,1713,738,309,29,16,1095,31,19,40,1139,222,109,1471,808,313,41,14,1168,28,20,45,1213,246,115,1574,856,296,39,15,1197,27,18,43,1244,263,130,1627,822,366,62,19,1259,28,14,43,1304,415,135,1853,546,381,65,27,1015,24,12,35,1051,569,99,1720,234,261,40,5,542,4,7,15,558,853,99,1501,107,143,10,10,268,0,0,0,272,1009,99,1375,62,98,19,12,189,0,0,0,189,2095,350,2630,7367,4573,600,220,12765,362,353,715,13482,7993,2405,23882
LGA10250,2116,318,163,2596,1246,778,85,31,2146,29,15,46,2189,339,124,2658,1409,799,83,28,2319,36,31,69,2389,370,136,2891,1402,780,106,38,2331,30,35,66,2392,476,143,3010,1241,890,95,35,2258,28,40,65,2322,678,129,3129,897,844,126,27,1895,28,30,63,1957,1251,167,3372,324,536,66,13,941,7,19,27,963,2363,175,3500,116,286,22,3,423,0,5,4,428,2645,152,3228,46,144,10,17,220,0,3,3,224,5074,504,5806,10594,8725,1097,355,20775,339,400,736,21513,15038,2198,38753
LGA10300,78,9,14,97,50,20,0,8,71,0,0,0,71,17,20,108,70,28,5,6,103,0,0,0,102,13,24,136,71,25,3,0,96,4,0,3,99,24,26,151,81,26,0,0,117,0,0,3,123,25,24,166,65,34,0,0,95,0,0,3,103,36,24,163,35,24,6,4,65,0,0,0,65,72,31,168,14,4,0,0,25,0,0,0,25,71,18,119,3,6,5,0,6,0,0,0,6,129,27,165,629,279,34,30,973,21,10,31,1001,496,271,1776
LGA10470,2127,409,124,2663,1327,471,50,24,1875,35,17,50,1927,407,132,2463,1511,506,50,17,2081,36,20,59,2143,388,138,2670,1445,526,75,18,2062,42,23,68,2137,455,126,2715,1237,520,93,20,1871,38,22,63,1931,596,119,2651,842,530,93,15,1484,24,25,46,1535,1021,133,2686,323,358,52,4,742,4,13,10,756,1521,117,2390,116,166,15,3,295,0,0,3,298,1694,114,2104,37,103,18,7,165,0,3,3,168,3125,286,3577,12449,6763,948,293,20457,472,390,863,21317,12217,1863,35394
LGA10500,11718,2413,867,14992,5603,2233,619,134,8593,270,109,375,8965,1941,640,11557,5178,2073,609,140,7998,273,90,360,8355,1846,543,10742,4419,1868,555,94,6933,216,105,314,7251,2146,491,9882,3590,1731,594,75,5986,210,108,316,6306,2533,514,9352,2252,1374,434,69,4130,155,123,278,4405,3365,378,8143,893,744,248,46,1925,44,39,85,2003,4723,358,7090,263,390,97,16,766,4,16,14,783,5237,379,6399,82,141,45,9,277,7,11,17,287,10711,1508,12505,48955,25942,8535,1702,85131,2853,2146,5002,90134,49079,9481,148694
LGA10550,1350,240,109,1694,760,467,54,27,1306,19,7,32,1342,212,98,1646,924,537,52,36,1543,29,19,45,1592,271,140,2002,1006,660,79,31,1787,27,18,47,1833,356,155,2343,925,735,108,37,1810,36,24,62,1864,791,193,2852,751,827,103,22,1710,27,39,66,1775,1508,192,3483,285,452,73,16,828,14,18,28,853,2308,169,3336,103,198,19,9,324,0,8,5,327,2376,182,2885,64,105,12,13,196,0,0,0,196,3553,440,4192,7613,6233,802,321,14975,271,277,548,15523,12864,2122,30514
LGA10600,494,94,58,649,240,198,9,13,460,13,16,29,486,104,62,652,336,232,33,13,613,13,9,27,639,145,74,850,356,274,31,12,676,11,17,24,707,144,68,916,349,297,55,8,700,21,5,32,728,268,65,1065,257,308,43,7,621,15,19,32,651,489,61,1196,124,166,22,0,308,4,6,16,323,764,71,1158,42,85,4,0,130,0,0,0,132,738,81,948,23,45,0,11,82,0,0,0,83,1217,152,1450,2532,2467,263,97,5365,152,147,303,5667,4530,838,11037
LGA10650,300,34,31,365,214,98,9,7,331,4,0,5,335,62,31,431,255,86,9,12,360,4,5,9,373,66,46,482,237,88,20,9,349,5,4,15,363,77,45,484,199,123,17,9,345,9,9,13,357,127,42,523,205,166,28,0,406,9,10,16,421,264,73,752,100,117,20,3,238,0,4,5,241,467,77,780,33,55,9,3,99,0,0,0,99,622,95,812,20,42,0,9,72,0,0,0,72,923,241,1232,1979,1223,158,95,3454,57,55,111,3566,2940,820,7328
LGA10750,28256,6102,2081,36436,15925,4940,1813,390,23068,679,263,945,24014,5399,1540,30947,12587,3990,1615,307,18501,533,236,775,19273,4808,1313,25402,10040,3422,1543,219,15227,471,193,663,15893,5167,1101,22165,8200,2829,1427,200,12651,361,184,549,13204,6069,891,20158,5035,2292,1190,141,8654,357,185,542,9199,7684,835,17714,1860,1234,548,58,3699,94,90,189,3881,10203,695,14786,387,433,193,20,1039,15,18,31,1073,10463,701,12240,85,148,56,29,317,6,6,8,327,14943,1465,16743,104443,46306,20446,3736,174929,6359,4457,10816,185750,103358,17547,306652
