SA2_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
101021007,40,12,29,41,5,15,22,117,131,249,46,25,71,0,0,0,10,10,20,6,18,22,7,0,9,67,59,124,19,10,30,0,0,0,6,0,14,14,34,42,3,0,9,42,49,88,894,882,1778,59,58,121,245,231,478,49,147,192,603,485,1087,1840,1807,3650
101021008,31,12,54,62,7,11,12,96,133,227,45,30,78,4,0,4,5,14,17,13,46,57,0,3,3,67,92,160,27,5,40,4,0,5,3,3,7,9,44,48,0,0,0,41,60,99,1525,1520,3044,106,133,237,263,345,608,73,269,343,1425,1243,2664,3388,3509,6895
101021009,37,19,66,84,12,7,21,130,155,286,53,46,96,0,5,6,18,16,31,21,93,109,3,11,12,98,170,266,63,30,98,4,3,10,7,8,23,34,172,211,0,4,10,117,227,347,1831,1786,3621,171,187,362,506,553,1061,116,468,581,2203,1780,3983,4832,4771,9608
101021010,27,10,13,23,4,0,9,60,63,126,21,8,31,0,0,5,6,4,6,0,19,23,5,0,5,38,38,72,15,0,15,3,0,3,6,4,10,0,30,31,0,0,4,23,36,58,858,832,1690,79,88,158,261,219,479,27,117,143,1011,805,1819,2235,2064,4296
101021012,26,5,33,43,4,0,7,92,108,196,45,35,78,0,0,3,8,5,14,12,22,32,4,0,5,72,63,129,30,12,40,0,0,0,3,0,3,3,33,39,0,0,0,35,39,79,2744,2745,5489,123,145,274,305,417,725,62,192,251,1693,1588,3289,4927,5097,10023
101021610,5,0,7,7,0,0,0,15,18,33,6,5,15,0,0,0,0,0,0,0,3,6,0,0,0,11,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,1361,1374,2729,39,65,105,95,132,222,12,30,44,630,625,1258,2128,2222,4350
101021611,54,20,29,48,12,3,14,237,201,441,81,49,135,0,0,0,6,12,18,17,41,56,0,3,6,107,103,219,33,11,44,0,0,5,6,0,10,13,38,49,4,0,0,58,49,109,3804,3797,7601,185,174,360,514,501,1019,106,245,356,2132,1867,3999,6751,6579,13330
101031013,13,10,16,24,6,0,6,68,58,122,24,19,38,5,0,6,4,0,5,7,14,26,0,0,4,37,37,79,14,5,14,0,0,0,0,4,4,6,41,46,4,0,11,22,50,76,470,453,923,36,47,86,111,124,234,34,109,145,363,297,656,1016,1029,2048
101031014,33,15,53,70,12,4,14,144,162,308,77,50,125,9,3,11,4,15,12,7,72,79,0,10,12,96,141,237,60,21,74,0,0,0,3,10,13,32,105,142,4,4,10,102,140,244,1258,1179,2442,99,125,224,245,335,587,80,321,405,1163,842,2002,2846,2803,5657
101031015,21,11,21,29,0,7,7,92,80,170,37,28,60,3,3,11,0,3,10,13,14,26,5,0,5,63,46,108,18,4,23,0,0,0,4,0,5,14,23,38,4,0,4,37,30,66,780,766,1541,60,36,95,167,130,306,60,98,156,455,375,824,1523,1403,2925
