SA2_CODE_2021,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus,C16_Aus_Bplace_NS,C16_Aus_Tot_resp,C16_Aus_Ab_BP_B_OS,C16_Aus_Ab_Fa_O_B_OS,C16_Aus_Ab_Mo_O_B_OS,C16_Aus_Ab_BP_B_Aus,C16_Aus_Abor_Bplace_NS,C16_Aus_Abor_Tot_resp,C16_Chi_BP_B_OS,C16_Chi_Fa_O_B_OS,C16_Chi_Mo_O_B_OS,C16_Chi_BP_B_Aus,C16_Chi_Bplace_NS,C16_Chi_Tot_resp,C16_Cro_BP_B_OS,C16_Cro_Fa_O_B_OS,C16_Cro_Mo_O_B_OS,C16_Cro_BP_B_Aus,C16_Cro_Bplace_NS,C16_Cro_Tot_resp,C16_Dut_BP_B_OS,C16_Dut_Fa_O_B_OS,C16_Dut_Mo_O_B_OS,C16_Dut_BP_B_Aus,C16_Dut_Bplace_NS,C16_Dut_Tot_resp,C16_Eng_BP_B_OS,C16_Eng_Fa_O_B_OS,C16_Eng_Mo_O_B_OS,C16_Eng_BP_B_Aus,C16_Eng_Bplace_NS,C16_Eng_Tot_resp,C16_Fil_BP_B_OS,C16_Fil_Fa_O_B_OS,C16_Fil_Mo_O_B_OS,C16_Fil_BP_B_Aus,C16_Fil_Bplace_NS,C16_Fil_Tot_resp,C16_Fre_BP_B_OS,C16_Fre_Fa_O_B_OS,C16_Fre_Mo_O_B_OS,C16_Fre_BP_B_Aus,C16_Fre_Bplace_NS,C16_Fre_Tot_resp,C16_Ger_BP_B_OS,C16_Ger_Fa_O_B_OS,C16_Ger_Mo_O_B_OS,C16_Ger_BP_B_Aus,C16_Ger_Bplace_NS,C16_Ger_Tot_resp,C16_Gre_BP_B_OS,C16_Gre_Fa_O_B_OS,C16_Gre_Mo_O_B_OS,C16_Gre_BP_B_Aus,C16_Gre_Bplace_NS,C16_Gre_Tot_resp,C16_Hun_BP_B_OS,C16_Hun_Fa_O_B_OS,C16_Hun_Mo_O_B_OS,C16_Hun_BP_B_Aus,C16_Hun_Bplace_NS,C16_Hun_Tot_resp,C16_Ind_BP_B_OS,C16_Ind_Fa_O_B_OS,C16_Ind_Mo_O_B_OS,C16_Ind_BP_B_Aus,C16_Ind_Bplace_NS,C16_Ind_Tot_resp,C16_Iri_BP_B_OS,C16_Iri_Fa_O_B_OS,C16_Iri_Mo_O_B_OS,C16_Iri_BP_B_Aus,C16_Iri_Bplace_NS,C16_Iri_Tot_resp,C16_Ita_BP_B_OS,C16_Ita_Fa_O_B_OS,C16_Ita_Mo_O_B_OS,C16_Ita_BP_B_Aus,C16_Ita_Bplace_NS,C16_Ita_Tot_resp,C16_Kor_BP_B_OS,C16_Kor_Fa_O_B_OS,C16_Kor_Mo_O_B_OS,C16_Kor_BP_B_Aus,C16_Kor_Bplace_NS,C16_Kor_Tot_resp,C16_Leb_BP_B_OS,C16_Leb_Fa_O_B_OS,C16_Leb_Mo_O_B_OS,C16_Leb_BP_B_Aus,C16_Leb_Bplace_NS,C16_Leb_Tot_resp,C16_Mac_BP_B_OS,C16_Mac_Fa_O_B_OS,C16_Mac_Mo_O_B_OS,C16_Mac_BP_B_Aus,C16_Mac_Bplace_NS,C16_Mac_Tot_resp,C16_Mal_BP_B_OS,C16_Mal_Fa_O_B_OS,C16_Mal_Mo_O_B_OS,C16_Mal_BP_B_Aus,C16_Mal_Bplace_NS,C16_Mal_Tot_resp,C16_Mao_BP_B_OS,C16_Mao_Fa_O_B_OS,C16_Mao_Mo_O_B_OS,C16_Mao_BP_B_Aus,C16_Mao_Bplace_NS,C16_Mao_Tot_resp,C16_NZ_BP_B_OS,C16_NZ_Fa_O_B_OS,C16_NZ_Mo_O_B_OS,C16_NZ_BP_B_Aus,C16_NZ_Bplace_NS,C16_NZ_Tot_resp,C16_Pol_BP_B_OS,C16_Pol_Fa_O_B_OS,C16_Pol_Mo_O_B_OS,C16_Pol_BP_B_Aus,C16_Pol_Bplace_NS,C16_Pol_Tot_resp,C16_Rus_BP_B_OS,C16_Rus_Fa_O_B_OS,C16_Rus_Mo_O_B_OS,C16_Rus_BP_B_Aus,C16_Rus_Birthplac_ns,C16_Rus_Tot_resp,C16_Sam_BP_B_OS,C16_Sam_Fa_O_B_OS,C16_Sam_Mo_O_B_OS,C16_Sam_BP_B_Aus,C16_Sam_Birthplac_ns,C16_Sam_Tot_resp,C16_Sco_BP_B_OS,C16_Sco_Fa_O_B_OS,C16_Sco_Mo_O_B_OS,C16_Sco_BP_B_Aus,C16_Sco_Birthplac_ns,C16_Sco_Tot_resp,C16_Ser_BP_B_OS,C16_Ser_Fa_O_B_OS,C16_Ser_Mo_O_B_OS,C16_Ser_BP_B_Aus,C16_Ser_Bplace_NS,C16_Ser_Tot_resp,C16_SAf_BP_B_OS,C16_SAf_Fa_O_B_OS,C16_SAf_Mo_O_B_OS,C16_SAf_BP_B_Aus,C16_SAf_Bplace_NS,C16_SAf_Tot_resp,C16_Span_BP_B_OS,C16_Span_Fa_O_B_OS,C16_Span_Mo_O_B_OS,C16_Span_BP_B_Aus,C16_Span_Bplace_NS,C16_Span_Tot_resp,C16_SriL_BP_B_OS,C16_SriL_Fa_O_B_OS,C16_SriL_Mo_O_B_OS,C16_SriL_BP_B_Aus,C16_SriL_Bplace_NS,C16_SriL_Tot_resp,C16_Viet_BP_B_OS,C16_Viet_Fa_O_B_OS,C16_Viet_Mo_O_B_OS,C16_Viet_BP_B_Aus,C16_Viet_Bplace_NS,C16_Viet_Tot_resp,C16_Wel_BP_B_OS,C16_Wel_Fa_O_B_OS,C16_Wel_Mo_O_B_OS,C16_Wel_BP_B_Aus,C16_Wel_Bplace_NS,C16_Wel_Tot_resp,C16_Oth_BP_B_OS,C16_Oth_Fa_O_B_OS,C16_Oth_Mo_O_B_OS,C16_Oth_BP_B_Aus,C16_Oth_Bplace_NS,C16_Oth_Tot_resp,C16_Anc_ns_BP_B_OS,C16_Anc_ns_Fa_O_B_OS,C16_Anc_ns_Mo_O_B_OS,C16_Anc_ns_BP_B_Aus,C16_Anc_ns_Bplace_NS,C16_Anc_NS_Tot_resp,C16_Tot_P_BP_B_OS,C16_Tot_P_Fa_O_B_OS,C16_Tot_P_Mo_O_B_OS,C16_Tot_P_BP_B_Aus,C16_Tot_P_Bplace_NS,C16_Tot_P_Tot_resp,C21_Aus_BP_B_OS,C21_Aus_Fa_O_B_OS,C21_Aus_Mo_O_B_OS,C21_Aus_BP_B_Aus
101021007,107,1178,33,1451,0,0,0,10,0,10,9,0,0,19,0,30,5,0,0,4,0,11,29,5,7,14,3,56,241,126,107,1098,27,1598,17,0,0,0,0,17,12,4,0,22,0,33,41,8,9,80,4,146,0,3,0,7,0,16,7,5,0,0,0,10,8,5,0,6,0,18,44,30,20,498,12,614,16,11,0,46,0,80,0,0,0,0,0,0,4,0,0,4,0,7,3,0,0,0,0,3,10,0,0,4,0,11,6,0,0,0,0,6,13,3,0,0,0,24,14,3,0,0,0,19,0,0,0,4,0,10,0,0,0,0,0,0,59,42,26,361,3,497,5,0,0,0,0,4,5,0,0,4,0,4,15,0,0,5,0,26,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,9,0,38,91,24,21,54,0,193,9,0,0,20,409,441,558,239,186,2425,469,3875,8,177,118,1371
101021008,203,2644,69,3242,0,4,0,61,3,71,53,3,5,30,4,97,68,19,7,19,0,117,38,20,10,34,0,107,325,240,173,2058,58,2855,52,0,11,0,0,73,18,7,5,14,0,42,76,32,27,219,3,349,54,6,3,15,0,80,19,6,0,14,0,39,72,3,0,3,0,80,78,73,48,805,12,1020,207,35,15,164,0,423,7,3,3,0,0,8,9,0,0,3,0,16,274,20,14,33,6,343,19,10,6,35,6,68,50,6,0,11,3,69,19,16,6,0,0,45,39,4,8,17,0,75,32,0,0,7,0,35,26,8,0,0,0,33,108,56,50,527,9,747,74,17,5,5,0,105,5,4,4,0,0,10,13,0,0,6,0,18,7,3,3,0,0,16,28,0,4,0,0,31,17,7,5,20,0,44,372,45,59,59,6,536,20,5,5,70,408,509,1877,546,385,4886,557,8241,53,334,220,2566
101021009,230,2674,43,3376,0,5,0,43,0,50,164,5,4,20,0,192,78,7,4,11,0,100,52,15,11,38,3,121,507,311,223,2490,57,3586,205,7,18,0,3,235,16,3,0,20,0,39,116,53,25,268,4,473,132,10,6,38,0,186,29,11,0,12,0,49,398,5,5,0,10,421,112,95,75,1113,12,1398,224,45,26,124,12,425,28,0,0,0,0,31,9,0,0,11,0,25,254,19,18,30,0,313,32,13,6,21,3,79,67,14,7,6,0,97,37,21,13,12,0,83,77,12,11,12,0,113,16,8,0,10,0,39,39,0,0,0,0,40,140,71,63,666,11,951,84,3,0,10,0,99,3,0,3,3,0,11,36,0,3,8,0,51,14,0,0,0,0,19,41,0,0,0,0,42,21,6,12,27,0,59,915,65,51,93,4,1130,45,3,5,61,760,879,3406,654,474,5398,905,10838,147,385,277,2750
101021010,106,1218,20,1543,0,4,0,21,0,26,71,3,7,12,0,97,43,10,4,15,0,68,14,12,5,33,0,61,267,153,101,1115,22,1656,57,0,13,0,0,66,11,6,0,16,0,35,52,11,7,121,0,196,22,11,0,23,0,59,11,0,0,6,0,21,258,0,0,5,0,267,60,49,28,487,4,631,60,23,7,62,4,154,11,0,0,0,0,11,8,6,0,3,0,12,81,13,7,13,0,109,7,5,0,18,0,39,19,3,0,0,0,25,18,9,5,5,0,31,26,3,0,3,0,35,17,0,3,0,0,19,14,3,0,0,0,21,71,35,41,286,5,431,23,0,4,0,0,25,4,5,0,0,0,13,24,0,0,5,0,31,8,0,0,0,0,8,17,0,0,0,0,17,7,0,0,12,0,27,445,30,24,46,7,554,18,5,5,26,262,316,1494,317,221,2443,313,4785,68,179,125,1287
101021012,367,3990,28,4977,0,4,0,45,0,47,126,8,12,33,3,182,86,15,6,57,0,165,92,32,27,74,0,221,704,431,341,3142,40,4644,81,0,13,5,0,96,28,6,5,37,0,69,143,52,30,392,0,619,66,15,3,57,0,142,39,5,8,6,0,63,155,4,8,8,0,170,158,108,80,1220,15,1579,273,75,23,308,6,687,3,3,0,0,0,7,20,0,0,11,0,34,219,48,13,55,5,339,35,13,6,37,0,92,36,7,9,7,3,64,50,37,27,9,0,121,60,13,6,52,0,131,33,5,0,9,0,50,12,4,0,0,0,14,208,133,85,841,5,1277,64,12,14,20,3,113,36,10,0,0,0,45,39,0,8,13,0,57,23,3,6,5,0,40,10,5,0,0,0,13,25,19,4,43,0,91,588,114,116,187,11,1015,26,9,3,75,456,567,2858,1006,696,7534,553,12642,122,535,417,3916
101021610,48,492,6,629,0,0,0,0,0,0,32,0,0,0,0,34,13,9,0,6,0,32,10,4,0,15,0,33,82,63,34,288,3,475,46,0,3,0,0,51,8,4,0,0,0,11,8,7,0,38,4,57,4,3,0,10,0,25,0,0,0,4,0,6,68,0,0,0,0,70,15,8,4,98,0,120,28,10,9,45,0,90,0,0,0,0,0,4,5,0,0,0,0,5,30,7,0,11,0,43,0,0,0,10,0,13,3,0,0,0,0,7,6,5,5,6,0,17,9,0,3,4,0,19,0,0,0,3,0,5,3,4,0,0,0,6,21,14,21,99,0,146,3,0,0,0,0,7,9,0,0,0,0,9,6,0,6,0,0,9,8,0,0,0,0,8,3,0,0,0,0,3,5,0,0,0,0,3,94,8,16,38,0,158,5,0,0,3,112,127,420,135,83,829,122,1590,66,273,223,1966
101021611,501,5175,94,6448,0,0,0,40,0,39,47,5,13,28,0,92,63,5,5,42,0,114,137,51,48,77,5,311,1089,501,463,3879,88,6022,13,0,4,0,0,19,30,10,4,44,0,84,211,68,61,394,4,746,30,16,3,39,0,93,34,5,5,12,0,58,43,8,3,9,0,57,223,112,84,1571,36,2014,204,74,17,178,4,473,5,0,0,0,0,12,6,0,4,13,0,27,30,7,3,8,0,50,33,10,6,10,0,66,11,3,3,0,0,29,49,27,22,14,0,121,57,18,3,23,5,112,6,5,4,7,0,23,0,0,0,0,0,8,251,125,112,1083,20,1592,32,8,9,11,0,60,23,4,4,0,0,35,41,12,3,22,0,70,14,0,5,0,0,15,11,0,0,0,0,15,45,13,4,58,4,122,449,129,87,169,7,852,12,7,4,87,1367,1487,2608,1047,866,9263,1568,15356,98,658,598,5652
101031013,57,958,22,1089,0,0,0,3,0,7,11,0,0,0,0,13,3,0,0,0,0,6,8,3,0,3,0,12,84,51,46,804,19,1008,6,0,0,0,0,6,0,0,0,0,0,3,22,13,8,74,4,122,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,12,8,216,5,262,8,0,0,25,0,39,18,0,0,0,0,18,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,4,0,9,3,5,0,4,0,9,9,3,0,0,0,13,6,4,0,0,0,9,10,4,0,0,0,13,0,0,0,0,0,0,24,9,15,231,6,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,12,34,6,11,12,0,71,8,0,0,31,154,190,237,94,93,1775,203,2391,9,62,43,948
101031014,132,2286,42,2696,0,0,0,17,0,17,49,0,3,20,4,81,10,3,0,4,0,17,77,13,5,26,3,129,304,193,144,1796,49,2482,18,0,7,3,0,28,17,5,5,9,0,38,150,28,28,190,5,392,23,7,6,4,0,33,18,3,0,11,0,30,24,0,0,4,3,28,59,50,29,626,17,775,97,18,10,49,3,184,3,0,0,0,0,9,38,14,0,18,4,76,4,0,0,0,0,3,8,0,4,0,0,15,8,6,3,3,0,18,30,14,10,3,0,55,35,0,4,6,0,52,5,0,0,7,0,14,0,0,0,0,0,0,93,48,56,494,10,697,14,0,8,0,0,19,9,0,0,0,0,9,15,0,0,0,0,15,9,0,0,0,0,9,11,0,0,0,0,11,7,7,0,16,0,30,248,39,13,78,4,388,10,0,0,62,682,766,1169,368,285,4131,787,6737,48,221,165,2177
101031015,55,1090,21,1279,0,0,0,0,0,0,4,0,0,10,0,13,6,4,0,0,0,11,36,10,6,9,0,57,201,97,76,991,24,1392,4,3,0,0,0,5,10,4,0,4,0,16,62,17,8,84,0,171,8,0,6,13,0,23,12,3,3,0,0,12,4,0,4,0,0,7,24,15,23,436,6,507,29,7,7,27,0,64,0,0,0,0,0,0,8,0,0,6,0,12,5,0,0,0,0,5,4,4,0,0,0,5,0,0,0,0,0,3,16,6,3,5,0,29,10,0,0,5,0,18,9,0,0,6,0,17,0,0,0,0,0,0,52,24,16,267,0,362,4,0,0,0,0,4,8,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,6,4,3,10,0,24,100,15,10,43,9,173,4,0,0,22,274,305,512,183,129,2143,323,3282,20,102,61,1149
