SA2_CODE_2021,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Ft_st_C21_M,Ot_ty_Ed_Ins_Ft_st_C21_F,Ot_ty_Ed_Ins_Ft_st_C21_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C21_M,Ot_ty_Ed_Ins_Pt_st_C21_F,Ot_ty_Ed_Ins_Pt_st_C21_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,O_t_E_I_F_P_s_s_ns_C21_M,O_t_E_I_F_P_s_s_ns_C21_F,O_t_E_I_F_P_s_s_ns_C21_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Oth_ty_Edu_Ins_Tot_C21_M,Oth_ty_Edu_Ins_Tot_C21_F,Oth_ty_Edu_Ins_Tot_C21_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Type_Educ_Insti_ns_C21_M,Type_Educ_Insti_ns_C21_F,Type_Educ_Insti_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
101021007,9,6,0,4,13,0,15,5,9,7,7,11,17,3,9,12,0,0,0,0,0,0,0,0,0,11,8,17,7,13,23,14,9,25,136,139,279,239,246,488,186,176,367,459,453,903,565,593,1155,590,573,1162
101021008,0,10,5,15,11,16,21,13,25,35,14,33,47,18,28,45,0,0,0,0,0,0,0,0,0,11,20,39,22,44,59,24,46,71,298,282,575,268,303,574,258,262,521,1257,1361,2617,1203,1234,2436,1245,1215,2462
101021009,20,7,13,21,35,30,66,20,42,59,21,45,64,46,62,110,0,0,0,0,0,0,0,0,0,34,47,81,29,56,86,84,85,170,499,345,847,444,400,846,300,294,597,1419,1343,2755,1401,1467,2866,1514,1510,3026
101021010,3,9,9,13,12,10,21,15,24,36,14,18,33,15,22,42,0,0,0,0,0,0,0,0,0,15,21,40,20,29,49,31,32,58,181,149,332,154,139,295,136,98,234,682,650,1327,646,638,1283,697,658,1355
101021012,17,11,14,23,12,11,25,14,46,62,19,40,64,18,38,58,0,0,0,3,0,5,0,0,0,21,51,73,34,56,91,32,48,80,251,227,473,290,262,560,199,200,399,2061,2119,4184,2209,2182,4397,2051,2039,4087
101021610,0,0,0,0,13,10,21,0,0,0,3,0,3,28,30,62,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,43,37,83,0,0,0,62,68,123,109,108,215,0,0,0,258,284,534,1052,1042,2093
101021611,12,10,8,17,12,8,22,27,49,76,20,46,66,38,54,95,0,0,0,0,4,6,0,0,0,36,56,85,22,58,80,45,71,119,475,407,878,814,746,1566,483,409,894,2274,2306,4580,2679,2656,5334,2510,2537,5048
101031013,0,4,5,9,3,6,7,0,7,8,0,4,5,0,4,5,0,0,0,0,0,0,0,0,0,0,7,8,10,7,15,4,10,11,63,58,123,97,106,204,105,122,221,296,318,610,288,327,610,320,357,674
101031014,6,6,6,14,6,15,21,7,11,20,3,17,25,7,18,28,0,0,0,0,0,0,0,0,0,7,19,20,11,26,34,15,28,46,324,204,523,508,332,845,407,184,593,991,962,1947,1118,995,2114,1055,877,1928
101031015,0,3,5,3,4,3,8,4,17,21,0,4,4,6,6,14,0,0,0,0,0,0,0,0,0,4,16,20,3,7,9,9,13,21,121,68,191,165,175,335,172,150,321,468,427,892,487,491,974,501,466,967
101031016,24,7,13,21,5,9,15,7,20,22,13,22,34,11,15,31,0,0,0,0,3,3,5,0,3,19,29,49,20,37,57,16,27,44,546,413,961,384,303,688,312,273,585,1281,1143,2421,1153,1068,2214,1226,1245,2472
101041017,7,0,0,0,6,0,11,8,23,31,8,16,26,12,23,37,0,0,0,0,3,3,0,0,0,7,30,35,7,19,28,18,27,48,324,310,634,381,378,760,300,298,602,926,1017,1944,974,1035,2005,991,1128,2125
101041018,14,3,6,11,4,4,8,11,32,38,9,22,31,6,14,25,0,5,0,0,3,0,0,0,0,12,35,53,16,33,48,9,18,31,368,358,721,407,436,839,344,303,647,1078,1165,2246,1043,1156,2204,1034,1066,2098
101041019,3,3,4,6,10,10,22,12,13,25,10,20,32,9,21,31,0,0,0,0,0,0,0,0,0,14,18,33,16,28,36,20,37,55,237,281,523,417,414,831,297,329,624,1045,1207,2249,1195,1275,2463,1158,1293,2455
101041020,8,6,5,6,12,11,16,9,24,28,3,18,21,9,12,22,0,0,0,0,0,0,0,0,0,9,24,36,9,21,28,17,22,37,310,273,585,384,357,737,390,329,720,1263,1336,2596,1157,1227,2387,1217,1237,2449
