SA2_CODE_2021,C11_SH_FH_CF_no_ch,C11_SH_FH_CF_w_ch,C11_SH_FH_One_PFam,C11_SH_FH_oth_fa,C11_SH_FH_Tot,C11_SH_LP_H,C11_SH_GH,C11_SH_OH,C11_SH_Tot,C11_SDRTHT1S_FH_CF_no_ch,C11_SDRTHT1S_FH_CF_w_ch,C11_SDRTHT1S_FH_One_PFam,C11_SDRTHT1S_FH_oth_fa,C11_SDRTHT1S_FH_Tot,C11_SDRTHT1S_LP_H,C11_SDRTHT1S_GH,C11_SDRTHT1S_OH,C11_SDRTHT1S_Tot,C11_SDRTHT2S_FH_CF_no_ch,C11_SDRTHT2S_FH_CF_w_ch,C11_SDRTHT2S_FH_One_PFam,C11_SDRTHT2S_FH_oth_fa,C11_SDRTHT2S_FH_Tot,C11_SDRTHT2S_LP_H,C11_SDRTHT2S_GH,C11_SDRTHT2S_OH,C11_SDRTHT2S_Tot,C11_SDRTHT_FH_CF_no_ch,C11_SDRTHT_FH_CF_w_ch,C11_SDRTHT_FH_One_PFam,C11_SDRTHT_FH_oth_fa,C11_SDRTHT_FH_Tot,C11_SDRTHT_LP_H,C11_SDRTHT_GH,C11_SDRTHT_OH,C11_SDRTHT_Tot,C11_F_a_1_2_FH_CF_no_ch,C11_F_a_1_2_FH_CF_w_ch,C11_F_a_1_2_FH_One_PFam,C11_F_a_1_2_FH_oth_fa,C11_F_a_1_2_FH_Tot,C11_F_a_1_2_LP_H,C11_F_a_1_2_GH,C11_F_a_1_2_OH,C11_F_a_1_2_Tot,C11_F_a_3_FH_CF_no_ch,C11_F_a_3_FH_CF_w_ch,C11_F_a_3_FH_One_PFam,C11_F_a_3_FH_oth_fa,C11_F_a_3_FH_Tot,C11_F_a_3_LP_H,C11_F_a_3_GH,C11_F_a_3_OH,C11_F_a_3_Tot,C11_F_a_4_8_FH_CF_no_ch,C11_F_a_4_8_FH_CF_w_ch,C11_F_a_4_8_FH_One_PFam,C11_F_a_4_8_FH_oth_fa,C11_F_a_4_8_FH_Tot,C11_F_a_4_8_LP_H,C11_F_a_4_8_GH,C11_F_a_4_8_OH,C11_F_a_4_8_Tot,C11_F_a_9m_FH_CF_no_ch,C11_F_a_9m_FH_CF_w_ch,C11_F_a_9m_FH_One_PFam,C11_F_a_9m_FH_oth_fa,C11_F_a_9m_FH_Tot,C11_F_a_9m_LP_H,C11_F_a_9m_GH,C11_F_a_9m_OH,C11_F_a_9m_Tot,C11_F_a_a_h_FH_CF_no_ch,C11_F_a_a_h_FH_CF_w_ch,C11_F_a_a_h_FH_One_PFam,C11_F_a_a_h_FH_oth_fa,C11_F_a_a_h_FH_Tot,C11_F_a_a_h_LP_H,C11_F_a_a_h_GH,C11_F_a_a_h_OH,C11_F_a_a_h_Tot,C11_F_a_Tot_FH_CF_no_ch,C11_F_a_Tot_FH_CF_w_ch,C11_F_a_Tot_FH_One_PFam,C11_F_a_Tot_FH_oth_fa,C11_F_a_Tot_FH_Tot,C11_F_a_Tot_LP_H,C11_F_a_Tot_GH,C11_F_a_Tot_OH,C11_F_a_Tot_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_Tot_FH_CF_no_ch,C11_OD_Tot_FH_CF_w_ch,C11_OD_Tot_FH_One_PFam,C11_OD_Tot_FH_oth_fa,C11_OD_Tot_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_Tot_Tot,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_Tot,C11_Tot_FH_CF_no_ch,C11_Tot_FH_CF_w_ch,C11_Tot_FH_One_PFam,C11_Tot_FH_oth_fa,C11_Tot_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_Tot_Tot,C16_SH_FH_CF_no_ch,C16_SH_FH_CF_w_ch,C16_SH_FH_One_PFam,C16_SH_FH_oth_fa,C16_SH_FH_Tot,C16_SH_LP_H,C16_SH_GH,C16_SH_OH,C16_SH_Tot,C16_SDRTHT1S_FH_CF_no_ch,C16_SDRTHT1S_FH_CF_w_ch,C16_SDRTHT1S_FH_One_PFam,C16_SDRTHT1S_FH_oth_fa,C16_SDRTHT1S_FH_Tot,C16_SDRTHT1S_LP_H,C16_SDRTHT1S_GH,C16_SDRTHT1S_OH,C16_SDRTHT1S_Tot,C16_SDRTHT2S_FH_CF_no_ch,C16_SDRTHT2S_FH_CF_w_ch,C16_SDRTHT2S_FH_One_PFam,C16_SDRTHT2S_FH_oth_fa,C16_SDRTHT2S_FH_Tot,C16_SDRTHT2S_LP_H,C16_SDRTHT2S_GH,C16_SDRTHT2S_OH,C16_SDRTHT2S_Tot,C16_SDRTHT_Tot_FH_CF_no_ch,C16_SDRTHT_Tot_FH_CF_w_ch,C16_SDRTHT_Tot_FH_One_PFam,C16_SDRTHT_Tot_FH_oth_fa,C16_SDRTHT_Tot_FH_Tot,C16_SDRTHT_Tot_LP_H,C16_SDRTHT_Tot_GH,C16_SDRTHT_Tot_OH,C16_SDRTHT_Tot_Tot,C16_F_a_1_2_FH_CF_no_ch,C16_F_a_1_2_FH_CF_w_ch,C16_F_a_1_2_FH_One_PFam,C16_F_a_1_2_FH_oth_fa,C16_F_a_1_2_FH_Tot,C16_F_a_1_2_LP_H,C16_F_a_1_2_GH,C16_F_a_1_2_OH,C16_F_a_1_2_Tot,C16_F_a_3_FH_CF_no_ch,C16_F_a_3_FH_CF_w_ch,C16_F_a_3_FH_One_PFam,C16_F_a_3_FH_oth_fa,C16_F_a_3_FH_Tot,C16_F_a_3_LP_H,C16_F_a_3_GH,C16_F_a_3_OH,C16_F_a_3_Tot,C16_F_a_4_8_FH_CF_no_ch,C16_F_a_4_8_FH_CF_w_ch
101021007,422,311,117,3,856,362,22,75,1317,0,0,4,0,5,13,0,3,22,0,0,0,0,3,3,0,0,8,5,3,4,0,12,15,0,3,29,0,0,0,0,4,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,4,0,9,0,0,12,8,0,6,26,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,9,4,10,0,0,17,17,4,12,42,0,0,0,0,0,0,0,0,0,438,322,119,3,884,392,25,94,1400,481,342,118,9,949,408,28,202,1592,4,3,4,0,14,13,0,3,24,0,0,0,0,3,0,0,0,3,4,3,3,0,10,13,0,3,32,0,0,0,0,0,10,0,0,7,0,0,0,0,0,0,0,0,0,0,0
101021008,593,1010,404,34,2042,479,44,97,2658,67,39,41,0,148,131,11,10,305,25,22,13,3,59,38,9,3,100,88,62,53,6,207,171,18,15,403,15,4,11,0,31,79,6,15,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,3,0,0,5,15,8,11,0,35,80,4,18,138,0,0,0,0,0,12,0,24,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,24,40,0,0,0,0,0,0,0,0,0,696,1087,466,32,2283,740,61,153,3242,571,911,370,36,1877,449,58,113,2496,53,43,33,3,145,142,4,6,303,52,39,36,0,127,72,10,10,217,107,80,71,7,274,213,17,18,519,3,0,7,0,7,36,0,3,49,3,4,3,0,8,14,0,8,28,0,0
101021009,553,683,273,33,1536,509,84,79,2209,96,62,53,8,211,226,16,25,480,66,48,37,8,153,107,17,19,294,157,109,86,10,369,333,35,45,775,81,75,47,10,202,414,29,61,709,116,53,53,11,234,353,30,79,703,48,15,11,3,73,82,14,31,201,..,..,..,..,..,..,..,..,..,4,0,0,0,5,11,0,4,24,242,145,115,19,512,865,70,178,1628,3,0,0,0,3,7,0,17,35,0,0,0,0,0,3,0,0,3,3,3,0,0,12,10,6,3,24,5,3,0,0,12,19,6,24,62,3,0,0,0,8,3,0,0,15,973,937,469,63,2439,1732,193,327,4687,538,613,253,22,1428,488,63,91,2072,115,69,61,0,250,288,16,55,601,105,80,46,13,240,238,23,38,536,220,148,105,13,484,524,34,93,1142,78,63,46,3,189,352,17,66,619,64,37,21,3,127,172,19,39,354,136,91
101021010,264,306,87,12,666,135,14,42,851,53,35,19,4,106,105,8,14,234,53,43,31,4,126,88,14,8,245,105,76,49,3,234,197,21,24,480,55,30,21,4,107,214,18,29,369,31,15,8,0,54,99,9,19,181,41,25,12,3,82,111,14,37,232,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,118,68,42,14,241,427,39,77,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,12,0,0,0,0,4,9,0,0,13,0,0,0,0,0,0,0,0,0,491,449,170,35,1152,765,70,143,2136,243,320,75,3,636,152,11,38,841,42,39,18,0,101,124,8,13,245,76,64,39,10,178,145,17,16,349,118,99,55,7,279,270,23,23,596,40,41,26,0,107,151,17,25,299,26,31,4,0,56,80,9,12,162,48,30
101021012,806,1880,337,23,3046,333,52,88,3513,123,68,48,3,245,194,20,18,477,39,22,8,7,78,31,10,4,126,162,91,62,6,321,228,30,26,605,17,16,10,0,45,45,3,9,110,3,0,0,0,6,3,0,0,6,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,17,22,10,0,45,49,3,9,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,9,4,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,993,1988,411,36,3423,610,91,127,4239,788,1833,339,19,2974,379,52,92,3492,95,98,58,4,254,205,13,34,501,56,40,25,4,129,50,6,9,193,154,139,86,11,383,256,17,41,699,7,8,11,4,25,38,4,13,74,0,0,0,0,0,5,0,0,10,0,0
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,276,31,0,427,33,9,35,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021611,1375,1984,286,18,3670,567,67,262,4568,4,8,8,0,19,17,0,0,36,0,0,0,0,4,5,0,3,7,5,7,8,0,26,17,0,5,50,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4,0,4,0,6,3,0,0,12,4,6,4,0,11,3,0,0,18,37,12,10,6,59,58,0,52,170,0,9,0,0,8,0,0,0,12,5,0,0,0,4,5,0,0,9,47,15,10,6,73,56,5,57,190,0,0,0,0,0,0,0,0,0,1435,2012,305,21,3776,651,71,323,4824,1555,2085,304,29,3971,633,53,418,5074,3,0,0,0,5,3,0,4,19,0,4,4,0,4,3,0,8,12,3,5,3,0,12,11,0,11,33,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,4,0
101031013,312,234,91,7,642,303,23,30,1002,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,3,0,0,0,5,7,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,3,0,0,0,5,7,0,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,7,0,4,0,0,7,3,0,3,14,0,0,0,0,0,0,0,0,0,315,239,91,6,655,330,23,36,1043,284,230,77,10,595,293,22,70,972,3,0,0,0,3,9,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,8,0,0,0,0,0,16,0,0,14,0,0,0,0,0,0,0,0,0,0,0
101031014,725,624,287,18,1648,658,56,72,2435,21,7,13,0,43,118,9,15,187,0,6,0,0,6,7,0,3,14,21,14,13,0,46,122,9,19,198,10,0,4,4,20,86,7,10,120,0,0,0,0,0,4,0,0,4,0,0,0,0,0,3,0,0,4,..,..,..,..,..,..,..,..,..,0,0,0,0,0,4,0,0,4,5,0,4,4,16,98,7,10,130,0,0,0,0,0,4,0,11,13,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,5,9,0,0,0,0,4,10,0,12,30,0,4,0,0,3,0,0,0,5,758,637,303,22,1720,893,66,108,2794,713,556,314,16,1594,705,68,124,2489,18,3,3,0,24,63,3,21,108,0,0,0,0,5,11,0,0,15,21,7,3,0,33,78,3,18,125,15,5,9,0,27,116,9,22,177,0,0,0,0,0,4,0,0,4,0,0
101031015,421,314,86,3,828,293,22,77,1219,18,16,0,0,36,9,0,3,43,8,0,0,0,8,0,0,0,8,24,18,0,0,44,9,0,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,9,0,18,27,0,0,0,0,3,6,0,0,8,5,0,0,0,6,0,0,0,3,3,0,0,0,5,12,0,17,40,0,0,0,0,0,0,0,0,0,449,335,90,3,877,315,25,103,1319,445,331,68,8,848,291,17,159,1310,5,0,0,0,5,6,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,5,3,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
