SA2_CODE_2021,C11_OO_DS_Sep_house,C11_OO_DS_SemiDRTHT,C11_OO_DS_F_a,C11_OO_DS_OD,C11_OO_DS_NS,C11_Owned_Outright_Tot,C11_OWM_DS_Sep_house,C11_OWM_DS_SemiDRTHT,C11_OWM_DS_F_a,C11_OWM_DS_OD,C11_OWM_DS_NS,C11_Owned_with_mortgage_Tot,C11_R_REA_DS_Sep_house,C11_R_REA_DS_SemiDRTHT,C11_R_REA_DS_F_a,C11_R_REA_DS_OD,C11_R_REA_DS_NS,C11_R_Real_Estate_Agent_Tot,C11_R_STHA_DS_Sep_house,C11_R_STHA_DS_SemiDRTHT,C11_R_STHA_DS_F_a,C11_R_STHA_DS_OD,C11_R_STHA_DS_NS,C11_R_ST_House_Auth_Tot,C11_R_CHP_DS_Sep_house,C11_R_CHP_DS_SemiDRTHT,C11_R_CHP_DS_F_a,C11_R_CHP_DS_OD,C11_R_CHP_DS_NS,C11_R_CHP_Tot,C11_R_PNISH_DS_Sep_house,C11_R_PNISH_DS_SemDRTHT,C11_R_PNISH_DS_F_a,C11_R_PNISH_DS_OD,C11_R_PNISH_DS_NS,C11_R_PNISH_Tot,C11_R_OLT_DS_Sep_house,C11_R_OLT_DS_SemDRTHT,C11_R_OLT_DS_F_a,C11_R_OLT_DS_OD,C11_R_OLT_DS_NS,C11_R_Oth_Llord_Type_Tot,C11_R_LT_NS_DS_Sep_house,C11_R_LT_NS_DS_SemDRTHT,C11_R_LT_NS_DS_F_a,C11_R_LT_NS_DS_OD,C11_R_LT_NS_DS_NS,C11_R_Llord_Type_NS_Tot,C11_R_Tot_DS_Sep_house,C11_R_Tot_DS_SemDRTHT,C11_R_Tot_DS_F_a,C11_R_Tot_DS_OD,C11_R_Tot_DS_NS,C11_R_Tot_Tot,C11_OTT_DS_Sep_house,C11_OTT_DS_SemiDRTHT,C11_OTT_DS_F_a,C11_OTT_DS_OD,C11_OTT_DS_NS,C11_OTT_Tot,C11_TT_NS_DS_Sep_house,C11_TT_NS_DS_SemiDRTHT,C11_TT_NS_DS_F_a,C11_TT_NS_DS_OD,C11_TT_NS_DS_NS,C11_TT_NS_Tot,C11_Tot_DS_Sep_house,C11_Tot_DS_SemiDRTHT,C11_Tot_DS_F_a,C11_Tot_DS_OD,C11_Tot_DS_NS,C11_Tot_Tot,C16_OO_DS_Sep_house,C16_OO_DS_SemiDRTHT,C16_OO_DS_F_a,C16_OO_DS_OD,C16_OO_DS_NS,C16_OO_Tot,C16_OWM_DS_Sep_house,C16_OWM_DS_SemiDRTHT,C16_OWM_DS_F_a,C16_OWM_DS_OD,C16_OWM_DS_NS,C16_OWM_Tot,C16_R_REA_DS_Sep_house,C16_R_REA_DS_SemiDRTHT,C16_R_REA_DS_F_a,C16_R_REA_DS_OD,C16_R_REA_DS_NS,C16_R_REA_Tot,C16_R_STHA_DS_Sep_house,C16_R_STHA_DS_SemiDRTHT,C16_R_STHA_DS_F_a,C16_R_STHA_DS_OD,C16_R_STHA_DS_NS,C16_R_STHA_Tot,C16_R_CHP_DS_Sep_house,C16_R_CHP_DS_SemiDRTHT,C16_R_CHP_DS_F_a,C16_R_CHP_DS_OD,C16_R_CHP_DS_NS,C16_R_CHP_Tot,C16_R_PNISH_DS_Sep_house,C16_R_PNISH_DS_SemDRTHT,C16_R_PNISH_DS_F_a,C16_R_PNISH_DS_OD,C16_R_PNISH_DS_NS,C16_R_PNISH_Tot,C16_R_OLT_DS_Sep_house,C16_R_OLT_DS_SemDRTHT,C16_R_OLT_DS_F_a,C16_R_OLT_DS_OD,C16_R_OLT_DS_NS,C16_R_OLT_Tot,C16_R_LT_NS_DS_Sep_house,C16_R_LT_NS_DS_SemDRTHT,C16_R_LT_NS_DS_F_a,C16_R_LT_NS_DS_OD,C16_R_LT_NS_DS_NS,C16_R_LT_NS_Tot,C16_R_Tot_DS_Sep_house,C16_R_Tot_DS_SemiDRTHT,C16_R_Tot_DS_F_a,C16_R_Tot_DS_OD,C16_R_Tot_DS_NS,C16_R_Tot_Tot,C16_OTT_DS_Sep_house,C16_OTT_DS_SemiDRTHT,C16_OTT_DS_F_a,C16_OTT_DS_OD,C16_OTT_DS_NS,C16_OTT_Tot,C16_TT_NS_DS_Sep_house,C16_TT_NS_DS_SemiDRTHT,C16_TT_NS_DS_F_a,C16_TT_NS_DS_OD,C16_TT_NS_DS_NS,C16_TT_NS_Tot,C16_Tot_DS_Sep_house,C16_Tot_DS_SemiDRTHT,C16_Tot_DS_F_a,C16_Tot_DS_OD,C16_Tot_DS_NS,C16_Tot_Tot,C21_OO_DS_Sep_house,C21_OO_DS_SemiDRTHT,C21_OO_DS_F_a,C21_OO_DS_OD,C21_OO_DS_NS,C21_OO_Tot,C21_OWM_DS_Sep_house,C21_OWM_DS_SemiDRTHT,C21_OWM_DS_F_a,C21_OWM_DS_OD,C21_OWM_DS_NS,C21_OWM_Tot,C21_R_REA_DS_Sep_house,C21_R_REA_DS_SemiDRTHT,C21_R_REA_DS_F_a,C21_R_REA_DS_OD,C21_R_REA_DS_NS,C21_R_REA_Tot,C21_R_STHA_DS_Sep_house,C21_R_STHA_DS_SemiDRTHT,C21_R_STHA_DS_F_a,C21_R_STHA_DS_OD,C21_R_STHA_DS_NS,C21_R_STHA_Tot,C21_R_CHP_DS_Sep_house,C21_R_CHP_DS_SemiDRTHT,C21_R_CHP_DS_F_a,C21_R_CHP_DS_OD,C21_R_CHP_DS_NS,C21_R_CHP_Tot,C21_R_PNISH_DS_Sep_house,C21_R_PNISH_DS_SemDRTHT,C21_R_PNISH_DS_F_a,C21_R_PNISH_DS_OD,C21_R_PNISH_DS_NS,C21_R_PNISH_Tot,C21_R_OLT_DS_Sep_house,C21_R_OLT_DS_SemDRTHT,C21_R_OLT_DS_F_a,C21_R_OLT_DS_OD,C21_R_OLT_DS_NS,C21_R_OLT_Tot,C21_R_LT_NS_DS_Sep_house,C21_R_LT_NS_DS_SemDRTHT,C21_R_LT_NS_DS_F_a,C21_R_LT_NS_DS_OD,C21_R_LT_NS_DS_NS,C21_R_LT_NS_Tot,C21_R_Tot_DS_Sep_house,C21_R_Tot_DS_SemiDRTHT,C21_R_Tot_DS_F_a,C21_R_Tot_DS_OD,C21_R_Tot_DS_NS,C21_R_Tot_Tot,C21_OTT_DS_Sep_house,C21_OTT_DS_SemiDRTHT
101021007,600,3,0,15,0,618,390,3,0,9,0,404,95,12,0,3,0,106,12,0,0,0,0,11,0,0,0,0,0,0,70,0,0,0,0,76,7,0,0,0,0,14,0,0,0,0,0,0,185,21,0,6,0,212,49,0,0,4,0,56,83,0,0,10,0,96,1311,32,4,42,0,1395,673,0,0,14,3,688,455,10,0,7,7,474,105,11,5,0,0,121,7,0,0,0,0,12,0,0,0,0,0,0,75,5,0,0,10,84,7,0,0,0,0,8,0,0,0,0,0,0,197,16,5,0,9,224,44,0,0,0,4,50,216,6,0,6,3,236,1582,30,7,21,23,1661,844,28,0,21,0,901,544,6,0,10,5,566,112,18,6,8,0,141,3,0,0,0,0,3,0,0,0,0,0,0,86,8,0,0,0,97,8,0,0,0,0,12,0,0,0,0,0,0,215,23,3,13,0,262,50,0
101021008,793,74,5,0,0,876,1047,132,13,0,0,1186,169,98,63,0,0,331,285,20,6,0,0,313,9,14,0,0,0,26,96,30,25,0,0,153,39,5,0,5,0,56,3,0,0,0,0,3,612,170,101,11,0,885,27,4,0,0,0,33,150,20,15,29,0,216,2627,397,137,40,0,3196,776,79,0,0,5,870,982,137,6,0,0,1125,161,155,33,0,0,358,254,28,9,0,0,286,12,26,0,0,0,40,70,33,18,0,0,121,28,7,4,0,0,33,6,3,0,0,0,7,530,244,61,0,0,836,29,8,0,0,0,34,154,40,12,0,4,206,2468,513,78,4,11,3067,791,99,9,0,0,896,1057,175,4,0,0,1237,168,139,55,0,0,369,252,36,0,0,0,285,18,23,0,0,0,44,99,27,17,0,0,142,37,8,4,0,0,46,4,0,0,0,0,4,582,235,71,0,0,895,21,3
101021009,825,115,163,19,4,1130,829,237,336,0,0,1404,201,212,662,8,0,1076,45,39,68,0,0,156,3,12,19,0,0,40,122,72,138,4,0,336,20,5,14,9,0,41,0,0,3,0,0,10,385,337,905,18,0,1654,36,22,27,3,0,83,116,53,182,12,0,363,2195,758,1611,55,7,4626,728,135,150,5,3,1016,783,291,269,0,5,1347,202,349,886,8,0,1443,32,74,35,0,0,141,3,22,11,0,0,34,128,84,145,0,0,362,15,11,26,0,0,47,3,0,6,0,0,12,374,545,1106,6,0,2035,34,30,15,0,0,83,144,121,208,39,0,514,2060,1123,1747,58,9,4993,756,175,178,5,4,1118,869,350,335,3,0,1564,209,364,863,3,5,1444,26,58,32,0,0,127,3,44,30,0,0,80,128,88,180,0,0,404,21,13,39,5,5,79,4,3,3,0,0,13,397,577,1147,8,6,2140,24,26
101021010,306,73,73,3,0,458,338,158,152,0,0,654,54,140,371,4,0,573,24,12,24,0,0,55,3,9,3,0,0,15,28,37,62,3,0,133,29,4,10,0,0,41,0,8,0,0,0,7,136,213,468,3,0,827,21,4,8,3,0,35,45,20,73,4,0,141,851,474,780,13,0,2114,315,89,72,0,0,479,309,160,110,0,0,579,65,213,383,0,0,657,25,21,8,0,0,54,4,9,0,0,0,9,28,43,58,0,0,132,27,7,6,0,0,41,0,0,0,0,0,4,147,289,459,0,0,898,14,10,0,0,0,21,50,45,65,0,3,160,826,587,713,0,9,2135,330,108,92,0,0,527,320,264,133,0,0,712,80,190,385,0,0,659,19,20,17,0,0,59,0,26,7,0,0,32,37,59,84,0,0,175,35,23,19,0,0,75,3,3,0,0,0,11,168,323,509,0,0,1004,8,10
101021012,864,103,3,5,0,973,1823,225,20,0,0,2073,213,150,53,0,0,425,105,10,4,0,0,116,7,0,0,0,0,7,92,64,6,0,0,165,259,7,9,0,0,277,0,0,0,0,0,0,676,232,73,0,0,986,29,13,0,0,0,38,90,31,8,0,0,136,3489,605,112,9,0,4208,931,100,7,0,0,1036,1774,219,11,0,4,2006,244,231,40,0,0,516,90,14,0,0,0,100,0,0,0,0,0,5,83,57,7,0,0,150,212,18,0,0,0,228,0,0,0,0,0,0,628,317,53,0,4,1001,21,5,0,0,0,32,120,48,13,0,0,187,3477,689,79,3,11,4264,1103,131,4,3,0,1243,1764,256,14,3,0,2038,270,189,54,0,0,515,87,12,0,0,0,97,10,5,0,0,0,10,91,65,14,0,0,164,191,11,4,0,0,205,4,5,0,0,0,6,644,275,74,0,0,998,20,4
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,34,382,0,0,0,0,384,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,15,0,0,0,0,15,0,0,0,0,0,0,44,0,0,0,0,44,3,0,0,0,0,3,39,0,0,0,0,39,500,0,0,0,0,503,122,4,6,0,0,129,1303,70,10,0,0,1378,167,26,6,0,0,198,9,0,0,0,0,9,0,0,0,0,0,0,38,9,0,0,0,47,138,0,0,0,0,143,0,0,0,0,0,0,358,32,5,0,0,398,5,0
101021611,1507,8,4,74,3,1589,2305,8,6,21,0,2338,196,10,0,8,0,213,0,0,0,0,0,0,0,0,0,0,0,0,167,0,5,5,0,184,30,3,0,21,0,54,0,0,0,0,0,0,395,16,6,41,0,458,86,3,5,10,0,101,260,14,0,42,0,313,4546,48,18,184,0,4799,1586,0,6,26,4,1627,2475,7,5,15,9,2512,251,5,5,0,0,261,0,0,0,0,0,0,0,0,0,0,0,3,190,7,0,0,4,202,23,0,0,10,0,38,0,0,0,0,0,0,469,14,10,10,9,503,76,4,0,3,0,81,457,9,0,39,4,518,5053,29,16,100,29,5227,1857,26,6,9,5,1903,2820,19,12,3,6,2850,257,14,0,0,3,278,0,0,0,0,0,0,0,0,0,0,0,0,212,5,0,0,8,219,28,0,0,5,3,34,3,0,0,0,0,3,499,18,6,5,7,539,82,0
101031013,508,0,0,6,0,515,255,0,0,0,0,255,24,0,3,0,0,32,13,0,0,0,0,15,0,0,0,0,0,0,67,6,5,5,0,83,20,4,0,0,0,22,3,0,0,0,0,8,125,12,15,4,0,160,53,0,0,0,0,54,46,0,0,5,0,48,990,12,15,11,0,1026,473,0,0,6,3,485,227,0,0,0,0,234,24,0,0,0,0,29,9,0,0,0,0,9,3,0,0,0,0,4,79,4,7,4,0,92,16,0,4,0,0,20,0,0,0,0,0,0,134,6,12,8,0,160,46,0,0,0,0,48,79,0,0,0,3,86,960,8,16,10,10,1011,495,0,0,3,6,504,244,0,0,0,3,246,43,4,4,0,0,47,7,0,0,0,0,9,4,0,0,0,0,5,88,6,8,5,3,102,23,3,0,0,0,25,0,0,0,0,0,0,160,12,8,6,3,189,51,0
101031014,969,19,10,0,0,1001,810,9,3,4,6,823,269,103,39,0,0,417,62,8,22,0,0,95,13,5,3,0,0,23,133,16,24,6,0,174,25,5,0,8,0,37,3,4,6,0,0,9,508,136,97,17,0,759,35,4,6,0,0,49,109,19,17,4,0,146,2420,195,122,26,3,2772,942,17,6,11,3,980,767,4,6,5,0,780,334,49,92,8,8,490,42,11,17,0,0,74,12,4,11,0,0,22,126,14,14,0,4,156,17,0,5,5,0,25,4,3,0,0,0,5,536,82,132,14,12,780,50,0,3,0,4,57,176,28,29,11,25,274,2470,125,182,36,49,2862,1015,26,9,6,0,1056,778,12,4,0,0,795,327,76,85,7,0,498,32,14,6,0,0,50,28,12,6,0,0,48,151,13,11,3,4,176,47,12,3,11,4,73,4,0,0,0,0,6,591,117,118,22,10,858,44,19
101031015,587,25,0,18,0,625,390,21,0,8,0,420,37,3,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,3,0,71,14,0,0,4,0,15,0,0,0,0,0,0,114,3,0,3,0,121,56,4,0,3,0,60,58,3,0,9,0,70,1206,52,0,42,0,1300,603,0,0,19,10,633,413,0,0,9,6,431,33,5,4,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,5,66,7,0,0,0,0,12,0,0,0,0,0,0,99,5,3,0,8,119,46,3,0,0,0,53,129,0,0,5,8,145,1295,8,10,38,34,1385,664,0,0,5,3,674,449,5,0,0,0,452,52,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,63,27,0,0,8,0,39,0,0,0,0,0,0,135,0,0,8,8,148,42,0
