SA2_CODE_2021,C11_Neg_Ni_inc_CF_1C,C11_Neg_Ni_inc_CF_2C,C11_Neg_Ni_inc_CF_3C,C11_Neg_Ni_inc_Cou_fa_4mor_c,C11_Neg_Ni_inc_Tot,C11_1_149_CF_1C,C11_1_149_CF_2C,C11_1_149_CF_3C,C11_1_149_CF_4mC,C11_1_149_Tot,C11_150_299_CF_1C,C11_150_299_CF_2C,C11_150_299_CF_3C,C11_150_299_CF_4mC,C11_150_299_Tot,C11_300_399_CF_1C,C11_300_399_CF_2C,C11_300_399_CF_3C,C11_300_399_CF_4mC,C11_300_399_Tot,C11_400_499_CF_1C,C11_400_499_CF_2C,C11_400_499_CF_3C,C11_400_499_CF_4mC,C11_400_499_Tot,C11_500_649_CF_1C,C11_500_649_CF_2C,C11_500_649_CF_3C,C11_500_649_CF_4mC,C11_500_649_Tot,C11_650_799_CF_1C,C11_650_799_CF_2C,C11_650_799_CF_3C,C11_650_799_CF_4mC,C11_650_799_Tot,C11_800_999_CF_1C,C11_800_999_CF_2C,C11_800_999_CF_3C,C11_800_999_CF_4mC,C11_800_999_Tot,C11_1000_1499_CF_1C,C11_1000_1499_CF_2C,C11_1000_1499_CF_3C,C11_1000_1499_CF_4mC,C11_1000_1499_Tot,C11_1500_1999_CF_1C,C11_1500_1999_CF_2C,C11_1500_1999_CF_3C,C11_1500_1999_CF_4mC,C11_1500_1999_Tot,C11_2000_2499_CF_1C,C11_2000_2499_CF_2C,C11_2000_2499_CF_3C,C11_2000_2499_CF_4mC,C11_2000_2499_Tot,C11_2500_2999_CF_1C,C11_2500_2999_CF_2C,C11_2500_2999_CF_3C,C11_2500_2999_CF_4mC,C11_2500_2999_Tot,C11_3000_3999_CF_1C,C11_3000_3999_CF_2C,C11_3000_3999_CF_3C,C11_3000_3999_CF_4mC,C11_3000_3999_Tot,C11_4000more_CF_1C,C11_4000more_CF_2C,C11_4000more_CF_3C,C11_4000more_Cou_fa_4mo_ch,C11_4000more_Tot,C11_Par_inc_st_CF_1C,C11_Par_inc_st_CF_2C,C11_Par_inc_st_CF_3C,C11_Par_inc_st_CF_4mC,C11_Par_inc_st_Tot,C11_All_inc_ns_CF_1Ch,C11_All_inc_ns_CF_2C,C11_All_inc_ns_CF_3C,C11_All_inc_ns_CF_4mC,C11_All_inc_ns_Tot,C11_Tot_CF_1C,C11_Tot_CF_2C,C11_Tot_CF_3C,C11_Tot_CF_4mC,C11_Tot_Tot,C16_Neg_Ni_inc_CF_1C,C16_Neg_Ni_inc_CF_2C,C16_Neg_Ni_inc_CF_3C,C16_Neg_Ni_inc_Cou_fa_4mor_c,C16_Neg_Ni_inc_Tot,C16_1_149_CF_1C,C16_1_149_CF_2C,C16_1_149_CF_3C,C16_1_149_CF_4mC,C16_1_149_Tot,C16_150_299_CF_1C,C16_150_299_CF_2C,C16_150_299_CF_3C,C16_150_299_CF_4mC,C16_150_299_Tot,C16_300_399_CF_1C,C16_300_399_CF_2C,C16_300_399_CF_3C,C16_300_399_CF_4mC,C16_300_399_Tot,C16_400_499_CF_1C,C16_400_499_CF_2C,C16_400_499_CF_3C,C16_400_499_CF_4mC,C16_400_499_Tot,C16_500_649_CF_1C,C16_500_649_CF_2C,C16_500_649_CF_3C,C16_500_649_CF_4mC,C16_500_649_Tot,C16_650_799_CF_1C,C16_650_799_CF_2C,C16_650_799_CF_3C,C16_650_799_CF_4mC,C16_650_799_Tot,C16_800_999_CF_1C,C16_800_999_CF_2C,C16_800_999_CF_3C,C16_800_999_CF_4mC,C16_800_999_Tot,C16_1000_1499_CF_1C,C16_1000_1499_CF_2C,C16_1000_1499_CF_3C,C16_1000_1499_CF_4mC,C16_1000_1499_Tot,C16_1500_1999_CF_1C,C16_1500_1999_CF_2C,C16_1500_1999_CF_3C,C16_1500_1999_CF_4mC,C16_1500_1999_Tot,C16_2000_2499_CF_1C,C16_2000_2499_CF_2C,C16_2000_2499_CF_3C,C16_2000_2499_CF_4mC,C16_2000_2499_Tot,C16_2500_2999_CF_1C,C16_2500_2999_CF_2C,C16_2500_2999_CF_3C,C16_2500_2999_CF_4mC,C16_2500_2999_Tot,C16_3000_3999_CF_1C,C16_3000_3999_CF_2C,C16_3000_3999_CF_3C,C16_3000_3999_CF_4mC,C16_3000_3999_Tot,C16_4000more_CF_1C,C16_4000more_CF_2C,C16_4000more_CF_3C,C16_4000more_Cou_fa_4mo_ch,C16_4000more_Tot,C16_Par_inc_st_CF_1C,C16_Par_inc_st_CF_2C,C16_Par_inc_st_CF_3C,C16_Par_inc_st_CF_4mC,C16_Par_inc_st_Tot,C16_All_inc_ns_CF_1Ch,C16_All_inc_ns_CF_2C,C16_All_inc_ns_CF_3C,C16_All_inc_ns_CF_4mC,C16_All_inc_ns_Tot,C16_Tot_CF_1C,C16_Tot_CF_2C,C16_Tot_CF_3C,C16_Tot_CF_4mC,C16_Tot_Tot,C21_Neg_Ni_inc_CF_1C,C21_Neg_Ni_inc_CF_2C,C21_Neg_Ni_inc_CF_3C,C21_Neg_Ni_inc_Cou_fa_4mor_c,C21_Neg_Ni_inc_Tot,C21_1_149_CF_1C,C21_1_149_CF_2C,C21_1_149_CF_3C,C21_1_149_CF_4mC,C21_1_149_Tot,C21_150_299_CF_1C,C21_150_299_CF_2C,C21_150_299_CF_3C,C21_150_299_CF_4mC,C21_150_299_Tot,C21_300_399_CF_1C,C21_300_399_CF_2C,C21_300_399_CF_3C,C21_300_399_CF_4mC,C21_300_399_Tot,C21_400_499_CF_1C,C21_400_499_CF_2C,C21_400_499_CF_3C,C21_400_499_CF_4mC,C21_400_499_Tot,C21_500_649_CF_1C,C21_500_649_CF_2C,C21_500_649_CF_3C,C21_500_649_CF_4mC,C21_500_649_Tot
101021007,5,0,0,0,4,0,0,0,0,0,3,4,0,0,3,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,11,5,3,0,19,10,5,10,4,28,18,22,8,0,51,11,22,16,4,55,13,20,0,0,40,17,6,3,0,27,6,15,7,0,32,0,5,0,0,8,17,15,4,5,42,9,0,0,0,8,117,121,57,26,323,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,3,4,0,0,4,3,4,0,0,7,6,5,0,0,11,7,4,3,3,19,21,21,8,4,52,28,18,10,0,50,10,15,9,4,42,15,13,11,10,46,13,13,9,9,40,12,7,4,0,25,24,20,8,0,56,0,0,0,0,4,143,135,57,29,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021008,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,4,5,0,0,4,9,3,3,0,21,3,14,6,0,22,41,48,30,5,126,63,62,34,8,164,78,85,32,7,203,56,73,19,6,155,71,83,21,9,188,27,34,15,0,74,38,51,16,4,106,6,12,0,0,12,392,471,183,46,1090,5,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,4,0,6,0,0,0,0,6,5,7,0,4,12,8,7,5,3,18,30,34,15,6,86,46,49,15,9,125,52,59,30,4,139,64,54,28,0,153,62,94,40,0,203,45,64,30,4,142,44,47,16,4,111,3,3,0,0,6,359,425,184,40,1012,0,4,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,0,0,5
101021009,0,0,0,0,0,0,0,0,0,6,0,5,0,0,3,0,0,0,0,0,5,3,0,0,8,7,6,0,0,15,11,7,0,0,21,21,10,0,0,38,76,44,17,8,138,69,55,15,4,155,76,68,27,10,182,46,33,16,0,91,49,58,17,0,130,19,14,17,0,52,44,31,14,7,107,0,5,3,0,10,432,348,131,39,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,4,11,3,0,0,15,8,4,0,0,18,22,15,0,0,42,80,35,6,7,120,59,48,9,10,127,75,52,22,3,160,52,58,16,5,129,55,65,22,5,155,29,37,23,9,93,30,36,13,8,82,6,4,0,0,9,436,372,116,39,961,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,3,4,0,0,0,10
101021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,0,0,7,3,3,0,0,8,6,4,0,0,11,3,3,6,0,12,34,22,7,0,67,39,21,6,6,69,15,27,7,3,56,23,23,9,9,58,32,28,9,0,72,14,16,8,0,41,22,23,4,4,52,0,0,0,0,9,201,168,57,23,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,4,0,0,11,5,4,0,0,8,22,4,0,0,20,41,10,4,3,66,30,19,5,0,56,31,37,5,0,72,22,26,8,0,55,36,32,10,5,79,20,41,9,5,80,24,34,8,4,62,0,0,0,0,0,234,216,55,25,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021012,4,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,6,3,0,0,12,16,8,4,0,23,4,4,3,0,15,44,57,18,6,130,67,97,41,4,202,71,119,34,11,243,63,134,63,22,275,147,235,79,18,474,88,170,84,20,368,72,110,34,9,225,4,4,0,0,8,582,956,364,95,1997,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,3,0,0,7,3,6,5,0,14,36,27,16,6,80,53,63,18,5,148,61,79,48,14,205,89,121,32,3,244,118,216,89,24,441,166,259,126,22,573,79,105,54,20,253,8,4,3,0,9,629,875,392,97,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,10,11,13,9,3,28,10,18,5,0,40,27,17,6,0,45,30,29,7,3,64,20,25,10,0,58,9,15,5,0,28,0,0,0,0,0,110,122,40,11,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021611,0,3,0,0,6,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,4,0,0,4,0,0,4,0,10,5,5,5,0,21,9,6,8,7,33,59,61,37,10,165,63,111,40,21,225,88,126,31,11,262,77,111,47,18,246,137,198,64,19,423,109,142,52,17,316,102,107,61,26,300,9,7,4,0,12,668,885,362,124,2033,0,3,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,5,0,4,22,49,33,11,9,101,62,75,26,3,169,81,98,45,15,231,93,116,49,9,261,162,214,71,19,466,180,246,89,41,555,79,120,69,19,295,7,3,8,0,16,739,909,368,115,2137,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,3,4,13,6,4,0,3,9,8,8,3,3,26,28,14,13,0,53,12,28,5,0,49,10,15,0,4,27,3,8,0,0,10,0,0,4,0,5,0,3,0,0,4,4,19,9,0,29,3,0,0,0,4,75,107,43,19,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,5,8,0,0,0,7,12,15,9,9,48,19,15,7,0,45,15,11,8,0,40,10,7,0,0,24,7,4,4,0,16,0,0,5,0,9,13,17,3,3,37,0,0,0,0,3,89,84,41,14,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,0,0,0,12,6,0,4,16,15,9,4,0,25,21,24,9,0,49,45,34,26,16,117,32,42,21,3,101,29,50,12,0,92,17,26,10,0,53,15,21,11,0,45,3,5,4,0,11,31,48,18,11,113,9,4,0,0,12,225,256,118,43,636,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,5,0,0,3,0,4,6,9,0,0,14,11,5,3,4,24,44,32,15,9,98,44,31,17,13,107,33,40,18,5,92,27,15,7,0,49,22,20,9,0,55,16,13,5,3,35,30,27,12,4,79,0,9,0,0,12,238,209,92,45,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
101031015,0,0,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,6,0,12,4,5,7,0,18,6,11,5,6,21,23,31,10,3,63,10,23,20,3,57,8,16,3,0,33,9,14,4,0,35,7,17,0,5,27,0,0,0,0,4,21,20,9,0,53,0,0,3,0,5,99,150,63,25,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,3,0,0,4,6,3,0,0,10,18,22,5,6,46,16,24,8,8,54,11,20,11,0,43,16,17,0,0,33,17,18,12,0,46,10,8,7,3,31,12,23,10,0,51,0,0,0,0,4,118,142,59,23,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
