SA2_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
101021007,0,0,0,0,13,11,11,0,0,6,43,0,0,0,0,0,5,7,17,5,0,0,0,45,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,8,5,3,0,0,6,19,0,0,0,0,0,0,0,6,5,0,0,0,13,0,0,0,0,0,4,4,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,7,3,0,15,16,13,28,46,68,42,4,5,15,262
101021008,0,0,7,15,19,39,27,10,5,7,118,0,0,0,4,5,3,9,29,31,7,6,0,88,0,0,0,0,0,5,8,20,21,12,4,3,73,0,0,0,0,0,0,4,17,24,12,9,3,62,0,0,0,0,0,0,5,3,9,7,8,3,41,0,0,5,0,0,7,3,8,3,3,0,10,46,0,0,0,5,0,0,4,0,0,0,0,7,23,10,12,79,77,56,96,96,182,154,63,28,43,892
101021009,0,9,16,55,94,98,61,18,6,5,362,0,0,0,5,12,31,60,88,65,20,7,0,290,0,0,0,3,3,9,27,56,38,8,0,0,144,0,0,0,7,0,7,22,42,40,20,5,7,148,0,0,0,0,0,5,14,17,32,15,10,4,89,0,0,0,0,0,4,11,14,22,8,0,4,62,0,0,0,0,0,6,0,0,0,0,0,3,19,6,22,83,108,130,320,466,506,330,103,38,51,2137
101021010,3,5,8,39,36,35,27,4,0,4,162,0,0,0,3,5,21,30,33,35,3,0,7,133,0,0,0,0,0,4,10,16,19,4,0,3,62,0,0,0,0,0,15,12,14,16,9,5,0,82,0,0,0,0,3,3,11,13,9,3,10,0,43,0,0,0,0,0,11,7,6,8,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,13,7,9,25,52,77,198,207,195,141,36,17,28,1000
101021012,0,5,3,7,20,30,24,17,9,12,121,0,0,0,0,0,6,14,38,40,27,17,5,155,0,0,0,0,0,7,9,18,24,16,15,0,88,0,0,0,7,0,5,20,34,34,17,39,4,159,0,0,3,0,0,0,22,53,17,30,51,3,172,0,0,0,0,0,5,11,6,17,7,13,0,55,0,0,0,0,0,0,0,0,0,0,0,6,7,0,3,32,25,27,58,122,224,186,130,149,43,998
101021610,0,0,0,0,11,3,10,4,8,0,41,0,0,0,0,0,3,7,10,3,10,20,0,52,0,0,0,0,0,5,9,6,4,4,19,0,52,0,0,0,0,0,3,13,20,7,13,45,0,102,0,0,0,0,0,3,10,24,0,11,46,0,95,0,0,0,0,0,3,3,4,4,0,11,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,60,81,30,47,148,7,398
101021611,0,5,0,3,10,22,20,5,5,0,80,0,0,0,0,3,0,7,16,37,9,7,0,87,0,0,0,0,0,0,0,5,7,7,11,0,44,0,0,0,0,0,0,4,10,11,16,16,3,62,0,0,3,0,0,0,6,9,13,24,34,0,81,0,0,0,0,0,0,5,4,4,3,9,0,28,0,0,0,0,0,0,0,0,0,0,0,4,6,5,5,11,12,16,26,56,96,125,68,90,27,539
101031013,0,0,0,4,3,5,0,0,0,0,20,0,4,0,0,0,6,6,0,0,0,0,0,15,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0,0,8,5,0,3,0,0,0,0,0,17,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,3,13,10,24,43,17,42,19,9,0,0,0,15,189
101031014,3,7,4,8,26,17,10,0,0,11,90,0,0,4,0,0,8,16,28,11,0,0,17,90,0,0,0,3,0,4,8,11,7,0,0,0,35,0,0,0,0,0,0,6,14,10,5,3,13,49,0,0,0,3,0,5,4,8,10,5,6,22,66,0,0,0,0,0,3,10,6,3,0,0,4,30,0,0,0,3,4,3,4,0,0,0,0,9,16,5,10,36,98,56,129,201,140,50,14,17,93,856
101031015,0,0,0,0,4,6,0,0,3,8,17,0,0,0,0,0,0,0,0,3,0,7,6,19,0,0,0,0,0,3,0,0,0,0,0,0,14,3,0,0,0,4,0,0,5,0,0,0,0,15,0,0,0,0,0,0,7,0,0,3,4,0,14,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,6,5,7,23,24,17,10,0,17,43,148
