SA3_CODE_2021,C11_70_74_Married_P,C11_70_74_Sep_M,C11_70_74_Sep_F,C11_70_74_Sep_P,C11_70_74_Div_M,C11_70_74_Div_F,C11_70_74_Div_P,C11_70_74_Wid_M,C11_70_74_Wid_F,C11_70_74_Wid_P,C11_70_74_Nvr_marrd_M,C11_70_74_Nvr_marrd_F,C11_70_74_Nvr_marrd_P,C11_70_74_Tot_M,C11_70_74_Tot_F,C11_70_74_Tot_P,C11_75_79_Married_M,C11_75_79_Married_F,C11_75_79_Married_P,C11_75_79_Sep_M,C11_75_79_Sep_F,C11_75_79_Sep_P,C11_75_79_Div_M,C11_75_79_Div_F,C11_75_79_Div_P,C11_75_79_Wid_M,C11_75_79_Wid_F,C11_75_79_Wid_P,C11_75_79_Nvr_marrd_M,C11_75_79_Nvr_marrd_F,C11_75_79_Nvr_marrd_P,C11_75_79_Tot_M,C11_75_79_Tot_F,C11_75_79_Tot_P,C11_80_84_Married_M,C11_80_84_Married_F,C11_80_84_Married_P,C11_80_84_Sep_M,C11_80_84_Sep_F,C11_80_84_Sep_P,C11_80_84_Div_M,C11_80_84_Div_F,C11_80_84_Div_P,C11_80_84_Wid_M,C11_80_84_Wid_F,C11_80_84_Wid_P,C11_80_84_Nvr_marrd_M,C11_80_84_Nvr_marrd_F,C11_80_84_Nvr_marrd_P,C11_80_84_Tot_M,C11_80_84_Tot_F,C11_80_84_Tot_P,C11_85_over_Married_M,C11_85_over_Married_F,C11_85_over_Married_P,C11_85_over_Seprtd_M,C11_85_over_Seprtd_F,C11_85_over_Seprtd_P,C11_85_over_Divorce_M,C11_85_over_Divorce_F,C11_85_over_Divorce_P,C11_85_over_Wid_M,C11_85_over_Wid_F,C11_85_over_Wid_P,C11_85_over_Nvr_mard_M,C11_85_over_Nvr_mard_F,C11_85_over_Nvr_mard_P,C11_85_over_Tot_M,C11_85_over_Tot_F,C11_85_over_Tot_P,C11_Tot_Married_M,C11_Tot_Married_F,C11_Tot_Married_P,C11_Tot_Sep_M,C11_Tot_Sep_F,C11_Tot_Sep_P,C11_Tot_Div_M,C11_Tot_Div_F,C11_Tot_Div_P,C11_Tot_Wid_M,C11_Tot_Wid_F,C11_Tot_Wid_P,C11_Tot_nver_marrie_M,C11_Tot_nver_marrie_F,C11_Tot_nver_marrie_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_15_19_Married_M,C16_15_19_Married_F,C16_15_19_Married_P,C16_15_19_Sep_M,C16_15_19_Sep_F,C16_15_19_Sep_P,C16_15_19_Div_M,C16_15_19_Div_F,C16_15_19_Div_P,C16_15_19_Wid_M,C16_15_19_Wid_F,C16_15_19_Wid_P,C16_15_19_Nvr_marrd_M,C16_15_19_Nvr_marrd_F,C16_15_19_Nvr_marrd_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Married_M,C16_20_24_Married_F,C16_20_24_Married_P,C16_20_24_Sep_M,C16_20_24_Sep_F,C16_20_24_Sep_P,C16_20_24_Div_M,C16_20_24_Div_F,C16_20_24_Div_P,C16_20_24_Wid_M,C16_20_24_Wid_F,C16_20_24_Wid_P,C16_20_24_Nvr_marrd_M,C16_20_24_Nvr_marrd_F,C16_20_24_Nvr_marrd_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Married_M,C16_25_29_Married_F,C16_25_29_Married_P,C16_25_29_Sep_M,C16_25_29_Sep_F,C16_25_29_Sep_P,C16_25_29_Div_M,C16_25_29_Div_F,C16_25_29_Div_P,C16_25_29_Wid_M,C16_25_29_Wid_F,C16_25_29_Wid_P,C16_25_29_Nvr_marrd_M,C16_25_29_Nvr_marrd_F,C16_25_29_Nvr_marrd_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Married_M,C16_30_34_Married_F,C16_30_34_Married_P,C16_30_34_Sep_M,C16_30_34_Sep_F,C16_30_34_Sep_P,C16_30_34_Div_M,C16_30_34_Div_F,C16_30_34_Div_P,C16_30_34_Wid_M,C16_30_34_Wid_F,C16_30_34_Wid_P,C16_30_34_Nvr_marrd_M,C16_30_34_Nvr_marrd_F,C16_30_34_Nvr_marrd_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Married_M,C16_35_39_Married_F,C16_35_39_Married_P,C16_35_39_Sep_M,C16_35_39_Sep_F,C16_35_39_Sep_P,C16_35_39_Div_M,C16_35_39_Div_F,C16_35_39_Div_P,C16_35_39_Wid_M,C16_35_39_Wid_F,C16_35_39_Wid_P,C16_35_39_Nvr_marrd_M,C16_35_39_Nvr_marrd_F,C16_35_39_Nvr_marrd_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Married_M,C16_40_44_Married_F,C16_40_44_Married_P,C16_40_44_Sep_M,C16_40_44_Sep_F,C16_40_44_Sep_P,C16_40_44_Div_M,C16_40_44_Div_F,C16_40_44_Div_P,C16_40_44_Wid_M,C16_40_44_Wid_F,C16_40_44_Wid_P,C16_40_44_Nvr_marrd_M,C16_40_44_Nvr_marrd_F,C16_40_44_Nvr_marrd_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Married_M,C16_45_49_Married_F,C16_45_49_Married_P,C16_45_49_Sep_M
10102,876,20,25,43,82,92,172,51,182,237,35,28,62,693,694,1388,281,196,476,20,10,29,50,32,86,48,207,255,19,14,33,417,458,881,210,115,316,4,3,8,22,30,51,48,227,277,21,12,26,300,384,684,65,26,91,3,3,8,13,19,28,66,341,408,14,4,19,160,393,550,10657,10656,21305,702,710,1416,1724,1954,3681,393,1396,1787,7778,6531,14302,21252,21236,42490,0,0,0,0,0,0,0,0,0,0,0,0,1864,1726,3591,1864,1727,3594,44,140,182,0,6,14,0,0,0,0,0,0,1568,1527,3089,1613,1677,3288,475,752,1227,16,37,57,15,25,37,3,3,6,1326,1138,2466,1839,1958,3796,1046,1150,2193,51,50,99,47,97,144,0,6,6,847,706,1557,1998,2006,4003,1161,1263,2419,45,69,112,70,120,189,0,7,6,550,485,1040,1833,1939,3769,1338,1379,2717,88,89,178,166,194,361,9,14,22,558,452,1001,2154,2125,4279,1452,1559,3012,123
10103,462,22,6,24,29,40,73,30,85,112,25,17,44,372,350,719,195,111,304,16,0,17,21,22,50,31,126,154,13,8,25,279,271,549,104,66,174,5,0,5,14,18,32,39,134,178,19,9,23,180,232,407,74,41,124,5,0,6,4,11,12,50,190,239,13,12,27,149,257,409,3730,3673,7400,274,245,522,688,690,1381,232,740,966,2901,2119,5021,7826,7463,15291,5,3,10,0,0,0,0,0,0,0,0,0,597,518,1121,605,521,1125,16,21,35,0,0,4,0,4,4,0,0,0,557,448,1002,572,462,1038,88,126,216,8,0,11,10,4,13,5,0,5,489,373,855,591,503,1090,215,241,457,13,13,27,14,17,32,3,0,3,311,239,556,552,514,1068,270,335,601,17,12,31,15,25,40,3,5,5,214,139,356,518,517,1034,396,376,773,27,27,52,38,67,101,0,8,8,222,139,358,677,614,1294,391,422,815,39
10104,2748,83,40,115,222,195,419,134,436,571,92,34,121,2053,1926,3978,1048,756,1806,32,22,56,136,113,252,161,550,709,64,38,102,1442,1482,2926,667,428,1097,17,11,28,62,69,134,216,650,867,52,21,76,1014,1175,2196,409,215,623,7,5,15,34,43,76,257,915,1170,22,28,45,715,1209,1931,14587,14576,29160,960,1054,2007,2836,3196,6027,1069,3402,4476,8015,6671,14693,27464,28908,56368,4,5,0,0,0,0,0,0,0,0,4,4,1823,1773,3593,1826,1776,3605,39,82,122,0,15,16,3,3,3,0,0,0,1231,1091,2327,1280,1189,2467,198,328,524,8,28,37,12,25,32,4,0,6,951,819,1772,1171,1201,2372,512,646,1159,34,66,98,40,57,92,0,3,3,739,630,1371,1332,1400,2730,638,792,1426,41,77,121,77,110,192,0,14,21,602,553,1156,1356,1553,2905,841,971,1809,113,140,253,135,242,379,7,12,17,618,546,1162,1721,1911,3633,1007,1174,2182,119
10105,872,28,29,56,73,81,151,58,199,259,62,32,92,709,725,1435,345,259,607,15,5,24,29,52,88,94,256,344,44,28,73,527,600,1124,247,147,389,5,7,18,20,24,44,83,285,367,24,21,45,374,488,867,115,72,183,6,0,5,8,22,35,100,357,457,17,24,40,243,470,720,6610,6442,13050,500,540,1043,1111,1313,2420,464,1518,1983,4704,3641,8344,13387,13453,26841,8,0,8,0,0,0,0,0,0,0,0,0,1087,1004,2087,1095,1006,2099,45,69,109,4,4,7,0,5,4,0,0,0,1019,744,1761,1066,821,1883,239,326,564,12,22,36,5,8,13,0,0,0,753,619,1368,1004,979,1985,445,539,984,29,43,72,24,43,65,3,4,8,504,386,894,1008,1016,2022,549,550,1103,31,47,78,36,53,88,0,8,9,388,274,665,1008,929,1943,625,669,1295,56,70,125,78,109,189,5,12,16,339,217,557,1107,1078,2185,655,691,1342,67
10106,922,24,11,34,81,68,144,58,187,250,45,15,62,738,667,1410,305,240,552,8,9,15,40,24,67,66,220,287,30,28,54,460,524,979,230,132,360,3,6,15,16,16,32,81,267,355,22,19,43,355,443,801,104,59,170,7,4,7,9,7,21,88,357,442,14,36,51,216,469,693,7295,7290,14589,412,430,839,1083,1160,2251,403,1403,1808,4060,3464,7529,13259,13759,27015,3,3,8,0,0,0,0,0,0,0,0,0,1095,1132,2231,1104,1135,2239,31,56,89,5,13,13,0,0,0,0,0,3,779,801,1582,819,871,1685,158,231,391,4,18,24,5,5,12,0,0,4,601,527,1122,768,783,1555,384,509,896,18,37,57,14,47,58,0,4,4,359,347,703,775,933,1711,568,678,1244,22,50,75,39,35,72,0,6,12,260,260,525,896,1038,1929,776,790,1559,71,65,130,95,118,211,7,19,18,293,243,537,1234,1221,2457,757,900,1657,59
10201,4210,96,91,188,404,542,952,227,860,1085,183,124,310,3155,3599,6751,1783,1429,3209,71,53,128,208,382,592,296,1213,1506,134,121,255,2498,3190,5683,1401,1022,2423,43,44,90,165,240,404,429,1625,2051,91,100,196,2132,3029,5163,957,584,1542,25,11,38,71,141,210,653,2499,3147,70,128,197,1772,3359,5130,32204,32321,64527,2114,2533,4651,5418,8239,13657,2094,7911,10007,21332,18435,39768,63160,69442,132603,9,5,10,6,3,9,6,0,4,0,0,3,5095,4954,10046,5114,4961,10073,90,185,273,15,19,33,7,5,12,0,3,6,4533,4059,8597,4644,4280,8920,807,1242,2045,37,83,122,36,58,91,4,8,10,3458,2903,6363,4342,4295,8633,2068,2583,4644,95,158,260,108,150,259,3,10,14,2130,1773,3904,4410,4674,9085,2772,3067,5843,166,250,423,178,292,472,16,12,32,1516,1299,2814,4639,4937,9575,3268,3419,6686,279,330,610,415,631,1052,17,44,61,1389,1229,2617,5365,5658,11021,3276,3521,6802,275
10202,4206,107,91,200,415,517,928,229,882,1108,146,93,236,3181,3508,6686,1692,1303,3000,70,56,119,213,294,511,312,1157,1475,123,87,210,2409,2897,5307,1221,814,2038,41,25,62,132,190,323,414,1387,1803,80,49,132,1886,2470,4360,705,392,1099,17,12,31,62,132,198,547,1841,2388,53,73,128,1383,2445,3830,27464,27621,55088,2161,2783,4940,5327,7593,12924,1998,6915,8916,19598,17421,37013,56545,62334,118883,8,17,23,0,4,5,0,4,8,0,0,0,4997,4821,9821,5005,4845,9855,155,280,434,9,30,36,4,4,5,4,7,3,4452,4314,8768,4621,4635,9250,896,1357,2253,50,131,177,28,59,86,0,4,5,3177,2864,6040,4159,4410,8562,1977,2389,4366,146,236,377,112,192,303,0,17,21,2102,1832,3932,4338,4658,8998,2299,2490,4788,211,305,518,244,407,655,7,24,34,1578,1364,2946,4339,4594,8932,2566,2763,5331,252,425,686,422,662,1086,18,58,74,1424,1253,2671,4686,5159,9844,2738,2804,5536,294
10301,892,16,22,37,82,84,163,56,177,222,41,39,77,697,702,1398,358,304,665,15,11,21,30,49,81,63,241,296,35,25,60,496,630,1129,254,150,399,8,7,14,30,25,52,72,302,370,21,23,41,376,505,883,111,54,165,0,3,6,13,26,34,81,380,465,17,48,64,220,513,729,8189,7960,16144,521,624,1144,1280,1585,2864,413,1532,1937,6892,5548,12439,17280,17247,34529,4,0,5,0,0,0,0,3,3,0,0,0,1698,1623,3323,1700,1626,3333,75,88,159,8,11,18,3,3,7,0,4,4,1726,1547,3276,1812,1650,3460,339,422,761,18,29,47,9,18,27,0,0,3,1236,877,2114,1604,1346,2949,633,687,1322,31,43,76,26,36,68,0,4,4,737,497,1241,1427,1273,2706,703,744,1451,62,83,142,59,101,159,3,8,13,484,333,819,1309,1272,2578,815,832,1647,67,93,158,122,197,315,0,4,4,428,305,731,1431,1429,2857,913,931,1841,83
10302,1760,48,28,77,137,120,254,116,410,520,100,50,147,1352,1406,2758,673,541,1208,28,8,35,85,50,138,152,438,582,78,41,125,1014,1077,2087,470,300,774,21,8,31,32,33,70,183,527,715,49,35,88,763,909,1672,249,160,411,10,3,9,12,26,40,168,737,909,28,43,71,470,974,1445,11060,11035,22094,761,737,1499,1789,1755,3541,859,2827,3684,6974,5601,12573,21445,21946,43391,4,3,7,0,0,3,0,0,0,0,3,3,1658,1682,3337,1667,1689,3355,57,104,159,6,9,15,0,0,0,0,0,3,1421,1198,2612,1479,1312,2797,290,409,698,25,25,52,11,13,20,4,0,5,990,867,1856,1315,1314,2628,630,811,1443,48,57,100,24,42,71,0,0,0,626,556,1182,1330,1474,2803,763,823,1585,45,70,119,65,88,157,3,13,19,490,416,898,1363,1413,2773,870,952,1829,84,99,180,107,146,259,4,10,12,400,341,745,1471,1555,3024,921,1033,1950,89
10303,1190,47,22,70,142,124,263,70,247,321,90,35,135,1003,975,1971,470,327,800,33,13,50,71,68,139,86,304,391,52,32,82,713,746,1461,294,179,472,11,10,14,32,30,58,103,347,454,24,26,48,461,591,1049,134,69,204,0,0,0,12,12,24,101,505,605,26,19,46,280,606,884,8669,8546,17214,655,667,1322,1686,1678,3368,553,1955,2507,6200,4730,10933,17770,17579,35342,0,0,0,0,0,0,3,0,0,0,0,0,1372,1212,2581,1375,1216,2586,49,70,119,4,8,9,6,0,3,0,0,0,1170,982,2157,1221,1064,2287,321,412,734,12,34,45,7,16,26,3,0,3,939,755,1692,1280,1217,2500,561,640,1201,35,58,96,30,40,67,0,0,7,673,482,1160,1306,1216,2521,629,712,1344,57,72,124,52,66,114,3,4,9,441,393,839,1184,1248,2431,723,825,1552,80,85,165,119,153,272,8,19,22,423,368,786,1348,1449,2800,841,891,1731,98
