SA3_CODE_2021,C21_Chr_Ch_nfd_0_14,C21_Chr_Ch_nfd_15_24,C21_Chr_Ch_nfd_25_34,C21_Chr_Ch_nfd_35_44,C21_Chr_Ch_nfd_45_54,C21_Chr_Ch_nfd_55_64,C21_Chr_Ch_nfd_65_74,C21_Chr_Ch_nfd_75_84,C21_Chr_Ch_nfd_85ov,C21_Chr_Ch_nfd_Tot,C21_Chr_Oth_Ch_0_14,C21_Chr_Oth_Ch_15_24,C21_Chr_Oth_Ch_25_34,C21_Chr_Oth_Ch_35_44,C21_Chr_Oth_Ch_45_54,C21_Chr_Oth_Ch_55_64,C21_Chr_Oth_Ch_65_74,C21_Chr_Oth_Ch_75_84,C21_Chr_Oth_Ch_85ov,C21_Chr_Oth_Ch_Tot,C21_Christ_Tot_0_14,C21_Christ_Tot_15_24,C21_Christ_Tot_25_34,C21_Christ_Tot_35_44,C21_Christ_Tot_45_54,C21_Christ_Tot_55_64,C21_Christ_Tot_65_74,C21_Christ_Tot_75_84,C21_Christ_Tot_85ov,C21_Christ_Tot_Tot,C21_Hinduism_0_14,C21_Hinduism_15_24,C21_Hinduism_25_34,C21_Hinduism_35_44,C21_Hinduism_45_54,C21_Hinduism_55_64,C21_Hinduism_65_74,C21_Hinduism_75_84,C21_Hinduism_85ov,C21_Hinduism_Tot,C21_Islam_0_14,C21_Islam_15_24,C21_Islam_25_34,C21_Islam_35_44,C21_Islam_45_54,C21_Islam_55_64,C21_Islam_65_74,C21_Islam_75_84,C21_Islam_85ov,C21_Islam_Tot,C21_Judaism_0_14,C21_Judaism_15_24,C21_Judaism_25_34,C21_Judaism_35_44,C21_Judaism_45_54,C21_Judaism_55_64,C21_Judaism_65_74,C21_Judaism_75_84,C21_Judaism_85ov,C21_Judaism_Tot,C21_OR_AusAborTrad_0_14,C21_OR_AusAborTrad15_24,C21_OR_AusAborTrad25_34,C21_OR_AusAborTrad35_44,C21_OR_AusAborTrad45_54,C21_OR_AusAborTrad55_64,C21_OR_AusAborTrad65_74,C21_OR_AusAborTrad75_84,C21_OR_AusAborTrad85ov,C21_OR_AusAborTrade_Tot,C21_OR_Sikhism_0_14,C21_OR_Sikhism_15_24,C21_OR_Sikhism_25_34,C21_OR_Sikhism_35_44,C21_OR_Sikhism_45_54,C21_OR_Sikhism_55_64,C21_OR_Sikhism_65_74,C21_OR_Sikhism_75_84,C21_OR_Sikhism_85ov,C21_OR_Sikhism_Tot,C21_OR_Ot_Re_Gr_0_14,C21_OR_Ot_Re_Gr_15_24,C21_OR_Ot_Re_Gr_25_34,C21_OR_Ot_Re_Gr_35_44,C21_OR_Ot_Re_Gr_45_54,C21_OR_Ot_Re_Gr_55_64,C21_OR_Ot_Re_Gr_65_74,C21_OR_Ot_Re_Gr_75_84,C21_OR_Ot_Re_Gr_85ov,C21_OR_Ot_Re_Gr_Tot,C21_Oth_Rel_Tot_0_14,C21_Oth_Rel_Tot_15_24,C21_Oth_Rel_Tot_25_34,C21_Oth_Rel_Tot_35_44,C21_Oth_Rel_Tot_45_54,C21_Oth_Rel_Tot_55_64,C21_Oth_Rel_Tot_65_74,C21_Oth_Rel_Tot_75_84,C21_Oth_Rel_Tot_85ov,C21_Oth_Rel_Tot_Tot,C21_SBOSB_No_RA_0_14,C21_SBOSB_No_RA_15_24,C21_SBOSB_No_RA_25_34,C21_SBOSB_No_RA_35_44,C21_SBOSB_No_RA_45_54,C21_SBOSB_No_RA_55_64,C21_SBOSB_No_RA_65_74,C21_SBOSB_No_RA_75_84,C21_SBOSB_No_RA_85ov,C21_SBOSB_No_RA_Tot,C21_Rel_aff_ns_0_14,C21_Rel_aff_ns_15_24,C21_Rel_aff_ns_25_34,C21_Rel_aff_ns_35_44,C21_Rel_aff_ns_45_54,C21_Rel_aff_ns_55_64,C21_Rel_aff_ns_65_74,C21_Rel_aff_ns_75_84,C21_Rel_aff_ns_85ov,C21_Rel_aff_ns_Tot,C21_Tot_0_14,C21_Tot_15_24,C21_Tot_25_34,C21_Tot_35_44,C21_Tot_45_54,C21_Tot_55_64,C21_Tot_65_74,C21_Tot_75_84,C21_Tot_85ov,C21_Tot_Tot
10102,300,184,196,265,229,186,153,62,13,1591,4,3,0,3,7,9,10,6,0,41,5425,3182,3195,3978,5070,4788,3383,1790,592,31402,310,98,604,306,73,39,15,7,0,1450,264,50,264,162,68,30,24,7,0,873,13,0,3,9,5,5,4,3,0,53,3,0,0,0,3,4,0,0,0,12,187,51,285,151,27,20,8,0,0,732,14,20,55,46,51,29,13,0,5,228,207,73,342,201,78,54,23,6,3,976,5635,3125,4324,3864,3489,2676,1551,523,105,25281,742,413,686,565,525,601,394,198,81,4201,12643,6973,9502,9210,9411,8276,5446,2548,784,64793
10103,76,27,32,46,46,48,30,9,0,323,0,0,0,0,0,0,3,0,0,3,1265,782,688,898,1403,1708,1480,952,363,9543,11,5,29,20,6,0,5,0,0,73,19,4,22,22,3,11,5,0,0,92,0,0,0,0,3,3,6,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,0,0,0,0,23,7,7,12,12,18,8,12,0,0,87,11,9,22,19,18,8,11,0,0,105,1775,1239,1533,1043,1126,1013,643,250,60,8684,249,217,373,284,283,253,197,104,46,2014,3354,2275,2702,2325,2878,3034,2362,1311,474,20717
10104,195,105,106,126,144,283,253,126,39,1385,0,0,0,3,3,12,16,12,0,44,3286,1960,1666,2421,3961,6511,7654,4754,1742,33971,38,9,97,46,13,17,11,3,3,241,37,3,26,23,19,9,17,4,0,133,10,0,5,3,8,17,15,4,0,56,16,3,11,0,0,3,0,0,0,35,13,5,16,10,4,3,0,0,0,43,25,19,25,34,36,55,45,7,0,256,48,26,48,44,46,58,45,7,5,335,6556,3619,3730,3623,4110,5462,5074,1711,509,34396,1056,642,583,659,835,1115,1137,589,319,6937,11075,6302,6219,6911,9128,13323,14074,7112,2586,76736
10105,114,59,67,68,69,72,71,43,3,572,6,0,0,0,3,7,6,0,0,33,3101,2056,1975,2244,2884,3667,3359,2060,840,22190,69,29,133,60,19,7,3,4,0,332,44,20,54,42,22,7,9,0,0,204,0,0,0,3,4,5,7,4,0,17,0,0,0,0,0,0,0,0,0,0,17,4,22,13,6,0,0,0,0,63,17,13,34,19,30,13,12,0,0,136,34,17,55,37,38,19,12,0,0,208,2876,1565,1787,1426,1331,1257,921,358,93,11613,617,363,545,456,459,460,392,199,97,3584,6771,4065,4603,4324,4786,5458,4723,2637,1034,38403
10106,134,75,64,83,91,87,76,27,6,644,3,0,3,5,3,3,6,3,0,22,3303,1990,1657,2215,3017,3405,3249,1922,687,21429,19,8,38,23,5,4,3,0,0,101,235,92,67,104,34,34,13,8,0,592,3,0,0,5,5,5,3,0,0,16,6,3,0,0,0,0,0,0,0,10,15,4,17,15,3,3,0,0,0,50,5,12,16,18,21,16,8,3,0,97,24,16,38,27,25,17,7,3,0,154,3232,1650,1617,1616,1714,1340,1008,381,88,12648,575,282,291,338,415,434,347,227,127,3040,7401,4045,3720,4355,5242,5281,4660,2550,902,38159
10201,903,543,416,585,600,632,474,195,76,4423,24,13,16,21,23,29,19,16,9,170,12490,8071,6022,8952,11966,13859,13705,9754,4051,88859,238,135,419,273,113,88,46,23,0,1345,221,81,174,172,75,71,39,14,4,853,26,12,24,35,42,71,77,40,5,329,13,6,10,9,3,0,0,0,0,49,75,28,123,69,6,6,4,0,0,319,33,61,70,80,77,93,36,16,0,469,116,101,202,155,88,102,45,16,0,828,16100,9697,9959,10413,9278,7913,6042,2753,991,73144,1771,1068,1254,1330,1343,1305,1290,932,701,10989,31188,19307,18308,21730,23351,23708,21460,13606,5769,178427
10202,711,360,388,479,443,469,340,143,34,3375,11,10,11,13,18,8,26,12,6,111,12608,8396,6908,8911,11805,13394,13321,8909,3323,87572,171,80,222,194,79,58,30,15,11,861,155,73,115,109,73,48,48,21,0,650,10,9,9,11,7,31,18,11,4,115,24,9,3,12,8,4,3,0,0,70,66,20,70,57,6,3,3,0,0,226,52,72,92,79,72,90,37,18,0,504,140,105,169,144,88,96,43,18,0,802,15875,9491,10845,8614,7305,6148,4425,1964,561,65228,2060,1202,1357,1347,1249,1186,1212,1122,881,11617,31165,19456,19816,19628,20839,21178,19226,12096,4781,168171
10301,147,79,91,102,95,97,88,52,10,753,0,0,3,0,0,8,3,3,0,25,4445,3027,2470,2834,3673,4088,3702,2267,916,27420,99,47,181,99,29,11,14,9,0,479,101,25,65,76,24,14,12,0,0,312,0,3,3,3,0,6,8,0,0,19,8,5,4,6,4,3,0,0,0,22,39,15,62,40,11,3,0,0,0,176,6,24,30,19,26,17,17,3,4,144,55,48,89,64,39,22,18,0,4,341,3771,2529,2603,1894,1735,1505,1154,451,146,15789,614,609,773,711,568,462,413,224,91,4460,9137,6306,6227,5738,6121,6162,5343,2957,1156,49146
10302,275,130,140,150,148,163,130,69,22,1232,8,11,0,3,4,0,0,4,6,40,5409,3155,2886,3348,4307,5364,5281,3485,1450,34683,35,5,97,41,9,7,3,0,0,206,26,4,18,20,15,4,3,4,0,95,0,0,0,0,4,0,3,0,0,8,4,6,5,3,3,0,4,0,0,19,7,5,8,6,0,0,0,0,0,35,8,18,18,15,15,18,12,4,0,100,23,21,35,23,22,16,15,4,0,157,3827,1984,2076,1617,1454,1432,1073,413,130,13998,1091,604,634,596,600,707,539,394,171,5339,10435,5785,5763,5694,6437,7563,6926,4311,1757,54684
10303,149,70,48,105,98,97,95,41,12,721,3,0,7,4,4,5,12,5,0,39,3649,2102,1976,2562,3573,4310,4085,2699,912,25862,33,21,61,32,14,17,12,3,0,189,29,12,31,14,12,12,3,0,0,118,4,0,12,3,3,6,0,0,0,31,4,0,0,0,3,0,0,0,0,12,16,5,13,18,6,0,3,0,0,62,11,18,28,29,29,31,11,7,0,161,36,25,39,41,39,34,20,8,5,240,4192,2140,2585,1961,1887,1886,1342,550,124,16666,756,448,604,568,527,582,533,321,137,4473,8730,4761,5353,5237,6090,6873,6035,3604,1178,47870
10304,341,167,177,216,186,202,136,59,20,1503,0,0,0,0,0,6,4,4,0,14,6455,3580,3265,4032,4817,5022,4578,2904,1126,35783,104,55,182,99,40,19,4,0,0,500,93,19,81,64,20,11,17,0,0,312,0,5,12,4,4,3,5,0,0,34,0,0,0,0,0,0,0,0,0,5,25,13,55,22,4,0,0,0,0,128,30,21,37,40,29,17,13,0,0,188,49,41,96,61,39,19,13,5,0,317,5418,2765,3239,2536,2078,1693,1267,432,127,19545,886,512,566,547,494,498,420,260,157,4349,13064,7004,7524,7452,7551,7318,6343,3612,1414,61266
10401,180,102,86,105,147,154,160,69,22,1029,0,0,0,0,0,0,4,5,0,10,2836,1829,1531,2018,3271,4834,5349,3487,1411,26563,20,5,19,22,10,8,10,3,0,101,28,3,8,21,13,6,5,4,0,87,0,0,0,4,4,5,3,7,0,23,4,0,0,3,8,0,0,0,0,18,22,8,29,22,11,0,5,7,0,104,11,17,20,26,44,32,12,3,0,172,40,26,43,48,58,34,24,3,0,291,4803,2605,2626,2361,2313,2603,2227,849,219,20608,803,582,882,816,723,734,623,335,123,5619,8565,5068,5158,5351,6459,8325,8287,4693,1754,53665
10402,409,249,208,270,268,329,296,128,38,2195,3,0,0,7,4,14,16,3,3,62,5386,3046,2623,3753,5198,6607,7058,4519,1858,40056,56,39,103,85,50,10,17,5,4,365,90,83,79,78,59,36,16,7,0,448,15,7,3,12,18,18,17,7,7,99,13,7,9,10,4,5,0,0,0,36,475,160,408,375,147,156,104,15,18,1859,229,113,159,112,109,74,48,6,3,854,716,272,576,491,258,229,152,22,21,2743,8678,4996,5431,5117,4962,4979,4085,1569,428,40254,1234,712,897,904,918,898,880,644,396,7491,16268,9242,9868,10621,11650,12929,12358,6806,2720,92462
10501,47,28,40,30,41,33,31,13,6,261,0,0,0,0,0,0,0,0,0,7,1915,1083,1210,1126,1602,2040,1617,977,345,11924,28,7,43,25,5,3,4,0,0,111,25,8,25,11,9,5,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,10,4,0,12,3,0,0,0,0,0,23,0,7,10,5,3,4,6,0,0,32,9,3,18,8,6,4,12,0,0,60,1527,787,966,638,549,564,337,137,29,5532,821,436,487,444,426,486,386,248,75,3808,4336,2331,2771,2273,2620,3117,2353,1362,451,21607
10502,47,26,23,28,41,39,23,10,3,236,0,0,0,0,0,0,0,0,0,3,838,527,580,743,996,1474,1458,886,394,7893,19,0,13,20,11,5,0,0,0,72,12,5,10,8,12,0,4,0,0,52,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,9,8,11,13,9,0,0,57,9,8,9,11,10,13,9,0,0,66,2139,1320,1534,1079,1051,1117,815,348,104,9512,394,261,291,267,225,264,214,164,120,2197,3413,2117,2451,2139,2321,2889,2510,1405,618,19876
