SA3_CODE_2021,C16_SH_3b_NPGH_4,C16_SH_3b_NPGH_5,C16_SH_3b_NPGH_6_mor,C16_SH_3b_Tot,C16_SH_4mb_NPGH_2,C16_SH_4mb_NPGH_3,C16_SH_4mb_NPGH_4,C16_SH_4mb_NPGH_5,C16_SH_4mb_NPGH_6_mor,C16_SH_4mb_Tot,C16_SH_NB_NS_NPGH_2,C16_SH_NB_NS_NPGH_3,C16_SH_NB_NS_NPGH_4,C16_SH_NB_NS_NPGH_5,C16_SH_NB_NS_NPGH_6_mor,C16_SH_NB_NS_Tot,C16_SH_Tot_NPGH_2,C16_SH_Tot_NPGH_3,C16_SH_Tot_NPGH_4,C16_SH_Tot_NPGH_5,C16_SH_Tot_NPGH_6_mor,C16_SH_Tot_Tot,C16_SDRTHT_0b_s_a_b_NPGH_2,C16_SDRTHT_0b_s_a_b_NPGH_3,C16_SDRTHT_0b_s_a_b_NPGH_4,C16_SDRTHT_0b_s_a_b_NPGH_5,C16_SDRTHT_0b_s_a_b_NPGH_6mor,C16_SDRTHT_0b_s_a_b_Tot,C16_SDRTHT_1b_NPGH_2,C16_SDRTHT_1b_NPGH_3,C16_SDRTHT_1b_NPGH_4,C16_SDRTHT_1b_NPGH_5,C16_SDRTHT_1b_NPGH_6_mor,C16_SDRTHT_1b_Tot,C16_SDRTHT_2b_NPGH_2,C16_SDRTHT_2b_NPGH_3,C16_SDRTHT_2b_NPGH_4,C16_SDRTHT_2b_NPGH_5,C16_SDRTHT_2b_NPGH_6_mor,C16_SDRTHT_2b_Tot,C16_SDRTHT_3b_NPGH_2,C16_SDRTHT_3b_NPGH_3,C16_SDRTHT_3b_NPGH_4,C16_SDRTHT_3b_NPGH_5,C16_SDRTHT_3b_NPGH_6_mor,C16_SDRTHT_3b_Tot,C16_SDRTHT_4mb_NPGH_2,C16_SDRTHT_4mb_NPGH_3,C16_SDRTHT_4mb_NPGH_4,C16_SDRTHT_4mb_NPGH_5,C16_SDRTHT_4mb_NPGH_6_mor,C16_SDRTHT_4mb_Tot,C16_SDRTHT_NB_NS_NPGH_2,C16_SDRTHT_NB_NS_NPGH_3,C16_SDRTHT_NB_NS_NPGH_4,C16_SDRTHT_NB_NS_NPGH_5,C16_SDRTHT_NB_NS_NPGH_6_mor,C16_SDRTHT_NB_NS_Tot,C16_SDRTHT_Tot_NPGH_2,C16_SDRTHT_Tot_NPGH_3,C16_SDRTHT_Tot_NPGH_4,C16_SDRTHT_Tot_NPGH_5,C16_SDRTHT_Tot_NPGH_6_mor,C16_SDRTHT_Tot_Tot,C16_F_a_0b_s_a_b_NPGH_2,C16_F_a_0b_s_a_b_NPGH_3,C16_F_a_0b_s_a_b_NPGH_4,C16_F_a_0b_s_a_b_NPGH_5,C16_F_a_0b_s_a_b_NPGH_6_mor,C16_F_a_0b_s_a_b_Tot,C16_F_a_1b_NPGH_2,C16_F_a_1b_NPGH_3,C16_F_a_1b_NPGH_4,C16_F_a_1b_NPGH_5,C16_F_a_1b_NPGH_6_mor,C16_F_a_1b_Tot,C16_F_a_2b_NPGH_2,C16_F_a_2b_NPGH_3,C16_F_a_2b_NPGH_4,C16_F_a_2b_NPGH_5,C16_F_a_2b_NPGH_6_mor,C16_F_a_2b_Tot,C16_F_a_3b_NPGH_2,C16_F_a_3b_NPGH_3,C16_F_a_3b_NPGH_4,C16_F_a_3b_NPGH_5,C16_F_a_3b_NPGH_6_mor,C16_F_a_3b_Tot,C16_F_a_4mb_NPGH_2,C16_F_a_4mb_NPGH_3,C16_F_a_4mb_NPGH_4,C16_F_a_4mb_NPGH_5,C16_F_a_4mb_NPGH_6_mor,C16_F_a_4mb_Tot,C16_F_a_NB_NS_NPGH_2,C16_F_a_NB_NS_NPGH_3,C16_F_a_NB_NS_NPGH_4,C16_F_a_NB_NS_NPGH_5,C16_F_a_NB_NS_NPGH_6_mor,C16_F_a_NB_NS_Tot,C16_F_a_Tot_NPGH_2,C16_F_a_Tot_NPGH_3,C16_F_a_Tot_NPGH_4,C16_F_a_Tot_NPGH_5,C16_F_a_Tot_NPGH_6_mor,C16_F_a_Tot_Tot,C16_OD_0b_s_a_b_NPGH_2,C16_OD_0b_s_a_b_NPGH_3,C16_OD_0b_s_a_b_NPGH_4,C16_OD_0b_s_a_b_NPGH_5,C16_OD_0b_s_a_b_NPGH_6_mor,C16_OD_0b_s_a_b_Tot,C16_OD_1b_NPGH_2,C16_OD_1b_NPGH_3,C16_OD_1b_NPGH_4,C16_OD_1b_NPGH_5,C16_OD_1b_NPGH_6_mor,C16_OD_1b_Tot,C16_OD_2b_NPGH_2,C16_OD_2b_NPGH_3,C16_OD_2b_NPGH_4,C16_OD_2b_NPGH_5,C16_OD_2b_NPGH_6_mor,C16_OD_2b_Tot,C16_OD_3b_NPGH_2,C16_OD_3b_NPGH_3,C16_OD_3b_NPGH_4,C16_OD_3b_NPGH_5,C16_OD_3b_NPGH_6_mor,C16_OD_3b_Tot,C16_OD_4mb_NPGH_2,C16_OD_4mb_NPGH_3,C16_OD_4mb_NPGH_4,C16_OD_4mb_NPGH_5,C16_OD_4mb_NPGH_6_mor,C16_OD_4mb_Tot,C16_OD_NB_NS_NPGH_2,C16_OD_NB_NS_NPGH_3,C16_OD_NB_NS_NPGH_4,C16_OD_NB_NS_NPGH_5,C16_OD_NB_NS_NPGH_6_mor,C16_OD_NB_NS_Tot,C16_OD_Tot_NPGH_2,C16_OD_Tot_NPGH_3,C16_OD_Tot_NPGH_4,C16_OD_Tot_NPGH_5,C16_OD_Tot_NPGH_6_mor,C16_OD_Tot_Tot,C16_DS_NS_NPGH_2,C16_DS_NS_NPGH_3,C16_DS_NS_NPGH_4,C16_DS_NS_NPGH_5,C16_DS_NS_NPGH_6_mor,C16_DS_NS_Tot,C16_Tot_NPGH_2,C16_Tot_NPGH_3,C16_Tot_NPGH_4,C16_Tot_NPGH_5,C16_Tot_NPGH_6_mor,C16_Tot_Tot,C21_SH_0b_s_a_b_NPGH_2,C21_SH_0b_s_a_b_NPGH_3,C21_SH_0b_s_a_b_NPGH_4,C21_SH_0b_s_a_b_NPGH_5,C21_SH_0b_s_a_b_NPGH_6_mor,C21_SH_0b_s_a_b_Tot,C21_SH_1b_NPGH_2,C21_SH_1b_NPGH_3,C21_SH_1b_NPGH_4,C21_SH_1b_NPGH_5,C21_SH_1b_NPGH_6_mor,C21_SH_1b_Tot,C21_SH_2b_NPGH_2,C21_SH_2b_NPGH_3,C21_SH_2b_NPGH_4,C21_SH_2b_NPGH_5,C21_SH_2b_NPGH_6_mor,C21_SH_2b_Tot,C21_SH_3b_NPGH_2,C21_SH_3b_NPGH_3,C21_SH_3b_NPGH_4,C21_SH_3b_NPGH_5,C21_SH_3b_NPGH_6_mor,C21_SH_3b_Tot,C21_SH_4mb_NPGH_2,C21_SH_4mb_NPGH_3,C21_SH_4mb_NPGH_4,C21_SH_4mb_NPGH_5,C21_SH_4mb_NPGH_6_mor,C21_SH_4mb_Tot,C21_SH_NB_NS_NPGH_2,C21_SH_NB_NS_NPGH_3,C21_SH_NB_NS_NPGH_4,C21_SH_NB_NS_NPGH_5,C21_SH_NB_NS_NPGH_6_mor,C21_SH_NB_NS_Tot,C21_SH_Tot_NPGH_2,C21_SH_Tot_NPGH_3,C21_SH_Tot_NPGH_4,C21_SH_Tot_NPGH_5
10102,0,0,0,125,71,18,7,0,0,91,11,0,0,0,0,11,230,36,5,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,48,23,15,0,0,0,43,0,0,0,0,0,0,4,0,0,0,0,4,77,17,0,0,0,97,0,0,0,0,0,0,15,0,0,0,0,15,68,8,0,0,0,80,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,92,14,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,407,62,8,5,0,480,4,0,0,0,0,4,0,0,0,0,0,0,35,0,0,0,0,40,103,18,5,0,0,119,59,22,17,4,5,105,6,0,0,0,0,10,213,40,21,5
10103,3,0,0,70,25,9,0,0,0,39,10,0,0,0,0,11,125,23,7,3,5,157,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,4,3,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,14,6,5,0,0,26,0,0,0,0,0,0,3,0,0,0,0,3,15,3,0,0,0,19,17,8,3,0,0,24,0,0,0,0,0,0,3,0,5,0,0,10,36,5,10,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,9,5,0,0,0,10,188,37,11,5,5,251,0,0,0,0,0,0,10,0,0,0,0,8,29,3,0,0,0,35,75,11,0,0,0,90,38,10,12,3,8,67,5,0,0,0,0,3,148,26,18,3
10104,3,0,0,239,111,19,9,5,0,142,14,0,0,0,0,14,486,43,12,5,0,548,3,0,0,0,0,3,0,0,0,0,0,0,43,0,0,0,0,43,21,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,4,64,3,0,0,0,69,0,0,0,0,0,0,3,0,0,0,0,3,38,0,0,0,0,38,14,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,57,5,0,0,0,62,6,0,0,0,0,6,3,0,0,0,0,3,8,0,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,8,0,0,0,0,8,624,51,12,5,0,692,3,5,0,0,0,7,17,0,0,0,0,15,129,3,6,0,0,137,267,28,5,0,0,298,129,29,15,4,0,176,14,0,0,0,0,16,560,69,17,4
10105,0,0,0,136,51,6,5,3,3,65,8,0,0,0,0,13,219,29,4,3,8,260,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,8,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,25,4,0,0,0,29,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,262,29,4,6,8,304,0,0,0,0,0,0,4,0,0,0,0,4,50,0,0,0,0,50,127,25,0,0,0,150,65,9,9,0,6,82,7,0,0,0,0,7,245,33,5,4
10106,0,0,0,137,56,10,6,0,0,71,7,0,0,0,0,7,229,27,3,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,15,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,266,28,3,0,0,297,0,0,0,0,0,0,3,0,0,0,0,3,45,0,0,0,0,46,103,14,0,0,0,115,55,8,5,0,0,67,4,0,0,0,0,4,218,23,5,0
10201,8,5,0,580,245,77,39,18,13,394,45,3,4,0,0,58,1044,182,57,24,9,1318,0,0,0,0,0,0,5,0,0,0,0,5,91,0,0,0,0,94,125,25,0,0,0,152,6,5,0,0,0,12,5,0,0,0,0,12,234,31,0,3,3,271,0,0,0,0,0,0,11,0,0,0,0,11,154,7,0,0,0,160,77,27,4,0,0,107,4,0,4,0,0,12,5,0,0,0,0,3,255,37,6,0,0,302,0,0,0,0,0,0,4,0,0,0,0,4,18,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,28,0,0,0,0,30,12,0,0,0,0,8,1573,253,66,26,10,1923,5,0,0,0,0,5,18,4,0,0,0,19,236,16,0,0,0,254,466,78,10,0,0,556,277,73,46,9,6,419,28,4,0,0,0,28,1031,174,69,15
10202,11,0,0,676,277,50,38,13,3,383,37,6,0,0,0,51,1191,143,52,19,3,1418,0,0,0,0,0,0,0,0,0,0,0,0,86,3,0,0,0,88,83,17,0,0,0,97,10,4,0,0,0,13,9,0,0,0,0,9,191,18,0,4,0,214,0,0,0,0,0,0,7,0,0,0,0,7,86,3,0,0,0,92,24,3,0,0,0,24,5,0,0,0,0,5,4,0,0,0,0,6,125,5,0,0,0,130,3,0,0,0,0,3,9,0,0,0,0,9,10,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,20,8,0,0,0,0,8,1528,171,58,19,3,1780,5,0,0,0,0,5,29,0,0,0,0,29,283,13,0,0,0,295,601,68,11,0,0,684,330,80,43,21,11,484,23,9,0,0,0,35,1266,168,61,24
10301,4,0,0,235,85,26,36,7,4,162,5,0,0,0,0,14,348,68,41,7,4,470,0,0,0,0,0,0,6,0,0,0,0,6,48,0,0,0,0,48,26,14,0,0,0,42,3,9,0,0,0,13,6,0,0,0,0,0,81,27,0,0,0,115,0,0,0,0,0,0,4,0,0,0,0,4,33,0,0,0,0,32,8,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,49,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,7,486,95,40,9,4,641,0,0,0,0,0,0,6,0,0,0,0,6,49,0,0,0,0,49,180,42,3,0,0,225,117,23,17,11,0,165,7,3,0,0,0,11,355,74,17,11
10302,0,0,0,194,62,8,6,6,0,72,15,0,0,0,0,16,328,34,3,6,0,369,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,9,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,13,0,0,0,0,0,0,4,0,0,0,0,4,11,0,0,0,0,15,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,9,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,5,358,43,10,6,0,407,0,0,0,0,0,0,10,0,0,0,0,10,77,4,0,0,0,81,212,19,0,0,0,235,64,16,5,0,0,84,17,0,0,0,0,15,376,37,8,3
10303,0,0,0,183,65,17,5,5,0,84,8,0,0,0,0,10,344,27,5,5,0,380,0,0,0,0,0,0,3,0,0,0,0,3,11,0,0,0,0,11,18,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,0,15,4,0,0,0,0,4,400,36,5,5,0,446,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,85,185,20,0,0,0,209,79,22,8,0,0,109,11,0,0,0,0,15,366,41,12,0
