SA3_CODE_2021,C21_OTT_DS_F_a,C21_OTT_DS_OD,C21_OTT_DS_NS,C21_OTT_Tot,C21_TT_NS_DS_Sep_house,C21_TT_NS_DS_SemiDRTHT,C21_TT_NS_DS_F_a,C21_TT_NS_DS_OD,C21_TT_NS_DS_NS,C21_TT_NS_Tot,C21_Tot_DS_Sep_house,C21_Tot_DS_SemiDRTHT,C21_Tot_DS_F_a,C21_Tot_DS_OD,C21_Tot_DS_NS,C21_Tot_Tot
10102,32,8,9,296,830,195,203,27,13,1270,18389,3444,2857,122,59,24870
10103,24,10,15,292,494,28,72,26,28,648,7462,482,839,129,171,9085
10104,55,28,15,839,1762,249,148,177,17,2354,28348,2890,1878,953,166,34239
10105,4,7,3,356,880,94,36,27,13,1055,13838,1184,413,137,41,15613
10106,11,9,13,481,895,89,30,17,22,1052,13734,727,248,109,88,14912
10201,390,20,10,2271,2088,702,658,97,31,3574,52802,10063,8149,695,195,71898
10202,163,16,10,1126,2582,583,337,82,11,3607,54684,6681,4280,505,120,66274
10301,32,4,3,327,891,160,77,48,5,1167,16325,1867,804,103,62,19166
10302,38,13,17,789,1714,102,143,76,42,2084,20913,935,848,307,161,23167
10303,5,9,7,455,1268,149,24,121,13,1566,18049,1388,252,280,70,20045
10304,33,15,9,460,1083,166,104,35,12,1412,21025,1869,727,304,77,23994
10401,34,17,14,366,1128,150,106,129,13,1521,18972,1494,1066,976,137,22655
10402,81,23,11,746,1476,300,320,205,22,2324,28864,4001,3567,1156,207,37796
10501,15,52,29,531,1362,65,55,135,44,1662,7938,354,249,589,262,9382
10502,23,5,41,283,705,27,48,22,25,830,8289,242,240,153,188,9114
10503,68,13,4,798,2316,242,211,107,54,2928,25108,1860,1540,335,180,29023
10601,9,9,6,560,1520,230,70,61,9,1887,32926,2605,610,272,97,36513
10602,14,5,4,678,857,193,75,21,4,1148,28109,3253,806,227,51,32449
10603,36,9,8,892,1042,260,72,129,16,1522,24957,4267,1205,645,121,31197
10604,3,7,14,490,654,120,6,13,0,803,10948,1135,115,139,60,12392
10701,102,3,3,442,989,199,212,16,7,1416,25678,2547,1876,128,38,30268
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,198,9,5,674,1048,285,159,77,10,1572,29441,5399,2188,457,65,37542
10704,392,9,3,893,938,436,852,39,27,2293,31105,7824,14019,516,145,53608
10801,180,10,6,431,690,108,161,61,9,1031,11038,1819,1940,470,66,15335
10802,18,34,4,366,1312,97,151,205,10,1780,18625,905,1252,738,125,21644
10803,0,0,0,9,17,6,0,0,0,26,150,34,10,0,0,193
10804,182,13,11,980,1202,436,231,141,32,2036,27403,4904,3613,567,149,36641
10805,16,7,4,524,1338,132,107,103,33,1721,21223,1664,1050,389,101,24428
10901,31,4,8,629,1247,387,39,46,21,1732,22737,4320,363,144,69,27631
10902,0,3,9,209,612,49,26,62,19,765,4755,268,75,148,78,5319
10903,3,15,10,602,1332,175,23,70,49,1649,16440,1628,139,284,145,18631
11001,3,0,8,470,834,119,78,62,12,1105,12903,1279,605,158,47,14997
11002,10,15,12,554,1426,125,45,91,14,1691,15316,783,253,301,102,16755
11003,4,22,17,477,1345,216,49,47,15,1671,8590,1035,159,263,123,10164
11004,9,15,26,889,2184,396,85,146,29,2842,30085,2989,627,370,158,34224
11101,109,6,6,776,1209,343,219,22,22,1818,40951,5908,2977,216,65,50114
11102,112,9,3,949,1031,143,69,64,3,1311,29017,2267,839,303,69,32494
11103,137,5,6,1094,1548,634,856,51,21,3113,50624,11451,10323,308,162,72864
11201,81,44,10,955,1815,476,191,340,25,2841,26760,6076,2019,1441,197,36495
11202,14,23,8,665,1904,211,144,109,15,2383,25604,2267,1281,558,111,29825
11203,279,31,15,939,1539,437,469,305,15,2762,26302,7507,5378,1322,174,40683
11301,25,11,21,627,1383,88,176,88,15,1754,16294,675,1532,333,114,18946
11302,0,5,14,164,408,33,18,25,8,493,5619,404,77,84,52,6246
11303,72,10,14,989,1785,191,244,67,41,2334,33891,1794,2707,295,139,38827
11401,38,27,33,1056,2017,313,100,199,84,2721,39682,3761,972,1093,302,45802
11402,26,3,0,499,820,70,34,26,3,949,19252,1346,497,180,40,21314
11501,465,0,6,1376,767,180,250,0,8,1206,39053,5927,5153,3,84,50214
11502,54,4,0,280,286,9,16,9,3,330,8007,348,363,98,43,8852
11503,0,5,5,121,318,3,0,23,0,348,8318,27,33,62,25,8473
11504,18,3,0,131,366,35,78,50,4,523,15047,822,1282,126,32,17298
11601,51,0,0,510,2004,545,457,10,12,3026,37246,6783,4795,41,69,48936
11602,15,0,0,351,1302,184,216,0,14,1709,36627,4271,2398,32,121,43441
11603,46,0,7,457,2200,458,244,4,10,2906,29384,4639,2505,37,53,36608
11701,170,0,0,282,206,125,1031,8,15,1390,5909,2346,14943,141,64,23407
11702,90,4,3,236,202,177,487,56,12,932,6584,6136,9549,557,70,22888
11703,1080,19,12,1401,112,953,5860,128,96,7150,2386,20718,83153,775,542,107568
11801,756,15,12,1062,355,366,1987,81,33,2817,9715,10765,32916,732,138,54266
11802,598,12,0,901,421,365,1792,34,22,2635,14131,8919,30214,478,87,53825
11901,261,13,6,1012,2166,703,1123,37,18,4055,36466,12007,10986,321,135,59913
11902,232,5,5,661,1184,330,1922,26,37,3505,23047,5319,19729,202,120,48423
11903,254,4,4,710,760,291,1047,24,12,2141,24293,6076,16620,218,80,47291
11904,398,15,3,820,909,313,1771,83,33,3106,21757,6550,26775,545,145,55766
12001,235,12,0,433,354,128,775,29,13,1298,12961,3378,17991,402,54,34787
12002,82,3,0,242,182,270,450,22,3,918,7005,8953,7542,189,36,23727
12003,693,9,10,1122,623,207,2016,49,55,2946,20610,6550,34887,620,242,62908
12101,537,5,3,873,336,93,1016,10,11,1463,18499,3039,24005,98,72,45709
12102,204,0,0,427,341,68,420,5,0,836,19306,1992,10331,52,27,31706
12103,456,0,9,867,518,39,367,15,0,935,29255,1671,11677,138,43,42781
12104,528,10,6,705,181,155,1222,24,20,1605,7808,5668,30586,192,113,44374
12201,110,4,0,213,138,74,330,11,4,561,6149,2382,8318,114,24,16993
12202,259,3,4,611,492,116,219,16,4,846,16548,2282,4062,149,71,23113
12203,640,0,0,1488,746,207,831,35,11,1832,32632,3957,20387,186,97,57262
12301,14,3,8,301,608,76,14,10,0,714,22208,1436,275,81,36,24029
12302,305,0,5,1077,2269,817,305,0,21,3414,47038,9391,3927,17,76,60455
12303,5,4,3,455,666,41,5,18,3,723,14472,632,167,122,40,15434
