SA3_CODE_2021,C21_75_99_CF_CU15_NDS,C21_75_99_CF_NCU15_DS,C21_75_99_CF_NDCO,C21_75_99_Tot,C21_100_149_CF_NC,C21_100_149_CF_Cu15DS_,C21_100_149_CF_CU15_NDS,C21_100_149_CF_NCU15_DS,C21_100_149_CF_NDCO,C21_100_149_Tot,C21_150_199_CF_NC,C21_150_199_CF_Cu15DS_,C21_150_199_CF_CU15_NDS,C21_150_199_CF_NCU15_DS,C21_150_199_CF_NDCO,C21_150_199_Tot,C21_200_224_CF_NC,C21_200_224_CF_Cu15DS_,C21_200_224_CF_CU15_NDS,C21_200_224_CF_NCU15_DS,C21_200_224_CF_NDCO,C21_200_224_Tot,C21_225_274_CF_NC,C21_225_274_CF_Cu15DS_,C21_225_274_CF_CU15_NDS,C21_225_274_CF_NCU15_DS,C21_225_274_CF_NDCO,C21_225_274_Tot,C21_275_349_CF_NC,C21_275_349_CF_Cu15DS_,C21_275_349_CF_CU15_NDS,C21_275_349_CF_NCU15_DS,C21_275_349_CF_NDCO,C21_275_349_Tot,C21_350_449_CF_NC,C21_350_449_CF_Cu15DS_,C21_350_449_CF_CU15_NDS,C21_350_449_CF_NCU15_DS,C21_350_449_CF_NDCO,C21_350_449_Tot,C21_450_549_CF_NC,C21_450_549_CF_Cu15DS_,C21_450_549_CF_CU15_NDS,C21_450_549_CF_NCU15_DS,C21_450_549_CF_NDCO,C21_450_549_Tot,C21_550_649_CF_NC,C21_550_649_CF_Cu15DS_,C21_550_649_CF_CU15_NDS,C21_550_649_CF_NCU15_DS,C21_550_649_CF_NDCO,C21_550_649_Tot,C21_650_749_CF_NC,C21_650_749_CF_Cu15DS_,C21_650_749_CF_CU15_NDS,C21_650_749_CF_NCU15_DS,C21_650_749_CF_NDCO,C21_650_749_Tot,C21_750_849_CF_NC,C21_750_849_CF_Cu15DS_,C21_750_849_CF_CU15_NDS,C21_750_849_CF_NCU15_DS,C21_750_849_CF_NDCO,C21_750_849_Tot,C21_850_949_CF_NC,C21_850_949_CF_Cu15DS_,C21_850_949_CF_CU15_NDS,C21_850_949_CF_NCU15_DS,C21_850_949_CF_NDCO,C21_850_949_Tot,C21_950over_CF_NC,C21_950over_CF_Cu15DS_,C21_950over_CF_CU15_NDS,C21_950over_CF_NCU15_DS,C21_950over_CF_NDCO,C21_950over_Tot,C21_Rns_CF_NC,C21_Rns_CF_Cu15DS_,C21_Rns_CF_CU15_NDS,C21_Rns_CF_NCU15_DS,C21_Rns_CF_NDCO,C21_Rns_Tot,C21_Tot_CF_NC,C21_Tot_CF_Cu15DS_,C21_Tot_CF_CU15_NDS,C21_Tot_CF_NCU15_DS,C21_Tot_CF_NDCO,C21_Tot_Tot
10102,0,0,0,4,17,0,8,0,0,23,40,0,11,0,3,58,32,5,13,0,3,61,113,8,90,3,3,220,216,13,225,9,16,479,275,29,326,22,34,691,240,35,214,21,34,548,104,24,126,14,19,298,50,21,130,13,13,225,43,5,53,8,12,123,3,3,12,0,0,22,4,0,7,0,0,15,29,0,35,0,3,70,1184,149,1259,100,141,2838
10103,0,0,0,3,12,0,3,0,0,15,31,3,11,3,0,44,18,0,6,0,0,32,58,0,34,0,0,92,68,6,43,3,7,117,83,10,66,7,3,168,46,8,27,4,3,88,19,3,16,0,0,39,6,0,14,0,0,20,7,0,4,0,0,13,0,0,3,0,0,5,10,0,5,0,0,19,23,5,19,0,4,47,379,38,263,20,22,714
10104,0,0,0,10,34,0,11,0,3,52,64,0,20,0,5,97,67,7,23,0,9,98,125,3,64,3,16,220,267,18,147,14,25,469,445,52,389,27,52,968,156,55,194,17,20,442,57,9,44,9,0,121,10,0,4,0,0,19,3,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,10,44,7,34,0,3,90,1290,150,950,74,142,2609
10105,0,0,0,3,17,0,7,0,0,24,44,0,14,5,3,66,22,4,5,0,4,39,69,0,37,0,8,119,171,14,118,10,14,323,237,33,271,24,27,594,58,7,78,8,17,177,10,3,12,0,4,26,5,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,3,29,0,0,64,654,75,590,46,87,1461
10106,4,0,0,6,10,0,9,0,0,20,38,4,16,4,6,64,38,5,28,4,7,68,75,7,78,3,11,171,110,11,137,6,18,283,63,13,97,9,23,204,28,7,53,4,8,99,9,0,12,0,0,36,9,0,24,0,0,30,4,0,3,0,0,14,4,0,0,0,0,5,0,0,3,0,4,13,38,7,31,0,0,82,446,55,504,37,75,1113
10201,3,0,0,18,40,0,10,0,6,57,113,4,9,3,3,130,47,5,23,0,6,76,105,9,29,3,9,154,315,16,129,13,24,490,1206,83,706,56,107,2160,834,108,808,78,138,1968,334,86,460,49,75,1012,139,44,220,34,32,472,78,30,105,14,21,249,43,11,48,4,7,124,37,14,46,3,14,114,87,7,61,7,21,182,3409,419,2658,276,465,7217
10202,0,0,0,4,35,0,3,5,0,45,104,4,19,3,6,137,52,3,18,5,6,85,146,9,38,3,16,209,424,26,186,17,49,709,1247,111,1017,77,206,2663,655,174,909,101,171,2003,188,78,281,33,79,672,56,22,90,13,20,208,21,6,26,4,9,60,0,3,5,3,0,21,7,3,3,7,4,23,73,11,60,6,12,157,3032,458,2666,270,582,7009
10301,5,0,0,10,19,0,11,0,0,29,52,0,7,0,0,63,50,0,19,0,5,71,88,0,55,3,3,148,252,15,218,13,33,526,279,44,331,16,34,708,85,30,133,18,20,289,11,5,21,0,0,39,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0,31,0,0,60,882,101,817,58,98,1957
10302,12,0,0,26,58,6,30,0,3,96,123,4,71,0,6,210,115,13,69,5,11,212,170,28,127,9,16,350,181,25,168,6,20,406,95,20,103,18,3,241,5,3,20,5,3,40,0,0,3,0,0,3,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,46,9,58,4,10,124,840,115,696,53,87,1783
10303,0,0,0,9,22,0,13,0,0,36,47,0,21,0,0,71,36,3,23,0,9,70,90,7,66,8,12,179,175,22,141,15,33,386,204,29,225,13,26,494,84,14,145,4,12,252,12,8,33,0,6,50,4,0,9,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,6,34,0,26,0,0,66,725,78,715,43,92,1662
