SA3_CODE_2021,C11_PI_S_R225_274,C11_PI_S_R275_349,C11_PI_S_R350_449,C11_PI_S_R450_549,C11_PI_S_R550_649,C11_PI_S_R650more,C11_PI_S_R_NS,C11_PI_S_R_Tot,C11_AI_NS_R1_74,C11_AI_NS_R75_99,C11_AI_NS_R100_149,C11_AI_NS_R150_199,C11_AI_NS_R200_224,C11_AI_NS_R225_274,C11_AI_NS_R275_349,C11_AI_NS_R350_449,C11_AI_NS_R450_549,C11_AI_NS_R550_649,C11_AI_NS_R650more,C11_AI_NS_R_NS,C11_AI_NS_R_Tot,C11_Tot_R1_74,C11_Tot_R75_99,C11_Tot_R100_149,C11_Tot_R150_199,C11_Tot_R200_224,C11_Tot_R225_274,C11_Tot_R275_349,C11_Tot_R350_449,C11_Tot_R450_549,C11_Tot_R550_649,C11_Tot_R650more,C11_Tot_R_NS,C11_Tot_R_Tot,C16_Neg_Ni_inc_R1_74,C16_Neg_Ni_inc_R75_99,C16_Neg_Ni_inc_R100_149,C16_Neg_Ni_inc_R150_199,C16_Neg_Ni_inc_R200_224,C16_Neg_Ni_inc_R225_274,C16_Neg_Ni_inc_R275_349,C16_Neg_Ni_inc_R350_449,C16_Neg_Ni_inc_R450_549,C16_Neg_Ni_inc_R550_649,C16_Neg_Ni_inc_R650more,C16_Neg_Ni_inc_R_NS,C16_Neg_Ni_inc_R_Tot,C16_1_149_R1_74,C16_1_149_R75_99,C16_1_149_R100_149,C16_1_149_R150_199,C16_1_149_R200_224,C16_1_149_R225_274,C16_1_149_R275_349,C16_1_149_R350_449,C16_1_149_R450_549,C16_1_149_R550_649,C16_1_149_R650more,C16_1_149_R_NS,C16_1_149_R_Tot,C16_150_299_R1_74,C16_150_299_R75_99,C16_150_299_R100_149,C16_150_299_R150_199,C16_150_299_R200_224,C16_150_299_R225_274,C16_150_299_R275_349,C16_150_299_R350_449,C16_150_299_R450_549,C16_150_299_R550_649,C16_150_299_R650more,C16_150_299_R_NS,C16_150_299_R_Tot,C16_300_399_R1_74,C16_300_399_R75_99,C16_300_399_R100_149,C16_300_399_R150_199,C16_300_399_R200_224,C16_300_399_R225_274,C16_300_399_R275_349,C16_300_399_R350_449,C16_300_399_R450_549,C16_300_399_R550_649,C16_300_399_R650more,C16_300_399_R_NS,C16_300_399_R_Tot,C16_400_499_R1_74,C16_400_499_R75_99,C16_400_499_R100_149,C16_400_499_R150_199,C16_400_499_R200_224,C16_400_499_R225_274,C16_400_499_R275_349,C16_400_499_R350_449,C16_400_499_R450_549,C16_400_499_R550_649,C16_400_499_R650more,C16_400_499_R_NS,C16_400_499_R_Tot,C16_500_649_R1_74,C16_500_649_R75_99,C16_500_649_R100_149,C16_500_649_R150_199,C16_500_649_R200_224,C16_500_649_R225_274,C16_500_649_R275_349,C16_500_649_R350_449,C16_500_649_R450_549,C16_500_649_R550_649,C16_500_649_R650more,C16_500_649_R_NS,C16_500_649_R_Tot,C16_650_799_R1_74,C16_650_799_R75_99,C16_650_799_R100_149,C16_650_799_R150_199,C16_650_799_R200_224,C16_650_799_R225_274,C16_650_799_R275_349,C16_650_799_R350_449,C16_650_799_R450_549,C16_650_799_R550_649,C16_650_799_R650more,C16_650_799_R_NS,C16_650_799_R_Tot,C16_800_999_R1_74,C16_800_999_R75_99,C16_800_999_R100_149,C16_800_999_R150_199,C16_800_999_R200_224,C16_800_999_R225_274,C16_800_999_R275_349,C16_800_999_R350_449,C16_800_999_R450_549,C16_800_999_R550_649,C16_800_999_R650more,C16_800_999_R_NS,C16_800_999_R_Tot,C16_1000_1249_R1_74,C16_1000_1249_R75_99,C16_1000_1249_R100_149,C16_1000_1249_R150_199,C16_1000_1249_R200_224,C16_1000_1249_R225_274,C16_1000_1249_R275_349,C16_1000_1249_R350_449,C16_1000_1249_R450_549,C16_1000_1249_R550_649,C16_1000_1249_R650more,C16_1000_1249_R_NS,C16_1000_1249_R_Tot,C16_1250_1499_R1_74,C16_1250_1499_R75_99,C16_1250_1499_R100_149,C16_1250_1499_R150_199,C16_1250_1499_R200_224,C16_1250_1499_R225_274,C16_1250_1499_R275_349,C16_1250_1499_R350_449,C16_1250_1499_R450_549,C16_1250_1499_R550_649,C16_1250_1499_R650more,C16_1250_1499_R_NS,C16_1250_1499_R_Tot,C16_1500_1999_R1_74,C16_1500_1999_R75_99,C16_1500_1999_R100_149,C16_1500_1999_R150_199,C16_1500_1999_R200_224,C16_1500_1999_R225_274,C16_1500_1999_R275_349,C16_1500_1999_R350_449,C16_1500_1999_R450_549,C16_1500_1999_R550_649,C16_1500_1999_R650more,C16_1500_1999_R_NS,C16_1500_1999_R_Tot,C16_2000_2499_R1_74,C16_2000_2499_R75_99,C16_2000_2499_R100_149,C16_2000_2499_R150_199,C16_2000_2499_R200_224,C16_2000_2499_R225_274,C16_2000_2499_R275_349,C16_2000_2499_R350_449,C16_2000_2499_R450_549,C16_2000_2499_R550_649,C16_2000_2499_R650more,C16_2000_2499_R_NS,C16_2000_2499_R_Tot,C16_2500_2999_R1_74,C16_2500_2999_R75_99,C16_2500_2999_R100_149,C16_2500_2999_R150_199,C16_2500_2999_R200_224,C16_2500_2999_R225_274,C16_2500_2999_R275_349,C16_2500_2999_R350_449,C16_2500_2999_R450_549,C16_2500_2999_R550_649
10102,46,63,51,39,11,8,22,304,3,8,16,14,10,8,13,7,10,0,0,26,115,99,200,310,523,451,711,1034,1020,418,163,92,187,5204,0,0,3,10,7,0,8,17,0,0,5,0,52,4,3,0,3,4,5,8,0,0,0,0,4,35,13,7,28,20,17,14,19,0,0,0,0,3,133,0,9,60,35,18,25,25,17,0,0,0,9,192,0,6,66,98,36,38,26,21,7,0,0,10,321,0,0,17,65,37,62,36,37,11,0,0,6,285,0,3,15,75,65,77,77,60,11,0,0,10,393,0,3,11,59,78,98,90,68,20,5,5,7,440,0,3,8,44,73,121,121,127,35,4,3,14,551,7,0,0,38,50,88,148,162,42,15,4,9,560,6,0,3,33,51,107,168,266,82,19,9,12,759,0,0,4,14,23,68,139,245,114,45,28,11,697,0,0,0,0,4,34,42,105,69,30
10103,5,15,8,5,0,10,6,95,0,3,5,11,6,4,0,0,6,0,5,13,58,57,93,297,332,199,238,162,98,44,42,192,107,1858,0,0,0,3,0,6,0,0,0,0,0,3,21,0,0,3,0,0,0,0,0,0,0,3,0,13,3,7,11,17,9,10,0,0,0,0,4,5,56,0,6,25,25,18,15,0,0,0,0,3,0,104,5,5,42,38,23,26,10,4,0,0,5,4,162,0,3,15,39,21,30,12,9,0,0,14,3,152,4,5,16,43,31,42,17,7,5,4,9,7,183,0,8,15,35,18,34,16,0,0,6,8,5,148,0,7,4,25,23,41,32,18,0,0,13,8,169,0,0,19,16,20,35,35,22,0,3,13,9,165,3,0,6,25,21,41,48,34,10,4,25,6,228,3,0,3,13,16,33,26,27,9,8,27,12,172,0,0,4,6,6,3,17,11,4,7
10104,112,88,27,4,0,4,24,433,13,16,32,41,32,22,11,4,0,0,0,45,218,157,293,743,1277,913,1407,1061,340,49,10,71,266,6597,0,0,8,7,9,13,18,9,0,0,0,20,78,3,6,11,14,5,14,13,0,3,0,0,6,70,10,11,53,50,40,38,25,10,0,0,0,18,267,8,11,110,87,53,57,46,4,0,0,3,13,396,8,24,145,176,119,152,87,41,3,0,3,23,775,3,4,38,101,111,170,128,47,0,0,9,9,620,13,5,37,94,101,175,195,85,8,0,3,18,730,6,6,31,70,70,144,199,81,6,0,3,14,634,4,7,21,59,51,134,251,126,12,0,4,22,693,0,5,10,33,37,100,189,129,20,0,3,12,542,4,0,10,31,35,76,177,181,14,4,11,16,554,3,0,7,21,18,37,92,103,16,0,3,18,313,0,0,0,6,0,10,37,49,4,3
10105,32,31,16,0,0,0,7,181,11,19,21,11,12,8,7,0,0,0,3,31,111,120,248,521,725,417,529,338,83,17,6,30,146,3179,3,0,5,6,3,0,3,4,0,0,0,8,35,5,0,13,5,10,7,6,0,0,0,0,0,42,18,15,24,23,12,15,10,0,0,0,0,6,132,5,6,82,58,23,23,28,11,0,0,0,3,238,8,14,89,88,38,53,38,8,5,0,0,16,353,3,5,31,58,34,68,52,9,4,0,0,8,276,0,5,27,59,42,73,82,21,4,0,0,9,320,0,3,21,36,35,53,98,33,0,0,0,12,298,4,3,7,36,22,71,101,51,3,0,0,3,305,0,0,6,15,24,51,97,45,4,0,0,5,250,3,3,13,18,24,54,137,81,12,5,0,9,359,0,0,0,13,17,35,84,71,9,0,0,9,237,6,0,0,0,0,18,34,48,6,0
10106,26,16,9,8,0,0,7,155,7,4,17,13,5,4,3,3,0,0,5,11,65,131,93,397,608,327,341,276,136,67,17,22,116,2548,0,0,0,5,0,6,0,0,0,0,0,3,19,0,5,6,9,0,5,0,0,0,0,0,0,21,5,8,13,23,17,14,3,0,0,0,0,5,72,0,7,29,42,18,17,6,3,0,0,0,10,129,5,16,38,63,51,48,36,0,0,0,0,8,279,5,3,15,57,28,63,40,11,3,0,0,6,239,4,6,22,45,48,64,40,18,3,0,0,7,266,4,0,18,52,36,51,41,15,4,0,0,12,231,5,0,19,39,34,55,58,23,4,3,0,11,260,5,0,12,16,29,47,46,25,4,5,0,10,199,9,0,11,19,29,63,72,47,13,3,8,11,283,3,3,7,16,16,25,47,38,12,0,0,10,188,7,0,3,0,4,12,25,15,10,5
10201,130,309,275,91,40,17,26,1069,26,45,51,43,25,50,46,23,8,0,3,118,428,270,777,970,1300,1065,2439,4334,2808,769,229,194,481,15638,6,5,21,11,11,26,37,47,12,7,7,11,204,6,4,17,12,3,9,10,18,11,0,0,6,93,34,34,89,56,32,28,45,42,11,6,7,24,404,21,16,266,103,67,67,91,86,18,7,4,33,780,25,22,289,182,102,161,194,171,47,3,7,38,1248,8,5,73,101,69,123,299,304,71,18,4,18,1093,10,4,69,101,90,149,284,429,101,16,6,28,1301,0,8,34,59,84,143,331,493,125,31,12,29,1354,7,0,22,39,38,97,389,632,181,51,21,24,1505,4,0,18,32,32,74,248,648,228,51,28,19,1370,7,0,12,21,35,73,320,906,374,106,53,32,1934,0,0,9,17,19,35,191,610,355,137,62,21,1454,0,0,0,8,14,19,69,247,205,90
10202,203,338,208,36,10,10,34,1033,15,40,58,51,32,78,62,26,10,0,7,107,484,263,626,959,1581,1336,3256,4431,2052,323,96,107,478,15511,3,3,10,16,12,23,33,47,10,5,0,28,201,0,5,3,14,9,11,18,18,8,0,0,11,109,23,24,70,63,30,46,68,62,8,3,0,21,421,13,29,190,132,67,104,133,72,14,0,0,26,779,20,19,206,230,111,167,265,162,25,6,0,49,1257,9,4,40,147,78,160,389,311,59,8,4,24,1234,13,4,53,112,122,176,487,399,75,8,5,31,1476,8,3,26,78,104,153,496,495,94,10,6,36,1508,4,7,24,50,66,125,518,642,164,24,10,28,1658,0,0,9,28,40,93,401,644,187,22,9,20,1465,5,0,14,28,35,74,456,843,301,50,30,30,1858,0,3,14,17,15,45,228,527,300,51,17,15,1227,0,0,0,8,8,23,75,233,174,36
10301,44,49,36,3,0,6,15,253,3,20,12,20,14,14,10,0,0,0,4,26,116,141,215,524,758,595,861,720,330,42,7,21,153,4359,3,3,10,9,6,7,11,10,0,0,0,7,61,3,0,9,10,4,15,3,7,0,0,0,5,49,17,6,43,40,16,18,28,9,0,0,0,10,192,4,15,71,60,28,26,31,16,0,0,0,4,248,18,13,78,76,40,61,60,25,4,0,0,10,390,12,0,26,50,55,93,94,32,0,0,0,19,385,5,8,26,58,43,94,131,46,4,0,0,20,432,0,9,25,52,52,87,140,59,7,0,0,6,430,0,5,19,36,49,123,151,89,8,6,0,9,481,3,0,12,26,39,88,157,88,5,0,0,14,430,5,4,3,22,40,87,197,147,10,0,4,6,523,3,0,8,11,13,49,113,127,23,0,0,10,349,0,0,0,4,0,14,39,84,10,4
10302,24,11,5,0,0,0,21,259,11,23,53,37,5,5,0,3,0,0,0,42,183,388,446,1420,1479,415,363,171,51,13,3,40,278,5074,0,0,10,16,0,3,3,0,0,0,0,4,43,5,0,18,5,5,7,0,0,0,0,0,8,48,18,20,65,45,20,8,10,0,0,0,5,11,211,17,20,139,111,38,24,14,0,0,0,0,22,385,37,33,187,204,80,44,25,4,0,0,4,19,641,14,12,68,151,74,75,24,4,0,0,0,27,456,16,16,90,171,91,77,26,7,0,0,0,21,518,14,7,56,146,83,93,29,3,3,0,0,17,449,10,9,60,116,84,98,28,5,0,0,3,26,455,15,3,50,89,64,94,41,7,0,4,4,6,375,22,7,37,78,69,110,79,20,0,0,0,21,443,19,4,23,36,44,69,67,16,4,0,3,16,299,17,0,7,8,13,21,26,0,0,0
10303,39,28,19,9,0,0,12,234,6,9,37,30,15,6,9,3,0,0,7,43,159,131,191,633,998,556,587,408,227,47,4,47,176,4017,0,0,5,13,8,4,6,0,0,0,0,8,54,9,3,3,7,4,4,9,0,0,0,0,7,38,15,15,35,51,15,22,12,4,0,0,0,6,179,4,0,87,69,45,55,31,7,0,0,0,12,311,13,9,87,122,72,90,60,11,0,0,0,13,476,7,0,31,78,43,75,68,17,0,0,0,6,335,5,0,32,76,62,110,103,33,6,0,0,14,448,7,8,12,52,57,85,85,30,0,0,0,10,338,6,0,16,39,53,87,124,65,7,0,3,9,411,0,0,9,34,17,62,104,55,0,0,3,6,292,9,0,10,37,27,67,130,90,21,0,0,10,390,4,0,5,14,28,34,100,92,12,6,0,18,314,3,0,0,4,8,9,31,39,8,0
