SA3_CODE_2021,CFNC_FI_H_MI_C11_Fam,CFNC_FI_H_MI_C11_Per,CFNC_FI_H_MI_C16_Fam,CFNC_FI_H_MI_C16_Per,CFNC_FI_H_MI_C21_Fam,CFNC_FI_H_MI_C21_Per,CFNC_FI_S_MI_C11_Fam,CFNC_FI_S_MI_C11_Per,CFNC_FI_S_MI_C16_Fam,CFNC_FI_S_MI_C16_Per,CFNC_FI_S_MI_C21_Fam,CFNC_FI_S_MI_C21_Per,CFNC_FI_L_MI_C11_Fam,CFNC_FI_L_MI_C11_Per,CFNC_FI_L_MI_C16_Fam,CFNC_FI_L_MI_C16_Per,CFNC_FI_L_MI_C21_Fam,CFNC_FI_L_MI_C21_Per,CF_CU15_DS_FI_H_MI_C11_Fam,CF_CU15_DS_FI_H_MI_C11_Per,CF_CU15_DS_FI_H_MI_C16_Fam,CF_CU15_DS_FI_H_MI_C16_Per,CF_CU15_DS_FI_H_MI_C21_Fam,CF_CU15_DS_FI_H_MI_C21_Per,CF_CU15_DS_FI_S_MI_C11_Fam,CF_CU15_DS_FI_S_MI_C11_Per,CF_CU15_DS_FI_S_MI_C16_Fam,CF_CU15_DS_FI_S_MI_C16_Per,CF_CU15_DS_FI_S_MI_C21_Fam,CF_CU15_DS_FI_S_MI_C21_Per,CF_CU15_DS_FI_L_MI_C11_Fam,CF_CU15_DS_FI_L_MI_C11_Per,CF_CU15_DS_FI_L_MI_C16_Fam,CF_CU15_DS_FI_L_MI_C16_Per,CF_CU15_DS_FI_L_MI_C21_Fam,CF_CU15_DS_FI_L_MI_C21_Per,CF_CU15noDS_FI_H_MI_C11_Fam,CF_CU15noDS_FI_H_MI_C11_Per,CF_CU15noDS_FI_H_MI_C16_Fam,CF_CU15noDS_FI_H_MI_C16_Per,CF_CU15noDS_FI_H_MI_C21_Fam,CF_CU15noDS_FI_H_MI_C21_Per,CF_CU15noDS_FI_S_MI_C11_Fam,CF_CU15noDS_FI_S_MI_C11_Per,CF_CU15noDS_FI_S_MI_C16_Fam,CF_CU15noDS_FI_S_MI_C16_Per,CF_CU15noDS_FI_S_MI_C21_Fam,CF_CU15noDS_FI_S_MI_C21_Per,CF_CU15noDS_FI_L_MI_C11_Fam,CF_CU15noDS_FI_L_MI_C11_Per,CF_CU15noDS_FI_L_MI_C16_Fam,CF_CU15noDS_FI_L_MI_C16_Per,CF_CU15noDS_FI_L_MI_C21_Fam,CF_CU15noDS_FI_L_MI_C21_Per,CFNCU15_DS_FI_H_MI_C11_Fam,CFNCU15_DS_FI_H_MI_C11_Per,CFNCU15_DS_FI_H_MI_C16_Fam,CFNCU15_DS_FI_H_MI_C16_Per,CFNCU15_DS_FI_H_MI_C21_Fam,CFNCU15_DS_FI_H_MI_C21_Per,CFNCU15_DS_FI_S_MI_C11_Fam,CFNCU15_DS_FI_S_MI_C11_Per,CFNCU15_DS_FI_S_MI_C16_Fam,CFNCU15_DS_FI_S_MI_C16_Per,CFNCU15_DS_FI_S_MI_C21_Fam,CFNCU15_DS_FI_S_MI_C21_Per,CFNCU15_DS_FI_L_MI_C11_Fam,CFNCU15_DS_FI_L_MI_C11_Per,CFNCU15_DS_FI_L_MI_C16_Fam,CFNCU15_DS_FI_L_MI_C16_Per,CFNCU15_DS_FI_L_MI_C21_Fam,CFNCU15_DS_FI_L_MI_C21_Per,CF_nonDC_FI_H_MI_C11_Fam,CF_nonDC_FI_H_MI_C11_Per,CF_nonDC_FI_H_MI_C16_Fam,CF_nonDC_FI_H_MI_C16_Per,CF_nonDC_FI_H_MI_C21_Fam,CF_nonDC_FI_H_MI_C21_Per,CF_nonDC_FI_S_MI_C11_Fam,CF_nonDC_FI_S_MI_C11_Per,CF_nonDC_FI_S_MI_C16_Fam,CF_nonDC_FI_S_MI_C16_Per,CF_nonDC_FI_S_MI_C21_Fam,CF_nonDC_FI_S_MI_C21_Per,CF_nonDC_FI_L_MI_C11_Fam,CF_nonDC_FI_L_MI_C11_Per,CF_nonDC_FI_L_MI_C16_Fam,CF_nonDC_FI_L_MI_C16_Per,CF_nonDC_FI_L_MI_C21_Fam,CF_nonDC_FI_L_MI_C21_Per,Tot_CF_FI_H_MI_C11_Fam,Tot_CF_FI_H_MI_C11_Per,Tot_CF_FI_H_MI_C16_Fam,Tot_CF_FI_H_MI_C16_Per,Tot_CF_FI_H_MI_C21_Fam,Tot_CF_FI_H_MI_C21_Per,Tot_CF_FI_S_MI_C11_Fam,Tot_CF_FI_S_MI_C11_Per,Tot_CF_FI_S_MI_C16_Fam,Tot_CF_FI_S_MI_C16_Per,Tot_CF_FI_S_MI_C21_Fam,Tot_CF_FI_S_MI_C21_Per,Tot_CF_FI_L_MI_C11_Fam,Tot_CF_FI_L_MI_C11_Per,Tot_CF_FI_L_MI_C16_Fam,Tot_CF_FI_L_MI_C16_Per,Tot_CF_FI_L_MI_C21_Fam,Tot_CF_FI_L_MI_C21_Per,Tot_CF_Tot_C11_Fam,Tot_CF_Tot_C11_Per,Tot_CF_Tot_C16_Fam,Tot_CF_Tot_C16_Per,Tot_CF_Tot_C21_Fam,Tot_CF_Tot_C21_Per
10102,963,20.2,1148,22.8,1545,24.7,1555,32.7,1480,29.4,1697,27.1,2245,47.1,2403,47.8,3022,48.2,112,14.6,134,16.8,174,20.3,162,21.2,146,18.8,184,21.4,484,64.2,510,64.4,499,58.3,560,15.1,716,18.6,897,18.8,660,17.8,657,17.1,828,17.3,2482,67.1,2463,64.2,3049,63.8,170,20.5,209,22.2,231,23.3,194,23.9,180,18.9,200,20,447,55.6,561,58.9,563,56.7,204,19.6,260,22.9,352,25.6,320,30.2,297,26.3,320,23.4,532,50.2,575,50.8,705,51.1,2007,18.1,2461,21,3205,22.4,2893,26.1,2760,23.5,3229,22.6,6192,55.8,6513,55.5,7833,54.9,11086,100,11739,100,14264,100
10103,338,17.5,358,18,431,19.4,802,41.4,801,40.4,808,36.4,794,41.1,823,41.6,988,44.2,35,15.7,41,22.8,54,23.7,52,23,24,13,45,20.1,138,61.3,125,64.2,126,56.3,157,15.2,171,16.9,202,18.3,190,18.1,165,16.3,159,14.7,691,66.7,672,66.8,727,66.9,34,19,45,21.2,52,24.6,57,28.2,56,26.6,45,22.2,100,52.8,106,52.2,109,53.1,35,16.7,59,21.2,72,22.5,70,32.6,96,32.3,98,29.2,116,50.7,133,46.5,160,48.3,608,16.8,677,18.4,810,19.8,1167,32.3,1138,31,1160,28.4,1846,51,1859,50.7,2108,51.7,3617,100,3673,100,4076,100
10104,1388,15.6,1723,18.4,2244,20.5,4234,47.5,4036,43.1,4417,40.4,3290,36.9,3605,38.5,4285,39.1,158,21.9,134,22.3,176,26.5,171,23.4,130,21.1,125,18.6,393,54.7,344,56.6,363,54.9,607,19.7,581,20.1,686,21.1,590,19,535,18.4,607,18.7,1896,61.2,1784,61.5,1961,60.2,154,22.7,142,24.3,159,27.1,184,26.7,121,21.1,132,22.5,342,50.6,312,54.6,295,50.3,184,18.6,239,21.6,284,22.3,414,41,426,38.8,426,33.4,404,40.3,441,39.6,564,44.4,2497,17.4,2820,19.4,3548,21.2,5584,38.7,5255,36.1,5709,34.1,6330,43.9,6498,44.6,7469,44.7,14413,100,14571,100,16726,100
10105,579,17.4,658,18.8,853,20.5,1388,41.9,1374,39.1,1498,35.9,1351,40.7,1476,42,1818,43.7,62,15.9,57,15.1,74,19.3,74,18.7,70,17.2,55,14.4,255,65.3,256,67.7,260,66.2,279,15.3,313,17,358,17.3,322,17.7,244,13.1,331,16,1221,67,1292,69.9,1385,66.7,60,16.4,62,18.7,86,23.8,91,22.9,58,18.1,87,23.2,235,60.8,216,63.2,190,53,104,17.3,117,16.3,147,19.2,198,32,235,32.8,203,27.1,314,50.7,368,50.9,405,53.7,1087,16.7,1219,17.9,1516,19.6,2073,31.7,1981,29.1,2171,28,3378,51.7,3610,53,4059,52.4,6533,100,6803,100,7750,100
10106,617,17.5,718,19.4,912,22.2,1513,43,1492,40.3,1486,36.2,1393,39.5,1493,40.2,1712,41.6,85,16.7,99,20.5,93,18.9,136,26.4,98,20.1,123,24.9,290,56.9,292,59.4,283,56.2,339,15.5,373,17.7,448,19.5,426,19.4,401,19,387,16.9,1425,65.1,1323,63.3,1462,63.6,77,18.2,98,21.5,114,23,105,24.3,102,23.3,106,21,244,57.4,245,55.2,279,56,82,15.2,122,18.4,156,21.1,219,38,236,35.1,199,26.9,264,46.8,313,46.6,391,52.1,1205,16.7,1408,19,1727,21.2,2391,33.2,2327,31.5,2305,28.3,3615,50.1,3663,49.5,4126,50.6,7215,100,7401,100,8163,100
10201,2426,15.9,2819,17.7,3791,20.4,6509,42.7,6080,38.3,6462,34.8,6296,41.3,6995,44,8298,44.7,298,14.5,334,16.8,417,18.7,340,16.7,260,13.1,316,14.1,1404,68.8,1395,70.2,1492,67.2,1280,13.5,1506,15.4,1889,17.8,1289,13.6,1172,12,1369,12.9,6944,73,7090,72.6,7356,69.3,399,16.4,498,19.4,522,19.9,474,19.4,418,16.2,439,16.8,1573,64.2,1650,64.4,1659,63.4,523,16.2,650,17.9,790,20.5,946,29.2,973,26.9,1020,26.4,1766,54.6,1987,55.1,2049,53.1,4932,15.2,5803,17.2,7410,19.6,9562,29.4,8900,26.3,9603,25.4,17985,55.4,19116,56.5,20863,55.1,32474,100,33816,100,37881,100
10202,1862,13.4,2318,16.1,3212,19.6,6697,48.4,6115,42.6,6094,37.1,5275,38.1,5936,41.3,7114,43.3,284,15.2,301,16.9,375,20,321,17.3,247,13.5,250,13.2,1252,67.5,1250,69.6,1256,66.8,1177,14.1,1365,15.7,1615,17.1,1236,14.8,1054,12.1,1219,12.9,5931,71.1,6301,72.3,6604,70,284,15.7,350,19,434,22.5,366,20.4,301,16.5,313,16.4,1148,63.9,1184,64.5,1174,61,432,14.9,564,16.9,681,19.1,993,34.2,983,29.6,956,26.9,1485,50.9,1785,53.5,1924,54,4033,14,4896,16.3,6314,19,9614,33.5,8704,29,8836,26.6,15080,52.5,16457,54.8,18062,54.4,28727,100,30054,100,33215,100
10301,681,17.1,801,19.5,1098,22.8,1566,39.3,1525,37.2,1624,33.7,1739,43.6,1780,43.3,2097,43.5,79,14.6,94,15.8,132,23.4,89,17.3,124,20,80,14.7,351,68.2,387,64.2,353,61.9,372,14.4,433,16.9,486,17.9,418,16.2,360,13.9,366,13.5,1793,69.4,1770,69.2,1868,68.6,108,21.3,115,22.8,119,20.9,113,21.9,82,16.4,110,19.7,286,56.8,305,60.8,333,59.4,128,18.5,161,21.5,170,21.4,210,31.1,213,28.9,211,26.5,340,50.4,367,49.6,418,52.1,1364,16.5,1596,18.8,2008,21.2,2395,29,2297,27,2398,25.3,4509,54.5,4607,54.2,5057,53.5,8269,100,8509,100,9463,100
10302,897,15.4,904,16.2,1091,18.6,2959,51.1,2737,49,2657,45.1,1945,33.5,1943,34.8,2146,36.4,119,17.5,114,20.1,136,21.8,204,29.6,131,23,139,22.1,369,52.9,327,56.9,350,56.1,489,16.3,503,17.8,516,18.5,611,20.3,512,18.1,481,17.2,1914,63.4,1814,64.2,1798,64.3,91,16.7,105,21.7,108,23.6,169,30.1,142,28.3,115,24.7,297,53.2,245,50,240,51.7,138,17.2,141,15.1,152,17.2,351,43.2,400,42.9,364,41,322,39.6,392,42,369,41.7,1739,16,1764,17,2006,18.8,4298,39.5,3916,37.7,3748,35.2,4847,44.5,4718,45.4,4905,46,10886,100,10404,100,10654,100
10303,601,13.5,711,16,918,17.9,1978,44.2,1852,41.7,1887,37,1886,42.2,1882,42.3,2300,45,76,14.2,83,17.6,88,17.1,86,15.7,84,17.6,67,13,375,70,296,64.7,358,69.9,288,11.8,302,12,316,12.4,339,14,326,13.2,306,12.1,1795,74.2,1861,74.8,1914,75.5,67,15.7,92,22.6,90,20.6,85,19.5,68,16.5,71,16.4,284,64.8,255,60.9,267,63,100,13.2,123,14.9,153,17.3,257,33.6,240,29,242,27.1,409,53.2,463,56.1,491,55.6,1136,13.2,1309,15.2,1559,16.5,2743,31.8,2561,29.8,2574,27.2,4744,55,4748,55.1,5331,56.4,8622,100,8618,100,9461,100
