SA3_CODE_2021,C11_CFC_SMS_MRM_NDC_UR_1,C11_CFC_SMS_MRM_NDC_UR_2,C11_CFC_SMS_MRM_NDC_UR_3,C11_CFC_SMS_MRM_NDC_UR_4mo,C11_CFC_SMS_MRM_NDC_UR_Total,C11_CFC_SMS_M_DfM_NDC_UR_1,C11_CFC_SMS_M_DfM_NDC_UR_2,C11_CFC_SMS_M_DfM_NDC_UR_3,C11_CFC_SMS_M_DfM_NDC_UR_4mo,C11_CFC_SMS_M_DfM_NDC_UR_Tot,C11_CFC_SMS_Tot_NDC_UR_1,C11_CFC_SMS_Tot_NDC_UR_2,C11_CFC_SMS_Tot_NDC_UR_3,C11_CFC_SMS_Tot_NDC_UR_4mo,C11_CFC_SMS_Tot_NDC_UR_Tot,C11_1PF_NDC_UR_1,C11_1PF_NDC_UR_2,C11_1PF_NDC_UR_3,C11_1PF_NDC_UR_4mo,C11_1PF_NDC_UR_Tot,C11_Tot_NDC_UR_1,C11_Tot_NDC_UR_2,C11_Tot_NDC_UR_3,C11_Tot_NDC_UR_4mo,C11_Tot_NDC_UR_Tot,C16_CFC_SMS_MRM_NDC_UR_1,C16_CFC_SMS_MRM_NDC_UR_2,C16_CFC_SMS_MRM_NDC_UR_3,C16_CFC_SMS_MRM_NDC_UR_4mo,C16_CFC_SMS_MRM_NDC_UR_Tot,C16_CFC_SMS_M_DfM_NDC_UR_1,C16_CFC_SMS_M_DfM_NDC_UR_2,C16_CFC_SMS_M_DfM_NDC_UR_3,C16_CFC_SMS_M_DfM_NDC_UR_4mo,C16_CFC_SMS_M_DfM_NDC_UR_Tot,C16_CFC_SMS_Tot_NDC_UR_1,C16_CFC_SMS_Tot_NDC_UR_2,C16_CFC_SMS_Tot_NDC_UR_3,C16_CFC_SMS_Tot_NDC_UR_4mo,C16_CFC_SMS_Tot_NDC_UR_Tot,C16_1PF_NDC_UR_1,C16_1PF_NDC_UR_2,C16_1PF_NDC_UR_3,C16_1PF_NDC_UR_4mo,C16_1PF_NDC_UR_Tot,C16_Tot_NDC_UR_1,C16_Tot_NDC_UR_2,C16_Tot_NDC_UR_3,C16_Tot_NDC_UR_4mo,C16_Tot_NDC_UR_Tot,C21_CFC_SMS_MRM_NDC_UR_1,C21_CFC_SMS_MRM_NDC_UR_2,C21_CFC_SMS_MRM_NDC_UR_3,C21_CFC_SMS_MRM_NDC_UR_4mo,C21_CFC_SMS_MRM_NDC_UR_Tot,C21_CFC_SMS_M_DfM_NDC_UR_1,C21_CFC_SMS_M_DfM_NDC_UR_2,C21_CFC_SMS_M_DfM_NDC_UR_3,C21_CFC_SMS_M_DfM_NDC_UR_4mo,C21_CFC_SMS_M_DfM_NDC_UR_Tot,C21_CFC_SMS_Tot_NDC_UR_1,C21_CFC_SMS_Tot_NDC_UR_2,C21_CFC_SMS_Tot_NDC_UR_3,C21_CFC_SMS_Tot_NDC_UR_4mo,C21_CFC_SMS_Tot_NDC_UR_Tot,C21_1PF_NDC_UR_1,C21_1PF_NDC_UR_2,C21_1PF_NDC_UR_3,C21_1PF_NDC_UR_4mo,C21_1PF_NDC_UR_Tot,C21_Tot_NDC_UR_1,C21_Tot_NDC_UR_2,C21_Tot_NDC_UR_3,C21_Tot_NDC_UR_4mo,C21_Tot_NDC_UR_Tot
10102,1607,2193,827,231,4863,378,290,118,32,820,1982,2491,941,266,5680,734,432,138,52,1350,2711,2920,1078,322,7035,1773,2210,862,213,5061,458,336,134,42,972,2230,2548,995,261,6035,737,422,151,41,1353,2968,2973,1142,301,7381,2068,2615,880,205,5766,520,444,129,41,1131,2592,3051,1010,245,6902,780,526,159,47,1518,3372,3583,1167,295,8421
10103,385,616,237,72,1313,131,127,31,17,311,520,742,277,93,1626,227,144,54,17,441,751,887,325,113,2071,391,542,230,59,1222,130,124,42,15,316,520,664,273,83,1537,222,142,49,11,424,740,806,316,93,1960,366,565,229,61,1227,169,142,46,18,383,542,709,274,80,1603,222,134,56,18,431,758,841,330,97,2036
10104,1268,1562,688,256,3767,496,419,163,95,1179,1764,1982,853,348,4948,1031,723,250,124,2134,2794,2711,1106,475,7085,1127,1388,602,217,3327,452,459,177,81,1174,1583,1850,778,303,4506,938,631,208,126,1907,2520,2477,985,420,6408,1113,1524,586,202,3425,558,549,205,86,1391,1670,2067,788,284,4812,943,636,236,98,1918,2615,2709,1026,384,6728
10105,778,934,427,154,2298,201,195,91,31,521,981,1136,517,188,2820,531,343,135,31,1044,1509,1481,648,222,3862,729,926,433,170,2262,220,196,77,38,534,945,1129,509,209,2794,504,315,122,56,1000,1447,1439,632,270,3788,743,996,440,161,2338,278,246,94,42,660,1023,1239,533,199,2997,491,338,141,50,1030,1516,1586,676,252,4023
10106,816,1210,604,227,2854,226,212,82,48,559,1044,1420,685,271,3414,439,270,120,46,869,1477,1686,811,313,4288,718,1167,607,205,2702,264,195,84,39,584,983,1371,690,241,3287,405,294,146,55,899,1386,1660,841,296,4184,854,1136,583,198,2770,284,276,110,53,716,1138,1405,691,258,3487,466,277,127,54,923,1607,1683,822,307,4412
10201,4163,5903,2235,691,12992,971,811,313,105,2200,5130,6718,2546,797,15191,2613,1700,580,165,5061,7745,8417,3124,961,20248,4155,5951,2198,591,12891,1092,994,335,129,2546,5245,6947,2526,722,15441,2467,1635,523,159,4789,7712,8583,3055,878,20227,4209,6221,2265,526,13220,1345,1100,356,130,2924,5551,7325,2620,649,16145,2489,1841,547,158,5036,8036,9167,3164,811,21178
10202,3254,4636,1974,622,10489,1062,942,349,175,2528,4319,5575,2324,798,13017,2956,1920,737,318,5931,7277,7492,3062,1113,18945,3380,4594,1919,609,10508,1172,1063,401,166,2800,4551,5656,2325,776,13305,2822,1883,746,264,5705,7372,7537,3068,1034,19008,3511,4830,1816,541,10698,1410,1272,409,183,3268,4916,6100,2228,728,13973,3003,2031,762,255,6056,7918,8134,2989,983,20026
10301,965,1355,670,237,3225,315,254,103,62,732,1274,1616,774,301,3960,626,426,183,74,1309,1902,2035,956,373,5269,970,1403,592,218,3183,308,304,130,63,800,1283,1706,722,277,3983,680,461,212,70,1415,1958,2163,929,343,5399,1004,1407,555,200,3167,363,332,176,60,929,1365,1732,724,267,4092,709,517,231,76,1529,2078,2249,952,341,5622
10302,1099,1426,898,393,3815,335,303,176,81,901,1437,1732,1072,477,4718,747,524,229,112,1616,2186,2255,1300,593,6334,954,1276,786,315,3326,345,311,165,73,895,1297,1584,956,381,4222,721,491,240,120,1569,2026,2074,1195,501,5788,886,1248,719,265,3118,412,373,160,80,1024,1297,1626,878,342,4147,676,530,235,119,1571,1977,2159,1117,461,5710
10303,914,1224,610,190,2949,295,279,121,65,763,1219,1504,732,261,3713,662,403,162,75,1304,1875,1914,901,330,5014,883,1199,545,189,2822,319,303,143,59,819,1204,1500,687,246,3638,650,416,161,71,1297,1852,1915,846,315,4928,871,1194,572,171,2806,357,353,143,72,927,1231,1543,715,239,3731,615,415,179,84,1295,1843,1958,895,319,5022
10304,1261,1822,940,314,4331,361,329,140,70,894,1623,2151,1080,375,5226,806,500,210,125,1636,2426,2650,1288,505,6865,1343,1815,967,329,4448,365,366,132,67,931,1703,2179,1100,395,5376,806,556,244,94,1699,2505,2735,1334,495,7073,1291,1960,1019,315,4583,454,409,169,85,1120,1748,2372,1190,402,5704,823,618,214,110,1759,2573,2987,1402,511,7471
10401,944,1179,553,215,2888,322,308,138,82,846,1264,1482,684,298,3729,846,590,227,99,1769,2112,2071,915,402,5503,813,1033,494,183,2520,324,293,158,51,824,1136,1324,651,231,3345,803,523,183,96,1609,1939,1853,830,333,4955,792,1039,498,179,2505,394,374,132,55,954,1184,1415,627,233,3459,791,518,215,97,1625,1974,1932,847,333,5084
10402,1821,2332,997,333,5483,540,532,194,87,1354,2361,2863,1187,424,6834,1585,1027,345,156,3114,3946,3886,1539,577,9950,1652,2325,972,309,5257,601,589,202,81,1473,2250,2914,1172,386,6729,1428,979,352,149,2908,3683,3896,1519,539,9638,1684,2508,998,322,5506,690,646,231,96,1654,2369,3152,1222,414,7160,1445,1047,349,130,2972,3820,4201,1573,541,10132
10501,406,546,312,142,1409,239,177,108,63,586,645,722,418,209,1995,402,239,130,96,867,1052,961,551,301,2864,330,460,253,117,1163,193,174,89,57,516,528,636,345,178,1680,364,247,135,79,828,890,887,479,258,2511,307,374,226,87,1000,171,157,80,43,442,478,530,303,129,1447,291,195,90,60,637,775,731,395,188,2083
10502,384,450,181,60,1073,168,131,67,32,406,553,577,251,97,1474,408,248,109,60,824,956,828,362,153,2297,315,387,142,58,897,164,133,56,22,376,476,517,198,84,1279,348,254,116,42,758,829,770,310,120,2037,270,331,142,55,797,162,160,44,22,395,431,492,184,79,1190,373,248,103,36,758,805,738,289,114,1946
10503,1374,1927,1019,393,4719,418,409,194,101,1127,1791,2337,1221,491,5842,1163,789,324,206,2478,2953,3124,1540,706,8319,1364,1733,938,371,4409,469,377,199,93,1138,1836,2110,1138,463,5545,1075,771,346,182,2378,2911,2887,1485,647,7925,1477,1878,941,332,4623,544,439,217,125,1318,2016,2313,1158,455,5943,1073,762,339,148,2314,3085,3077,1492,603,8260
