SA3_CODE_2021,C11_CFNC_BF_Neg_ni_inc,C11_CFNC_BF_1_149,C11_CFNC_BF_150_399,C11_CFNC_BF_400_649,C11_CFNC_BF_650_799,C11_CFNC_BF_800_1249,C11_CFNC_BF_1250_1999,C11_CFNC_BF_2000_2499,C11_CFNC_BF_2500_2999,C11_CFNC_BF_3000_3999,C11_CFNC_BF_4000more,C11_CFNC_BF_Ns,C11_CFNC_BF_Tot,C11_CFNC_BPT_Neg_ni_inc,C11_CFNC_BPT_1_149,C11_CFNC_BPT_150_399,C11_CFNC_BPT_400_649,C11_CFNC_BPT_650_799,C11_CFNC_BPT_800_1249,C11_CFNC_BPT_1250_1999,C11_CFNC_BPT_2000_2499,C11_CFNC_BPT_2500_2999,C11_CFNC_BPT_3000_3999,C11_CFNC_BPT_4000more,C11_CFNC_BPT_Ns,C11_CFNC_BPT_Tot,C11_CFNC_1F1P_Neg_ni_inc,C11_CFNC_1F1P_1_149,C11_CFNC_1F1P_150_399,C11_CFNC_1F1P_400_649,C11_CFNC_1F1P_650_799,C11_CFNC_1F1P_800_1249,C11_CFNC_1F1P_1250_1999,C11_CFNC_1F1P_2000_2499,C11_CFNC_1F1P_2500_2999,C11_CFNC_1F1P_3000_3999,C11_CFNC_1F1P_4000more,C11_CFNC_1F1P_Ns,C11_CFNC_1F1P_Tot,C11_CFNC_1E1A_Neg_ni_inc,C11_CFNC_1E1A_1_149,C11_CFNC_1E1A_150_399,C11_CFNC_1E1A_400_649,C11_CFNC_1E1A_650_799,C11_CFNC_1E1A_800_1249,C11_CFNC_1E1A_1250_1999,C11_CFNC_1E1A_2000_2499,C11_CFNC_1E1A_2500_2999,C11_CFNC_1E1A_3000_3999,C11_CFNC_1E1A_4000more,C11_CFNC_1E1A_Ns,C11_CFNC_1E1A_Tot,C11_CFNC_1F1NW_Neg_ni_inc,C11_CFNC_1F1NW_1_149,C11_CFNC_1F1NW_150_399,C11_CFNC_1F1NW_400_649,C11_CFNC_1F1NW_650_799,C11_CFNC_1F1NW_800_1249,C11_CFNC_1F1NW_1250_1999,C11_CFNC_1F1NW_2000_2499,C11_CFNC_1F1NW_2500_2999,C11_CFNC_1F1NW_3000_3999,C11_CFNC_1F1NW_4000more,C11_CFNC_1F1NW_Ns,C11_CFNC_1F1NW_Tot,C11_CFNC_1P1NW_Neg_ni_inc,C11_CFNC_1P1NW_1_149,C11_CFNC_1P1NW_150_399,C11_CFNC_1P1NW_400_649,C11_CFNC_1P1NW_650_799,C11_CFNC_1P1NW_800_1249,C11_CFNC_1P1NW_1250_1999,C11_CFNC_1P1NW_2000_2499,C11_CFNC_1P1NW_2500_2999,C11_CFNC_1P1NW_3000_3999,C11_CFNC_1P1NW_4000more,C11_CFNC_1P1NW_Ns,C11_CFNC_1P1NW_Tot,C11_CFNC_1A1NW_Neg_ni_inc,C11_CFNC_1A1NW_1_149,C11_CFNC_1A1NW_150_399,C11_CFNC_1A1NW_400_649,C11_CFNC_1A1NW_650_799,C11_CFNC_1A1NW_800_1249,C11_CFNC_1A1NW_1250_1999,C11_CFNC_1A1NW_2000_2499,C11_CFNC_1A1NW_2500_2999,C11_CFNC_1A1NW_3000_3999,C11_CFNC_1A1NW_4000more,C11_CFNC_1A1NW_Ns,C11_CFNC_1A1NW_Tot,C11_CFNC_BA_Neg_ni_inc,C11_CFNC_BA_1_149,C11_CFNC_BA_150_399,C11_CFNC_BA_400_649,C11_CFNC_BA_650_799,C11_CFNC_BA_800_1249,C11_CFNC_BA_1250_1999,C11_CFNC_BA_2000_2499,C11_CFNC_BA_2500_2999,C11_CFNC_BA_3000_3999,C11_CFNC_BA_4000more,C11_CFNC_BA_Ns,C11_CFNC_BA_Tot,C11_CFNC_BNW_Neg_ni_inc,C11_CFNC_BNW_1_149,C11_CFNC_BNW_150_399,C11_CFNC_BNW_400_649,C11_CFNC_BNW_650_799,C11_CFNC_BNW_800_1249,C11_CFNC_BNW_1250_1999,C11_CFNC_BNW_2000_2499,C11_CFNC_BNW_2500_2999,C11_CFNC_BNW_3000_3999,C11_CFNC_BNW_4000more,C11_CFNC_BNW_Ns,C11_CFNC_BNW_Tot,C11_CFNC_LFns_Neg_ni_inc,C11_CFNC_LFns_1_149,C11_CFNC_LFns_150_399,C11_CFNC_LFns_400_649,C11_CFNC_LFns_650_799,C11_CFNC_LFns_800_1249,C11_CFNC_LFns_1250_1999,C11_CFNC_LFns_2000_2499,C11_CFNC_LFns_2500_2999,C11_CFNC_LFns_3000_3999,C11_CFNC_LFns_4000more,C11_CFNC_LFns_Ns,C11_CFNC_LFns_Tot,C11_CFNC_Tot_Neg_ni_inc,C11_CFNC_Tot_1_149,C11_CFNC_Tot_150_399,C11_CFNC_Tot_400_649,C11_CFNC_Tot_650_799,C11_CFNC_Tot_800_1249,C11_CFNC_Tot_1250_1999,C11_CFNC_Tot_2000_2499,C11_CFNC_Tot_2500_2999,C11_CFNC_Tot_3000_3999,C11_CFNC_Tot_4000more,C11_CFNC_Tot_Ns,C11_CFNC_Tot_Tot,C11_CF_BFT_Neg_ni_inc,C11_CF_BFT_1_149,C11_CF_BFT_150_399,C11_CF_BFT_400_649,C11_CF_BFT_650_799,C11_CF_BFT_800_1249,C11_CF_BFT_1250_1999,C11_CF_BFT_2000_2499,C11_CF_BFT_2500_2999,C11_CF_BFT_3000_3999,C11_CF_BFT_4000more,C11_CF_BFT_Ns,C11_CF_BFT_Tot,C11_CF_BPT_Neg_ni_inc,C11_CF_BPT_1_149,C11_CF_BPT_150_399,C11_CF_BPT_400_649,C11_CF_BPT_650_799,C11_CF_BPT_800_1249,C11_CF_BPT_1250_1999,C11_CF_BPT_2000_2499,C11_CF_BPT_2500_2999,C11_CF_BPT_3000_3999,C11_CF_BPT_4000more,C11_CF_BPT_Ns,C11_CF_BPT_Tot,C11_CF_1F1P_Neg_ni_inc,C11_CF_1F1P_1_149,C11_CF_1F1P_150_399,C11_CF_1F1P_400_649,C11_CF_1F1P_650_799,C11_CF_1F1P_800_1249,C11_CF_1F1P_1250_1999,C11_CF_1F1P_2000_2499,C11_CF_1F1P_2500_2999,C11_CF_1F1P_3000_3999,C11_CF_1F1P_4000more,C11_CF_1F1P_Ns,C11_CF_1F1P_Tot,C11_CF_1E1A_Neg_ni_inc,C11_CF_1E1A_1_149,C11_CF_1E1A_150_399,C11_CF_1E1A_400_649,C11_CF_1E1A_650_799,C11_CF_1E1A_800_1249,C11_CF_1E1A_1250_1999,C11_CF_1E1A_2000_2499,C11_CF_1E1A_2500_2999,C11_CF_1E1A_3000_3999,C11_CF_1E1A_4000more,C11_CF_1E1A_Ns,C11_CF_1E1A_Tot,C11_CF_1F1NW_Neg_ni_inc,C11_CF_1F1NW_1_149,C11_CF_1F1NW_150_399,C11_CF_1F1NW_400_649,C11_CF_1F1NW_650_799
10102,12,0,5,12,17,61,335,412,246,447,270,21,1843,0,0,4,12,17,48,48,18,9,14,8,5,181,4,0,0,9,8,108,221,121,64,108,45,10,700,0,0,5,0,0,16,47,43,23,38,24,0,192,0,0,5,13,36,119,145,42,88,31,15,12,523,0,0,15,43,37,57,65,13,12,9,3,10,265,0,0,0,10,6,11,15,3,8,0,0,3,56,0,0,0,0,0,7,6,11,6,10,4,0,49,24,5,50,357,165,257,143,32,19,14,7,28,1102,0,0,0,10,0,8,4,5,0,0,0,297,319,41,5,86,467,287,687,1031,695,477,670,382,399,5219,9,0,0,3,5,32,217,328,268,549,508,189,2114,0,0,3,0,3,26,52,42,24,29,9,17,211,0,0,10,9,22,115,427,404,259,474,183,112,2017,0,0,0,3,5,14,75,82,47,136,63,34,459,0,0,6,18,33
10103,0,0,4,12,17,71,177,112,31,57,18,11,522,0,0,0,9,10,36,28,7,6,0,3,0,103,0,3,0,10,12,91,102,40,21,12,0,11,307,0,0,0,5,6,11,19,11,4,3,0,0,55,0,0,0,14,28,53,48,6,19,4,0,7,182,0,0,11,39,21,32,29,4,0,4,0,3,144,0,0,4,3,3,4,5,0,0,5,0,0,22,0,0,0,0,0,7,0,0,0,0,3,3,19,10,9,40,237,105,138,47,18,6,7,5,22,631,0,0,0,11,0,0,0,0,0,0,0,114,131,14,8,65,341,199,442,455,196,93,90,31,180,2117,3,0,3,0,11,44,116,100,48,67,23,71,490,0,0,0,3,0,21,14,8,6,3,7,3,62,0,0,8,8,10,95,191,106,49,47,5,56,571,0,0,0,0,0,9,32,14,12,10,0,7,97,0,0,4,9,22
10104,9,0,11,29,33,165,366,175,77,92,20,28,1002,3,0,11,50,68,190,131,34,0,9,12,6,513,3,0,19,39,55,272,341,133,55,46,14,11,983,4,0,4,4,16,52,63,39,8,7,0,3,204,4,0,15,45,86,236,160,25,58,15,0,21,669,0,0,42,188,147,213,116,32,19,7,0,18,791,7,0,7,26,19,38,27,5,5,9,0,13,157,0,0,3,4,12,15,18,6,5,0,0,6,67,67,13,231,1725,744,1219,427,100,35,32,19,147,4750,0,0,3,39,8,16,4,0,0,0,0,660,731,94,17,340,2149,1177,2424,1658,549,259,217,67,914,9872,0,0,10,20,17,99,268,189,107,121,48,135,1014,0,0,3,21,25,137,97,36,16,13,9,38,395,7,7,5,31,37,312,636,272,122,94,26,145,1691,3,0,0,6,7,55,76,50,17,23,0,24,265,6,3,4,25,64
10105,3,0,7,14,17,84,217,170,68,92,32,13,721,0,0,5,11,23,51,34,10,5,3,8,0,145,4,0,8,11,19,126,203,94,28,42,3,11,550,0,0,0,4,6,22,19,20,7,13,3,3,94,0,3,5,31,32,101,115,26,31,12,4,21,375,0,5,15,54,35,61,34,8,7,7,0,11,242,0,0,4,0,8,9,12,0,0,0,0,0,44,0,0,4,0,9,3,7,4,5,3,0,6,28,24,11,76,556,181,257,73,11,13,3,4,53,1249,4,0,5,14,9,5,0,0,0,0,0,248,274,30,17,126,696,324,710,714,342,164,176,46,367,3717,3,0,6,7,5,43,223,204,120,130,47,84,877,0,0,0,0,5,25,29,14,8,4,5,12,103,0,3,5,11,10,141,383,230,101,89,23,97,1094,0,0,0,6,7,17,59,42,9,13,10,16,171,0,4,5,20,33
10106,16,0,10,14,15,80,238,168,97,156,91,15,897,6,0,8,18,20,48,29,20,3,16,4,4,189,7,0,0,11,29,113,173,48,35,51,19,13,501,0,0,3,0,0,19,29,20,13,14,7,9,115,6,0,9,13,41,99,88,28,38,21,6,15,365,0,0,15,57,47,80,37,12,12,8,0,6,272,0,0,0,17,5,13,10,0,3,0,0,3,53,0,0,3,0,0,11,5,10,0,4,5,0,38,28,6,79,489,182,246,99,16,12,9,7,51,1219,0,0,0,16,7,4,4,0,0,0,0,274,303,62,12,128,647,348,699,719,320,211,274,140,388,3949,5,0,6,6,3,45,164,162,110,175,142,118,945,0,0,3,0,10,30,35,18,3,14,7,15,144,0,0,5,8,20,192,369,220,131,150,41,113,1257,0,0,5,3,0,24,57,36,24,39,10,27,227,0,4,5,16,46
10201,12,0,10,13,20,183,789,808,316,462,215,43,2874,0,0,21,58,53,186,155,47,20,51,12,18,628,13,0,8,28,41,394,703,348,155,228,40,38,2000,0,0,0,8,15,60,94,65,23,46,12,21,345,4,0,12,74,134,412,468,77,220,45,14,56,1515,6,3,46,205,171,324,195,44,35,21,11,20,1077,0,0,6,24,23,58,33,11,20,8,0,12,189,0,0,0,6,3,21,28,23,18,26,4,17,148,120,15,336,2315,1248,1731,641,134,67,60,39,265,6963,5,0,8,57,25,23,16,0,0,0,0,917,1055,157,26,457,2777,1724,3398,3133,1563,873,946,342,1404,16805,10,3,5,13,13,115,595,659,490,737,373,403,3412,0,0,10,23,29,166,237,109,57,53,29,84,792,10,5,16,32,47,595,1821,1163,754,922,238,504,6113,3,0,4,8,16,98,259,194,105,133,46,103,972,8,5,15,47,132
10202,7,0,11,9,12,172,814,698,239,297,97,29,2389,3,0,13,47,52,153,118,31,14,10,3,14,452,4,0,8,22,47,361,623,269,98,103,21,23,1576,0,0,0,12,12,47,115,52,17,24,5,16,300,3,0,14,54,142,450,365,53,115,31,16,67,1303,3,7,45,231,161,214,97,27,11,10,4,22,834,0,0,4,20,29,56,31,4,18,0,0,14,171,0,0,0,3,3,18,41,14,9,10,0,12,121,114,14,394,3109,1174,1482,399,60,22,21,19,241,7045,0,0,10,79,21,28,16,4,5,0,0,819,977,141,25,500,3586,1643,2976,2614,1209,543,510,164,1251,15163,9,0,8,11,9,115,660,747,415,541,199,313,3033,0,0,8,17,26,139,194,65,25,18,10,61,562,4,6,9,22,50,582,1744,980,466,512,83,359,4822,9,0,6,3,13,91,262,189,83,87,26,71,831,4,11,10,48,172
10301,6,0,12,8,5,83,268,264,127,149,52,16,992,4,0,0,19,20,64,48,24,6,7,0,8,204,3,0,8,19,18,127,248,120,52,55,18,12,669,0,0,0,5,9,28,25,20,5,13,0,7,101,0,0,6,14,53,135,135,21,53,11,7,22,455,0,0,16,68,57,79,48,6,8,4,0,3,289,0,0,0,6,7,14,9,6,7,3,0,0,59,0,0,0,4,0,3,4,4,4,0,6,4,29,24,3,58,527,209,287,88,25,9,9,8,53,1294,3,0,6,17,6,10,0,0,0,0,0,256,294,40,3,101,685,393,830,881,481,264,250,85,375,4393,4,0,4,4,3,41,255,246,167,238,95,108,1165,0,0,3,6,5,26,34,17,4,11,7,14,121,0,0,0,3,20,159,480,293,177,170,38,111,1463,0,0,0,0,4,24,67,65,29,33,15,14,242,0,6,11,18,45
10302,36,4,33,54,55,216,371,212,99,101,48,31,1256,3,0,6,25,43,104,56,14,9,5,6,9,266,9,5,14,46,72,270,284,101,38,38,16,28,923,4,0,5,8,12,31,39,22,9,18,0,12,164,6,0,18,73,91,196,109,24,31,14,0,31,581,0,0,30,113,71,101,43,10,4,6,4,17,394,3,0,10,10,5,24,17,0,0,0,0,15,83,3,0,3,3,0,20,20,13,3,0,0,10,78,41,8,146,1115,303,400,88,23,9,11,6,107,2260,0,0,8,22,15,14,0,0,0,0,0,418,470,114,12,272,1470,649,1370,1031,413,198,190,92,665,6477,19,3,15,26,22,125,316,230,99,141,64,198,1259,0,0,0,14,13,45,38,12,7,0,3,10,148,5,5,14,31,47,323,570,245,112,127,25,162,1666,0,0,4,5,6,35,84,50,16,25,9,31,259,11,4,13,47,97
10303,6,0,14,25,28,92,240,175,82,166,44,20,890,0,0,11,39,24,61,41,16,4,5,0,6,216,0,0,3,20,17,118,219,93,59,83,9,13,640,0,0,0,5,6,29,22,33,6,9,4,0,118,5,0,13,30,56,149,120,20,80,15,4,28,509,5,0,19,103,43,93,40,10,10,4,6,11,336,0,0,0,10,9,15,9,0,6,0,0,8,68,0,0,0,0,5,7,13,0,5,10,0,5,42,34,8,117,883,245,345,77,16,9,8,9,87,1832,4,0,7,19,4,19,4,0,0,0,0,302,346,53,17,173,1129,431,922,789,357,251,296,72,493,4994,0,0,3,13,20,40,162,139,93,168,63,105,812,0,0,4,13,11,39,38,11,7,12,0,10,142,5,0,5,15,19,147,415,229,194,220,51,115,1411,0,0,0,3,5,19,44,34,25,46,7,21,206,0,0,8,23,40
