SA3_CODE_2021,C21_CF_1P1NW_Tot,C21_CF_1A1NW_Neg_ni_inc,C21_CF_1A1NW_1_149,C21_CF_1A1NW_150_399,C21_CF_1A1NW_400_649,C21_CF_1A1NW_650_799,C21_CF_1A1NW_800_1249,C21_CF_1A1NW_1250_1999,C21_CF_1A1NW_2000_2499,C21_CF_1A1NW_2500_2999,C21_CF_1A1NW_3000_3999,C21_CF_1A1NW_4000more,C21_CF_1A1NW_Ns,C21_CF_1A1NW_Tot,C21_CF_BA_Neg_ni_inc,C21_CF_BA_1_149,C21_CF_BA_150_399,C21_CF_BA_400_649,C21_CF_BA_650_799,C21_CF_BA_800_1249,C21_CF_BA_1250_1999,C21_CF_BA_2000_2499,C21_CF_BA_2500_2999,C21_CF_BA_3000_3999,C21_CF_BA_4000more,C21_CF_BA_Ns,C21_CF_BA_Tot,C21_CF_BNW_Neg_ni_inc,C21_CF_BNW_1_149,C21_CF_BNW_150_399,C21_CF_BNW_400_649,C21_CF_BNW_650_799,C21_CF_BNW_800_1249,C21_CF_BNW_1250_1999,C21_CF_BNW_2000_2499,C21_CF_BNW_2500_2999,C21_CF_BNW_3000_3999,C21_CF_BNW_4000more,C21_CF_BNW_Ns,C21_CF_BNW_Tot,C21_CF_LFns_Neg_ni_inc,C21_CF_LFns_1_149,C21_CF_LFns_150_399,C21_CF_LFns_400_649,C21_CF_LFns_650_799,C21_CF_LFns_800_1249,C21_CF_LFns_1250_1999,C21_CF_LFns_2000_2499,C21_CF_LFns_2500_2999,C21_CF_LFns_3000_3999,C21_CF_LFns_4000more,C21_CF_LFns_Ns,C21_CF_LFns_Tot,C21_C_f_c_Tot_Fi_Neg_ni_inc,C21_C_f_c_Tot_Fi_1_149,C21_C_f_c_Tot_Fi_150_399,C21_C_f_c_Tot_Fi_400_649,C21_CF_c_Tot_Fi_650_799,C21_CF_c_Tot_Fi_800_1249,C21_CF_c_Tot_Fi_1250_1999,C21_CF_c_Tot_Fi_2000_2499,C21_CF_c_Tot_Fi_2500_2999,C21_CF_c_Tot_Fi_3000_3999,C21_CF_c_Tot_Fi_4000more,C21_C_f_with_c_TotFI_Ns,C21_C_f_with_c_Tot_Tot,C21_1PF_F_Neg_ni_inc,C21_1PF_F_1_149,C21_1PF_F_150_399,C21_1PF_F_400_649,C21_1PF_F_650_799,C21_1PF_F_800_1249,C21_1PF_F_1250_1999,C21_1PF_F_2000_2499,C21_1PF_F_2500_2999,C21_1PF_F_3000_3999,C21_1PF_F_4000more,C21_1PF_F_Ns,C21_1PF_F_Tot,C21_1PF_P_Neg_ni_inc,C21_1PF_P_1_149,C21_1PF_P_150_399,C21_1PF_P_400_649,C21_1PF_P_650_799,C21_1PF_P_800_1249,C21_1PF_P_1250_1999,C21_1PF_P_2000_2499,C21_1PF_P_2500_2999,C21_1PF_P_3000_3999,C21_1PF_P_4000more,C21_1PF_P_Ns,C21_1PF_P_Tot,C21_1PF_A_Neg_ni_inc,C21_1PF_A_1_149,C21_1PF_A_150_399,C21_1PF_A_400_649,C21_1PF_A_650_799,C21_1PF_A_800_1249,C21_1PF_A_1250_1999,C21_1PF_A_2000_2499,C21_1PF_A_2500_2999,C21_1PF_A_3000_3999,C21_1PF_A_4000_more,C21_1PF_A_Ns,C21_1PF_A_Tot,C21_1PF_U_Neg_ni_inc,C21_1PF_U_1_149,C21_1PF_U_150_399,C21_1PF_U_400_649,C21_1PF_U_650_799,C21_1PF_U_800_1249,C21_1PF_U_1250_1999,C21_1PF_U_2000_2499,C21_1PF_U_2500_2999,C21_1PF_U_3000_3999,C21_1PF_U_4000_more,C21_1PF_U_Ns,C21_1PF_U_Tot,C21_1PF_N_lf_Fi_Neg_ni_inc,C21_1PF_N_lf_Fi_1_149,C21_1PF_N_lf_Fi_150_399,C21_1PF_N_lf_Fi_400_649,C21_1PF_N_lf_Fi_650_799,C21_1PF_N_lf_Fi_800_1249,C21_1PF_N_lf_Fi_1250_1999,C21_1PF_N_lf_Fi_2000_2499,C21_1PF_N_lf_Fi_2500_2999,C21_1PF_N_lf_Fi_3000_3999,C21_1PF_N_lf_Fi_4000_more,C21_1PF_N_lf_Fi_Ns,C21_1PF_N_the_lf_Tot,C21_1PF_LFns_Neg_ni_inc,C21_1PF_LFns_1_149,C21_1PF_LFns_150_399,C21_1PF_LFns_400_649,C21_1PF_LFns_Fi_650_799,C21_1PF_LFns_Fi_800_1249,C21_1PF_LFns_Fi_1250_1999,C21_1PF_LFns_Fi_2000_2499,C21_1PF_LFns_Fi_2500_2999,C21_1PF_LFns_Fi_3000_3999,C21_1PF_LFns_4000more,C21_1PF_LFns_Ns,C21_1PF_LFns_Tot,C21_1PF_TotFI_Neg_ni_inc,C21_1PF_TotFI_1_149,C21_1PF_TotFI_150_399,C21_1PF_TotFI_400_649,C21_1PF_TotFI_650_799,C21_1PF_TotFI_800_1249,C21_1PF_TotFI_1250_1999,C21_1PF_TotFI_2000_2499,C21_1PF_TotFI_2500_2999,C21_1PF_TotFI_3000_3999,C21_1PF_TotFI_4000more,C21_One_par_f_TotFI_Ns,C21_One_parent_f_Tot_Tot,C21_TotFI_Neg_ni_inc,C21_TotFI_1_149,C21_TotFI_150_399,C21_TotFI_400_649,C21_TotFI_650_799,C21_TotFI_800_1249,C21_TotFI_1250_1999,C21_TotFI_2000_2499,C21_TotFI_2500_2999,C21_TotFI_3000_3999,C21_TotFI_4000_more,C21_TotFI_Ns,C21_Tot_Tot
10102,268,0,0,0,7,3,3,15,3,0,0,11,4,51,0,0,0,0,0,0,6,12,6,25,31,10,95,5,0,8,10,21,35,73,49,24,39,45,23,349,0,0,0,0,0,0,3,3,0,0,3,238,251,11,5,19,36,54,189,748,854,919,1840,3082,608,8352,0,0,0,12,9,108,310,241,90,115,92,97,1080,0,0,11,41,39,100,101,30,19,16,13,14,379,0,0,5,8,0,16,26,10,9,11,6,16,106,0,0,8,20,11,18,9,4,0,0,0,5,67,25,3,45,126,46,143,119,51,29,27,15,56,690,0,0,0,0,0,0,0,0,0,0,0,11,24,29,3,71,207,106,387,564,333,140,172,125,209,2352,142,44,124,406,510,1235,2516,2069,1776,3044,4430,1172,17486
10103,74,0,0,0,0,0,0,0,3,3,0,0,0,15,0,0,0,0,0,5,0,4,3,0,0,0,16,0,6,0,4,3,20,26,14,9,4,0,15,101,0,0,0,0,0,0,0,0,0,0,0,78,83,0,6,6,15,15,108,332,317,247,378,343,189,1954,0,0,0,4,4,41,81,39,16,26,15,19,243,0,0,4,24,29,47,29,14,8,4,6,14,173,0,0,0,7,0,3,3,7,0,0,0,5,20,0,0,3,6,4,3,0,0,0,0,0,0,20,0,5,7,54,18,69,34,14,6,6,0,19,228,0,0,0,0,0,0,0,0,0,0,0,7,14,3,5,15,89,54,159,150,69,35,33,21,59,699,48,26,43,200,334,595,982,702,500,668,559,432,5086
10104,413,0,0,0,0,3,11,34,16,3,7,5,11,100,0,0,0,0,4,11,19,18,10,10,7,11,94,16,3,15,33,49,150,164,77,31,19,21,65,637,0,0,0,0,0,0,5,4,4,0,0,289,305,24,7,19,71,106,505,1436,1083,767,887,602,673,6178,3,0,5,12,35,157,256,123,46,40,25,62,768,0,3,24,116,100,249,179,50,18,5,4,85,841,4,0,3,13,14,28,21,11,4,0,0,12,107,0,0,15,30,9,9,4,0,0,0,4,3,82,31,20,82,235,118,364,226,47,21,9,12,134,1293,0,0,4,0,0,4,6,0,3,0,0,39,55,37,20,132,410,283,811,692,227,95,59,45,331,3151,264,153,283,1146,2159,3717,4940,2486,1536,1582,1145,1682,21096
10105,164,0,0,0,5,4,8,12,11,4,6,10,3,59,0,0,0,0,0,0,7,12,3,6,7,9,47,8,6,6,16,17,59,58,31,17,15,8,20,261,0,0,0,0,0,0,0,0,4,0,0,167,176,11,4,10,40,57,193,699,587,522,721,576,373,3798,0,0,0,8,20,94,161,86,39,36,12,35,503,0,0,9,59,51,106,91,29,10,4,3,17,374,0,0,3,4,6,17,16,3,4,3,0,8,60,0,0,9,16,9,8,6,0,0,3,0,0,57,6,7,38,111,67,169,121,40,7,13,0,52,630,0,0,0,0,0,0,0,0,0,0,0,10,15,5,11,60,196,153,390,400,163,67,58,24,126,1647,113,59,113,435,738,1237,2096,1331,987,1171,912,752,9935
10106,164,0,0,0,0,4,15,16,12,0,10,10,0,57,0,0,0,3,0,0,9,8,4,8,4,5,43,7,0,3,17,25,56,64,26,20,23,10,30,282,0,0,0,0,0,0,5,4,0,0,0,179,194,11,3,12,44,56,215,711,564,465,780,985,465,4306,0,0,0,4,10,76,140,69,35,33,27,46,432,3,0,17,40,53,89,67,38,4,9,8,21,338,0,0,4,8,5,6,14,5,6,0,0,6,49,0,0,5,12,8,10,5,0,0,0,0,8,48,19,6,32,110,48,144,77,22,13,6,4,37,527,4,0,3,0,0,3,0,0,0,0,0,19,26,29,9,62,169,116,324,293,139,57,46,37,136,1422,121,45,109,420,642,1199,1901,1187,856,1303,1512,880,10176
10201,1204,0,0,6,13,13,54,119,67,30,35,35,24,387,0,0,0,0,0,12,70,53,52,61,45,32,333,44,4,18,62,95,287,441,204,116,107,70,123,1575,0,0,0,0,0,4,8,3,0,0,5,540,562,51,11,24,141,211,814,2966,2761,2632,4213,4874,1457,20157,5,0,4,11,38,338,741,502,199,215,158,202,2407,6,6,37,170,210,483,547,162,74,57,35,116,1898,3,0,13,54,74,136,97,45,17,12,12,47,511,12,8,20,42,35,39,40,14,3,0,0,20,227,86,23,164,523,333,813,661,201,102,51,50,231,3239,0,0,0,3,0,8,12,0,0,0,0,45,71,114,34,241,812,688,1813,2093,919,394,340,258,656,8354,547,222,474,1735,3088,5948,9306,5996,4599,6395,7057,3035,48401
10202,993,3,0,0,10,16,54,146,77,28,32,21,32,424,3,0,0,3,0,20,76,61,57,69,38,41,367,38,10,24,72,114,320,515,174,89,64,43,143,1597,0,0,0,5,5,5,9,6,4,5,3,607,650,48,11,41,122,213,904,3509,2950,2623,3325,2522,1480,17746,3,0,3,18,57,408,784,445,201,185,93,202,2408,0,0,39,220,268,612,531,186,75,52,14,127,2124,5,4,12,87,84,193,161,54,15,9,11,53,682,14,4,25,96,49,66,43,6,0,0,6,15,326,128,23,218,739,461,1197,788,184,91,29,28,275,4154,3,0,5,6,0,15,4,0,0,0,0,98,139,153,36,294,1170,913,2491,2314,884,390,278,151,768,9840,519,172,504,2122,3747,6474,9649,6055,4317,4959,3546,3174,45242
10301,204,0,0,0,0,0,6,22,10,3,3,3,6,50,0,0,0,0,0,0,10,9,0,9,6,8,48,7,0,9,16,26,70,81,29,10,15,12,23,304,0,0,0,0,0,0,0,0,0,0,0,230,237,12,4,14,36,55,239,813,723,691,1021,858,495,4963,0,0,0,14,16,152,239,167,56,41,20,64,778,0,0,14,63,62,164,138,34,17,12,8,33,546,3,0,4,4,10,19,14,3,5,4,3,12,90,0,3,15,24,12,13,11,0,0,0,0,8,83,24,7,46,140,80,211,124,39,25,13,0,78,772,0,0,0,0,0,5,0,0,0,0,0,21,29,28,12,74,243,185,570,522,243,92,67,42,217,2302,110,56,139,468,768,1620,2505,1675,1293,1582,1252,1036,12497
10302,178,0,0,4,0,4,9,23,11,3,0,0,3,62,0,0,0,0,0,6,9,8,4,7,7,14,61,12,0,8,27,39,99,123,27,16,13,4,51,412,0,0,0,0,0,4,4,0,0,0,4,242,262,29,7,17,59,95,381,1082,795,626,764,591,646,5094,0,0,5,19,33,155,192,100,26,35,21,59,647,0,0,15,87,85,165,95,23,8,5,3,52,542,0,0,0,8,14,13,12,8,0,3,0,4,66,6,0,23,46,16,23,9,0,0,0,0,8,126,22,6,62,186,119,290,142,37,17,10,13,89,982,0,0,6,5,0,3,0,0,0,0,0,32,50,26,6,101,349,266,649,456,164,55,51,37,243,2412,200,93,186,770,1377,2069,2871,1630,1161,1244,961,1365,13919
10303,226,0,0,0,3,0,9,23,14,4,13,0,11,80,0,0,0,0,0,5,10,7,15,9,6,12,63,9,8,8,25,43,78,99,32,19,12,7,44,384,0,0,0,0,0,0,5,3,0,3,6,228,246,13,5,12,50,84,255,801,724,606,814,788,532,4685,0,0,4,5,16,94,149,97,35,37,24,34,498,0,3,18,80,84,146,95,20,11,8,7,30,506,0,0,4,12,11,18,25,3,4,4,3,0,81,0,0,10,20,9,13,9,4,0,4,0,10,78,25,11,58,179,97,264,136,39,19,15,10,80,924,0,0,0,4,0,0,0,0,0,4,0,23,37,30,11,101,295,219,533,415,160,67,66,47,178,2122,141,74,155,647,1072,1687,2336,1503,1082,1317,1263,1091,12365
