SA4_CODE_2021,Med_age_persns_C2011,Med_age_persns_C2016,Med_age_persns_C2021,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_mortg_rep_mon_C2021,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_person_inc_we_C2021,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_rent_weekly_C2021,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Med_Famly_inc_we_C2021,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Avg_num_p_per_brm_C2021,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Med_tot_hh_inc_wee_C2021,Average_hh_size_C2011,Average_hh_size_C2016,Average_hh_size_C2021
101,42,44,45,1608,1625,1733,551,655,797,220,260,320,1314,1561,2013,0.8,0.8,0.8,1033,1228,1544,2.4,2.4,2.4
102,41,42,43,1820,1750,2000,502,600,727,275,350,400,1284,1560,1954,0.8,0.8,0.8,1003,1258,1507,2.5,2.5,2.5
103,39,41,41,1456,1500,1517,496,594,738,190,245,290,1254,1473,1898,0.8,0.8,0.7,973,1166,1434,2.5,2.4,2.4
104,44,46,46,1452,1500,1595,434,520,637,245,290,350,998,1249,1541,0.8,0.8,0.8,835,1013,1254,2.4,2.4,2.4
105,39,40,39,1200,1278,1300,480,590,743,150,200,250,1121,1386,1787,0.8,0.8,0.8,893,1110,1377,2.4,2.4,2.4
106,38,39,40,1733,1733,1733,527,599,733,250,300,350,1407,1548,1925,0.8,0.8,0.8,1158,1286,1557,2.6,2.6,2.5
107,38,39,40,1950,1950,2167,493,591,753,250,335,400,1413,1679,2109,0.8,0.8,0.8,1116,1352,1684,2.6,2.6,2.5
108,47,50,50,1417,1450,1521,405,491,591,220,275,330,940,1174,1421,0.8,0.8,0.7,774,936,1132,2.3,2.3,2.3
109,41,43,44,1300,1300,1300,501,600,724,175,210,250,1188,1422,1780,0.8,0.8,0.7,921,1116,1341,2.4,2.3,2.3
110,40,41,41,1300,1309,1361,479,579,702,182,240,270,1123,1378,1719,0.8,0.8,0.7,902,1107,1328,2.4,2.4,2.4
111,39,40,40,1733,1733,1950,536,628,793,270,332,390,1443,1670,2129,0.8,0.8,0.8,1133,1331,1676,2.5,2.5,2.5
112,44,46,46,1600,1600,1733,455,550,682,275,310,380,1061,1333,1700,0.8,0.8,0.8,865,1069,1329,2.4,2.4,2.4
113,38,39,39,1387,1365,1387,521,643,776,185,230,270,1263,1517,1898,0.8,0.8,0.8,994,1232,1480,2.5,2.5,2.5
114,46,48,48,1603,1625,1820,463,552,683,231,300,360,1097,1340,1722,0.7,0.7,0.7,895,1091,1357,2.4,2.4,2.4
115,38,39,39,2500,2500,2905,705,801,988,450,560,580,2163,2397,2893,0.8,0.8,0.8,1994,2270,2703,3.1,3.1,3.1
116,32,33,34,2100,2150,2383,566,672,833,300,380,400,1492,1818,2252,0.9,0.9,0.9,1388,1712,2109,3.1,3.2,3.1
117,33,33,34,2500,2500,2700,797,904,1174,440,550,550,2039,2369,2887,1.1,1.1,1.1,1568,1894,2207,2.1,2.2,2.1
118,35,35,37,2817,2900,3298,869,1020,1296,480,590,600,2368,2756,3404,1,1,1,1806,2163,2513,2.3,2.4,2.3
119,36,35,37,2127,2167,2300,484,565,706,340,420,440,1315,1576,1972,1,1.1,1,1169,1431,1734,2.8,2.9,2.8
120,36,36,37,2500,2500,2780,723,828,1032,420,500,500,1985,2282,2757,1,1,1,1662,1964,2250,2.5,2.6,2.5
121,38,38,40,2726,2600,3000,897,1029,1218,474,560,560,2558,2814,3309,0.9,1,0.9,2111,2333,2623,2.6,2.6,2.5
122,39,40,41,2800,2800,3124,779,916,1109,465,575,625,2188,2528,3131,0.9,0.9,0.9,1812,2178,2592,2.6,2.7,2.7
123,34,35,35,1993,2000,2167,591,686,804,280,365,400,1543,1794,2136,0.9,0.9,0.8,1389,1637,1916,3,3,2.9
124,36,37,37,1950,1950,2167,613,715,853,295,370,400,1580,1852,2194,0.8,0.8,0.8,1347,1589,1854,2.7,2.7,2.7
125,33,33,34,2037,2037,2200,501,586,741,340,420,430,1360,1631,2027,1,1.1,1.1,1237,1520,1828,2.9,3,2.8
126,38,37,38,2400,2383,2670,659,760,982,381,475,480,1991,2236,2641,0.9,1,1,1603,1919,2206,2.7,2.7,2.6
127,34,35,35,2000,2000,2200,426,500,620,295,370,405,1235,1489,1850,1,1,1,1171,1429,1713,3.2,3.3,3.2
128,39,40,41,2400,2427,2618,718,836,1017,375,450,500,2013,2312,2757,0.9,0.9,0.9,1672,1979,2286,2.7,2.7,2.7
197,64,58,56,0,0,0,490,540,1649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,37,39,39,0,0,0,349,405,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,40,42,42,1300,1300,1430,482,559,705,200,248,290,1188,1409,1800,0.8,0.8,0.7,935,1098,1376,2.4,2.4,2.4
202,40,42,43,1300,1382,1452,500,593,729,200,255,300,1220,1443,1864,0.8,0.8,0.7,963,1160,1432,2.4,2.4,2.4
203,39,40,40,1517,1560,1733,528,616,787,240,290,350,1366,1615,2100,0.8,0.8,0.8,1079,1287,1658,2.5,2.5,2.5
204,42,44,45,1300,1300,1430,506,599,734,190,231,275,1192,1417,1798,0.8,0.8,0.7,942,1124,1373,2.4,2.4,2.3
205,42,45,46,1300,1300,1343,473,540,653,185,226,270,1155,1338,1636,0.8,0.7,0.7,908,1048,1260,2.4,2.3,2.3
206,33,33,34,2167,2100,2167,796,883,1137,360,408,401,2070,2323,2833,1,1,1,1506,1699,2006,2.1,2.1,2
207,39,39,40,2167,2167,2500,636,707,873,360,401,441,1983,2183,2552,0.9,0.9,0.8,1561,1756,2059,2.6,2.6,2.6
208,39,40,41,2160,2167,2400,691,802,1022,340,391,438,1995,2309,2868,0.9,0.9,0.9,1491,1793,2174,2.5,2.5,2.5
209,36,36,37,1863,1829,2000,558,645,807,300,337,380,1526,1767,2198,0.9,0.9,0.8,1323,1525,1887,2.8,2.8,2.7
210,36,35,35,1733,1733,1924,499,579,732,295,330,380,1366,1598,2031,0.9,0.9,0.9,1210,1422,1791,2.9,2.9,2.9
211,38,39,40,1733,1768,2000,596,674,816,300,350,396,1599,1851,2257,0.8,0.8,0.8,1353,1559,1907,2.7,2.7,2.6
212,35,35,35,1733,1733,1963,516,586,745,295,340,380,1377,1593,2004,0.9,0.9,0.9,1232,1444,1811,2.9,2.9,2.9
213,33,34,34,1733,1733,1900,551,625,786,277,320,361,1427,1644,2077,0.9,0.9,0.9,1278,1486,1867,2.8,2.9,2.9
214,40,42,44,1700,1700,1900,551,643,780,265,310,361,1372,1635,2076,0.8,0.8,0.7,1098,1303,1604,2.5,2.5,2.4
215,42,44,44,1083,1083,1098,466,549,688,160,195,231,1074,1306,1658,0.8,0.8,0.7,853,1014,1274,2.4,2.3,2.3
216,40,43,43,1300,1300,1300,480,565,679,180,220,250,1129,1364,1663,0.8,0.8,0.8,914,1105,1314,2.5,2.4,2.4
217,41,44,45,1258,1300,1300,504,582,715,185,220,250,1217,1411,1768,0.8,0.8,0.7,951,1103,1335,2.4,2.4,2.3
297,48,49,50,0,0,0,1949,9954,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,32,34,37,0,0,0,352,398,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,38,40,42,2032,2000,2000,636,717,837,355,400,420,1668,1902,2245,0.8,0.8,0.8,1417,1602,1890,2.7,2.7,2.6
302,37,37,37,2000,1950,1970,675,772,932,330,370,395,1712,1977,2385,0.8,0.8,0.8,1396,1622,1951,2.5,2.5,2.5
303,34,34,35,2000,2000,2000,634,700,875,350,390,405,1722,1930,2309,0.8,0.8,0.8,1463,1678,2022,2.7,2.7,2.7
304,35,36,38,2167,2134,2167,718,779,969,370,410,420,2170,2322,2790,0.8,0.8,0.8,1805,1971,2316,2.7,2.7,2.7
305,32,33,34,2340,2200,2200,858,938,1132,375,420,425,2349,2495,2968,0.9,0.9,0.9,1763,1921,2155,2.3,2.3,2.2
306,37,39,41,1664,1597,1517,567,642,748,249,280,310,1294,1475,1806,0.9,0.8,0.8,1058,1226,1445,2.5,2.5,2.4
307,39,41,42,1300,1300,1300,504,582,674,200,230,250,1157,1366,1582,0.8,0.8,0.8,955,1129,1280,2.5,2.5,2.4
308,35,36,38,1777,1733,1517,633,664,786,250,250,280,1676,1740,2035,0.8,0.8,0.8,1405,1421,1626,2.6,2.6,2.5
309,38,39,39,2058,1950,1950,570,665,785,355,395,450,1377,1655,2009,0.8,0.8,0.8,1173,1404,1692,2.5,2.6,2.5
310,33,34,35,1733,1603,1600,557,626,749,280,310,335,1348,1523,1869,0.8,0.8,0.8,1190,1362,1615,2.8,2.8,2.7
311,33,34,35,1800,1733,1733,571,629,730,300,335,350,1370,1531,1809,0.8,0.8,0.8,1246,1400,1593,2.9,2.9,2.8
312,35,37,38,2015,1876,1712,709,717,878,285,260,309,1825,1793,2201,0.9,0.8,0.8,1572,1469,1843,2.7,2.5,2.5
