SA4_CODE_2021,C11_15_19_Married_M,C11_15_19_Married_F,C11_15_19_Married_P,C11_15_19_Sep_M,C11_15_19_Sep_F,C11_15_19_Sep_P,C11_15_19_Div_M,C11_15_19_Div_F,C11_15_19_Div_P,C11_15_19_Wid_M,C11_15_19_Wid_F,C11_15_19_Wid_P,C11_15_19_Nvr_marrd_M,C11_15_19_Nvr_marrd_F,C11_15_19_Nvr_marrd_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Married_M,C11_20_24_Married_F,C11_20_24_Married_P,C11_20_24_Sep_M,C11_20_24_Sep_F,C11_20_24_Sep_P,C11_20_24_Div_M,C11_20_24_Div_F,C11_20_24_Div_P,C11_20_24_Wid_M,C11_20_24_Wid_F,C11_20_24_Wid_P,C11_20_24_Nvr_marrd_M,C11_20_24_Nvr_marrd_F,C11_20_24_Nvr_marrd_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_29_Married_M,C11_25_29_Married_F,C11_25_29_Married_P,C11_25_29_Sep_M,C11_25_29_Sep_F,C11_25_29_Sep_P,C11_25_29_Div_M,C11_25_29_Div_F,C11_25_29_Div_P,C11_25_29_Wid_M,C11_25_29_Wid_F,C11_25_29_Wid_P,C11_25_29_Nvr_marrd_M,C11_25_29_Nvr_marrd_F,C11_25_29_Nvr_marrd_P,C11_25_29_Tot_M,C11_25_29_Tot_F,C11_25_29_Tot_P,C11_30_34_Married_M,C11_30_34_Married_F,C11_30_34_Married_P,C11_30_34_Sep_M,C11_30_34_Sep_F,C11_30_34_Sep_P,C11_30_34_Div_M,C11_30_34_Div_F,C11_30_34_Div_P,C11_30_34_Wid_M,C11_30_34_Wid_F,C11_30_34_Wid_P,C11_30_34_Nvr_marrd_M,C11_30_34_Nvr_marrd_F,C11_30_34_Nvr_marrd_P,C11_30_34_Tot_M,C11_30_34_Tot_F,C11_30_34_Tot_P,C11_35_39_Married_M,C11_35_39_Married_F,C11_35_39_Married_P,C11_35_39_Sep_M,C11_35_39_Sep_F,C11_35_39_Sep_P,C11_35_39_Div_M,C11_35_39_Div_F,C11_35_39_Div_P,C11_35_39_Wid_M,C11_35_39_Wid_F,C11_35_39_Wid_P,C11_35_39_Nvr_marrd_M,C11_35_39_Nvr_marrd_F,C11_35_39_Nvr_marrd_P,C11_35_39_Tot_M,C11_35_39_Tot_F,C11_35_39_Tot_P,C11_40_44_Married_M,C11_40_44_Married_F,C11_40_44_Married_P,C11_40_44_Sep_M,C11_40_44_Sep_F,C11_40_44_Sep_P,C11_40_44_Div_M,C11_40_44_Div_F,C11_40_44_Div_P,C11_40_44_Wid_M,C11_40_44_Wid_F,C11_40_44_Wid_P,C11_40_44_Nvr_marrd_M,C11_40_44_Nvr_marrd_F,C11_40_44_Nvr_marrd_P,C11_40_44_Tot_M,C11_40_44_Tot_F,C11_40_44_Tot_P,C11_45_49_Married_M,C11_45_49_Married_F,C11_45_49_Married_P,C11_45_49_Sep_M,C11_45_49_Sep_F,C11_45_49_Sep_P,C11_45_49_Div_M,C11_45_49_Div_F,C11_45_49_Div_P,C11_45_49_Wid_M,C11_45_49_Wid_F,C11_45_49_Wid_P,C11_45_49_Nvr_marrd_M,C11_45_49_Nvr_marrd_F,C11_45_49_Nvr_marrd_P,C11_45_49_Tot_M,C11_45_49_Tot_F,C11_45_49_Tot_P,C11_50_54_Married_M,C11_50_54_Married_F,C11_50_54_Married_P,C11_50_54_Sep_M,C11_50_54_Sep_F,C11_50_54_Sep_P,C11_50_54_Div_M,C11_50_54_Div_F,C11_50_54_Div_P,C11_50_54_Wid_M,C11_50_54_Wid_F,C11_50_54_Wid_P,C11_50_54_Nvr_marrd_M,C11_50_54_Nvr_marrd_F,C11_50_54_Nvr_marrd_P,C11_50_54_Tot_M,C11_50_54_Tot_F,C11_50_54_Tot_P,C11_55_59_Married_M,C11_55_59_Married_F,C11_55_59_Married_P,C11_55_59_Sep_M,C11_55_59_Sep_F,C11_55_59_Sep_P,C11_55_59_Div_M,C11_55_59_Div_F,C11_55_59_Div_P,C11_55_59_Wid_M,C11_55_59_Wid_F,C11_55_59_Wid_P,C11_55_59_Nvr_marrd_M,C11_55_59_Nvr_marrd_F,C11_55_59_Nvr_marrd_P,C11_55_59_Tot_M,C11_55_59_Tot_F,C11_55_59_Tot_P,C11_60_64_Married_M,C11_60_64_Married_F,C11_60_64_Married_P,C11_60_64_Sep_M,C11_60_64_Sep_F,C11_60_64_Sep_P,C11_60_64_Div_M,C11_60_64_Div_F,C11_60_64_Div_P,C11_60_64_Wid_M,C11_60_64_Wid_F,C11_60_64_Wid_P,C11_60_64_Nvr_marrd_M,C11_60_64_Nvr_marrd_F,C11_60_64_Nvr_marrd_P,C11_60_64_Tot_M,C11_60_64_Tot_F,C11_60_64_Tot_P,C11_65_69_Married_M,C11_65_69_Married_F,C11_65_69_Married_P,C11_65_69_Sep_M,C11_65_69_Sep_F,C11_65_69_Sep_P,C11_65_69_Div_M,C11_65_69_Div_F,C11_65_69_Div_P,C11_65_69_Wid_M,C11_65_69_Wid_F,C11_65_69_Wid_P,C11_65_69_Nvr_marrd_M,C11_65_69_Nvr_marrd_F,C11_65_69_Nvr_marrd_P,C11_65_69_Tot_M,C11_65_69_Tot_F,C11_65_69_Tot_P,C11_70_74_Married_M,C11_70_74_Married_F
101,14,14,30,9,7,14,9,0,13,6,5,6,6917,6297,13218,6949,6326,13272,163,394,558,3,43,45,11,10,19,4,8,14,4793,4186,8983,4979,4644,9626,1151,1676,2825,62,134,194,48,95,138,5,11,20,3636,3001,6638,4897,4917,9810,2261,2960,5228,131,184,324,135,217,350,6,25,31,2330,2059,4390,4873,5456,10326,3593,3975,7566,213,303,515,359,529,887,19,44,59,2146,1674,3814,6323,6517,12843,4122,4669,8795,329,437,768,659,900,1558,26,68,91,1967,1497,3467,7109,7572,14677,4622,4689,9321,360,459,817,896,1143,2036,54,132,187,1739,1185,2925,7668,7612,15277,4819,4997,9821,416,447,864,1202,1293,2494,79,211,290,1402,967,2368,7929,7912,15837,4840,4999,9846,388,337,723,1158,1249,2413,126,375,498,927,583,1502,7443,7543,14987,5287,4960,10247,364,268,636,1209,1171,2378,233,554,779,581,342,928,7675,7295,14971,4286,3836,8122,244,158,403,776,726,1503,251,867,1118,372,212,583,5934,5797,11729,3303,2577
102,13,20,31,9,5,15,3,8,14,4,9,15,10885,10122,21008,10912,10161,21072,309,620,929,16,42,56,20,20,38,0,7,3,8393,7763,16154,8734,8444,17178,1905,2833,4741,123,209,324,72,142,214,6,15,18,5661,4971,10634,7767,8166,15931,3772,4624,8395,236,373,606,210,423,636,13,23,33,3637,3097,6734,7861,8547,16411,5369,5878,11247,398,604,1004,530,979,1508,17,58,72,3051,2632,5678,9359,10151,19515,5869,6468,12336,529,778,1309,968,1533,2501,37,121,156,2470,2065,4537,9871,10971,20839,6183,6417,12602,571,779,1349,1408,2053,3461,69,191,257,2070,1613,3683,10302,11049,21349,6349,6570,12918,624,767,1394,1602,2344,3948,115,354,472,1602,1174,2775,10300,11209,21504,6092,6049,12140,514,583,1097,1615,2161,3772,140,477,620,1054,755,1806,9408,10023,19432,6170,5995,12165,444,465,910,1454,2131,3592,243,797,1045,725,529,1259,9042,9923,18967,5349,5042,10392,351,316,670,1189,1596,2788,346,1317,1657,507,355,858,7740,8626,16370,4520,3899
103,19,16,34,6,4,5,5,7,13,6,10,9,6877,6543,13418,6903,6579,13480,254,434,692,24,50,73,12,15,33,5,3,8,5667,4975,10638,5957,5478,11440,1352,1928,3275,55,142,198,48,80,126,3,7,15,3719,3050,6772,5188,5204,10385,2467,2921,5382,145,215,357,139,213,346,3,22,30,2358,1878,4231,5115,5238,10348,3382,3718,7108,226,320,547,329,465,792,12,42,53,1880,1525,3403,5829,6075,11903,3729,3991,7720,292,385,674,568,792,1360,18,93,108,1654,1247,2902,6269,6501,12766,3933,4230,8169,378,408,786,770,895,1669,49,135,179,1496,986,2481,6633,6652,13288,4276,4343,8617,326,353,678,965,1048,2017,82,209,294,1179,699,1877,6820,6650,13478,4246,4192,8432,310,275,584,971,963,1934,120,328,452,803,425,1231,6447,6191,12634,4360,4103,8467,271,251,524,961,983,1939,195,531,729,589,284,867,6373,6151,12527,3574,3103,6671,224,188,411,706,673,1378,260,836,1103,413,206,618,5178,5010,10180,2767,2271
104,9,15,26,8,6,9,5,4,4,0,8,5,4463,4222,8687,4484,4246,8729,144,277,423,15,37,47,8,6,8,0,0,8,2859,2681,5541,3020,3000,6026,642,971,1605,46,69,119,29,52,82,11,11,19,1990,1740,3733,2711,2848,5557,1164,1488,2652,80,128,208,84,158,246,9,14,20,1394,1287,2684,2732,3076,5801,1860,2096,3952,160,224,383,201,360,562,8,34,37,1270,1093,2364,3499,3799,7301,2128,2442,4574,192,306,497,373,627,996,14,60,70,1101,988,2088,3801,4426,8226,2484,2671,5159,211,337,548,612,878,1490,26,109,138,1012,811,1823,4352,4805,9161,2731,3091,5821,304,330,637,830,1080,1909,34,152,188,901,655,1560,4805,5303,10110,3048,3087,6136,265,245,513,914,1009,1923,76,221,304,672,384,1059,4972,4965,9933,3162,3035,6202,269,214,474,882,882,1762,134,389,523,390,217,602,4834,4728,9565,2738,2518,5256,138,126,264,562,595,1156,152,530,679,243,130,371,3832,3895,7728,2117,1799
105,15,7,22,5,3,7,5,3,9,4,4,9,3856,3557,7414,3881,3578,7462,144,256,406,11,26,43,9,0,8,0,4,8,2935,2899,5837,3103,3193,6300,731,1013,1739,40,69,112,26,51,74,3,0,4,2308,2121,4434,3108,3262,6367,1249,1507,2756,67,125,191,68,127,194,5,14,15,1437,1355,2791,2825,3127,5946,1708,1856,3562,124,175,295,202,259,457,8,23,37,1248,1130,2376,3292,3433,6724,1937,2062,3999,157,206,363,302,415,717,13,43,59,1154,991,2146,3561,3724,7289,2113,2275,4383,193,212,397,442,536,970,34,70,105,1079,784,1869,3861,3867,7729,2459,2486,4943,224,248,479,543,647,1191,48,122,170,857,600,1453,4129,4101,8237,2296,2311,4604,228,188,415,583,578,1158,74,220,290,603,315,917,3782,3601,7385,2305,2166,4469,201,152,351,616,517,1130,117,315,435,432,218,648,3670,3361,7029,1882,1671,3555,137,103,237,437,395,833,184,498,679,268,128,395,2907,2785,5690,1498,1303
106,25,10,31,10,3,11,3,0,3,3,8,12,8438,8137,16579,8482,8162,16635,357,675,1034,38,56,93,5,19,29,4,6,13,6952,6107,13058,7358,6861,14225,1946,2719,4664,94,198,294,82,125,210,3,14,16,4885,3956,8839,7013,7016,14024,3560,4079,7631,204,254,460,248,320,564,9,26,32,3162,2426,5587,7176,7104,14282,4480,5037,9515,344,444,785,486,720,1201,17,47,63,2481,1923,4410,7805,8169,15971,4909,5270,10182,434,537,975,784,1118,1898,34,82,117,1962,1458,3423,8123,8472,16593,5184,5293,10477,453,522,971,1044,1340,2384,54,154,211,1566,1049,2616,8311,8356,16664,5382,5464,10846,444,438,872,1200,1497,2699,99,272,365,1137,698,1830,8249,8358,16609,5261,5268,10530,336,313,650,1177,1371,2547,132,404,539,733,421,1153,7645,7776,15420,5383,5119,10508,293,233,526,1062,1242,2303,217,638,854,514,286,796,7471,7517,14988,4444,3916,8355,199,151,353,832,761,1596,278,888,1164,314,180,489,6060,5898,11956,3224,2650
107,17,23,41,4,6,12,12,9,23,3,4,6,9778,9160,18943,9816,9203,19019,252,672,922,25,40,66,10,17,28,7,8,16,9575,8578,18152,9873,9313,19186,2028,3024,5053,78,146,219,65,120,182,0,9,12,6400,5011,11408,8565,8311,16876,4062,4720,8784,195,305,497,239,377,618,10,25,32,3502,2714,6216,8010,8138,16147,5475,5908,11391,312,475,787,480,782,1260,9,31,41,2690,2208,4899,8962,9416,18377,5496,5938,11442,380,568,953,816,1164,1980,28,83,109,2256,1633,3890,8985,9393,18378,5970,6214,12180,437,577,1014,1144,1538,2681,64,172,230,1965,1311,3280,9576,9814,19396,6052,6127,12182,421,533,958,1309,1737,3043,95,285,383,1440,984,2424,9322,9671,18994,5585,5726,11311,381,360,744,1201,1552,2754,122,418,543,829,569,1396,8123,8623,16751,5655,5192,10848,309,274,584,1011,1300,2314,200,685,884,541,293,831,7716,7748,15463,4533,4192,8720,204,178,377,736,965,1700,296,990,1282,366,192,556,6131,6511,12643,3738,3314
108,11,20,35,11,0,11,12,5,19,0,6,9,6269,5903,12172,6304,5943,12249,148,336,476,9,42,52,12,12,21,3,4,14,3818,3456,7272,3986,3847,7834,847,1230,2070,70,142,211,38,81,124,7,12,20,2578,2327,4903,3541,3791,7326,1691,2055,3741,128,234,364,109,173,276,5,11,15,1880,1715,3594,3805,4190,7991,2545,3023,5570,212,367,580,281,547,829,5,47,54,1805,1490,3295,4864,5466,10331,3018,3468,6485,318,436,754,564,882,1440,31,87,117,1665,1369,3036,5589,6249,11840,3506,3922,7427,381,503,885,881,1290,2164,43,119,169,1559,1186,2746,6373,7026,13400,4160,4564,8725,456,520,980,1219,1568,2782,83,266,352,1233,894,2128,7154,7809,14964,4371,4641,9015,425,415,842,1387,1486,2872,112,396,509,941,556,1496,7237,7488,14730,5381,5324,10706,359,319,677,1346,1394,2746,194,595,793,517,382,902,7801,8015,15815,5055,4723,9784,278,203,478,1084,1077,2159,319,1064,1383,402,233,636,7143,7292,14438,4128,3569
109,7,11,14,0,4,7,0,0,5,5,0,3,3941,3627,7572,3958,3639,7594,106,253,353,13,14,32,3,7,7,0,3,4,2813,2739,5552,2934,3026,5950,706,1076,1781,40,67,102,21,50,72,0,3,0,1989,1685,3673,2761,2878,5638,1336,1605,2944,77,108,187,88,107,194,4,10,15,1258,1037,2296,2762,2874,5636,1866,1998,3857,109,183,294,158,278,435,8,14,28,998,805,1800,3144,3281,6421,2014,2236,4250,175,220,393,316,421,740,16,34,47,880,705,1582,3395,3616,7010,2183,2370,4552,197,248,444,400,613,1007,13,64,75,765,519,1287,3557,3807,7372,2532,2662,5199,186,238,426,589,676,1263,39,116,151,624,367,988,3973,4055,8023,2463,2543,4999,187,180,369,625,634,1258,73,193,261,439,220,664,3790,3770,7556,2706,2539,5245,160,146,307,538,509,1045,118,287,403,308,139,448,3833,3624,7452,2170,1963,4133,128,90,221,422,357,777,137,471,614,188,80,269,3044,2964,6009,1759,1536
110,17,20,36,0,6,11,7,3,8,0,5,8,6176,5995,12166,6203,6021,12227,220,485,703,19,43,57,10,8,15,8,8,16,4844,4589,9427,5098,5125,10222,1154,1563,2720,72,135,209,52,92,141,3,19,23,3236,2838,6071,4518,4650,9166,2061,2458,4522,144,204,351,130,181,310,9,18,24,2065,1905,3968,4406,4774,9174,2778,3206,5982,192,307,500,254,410,665,11,33,44,1660,1428,3091,4905,5379,10281,3240,3447,6687,241,328,569,452,632,1088,25,68,97,1494,1250,2747,5453,5729,11179,3483,3741,7228,301,368,670,665,856,1521,37,108,139,1305,919,2226,5792,6001,11788,3807,4121,7924,341,394,732,841,1023,1868,72,181,253,1099,693,1796,6166,6404,12568,3894,3772,7667,293,276,566,900,884,1781,107,292,400,736,453,1190,5932,5673,11604,3944,3752,7699,252,223,469,815,782,1599,155,548,701,533,276,809,5699,5584,11279,3334,3003,6336,190,132,324,567,561,1130,257,767,1023,348,174,527,4695,4647,9341,2631,2260
