SA4_CODE_2021,C16_45_49_Sep_F,C16_45_49_Sep_P,C16_45_49_Div_M,C16_45_49_Div_F,C16_45_49_Div_P,C16_45_49_Wid_M,C16_45_49_Wid_F,C16_45_49_Wid_P,C16_45_49_Nvr_marrd_M,C16_45_49_Nvr_marrd_F,C16_45_49_Nvr_marrd_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Married_M,C16_50_54_Married_F,C16_50_54_Married_P,C16_50_54_Sep_M,C16_50_54_Sep_F,C16_50_54_Sep_P,C16_50_54_Div_M,C16_50_54_Div_F,C16_50_54_Div_P,C16_50_54_Wid_M,C16_50_54_Wid_F,C16_50_54_Wid_P,C16_50_54_Nvr_marrd_M,C16_50_54_Nvr_marrd_F,C16_50_54_Nvr_marrd_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Married_M,C16_55_59_Married_F,C16_55_59_Married_P,C16_55_59_Sep_M,C16_55_59_Sep_F,C16_55_59_Sep_P,C16_55_59_Div_M,C16_55_59_Div_F,C16_55_59_Div_P,C16_55_59_Wid_M,C16_55_59_Wid_F,C16_55_59_Wid_P,C16_55_59_Nvr_marrd_M,C16_55_59_Nvr_marrd_F,C16_55_59_Nvr_marrd_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Married_M,C16_60_64_Married_F,C16_60_64_Married_P,C16_60_64_Sep_M,C16_60_64_Sep_F,C16_60_64_Sep_P,C16_60_64_Div_M,C16_60_64_Div_F,C16_60_64_Div_P,C16_60_64_Wid_M,C16_60_64_Wid_F,C16_60_64_Wid_P,C16_60_64_Nvr_marrd_M,C16_60_64_Nvr_marrd_F,C16_60_64_Nvr_marrd_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_69_Married_M,C16_65_69_Married_F,C16_65_69_Married_P,C16_65_69_Sep_M,C16_65_69_Sep_F,C16_65_69_Sep_P,C16_65_69_Div_M,C16_65_69_Div_F,C16_65_69_Div_P,C16_65_69_Wid_M,C16_65_69_Wid_F,C16_65_69_Wid_P,C16_65_69_Nvr_marrd_M,C16_65_69_Nvr_marrd_F,C16_65_69_Nvr_marrd_P,C16_65_69_Tot_M,C16_65_69_Tot_F,C16_65_69_Tot_P,C16_70_74_Married_M,C16_70_74_Married_F,C16_70_74_Married_P,C16_70_74_Sep_M,C16_70_74_Sep_F,C16_70_74_Sep_P,C16_70_74_Div_M,C16_70_74_Div_F,C16_70_74_Div_P,C16_70_74_Wid_M,C16_70_74_Wid_F,C16_70_74_Wid_P,C16_70_74_Nvr_marrd_M,C16_70_74_Nvr_marrd_F,C16_70_74_Nvr_marrd_P,C16_70_74_Tot_M,C16_70_74_Tot_F,C16_70_74_Tot_P,C16_75_79_Married_M,C16_75_79_Married_F,C16_75_79_Married_P,C16_75_79_Sep_M,C16_75_79_Sep_F,C16_75_79_Sep_P,C16_75_79_Div_M,C16_75_79_Div_F,C16_75_79_Div_P,C16_75_79_Wid_M,C16_75_79_Wid_F,C16_75_79_Wid_P,C16_75_79_Nvr_marrd_M,C16_75_79_Nvr_marrd_F,C16_75_79_Nvr_marrd_P,C16_75_79_Tot_M,C16_75_79_Tot_F,C16_75_79_Tot_P,C16_80_84_Married_M,C16_80_84_Married_F,C16_80_84_Married_P,C16_80_84_Sep_M,C16_80_84_Sep_F,C16_80_84_Sep_P,C16_80_84_Div_M,C16_80_84_Div_F,C16_80_84_Div_P,C16_80_84_Wid_M,C16_80_84_Wid_F,C16_80_84_Wid_P,C16_80_84_Nvr_marrd_M,C16_80_84_Nvr_marrd_F,C16_80_84_Nvr_marrd_P,C16_80_84_Tot_M,C16_80_84_Tot_F,C16_80_84_Tot_P,C16_85_over_Married_M,C16_85_over_Married_F,C16_85_over_Married_P,C16_85_over_Seprtd_M,C16_85_over_Seprtd_F,C16_85_over_Seprtd_P,C16_85_over_Divorce_M,C16_85_over_Divorce_F,C16_85_over_Divorce_P,C16_85_over_Wid_M,C16_85_over_Wid_F,C16_85_over_Wid_P,C16_85_over_Nvr_mard_M,C16_85_over_Nvr_mard_F,C16_85_over_Nvr_mard_P,C16_85_over_Tot_M,C16_85_over_Tot_F,C16_85_over_Tot_P,C16_Tot_Married_M,C16_Tot_Married_F,C16_Tot_Married_P,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Sep_P,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Div_P,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_Wid_P,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_nver_marrie_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_15_19_Married_M,C21_15_19_Married_F,C21_15_19_Married_P,C21_15_19_Sep_M,C21_15_19_Sep_F,C21_15_19_Sep_P,C21_15_19_Div_M,C21_15_19_Div_F,C21_15_19_Div_P,C21_15_19_Wid_M,C21_15_19_Wid_F,C21_15_19_Wid_P,C21_15_19_Nvr_marrd_M,C21_15_19_Nvr_marrd_F,C21_15_19_Nvr_marrd_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Married_M,C21_20_24_Married_F,C21_20_24_Married_P,C21_20_24_Sep_M,C21_20_24_Sep_F,C21_20_24_Sep_P
101,427,823,855,1135,1992,43,124,169,1927,1479,3407,7478,7917,15392,4723,4805,9527,424,477,904,1149,1399,2547,73,213,287,1640,1202,2848,8013,8099,16113,5033,5154,10185,422,378,804,1342,1516,2860,125,340,466,1415,1012,2428,8346,8401,16745,5056,5121,10181,399,351,754,1334,1442,2774,205,559,761,916,607,1520,7903,8081,15987,5358,4746,10109,360,240,601,1303,1238,2541,310,838,1150,582,356,948,7912,7427,15339,4003,3377,7373,223,126,349,697,772,1465,341,1141,1483,328,210,542,5595,5620,11212,2758,1988,4749,145,97,242,412,418,835,412,1358,1772,210,134,341,3939,4000,7940,1605,1030,2640,66,36,103,236,197,435,465,1468,1925,119,88,206,2489,2820,5307,1010,532,1539,44,17,59,105,156,263,690,2501,3191,124,84,210,1966,3296,5263,44918,44527,89448,3201,3161,6360,8381,9682,18063,2708,8673,11381,29811,25018,54825,89015,91061,180076,6,0,13,0,0,5,6,0,7,0,0,6,6682,6075,12761,6696,6085,12785,122,239,364,4,17,21
102,847,1421,1243,1912,3154,54,175,230,2538,2063,4604,10414,11319,21737,6112,6304,12415,670,772,1441,1657,2307,3967,96,307,401,2105,1569,3673,10638,11251,21895,6309,6578,12886,590,752,1338,1772,2514,4283,155,572,729,1614,1198,2804,10432,11609,22044,6257,6150,12405,483,566,1046,1640,2398,4037,229,787,1011,1011,806,1820,9619,10702,20321,6309,6087,12396,463,429,892,1573,2296,3870,357,1250,1613,707,564,1267,9409,10625,20034,5327,4691,10010,325,280,603,1187,1586,2777,535,1815,2352,472,346,815,7840,8717,16557,4032,3200,7227,190,134,324,713,956,1669,635,2236,2873,284,191,475,5855,6722,12568,2572,1794,4371,82,61,149,318,558,876,702,2670,3370,192,169,366,3866,5255,9122,2025,1131,3155,59,45,106,219,395,611,1412,4658,6072,146,180,324,3868,6410,10275,61859,62040,123902,4696,5865,10559,11880,17385,29267,4252,14659,18913,44916,39760,84674,127601,139709,267309,11,10,12,4,6,7,0,0,0,7,3,6,10507,9737,20246,10523,9754,20276,158,310,467,13,27,44
103,412,754,711,950,1659,43,113,154,1665,1205,2871,6588,6688,13278,3911,4252,8154,408,438,842,948,1068,2016,60,183,247,1450,1018,2468,6776,6962,13738,4334,4314,8647,358,367,726,1079,1222,2308,88,324,414,1118,729,1845,6977,6962,13938,4202,4107,8312,321,278,597,1000,1064,2063,160,503,666,782,415,1191,6461,6368,12830,4191,3895,8093,289,259,545,989,1018,2003,288,811,1098,557,311,872,6309,6295,12606,3384,2760,6137,206,151,357,719,643,1363,332,1099,1433,358,219,582,5004,4874,9878,2348,1755,4105,102,74,183,386,386,768,412,1419,1823,256,168,422,3500,3796,7304,1477,1024,2500,67,36,104,167,181,354,442,1543,1987,156,112,263,2307,2899,5208,971,488,1458,22,30,51,79,129,209,659,2468,3123,95,138,232,1825,3247,5070,39641,39216,78864,2898,3136,6033,6985,7998,14982,2536,8587,11121,29544,24708,54254,81603,83643,165244,10,5,15,7,0,7,3,0,5,0,7,6,6660,5995,12658,6682,6010,12689,170,277,450,10,21,39
104,324,580,430,797,1226,13,94,110,1070,971,2038,3947,4646,8592,2515,2699,5218,255,357,609,716,975,1689,51,166,221,1038,796,1833,4577,4993,9571,2785,3106,5888,308,363,672,934,1189,2126,75,252,323,983,686,1667,5085,5590,10675,3186,3162,6346,283,265,551,1028,1094,2129,122,366,490,685,404,1090,5315,5293,10608,3257,3019,6276,262,195,459,910,962,1873,218,598,816,382,246,625,5026,5022,10046,2632,2227,4858,142,99,237,576,609,1183,213,749,963,213,131,348,3776,3810,7586,1874,1484,3354,82,59,145,364,379,740,300,969,1268,126,63,193,2735,2960,5692,1227,829,2062,49,27,80,168,168,334,302,1099,1402,73,52,126,1821,2183,4003,846,424,1278,39,13,53,70,123,195,504,1899,2407,67,59,125,1527,2527,4053,26277,26280,52554,2152,2479,4628,5775,7235,13009,1841,6294,8139,18311,15784,34090,54349,58073,112424,5,0,11,4,0,3,0,3,3,0,0,0,4090,3839,7929,4101,3849,7950,86,157,246,8,17,27
105,224,393,395,503,903,20,74,95,1088,914,2000,3503,3648,7151,2073,2209,4280,233,261,493,511,607,1115,40,111,154,1013,699,1713,3865,3893,7756,2382,2373,4753,232,239,474,580,687,1267,74,164,235,820,577,1397,4090,4046,8135,2125,2128,4258,217,191,404,620,604,1216,109,328,434,564,291,856,3631,3541,7171,2131,1884,4014,220,138,361,559,463,1024,170,471,646,372,193,566,3451,3152,6605,1676,1433,3113,108,89,198,396,346,742,214,640,850,203,112,317,2603,2610,5217,1217,996,2215,71,47,115,228,185,414,238,822,1056,149,73,220,1899,2119,4013,752,492,1245,37,12,49,97,96,191,227,887,1116,87,45,123,1198,1535,2731,556,270,825,12,12,21,68,67,135,365,1290,1651,42,68,107,1032,1712,2742,20383,20106,40487,1731,1832,3566,3907,4188,8097,1478,4851,6334,17418,15240,32656,44925,46228,91150,12,9,15,0,0,0,0,0,0,0,0,0,3391,3120,6518,3408,3133,6541,74,138,212,8,8,15
106,601,1077,1078,1432,2509,49,129,178,1958,1450,3409,8509,8847,17361,5187,5379,10567,486,553,1040,1242,1623,2866,89,249,337,1571,1039,2607,8571,8847,17418,5526,5546,11069,435,456,887,1345,1699,3043,143,433,575,1151,685,1833,8596,8809,17405,5406,5316,10719,353,332,686,1286,1518,2804,218,589,809,696,447,1142,7957,8203,16165,5387,4948,10340,314,225,538,1119,1332,2452,331,996,1328,513,302,815,7667,7806,15472,4314,3594,7913,177,133,312,808,786,1594,373,1221,1598,276,163,443,5953,5897,11852,2823,2116,4944,104,78,183,396,434,834,447,1445,1890,175,108,286,3950,4182,8138,1719,1118,2837,55,23,79,168,204,370,434,1659,2090,88,77,168,2462,3076,5541,987,521,1504,33,13,38,101,149,248,667,2565,3234,90,101,188,1881,3342,5218,51396,51228,102625,3757,4158,7914,8933,11184,20119,2826,9446,12276,36362,30855,67218,103272,106874,210149,8,9,16,7,3,4,0,0,0,0,0,0,9186,8371,17559,9202,8383,17584,202,332,532,12,36,46
107,574,1034,979,1526,2509,55,130,184,2079,1617,3694,9183,9699,18878,5935,6083,12022,465,561,1031,1344,1724,3069,88,260,353,1879,1299,3175,9721,9930,19649,5996,6030,12022,431,522,954,1414,1906,3319,136,433,565,1401,945,2346,9372,9842,19210,5594,5593,11185,371,352,718,1194,1722,2913,190,670,855,796,549,1347,8145,8877,17024,5506,5053,10559,302,268,571,1047,1343,2388,283,994,1281,491,306,792,7630,7959,15588,4370,3868,8237,181,168,351,684,935,1627,390,1356,1748,314,180,498,5944,6510,12454,3265,2698,5962,119,77,196,433,528,954,481,1882,2365,194,120,313,4500,5301,9801,2293,1516,3814,52,48,99,182,295,477,575,2119,2697,116,77,185,3210,4057,7270,1583,798,2376,37,22,58,98,203,299,920,3488,4409,82,105,183,2719,4609,7330,57701,57852,115551,3401,4077,7478,8701,12296,20998,3183,11496,14680,43915,37114,81025,116894,122835,239723,6,12,18,4,0,3,0,0,0,4,3,3,9692,9410,19095,9703,9419,19124,154,300,455,7,16,18
108,515,880,767,1102,1868,51,115,162,1752,1349,3107,6106,6630,12739,3699,4177,7879,447,499,949,1064,1479,2538,72,219,284,1654,1184,2836,6932,7555,14489,4415,4943,9357,480,536,1021,1436,1801,3237,131,406,542,1289,930,2221,7752,8616,16371,4958,5236,10195,469,397,862,1582,1654,3230,203,663,866,986,595,1582,8202,8546,16742,6062,5785,11845,457,354,812,1514,1635,3147,340,956,1295,537,400,938,8914,9119,18034,5170,4453,9622,290,179,472,1118,1093,2209,440,1533,1976,397,236,638,7416,7494,14906,3657,2923,6582,172,111,285,672,578,1248,568,1787,2354,219,132,352,5286,5534,10822,2320,1578,3899,68,46,110,328,320,650,590,1962,2556,120,108,226,3424,4012,7442,1690,866,2555,37,33,74,160,218,380,1036,3486,4522,97,117,217,3030,4715,7745,43025,43001,86027,3502,3823,7329,9459,11207,20667,3471,11253,14727,26103,22642,48745,85557,91932,177491,5,0,15,0,0,0,0,0,0,3,3,5,6255,5931,12189,6267,5942,12206,115,180,292,11,16,30
109,224,437,400,557,953,20,57,75,862,699,1563,3552,3715,7266,2181,2377,4560,193,210,404,548,703,1253,37,81,113,761,486,1245,3716,3864,7579,2606,2688,5294,192,226,418,629,755,1384,72,182,258,602,389,989,4094,4241,8339,2573,2609,5186,216,188,400,665,665,1333,97,286,382,435,244,678,3987,3992,7984,2698,2484,5182,195,146,341,574,574,1148,167,448,618,296,123,422,3932,3778,7715,2099,1866,3964,115,72,186,371,379,745,208,630,841,181,92,276,2980,3037,6016,1528,1233,2758,66,45,109,256,202,462,243,844,1084,116,78,194,2208,2397,4601,980,655,1630,25,20,48,99,102,204,267,907,1179,69,61,124,1440,1738,3187,659,319,980,8,5,14,66,67,129,469,1497,1966,67,54,117,1268,1942,3205,23274,23357,46636,1608,1723,3328,4069,4717,8787,1608,4998,6605,15577,13423,28994,46135,48221,94356,5,0,4,0,3,3,0,3,4,0,5,4,3599,3479,7074,3602,3485,7090,61,120,177,4,12,15
110,367,688,568,729,1295,29,101,129,1436,1183,2621,5552,5771,11325,3413,3712,7128,334,408,744,800,975,1773,53,161,217,1290,928,2219,5892,6186,12080,3731,4025,7755,338,400,734,933,1126,2059,104,298,408,1077,710,1782,6178,6564,12737,3820,3619,7443,311,278,588,974,959,1933,150,410,563,718,453,1167,5969,5721,11695,3723,3410,7132,271,208,478,861,851,1713,237,794,1031,476,256,729,5566,5514,11081,3049,2592,5641,161,121,281,546,563,1110,346,1055,1400,313,154,466,4418,4485,8897,2183,1773,3954,98,62,158,287,310,591,390,1356,1742,220,127,341,3169,3621,6792,1378,809,2191,51,20,74,142,136,279,388,1367,1752,98,95,195,2060,2435,4493,798,413,1213,27,17,35,64,108,176,515,2141,2657,65,106,173,1471,2780,4253,34485,34411,68894,2624,2881,5507,5921,6807,12730,2264,7835,10102,25862,22839,48698,71154,74767,145924,5,11,12,3,4,11,0,0,0,3,6,12,5756,5770,11526,5771,5790,11556,142,251,396,13,25,33
