SA4_CODE_2021,C11_15_19_Mar_RegM_M,C11_15_19_Mar_RegM_F,C11_15_19_Mar_RegM_P,C11_15_19_Mar_DFM_M,C11_15_19_Mar_DFM_F,C11_15_19_Mar_DFM_P,C11_15_19_N_mar_M,C11_15_19_N_mar_F,C11_15_19_N_mar_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Mar_RegM_M,C11_20_24_Mar_RegM_F,C11_20_24_Mar_RegM_P,C11_20_24_Mar_DFM_M,C11_20_24_Mar_DFM_F,C11_20_24_Mar_DFM_P,C11_20_24_N_mar_M,C11_20_24_N_mar_F,C11_20_24_N_mar_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_29_Mar_RegM_M,C11_25_29_Mar_RegM_F,C11_25_29_Mar_RegM_P,C11_25_29_Mar_DFM_M,C11_25_29_Mar_DFM_F,C11_25_29_Mar_DFM_P,C11_25_29_N_mar_M,C11_25_29_N_mar_F,C11_25_29_N_mar_P,C11_25_29_Tot_M,C11_25_29_Tot_F,C11_25_29_Tot_P,C11_30_34_Mar_RegM_M,C11_30_34_Mar_RegM_F,C11_30_34_Mar_RegM_P,C11_30_34_Mar_DFM_M,C11_30_34_Mar_DFM_F,C11_30_34_Mar_DFM_P,C11_30_34_N_mar_M,C11_30_34_N_mar_F,C11_30_34_N_mar_P,C11_30_34_Tot_M,C11_30_34_Tot_F,C11_30_34_Tot_P,C11_35_39_Mar_RegM_M,C11_35_39_Mar_RegM_F,C11_35_39_Mar_RegM_P,C11_35_39_Mar_DFM_M,C11_35_39_Mar_DFM_F,C11_35_39_Mar_DFM_P,C11_35_39_N_mar_M,C11_35_39_N_mar_F,C11_35_39_N_mar_P,C11_35_39_Tot_M,C11_35_39_Tot_F,C11_35_39_Tot_P,C11_40_44_Mar_RegM_M,C11_40_44_Mar_RegM_F,C11_40_44_Mar_RegM_P,C11_40_44_Mar_DFM_M,C11_40_44_Mar_DFM_F,C11_40_44_Mar_DFM_P,C11_40_44_N_mar_M,C11_40_44_N_mar_F,C11_40_44_N_mar_P,C11_40_44_Tot_M,C11_40_44_Tot_F,C11_40_44_Tot_P,C11_45_49_Mar_RegM_M,C11_45_49_Mar_RegM_F,C11_45_49_Mar_RegM_P,C11_45_49_Mar_DFM_M,C11_45_49_Mar_DFM_F,C11_45_49_Mar_DFM_P,C11_45_49_N_mar_M,C11_45_49_N_mar_F,C11_45_49_N_mar_P,C11_45_49_Tot_M,C11_45_49_Tot_F,C11_45_49_Tot_P,C11_50_54_Mar_RegM_M,C11_50_54_Mar_RegM_F,C11_50_54_Mar_RegM_P,C11_50_54_Mar_DFM_M,C11_50_54_Mar_DFM_F,C11_50_54_Mar_DFM_P,C11_50_54_N_mar_M,C11_50_54_N_mar_F,C11_50_54_N_mar_P,C11_50_54_Tot_M,C11_50_54_Tot_F,C11_50_54_Tot_P,C11_55_59_Mar_RegM_M,C11_55_59_Mar_RegM_F,C11_55_59_Mar_RegM_P,C11_55_59_Mar_DFM_M,C11_55_59_Mar_DFM_F,C11_55_59_Mar_DFM_P,C11_55_59_N_mar_M,C11_55_59_N_mar_F,C11_55_59_N_mar_P,C11_55_59_Tot_M,C11_55_59_Tot_F,C11_55_59_Tot_P,C11_60_64_Mar_RegM_M,C11_60_64_Mar_RegM_F,C11_60_64_Mar_RegM_P,C11_60_64_Mar_DFM_M,C11_60_64_Mar_DFM_F,C11_60_64_Mar_DFM_P,C11_60_64_N_mar_M,C11_60_64_N_mar_F,C11_60_64_N_mar_P,C11_60_64_Tot_M,C11_60_64_Tot_F,C11_60_64_Tot_P,C11_65_69_Mar_RegM_M,C11_65_69_Mar_RegM_F,C11_65_69_Mar_RegM_P,C11_65_69_Mar_DFM_M,C11_65_69_Mar_DFM_F,C11_65_69_Mar_DFM_P,C11_65_69_N_mar_M,C11_65_69_N_mar_F,C11_65_69_N_mar_P,C11_65_69_Tot_M,C11_65_69_Tot_F,C11_65_69_Tot_P,C11_70_74_Mar_RegM_M,C11_70_74_Mar_RegM_F,C11_70_74_Mar_RegM_P,C11_70_74_Mar_DFM_M,C11_70_74_Mar_DFM_F,C11_70_74_Mar_DFM_P,C11_70_74_N_mar_M,C11_70_74_N_mar_F,C11_70_74_N_mar_P,C11_70_74_Tot_M,C11_70_74_Tot_F,C11_70_74_Tot_P,C11_75_79_Mar_RegM_M,C11_75_79_Mar_RegM_F,C11_75_79_Mar_RegM_P,C11_75_79_Mar_DFM_M,C11_75_79_Mar_DFM_F,C11_75_79_Mar_DFM_P,C11_75_79_N_mar_M,C11_75_79_N_mar_F,C11_75_79_N_mar_P,C11_75_79_Tot_M,C11_75_79_Tot_F,C11_75_79_Tot_P,C11_80_84_Mar_RegM_M,C11_80_84_Mar_RegM_F,C11_80_84_Mar_RegM_P,C11_80_84_Mar_DFM_M,C11_80_84_Mar_DFM_F,C11_80_84_Mar_DFM_P,C11_80_84_N_mar_M,C11_80_84_N_mar_F,C11_80_84_N_mar_P,C11_80_84_Tot_M,C11_80_84_Tot_F,C11_80_84_Tot_P,C11_85_over_Mar_RegM_M,C11_85_over_Mar_RegM_F,C11_85_over_Mar_RegM_P,C11_85_over_Mar_DFM_M,C11_85_over_Mar_DFM_F,C11_85_over_Mar_DFM_P,C11_85_over_N_mar_M,C11_85_over_N_mar_F,C11_85_over_N_mar_P,C11_85_over_Tot_M,C11_85_over_Tot_F,C11_85_over_Tot_P,C11_Tot_Marr_reg_marr_M,C11_Tot_Marr_reg_marr_F,C11_Tot_Marr_reg_marr_P,C11_Tot_Mar_de_fa_mar_M,C11_Tot_Mar_de_fa_mar_F,C11_Tot_Mar_de_fa_mar_P,C11_Tot_N_mar_M,C11_Tot_N_mar_F,C11_Tot_N_mar_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_15_19_Mar_RegM_M,C16_15_19_Mar_RegM_F,C16_15_19_Mar_RegM_P,C16_15_19_Mar_DFM_M,C16_15_19_Mar_DFM_F,C16_15_19_Mar_DFM_P,C16_15_19_N_mar_M,C16_15_19_N_mar_F
101,5,14,14,69,203,271,6094,5477,11567,6165,5693,11855,127,358,486,686,1069,1762,3262,2593,5856,4081,4020,8103,983,1518,2498,1089,1153,2236,1994,1715,3710,4060,4386,8450,2012,2719,4728,885,908,1792,1338,1315,2653,4233,4943,9178,3255,3708,6964,947,854,1800,1368,1451,2823,5577,6017,11595,3693,4312,8010,903,976,1880,1642,1723,3363,6240,7018,13257,4150,4340,8487,823,819,1640,1802,1864,3662,6772,7014,13789,4293,4524,8815,777,742,1517,1930,1938,3870,7003,7202,14204,4252,4421,8669,589,552,1144,1683,1795,3479,6524,6769,13288,4599,4332,8931,505,374,875,1615,1724,3340,6715,6431,13142,3724,3355,7086,257,173,429,1188,1535,2725,5175,5062,10240,2898,2274,5172,145,81,220,915,1496,2408,3954,3847,7803,1929,1369,3301,51,36,83,766,1496,2260,2746,2901,5647,1255,755,2007,30,14,46,606,1494,2102,1893,2261,4156,598,310,907,9,3,9,512,1459,1970,1111,1771,2884,37776,38301,76079,7756,7957,15715,26712,29080,55794,72245,75341,147592,0,8,11,63,149,216,5696,5299
102,4,11,15,89,189,270,9946,9189,19134,10036,9384,19420,275,581,862,936,1466,2401,6515,5504,12024,7728,7553,15282,1774,2646,4418,1685,1820,3504,3471,3065,6542,6929,7534,14460,3509,4357,7866,1370,1364,2730,2241,2266,4513,7116,7990,15112,5020,5571,10587,1311,1224,2537,2219,2777,4991,8546,9569,18116,5501,6142,11654,1193,1180,2377,2353,3018,5373,9053,10348,19399,5760,6091,11851,1062,1018,2075,2622,3299,5926,9444,10407,19856,5863,6154,12016,829,868,1698,2708,3448,6150,9396,10469,19865,5621,5581,11197,652,624,1275,2299,3100,5398,8571,9304,17870,5574,5451,11029,452,416,866,2121,3167,5290,8150,9033,17186,4779,4485,9265,333,237,570,1779,3045,4823,6894,7759,14654,4076,3544,7625,195,106,298,1377,2805,4189,5652,6457,12108,3160,2474,5631,89,58,151,1151,2961,4113,4398,5494,9900,2309,1565,3879,56,36,90,1153,3006,4165,3522,4609,8130,1351,719,2070,23,16,39,1080,3166,4247,2450,3896,6350,54581,55370,109954,10263,10624,20890,43039,53824,96868,107888,119823,227708,0,13,10,65,147,208,9283,8931
103,4,15,16,92,278,370,5725,5306,11033,5822,5598,11413,207,404,611,919,1271,2186,3589,2886,6477,4711,4556,9270,1195,1778,2970,1224,1222,2447,1949,1738,3687,4372,4737,9109,2203,2758,4963,876,828,1709,1285,1277,2561,4363,4867,9234,3004,3465,6475,728,723,1453,1332,1437,2771,5067,5629,10700,3375,3758,7133,714,731,1443,1451,1594,3052,5539,6092,11630,3583,3956,7540,626,626,1251,1707,1622,3326,5919,6204,12117,3871,4000,7875,557,484,1040,1679,1636,3317,6114,6121,12239,3769,3805,7576,394,333,735,1572,1486,3062,5744,5631,11372,3860,3642,7500,320,245,568,1483,1624,3105,5660,5510,11174,3139,2730,5875,163,141,303,1245,1534,2780,4549,4400,8953,2461,2031,4487,110,45,155,941,1538,2482,3515,3618,7130,1800,1391,3191,29,26,54,761,1475,2242,2596,2899,5495,1168,707,1876,20,9,33,599,1498,2099,1785,2219,4001,535,271,809,3,0,7,417,1452,1868,953,1732,2686,34190,34720,68906,6771,6969,13743,25742,28115,53861,66701,69808,136509,5,7,10,76,193,271,5490,5069
104,3,8,16,47,129,179,4021,3735,7749,4071,3868,7943,116,243,354,383,577,960,2008,1773,3774,2504,2589,5095,564,897,1460,557,572,1134,1186,1143,2326,2310,2608,4918,1057,1393,2452,492,537,1027,857,930,1782,2404,2858,5269,1692,1950,3642,544,574,1117,890,1034,1931,3127,3560,6685,1963,2318,4277,515,556,1074,953,1269,2217,3429,4134,7565,2237,2473,4710,495,550,1045,1137,1433,2568,3863,4463,8326,2479,2830,5310,488,531,1014,1365,1520,2886,4327,4882,9209,2784,2783,5573,453,396,846,1267,1333,2598,4504,4514,9019,2819,2690,5510,372,261,632,1119,1276,2393,4311,4224,8534,2421,2234,4654,175,135,312,791,1102,1893,3387,3470,6856,1892,1586,3473,106,74,177,631,1095,1731,2629,2755,5383,1463,1115,2582,52,36,90,510,1044,1553,2028,2199,4227,973,570,1538,30,18,49,415,1011,1425,1415,1600,3015,505,231,733,14,4,15,377,1100,1476,888,1336,2224,22964,23331,46294,4729,4943,9673,17511,20787,38295,45209,49058,94267,0,8,15,35,87,121,3678,3341
105,8,10,17,80,183,267,3212,2883,6088,3299,3075,6373,102,235,338,565,792,1354,1802,1687,3485,2468,2713,5179,605,910,1520,736,745,1481,1183,1233,2422,2526,2896,5420,1072,1406,2479,509,519,1027,798,963,1759,2375,2889,5265,1495,1715,3208,506,473,973,822,960,1782,2817,3144,5959,1685,1872,3551,441,480,925,920,1040,1964,3050,3388,6442,1850,2057,3909,393,422,810,1117,1030,2150,3362,3513,6872,2130,2237,4367,371,340,716,1105,1109,2209,3608,3683,7288,1992,2085,4073,253,221,477,1023,949,1977,3266,3253,6519,2006,1907,3921,210,151,362,1006,914,1919,3223,2974,6193,1635,1453,3091,115,84,196,795,902,1702,2547,2443,4992,1316,1127,2441,66,33,94,629,901,1534,2015,2054,4071,924,694,1612,25,18,44,479,904,1382,1419,1618,3041,659,389,1042,16,4,21,373,834,1205,1048,1227,2267,277,123,395,5,0,8,247,725,969,523,844,1371,17751,18214,35965,4284,4461,8749,15500,17035,32537,37536,39712,77248,5,0,4,39,84,128,2764,2586
106,4,9,22,83,253,340,7651,7134,14786,7742,7403,15144,287,625,907,1155,1680,2836,4799,3791,8585,6233,6090,12327,1765,2526,4291,1653,1717,3368,2674,2234,4905,6088,6473,12563,3246,3862,7107,1198,1145,2342,1897,1670,3571,6347,6670,13017,4113,4780,8897,1112,1044,2159,1771,1878,3648,6999,7705,14703,4527,4995,9525,1005,955,1960,1798,2028,3834,7332,7986,15315,4730,5005,9736,843,779,1618,1925,2054,3981,7494,7842,15341,4916,5120,10031,637,636,1275,1934,2027,3960,7485,7783,15271,4754,4798,9553,466,431,901,1635,1883,3526,6859,7116,13973,4819,4576,9399,362,292,656,1487,1909,3400,6670,6787,13453,3962,3497,7454,223,145,368,1189,1639,2829,5380,5279,10660,2906,2397,5295,101,73,173,894,1560,2458,3907,4028,7932,2063,1541,3607,61,42,102,670,1588,2259,2797,3176,5972,1261,780,2036,29,21,47,558,1618,2176,1844,2419,4267,619,292,907,16,4,22,477,1549,2028,1113,1843,2959,43963,44813,88772,8952,9219,18163,31367,34575,65947,84282,88606,172880,0,3,5,89,197,288,7467,7013
107,3,15,20,55,153,206,8991,8329,17317,9042,8496,17538,214,624,838,811,1247,2057,7725,6427,14152,8750,8297,17054,1861,2833,4692,1553,1639,3191,4228,3190,7411,7645,7652,15299,3771,4476,8244,1159,1091,2253,2381,2074,4453,7314,7635,14952,5163,5683,10849,959,961,1924,2178,2288,4465,8298,8937,17236,5163,5697,10863,901,849,1748,2226,2440,4666,8283,8986,17272,5649,5937,11584,775,817,1595,2493,2567,5057,8922,9316,18236,5668,5799,11464,664,636,1305,2277,2692,4966,8607,9125,17734,5147,5343,10493,446,372,814,1888,2318,4201,7477,8032,15514,5201,4766,9966,314,257,571,1538,2126,3670,7057,7143,14204,4135,3825,7959,185,151,336,1219,2002,3221,5543,5975,11519,3451,3058,6510,104,83,183,1007,2037,3041,4559,5172,9733,2725,2067,4792,56,31,87,828,2162,2993,3624,4259,7875,1827,1141,2975,25,15,45,753,2190,2942,2606,3353,5965,934,450,1382,12,12,23,674,2062,2734,1622,2517,4142,50942,51700,102639,8027,8301,16328,40393,44904,85298,99363,104910,204275,0,14,12,85,147,235,8822,8170
108,4,10,9,74,183,254,5667,5149,10814,5743,5342,11087,125,313,436,535,816,1354,2606,2205,4810,3272,3334,6600,755,1149,1901,754,826,1584,1451,1485,2930,2956,3459,6414,1527,1947,3476,660,672,1333,1121,1281,2400,3303,3909,7212,2337,2831,5167,717,713,1425,1262,1552,2818,4320,5089,9408,2765,3271,6032,745,756,1501,1472,1827,3298,4977,5854,10830,3209,3665,6876,711,748,1454,1816,2134,3951,5733,6546,12284,3708,4212,7920,668,731,1403,2001,2241,4240,6376,7183,13561,3920,4169,8090,625,564,1194,1930,2009,3937,6476,6745,13227,4752,4741,9494,514,423,933,1641,2010,3649,6909,7170,14078,4433,4195,8628,349,253,606,1482,2042,3523,6262,6497,12758,3713,3185,6903,213,153,363,1167,1918,3088,5089,5253,10347,2799,2159,4957,106,57,159,1011,1962,2970,3909,4177,8087,1964,1280,3249,58,28,84,857,2045,2899,2878,3353,6231,1066,495,1557,25,11,36,787,2107,2898,1877,2612,4495,37077,37626,74706,6750,6943,13693,26275,31962,58232,70103,76531,146636,5,0,4,47,123,170,5355,4984
109,0,3,3,60,118,174,3440,3081,6524,3500,3203,6706,90,222,309,432,633,1068,1938,1687,3620,2457,2542,5001,635,987,1617,606,615,1221,1167,1026,2190,2405,2624,5032,1212,1499,2709,468,420,885,768,753,1525,2445,2673,5117,1728,1864,3595,378,409,794,717,797,1511,2829,3074,5900,1840,2096,3935,390,378,769,828,928,1756,3066,3399,6464,1992,2187,4182,348,374,723,868,984,1845,3207,3540,6744,2286,2429,4716,300,331,633,986,977,1963,3574,3737,7314,2203,2277,4486,272,229,498,895,894,1784,3364,3395,6763,2358,2225,4584,194,139,327,798,831,1628,3345,3194,6541,1849,1684,3532,108,75,184,649,805,1445,2601,2559,5160,1504,1331,2833,65,42,114,567,861,1429,2139,2238,4377,1095,845,1942,28,19,47,403,856,1254,1522,1723,3242,786,467,1257,16,8,24,399,840,1240,1196,1318,2515,369,175,547,3,3,7,291,844,1127,664,1020,1685,19949,20288,40240,3671,3780,7453,14698,16164,30863,38319,40237,78558,6,7,8,53,97,153,2986,2803
110,3,11,19,108,271,390,4996,4666,9660,5109,4950,10064,199,445,643,803,1135,1939,2977,2527,5511,3981,4112,8091,1027,1444,2472,1037,1076,2114,1778,1681,3455,3841,4204,8041,1806,2278,4087,780,727,1507,1221,1382,2602,3804,4382,8186,2538,2977,5517,679,632,1308,1185,1370,2550,4401,4981,9387,2918,3195,6114,604,648,1254,1305,1462,2771,4834,5310,10137,3153,3451,6607,583,573,1157,1453,1512,2965,5191,5533,10724,3391,3753,7147,491,485,967,1592,1641,3236,5476,5876,11356,3436,3363,6794,380,308,689,1433,1410,2843,5246,5084,10334,3494,3357,6851,281,229,507,1271,1420,2691,5044,5003,10044,2943,2633,5577,163,107,265,1019,1358,2374,4124,4092,8218,2287,1992,4273,91,55,149,876,1378,2259,3253,3421,6679,1675,1126,2799,45,29,75,638,1377,2008,2354,2530,4881,973,582,1561,13,13,24,471,1428,1897,1460,2024,3482,484,209,691,12,5,12,380,1330,1709,870,1548,2415,30326,30822,61148,6073,6285,12353,22598,25942,48535,58989,63047,122041,9,10,19,77,194,273,4644,4176
