SA4_CODE_2021,Netherlands_C11_P,Netherlands_C16_M,Netherlands_C16_F,Netherlands_C16_P,Netherlands_C21_M,Netherlands_C21_F,Netherlands_C21_P,New_Zealand_C11_M,New_Zealand_C11_F,New_Zealand_C11_P,New_Zealand_C16_M,New_Zealand_C16_F,New_Zealand_C16_P,New_Zealand_C21_M,New_Zealand_C21_F,New_Zealand_C21_P,Pakistan_C11_M,Pakistan_C11_F,Pakistan_C11_P,Pakistan_C16_M,Pakistan_C16_F,Pakistan_C16_P,Pakistan_C21_M,Pakistan_C21_F,Pakistan_C21_P,Philippines_C11_M,Philippines_C11_F,Philippines_C11_P,Philippines_C16_M,Philippines_C16_F,Philippines_C16_P,Philippines_C21_M,Philippines_C21_F,Philippines_C21_P,Poland_C11_M,Poland_C11_F,Poland_C11_P,Poland_C16_M,Poland_C16_F,Poland_C16_P,Poland_C21_M,Poland_C21_F,Poland_C21_P,Singapore_C11_M,Singapore_C11_F,Singapore_C11_P,Singapore_C16_M,Singapore_C16_F,Singapore_C16_P,Singapore_C21_M,Singapore_C21_F,Singapore_C21_P,South_Africa_C11_M,South_Africa_C11_F,South_Africa_C11_P,South_Africa_C16_M,South_Africa_C16_F,South_Africa_C16_P,South_Africa_C21_M,South_Africa_C21_F,South_Africa_C21_P,Sri_Lanka_C11_M,Sri_Lanka_C11_F,Sri_Lanka_C11_P,Sri_Lanka_C16_M,Sri_Lanka_C16_F,Sri_Lanka_C16_P,Sri_Lanka_C21_M,Sri_Lanka_C21_F,Sri_Lanka_C21_P,Taiwan_C11_M,Taiwan_C11_F,Taiwan_C11_P,Taiwan_C16_M,Taiwan_C16_F,Taiwan_C16_P,Taiwan_C21_M,Taiwan_C21_F,Taiwan_C21_P,Thailand_C11_M,Thailand_C11_F,Thailand_C11_P,Thailand_C16_M,Thailand_C16_F,Thailand_C16_P,Thailand_C21_M,Thailand_C21_F,Thailand_C21_P,Unitd_Kingdom_C11_M,Unitd_Kingdom_C11_F,Unitd_Kingdom_C11_P,Unitd_Kingdom_C16_M,Unitd_Kingdom_C16_F,Unitd_Kingdom_C16_P,Unitd_Kingdom_C21_M,Unitd_Kingdom_C21_F,Unitd_Kingdom_C21_P,Unit_Sts_Amer_C11_M,Unit_Sts_Amer_C11_F,Unit_Sts_Amer_C11_P,Unit_Sts_Amer_C16_M,Unit_Sts_Amer_C16_F,Unit_Sts_Amer_C16_P,Unit_Sts_Amer_C21_M,Unit_Sts_Amer_C21_F,Unit_Sts_Amer_C21_P,Vietnam_C11_M,Vietnam_C11_F,Vietnam_C11_P,Vietnam_C16_M,Vietnam_C16_F,Vietnam_C16_P,Vietnam_C21_M,Vietnam_C21_F,Vietnam_C21_P,Born_elsewhere_C11_M,Born_elsewhere_C11_F,Born_elsewhere_C11_P,Born_elsewhere_C16_M,Born_elsewhere_C16_F,Born_elsewhere_C16_P,Born_elsewhere_C21_M,Born_elsewhere_C21_F,Born_elsewhere_C21_P,Country_birt_ns_C11_M,Country_birt_ns_C11_F,Country_birt_ns_C11_P,Country_birt_ns_C16_M,Country_birt_ns_C16_F,Country_birt_ns_C16_P,Country_birt_ns_C21_M,Country_birt_ns_C21_F,Country_birt_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
101,870,396,407,806,356,396,753,1239,1250,2488,1337,1268,2613,1452,1418,2873,55,43,95,90,57,143,162,106,269,199,470,668,292,658,948,487,890,1377,109,137,239,86,126,210,89,122,207,37,67,106,53,63,116,70,80,152,227,237,464,297,280,572,399,404,802,70,66,136,97,83,181,124,109,234,17,25,45,32,67,97,45,90,143,50,143,199,78,205,281,105,342,447,4392,4491,8884,4394,4368,8761,4521,4502,9021,347,393,738,392,428,822,460,531,988,99,96,188,96,97,193,99,130,229,2390,2202,4585,2362,2340,4701,2708,2724,5434,6202,5694,11895,9166,9154,18319,8302,7919,16226,103618,104203,207821,109125,109717,218842,119088,119720,238810
102,1123,483,518,1003,446,507,955,2639,2774,5412,2666,2837,5507,2946,2917,5863,46,34,78,75,60,134,115,88,201,344,935,1280,511,1242,1749,746,1750,2487,139,152,292,152,181,339,188,246,431,63,85,149,83,111,192,103,136,236,690,681,1372,774,837,1614,1017,1084,2100,86,82,166,124,114,235,162,141,306,19,32,49,44,71,118,42,75,115,85,266,355,136,425,563,199,654,856,8922,9197,18116,8887,9091,17974,9223,9335,18560,467,464,930,535,517,1053,614,645,1252,76,88,166,126,185,307,161,271,431,2946,3078,6021,3357,3546,6905,3935,4390,8323,8230,8529,16755,10153,11153,21304,8264,8934,17199,150699,161483,312181,158767,168970,327736,167980,178618,346596
103,502,213,242,463,210,227,434,959,886,1848,939,895,1825,972,915,1885,17,12,26,52,39,82,114,78,188,157,363,528,252,518,767,425,689,1117,46,75,124,55,59,117,42,66,102,18,35,61,22,37,66,37,55,94,212,227,438,264,274,531,323,317,641,64,67,125,71,86,159,125,107,236,13,19,24,19,28,44,17,37,50,35,75,111,56,123,185,79,234,315,2313,2366,4677,2210,2341,4550,2232,2321,4558,151,157,303,150,172,327,204,225,429,65,43,107,106,96,204,107,110,216,1171,1021,2199,1123,1007,2133,1283,1228,2512,6044,5527,11571,9591,9777,19366,7996,7711,15707,98324,98412,196738,102700,103463,206158,106203,106759,212962
104,506,243,229,466,220,235,459,822,927,1747,845,913,1765,935,1008,1938,13,14,26,33,36,74,28,23,43,48,301,350,83,393,475,138,522,663,30,41,68,29,45,76,34,53,85,16,17,34,20,23,43,30,34,69,173,208,378,215,220,436,301,307,606,17,15,35,28,28,56,43,32,74,7,16,30,54,79,137,36,88,128,28,74,103,39,141,189,63,205,275,2652,2666,5316,2572,2607,5185,2621,2630,5251,163,165,326,184,213,392,220,260,480,20,27,55,28,49,77,62,69,126,1014,1112,2132,1145,1341,2489,1478,1731,3213,3216,3135,6351,5433,5624,11062,4897,4902,9795,63791,66812,130605,66581,69703,136287,71497,74634,146127
105,175,69,88,150,63,78,145,408,434,846,388,408,794,379,365,746,22,11,33,62,45,107,125,81,209,74,203,271,148,316,460,261,483,741,12,25,39,7,14,26,7,16,23,9,19,26,10,17,27,6,17,24,76,98,182,80,116,200,101,132,237,62,63,126,85,85,174,105,94,197,3,9,11,6,18,28,13,30,45,7,39,49,11,47,59,31,85,116,791,748,1541,714,715,1428,664,672,1342,68,90,156,61,81,143,54,92,152,21,18,40,33,38,70,47,47,91,534,419,954,522,437,959,593,520,1113,3874,3537,7414,5959,5901,11858,6682,6662,13349,56507,57085,113593,56471,57306,113778,57315,58251,115566
106,624,278,265,547,274,279,558,1551,1423,2973,1550,1522,3078,1784,1696,3479,44,37,82,72,39,107,125,74,198,161,557,717,321,773,1092,468,1133,1602,73,99,175,72,86,151,80,86,165,25,38,63,23,47,66,43,64,110,403,370,774,471,423,899,604,558,1163,46,35,81,56,55,112,81,74,157,18,25,43,26,48,70,30,76,106,55,149,203,69,233,307,143,411,560,3805,3778,7581,3847,3794,7643,4238,4257,8498,229,249,478,239,285,522,299,355,656,63,32,97,91,90,184,152,170,320,1188,1218,2401,1336,1325,2660,1739,1779,3522,6574,6240,12812,9644,9872,19520,7561,7033,14587,120901,122350,243248,130636,132780,263419,145140,146804,291946
107,1175,517,556,1074,477,524,1000,1376,1403,2777,1504,1575,3078,1671,1659,3336,114,68,187,204,96,304,352,184,540,284,839,1118,380,1005,1385,531,1293,1823,229,319,551,194,279,473,192,286,478,52,89,145,64,95,163,101,117,216,367,362,722,447,435,884,552,568,1122,127,133,260,184,162,339,170,175,341,37,55,90,44,85,131,45,77,122,198,400,600,219,521,740,259,710,968,7753,8518,16270,7437,8094,15532,7399,7921,15324,344,429,774,424,468,889,502,602,1105,359,398,759,472,574,1050,486,639,1121,7620,7604,15230,7604,7853,15452,7843,8420,16258,6513,6153,12671,8564,8756,17324,6606,6613,13222,136182,139799,275983,144487,149008,293498,154066,159771,313842
108,780,387,365,754,354,375,728,1131,1193,2330,1183,1255,2442,1286,1427,2713,8,8,23,19,14,34,47,23,73,80,381,455,133,577,704,254,798,1049,50,52,104,48,66,117,59,83,138,19,44,63,23,42,59,32,51,84,199,233,438,253,280,532,342,373,714,31,29,63,42,37,81,59,61,118,0,10,12,18,22,44,13,37,42,27,105,136,40,172,212,76,279,351,4255,4516,8767,4251,4425,8675,4566,4617,9188,213,199,420,253,251,506,295,335,628,32,41,74,35,59,97,68,115,182,1081,1110,2196,1251,1276,2532,1501,1579,3076,5497,5579,11072,8637,9010,17652,7907,7993,15902,97966,103140,201110,103299,108903,212197,111336,117699,229035
109,411,205,196,400,187,196,382,528,513,1036,590,528,1123,571,567,1140,15,13,27,24,25,50,58,28,86,103,251,349,157,338,491,257,474,731,27,39,64,20,29,48,14,23,38,7,14,23,15,21,37,16,28,44,106,113,218,116,122,231,130,144,277,35,36,71,73,81,154,76,71,144,0,13,10,39,33,68,7,25,35,15,61,70,23,95,119,36,136,170,1399,1429,2830,1309,1372,2677,1350,1417,2765,71,91,163,78,94,173,77,112,193,22,13,41,19,28,50,53,72,122,597,609,1208,681,725,1408,873,967,1839,3173,2906,6075,5306,5382,10685,5147,4828,9973,54549,55766,110320,57057,58738,115802,60918,62639,123552
110,334,158,141,301,135,130,263,639,682,1329,712,715,1432,726,734,1456,20,9,31,58,29,83,92,45,130,123,294,422,357,605,961,444,684,1126,18,25,44,29,22,47,17,22,39,34,53,86,37,53,90,20,33,53,176,173,352,210,215,425,210,241,450,35,43,77,76,71,147,86,101,192,8,8,22,92,98,191,120,124,240,32,60,93,36,86,121,54,142,195,1658,1682,3337,1549,1583,3126,1517,1579,3099,240,271,513,244,270,516,232,296,528,52,48,101,73,90,166,237,258,493,833,719,1552,898,877,1776,1062,998,2059,5247,5246,10493,8754,9156,17913,9250,9330,18579,86906,89286,176197,89259,92299,181559,91262,94298,185560
