SA4_CODE_2021,C16_C_Lat_Da_Saint_0_14,C16_C_Lat_Da_Saint_15_24,C16_C_Lat_Da_Saint_25_34,C16_C_Lat_Da_Saint_35_44,C16_C_Lat_Da_Saint_45_54,C16_C_Lat_Da_Saint_55_64,C16_C_Lat_Da_Saint_65_74,C16_C_Lat_Da_Saint_75_84,C16_C_Lat_Da_Saint_85ov,C16_C_Lat_Da_Saint_Tot,C16_C_Luthe_0_14,C16_C_Luthe_15_24,C16_C_Luthe_25_34,C16_C_Luthe_35_44,C16_C_Luthe_45_54,C16_C_Luthe_55_64,C16_C_Luthe_65_74,C16_C_Luthe_75_84,C16_C_Luthe_85ov,C16_C_Luthe_Tot,C16_C_Ori_Orth_0_14,C16_C_Ori_Orth_15_24,C16_C_Ori_Orth_25_34,C16_C_Ori_Orth_35_44,C16_C_Ori_Orth_45_54,C16_C_Ori_Orth_55_64,C16_C_Ori_Orth_65_74,C16_C_Ori_Orth_75_84,C16_C_Ori_Orth_85ov,C16_C_Ori_Orth_Tot,C16_C_Oth_Prot_0_14,C16_C_Oth_Prot_15_24,C16_C_Oth_Prot_25_34,C16_C_Oth_Prot_35_44,C16_C_Oth_Prot_45_54,C16_C_Oth_Prot_55_64,C16_C_Oth_Prot_65_74,C16_C_Oth_Prot_75_84,C16_C_Oth_Prot_85ov,C16_C_Oth_Prot_Tot,C16_C_Pentec_0_14,C16_C_Pentec_15_24,C16_C_Pentec_25_34,C16_C_Pentec_35_44,C16_C_Pentec_45_54,C16_C_Pentec_55_64,C16_C_Pentec_65_74,C16_C_Pentec_75_84,C16_C_Pentec_85ov,C16_C_Pentec_Tot,C16_C_Pres_Ref_0_14,C16_C_Pres_Ref_15_24,C16_C_Pres_Ref_25_34,C16_C_Pres_Ref_35_44,C16_C_Pres_Ref_45_54,C16_C_Pres_Ref_55_64,C16_C_Pres_Ref_65_74,C16_C_Pres_Ref_75_84,C16_C_Pres_Ref_85ov,C16_C_Pres_Ref_Tot,C16_C_Sal_Army_0_14,C16_C_Sal_Army_15_24,C16_C_Sal_Army_25_34,C16_C_Sal_Army_35_44,C16_C_Sal_Army_45_54,C16_C_Sal_Army_55_64,C16_C_Sal_Army_65_74,C16_C_Sal_Army_75_84,C16_C_Sal_Army_85ov,C16_C_Sal_Army_Tot,C16_C_Sev_day_Adv_0_14,C16_C_Sev_day_Adv_15_24,C16_C_Sev_day_Adv_25_34,C16_C_Sev_day_Adv_35_44,C16_C_Sev_day_Adv_45_54,C16_C_Sev_day_Adv_55_64,C16_C_Sev_day_Adv_65_74,C16_C_Sev_day_Adv_75_84,C16_C_Sev_day_Adv_85ov,C16_C_Sev_day_Adv_Tot,C16_C_Unit_Chur_0_14,C16_C_Unit_Chur_15_24,C16_C_Unit_Chur_25_34,C16_C_Unit_Chur_35_44,C16_C_Unit_Chur_45_54,C16_C_Unit_Chur_55_64,C16_C_Unit_Chur_65_74,C16_C_Unit_Chur_75_84,C16_C_Unit_Chur_85ov,C16_C_Unit_Chur_Tot,C16_Chr_Ch_nfd_0_14,C16_Chr_Ch_nfd_15_24,C16_Chr_Ch_nfd_25_34,C16_Chr_Ch_nfd_35_44,C16_Chr_Ch_nfd_45_54,C16_Chr_Ch_nfd_55_64,C16_Chr_Ch_nfd_65_74,C16_Chr_Ch_nfd_75_84,C16_Chr_Ch_nfd_85ov,C16_Chr_Ch_nfd_Tot,C16_Chr_Oth_Ch_0_14,C16_Chr_Oth_Ch_15_24,C16_Chr_Oth_Ch_25_34,C16_Chr_Oth_Ch_35_44,C16_Chr_Oth_Ch_45_54,C16_Chr_Oth_Ch_55_64,C16_Chr_Oth_Ch_65_74,C16_Chr_Oth_Ch_75_84,C16_Chr_Oth_Ch_85ov,C16_Chr_Oth_Ch_Tot,C16_Chr_Tot_0_14,C16_Chr_Tot_15_24,C16_Chr_Tot_25_34,C16_Chr_Tot_35_44,C16_Chr_Tot_45_54,C16_Chr_Tot_55_64,C16_Chr_Tot_65_74,C16_Chr_Tot_75_84,C16_Chr_Tot_85ov,C16_Chr_Tot_Tot,C16_Hinduism_0_14,C16_Hinduism_15_24,C16_Hinduism_25_34,C16_Hinduism_35_44,C16_Hinduism_45_54,C16_Hinduism_55_64,C16_Hinduism_65_74,C16_Hinduism_75_84,C16_Hinduism_85ov,C16_Hinduism_Tot,C16_Islam_0_14,C16_Islam_15_24,C16_Islam_25_34,C16_Islam_35_44,C16_Islam_45_54,C16_Islam_55_64,C16_Islam_65_74,C16_Islam_75_84,C16_Islam_85ov,C16_Islam_Tot,C16_Judaism_0_14,C16_Judaism_15_24,C16_Judaism_25_34,C16_Judaism_35_44,C16_Judaism_45_54,C16_Judaism_55_64,C16_Judaism_65_74,C16_Judaism_75_84,C16_Judaism_85ov,C16_Judaism_Tot,C16_OR_AusAborTrad_0_14,C16_OR_AusAborTrad15_24,C16_OR_AusAborTrad25_34,C16_OR_AusAborTrad35_44,C16_OR_AusAborTrad45_54,C16_OR_AusAborTrad55_64,C16_OR_AusAborTrad65_74,C16_OR_AusAborTrad75_84,C16_OR_AusAborTrad85ov,C16_OR_AusAborTrade_Tot,C16_OR_Sikh_0_14,C16_OR_Sikh_15_24,C16_OR_Sikh_25_34,C16_OR_Sikh_35_44,C16_OR_Sikh_45_54,C16_OR_Sikh_55_64,C16_OR_Sikh_65_74,C16_OR_Sikh_75_84,C16_OR_Sikh_85ov,C16_OR_Sikh_Tot,C16_OR_Ot_Re_Gr_0_14,C16_OR_Ot_Re_Gr_15_24,C16_OR_Ot_Re_Gr_25_34,C16_OR_Ot_Re_Gr_35_44,C16_OR_Ot_Re_Gr_45_54,C16_OR_Ot_Re_Gr_55_64,C16_OR_Ot_Re_Gr_65_74,C16_OR_Ot_Re_Gr_75_84,C16_OR_Ot_Re_Gr_85ov,C16_OR_Ot_Re_Gr_Tot,C16_OthRel_Tot_0_14,C16_OthRel_Tot_15_24,C16_OthRel_Tot_25_34,C16_OthRel_Tot_35_44,C16_OthRel_Tot_45_54,C16_OthRel_Tot_55_64,C16_OthRel_Tot_65_74,C16_OthRel_Tot_75_84,C16_OthRel_Tot_85ov,C16_OthRel_Tot_Tot,C16_SBOSB_N_RA_0_14,C16_SBOSB_N_RA_15_24,C16_SBOSB_N_RA_25_34,C16_SBOSB_N_RA_35_44,C16_SBOSB_N_RA_45_54,C16_SBOSB_N_RA_55_64,C16_SBOSB_N_RA_65_74,C16_SBOSB_N_RA_75_84,C16_SBOSB_N_RA_85ov,C16_SBOSB_N_RA_Tot
101,64,37,40,25,29,30,25,12,0,263,78,52,59,105,169,207,158,119,64,1012,17,0,15,8,8,6,3,0,0,56,50,34,35,46,116,95,94,53,19,546,234,153,132,144,147,194,93,35,7,1140,357,249,256,446,886,1220,1219,704,322,5672,80,44,43,53,80,109,82,48,11,553,85,54,54,45,51,63,49,28,15,452,823,581,478,694,1134,1383,1402,825,337,7660,791,440,427,505,597,643,435,178,41,4063,20,6,7,11,33,26,37,16,4,166,20232,12535,10636,14108,19260,20538,18237,9933,4039,129519,198,74,393,171,69,46,28,4,3,980,386,121,344,171,105,63,30,5,0,1223,18,8,13,18,18,31,25,8,3,140,27,0,7,10,5,7,4,0,0,60,117,47,233,72,17,22,4,4,3,513,67,59,84,123,145,115,61,17,3,682,216,109,324,197,169,146,64,23,9,1255,13985,7668,7858,7817,8256,8293,5298,1817,593,61594
102,181,92,90,103,86,89,73,46,8,769,59,33,36,65,112,111,142,129,62,755,44,9,39,35,18,23,15,14,0,206,685,409,317,330,414,384,305,176,56,3081,873,388,446,466,410,447,304,106,28,3467,646,409,393,762,1228,1640,1738,1233,606,8652,98,77,70,72,109,155,174,107,36,890,254,168,137,169,206,216,145,87,33,1415,1231,975,754,993,1396,1586,1730,1204,640,10506,1531,950,884,859,1010,920,548,240,100,7045,49,49,28,45,58,44,49,23,11,356,32663,20954,17421,22643,28081,28850,26907,16762,7499,201778,248,96,283,235,137,85,50,21,5,1155,290,115,176,190,122,69,42,19,4,1032,27,33,23,39,59,50,71,38,12,351,21,10,18,14,15,3,0,0,0,81,60,23,97,47,3,12,4,0,0,246,118,101,119,146,173,147,56,15,3,867,196,130,235,204,187,160,61,12,3,1197,22292,13557,13846,12447,11066,9162,6030,2597,1085,92081
103,60,32,24,30,26,41,19,5,6,247,53,38,39,48,95,83,89,83,41,573,22,9,25,11,10,0,5,0,0,84,217,59,106,132,126,136,108,56,29,961,437,246,209,206,243,235,153,57,16,1799,877,496,507,833,1175,1490,1452,847,434,8106,57,48,49,66,74,118,99,43,24,576,73,39,41,48,44,54,53,27,14,400,1431,972,966,1068,1532,1805,1713,1062,495,11048,982,470,453,500,529,484,357,161,48,3974,17,10,11,19,9,17,19,9,0,102,25623,14867,13361,15357,18952,19423,16967,10041,4130,138720,159,54,210,149,65,26,19,3,0,691,130,54,120,101,41,27,15,5,0,487,3,4,5,7,11,12,11,3,7,53,23,7,3,11,10,4,0,0,0,61,60,9,73,39,3,6,5,5,0,197,40,75,71,85,65,65,36,14,0,445,119,94,147,136,77,79,41,18,0,707,11124,6542,6287,5173,4775,4194,2820,982,261,42161
104,23,13,23,4,30,30,37,14,10,185,21,14,17,22,55,56,70,55,25,327,7,6,3,4,10,0,0,0,0,35,40,26,13,38,56,87,77,65,34,436,385,207,164,163,193,247,144,71,13,1584,547,370,354,446,910,1147,1236,734,353,6091,64,42,33,44,58,79,87,42,16,459,63,35,29,52,42,62,49,43,15,387,452,295,263,388,597,894,1040,649,274,4856,632,381,287,376,391,528,311,123,46,3075,29,16,11,17,20,20,20,4,3,137,10964,6687,5398,7405,10682,13017,12138,7216,2946,76461,73,25,76,76,27,27,16,6,0,324,163,117,74,69,60,22,16,4,0,523,17,6,6,10,22,14,10,6,4,98,15,6,12,7,5,7,4,0,0,64,306,157,368,196,131,120,53,29,13,1367,45,44,57,89,86,80,46,9,3,454,366,206,432,285,230,207,101,35,14,1884,9931,5571,5187,5103,5062,5600,3452,1315,469,41702
105,31,12,11,18,17,9,20,3,4,128,79,64,48,48,75,84,73,41,16,523,22,0,24,11,10,0,0,0,0,67,51,12,26,35,61,65,52,49,33,386,175,102,107,93,124,127,58,35,10,829,430,253,304,427,606,860,749,447,197,4268,49,41,34,58,61,91,59,44,21,454,88,27,33,43,43,42,46,33,15,377,756,488,542,575,893,1150,1000,624,334,6366,450,221,233,245,254,241,182,82,27,1932,9,4,3,4,14,16,4,7,0,52,13663,7587,7644,7856,10329,11019,8916,5408,2206,74623,110,37,272,112,31,28,4,4,4,601,120,28,125,73,33,12,9,6,0,403,6,0,6,0,4,8,7,0,0,35,40,11,22,13,10,10,4,3,0,114,11,8,56,10,8,4,0,0,0,95,12,27,27,27,30,30,17,3,0,180,64,44,112,54,38,34,23,4,0,382,6251,3657,3807,2870,2616,2376,1427,562,170,23743
106,133,61,61,49,65,68,40,15,9,504,46,41,38,44,79,82,65,50,13,463,10,3,15,14,0,9,0,6,0,55,215,80,94,147,190,203,177,86,42,1234,538,345,257,294,319,258,157,52,11,2237,758,505,535,948,1349,1584,1527,865,346,8421,136,114,89,110,141,194,151,75,26,1045,138,87,61,95,91,99,82,53,17,735,1546,1188,1080,1389,1897,2183,2058,1106,471,12920,1254,651,635,657,686,613,431,163,41,5128,30,9,9,17,24,33,39,24,0,197,30859,18490,17231,20837,23898,24035,20589,10759,4011,170704,203,56,192,150,70,42,16,7,0,729,147,68,139,103,65,45,27,3,3,597,17,8,6,20,14,23,18,0,3,111,11,10,8,9,5,7,0,0,0,51,44,15,83,27,12,5,4,0,0,180,62,60,98,110,131,96,40,10,0,607,117,85,184,146,146,101,45,10,0,836,17463,9948,10352,7937,7211,5964,3826,1362,475,64537
107,125,59,41,80,49,33,31,15,8,440,78,79,61,80,188,232,202,180,111,1212,83,20,62,66,25,12,7,11,0,289,80,61,98,69,91,117,123,94,50,780,699,383,437,374,374,350,184,84,20,2902,570,529,438,599,1055,1408,1322,883,420,7215,86,83,83,83,96,142,141,92,44,838,79,44,34,55,48,37,34,21,13,367,1579,1175,826,988,1336,1640,1502,1041,443,10527,1683,1084,1071,1156,1135,1018,744,339,101,8326,29,18,16,23,21,38,26,18,4,203,29855,20346,17196,21399,24811,24696,20587,13466,5797,178149,253,243,359,250,145,91,72,22,7,1453,1537,858,942,850,495,253,227,86,18,5276,20,8,11,25,12,19,28,8,3,141,29,4,10,4,17,7,3,0,0,71,22,14,51,21,3,10,5,0,0,126,118,97,128,142,138,99,51,16,8,795,173,115,187,165,161,112,58,18,8,992,17780,14774,13644,10817,9528,7762,4398,1865,693,81256
108,60,25,24,37,51,57,62,40,31,382,26,23,18,30,58,92,115,89,21,481,14,8,11,9,13,0,5,0,0,57,84,40,32,77,96,133,162,99,58,775,372,190,177,197,218,309,199,99,27,1782,443,311,283,488,1051,1632,1891,1226,570,7901,150,92,65,104,143,192,223,133,58,1164,304,173,149,140,204,198,168,125,53,1525,1014,788,596,819,1363,1939,2245,1402,640,10812,954,538,455,539,664,725,521,255,83,4724,5,3,7,8,14,27,23,11,7,117,18376,10936,8500,12278,17638,21970,23824,13967,5893,133387,80,24,106,87,41,42,21,7,0,407,59,15,51,41,29,17,11,6,0,230,13,4,8,15,9,16,32,13,0,112,23,18,11,12,10,16,4,4,0,98,23,3,33,16,3,5,3,0,0,80,50,59,59,76,109,99,39,14,5,514,101,83,109,95,122,118,45,23,5,692,12938,7066,6489,6057,6521,7441,5448,2257,818,55046
109,49,29,27,19,23,16,21,9,0,193,389,234,173,231,299,353,337,212,116,2344,8,4,6,9,0,3,0,0,0,27,25,14,14,12,26,43,42,24,15,215,263,132,136,137,119,124,57,40,5,1007,399,314,225,378,729,1060,1103,672,311,5187,30,20,10,31,25,49,52,35,11,261,58,21,31,36,35,44,55,13,6,303,658,515,421,599,929,1386,1126,769,338,6748,468,262,226,252,278,316,227,114,23,2163,11,8,3,10,3,3,14,0,0,52,11592,6906,5890,7288,9588,11172,10012,5910,2446,70815,242,100,293,173,79,45,25,9,0,975,103,26,81,83,20,8,3,0,0,328,0,0,3,0,7,0,9,6,0,37,44,27,15,17,13,10,6,3,3,137,75,10,140,40,6,11,0,3,0,284,36,27,43,45,39,29,15,3,0,234,148,65,194,103,59,49,26,6,3,651,7354,4733,4534,3762,3569,3248,2138,899,285,30516
110,44,15,23,31,23,25,23,7,0,193,63,37,40,59,64,63,51,44,11,434,4,3,10,3,4,0,4,0,0,29,29,31,28,34,77,54,54,29,13,336,481,183,194,241,188,226,141,45,9,1710,743,512,508,802,1321,1670,1534,965,432,8493,171,116,83,132,143,170,113,70,24,1014,123,59,70,56,87,79,80,45,17,624,940,600,526,683,1043,1254,1169,760,280,7252,799,411,397,407,434,442,360,152,43,3443,36,13,18,21,23,22,28,3,0,167,21453,12824,11357,13251,16763,17732,15309,9078,3374,121144,126,71,291,110,44,27,16,0,0,688,246,67,226,138,51,21,13,0,0,759,9,0,3,10,5,9,5,0,0,54,16,25,11,7,12,8,0,4,0,84,28,18,74,10,8,9,0,0,0,139,34,77,52,69,97,62,25,11,6,427,73,115,143,92,115,74,34,8,3,647,10131,6464,5813,4256,3889,3742,2337,830,249,37713
