SA4_CODE_2021,C16_Rel_NS_0_14,C16_Rel_NS_15_24,C16_Rel_NS_25_34,C16_Rel_NS_35_44,C16_Rel_NS_45_54,C16_Rel_NS_55_64,C16_Rel_NS_65_74,C16_Rel_NS_75_84,C16_Rel_NS_85ov,C16_Rel_NS_Tot,C16_Tot_0_14,C16_Tot_15_24,C16_Tot_25_34,C16_Tot_35_44,C16_Tot_45_54,C16_Tot_55_64,C16_Tot_65_74,C16_Tot_75_84,C16_Tot_85ov,C16_Tot_Tot,C21_Buddhism_0_14,C21_Buddhism_15_24,C21_Buddhism_25_34,C21_Buddhism_35_44,C21_Buddhism_45_54,C21_Buddhism_55_64,C21_Buddhism_65_74,C21_Buddhism_75_84,C21_Buddhism_85ov,C21_Buddhism_Tot,C21_Christ_Angli_0_14,C21_Christ_Angl_15_24,C21_Christ_Angl_25_34,C21_Christ_Angl_35_44,C21_Christ_Angl_45_54,C21_Christ_Angl_55_64,C21_Christ_Angl_65_74,C21_Christ_Angl_75_84,C21_Christ_Anglic_85ov,C21_Christ_Anglic_Tot,C21_Chr_Ass_Apo_0_14,C21_Chr_Ass_Apo_15_24,C21_Chr_Ass_Apo_25_34,C21_Chr_Ass_Apo_35_44,C21_Chr_Ass_Apo_45_54,C21_Chr_Ass_Apo_55_64,C21_Chr_Ass_Apo_65_74,C21_Chr_Ass_Apo_75_84,C21_Chr_Ass_Apo_85ov,C21_Chr_Ass_Apo_Tot,C21_Chr_Bapt_0_14,C21_Chr_Bapt_15_24,C21_Chr_Bapt_25_34,C21_Chr_Bapt_35_44,C21_Chr_Bapt_45_54,C21_Chr_Bapt_55_64,C21_Chr_Bapt_65_74,C21_Chr_Bapt_75_84,C21_Chr_Bapt_85ov,C21_Chr_Bapt_Tot,C21_Chr_Breth_0_14,C21_Chr_Bret_15_24,C21_Chr_Bret_25_34,C21_Chr_Bret_35_44,C21_Chr_Bret_45_54,C21_Chr_Bret_55_64,C21_Chr_Bret_65_74,C21_Chr_Bret_75_84,C21_Chr_Breth_85ov,C21_Chr_Bret_Tot,C21_Chr_Cath_0_14,C21_Chr_Cath_15_24,C21_Chr_Cath_25_34,C21_Chr_Cath_35_44,C21_Chr_Cath_45_54,C21_Chr_Cath_55_64,C21_Chr_Cath_65_74,C21_Chr_Cath_75_84,C21_Chr_Catho_85ov,C21_Chr_Catho_Tot,C21_C_Chur_Christ_0_14,C21_C_Chur_Christ_15_24,C21_C_Chur_Christ_25_34,C21_C_Chur_Christ_35_44,C21_C_Chur_Christ_45_54,C21_C_Chur_Christ_55_64,C21_C_Chur_Christ_65_74,C21_C_Chur_Christ_75_84,C21_C_Chur_Christ_85ov,C21_C_Chur_Christ_Tot,C21_C_East_Ortho_0_14,C21_C_East_Ortho_15_24,C21_C_East_Ortho_25_34,C21_C_East_Ortho_35_44,C21_C_East_Ortho_45_54,C21_C_East_Ortho_55_64,C21_C_East_Ortho_65_74,C21_C_East_Ortho_75_84,C21_C_East_Ortho_85ov,C21_C_East_Ortho_Tot,C21_C_Jeh_Wit_0_14,C21_C_Jeh_Wit_15_24,C21_C_Jeh_Wit_25_34,C21_C_Jeh_Wit_35_44,C21_C_Jeh_Wit_45_54,C21_C_Jeh_Wit_55_64,C21_C_Jeh_Wit_65_74,C21_C_Jeh_Wit_75_84,C21_C_Jeh_Wit_85ov,C21_C_Jeh_Wit_Tot,C21_C_La_Da_Sai_0_14,C21_C_La_Da_Sa_15_24,C21_C_La_Da_Sa_25_34,C21_C_La_Da_Sa_35_44,C21_C_La_Da_Sa_45_54,C21_C_La_Da_Sa_55_64,C21_C_La_Da_Sa_65_74,C21_C_La_Da_Sa_75_84,C21_C_Lat_Da_Sa_85ov,C21_C_Lat_Da_Sa_Tot,C21_C_Luthe_0_14,C21_C_Luthe_15_24,C21_C_Luthe_25_34,C21_C_Luthe_35_44,C21_C_Luthe_45_54,C21_C_Luthe_55_64,C21_C_Luthe_65_74,C21_C_Luthe_75_84,C21_C_Luthe_85ov,C21_C_Luthe_Tot,C21_C_Ori_Orth_0_14,C21_C_Ori_Orth_15_24,C21_C_Ori_Orth_25_34,C21_C_Ori_Orth_35_44,C21_C_Ori_Orth_45_54,C21_C_Ori_Orth_55_64,C21_C_Ori_Orth_65_74,C21_C_Ori_Orth_75_84,C21_C_Ori_Orth_85ov,C21_C_Ori_Ort_Tot,C21_C_Oth_Pro_0_14,C21_C_Oth_Pro_15_24,C21_C_Oth_Pro_25_34,C21_C_Oth_Pro_35_44,C21_C_Oth_Pro_45_54,C21_C_Oth_Pro_55_64,C21_C_Oth_Pro_65_74,C21_C_Oth_Pro_75_84,C21_C_Oth_Pro_85ov,C21_C_Oth_Pro_Tot,C21_C_Pent_0_14,C21_C_Pent_15_24,C21_C_Pent_25_34,C21_C_Pent_35_44,C21_C_Pent_45_54,C21_C_Pent_55_64,C21_C_Pent_65_74,C21_C_Pent_75_84,C21_C_Pent_85ov,C21_C_Pent_Tot,C21_C_Pres_Ref_0_14,C21_C_Pres_Ref_15_24,C21_C_Pres_Ref_25_34,C21_C_Pres_Ref_35_44,C21_C_Pres_Ref_45_54,C21_C_Pres_Ref_55_64,C21_C_Pres_Ref_65_74,C21_C_Pres_Ref_75_84,C21_C_Pres_Ref_85ov,C21_C_Pres_Ref_Tot,C21_C_Sal_Army_0_14,C21_C_Sal_Army_15_24,C21_C_Sal_Army_25_34,C21_C_Sal_Army_35_44,C21_C_Sal_Army_45_54,C21_C_Sal_Army_55_64,C21_C_Sal_Army_65_74,C21_C_Sal_Army_75_84,C21_C_Sal_Army_85ov,C21_C_Sal_Army_Tot,C21_C_Sev_day_Adv_0_14,C21_C_Sev_day_Adv_15_24,C21_C_Sev_day_Adv_25_34,C21_C_Sev_day_Adv_35_44,C21_C_Sev_day_Adv_45_54,C21_C_Sev_day_Adv_55_64,C21_C_Sev_day_Adv_65_74,C21_C_Sev_day_Adv_75_84,C21_C_Sev_day_Adv_85ov,C21_C_Sev_day_Adv_Tot,C21_Chr_Unit_Ch_0_14,C21_Chr_Unit_Ch_15_24,C21_Chr_Unit_Ch_25_34,C21_Chr_Unit_Ch_35_44,C21_Chr_Unit_Ch_45_54,C21_Chr_Unit_Ch_55_64,C21_Chr_Unit_Ch_65_74,C21_Chr_Unit_Ch_75_84,C21_Chr_Unit_Ch_85ov,C21_Chr_Unit_Ch_Tot
101,3512,2346,2542,2650,3312,3302,2702,1422,610,22398,38761,23024,22335,25418,31502,32738,26551,13248,5263,218842,169,104,251,334,348,297,254,74,6,1839,4177,2700,2399,3396,5615,7466,7641,4728,1841,39974,0,0,0,0,4,4,0,0,0,6,328,169,178,226,292,363,270,198,48,2067,102,99,108,48,60,41,18,22,9,504,9034,5386,4848,5781,7346,8135,6961,3909,1450,52839,12,4,9,17,3,9,19,9,0,76,379,257,238,288,400,322,301,220,65,2464,134,95,63,106,145,133,137,73,31,910,61,23,22,38,35,30,20,17,4,242,49,37,48,73,123,170,189,114,49,860,26,6,15,15,3,15,6,0,0,81,95,49,57,85,80,123,119,77,26,708,283,100,132,180,162,211,191,59,18,1331,219,173,174,296,572,951,1131,762,277,4552,53,37,45,40,47,87,103,32,15,469,95,59,53,50,52,66,59,33,3,473,508,323,316,510,804,1280,1335,950,318,6337
102,4280,2941,2823,3028,3366,3475,3191,2199,1665,26958,60430,38103,35277,39379,43630,42365,36590,21698,10275,327736,374,247,441,692,677,512,354,108,6,3414,5450,4143,3148,5104,8300,9908,10772,7970,3303,58107,6,0,0,0,4,6,0,0,0,20,816,539,397,567,662,719,781,533,191,5199,65,43,46,36,31,19,8,13,9,268,13248,8479,6484,8227,9915,10862,9611,6240,2284,75356,27,21,17,29,38,43,64,39,13,294,380,224,189,254,408,374,297,218,91,2427,208,135,107,183,194,193,207,100,42,1377,166,90,65,88,72,76,84,43,15,700,53,37,24,58,85,110,134,132,46,670,117,10,53,86,29,24,15,6,4,345,635,400,359,351,426,383,347,239,83,3228,711,333,318,429,402,392,398,139,41,3153,474,288,252,486,884,1254,1542,1187,523,6901,42,34,32,54,65,101,153,107,43,640,199,152,126,142,188,207,190,102,41,1353,843,605,477,679,984,1430,1556,1223,516,8318
103,3587,2902,2801,2537,2899,2830,2544,1437,669,22205,40912,24650,23098,23654,27012,26767,22479,12509,5070,206158,155,78,200,270,199,164,128,31,11,1235,4759,3076,2735,3788,5646,6500,6681,4496,1835,39514,0,0,0,0,0,0,0,0,0,4,437,249,261,279,349,396,345,222,71,2606,266,191,157,161,89,93,63,28,14,1068,11161,6402,5533,5934,6977,7516,6185,3894,1376,54978,8,3,8,4,16,10,22,11,8,94,83,50,55,70,105,111,100,48,21,646,85,68,53,81,93,105,101,51,20,649,31,19,31,23,31,31,24,19,0,211,52,33,30,50,77,89,85,65,32,517,14,7,13,18,9,4,0,0,0,66,205,75,93,124,119,114,118,72,27,941,393,177,200,201,215,260,172,88,25,1725,537,369,363,527,904,1221,1405,863,356,6549,20,31,18,41,59,82,89,58,22,423,45,39,28,50,47,58,66,43,13,400,927,604,555,832,1105,1620,1721,1160,514,9043
104,2166,1415,1399,1517,1853,2130,1773,1093,606,13958,23863,14148,12751,14691,18166,21284,17635,9699,4053,136287,124,97,199,230,255,229,194,38,5,1380,1962,1383,1055,1646,3080,4359,5202,3505,1506,23695,0,0,0,0,0,0,0,0,0,0,424,208,169,264,239,241,272,153,69,2035,7,4,0,0,4,6,0,0,0,13,3916,2102,1834,2397,3164,3989,3698,2286,822,24208,4,4,9,5,14,8,18,4,3,64,34,21,18,33,47,41,36,22,5,263,122,81,72,120,101,145,142,76,38,885,10,9,16,16,24,17,17,18,9,129,16,15,8,9,53,58,67,59,24,294,16,5,4,12,3,0,0,0,0,40,52,27,74,41,51,89,92,58,28,511,372,193,161,213,200,239,232,77,23,1713,390,243,239,311,576,938,1087,799,326,4909,23,18,16,37,40,62,75,57,23,349,63,37,39,49,62,51,62,44,29,438,221,165,145,245,401,712,938,650,289,3771
105,2326,1570,1946,1573,1759,1767,1404,763,356,13454,22632,12956,14009,12661,14905,15305,11822,6748,2742,113778,86,28,137,135,97,78,34,13,0,603,2469,1595,1658,1928,2776,3536,3394,2189,798,20339,0,0,0,0,3,0,0,0,0,3,272,115,158,174,146,234,220,121,43,1484,0,0,0,0,4,3,6,0,4,23,5683,2922,3149,2955,3353,3933,2977,1841,664,27473,3,4,3,9,16,23,11,10,0,76,27,31,25,25,36,48,43,34,15,283,30,14,24,29,17,28,52,24,10,229,25,7,14,14,5,13,11,5,0,100,45,39,46,36,51,76,44,45,10,392,21,0,17,9,3,4,0,0,0,60,32,14,30,25,41,59,55,44,11,315,173,63,90,86,97,112,92,44,13,772,332,177,199,297,419,654,661,435,175,3346,21,13,13,23,47,67,58,38,15,304,65,27,51,40,52,34,44,43,10,359,427,313,272,408,563,871,940,606,294,4687
106,4197,2672,3228,2978,3108,3126,2705,1518,725,24255,53271,31496,31606,32480,34776,33574,27322,13681,5218,263419,196,141,271,382,302,260,133,40,7,1731,7552,5099,4300,6328,8615,9750,10062,6180,2129,60007,0,0,0,0,0,0,0,0,0,0,712,391,342,455,577,575,588,343,98,4079,91,49,85,39,24,36,6,9,3,334,11674,6816,6305,7056,7812,8376,7022,3826,1229,60124,21,10,7,20,11,29,34,35,14,187,145,80,107,115,149,146,147,65,17,967,110,44,73,112,109,116,131,84,19,798,83,47,52,44,54,67,43,17,14,420,20,18,29,39,68,98,87,51,23,428,23,9,20,23,9,5,8,4,0,98,204,123,101,150,193,212,203,118,56,1359,529,272,210,286,301,326,251,100,20,2298,408,319,320,522,1021,1350,1451,943,294,6624,77,61,53,61,114,138,152,74,26,748,116,86,93,89,102,95,117,67,22,782,907,754,574,962,1367,1923,2132,1318,476,10422
107,3757,2989,3000,2692,2841,2868,2468,1536,800,22959,53767,39836,35896,36791,38526,36236,28042,17066,7330,293498,299,336,453,589,542,478,299,101,20,3128,4870,3546,2643,4356,6238,7043,7337,5039,1980,43052,0,3,4,3,4,3,0,0,0,20,376,236,286,272,306,378,356,245,93,2546,71,64,48,36,30,23,12,19,3,309,12789,8848,7258,8208,9522,10537,8208,5226,2323,72921,12,18,22,19,26,60,54,38,13,257,1861,1401,1136,1455,1879,1570,1502,999,362,12168,182,127,124,159,173,175,189,116,49,1293,89,63,23,51,50,36,28,23,7,371,54,63,38,67,116,218,183,150,84,977,127,61,74,85,56,31,31,7,0,468,136,65,129,94,113,100,150,110,59,955,573,318,274,352,299,318,235,95,23,2488,325,271,250,362,675,1108,1157,909,349,5413,50,39,45,57,65,104,112,89,39,605,60,50,41,43,49,45,35,23,8,349,860,773,466,658,936,1332,1310,1077,462,7880
108,2953,1942,1846,1892,2586,3159,3381,1958,1030,20749,34708,20220,17268,20713,27233,33115,32938,18258,7745,212197,107,94,171,243,296,318,293,66,10,1602,3450,2569,1816,3066,5703,8231,10491,7435,3036,45802,0,0,0,0,0,3,0,0,0,3,332,199,141,229,283,426,527,424,151,2709,0,0,0,0,4,0,3,0,0,7,6161,3979,2967,3694,5284,6896,7029,4462,1526,42001,10,0,0,8,6,23,51,24,15,151,56,43,37,41,85,111,110,59,24,574,212,135,116,167,193,223,254,147,34,1486,36,11,19,16,35,39,56,47,21,290,16,17,10,28,38,79,112,119,33,446,27,3,7,19,16,11,6,0,0,96,210,98,88,119,135,170,198,109,60,1186,300,140,126,165,186,242,263,122,26,1571,333,203,171,324,678,1229,1765,1285,539,6521,85,58,30,63,98,169,227,134,53,913,259,151,124,126,156,213,191,118,81,1409,503,414,311,531,888,1585,2124,1577,642,8565
109,1906,1287,1296,1263,1395,1699,1454,944,464,11716,21443,13216,12414,12835,14846,16326,13723,7784,3205,115802,93,58,113,161,145,123,67,17,0,789,1630,1137,824,1380,2275,3068,3610,2346,905,17177,0,0,0,0,0,0,0,0,0,0,192,117,77,139,151,148,166,126,35,1150,38,18,29,27,14,9,7,8,7,147,5092,3025,2479,2942,3471,4093,3640,2177,767,27699,8,5,7,6,12,14,22,19,11,108,38,36,28,52,74,62,62,42,24,424,48,29,27,56,42,37,56,27,12,328,21,14,15,17,13,17,17,20,3,135,290,192,133,178,261,327,337,228,126,2072,12,4,8,6,5,0,0,0,0,35,25,15,32,24,23,41,49,36,12,252,217,105,114,142,114,105,97,39,12,944,257,153,165,232,471,766,1008,651,276,3974,7,16,5,10,15,32,48,24,12,174,46,16,31,40,34,35,49,33,9,302,346,261,223,370,626,1111,1206,843,374,5359
110,3439,2443,2202,2194,2406,2712,2212,1343,621,19575,35631,22095,20214,20260,23404,24436,19976,11282,4253,181559,139,93,200,223,179,131,90,27,5,1087,5302,3491,3121,4024,5914,7261,7134,4926,1719,42895,0,0,0,0,0,0,0,0,0,3,191,143,140,154,178,229,213,136,42,1424,69,84,69,31,38,29,9,18,7,352,7361,4349,3890,4097,4797,5108,4274,2733,938,37544,4,0,0,10,6,36,22,10,5,91,33,31,33,29,40,42,47,23,7,283,66,65,46,74,107,109,115,67,30,674,25,20,13,28,23,25,20,11,0,156,59,33,32,41,64,58,49,37,16,375,9,0,6,11,0,5,0,0,0,41,54,28,76,59,38,72,65,41,14,444,354,141,127,208,167,186,156,59,6,1400,433,313,290,435,848,1355,1424,953,410,6457,71,64,36,50,118,109,96,54,17,619,86,40,51,70,67,79,91,47,15,547,548,396,314,498,698,1091,1119,855,351,5870
