SA4_CODE_2021,C16_F_a_4_8_FH_One_PFam,C16_F_a_4_8_FH_oth_fa,C16_F_a_4_8_FH_Tot,C16_F_a_4_8_LP_H,C16_F_a_4_8_GH,C16_F_a_4_8_OH,C16_F_a_4_8_Tot,C16_F_a_9m_FH_CF_no_ch,C16_F_a_9m_FH_CF_w_ch,C16_F_a_9m_FH_One_PFam,C16_F_a_9m_FH_oth_fa,C16_F_a_9m_FH_Tot,C16_F_a_9m_LP_H,C16_F_a_9m_GH,C16_F_a_9m_OH,C16_F_a_9m_Tot,C16_F_a_a_h_FH_CF_no_ch,C16_F_a_a_h_FH_CF_w_ch,C16_F_a_a_h_FH_One_PFam,C16_F_a_a_h_FH_oth_fa,C16_F_a_a_h_FH_Tot,C16_F_a_a_h_LP_H,C16_F_a_a_h_GH,C16_F_a_a_h_OH,C16_F_a_a_h_Tot,C16_F_a_Tot_FH_CF_no_ch,C16_F_a_Tot_FH_CF_w_ch,C16_F_a_Tot_FH_One_PFam,C16_F_a_Tot_FH_oth_fa,C16_F_a_Tot_FH_Tot,C16_F_a_Tot_LP_H,C16_F_a_Tot_GH,C16_F_a_Tot_OH,C16_F_a_Tot_Tot,C16_OD_C_c_hb_FH_CF_no_ch,C16_OD_C_c_hb_FH_CF_w_ch,C16_OD_C_c_hb_FH_One_PFam,C16_OD_C_c_hb_FH_oth_fa,C16_OD_C_c_hb_FH_Tot,C16_OD_C_c_hb_LP_H,C16_OD_C_c_hb_GH,C16_OD_C_c_hb_OH,C16_OD_C_c_hb_Tot,C16_OD_Ih_t_s_FH_CF_no_ch,C16_OD_Ih_t_s_FH_CF_w_ch,C16_OD_Ih_t_s_FH_One_PFam,C16_OD_Ih_t_s_FH_oth_fa,C16_OD_Ih_t_s_FH_Tot,C16_OD_Ih_t_s_LP_H,C16_OD_Ih_t_s_GH,C16_OD_Ih_t_s_OH,C16_OD_Ih_t_s_Tot,C16_OD_H_f_so_FH_CF_no_ch,C16_OD_H_f_so_FH_CF_w_ch,C16_OD_H_f_so_FH_One_PFam,C16_OD_H_f_so_FH_oth_fa,C16_OD_H_f_so_FH_Tot,C16_OD_H_f_so_LP_H,C16_OD_H_f_so_GH,C16_OD_H_f_so_OH,C16_OD_H_f_so_Tot,C16_OD_Tot_FH_CF_no_ch,C16_OD_Tot_FH_CF_w_ch,C16_OD_Tot_FH_One_PFam,C16_OD_Tot_FH_oth_fa,C16_OD_Tot_FH_Tot,C16_OD_Tot_LP_H,C16_OD_Tot_GH,C16_OD_Tot_OH,C16_OD_Tot_Tot,C16_DS_ns_FH_CF_no_ch,C16_DS_ns_FH_CF_w_ch,C16_DS_ns_FH_One_PFam,C16_DS_ns_FH_oth_fa,C16_DS_ns_FH_Tot,C16_DS_ns_LP_H,C16_DS_ns_GH,C16_DS_ns_OH,C16_DS_NS_Tot,C16_Tot_FH_CF_no_ch,C16_Tot_FH_CF_w_ch,C16_Tot_FH_One_PFam,C16_Tot_FH_oth_fa,C16_Tot_FH_Tot,C16_Tot_LP_H,C16_Tot_GH,C16_Tot_OH,C16_Tot_Tot,C21_S_h_FH_CF_no_ch,C21_S_h_FH_CF_w_ch,C21_S_h_FH_One_PFam,C21_S_h_FH_oth_fa,C21_S_h_FH_Tot,C21_S_h_LP_H,C21_S_h_GH,C21_S_h_OH,C21_S_h_Tot,C21_SDRTHT1S_FH_CF_no_ch,C21_SDRTHT1S_FH_CF_w_ch,C21_SDRTHT1S_FH_One_PFam,C21_SDRTHT1S_FH_oth_fa,C21_SDRTHT1S_FH_Tot,C21_SDRTHT1S_LP_H,C21_SDRTHT1S_GH,C21_SDRTHT1S_OH,C21_SDRTHT1S_Tot,C21_SDRTHT2S_FH_CF_no_ch,C21_SDRTHT2S_FH_CF_w_ch,C21_SDRTHT2S_FH_One_PFam,C21_SDRTHT2S_FH_oth_fa,C21_SDRTHT2S_FH_Tot,C21_SDRTHT2S_LP_H,C21_SDRTHT2S_GH,C21_SDRTHT2S_OH,C21_SDRTHT2S_Tot,C21_SDRTHT_Tot_FH_CF_no_ch,C21_SDRTHT_Tot_FH_CF_w_ch,C21_SDRTHT_Tot_FH_One_PFam,C21_SDRTHT_Tot_FH_oth_fa,C21_SDRTHT_Tot_FH_Tot,C21_SDRTHT_Tot_LP_H,C21_SDRTHT_Tot_GH,C21_SDRTHT_Tot_OH,C21_SDRTHT_Tot_Tot,C21_F_a_1_2_FH_CF_no_ch,C21_F_a_1_2_FH_CF_w_ch,C21_F_a_1_2_FH_One_PFam,C21_F_a_1_2_FH_oth_fa,C21_F_a_1_2_FH_Tot,C21_F_a_1_2_LP_H,C21_F_a_1_2_GH,C21_F_a_1_2_OH,C21_F_a_1_2_Tot,C21_F_a_3_FH_CF_no_ch,C21_F_a_3_FH_CF_w_ch,C21_F_a_3_FH_One_PFam,C21_F_a_3_FH_oth_fa,C21_F_a_3_FH_Tot,C21_F_a_3_LP_H,C21_F_a_3_GH,C21_F_a_3_OH,C21_F_a_3_Tot,C21_F_a_4_8_FH_CF_no_ch,C21_F_a_4_8_FH_CF_w_ch,C21_F_a_4_8_FH_One_PFam,C21_F_a_4_8_FH_oth_fa,C21_F_a_4_8_FH_Tot,C21_F_a_4_8_LP_H,C21_F_a_4_8_GH,C21_F_a_4_8_OH,C21_F_a_4_8_Tot,C21_F_a_9m_FH_CF_no_ch,C21_F_a_9m_FH_CF_w_ch,C21_F_a_9m_FH_One_PFam,C21_F_a_9m_FH_oth_fa,C21_F_a_9m_FH_Tot,C21_F_a_9m_LP_H,C21_F_a_9m_GH,C21_F_a_9m_OH,C21_F_a_9m_Tot,C21_F_a_a_h_FH_CF_no_ch,C21_F_a_a_h_FH_CF_w_ch,C21_F_a_a_h_FH_One_PFam,C21_F_a_a_h_FH_oth_fa,C21_F_a_a_h_FH_Tot,C21_F_a_a_h_LP_H,C21_F_a_a_h_GH,C21_F_a_a_h_OH,C21_F_a_a_h_Tot,C21_F_a_Tot_FH_CF_no_ch,C21_F_a_Tot_FH_CF_w_ch,C21_F_a_Tot_FH_One_PFam,C21_F_a_Tot_FH_oth_fa,C21_F_a_Tot_FH_Tot,C21_F_a_Tot_LP_H,C21_F_a_Tot_GH,C21_F_a_Tot_OH,C21_F_a_Tot_Tot,C21_OD_C_c_hb_FH_CF_no_ch,C21_OD_C_c_hb_FH_CF_w_ch,C21_OD_C_c_hb_FH_One_PFam,C21_OD_C_c_hb_FH_oth_fa,C21_OD_C_c_hb_FH_Tot,C21_OD_C_c_hb_LP_H,C21_OD_C_c_hb_GH,C21_OD_C_c_hb_OH,C21_OD_C_c_hb_Tot,C21_OD_Ih_t_s_FH_CF_no_ch,C21_OD_Ih_t_s_FH_CF_w_ch,C21_OD_Ih_t_s_FH_One_PFam,C21_OD_Ih_t_s_FH_oth_fa,C21_OD_Ih_t_s_FH_Tot,C21_OD_Ih_t_s_LP_H,C21_OD_Ih_t_s_GH,C21_OD_Ih_t_s_OH,C21_OD_Ih_t_s_Tot,C21_OD_H_f_so_FH_CF_no_ch,C21_OD_H_f_so_FH_CF_w_ch,C21_OD_H_f_so_FH_One_PFam,C21_OD_H_f_so_FH_oth_fa
101,55,9,391,549,45,159,1149,..,..,..,..,..,..,..,..,..,6,6,0,0,14,19,0,3,31,812,466,390,42,1717,3048,246,1170,6171,170,46,27,3,243,444,16,653,1363,38,34,5,0,75,63,3,105,240,56,42,22,3,124,77,0,33,233,257,121,57,8,445,579,22,790,1837,210,148,52,5,423,287,23,254,999,25575,22278,8315,661,56833,23446,2032,7645,89954,25856,22754,7692,585,56896,17787,1662,5429,81779,966,521,484,45,2011,2855,124,434,5424,723,468,313,33,1529,1371,144,261,3299,1690,983,797,76,3539,4221,268,695,8727,574,264,298,32,1169,2158,198,550,4076,142,75,48,8,284,436,55,129,897,210,123,59,17,404,535,43,55,1042,20,7,7,0,35,40,3,0,87,20,20,14,4,57,56,7,17,143,965,493,429,56,1942,3231,303,762,6239,172,37,33,0,246,406,25,448,1123,4,0,6,0,7,15,0,83,108,49,31,16,6
102,196,19,848,670,84,176,1780,..,..,..,..,..,..,..,..,..,14,6,8,0,27,43,4,4,74,2080,814,1059,99,4047,4776,435,845,10098,145,58,101,12,312,537,40,262,1158,4,11,3,0,16,13,0,175,203,51,61,43,3,152,63,8,39,267,202,124,145,10,484,608,55,476,1624,103,73,46,9,229,301,15,64,615,32096,35962,16125,1196,85383,31955,3712,6143,127189,28924,34716,14186,922,78751,21660,2816,4257,107480,2356,703,1003,96,4151,5217,259,594,10223,1461,893,1015,69,3444,2462,211,408,6522,3821,1593,2017,169,7588,7675,472,1004,16745,1291,592,747,66,2690,3578,203,554,7028,356,143,183,14,695,737,86,117,1638,744,224,239,37,1249,1067,157,209,2682,188,56,54,7,308,250,34,42,641,117,63,65,3,252,156,14,24,444,2698,1073,1297,125,5191,5798,498,946,12438,152,38,79,4,274,518,37,197,1024,6,0,3,0,6,5,0,7,17,29,20,18,0
103,0,0,11,8,0,0,22,..,..,..,..,..,..,..,..,..,0,4,0,0,4,3,0,0,10,304,124,168,27,623,1746,103,446,2916,37,23,20,0,72,191,5,343,607,14,12,5,0,30,20,0,32,88,144,123,54,12,330,150,15,69,562,191,155,76,12,434,365,20,447,1258,171,136,48,8,362,409,23,121,911,21031,20871,8590,685,51174,21520,2057,6538,81276,21521,20678,8490,695,51385,18186,1805,4940,76320,827,371,415,50,1668,2856,169,491,5186,99,53,95,10,257,484,34,100,875,927,429,514,63,1923,3340,209,593,6064,294,100,114,16,523,1507,86,309,2429,8,0,6,0,17,70,13,41,135,0,0,0,0,4,0,0,0,4,0,3,0,0,3,0,0,0,4,15,5,3,0,29,27,0,9,64,318,111,128,18,572,1602,99,358,2628,48,9,9,5,68,184,9,272,536,3,4,3,0,5,3,0,33,48,89,103,26,3
104,24,3,129,163,18,56,363,..,..,..,..,..,..,..,..,..,0,3,0,0,0,12,3,0,16,632,292,489,41,1453,2134,223,488,4302,276,48,48,10,380,661,35,1301,2375,28,19,17,0,60,69,5,96,225,34,19,7,0,61,40,13,21,126,341,74,65,11,495,767,52,1413,2729,150,85,41,0,272,171,27,131,605,15895,12494,6542,430,35354,14452,1805,5011,56625,15146,12229,5750,426,33557,10244,1484,2552,47834,643,271,374,19,1308,1610,115,250,3281,494,282,310,29,1112,795,112,200,2214,1133,555,684,49,2428,2405,228,446,5498,488,261,395,47,1184,1812,139,352,3493,102,43,66,7,212,235,23,80,559,76,12,11,3,106,171,12,42,329,47,3,6,0,60,53,4,4,120,30,17,8,0,58,68,9,9,139,750,333,490,50,1618,2342,185,484,4633,270,41,34,10,354,574,32,844,1809,5,3,0,0,8,17,0,96,118,61,48,15,5
105,4,0,5,22,0,6,38,..,..,..,..,..,..,..,..,..,3,0,0,0,3,5,0,0,7,346,107,116,22,595,1356,74,327,2345,50,10,7,0,70,118,10,814,1003,34,20,10,3,66,102,10,149,320,103,89,38,5,236,104,12,53,409,192,125,51,11,372,321,25,1012,1732,94,64,31,6,194,144,12,126,485,11285,10399,5523,514,27726,12394,1117,4774,46017,10470,9930,5047,478,25925,10063,1029,4322,41340,418,167,163,23,773,1196,62,304,2332,19,17,11,0,42,46,5,30,123,439,183,172,25,820,1238,61,334,2452,251,140,82,11,476,1112,63,327,1973,4,0,0,0,3,11,0,4,17,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,4,6,0,17,4,3,0,30,260,145,89,11,503,1122,61,334,2024,34,10,4,0,52,85,3,486,629,54,10,12,0,80,127,17,100,322,27,21,13,0
106,31,4,171,185,12,41,405,..,..,..,..,..,..,..,..,..,0,3,5,0,14,15,0,7,33,422,143,242,29,831,1582,93,345,2853,206,37,35,3,280,449,29,429,1191,22,20,8,0,50,23,0,10,80,42,24,28,0,95,56,5,32,187,274,77,69,6,422,531,32,470,1457,183,112,61,4,365,410,16,104,900,26850,29280,11872,867,68863,22687,2337,6228,100118,28330,30833,12052,842,72058,18774,2131,3981,96940,1548,671,928,69,3217,3914,211,505,7851,787,364,464,30,1648,1380,112,263,3400,2334,1037,1393,101,4867,5293,320,774,11255,221,81,135,18,453,1060,58,171,1745,69,13,19,0,101,132,12,29,279,173,22,40,4,242,211,18,35,503,0,0,0,0,0,0,0,0,0,55,29,32,3,115,67,8,15,207,516,144,233,24,916,1474,96,246,2736,182,27,56,11,275,491,39,243,1052,0,8,4,0,10,14,0,41,68,35,8,18,4
107,266,69,2080,1519,482,418,4498,..,..,..,..,..,..,..,..,..,9,9,10,0,20,29,5,5,58,3179,1439,1331,213,6168,6476,1388,1408,15445,126,28,43,12,212,366,15,296,891,0,0,0,0,0,3,0,154,156,61,71,58,4,190,97,27,35,350,188,103,100,15,410,468,43,482,1401,173,77,45,4,308,292,46,67,712,27416,34370,13024,1133,75950,25390,3951,5288,110576,23685,32224,10322,791,67020,14444,2220,2540,86229,1378,691,807,78,2950,3019,203,322,6492,2100,1697,1348,102,5243,3119,451,473,9277,3475,2386,2151,176,8188,6139,654,787,15774,1298,695,745,94,2827,3697,429,443,7397,732,270,279,38,1317,1625,366,282,3591,1381,369,274,60,2081,1766,389,249,4484,775,219,94,14,1107,746,224,94,2168,110,88,49,3,256,139,16,21,431,4303,1636,1436,212,7587,7971,1418,1092,18075,125,18,39,9,182,348,13,133,676,0,0,0,0,0,0,0,6,12,82,66,38,10
108,123,8,646,683,92,212,1632,..,..,..,..,..,..,..,..,..,0,0,3,0,5,11,0,5,16,1269,316,715,57,2346,3813,322,850,7328,461,48,66,18,587,964,41,1109,2698,14,5,8,0,26,37,7,75,150,51,30,40,5,127,95,21,27,279,524,85,107,20,742,1102,64,1211,3114,170,104,61,0,339,241,23,150,749,27571,17955,9998,722,56244,24579,2520,6640,89984,26404,18119,9092,719,54335,17780,2037,4285,78440,1706,399,710,47,2858,3764,227,412,7263,506,207,283,19,1015,808,76,161,2070,2216,604,986,69,3873,4578,305,567,9327,702,188,412,44,1347,2699,174,445,4670,275,67,84,5,437,713,49,129,1336,396,69,95,5,563,742,64,115,1486,100,10,15,0,122,87,0,52,263,31,26,10,0,68,28,4,15,112,1506,365,608,58,2543,4271,295,760,7864,300,36,43,3,380,659,41,769,1857,9,0,4,0,11,11,0,38,55,36,31,32,3
109,0,0,5,21,0,5,36,..,..,..,..,..,..,..,..,..,0,0,0,0,0,3,0,0,7,236,85,112,14,442,1004,73,325,1839,120,23,16,0,156,230,24,424,835,5,0,4,0,7,11,0,19,35,46,38,5,3,103,46,13,34,192,171,68,25,7,270,290,35,471,1060,66,45,18,0,129,101,9,59,297,13129,11317,4461,339,29245,13261,1335,4064,47914,13311,11543,4378,339,29566,10398,1095,2874,43928,896,315,434,57,1694,3269,197,515,5680,78,30,51,4,156,286,23,63,538,967,345,483,63,1858,3553,229,581,6213,71,22,22,3,115,262,12,55,441,11,13,0,0,26,43,12,11,85,11,0,3,0,14,13,0,4,35,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,10,92,32,23,3,147,321,28,71,575,65,3,3,0,80,135,6,246,453,6,4,0,0,11,0,3,22,31,26,13,5,0
110,0,0,16,41,0,5,60,..,..,..,..,..,..,..,..,..,3,0,0,0,7,0,0,0,7,298,143,228,30,702,1782,104,427,3019,102,26,16,0,144,262,9,730,1140,15,11,7,0,30,26,0,33,89,103,70,121,11,306,111,22,38,478,222,109,142,11,481,399,27,798,1713,152,120,52,6,335,188,11,119,656,19186,17261,7977,726,45149,19097,2057,6282,72583,19004,16450,7583,694,43737,15906,1811,5433,66884,727,373,357,56,1513,2843,176,693,5220,117,67,67,8,257,442,38,125,862,841,441,420,63,1769,3276,217,814,6085,159,76,85,13,337,867,45,225,1477,21,8,5,0,37,34,8,17,89,4,5,0,0,7,17,0,0,29,3,0,0,0,3,0,0,0,5,15,7,3,0,25,15,0,7,47,199,93,95,15,404,942,53,252,1642,69,14,9,5,91,221,17,550,881,8,4,5,0,11,22,0,37,70,28,22,11,3
