SA4_CODE_2021,C16_SH_3b_NPFH_4,C16_SH_3b_NPFH_5,C16_SH_3b_NPFH_6_mor,C16_SH_3b_Tot,C16_SH_4mb_NPFH_2,C16_SH_4mb_NPFH_3,C16_SH_4mb_NPFH_4,C16_SH_4mb_NPFH_5,C16_SH_4mb_NPFH_6_mor,C16_SH_4mb_Tot,C16_SH_NB_NS_NPFH_2,C16_SH_NB_NS_NPFH_3,C16_SH_NB_NS_NPFH_4,C16_SH_NB_NS_NPFH_5,C16_SH_NB_NS_NPFH_6_mor,C16_SH_NB_NS_Tot,C16_SH_Tot_NPFH_2,C16_SH_Tot_NPFH_3,C16_SH_Tot_NPFH_4,C16_SH_Tot_NPFH_5,C16_SH_Tot_NPFH_6_mor,C16_SH_Tot_Tot,C16_SDRTHT_0b_s_a_b_NPFH_2,C16_SDRTHT_0b_s_a_b_NPFH_3,C16_SDRTHT_0b_s_a_b_NPFH_4,C16_SDRTHT_0b_s_a_b_NPFH_5,C16_SDRTHT_0b_s_a_b_NPFH_6mor,C16_SDRTHT_0b_s_a_b_Tot,C16_SDRTHT_1b_NPFH_2,C16_SDRTHT_1b_NPFH_3,C16_SDRTHT_1b_NPFH_4,C16_SDRTHT_1b_NPFH_5,C16_SDRTHT_1b_NPFH_6_mor,C16_SDRTHT_1b_Tot,C16_SDRTHT_2b_NPFH_2,C16_SDRTHT_2b_NPFH_3,C16_SDRTHT_2b_NPFH_4,C16_SDRTHT_2b_NPFH_5,C16_SDRTHT_2b_NPFH_6_mor,C16_SDRTHT_2b_Tot,C16_SDRTHT_3b_NPFH_2,C16_SDRTHT_3b_NPFH_3,C16_SDRTHT_3b_NPFH_4,C16_SDRTHT_3b_NPFH_5,C16_SDRTHT_3b_NPFH_6_mor,C16_SDRTHT_3b_Tot,C16_SDRTHT_4mb_NPFH_2,C16_SDRTHT_4mb_NPFH_3,C16_SDRTHT_4mb_NPFH_4,C16_SDRTHT_4mb_NPFH_5,C16_SDRTHT_4mb_NPFH_6_mor,C16_SDRTHT_4mb_Tot,C16_SDRTHT_NB_NS_NPFH_2,C16_SDRTHT_NB_NS_NPFH_3,C16_SDRTHT_NB_NS_NPFH_4,C16_SDRTHT_NB_NS_NPFH_5,C16_SDRTHT_NB_NS_NPFH_6_mor,C16_SDRTHT_NB_NS_Tot,C16_SDRTHT_Tot_NPFH_2,C16_SDRTHT_Tot_NPFH_3,C16_SDRTHT_Tot_NPFH_4,C16_SDRTHT_Tot_NPFH_5,C16_SDRTHT_Tot_NPFH_6_mor,C16_SDRTHT_Tot_Tot,C16_F_a_0b_s_a_b_NPFH_2,C16_F_a_0b_s_a_b_NPFH_3,C16_F_a_0b_s_a_b_NPFH_4,C16_F_a_0b_s_a_b_NPFH_5,C16_F_a_0b_s_a_b_NPFH_6_mor,C16_F_a_0b_s_a_b_Tot,C16_F_a_1b_NPFH_2,C16_F_a_1b_NPFH_3,C16_F_a_1b_NPFH_4,C16_F_a_1b_NPFH_5,C16_F_a_1b_NPFH_6_mor,C16_F_a_1b_Tot,C16_F_a_2b_NPFH_2,C16_F_a_2b_NPFH_3,C16_F_a_2b_NPFH_4,C16_F_a_2b_NPFH_5,C16_F_a_2b_NPFH_6_mor,C16_F_a_2b_Tot,C16_F_a_3b_NPFH_2,C16_F_a_3b_NPFH_3,C16_F_a_3b_NPFH_4,C16_F_a_3b_NPFH_5,C16_F_a_3b_NPFH_6_mor,C16_F_a_3b_Tot,C16_F_a_4mb_NPFH_2,C16_F_a_4mb_NPFH_3,C16_F_a_4mb_NPFH_4,C16_F_a_4mb_NPFH_5,C16_F_a_4mb_NPFH_6_mor,C16_F_a_4mb_Tot,C16_F_a_NB_NS_NPFH_2,C16_F_a_NB_NS_NPFH_3,C16_F_a_NB_NS_NPFH_4,C16_F_a_NB_NS_NPFH_5,C16_F_a_NB_NS_NPFH_6_mor,C16_F_a_NB_NS_Tot,C16_F_a_Tot_NPFH_2,C16_F_a_Tot_NPFH_3,C16_F_a_Tot_NPFH_4,C16_F_a_Tot_NPFH_5,C16_F_a_Tot_NPFH_6_mor,C16_F_a_Tot_Tot,C16_OD_0b_s_a_b_NPFH_2,C16_OD_0b_s_a_b_NPFH_3,C16_OD_0b_s_a_b_NPFH_4,C16_OD_0b_s_a_b_NPFH_5,C16_OD_0b_s_a_b_NPFH_6_mor,C16_OD_0b_s_a_b_Tot,C16_OD_1b_NPFH_2,C16_OD_1b_NPFH_3,C16_OD_1b_NPFH_4,C16_OD_1b_NPFH_5,C16_OD_1b_NPFH_6_mor,C16_OD_1b_Tot,C16_OD_2b_NPFH_2,C16_OD_2b_NPFH_3,C16_OD_2b_NPFH_4,C16_OD_2b_NPFH_5,C16_OD_2b_NPFH_6_mor,C16_OD_2b_Tot,C16_OD_3b_NPFH_2,C16_OD_3b_NPFH_3,C16_OD_3b_NPFH_4,C16_OD_3b_NPFH_5,C16_OD_3b_NPFH_6_mor,C16_OD_3b_Tot,C16_OD_4mb_NPFH_2,C16_OD_4mb_NPFH_3,C16_OD_4mb_NPFH_4,C16_OD_4mb_NPFH_5,C16_OD_4mb_NPFH_6_mor,C16_OD_4mb_Tot,C16_OD_NB_NS_NPFH_2,C16_OD_NB_NS_NPFH_3,C16_OD_NB_NS_NPFH_4,C16_OD_NB_NS_NPFH_5,C16_OD_NB_NS_NPFH_6_mor,C16_OD_NB_NS_Tot,C16_OD_Tot_NPFH_2,C16_OD_Tot_NPFH_3,C16_OD_Tot_NPFH_4,C16_OD_Tot_NPFH_5,C16_OD_Tot_NPFH_6_mor,C16_OD_Tot_Tot,C16_DS_NS_NPFH_2,C16_DS_NS_NPFH_3,C16_DS_NS_NPFH_4,C16_DS_NS_NPFH_5,C16_DS_NS_NPFH_6_mor,C16_DS_NS_Tot,C16_Tot_NPFH_2,C16_Tot_NPFH_3,C16_Tot_NPFH_4,C16_Tot_NPFH_5,C16_Tot_NPFH_6_mor,C16_Tot_Tot,C21_SH_0b_s_a_b_NPFH_2,C21_SH_0b_s_a_b_NPFH_3,C21_SH_0b_s_a_b_NPFH_4,C21_SH_0b_s_a_b_NPFH_5,C21_SH_0b_s_a_b_NPFH_6_mor,C21_SH_0b_s_a_b_Tot,C21_SH_1b_NPFH_2,C21_SH_1b_NPFH_3,C21_SH_1b_NPFH_4,C21_SH_1b_NPFH_5,C21_SH_1b_NPFH_6_mor,C21_SH_1b_Tot,C21_SH_2b_NPFH_2,C21_SH_2b_NPFH_3,C21_SH_2b_NPFH_4,C21_SH_2b_NPFH_5,C21_SH_2b_NPFH_6_mor,C21_SH_2b_Tot,C21_SH_3b_NPFH_2,C21_SH_3b_NPFH_3,C21_SH_3b_NPFH_4,C21_SH_3b_NPFH_5,C21_SH_3b_NPFH_6_mor,C21_SH_3b_Tot,C21_SH_4mb_NPFH_2,C21_SH_4mb_NPFH_3,C21_SH_4mb_NPFH_4,C21_SH_4mb_NPFH_5,C21_SH_4mb_NPFH_6_mor,C21_SH_4mb_Tot,C21_SH_NB_NS_NPFH_2,C21_SH_NB_NS_NPFH_3,C21_SH_NB_NS_NPFH_4,C21_SH_NB_NS_NPFH_5,C21_SH_NB_NS_NPFH_6_mor,C21_SH_NB_NS_Tot,C21_SH_Tot_NPFH_2,C21_SH_Tot_NPFH_3,C21_SH_Tot_NPFH_4,C21_SH_Tot_NPFH_5
101,3481,1166,383,21656,9302,4407,5644,3117,1580,24058,416,118,87,47,42,712,25417,9609,9582,4430,2049,51087,4,0,0,0,0,4,56,4,5,0,0,65,943,240,73,15,4,1275,869,355,232,69,25,1544,88,52,39,25,9,215,51,11,0,0,0,58,2005,660,347,107,40,3166,5,0,0,0,0,5,161,35,6,0,0,204,662,259,97,25,0,1043,179,99,49,16,6,341,19,15,16,8,3,72,24,10,5,0,0,42,1053,413,176,54,14,1717,12,0,0,0,0,17,72,3,0,0,0,80,102,23,12,3,0,137,66,26,21,8,7,120,28,16,13,10,5,70,16,3,0,0,0,17,290,72,51,18,9,445,242,85,56,24,13,423,29013,10838,10216,4634,2133,56833,118,22,9,8,6,157,503,49,28,13,8,603,3099,699,356,100,39,4299,12929,4416,3571,1065,378,22365,11453,5298,6575,3633,1953,28913,316,100,68,40,32,558,28416,10586,10614,4858
102,6270,1760,518,29905,10802,6986,9700,5562,2996,36043,500,161,141,81,57,946,30042,15404,16665,7541,3623,73273,4,0,0,0,0,6,95,11,8,0,0,105,1902,258,87,17,0,2263,2508,1028,638,163,44,4377,148,91,120,76,30,454,93,20,12,0,0,137,4749,1409,855,255,73,7347,4,3,0,0,0,5,131,14,0,0,0,149,1577,355,105,25,4,2071,888,365,228,60,16,1556,76,45,35,14,15,188,55,9,8,0,0,79,2736,792,378,105,39,4047,6,0,0,0,0,11,43,3,0,0,0,50,136,45,16,0,3,199,64,38,27,10,0,143,13,17,26,8,9,66,6,0,0,0,0,14,278,106,75,16,11,484,125,51,28,18,14,229,37927,17755,18001,7936,3762,85383,35,9,11,0,0,55,332,40,21,5,9,403,4412,1094,437,72,23,6046,14715,7070,5999,1476,470,29725,13490,8236,10978,5984,3198,41892,278,140,113,68,27,626,33257,16592,17558,7601
103,3451,1194,432,20702,8187,4128,5332,3325,1713,22685,450,145,89,43,36,756,22759,9418,9167,4644,2219,48213,3,0,0,0,0,3,51,3,0,0,0,53,554,134,49,9,0,746,331,137,95,19,7,595,43,21,21,13,5,104,30,3,3,0,0,41,1016,299,173,40,15,1540,8,0,0,0,0,8,62,13,0,0,0,71,283,61,30,4,0,381,71,37,12,0,0,121,3,7,0,4,4,23,13,3,0,0,0,12,439,122,45,14,9,623,4,0,0,0,0,4,29,5,0,0,0,34,40,12,10,4,0,69,88,33,24,19,5,167,51,29,25,17,7,139,9,0,0,0,0,19,221,88,61,50,15,434,195,58,57,27,22,362,24627,9982,9500,4777,2277,51174,54,14,10,7,6,89,282,40,21,8,3,350,2639,575,259,63,19,3552,11520,4306,3159,1138,395,20518,9874,4942,5887,3706,1913,26320,328,79,77,47,22,557,24695,9953,9416,4970
104,2338,803,313,14487,4946,2417,2866,1730,1065,13023,240,88,62,28,31,447,15376,5990,5498,2620,1437,30912,0,0,0,0,0,0,36,0,6,0,0,43,621,144,63,8,0,840,610,272,134,52,15,1087,69,45,47,23,9,190,34,7,5,6,0,54,1377,474,251,87,32,2215,4,0,0,0,0,4,39,7,7,0,0,50,580,174,61,16,4,832,264,108,61,15,11,456,21,15,11,3,4,54,31,11,4,4,0,48,945,312,131,43,19,1453,36,4,4,0,0,39,98,7,0,0,3,111,147,26,3,7,0,178,62,21,10,6,0,100,7,3,12,0,6,31,30,0,5,0,0,34,379,59,33,15,10,495,166,41,33,17,8,272,18233,6879,5954,2779,1506,35354,45,13,11,8,0,75,278,42,18,7,6,362,1977,415,195,49,16,2648,8281,3050,2312,760,302,14711,6013,2864,3354,1896,1246,15373,202,72,59,33,21,390,16803,6465,5943,2754
105,1905,685,308,11690,4082,2210,2505,1645,1012,11451,262,91,60,36,29,478,12252,5329,4637,2417,1382,26018,0,0,0,0,0,5,17,0,0,0,0,19,218,59,20,3,0,307,87,43,27,10,0,168,13,9,7,4,5,36,6,4,0,0,0,12,352,114,57,19,3,548,3,0,0,0,0,7,56,5,0,0,0,58,312,75,33,0,0,426,45,19,10,0,6,77,6,6,4,6,0,18,9,0,0,0,0,11,427,102,51,8,7,595,16,0,0,0,0,16,28,0,0,6,0,30,36,8,0,0,0,53,65,27,17,10,3,120,52,17,30,20,20,131,12,6,0,0,0,14,203,55,53,30,23,372,111,37,21,20,15,194,13350,5638,4814,2494,1431,27726,26,5,3,0,3,37,154,21,9,4,5,190,1417,313,120,50,14,1922,6056,2443,1743,629,288,11157,4366,2429,2730,1723,1047,12289,163,69,45,28,16,327,12186,5276,4658,2431
106,4672,1474,517,26295,10348,6206,8370,4556,2263,31740,439,153,114,52,38,794,27529,13018,13496,6175,2875,63084,3,0,0,0,0,3,51,4,0,0,0,53,1133,197,60,8,4,1406,1244,571,282,75,9,2187,153,109,80,70,30,441,55,7,4,4,0,71,2642,889,422,155,49,4160,0,0,0,0,0,0,71,5,4,0,0,78,290,81,20,3,0,392,181,53,38,0,0,277,28,6,7,3,8,60,20,0,4,0,0,24,598,150,66,14,8,831,10,3,3,0,0,21,66,3,0,0,0,75,99,13,5,6,4,125,67,27,12,4,0,110,16,13,17,4,4,46,43,0,0,0,0,47,300,58,38,15,11,422,208,73,57,23,8,365,31282,14188,14081,6376,2942,68863,26,14,9,10,7,55,255,43,17,4,8,324,3092,698,271,86,29,4185,14604,6143,4496,1472,533,27251,13606,7879,9935,5357,2885,39658,286,119,96,51,31,581,31873,14890,14828,6984
107,6286,1794,606,28539,7748,5526,8430,4686,2366,28754,401,152,121,71,46,789,23883,13037,15255,6655,3061,61888,6,0,0,0,0,12,110,13,4,0,0,134,1731,426,166,37,9,2365,2001,1069,697,200,75,4044,145,102,141,78,55,515,72,17,11,3,5,110,4077,1623,1020,314,146,7182,10,3,0,0,0,12,297,32,12,0,0,334,2513,763,305,77,24,3679,1044,427,261,74,25,1824,76,48,42,31,18,209,78,11,7,0,0,104,4018,1277,622,176,69,6168,5,0,0,0,0,5,51,4,0,0,0,51,143,20,16,0,0,183,33,29,32,7,5,99,3,11,14,10,9,51,11,3,0,0,0,17,247,61,63,20,14,410,189,49,43,10,6,308,32417,16050,17007,7180,3297,75950,24,8,6,5,0,36,194,24,22,4,3,248,2267,628,305,61,23,3276,13940,6555,5926,1587,485,28486,10335,6750,9810,5127,2437,34455,217,121,84,56,33,514,26971,14078,16146,6838
108,3685,1224,482,23716,8300,3550,4000,2542,1418,19808,430,125,86,50,48,737,26035,9096,8098,3933,1992,49161,0,4,0,0,0,0,63,9,0,0,0,66,1237,194,68,5,0,1502,1261,343,145,47,14,1811,98,37,30,14,11,199,63,6,3,0,0,77,2722,594,243,70,27,3658,6,0,0,0,0,6,119,4,0,0,0,123,1046,237,59,6,5,1351,505,144,70,25,9,752,28,12,5,7,8,48,48,9,0,0,0,57,1750,404,138,36,19,2346,26,0,0,0,0,29,130,6,3,0,0,139,301,33,11,6,0,352,74,32,21,6,0,136,24,5,4,0,9,45,32,0,0,0,0,35,593,80,42,13,6,742,200,63,53,17,15,339,31304,10231,8574,4084,2054,56244,76,22,15,5,4,125,382,50,28,3,12,469,3779,653,281,91,27,4837,14458,4702,3492,1140,495,24284,10305,4299,4824,2790,1711,23931,349,135,120,55,39,692,29338,9863,8759,4094
109,2074,718,221,13044,4319,2053,2722,1636,762,11493,220,75,51,28,18,392,13630,5036,4985,2421,1012,27087,0,0,0,0,0,0,45,14,0,0,0,54,593,146,57,13,5,817,218,85,50,15,3,372,13,9,10,7,3,53,20,3,0,0,0,24,892,257,124,30,11,1321,0,0,0,0,0,0,21,7,0,0,0,24,243,47,17,0,0,307,44,22,6,0,0,76,6,4,3,0,0,21,6,4,0,0,0,13,317,84,24,9,7,442,6,0,0,0,0,6,40,0,0,0,0,38,78,3,9,0,0,89,43,24,14,8,0,84,14,4,8,6,3,41,13,0,0,0,0,13,189,32,30,20,7,270,74,11,14,17,8,129,15107,5429,5183,2488,1036,29245,21,7,0,0,0,31,125,8,6,0,0,141,1574,261,104,32,13,1974,7780,2640,2050,650,229,13348,5303,2464,3148,1911,909,13739,173,69,49,28,8,333,14978,5450,5361,2621
110,3158,1102,422,19128,7030,3443,4176,2670,1358,18667,422,121,91,66,24,719,20631,8251,7707,3922,1835,42344,3,0,0,0,0,7,55,8,0,0,0,59,486,128,57,13,0,682,191,110,49,17,6,376,38,23,37,21,11,129,27,6,0,0,0,37,803,271,145,49,17,1290,0,0,0,0,0,0,38,7,3,0,0,43,321,88,47,5,5,472,66,36,18,10,4,131,12,8,4,5,3,29,15,8,0,0,0,19,455,144,73,19,9,702,25,5,0,0,4,32,52,0,0,0,0,48,33,12,4,0,0,55,113,58,46,11,9,232,37,20,16,12,14,102,9,0,0,0,0,12,271,96,71,23,26,481,168,67,45,31,20,335,22327,8821,8037,4045,1911,45149,60,10,5,6,3,83,310,34,18,8,4,370,2405,456,196,47,20,3126,10598,3967,2872,1075,392,18898,8056,3819,4575,2719,1529,20699,278,113,85,49,30,550,21701,8397,7754,3895
