SA4_CODE_2021,C21_450_549_1PF_CU15_DS,C21_450_549_1PF_CU15_NDS,C21_450_549_1PFnoCU15_DS,C21_450_549_1PF_NDCO,C21_450_549_Tot,C21_550_649_1PF_CU15_DS,C21_550_649_1PF_CU15_NDS,C21_550_649_1PFnoCU15_DS,C21_550_649_1PF_NDCO,C21_550_649_Tot,C21_650_749_1PF_CU15_DS,C21_650_749_1PF_CU15_NDS,C21_650_749_1PFnoCU15_DS,C21_650_749_1PF_NDCO,C21_650_749_Tot,C21_750_849_1PF_CU15_DS,C21_750_849_1PF_CU15_NDS,C21_750_849_1PFnoCU15_DS,C21_750_849_1PF_NDCO,C21_750_849_Tot,C21_850_949_1PF_CU15_DS,C21_850_949_1PF_CU15_NDS,C21_850_949_1PFnoCU15_DS,C21_850_949_1PF_NDCO,C21_850_949_Tot,C21_950over_1PF_CU15_DS,C21_950over_1PF_CU15_NDS,C21_950over_1PFnoCU15_DS,C21_950over_1PF_NDCO,C21_950over_Tot,C21_Rns_1PF_CU15_DS,C21_Rns_1PF_CU15_NDS,C21_Rns_1PFnoCU15_DS,C21_Rns_1PF_NDCO,C21_Rns_Tot,C21_Tot_1PF_CU15_DS,C21_Tot_1PF_CU15_NDS,C21_Tot_1PFnoCU15_DS,C21_Tot_1_pa_f_NDCO,C21_Tot_Tot
101,41,255,54,84,430,14,72,16,27,127,7,31,12,13,57,0,14,0,3,22,0,3,0,0,3,0,7,0,0,7,17,72,14,36,137,331,2228,349,929,3832
102,229,1121,217,508,2081,102,378,85,162,727,38,137,27,43,242,23,39,5,16,80,13,18,4,6,38,3,19,7,4,29,25,108,14,73,223,798,4515,955,2412,8688
103,57,193,27,60,338,5,26,0,0,34,3,5,0,0,11,0,3,0,0,3,0,0,0,5,3,0,3,0,0,5,18,95,15,38,161,419,2647,344,966,4380
104,75,307,63,120,562,24,97,17,32,174,4,27,4,10,41,3,11,4,3,14,0,0,0,0,4,0,6,0,0,7,4,65,7,37,110,308,1935,332,890,3467
105,11,41,7,12,70,0,8,0,4,14,0,4,0,0,0,0,0,4,0,6,0,0,0,0,0,0,5,0,0,0,7,64,4,23,107,213,1704,199,590,2705
106,136,554,111,170,975,23,95,13,40,166,9,24,6,9,44,3,3,0,4,11,0,0,0,0,6,3,4,0,0,10,12,135,22,54,226,689,4056,591,1621,6961
107,174,788,228,420,1608,97,332,80,130,637,32,85,22,25,165,6,29,6,11,60,5,10,6,5,21,4,10,3,4,26,16,95,20,79,210,634,3303,779,1946,6664
108,73,384,64,140,657,20,73,12,36,143,7,23,9,9,45,5,7,0,0,9,0,0,0,0,6,0,3,0,4,5,18,69,8,55,151,501,2882,473,1354,5202
109,10,27,17,12,58,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,46,9,15,80,234,1374,231,511,2352
110,26,95,14,23,154,3,14,0,3,18,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,10,111,12,45,172,390,2614,342,966,4318
