SA4_CODE_2021,C11_Neg_Ni_inc_R1_74,C11_Neg_Ni_inc_R75_99,C11_Neg_Ni_inc_R100_149,C11_Neg_Ni_inc_R150_199,C11_Neg_Ni_inc_R200_224,C11_Neg_Ni_inc_R225_274,C11_Neg_Ni_inc_R275_349,C11_Neg_Ni_inc_R350_449,C11_Neg_Ni_inc_R450_549,C11_Neg_Ni_inc_R550_649,C11_Neg_Ni_inc_R650more,C11_Neg_Ni_inc_R_NS,C11_Neg_Ni_inc_R_Tot,C11_1_149_R1_74,C11_1_149_R75_99,C11_1_149_R100_149,C11_1_149_R150_199,C11_1_149_R200_224,C11_1_149_R225_274,C11_1_149_R275_349,C11_1_149_R350_449,C11_1_149_R450_549,C11_1_149_R550_649,C11_1_149_R650more,C11_1_149_R_NS,C11_1_149_R_Tot,C11_150_299_R1_74,C11_150_299_R75_99,C11_150_299_R100_149,C11_150_299_R150_199,C11_150_299_R200_224,C11_150_299_R225_274,C11_150_299_R275_349,C11_150_299_R350_449,C11_150_299_R450_549,C11_150_299_R550_649,C11_150_299_R650more,C11_150_299_R_NS,C11_150_299_R_Tot,C11_300_399_R1_74,C11_300_399_R75_99,C11_300_399_R100_149,C11_300_399_R150_199,C11_300_399_R200_224,C11_300_399_R225_274,C11_300_399_R275_349,C11_300_399_R350_449,C11_300_399_R450_549,C11_300_399_R550_649,C11_300_399_R650more,C11_300_399_R_NS,C11_300_399_R_Tot,C11_400_499_R1_74,C11_400_499_R75_99,C11_400_499_R100_149,C11_400_499_R150_199,C11_400_499_R200_224,C11_400_499_R225_274,C11_400_499_R275_349,C11_400_499_R350_449,C11_400_499_R450_549,C11_400_499_R550_649,C11_400_499_R650more,C11_400_499_R_NS,C11_400_499_R_Tot,C11_500_649_R1_74,C11_500_649_R75_99,C11_500_649_R100_149,C11_500_649_R150_199,C11_500_649_R200_224,C11_500_649_R225_274,C11_500_649_R275_349,C11_500_649_R350_449,C11_500_649_R450_549,C11_500_649_R550_649,C11_500_649_R650more,C11_500_649_R_NS,C11_500_649_R_Tot,C11_650_799_R1_74,C11_650_799_R75_99,C11_650_799_R100_149,C11_650_799_R150_199,C11_650_799_R200_224,C11_650_799_R225_274,C11_650_799_R275_349,C11_650_799_R350_449,C11_650_799_R450_549,C11_650_799_R550_649,C11_650_799_R650more,C11_650_799_R_NS,C11_650_799_R_Tot,C11_800_999_R1_74,C11_800_999_R75_99,C11_800_999_R100_149,C11_800_999_R150_199,C11_800_999_R200_224,C11_800_999_R225_274,C11_800_999_R275_349,C11_800_999_R350_449,C11_800_999_R450_549,C11_800_999_R550_649,C11_800_999_R650more,C11_800_999_R_NS,C11_800_999_R_Tot,C11_1000_1249_R1_74,C11_1000_1249_R75_99,C11_1000_1249_R100_149,C11_1000_1249_R150_199,C11_1000_1249_R200_224,C11_1000_1249_R225_274,C11_1000_1249_R275_349,C11_1000_1249_R350_449,C11_1000_1249_R450_549,C11_1000_1249_R550_649,C11_1000_1249_R650more,C11_1000_1249_R_NS,C11_1000_1249_R_Tot,C11_1250_1499_R1_74,C11_1250_1499_R75_99,C11_1250_1499_R100_149,C11_1250_1499_R150_199,C11_1250_1499_R200_224,C11_1250_1499_R225_274,C11_1250_1499_R275_349,C11_1250_1499_R350_449,C11_1250_1499_R450_549,C11_1250_1499_R550_649,C11_1250_1499_R650more,C11_1250_1499_R_NS,C11_1250_1499_R_Tot,C11_1500_1999_R1_74,C11_1500_1999_R75_99,C11_1500_1999_R100_149,C11_1500_1999_R150_199,C11_1500_1999_R200_224,C11_1500_1999_R225_274,C11_1500_1999_R275_349,C11_1500_1999_R350_449,C11_1500_1999_R450_549,C11_1500_1999_R550_649,C11_1500_1999_R650more,C11_1500_1999_R_NS,C11_1500_1999_R_Tot,C11_2000_2499_R1_74,C11_2000_2499_R75_99,C11_2000_2499_R100_149,C11_2000_2499_R150_199,C11_2000_2499_R200_224,C11_2000_2499_R225_274,C11_2000_2499_R275_349,C11_2000_2499_R350_449,C11_2000_2499_R450_549,C11_2000_2499_R550_649,C11_2000_2499_R650more,C11_2000_2499_R_NS,C11_2000_2499_R_Tot,C11_2500_2999_R1_74,C11_2500_2999_R75_99,C11_2500_2999_R100_149,C11_2500_2999_R150_199,C11_2500_2999_R200_224,C11_2500_2999_R225_274,C11_2500_2999_R275_349,C11_2500_2999_R350_449,C11_2500_2999_R450_549,C11_2500_2999_R550_649,C11_2500_2999_R650more,C11_2500_2999_R_NS,C11_2500_2999_R_Tot,C11_3000_3999_R1_74,C11_3000_3999_R75_99,C11_3000_3999_R100_149,C11_3000_3999_R150_199,C11_3000_3999_R200_224,C11_3000_3999_R225_274,C11_3000_3999_R275_349,C11_3000_3999_R350_449,C11_3000_3999_R450_549,C11_3000_3999_R550_649,C11_3000_3999_R650more,C11_3000_3999_R_NS,C11_3000_3999_R_Tot,C11_4000more_R1_74,C11_4000more_R75_99,C11_4000more_R100_149,C11_4000more_R150_199,C11_4000more_R200_224,C11_4000more_R225_274,C11_4000more_R275_349,C11_4000more_R350_449,C11_4000more_R450_549,C11_4000more_R550_649,C11_4000more_R650more,C11_4000more_R_NS,C11_4000more_R_Tot,C11_PI_S_R1_74,C11_PI_S_R75_99,C11_PI_S_R100_149,C11_PI_S_R150_199,C11_PI_S_R200_224
101,3,7,23,31,21,24,19,8,3,3,4,22,175,27,36,68,57,22,18,17,5,0,0,6,18,282,94,184,245,254,98,74,45,15,0,5,9,68,1081,150,351,424,391,165,132,66,25,4,3,5,86,1806,50,95,348,579,295,336,169,42,7,3,18,62,2011,27,25,160,233,133,161,79,22,7,0,8,34,895,43,50,278,493,305,453,280,91,25,8,28,71,2102,24,29,185,375,292,417,338,109,23,9,27,44,1880,24,20,118,302,281,388,387,203,24,20,28,51,1852,18,14,74,175,175,262,316,181,66,13,21,46,1350,23,20,93,194,176,354,413,336,92,29,43,49,1814,19,5,31,61,86,152,209,213,88,25,39,40,963,17,11,18,55,38,99,157,162,83,28,38,17,718,5,0,7,17,31,64,94,124,78,41,51,14,529,0,0,0,7,8,20,32,23,14,29,51,13,196,22,25,114,162,125
102,17,14,26,29,30,43,57,38,0,5,6,48,309,40,66,50,58,24,46,49,24,3,0,4,33,389,119,324,242,305,155,234,180,57,9,3,10,72,1705,144,623,405,443,223,374,318,84,17,4,15,104,2752,48,97,340,555,420,788,778,207,30,10,23,83,3373,29,35,254,209,161,309,337,90,9,4,6,46,1497,34,61,181,424,398,867,1059,375,42,8,23,87,3567,15,21,100,267,263,697,1055,421,81,11,18,53,3006,7,14,54,140,212,672,1167,575,99,28,24,46,3048,4,13,25,90,133,452,932,530,96,20,19,31,2339,5,7,35,79,124,467,1125,839,160,30,16,35,2928,0,6,8,43,43,167,545,486,136,40,27,17,1515,9,8,8,14,23,79,249,323,125,52,34,10,943,0,0,5,6,12,41,120,220,115,36,23,5,593,0,0,0,3,3,9,26,53,35,21,13,7,171,8,32,87,119,121
103,7,15,25,41,18,11,15,6,5,4,3,26,188,51,62,83,52,22,11,11,8,0,0,8,18,329,147,240,354,278,80,61,25,14,5,6,13,69,1282,201,419,594,482,132,89,45,11,3,0,13,87,2073,50,83,508,569,244,284,92,23,0,0,17,64,1923,30,46,252,327,111,105,66,14,6,0,5,33,994,55,71,387,582,277,324,172,38,6,0,9,62,1993,43,38,208,449,245,348,187,53,5,0,12,63,1654,48,31,176,405,250,371,232,68,14,0,7,58,1653,28,22,115,273,209,262,230,96,18,8,6,31,1287,49,15,99,286,207,344,368,196,29,5,8,61,1677,39,9,42,107,67,154,182,141,23,4,6,19,796,20,12,43,76,60,119,192,162,65,13,26,51,844,16,7,25,29,31,58,110,104,17,3,14,16,434,0,0,4,13,5,21,35,50,20,9,25,18,184,30,28,148,218,137
104,4,3,10,17,14,26,20,22,7,0,0,12,137,15,25,35,35,19,24,18,6,4,0,0,11,196,84,154,174,212,106,125,79,26,3,0,10,41,1017,77,296,253,326,183,201,103,37,5,5,6,47,1542,39,35,230,404,292,341,279,82,10,0,12,46,1753,19,25,130,184,127,181,157,61,16,0,5,26,923,17,33,133,312,222,434,383,134,17,5,11,48,1749,15,13,74,161,189,330,438,181,23,5,14,40,1483,8,11,48,113,108,278,425,186,38,4,7,31,1261,10,4,24,45,79,175,311,167,21,4,3,18,868,11,9,22,57,75,176,324,267,51,9,14,29,1047,8,0,9,23,16,56,152,132,26,3,14,9,438,9,0,10,14,11,31,78,98,46,11,9,14,316,4,0,7,5,8,13,31,51,20,12,6,5,153,0,0,0,0,3,0,12,13,17,4,7,4,61,14,11,59,83,77
105,13,3,22,18,15,14,0,0,3,0,6,13,102,16,27,43,31,5,7,9,0,0,0,0,14,156,85,120,314,154,35,16,7,0,0,0,3,49,789,125,268,467,252,45,41,14,3,0,0,12,65,1297,56,66,398,366,110,86,20,4,0,0,0,49,1146,36,45,216,156,43,27,12,3,0,0,11,22,567,59,70,347,366,145,114,40,4,4,4,9,62,1230,57,51,242,285,131,117,41,16,3,0,3,49,994,112,38,227,255,140,154,69,18,5,0,9,56,1073,66,29,132,176,92,131,66,20,7,3,6,33,767,124,32,154,195,105,168,124,44,7,0,17,38,1002,73,14,60,75,58,85,74,39,4,3,0,14,499,60,18,62,90,30,46,46,36,0,3,11,33,444,49,3,25,42,22,24,26,18,0,0,4,13,229,10,3,10,7,6,7,7,15,3,0,4,15,88,65,31,188,161,82
106,9,15,20,26,21,39,39,21,0,0,0,35,239,40,46,40,37,23,26,27,7,0,0,5,17,271,98,227,231,170,101,125,81,31,6,0,15,70,1150,126,453,436,346,148,197,135,36,6,0,18,85,1983,39,91,312,460,272,432,331,100,14,4,7,53,2110,18,37,244,228,135,213,144,49,5,0,7,41,1124,40,62,215,452,339,574,492,132,13,4,14,76,2409,30,35,137,315,271,518,509,188,30,5,13,60,2107,25,13,101,268,275,484,618,283,30,4,11,65,2172,20,10,64,186,210,360,555,275,40,3,7,51,1785,21,17,64,197,213,454,769,545,60,14,22,66,2438,8,3,28,86,152,189,357,333,56,7,11,27,1252,3,9,31,69,76,166,321,433,114,19,28,38,1302,13,0,12,27,37,71,146,262,62,15,12,26,684,6,0,7,5,7,17,45,108,32,10,17,17,269,17,27,85,145,121
107,16,22,47,57,51,88,87,107,65,24,12,56,623,97,115,63,71,27,36,59,43,4,3,4,34,561,286,646,297,325,123,165,121,55,19,3,23,93,2164,231,1045,486,391,193,211,178,70,12,6,31,134,2994,57,158,386,526,319,392,441,166,32,5,14,81,2586,37,59,481,302,144,234,231,110,30,14,13,45,1697,45,96,206,509,306,552,656,290,50,15,17,68,2810,27,29,144,329,262,528,655,388,77,23,17,65,2535,18,23,71,189,229,495,717,434,101,18,16,44,2358,10,8,40,119,150,352,616,419,90,13,23,25,1867,8,13,49,133,152,393,845,661,187,56,38,44,2585,10,7,7,51,63,165,402,465,131,32,22,14,1363,9,3,20,38,36,78,250,364,182,66,28,23,1098,0,3,3,10,14,51,105,172,124,48,23,17,568,5,0,4,6,4,10,22,48,52,20,20,0,204,30,25,112,154,108
108,10,3,27,31,27,21,19,13,3,3,10,36,207,30,38,63,66,43,35,21,13,5,0,12,19,336,81,220,331,388,147,138,92,18,0,0,7,60,1481,108,424,529,642,260,238,130,42,3,0,22,69,2466,33,87,377,764,375,510,310,65,9,6,16,70,2612,24,25,245,344,193,282,205,66,14,7,3,33,1437,30,66,213,605,394,634,479,142,17,3,15,76,2672,25,19,150,405,292,519,464,160,21,0,13,36,2109,19,13,77,250,243,476,442,171,19,0,15,35,1751,16,19,51,148,151,273,372,186,18,10,15,34,1279,18,3,52,125,115,280,394,238,41,10,13,46,1326,4,5,19,33,33,104,179,141,31,10,5,11,572,0,4,7,27,35,60,96,122,57,3,19,26,465,0,0,9,5,8,25,44,58,30,9,7,4,208,0,0,6,3,9,7,14,14,8,6,5,0,67,19,19,80,200,153
109,3,9,34,34,9,16,9,8,0,0,0,18,139,20,32,61,31,7,9,3,3,0,0,3,18,192,76,111,277,172,41,36,20,5,0,0,8,40,782,96,208,466,279,57,67,17,3,4,0,10,38,1236,43,73,421,437,144,132,45,14,0,3,5,30,1352,22,21,182,187,53,67,29,4,3,0,4,9,587,35,49,328,402,166,207,105,19,5,7,10,43,1371,28,33,197,324,152,205,92,15,0,0,6,38,1111,33,19,153,254,145,196,114,32,6,6,7,36,1008,27,13,115,160,106,173,106,42,3,4,9,24,766,36,12,76,149,118,209,188,55,11,7,8,29,894,18,3,24,60,51,76,107,59,3,0,3,10,417,15,5,26,34,27,47,64,37,18,11,6,10,291,12,3,5,16,8,19,30,28,7,3,5,8,138,0,0,7,3,6,3,8,11,5,0,5,0,47,17,18,70,120,70
110,9,14,46,50,12,18,10,13,0,0,8,35,222,58,33,84,73,26,17,11,9,0,0,0,24,327,117,157,396,287,97,73,34,10,5,0,12,56,1244,143,289,594,463,129,125,55,16,0,4,15,75,1905,65,66,508,575,229,231,134,19,6,0,16,71,1924,37,50,267,310,130,157,54,17,0,0,7,27,1046,56,83,417,646,326,360,182,44,8,4,5,102,2236,53,46,283,437,250,309,195,42,9,0,9,79,1716,49,28,216,409,249,341,246,81,5,0,12,60,1696,45,15,133,240,152,269,210,82,7,4,8,43,1213,57,12,164,224,182,286,279,125,16,5,7,60,1416,31,8,55,72,65,117,174,99,16,0,6,29,671,25,9,45,63,42,92,98,111,22,4,11,35,557,15,8,20,28,19,43,53,53,13,4,5,10,272,5,3,7,7,8,4,8,21,7,3,3,0,71,52,35,166,229,142
