SA4_CODE_2021,C11_CFNC_MR_0_299,C11_CFNC_MR_300_449,C11_CFNC_MR_450_599,C11_CFNC_MR_600_799,C11_CFNC_MR_800_999,C11_CFNC_MR_1000_1399,C11_CFNC_MR_1400_1799,C11_CFNC_MR_1800_2399,C11_CFNC_MR_2400_2999,C11_CFNC_MR_3000_3999,C11_CFNC_MR_4000over,C11_CFNC_MR_NS,C11_CFNC_Tot,C11_CF_Cu15DS_MR_0_299,C11_CF_Cu15DS_MR_300_449,C11_CF_Cu15DS_MR_450_599,C11_CF_Cu15DS_MR_600_799,C11_CF_Cu15DS_MR_800_999,C11_CF_Cu15DS_MR_1000_1399,C11_CF_Cu15DS_MR_1400_1799,C11_CF_Cu15DS_MR_1800_2399,C11_CF_Cu15DS_MR_2400_2999,C11_CF_Cu15DS_MR_3000_3999,C11_CF_Cu15DS_MR_4000over,C11_CF_Cu15DS_MR_NS,C11_CF_Cu15DS_Tot,C11_CF_Cu15NDS_MR_0_299,C11_CF_Cu15NDS_MR_300_449,C11_CF_Cu15NDS_MR_450_599,C11_CF_Cu15NDS_MR_600_799,C11_CF_Cu15NDS_MR_800_999,C11_CF_Cu15NDS_MR_1000_1399,C11_CF_Cu15NDS_MR_1400_1799,C11_CF_Cu15NDS_MR_1800_2399,C11_CF_Cu15NDS_MR_2400_2999,C11_CF_Cu15NDS_MR_3000_3999,C11_CF_Cu15NDS_MR_4000over,C11_CF_Cu15NDS_MR_NS,C11_CF_Cu15NDS_Tot,C11_CF_NCu15DS_MR_0_299,C11_CF_NCu15DS_MR_300_449,C11_CF_NCu15DS_MR_450_599,C11_CF_NCu15DS_MR_600_799,C11_CF_NCu15DS_MR_800_999,C11_CF_NCu15DS_MR_1000_1399,C11_CF_NCu15DS_MR_1400_1799,C11_CF_NCu15DS_MR_1800_2399,C11_CF_NCu15DS_MR_2400_2999,C11_CF_NCu15DS_MR_3000_3999,C11_CF_NCu15DS_MR_4000over,C11_CF_NCu15DS_MR_NS,C11_CF_NCu15DS_Tot,C11_CF_NDCO_MR_0_299,C11_CF_NDCO_MR_300_449,C11_CF_NDCO_MR_450_599,C11_CF_NDCO_MR_600_799,C11_CF_NDCO_MR_800_999,C11_CF_NDCO_MR_1000_1399,C11_CF_NDCO_MR_1400_1799,C11_CF_NDCO_MR_1800_2399,C11_CF_NDCO_MR_2400_2999,C11_CF_NDCO_MR_3000_3999,C11_CF_NDCO_MR_4000over,C11_CF_NDCO_MR_NS,C11_CF_NDCO_Tot,C11_CF_Tot_MR_0_299,C11_CF_Tot_MR_300_449,C11_CF_Tot_MR_450_599,C11_CF_Tot_MR_600_799,C11_CF_Tot_MR_800_999,C11_CF_Tot_MR_1000_1399,C11_CF_Tot_MR_1400_1799,C11_CF_Tot_MR_1800_2399,C11_CF_Tot_MR_2400_2999,C11_CF_Tot_MR_3000_3999,C11_CF_Tot_MR_4000over,C11_CF_Tot_MR_NS,C11_CF_Tot_Tot,C11_1PF_Cu15DS_MR_0_299,C11_1PF_Cu15DS_MR_300_449,C11_1PF_Cu15DS_MR_450_599,C11_1PF_Cu15DS_MR_600_799,C11_1PF_Cu15DS_MR_800_999,C11_1PF_Cu15DS_MR_1000_1399,C11_1PF_Cu15DS_MR_1400_1799,C11_1PF_Cu15DS_MR_1800_2399,C11_1PF_Cu15DS_MR_2400_2999,C11_1PF_Cu15DS_MR_3000_3999,C11_1PF_Cu15DS_MR_4000over,C11_1PF_Cu15DS_MR_NS,C11_1PF_Cu15DS_Tot,C11_1PF_CU15_NDS_MR_0_299,C11_1PF_CU15_NDS_MR_300_449,C11_1PF_CU15_NDS_MR_450_599,C11_1PF_CU15_NDS_MR_600_799,C11_1PF_CU15_NDS_MR_800_999,C11_1PF_CU15_NDS_MR_1000_1399,C11_1PF_CU15_NDS_MR_1400_1799,C11_1PF_CU15_NDS_MR_1800_2399,C11_1PF_CU15_NDS_MR_2400_2999,C11_1PF_CU15_NDS_MR_3000_3999,C11_1PF_CU15_NDS_MR_4000over,C11_1PF_CU15_NDS_MR_NS,C11_1PF_CU15_NDS_Tot,C11_1PF_NCu15DS_MR_0_299,C11_1PF_NCu15DS_MR_300_449,C11_1PF_NCu15DS_MR_450_599,C11_1PF_NCu15DS_MR_600_799,C11_1PF_NCu15DS_MR_800_999,C11_1PF_NCu15DS_MR_1000_1399,C11_1PF_NCu15DS_MR_1400_1799,C11_1PF_NCu15DS_MR_1800_2399,C11_1PF_NCu15DS_MR_2400_2999,C11_1PF_NCu15DS_MR_3000_3999,C11_1PF_NCu15DS_MR_4000over,C11_1PF_NCu15DS_MR_NS,C11_1PF_NCu15DS_Tot,C11_1PF_NDCO_MR_0_299,C11_1PF_NDCO_MR_300_449,C11_1PF_NDCO_MR_450_599,C11_1PF_NDCO_MR_600_799,C11_1PF_NDCO_MR_800_999,C11_1PF_NDCO_MR_1000_1399,C11_1PF_NDCO_MR_1400_1799,C11_1PF_NDCO_MR_1800_2399,C11_1PF_NDCO_MR_2400_2999,C11_1PF_NDCO_MR_3000_3999,C11_1PF_NDCO_MR_4000over,C11_1PF_NDCO_MR_NS,C11_1PF_NDCO_Tot,C11_1PF_Tot_MR_0_299,C11_1PF_Tot_MR_300_449,C11_1PF_Tot_MR_450_599,C11_1PF_Tot_MR_600_799,C11_1PF_Tot_MR_800_999,C11_1PF_Tot_MR_1000_1399,C11_1PF_Tot_MR_1400_1799,C11_1PF_Tot_MR_1800_2399,C11_1PF_Tot_MR_2400_2999,C11_1PF_Tot_MR_3000_3999,C11_1PF_Tot_MR_4000over,C11_1PF_Tot_MR_NS,C11_1PF_Tot_Tot,C11_Tot_MR_0_299,C11_Tot_MR_300_449,C11_Tot_MR_450_599,C11_Tot_MR_600_799,C11_Tot_MR_800_999,C11_Tot_MR_1000_1399,C11_Tot_MR_1400_1799,C11_Tot_MR_1800_2399,C11_Tot_MR_2400_2999,C11_Tot_MR_3000_3999,C11_Tot_MR_4000over,C11_Tot_MR_NS,C11_Tot_Tot,C16_CFNC_MR_0_299,C16_CFNC_MR_300_449,C16_CFNC_MR_450_599,C16_CFNC_MR_600_799,C16_CFNC_MR_800_999,C16_CFNC_MR_1000_1399,C16_CFNC_MR_1400_1799,C16_CFNC_MR_1800_2399,C16_CFNC_MR_2400_2999,C16_CFNC_MR_3000_3999,C16_CFNC_MR_4000over,C16_CFNC_MR_NS,C16_CFNC_Tot,C16_CF_Cu15DS_MR_0_299,C16_CF_Cu15DS_MR_300_449,C16_CF_Cu15DS_MR_450_599,C16_CF_Cu15DS_MR_600_799,C16_CF_Cu15DS_MR_800_999,C16_CF_Cu15DS_MR_1000_1399,C16_CF_Cu15DS_MR_1400_1799,C16_CF_Cu15DS_MR_1800_2399,C16_CF_Cu15DS_MR_2400_2999,C16_CF_Cu15DS_MR_3000_3999,C16_CF_Cu15DS_MR_4000over,C16_CF_Cu15DS_MR_NS,C16_CF_Cu15DS_Tot,C16_CF_Cu15NDS_MR_0_299,C16_CF_Cu15NDS_MR_300_449,C16_CF_Cu15NDS_MR_450_599,C16_CF_Cu15NDS_MR_600_799,C16_CF_Cu15NDS_MR_800_999,C16_CF_Cu15NDS_MR_1000_1399,C16_CF_Cu15NDS_MR_1400_1799,C16_CF_Cu15NDS_MR_1800_2399,C16_CF_Cu15NDS_MR_2400_2999,C16_CF_Cu15NDS_MR_3000_3999,C16_CF_Cu15NDS_MR_4000over,C16_CF_Cu15NDS_MR_NS,C16_CF_Cu15NDS_Tot,C16_CF_NCu15DS_MR_0_299,C16_CF_NCu15DS_MR_300_449,C16_CF_NCu15DS_MR_450_599,C16_CF_NCu15DS_MR_600_799,C16_CF_NCu15DS_MR_800_999
101,436,219,199,391,461,1051,915,1157,702,616,389,357,6889,48,40,43,66,124,263,285,341,202,203,100,78,1794,156,121,95,249,353,1114,1364,1677,969,819,444,315,7669,46,35,42,71,113,277,229,275,138,142,91,62,1529,95,48,51,103,133,252,221,238,108,117,71,92,1542,353,248,232,487,726,1902,2098,2531,1420,1287,706,550,12541,13,5,11,30,22,56,38,45,22,11,0,14,265,25,26,38,63,101,259,200,166,94,44,34,63,1098,17,21,10,35,30,80,60,51,17,17,9,15,371,39,31,24,57,43,106,95,68,36,21,16,37,582,92,83,80,189,196,507,389,325,164,90,67,134,2323,881,556,509,1067,1381,3460,3404,4011,2294,1995,1164,1033,21748,493,262,225,374,479,1162,1110,1249,604,635,358,349,7300,46,20,27,59,85,245,258,386,215,191,104,87,1720,143,72,77,193,330,1045,1402,1789,950,840,434,255,7535,66,27,34,58,108
102,497,239,215,362,452,1115,1372,2221,1060,722,418,501,9166,53,42,28,75,117,362,484,754,377,278,138,127,2831,144,81,85,192,297,1171,2091,4139,2087,1219,572,514,12587,105,63,80,113,162,447,486,619,347,281,151,139,3000,141,81,81,161,179,491,513,616,326,218,130,187,3132,439,267,273,540,754,2466,3568,6134,3137,1998,996,967,21548,8,6,14,18,39,97,88,112,31,21,11,23,481,53,40,40,73,114,315,375,426,158,98,46,122,1858,30,29,23,58,63,175,151,166,45,27,13,41,814,102,59,60,94,130,286,262,211,71,58,29,96,1453,192,127,133,244,337,870,874,916,303,206,104,283,4596,1139,634,618,1147,1539,4452,5820,9271,4506,2932,1516,1749,35315,618,269,216,361,431,1276,1628,2206,947,720,431,379,9481,53,27,19,65,96,335,529,778,382,258,136,113,2788,225,82,80,179,288,1298,2437,4023,1963,1314,586,393,12859,97,73,36,100,169
103,411,225,205,334,463,985,926,951,394,251,186,357,5667,46,25,40,78,129,312,305,293,130,102,52,86,1601,179,73,142,257,437,1312,1453,1708,742,473,249,295,7325,64,36,39,80,129,256,201,217,102,64,52,73,1312,79,57,47,109,130,273,200,225,78,63,34,89,1387,378,193,272,524,827,2156,2157,2448,1045,698,383,546,11622,3,16,10,33,26,58,32,33,11,12,0,12,243,36,37,42,77,132,258,176,123,39,23,8,51,1010,12,14,20,21,34,65,41,39,6,10,6,15,298,40,32,34,54,59,129,64,54,13,7,0,45,536,99,97,103,188,255,507,307,249,74,60,18,125,2087,880,514,580,1045,1539,3643,3397,3648,1516,1011,586,1028,19381,417,211,182,346,434,1132,951,908,382,260,182,288,5702,47,17,24,49,93,277,318,356,175,115,74,68,1622,170,78,110,225,424,1260,1510,1769,774,470,242,252,7290,41,30,34,89,105
104,285,207,146,240,337,641,569,641,233,171,121,194,3798,16,12,19,56,77,198,179,202,86,54,27,39,963,68,58,55,146,210,696,898,1023,397,211,123,151,4030,42,27,36,76,83,180,165,154,56,43,23,40,919,54,36,28,77,79,174,137,131,41,31,32,59,885,185,136,137,345,447,1251,1386,1507,569,341,201,287,6802,5,8,9,4,21,54,43,25,0,8,0,4,180,16,24,26,57,86,180,154,108,24,26,19,41,765,9,17,17,22,35,76,47,42,10,4,0,15,298,24,23,28,49,33,74,50,44,16,9,7,29,397,56,69,78,136,178,383,293,212,60,40,33,90,1639,528,421,359,723,964,2269,2252,2358,865,553,362,571,12236,300,165,139,230,318,712,695,650,235,161,94,165,3877,20,13,14,24,68,174,221,213,61,53,27,30,933,77,37,45,102,192,645,947,1036,395,202,104,115,3897,31,23,22,33,59
105,279,121,145,249,292,551,403,372,138,80,76,213,2928,45,32,21,49,72,161,121,115,47,29,27,29,757,132,85,102,218,331,819,715,627,233,141,104,181,3687,39,26,27,47,62,130,75,91,26,18,12,35,583,46,34,31,78,78,133,97,86,22,19,19,64,718,268,181,182,391,539,1245,1004,919,336,209,162,307,5740,8,10,9,13,24,25,17,8,0,0,0,4,130,41,47,53,104,101,160,111,58,24,12,7,50,772,5,18,10,27,19,34,22,8,0,3,3,6,157,19,25,31,40,27,62,32,17,5,4,6,23,293,77,100,103,186,181,280,181,90,37,21,15,85,1353,624,403,433,829,1009,2079,1588,1383,506,307,262,607,10026,289,136,123,233,285,609,447,350,123,90,74,193,2949,28,11,20,34,51,158,155,131,45,34,13,37,720,135,62,86,169,270,722,694,642,179,139,93,119,3315,36,20,26,43,58
106,429,220,196,343,436,1095,1293,1667,751,573,286,434,7716,53,39,28,78,117,331,394,494,205,167,90,104,2100,129,86,86,224,385,1350,2019,2912,1349,950,403,416,10303,70,41,36,103,121,356,336,400,167,141,89,100,1973,89,82,91,150,181,428,403,423,186,149,72,163,2417,345,249,242,550,801,2464,3153,4234,1909,1408,651,788,16799,15,4,9,19,36,51,62,62,21,9,13,8,309,42,21,39,70,91,321,291,263,82,51,29,78,1385,21,20,19,38,45,114,89,75,17,16,6,26,484,42,43,27,69,78,164,129,95,31,24,15,47,768,124,89,93,195,247,653,569,501,152,101,62,163,2945,895,557,533,1090,1483,4214,5020,6406,2809,2083,994,1374,27464,452,234,191,314,437,1301,1535,1733,686,541,264,358,8051,41,26,20,68,95,347,475,601,293,194,70,86,2313,168,68,83,151,320,1374,2163,3007,1352,928,376,329,10327,82,40,46,81,144
107,315,152,134,273,321,757,945,1612,939,744,382,339,6914,53,44,37,53,117,323,385,582,329,272,142,108,2444,160,120,77,206,325,1090,1606,3204,2132,1551,635,418,11514,99,62,61,117,153,394,368,467,262,245,131,128,2492,108,63,59,122,167,392,371,460,253,230,98,138,2458,418,291,234,501,756,2196,2735,4719,2979,2296,996,793,18906,17,4,9,18,26,58,63,68,34,24,5,14,343,51,23,32,58,79,244,236,324,130,87,34,72,1352,11,24,16,39,54,112,102,99,60,34,16,37,604,69,47,30,43,80,157,152,160,83,41,19,52,927,149,93,85,161,237,571,544,649,298,186,75,176,3226,879,536,454,935,1318,3525,4231,6982,4216,3221,1459,1305,29047,431,222,123,278,338,835,1033,1652,894,801,377,238,7227,70,30,23,59,79,290,361,627,327,285,168,106,2429,245,71,90,161,259,972,1779,3502,2042,1651,690,345,11825,133,70,49,101,135
108,452,278,249,411,468,1015,886,947,435,284,186,326,5936,33,30,22,74,103,257,251,297,123,81,53,63,1382,88,80,78,196,338,990,1202,1402,573,345,173,230,5690,49,44,56,84,117,230,229,233,112,70,32,52,1296,68,66,44,106,118,244,187,174,79,50,36,73,1249,232,216,198,459,676,1721,1876,2093,896,549,287,421,9616,14,10,9,21,29,83,50,35,11,11,4,17,285,33,29,34,87,107,276,234,132,69,21,17,60,1099,10,22,22,43,54,95,48,56,14,0,7,23,394,55,42,39,54,73,132,67,68,9,14,5,30,594,107,98,102,212,270,577,402,291,99,46,42,130,2369,797,595,551,1075,1415,3316,3158,3331,1424,877,514,871,17927,483,253,238,413,502,1058,1032,1017,384,226,155,307,6074,33,27,24,42,86,270,302,337,107,87,44,52,1414,106,76,50,154,285,985,1243,1454,505,321,147,190,5520,35,31,24,53,93
109,306,147,151,281,305,721,594,454,137,100,85,226,3523,46,14,25,45,82,205,160,197,58,44,31,53,958,129,54,96,177,290,878,851,827,233,167,116,177,4002,55,27,24,52,50,174,142,128,49,32,15,54,795,51,38,32,62,73,153,100,100,25,24,25,72,755,273,131,178,341,498,1416,1258,1249,360,277,180,357,6513,7,11,10,10,19,28,21,15,4,0,0,10,142,22,25,36,75,78,143,94,51,13,14,8,28,576,14,12,13,29,37,44,34,18,11,0,3,14,227,23,25,9,20,45,62,34,30,5,5,3,27,289,68,74,62,131,181,281,188,111,23,20,11,79,1236,656,351,390,752,986,2417,2031,1817,519,388,287,663,11267,292,171,120,279,335,711,586,465,146,90,76,203,3477,48,26,16,37,72,185,178,155,52,41,32,45,881,125,50,63,180,317,867,895,819,226,160,90,158,3960,51,17,17,46,70
110,428,234,193,363,466,952,763,629,236,172,133,328,4892,52,31,36,83,117,242,239,214,85,52,43,75,1273,185,86,113,270,446,1235,1223,1096,442,245,180,241,5761,61,27,40,71,102,229,162,144,64,48,33,66,1042,85,45,49,106,118,259,182,137,55,49,31,98,1203,375,194,231,531,784,1960,1804,1589,647,391,289,482,9281,4,11,15,26,27,65,37,18,9,0,4,11,221,39,44,41,114,120,261,137,86,24,4,8,65,948,9,13,16,40,46,64,34,25,9,5,0,17,280,37,34,29,51,48,82,49,33,8,3,16,38,425,90,97,112,227,239,474,257,169,50,13,29,130,1876,893,523,538,1116,1489,3378,2822,2390,933,576,453,940,16052,453,180,186,335,453,1035,824,702,223,179,118,258,4942,46,24,34,56,95,223,223,235,88,62,41,64,1191,166,81,81,220,350,1142,1244,1111,417,292,178,207,5489,54,24,31,74,77
